DISTRICT,DAD_POST,DALL_UPDATE,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,D_RATING
"043919","1"," ",79,95,91,98,99.6,95,"A",96,83,"A",93,85,"B",89,"A",93,100,"A",100,97,"A"
"044902","0"," ",51,82,54,82,100,95,"B",85,72,"B",84,53,"B",86,"B",86,78,"B",86,86,"B"
"045902","0"," ",44,75,39,70,95.6,85,"C",75,71,"B",82,42,"C",73,"B",82,19,"D",63,76,"C"
"045903"," "," ",41,71,35,66,97.3,90,"C",73,64,"D",65,38,"C",72,"C",72,11,"F",53,67,"Not Rated: Harvey Provision"
"045905","0"," ",51,82,60,90,100,95,"B",88,71,"B",82,56,"B",85,"B",85,97,"A",97,91,"A"
"046802"," "," ",12,53,.,.,.,.,"Not Rated",.,.,"Not Rated",.,.,"Not Rated",.,"Not Rated",.,.,"Not Rated",.,.,"Not Rated"
"046901","0"," ",56,87,54,82,97.5,90,"B",86,72,"B",84,55,"C",76,"B",84,78,"B",86,86,"B"
"046902","0"," ",60,90,60,90,97.5,90,"A",90,74,"B",87,60,"C",79,"B",87,84,"B",88,89,"B"
"047901","0"," ",45,76,62,91,100,95,"B",86,61,"F",59,54,"B",89,"B",89,63,"B",80,86,"B"
"047902","1"," ",53,84,73,93,100,95,"A",90,68,"C",76,63,"A",91,"A",91,94,"A",95,92,"A"
"047903"," "," ",41,70,90,98,100,95,"Met Standard",86,63,"Met Standard",70,66,"Met Standard",91,"Met Standard",91,73,"Met Standard",81,88,"Met Standard"
"047905"," "," ",43,72,29,62,100,95,"Met Standard",73,73,"Met Standard",83,36,"Met Standard",68,"Met Standard",83,18,"Met Standard",64,77,"Met Standard"
"048901"," "," ",38,65,77,94,100,95,"Met Standard",83,66,"Met Standard",75,58,"Met Standard",87,"Met Standard",87,44,"Met Standard",74,83,"Met Standard"
"048903","0"," ",37,65,50,78,100,95,"C",76,66,"C",70,44,"C",76,"C",76,44,"C",74,75,"C"
"049901","0"," ",38,67,33,64,97.5,90,"C",70,64,"D",65,36,"C",70,"C",70,28,"D",69,70,"C"
"049902","0"," ",69,92,62,91,100,95,"A",92,70,"B",80,66,"C",75,"B",80,100,"A",100,94,"A"
"049903","0"," ",42,73,34,65,100,95,"C",74,65,"D",69,38,"D",64,"D",69,33,"C",71,73,"C"
"049905","1"," ",58,88,51,78,100,95,"B",85,71,"B",82,55,"B",80,"B",82,85,"B",88,86,"B"
"049906"," "," ",53,80,43,75,100,95,"Met Standard",81,72,"Met Standard",82,48,"Met Standard",66,"Met Standard",82,55,"Met Standard",76,80,"Met Standard"
"049907","0"," ",66,92,76,94,100,95,"A",93,76,"A",90,71,"C",78,"A",90,100,"A",100,95,"A"
"049908"," "," ",44,72,.,.,.,.,"Met Standard",72,79,"Met Standard",86,44,"Met Standard",75,"Met Standard",86,.,"Not Rated",.,86,"Met Standard"
"049909"," "," ",41,70,.,.,.,.,"Met Standard",70,75,"Met Standard",80,41,"Met Standard",75,"Met Standard",80,30,"Met Standard",63,75,"Met Standard"
"050901","0"," ",37,65,54,82,100,95,"C",78,62,"F",59,46,"B",80,"B",80,54,"C",77,79,"C"
"050902","0"," ",43,74,54,82,98.9,95,"B",81,67,"C",73,49,"C",78,"C",78,49,"C",76,80,"B"
"050904"," "," ",37,64,27,61,100,95,"Met Standard",69,75,"Met Standard",85,32,"Met Standard",62,"Met Standard",85,17,"Met Standard",63,78,"Met Standard"
"050909"," "," ",44,72,64,91,100,95,"Met Standard",84,60,"Met Standard",66,54,"Met Standard",81,"Met Standard",81,72,"Met Standard",81,83,"Met Standard"
"050910","0"," ",47,79,51,78,94.9,80,"C",79,67,"C",73,49,"C",79,"C",79,67,"B",82,80,"B"
"051901"," "," ",42,71,65,91,100,95,"Met Standard",84,70,"Met Standard",80,54,"Met Standard",84,"Met Standard",84,33,"Met Standard",71,80,"Met Standard"
"052901","0"," ",38,67,31,62,98.2,95,"C",71,64,"D",65,35,"F",59,"D",65,20,"D",63,69,"D"
"053001","0"," ",41,71,39,70,100,95,"C",75,69,"C",79,40,"D",65,"C",79,17,"D",61,74,"C"
"054901","0"," ",32,57,57,86,100,95,"C",76,56,"F",56,45,"B",81,"B",81,44,"C",74,79,"C"
"054902","0"," ",34,59,61,90,100,95,"C",79,63,"D",60,48,"B",85,"B",85,44,"C",74,82,"B"
"054903","0"," ",36,62,42,72,97.3,90,"C",72,71,"B",82,39,"C",74,"B",82,16,"D",61,76,"C"
"055901"," "," ",29,55,44,76,100,95,"Met Standard",71,50,"Improvement Required",56,37,"Met Standard",70,"Met Standard",70,11,"Met Standard",60,68,"Met Standard"
"056901","0"," ",40,70,56,85,99.1,95,"B",81,68,"C",76,48,"B",80,"B",80,45,"C",75,79,"C"
"056902"," "," ",42,71,63,91,100,95,"Met Standard",84,75,"Met Standard",85,53,"Met Standard",83,"Met Standard",85,77,"Met Standard",83,84,"Met Standard"
"057802"," "," ",30,80,21,87,100,95,"Met Alternative Standard",86,65,"Met Alternative Standard",81,.,"Not Rated",.,"Met Alternative Standard",81,27,"Met Alternative Standard",85,86,"Met Alternative Standard"
"057803","0"," ",45,76,74,94,99.4,95,"B",87,68,"C",76,60,"A",91,"B",89,78,"B",86,88,"B"
"057804"," "," ",24,74,3,52,78.2,70,"D",64,54,"C",74,.,"Not Rated",.,"C",74,0,"F",30,61,"D"
"057805"," "," ",28,54,.,.,.,.,"Improvement Required",54,.,"Not Rated",.,28,"Improvement Required",51,"Improvement Required",51,.,"Not Rated",.,54,"Improvement Required"
"057806"," "," ",32,57,70,93,100,95,"Met Standard",79,63,"Met Standard",70,51,"Met Standard",83,"Met Standard",83,46,"Met Standard",74,80,"Met Standard"
"057807","0"," ",39,69,41,71,100,95,"C",75,67,"C",73,40,"C",70,"C",73,33,"C",71,74,"C"
"057808","1"," ",62,91,47,76,100,95,"B",86,76,"A",90,55,"C",74,"A",90,100,"A",100,93,"A"
"057809"," "," ",32,57,.,.,.,.,"Improvement Required",57,27,"Improvement Required",42,32,"Improvement Required",58,"Improvement Required",58,.,"Not Rated",.,58,"Improvement Required"
"057810"," "," ",34,59,.,.,.,.,"Improvement Required",59,68,"Met Standard",69,34,"Met Standard",66,"Met Standard",69,30,"Met Standard",63,67,"Met Standard"
"057813"," "," ",45,73,.,.,.,.,"Met Standard",73,74,"Met Standard",79,45,"Met Standard",80,"Met Standard",80,78,"Met Standard",78,79,"Met Standard"
"057814"," "," ",4,38,.,.,.,.,"Not Rated",.,44,"Not Rated",63,.,"Not Rated",.,"Not Rated",63,.,"Not Rated",.,.,"Not Rated"
"057816"," "," ",33,58,.,.,.,.,"F",58,71,"B",82,33,"C",70,"B",82,13,"F",57,75,"C"
"057819"," "," ",31,56,14,.,100,95,"Improvement Required",56,70,"Met Standard",80,31,"Met Standard",62,"Met Standard",80,24,"Met Standard",67,76,"Met Standard"
"057827"," "," ",42,73,.,.,.,.,"C",73,71,"B",82,42,"B",84,"B",84,49,"C",76,82,"B"
"057828"," "," ",25,75,24,91,70.4,70,"B",80,55,"C",75,.,"Not Rated",.,"C",75,13,"C",73,78,"C"
"057829"," "," ",34,59,44,73,100,95,"C",72,66,"C",70,39,"C",74,"C",74,33,"C",71,73,"C"
"057830","0"," ",35,60,29,60,98,95,"D",67,57,"F",57,32,"D",65,"D",65,13,"F",57,64,"D"
"057831","0"," ",34,59,2,32,100,95,"F",55,63,"D",60,18,"F",49,"D",60,16,"D",61,60,"D"
"057833","0"," ",44,75,.,.,.,.,"C",75,71,"B",82,44,"D",65,"B",82,53,"C",77,81,"B"
"057834"," "," ",20,69,8,70,57.7,65,"D",69,35,"F",55,.,"Not Rated",.,"F",55,0,"F",30,57,"Not Rated: Harvey Provision"
"057835","0"," ",46,78,.,.,.,.,"C",78,70,"B",80,46,"A",90,"A",90,79,"B",86,89,"B"
"057836"," "," ",47,79,.,.,.,.,"C",79,62,"F",59,47,"B",85,"B",85,56,"C",78,83,"B"
"057837","0"," ",33,58,.,.,.,.,"F",58,70,"B",80,33,"D",69,"B",80,29,"C",70,77,"C"
"057839"," "," ",40,69,.,.,.,.,"Met Standard",69,67,"Met Standard",67,40,"Met Standard",75,"Met Standard",75,43,"Met Standard",68,73,"Met Standard"
"057840"," "," ",74,94,100,100,100,95,"Met Standard",97,.,"Not Rated",.,87,"Met Standard",92,"Met Standard",92,.,"Not Rated",.,97,"Met Standard"
"057841"," "," ",35,60,.,.,.,.,"Met Standard",60,65,"Met Standard",62,35,"Met Standard",66,"Met Standard",66,35,"Met Standard",65,66,"Met Standard"
"057844","0"," ",43,74,.,.,100,95,"C",74,69,"C",79,43,"D",67,"C",79,47,"C",75,78,"C"
"057845","0"," ",56,87,87,97,100,95,"A",93,75,"B",89,72,"B",86,"B",89,95,"A",95,94,"A"
"057846","0"," ",29,55,.,.,96,90,"F",55,63,"D",60,29,"F",55,"D",60,13,"F",57,59,"F"
"057847"," "," ",37,64,.,.,100,95,"Met Standard",64,55,"Improvement Required",59,37,"Improvement Required",57,"Improvement Required",59,11,"Met Standard",60,63,"Met Standard"
"057848"," "," ",42,73,64,91,100,95,"B",85,61,"F",59,53,"B",86,"B",86,55,"C",77,83,"Not Rated: Harvey Provision"
"057849"," "," ",25,51,.,.,.,.,"F",51,62,"F",59,25,"F",56,"F",59,5,"F",40,53,"F"
"057850"," "," ",53,84,.,.,.,.,"B",84,81,"A",92,53,"A",90,"A",92,95,"A",95,93,"A"
"057903","0"," ",47,79,57,86,96.5,90,"B",84,69,"C",79,52,"B",86,"B",86,88,"B",89,87,"B"
"057904","0"," ",42,73,43,73,94.8,80,"C",74,68,"C",76,43,"C",75,"C",76,43,"C",74,75,"C"
"057905","0"," ",43,74,45,74,91.2,65,"C",72,71,"B",82,44,"B",81,"B",82,56,"C",78,81,"B"
"057906","0"," ",35,60,39,70,88.1,65,"D",65,66,"C",70,37,"C",70,"C",70,14,"F",59,67,"D"
"057907","0"," ",37,65,44,73,92.6,70,"D",69,66,"C",70,41,"C",75,"C",75,25,"D",67,73,"C"
"057909","0"," ",47,79,50,78,94.4,80,"C",79,68,"C",76,49,"B",81,"B",81,63,"B",80,81,"B"
"057910","0"," ",46,78,42,72,92.5,70,"C",74,71,"B",82,44,"C",79,"B",82,50,"C",76,80,"B"
"057911","0"," ",76,94,92,98,99.6,95,"A",96,76,"A",90,84,"B",88,"A",90,94,"A",95,96,"A"
"057912","0"," ",40,70,51,78,96.2,90,"C",77,69,"C",79,46,"B",81,"B",81,52,"C",76,80,"B"
"057913","0"," ",43,74,38,69,99,95,"C",76,70,"B",80,41,"C",78,"B",80,51,"C",76,79,"C"
"057914","0"," ",43,74,46,75,92.7,70,"C",74,68,"C",76,45,"B",80,"B",80,45,"C",75,79,"C"
"057916","0"," ",53,84,61,90,93.5,75,"B",85,72,"B",84,57,"B",89,"B",89,80,"B",86,88,"B"
"057919","0"," ",68,92,77,94,100,95,"A",93,76,"A",90,73,"B",84,"A",90,100,"A",100,95,"A"
"057922","0"," ",74,94,84,96,99.8,95,"A",95,81,"A",92,79,"B",86,"A",92,96,"A",96,95,"A"
"058902"," "," ",36,62,75,94,100,95,"Met Standard",81,65,"Met Standard",73,56,"Met Standard",85,"Met Standard",85,50,"Met Standard",75,82,"Met Standard"
"058905"," "," ",76,94,86,97,100,95,"Met Standard",95,79,"Met Standard",89,81,"Met Standard",92,"Met Standard",92,100,"Met Standard",100,97,"Met Standard"
"058906","0"," ",34,59,36,67,99.2,95,"D",69,73,"B",85,35,"D",67,"B",85,24,"D",66,79,"C"
"058909"," "," ",56,85,100,100,100,95,"Met Standard",93,78,"Met Standard",88,78,"Met Standard",93,"Met Standard",93,100,"Met Standard",100,95,"Met Standard"
"059901","0"," ",40,70,46,75,94.8,80,"C",74,66,"C",70,43,"C",79,"C",79,37,"C",72,77,"C"
"059902"," "," ",52,79,.,.,.,.,"Met Standard",79,67,"Met Standard",67,52,"Met Standard",83,"Met Standard",83,58,"Met Standard",73,80,"Met Standard"
"060902","0"," ",47,79,61,90,98.6,95,"B",87,68,"C",76,54,"B",87,"B",87,83,"B",87,87,"B"
"060914","0"," ",32,57,65,91,93.8,75,"C",74,55,"F",56,49,"B",87,"B",87,44,"C",74,83,"B"
"061802","0"," ",37,65,.,.,.,.,"D",65,69,"C",79,37,"C",74,"C",79,17,"D",61,74,"C"
"061804"," "," ",59,89,.,.,100,95,"B",89,67,"C",73,59,"F",57,"C",73,85,"B",88,89,"B"
"061805"," "," ",61,90,.,.,.,.,"Met Standard",90,75,"Met Standard",80,61,"Improvement Required",58,"Met Standard",80,79,"Met Standard",78,86,"Met Standard"
"061901","0"," ",53,84,53,80,97.3,90,"B",84,70,"B",80,53,"C",79,"B",80,87,"B",89,86,"B"
"061902","0"," ",57,87,64,91,97.3,90,"B",89,71,"B",82,61,"B",82,"B",82,92,"B",89,89,"B"
"061903","0"," ",47,79,44,73,100,95,"B",80,70,"B",80,46,"C",73,"B",80,48,"C",75,79,"C"
"061905","0"," ",47,79,47,76,99.3,95,"B",81,67,"C",73,47,"D",65,"C",73,48,"C",75,79,"C"
"061906","0"," ",54,85,55,83,98,95,"B",86,70,"B",80,55,"C",78,"B",80,91,"A",92,88,"B"
"061907","0"," ",58,88,54,82,99.1,95,"B",87,69,"C",79,56,"C",70,"C",79,86,"B",88,87,"B"
"061908","0"," ",50,82,40,71,99.5,95,"B",80,68,"C",76,45,"D",68,"C",76,45,"C",75,79,"C"
"061910","0"," ",69,92,74,94,100,95,"A",93,74,"B",87,72,"C",76,"B",87,100,"A",100,95,"A"
"061911","0"," ",60,90,66,92,95.7,85,"A",90,73,"B",85,63,"C",75,"B",85,93,"A",94,91,"A"
"061912","0"," ",52,83,56,85,99.3,95,"B",86,71,"B",82,54,"B",81,"B",82,82,"B",87,86,"B"
"061914","0"," ",47,79,47,76,94.6,80,"C",78,67,"C",73,47,"C",70,"C",73,57,"C",78,78,"C"
"062901","0"," ",44,75,37,68,97.9,90,"C",75,66,"C",70,41,"C",75,"C",75,38,"C",73,74,"C"
"062902"," "," ",36,62,0,30,100,95,"Improvement Required",56,72,"Met Standard",82,18,"Improvement Required",47,"Met Standard",82,16,"Met Standard",63,76,"Met Standard"
"062903","0"," ",41,71,42,72,99.1,95,"C",76,65,"D",69,42,"C",78,"C",78,35,"C",72,76,"C"
"062904","0"," ",39,69,47,76,97.7,90,"C",76,66,"C",70,43,"C",75,"C",75,22,"D",65,73,"C"
"062905"," "," ",51,78,.,.,.,.,"Met Standard",78,59,"Improvement Required",57,51,"Met Standard",84,"Met Standard",84,71,"Met Standard",76,82,"Met Standard"
"062906"," "," ",52,79,.,.,.,.,"Met Standard",79,66,"Met Standard",65,52,"Met Standard",77,"Met Standard",77,36,"Met Standard",65,75,"Met Standard"
"063903"," "," ",41,70,82,96,100,95,"Met Standard",85,71,"Met Standard",81,62,"Met Standard",88,"Met Standard",88,44,"Met Standard",74,84,"Met Standard"
"063906"," "," ",43,72,60,90,100,95,"Met Standard",84,66,"Met Standard",75,52,"Met Standard",84,"Met Standard",84,58,"Met Standard",77,82,"Met Standard"
"064903","0"," ",37,65,55,83,88,65,"C",72,72,"B",84,46,"B",82,"B",84,36,"C",72,80,"B"
"065901","0"," ",51,82,47,76,96.9,90,"B",81,69,"C",79,49,"C",79,"C",79,91,"A",92,84,"B"
"065902"," "," ",62,91,54,85,100,95,"Met Standard",89,66,"Met Standard",75,58,"Met Standard",87,"Met Standard",87,100,"Met Standard",100,92,"Met Standard"
"066005"," "," ",48,76,.,.,.,.,"Met Standard",76,64,"Met Standard",60,48,"Met Standard",85,"Met Standard",85,.,"Not Rated",.,85,"Met Standard"
"066901","0"," ",35,60,34,65,100,95,"D",69,62,"F",59,35,"D",69,"D",69,21,"D",64,68,"D"
"066902","0"," ",39,69,54,82,95.2,85,"C",77,64,"D",65,47,"B",82,"B",82,42,"C",74,80,"B"
"066903","0"," ",36,62,39,70,88.9,65,"D",66,71,"B",82,38,"C",70,"B",82,14,"C",59,75,"C"
"067902","0"," ",52,83,48,76,100,95,"B",83,69,"C",79,50,"B",81,"B",81,72,"B",83,83,"B"
"067903","0"," ",43,74,48,76,97.1,90,"C",78,62,"F",59,46,"C",78,"C",78,53,"C",77,78,"C"
"067904","0"," ",41,71,71,93,100,95,"B",85,67,"C",73,56,"A",90,"A",90,48,"C",75,86,"B"
"067907","0"," ",34,59,39,70,94.4,80,"D",68,58,"F",57,37,"C",70,"C",70,8,"F",47,63,"D"
"067908","1"," ",47,79,85,96,100,95,"B",89,69,"C",79,66,"A",92,"A",92,78,"B",86,90,"A"
"068802"," "," ",50,77,.,.,.,.,"Met Standard",77,70,"Met Standard",72,50,"Improvement Required",56,"Met Standard",72,69,"Met Standard",75,76,"Met Standard"
"068803"," "," ",47,75,.,.,.,.,"Met Standard",75,61,"Met Standard",68,47,"Improvement Required",54,"Met Standard",68,49,"Met Standard",75,75,"Met Standard"
"068901","0"," ",35,60,46,75,90.4,65,"D",67,63,"D",60,41,"D",67,"D",67,23,"D",66,67,"D"
"069901"," "," ",35,60,65,91,100,95,"Met Standard",79,58,"Met Standard",63,50,"Met Standard",82,"Met Standard",82,57,"Met Standard",77,81,"Met Standard"
"069902","0"," ",48,80,66,92,100,95,"B",88,71,"B",82,57,"A",91,"A",91,77,"B",85,89,"B"
"070801"," "," ",24,74,27,91,98.9,95,"B",85,64,"B",85,.,"Not Rated",.,"B",85,10,"C",70,81,"B"
"070901"," "," ",45,73,59,89,100,95,"Met Standard",84,61,"Met Standard",68,52,"Met Standard",81,"Met Standard",81,61,"Met Standard",77,82,"Met Standard"
"070903","0"," ",46,78,35,66,96.1,90,"C",76,65,"D",69,41,"C",74,"C",74,41,"C",73,75,"C"
"070905","0"," ",37,65,23,54,99.4,95,"D",67,63,"D",60,30,"D",60,"D",60,25,"D",67,67,"D"
"070907","0"," ",43,74,45,74,100,95,"C",78,73,"B",85,44,"C",75,"B",85,49,"C",76,82,"B"
"070908","0"," ",56,87,60,90,97.7,90,"B",89,70,"B",80,58,"C",71,"B",80,78,"B",86,88,"B"
"070909"," "," ",34,59,57,87,100,95,"Met Standard",77,57,"Met Standard",62,46,"Met Standard",80,"Met Standard",80,48,"Met Standard",75,79,"Met Standard"
"070910","0"," ",52,83,63,91,100,95,"B",89,70,"B",80,58,"B",88,"B",88,88,"B",89,89,"B"
"070911","0"," ",48,80,58,88,98.4,95,"B",86,68,"C",76,53,"C",79,"C",79,76,"B",85,86,"B"
"070912","0"," ",50,82,57,86,91.3,65,"B",80,67,"C",73,54,"B",81,"B",81,73,"B",84,82,"B"
"070915","0"," ",48,80,51,78,100,95,"B",82,61,"F",59,50,"C",75,"C",75,50,"C",76,80,"B"
"071801","0"," ",55,86,58,88,100,95,"B",89,72,"B",84,57,"C",78,"B",84,100,"A",100,92,"A"
"071803"," "," ",35,85,7,69,95.8,85,"C",79,90,"A",97,.,"Not Rated",.,"A",97,16,"C",76,91,"A"
"071804"," "," ",31,82,13,80,87.5,80,"B",81,54,"C",74,.,"Not Rated",.,"C",74,0,"F",30,66,"D"
"071806","1"," ",50,82,92,98,100,95,"A",91,72,"B",84,71,"A",94,"A",94,93,"A",94,94,"A"
"071807"," "," ",39,67,.,.,.,.,"Met Standard",67,74,"Met Standard",79,39,"Met Standard",75,"Met Standard",79,79,"Met Standard",78,79,"Met Standard"
"071809"," "," ",66,92,.,.,.,.,"Met Standard",92,75,"Met Standard",80,66,"Met Standard",82,"Met Standard",82,96,"Met Standard",92,92,"Met Standard"
"071810"," "," ",43,75,.,.,.,.,"Met Standard",75,76,"Met Standard",85,43,"Met Standard",86,"Met Standard",86,72,"Met Standard",82,85,"Met Standard"
"071901","0"," ",41,71,51,78,95.4,85,"C",77,66,"C",70,46,"B",83,"B",83,51,"C",76,81,"B"
"071902","0"," ",46,78,56,85,87.3,60,"C",77,70,"B",80,51,"B",86,"B",86,76,"B",85,86,"B"
"071903","0"," ",45,76,51,78,93.2,75,"C",77,69,"C",79,48,"B",86,"B",86,74,"B",84,85,"B"
"071904","0"," ",40,70,65,91,90.7,65,"C",77,73,"B",85,53,"A",90,"A",90,56,"C",78,86,"B"
"071905","0"," ",51,82,47,76,93.1,75,"C",78,71,"B",82,49,"B",86,"B",86,62,"B",80,84,"B"
"071906","0"," ",43,74,29,60,98.3,95,"C",73,72,"B",84,36,"C",71,"B",84,42,"C",74,81,"B"
"071907","0"," ",49,81,63,91,94.2,80,"B",85,70,"B",80,56,"A",90,"A",90,91,"A",92,91,"A"
"071908","0"," ",34,59,75,94,96.2,90,"C",79,67,"C",73,55,"A",91,"A",91,54,"C",77,87,"B"
"071909","1"," ",52,83,54,82,94,80,"B",82,70,"B",80,53,"B",89,"B",89,80,"B",86,88,"B"
"072801"," "," ",39,89,25,91,93.5,85,"B",89,54,"C",74,.,"Not Rated",.,"C",74,13,"C",73,84,"B"
"072802"," "," ",33,84,21,90,100,95,"B",89,56,"C",76,.,"Not Rated",.,"C",76,.,"Not Rated",.,89,"B"
"072901"," "," ",39,67,.,.,.,.,"Met Standard",67,77,"Met Standard",87,39,"Met Standard",75,"Met Standard",87,29,"Met Standard",70,82,"Met Standard"
"072902","1"," ",53,84,64,91,100,95,"B",89,70,"B",80,59,"A",91,"A",91,100,"A",100,94,"A"
"072903","0"," ",51,82,69,92,100,95,"B",89,68,"C",76,60,"B",89,"B",89,84,"B",88,89,"B"
"072904"," "," ",45,73,.,.,.,.,"Met Standard",73,59,"Met Standard",65,45,"Improvement Required",59,"Met Standard",65,47,"Met Standard",74,73,"Met Standard"
"072908"," "," ",59,89,73,93,100,95,"Met Standard",92,74,"Met Standard",84,66,"Met Standard",81,"Met Standard",84,100,"Met Standard",100,94,"Met Standard"
"072909"," "," ",45,73,53,84,100,95,"Met Standard",82,71,"Met Standard",81,49,"Met Standard",77,"Met Standard",81,68,"Met Standard",79,81,"Met Standard"
"072910"," "," ",45,73,.,.,.,.,"Met Standard",73,51,"Improvement Required",53,45,"Improvement Required",58,"Improvement Required",58,10,"Improvement Required",43,59,"Improvement Required"
"073901"," "," ",46,74,55,86,100,95,"Met Standard",83,74,"Met Standard",84,51,"Met Standard",83,"Met Standard",84,79,"Met Standard",84,84,"Met Standard"
"073903","0"," ",23,50,32,63,91.2,65,"F",58,66,"C",70,28,"F",59,"C",70,10,"F",51,59,"F"
"073904"," "," ",52,79,.,.,.,.,"Met Standard",79,70,"Met Standard",72,52,"Improvement Required",58,"Met Standard",72,55,"Met Standard",72,77,"Met Standard"
"073905","0"," ",39,69,36,67,98,95,"C",73,68,"C",76,38,"C",70,"C",76,18,"D",62,72,"C"
"074903","0"," ",39,69,29,60,99.1,95,"C",71,63,"D",60,34,"D",64,"D",64,25,"D",67,70,"C"
"074904"," "," ",57,86,61,90,100,95,"Met Standard",89,67,"Met Standard",76,59,"Met Standard",82,"Met Standard",82,94,"Met Standard",89,89,"Met Standard"
"074905","0"," ",43,74,60,90,100,95,"B",85,66,"C",70,52,"B",81,"B",81,69,"B",82,84,"B"
"074907","0"," ",46,78,45,74,100,95,"B",80,72,"B",84,46,"C",79,"B",84,37,"C",72,80,"B"
"074909","0"," ",42,73,36,67,100,95,"C",75,63,"D",60,39,"D",67,"D",67,10,"F",51,68,"D"
"074911","0"," ",51,82,45,74,100,95,"B",81,66,"C",70,48,"C",75,"C",75,39,"C",73,79,"C"
"074912","0"," ",47,79,55,83,100,95,"B",84,63,"D",60,51,"C",75,"C",75,68,"B",82,83,"B"
"074917","0"," ",51,82,23,54,100,95,"C",73,66,"C",70,37,"F",58,"C",70,54,"C",77,74,"C"
"075901","0"," ",61,90,45,74,100,95,"B",85,73,"B",85,53,"B",86,"B",86,76,"B",85,86,"B"
"075902"," "," ",51,82,53,80,94.3,80,"B",81,72,"B",84,52,"B",83,"B",84,73,"B",84,84,"Not Rated: Harvey Provision"
"075903","0"," ",42,73,39,70,100,95,"C",76,63,"D",60,41,"C",71,"C",71,16,"D",61,72,"C"
"075906"," "," ",55,83,60,90,100,95,"Met Standard",88,76,"Met Standard",86,58,"Met Standard",76,"Met Standard",86,85,"Met Standard",86,87,"Met Standard"
"075908","0"," ",55,86,48,76,100,95,"B",84,66,"C",70,52,"C",78,"C",78,90,"A",91,86,"B"
"076903","1"," ",49,81,86,97,100,95,"A",90,73,"B",85,68,"A",92,"A",92,86,"B",88,91,"A"
"076904","0"," ",47,79,62,91,100,95,"B",87,70,"B",80,55,"B",87,"B",87,58,"C",78,84,"B"
"077901","1"," ",41,71,75,94,100,95,"B",85,72,"B",84,58,"A",91,"A",91,72,"B",83,89,"B"
"077902","0"," ",34,59,64,91,97.1,90,"C",78,60,"F",58,49,"B",86,"B",86,33,"C",71,82,"B"
"078901"," "," ",35,60,64,91,100,95,"Met Standard",79,63,"Met Standard",70,50,"Met Standard",82,"Met Standard",82,49,"Met Standard",75,80,"Met Standard"
"079901"," "," ",57,87,55,83,97.6,90,"B",86,72,"B",84,56,"B",81,"B",84,89,"A",90,87,"Not Rated: Harvey Provision"
"079906","0"," ",54,85,59,89,99.4,95,"B",89,68,"C",76,57,"B",81,"B",81,95,"A",95,91,"A"
"079907"," "," ",57,87,61,90,96.3,90,"B",89,72,"B",84,59,"B",83,"B",84,95,"B",89,89,"Not Rated: Harvey Provision"
"079910","0"," ",44,75,55,83,92.9,70,"C",77,68,"C",76,50,"B",85,"B",85,69,"B",82,84,"B"
"080901","0"," ",48,80,57,86,100,95,"B",85,70,"B",80,53,"B",84,"B",84,70,"B",83,84,"B"
"081902","0"," ",51,82,49,77,99.1,95,"B",83,67,"C",73,50,"C",79,"C",79,69,"B",82,83,"B"
"081904","0"," ",45,76,45,74,98.8,95,"C",79,65,"D",69,45,"C",76,"C",76,48,"C",75,78,"C"
"081905","0"," ",42,73,54,82,100,95,"B",81,60,"F",58,48,"C",79,"C",79,37,"C",72,78,"C"
"081906"," "," ",48,76,.,.,.,.,"Met Standard",76,71,"Met Standard",74,48,"Met Standard",72,"Met Standard",74,57,"Met Standard",72,75,"Met Standard"
"082902","0"," ",35,60,32,63,93.8,75,"D",64,67,"C",73,34,"D",65,"C",73,20,"D",63,70,"C"
"082903","0"," ",31,56,33,64,89.9,65,"D",61,65,"D",69,32,"D",63,"D",69,16,"D",61,67,"D"
"083901"," "," ",36,62,29,62,95.2,85,"Met Standard",67,71,"Met Standard",81,33,"Met Standard",65,"Met Standard",81,17,"Met Standard",63,76,"Met Standard"
"083902"," "," ",41,70,50,.,100,95,"Met Standard",70,71,"Met Standard",81,41,"Met Standard",72,"Met Standard",81,16,"Met Standard",63,76,"Met Standard"
"083903","0"," ",43,74,44,73,98.3,95,"C",78,65,"D",69,44,"C",72,"C",72,34,"C",71,76,"C"
"084802"," "," ",41,71,58,88,100,95,"B",83,62,"F",59,50,"B",86,"B",86,46,"C",75,83,"Not Rated: Harvey Provision"
"084804"," "," ",32,57,.,.,.,.,"Improvement Required",57,65,"Met Standard",62,32,"Improvement Required",59,"Met Standard",62,23,"Met Standard",60,61,"Met Standard"
"084901"," "," ",47,79,48,76,92.9,70,"C",76,68,"C",76,48,"B",81,"B",81,42,"C",74,79,"Not Rated: Harvey Provision"
"084902"," "," ",44,75,51,78,96.3,90,"C",79,67,"C",73,48,"B",83,"B",83,56,"C",78,82,"Not Rated: Harvey Provision"
"084903"," "," ",44,72,19,52,100,95,"Met Standard",69,71,"Met Standard",81,32,"Met Standard",65,"Met Standard",81,28,"Met Standard",70,78,"Met Standard"
"084906"," "," ",38,67,43,73,92.2,70,"C",70,66,"C",70,41,"C",75,"C",75,26,"D",68,73,"Not Rated: Harvey Provision"
