District Number,TEA District Name,District Name
57803,UPLIFT EDUCATION,Uplift Education
61802,NORTH TEXAS COLLEGIATE ACADEMY,North Texas Collegiate Academy
108802,HORIZON MONTESSORI PUBLIC SCHOOLS,Horizon Montessori Public Schools
