DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS,DISTNAME_CLEAN,DD1G,DD2G,DD3G,D_RATING
049902,MUENSTER ISD,49.0,COOKE,11.0,N,N,Meets Requirements, ,Muenster ISD,A,A,A,A
049903,VALLEY VIEW ISD,49.0,COOKE,11.0,N,N,Meets Requirements, ,Valley View ISD,B,B,C,B
049905,CALLISBURG ISD,49.0,COOKE,11.0,N,N,Meets Requirements, ,Callisburg ISD,A,B,B,B
049906,ERA ISD,49.0,COOKE,11.0,N,N,Meets Requirements, ,Era ISD,B,B,B,B
049907,LINDSAY ISD,49.0,COOKE,11.0,N,N,Meets Requirements, ,Lindsay ISD,A,A,A,A
049908,WALNUT BEND ISD,49.0,COOKE,11.0,N,N,Meets Requirements, ,Walnut Bend ISD,C,C,Not Rated,C
049909,SIVELLS BEND ISD,49.0,COOKE,11.0,N,N,Meets Requirements, ,Sivells Bend ISD,C,C,Not Rated,C
050901,EVANT ISD,50.0,CORYELL,12.0,N,N,Meets Requirements, ,Evant ISD,B,B,C,B
050902,GATESVILLE ISD,50.0,CORYELL,12.0,N,N,Meets Requirements, ,Gatesville ISD,B,A,C,B
050904,OGLESBY ISD,50.0,CORYELL,12.0,N,N,Meets Requirements, ,Oglesby ISD,B,B,C,B
050909,JONESBORO ISD,50.0,CORYELL,12.0,N,N,Meets Requirements, ,Jonesboro ISD,B,B,C,B
050910,COPPERAS COVE ISD,50.0,CORYELL,12.0,N,N,Needs Assistance, ,Copperas Cove ISD,B,B,C,B
051901,PADUCAH ISD,51.0,COTTLE,17.0,N,N,Meets Requirements, ,Paducah ISD,B,B,B,B
052901,CRANE ISD,52.0,CRANE,18.0,N,N,Meets Requirements, ,Crane ISD,C,D,F,D
053001,CROCKETT COUNTY CONSOLIDATED CSD,53.0,CROCKETT,15.0,N,N,Meets Requirements, ,Crockett County Consolidated CSD,C,C,F,D
054901,CROSBYTON CISD,54.0,CROSBY,17.0,N,N,Meets Requirements, ,Crosbyton CISD,B,B,C,B
054902,LORENZO ISD,54.0,CROSBY,17.0,N,N,Meets Requirements, ,Lorenzo ISD,B,A,C,B
054903,RALLS ISD,54.0,CROSBY,17.0,N,N,Meets Requirements, ,Ralls ISD,C,B,C,B
055901,CULBERSON COUNTY-ALLAMOORE ISD,55.0,CULBERSON,18.0,N,N,Meets Requirements, ,Culberson County-Allamoore ISD,B,B,C,B
056901,DALHART ISD,56.0,DALLAM,16.0,N,N,Meets Requirements, ,Dalhart ISD,B,B,C,B
056902,TEXLINE ISD,56.0,DALLAM,16.0,N,N,Meets Requirements, ,Texline ISD,B,A,C,B
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,57.0,DALLAS,10.0,Y,Y,Meets Requirements, ,Pegasus School Of Liberal Arts And,B,C,A,A
057803,UPLIFT EDUCATION,57.0,DALLAS,10.0,Y,N,Meets Requirements,ASVAB Test not Offered,Uplift Education,B,B,B,B
057804,TEXANS CAN ACADEMIES,57.0,DALLAS,10.0,Y,Y,Needs Assistance,ASVAB Test not Offered,Texans Can Academies,C,C,F,D
057805,LUMIN EDUCATION,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Lumin Education,D,D,F,F
057806,ADVANTAGE ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Advantage Academy,C,C,C,C
057807,LIFE SCHOOL,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Life School,B,B,C,B
057808,UNIVERSAL ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Universal Academy,A,A,B,A
057809,NOVA ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Nova Academy,F,D,Not Rated,D
057810,ACADEMY OF DALLAS,57.0,DALLAS,10.0,Y,N,Needs Assistance, ,Academy Of Dallas,D,C,D,C
057813,TRINITY BASIN PREPARATORY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Trinity Basin Preparatory,C,A,B,B
057814,ACADEMY FOR ACADEMIC EXCELLENCE,57.0,DALLAS,10.0,Y,Y,Meets Requirements,ASVAB Test not Offered,Academy For Academic Excellence,Not Rated,Not Rated,Not Rated,Not Rated
057816,A W BROWN LEADERSHIP ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,A W Brown Leadership Academy,D,C,D,C
057819,JEAN MASSIEU ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Jean Massieu Academy,C,B,C,B
057827,NOVA ACADEMY SOUTHEAST,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Nova Academy Southeast,C,B,C,B
057828,WINFREE ACADEMY CHARTER SCHOOLS,57.0,DALLAS,10.0,Y,Y,Needs Assistance, ,Winfree Academy Charter Schools,B,D,D,C
057829,A+ ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,A+ Academy,C,B,C,C
057830,INSPIRED VISION ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Inspired Vision Academy,C,C,C,C
057831,GATEWAY CHARTER ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements,ASVAB Test not Offered,Gateway Charter Academy,D,C,D,C
057833,EDUCATION CENTER INTERNATIONAL ACA,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Education Center International Aca,C,C,C,C
057834,EVOLUTION ACADEMY CHARTER SCHOOL,57.0,DALLAS,10.0,Y,Y,Needs Assistance, ,Evolution Academy Charter School,C,C,C,C
057835,GOLDEN RULE CHARTER SCHOOL,57.0,DALLAS,10.0,Y,N,Meets Requirements,ASVAB Test not Offered,Golden Rule Charter School,B,A,A,A
057836,ST ANTHONY SCHOOL,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,St Anthony School,B,B,B,B
057839,LA ACADEMIA DE ESTRELLAS,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,La Academia De Estrellas,C,C,C,C
057840,RICHLAND COLLEGIATE HIGH SCHOOL,57.0,DALLAS,10.0,Y,N,Meets Requirements,ASVAB Alternative Test Offered,Richland Collegiate High School,A,A,Not Rated,A
057841,CITYSCAPE SCHOOLS,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Cityscape Schools,D,C,C,C
057844,MANARA ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements,ASVAB Test not Offered,Manara Academy,C,C,D,D
057845,UME PREPARATORY ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Ume Preparatory Academy,A,B,B,A
057846,LEGACY PREPARATORY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Legacy Preparatory,C,B,C,B
057847,VILLAGE TECH SCHOOLS,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Village Tech Schools,B,B,C,B
057848,INTERNATIONAL LEADERSHIP OF TEXAS,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,International Leadership Of Texas,B,B,C,B
057850,PIONEER TECHNOLOGY & ARTS ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements,ASVAB Test not Offered,Pioneer Technology & Arts Academy,A,A,B,A
057851,BRIDGEWAY PREPARATORY ACADEMY,57.0,DALLAS,10.0,Y,N,Meets Requirements, ,Bridgeway Preparatory Academy,Not Rated,Not Rated,Not Rated,Not Rated
057903,CARROLLTON-FARMERS BRANCH ISD,57.0,DALLAS,10.0,N,N,Needs Assistance, ,Carrollton-Farmers Branch ISD,B,B,B,B
057904,CEDAR HILL ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Cedar Hill ISD,C,B,C,B
057905,DALLAS ISD,57.0,DALLAS,10.0,N,N,Needs Assistance, ,Dallas ISD,C,B,C,B
057906,DESOTO ISD,57.0,DALLAS,10.0,N,N,Needs Intervention, ,Desoto ISD,C,B,C,C
057907,DUNCANVILLE ISD,57.0,DALLAS,10.0,N,N,Needs Intervention, ,Duncanville ISD,C,B,C,B
057909,GARLAND ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Garland ISD,B,B,B,B
057910,GRAND PRAIRIE ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Grand Prairie ISD,C,B,B,B
057911,HIGHLAND PARK ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Highland Park ISD,A,A,A,A
057912,IRVING ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Irving ISD,B,B,B,B
057913,LANCASTER ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Lancaster ISD,C,B,C,B
057914,MESQUITE ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Mesquite ISD,B,B,B,B
057916,RICHARDSON ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Richardson ISD,B,B,B,B
057919,SUNNYVALE ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Sunnyvale ISD,A,A,A,A
057922,COPPELL ISD,57.0,DALLAS,10.0,N,N,Meets Requirements, ,Coppell ISD,A,A,A,A
058902,DAWSON ISD,58.0,DAWSON,17.0,N,N,Meets Requirements, ,Dawson ISD,C,C,C,C
058905,KLONDIKE ISD,58.0,DAWSON,17.0,N,N,Meets Requirements, ,Klondike ISD,A,A,A,A
058906,LAMESA ISD,58.0,DAWSON,17.0,N,N,Meets Requirements, ,Lamesa ISD,B,B,C,B
058909,SANDS CISD,58.0,DAWSON,17.0,N,N,Meets Requirements, ,Sands CISD,A,A,B,A
059901,HEREFORD ISD,59.0,DEAF SMITH,16.0,N,N,Meets Requirements, ,Hereford ISD,C,B,C,B
059902,WALCOTT ISD,59.0,DEAF SMITH,16.0,N,N,Meets Requirements, ,Walcott ISD,C,C,C,C
060902,COOPER ISD,60.0,DELTA,8.0,N,N,Needs Assistance, ,Cooper ISD,B,A,B,B
060914,FANNINDEL ISD,60.0,DELTA,8.0,N,N,Meets Requirements, ,Fannindel ISD,C,B,C,B
061802,NORTH TEXAS COLLEGIATE ACADEMY,61.0,DENTON,11.0,Y,N,Meets Requirements, ,North Texas Collegiate Academy,F,C,D,D
061804,LEADERSHIP PREP SCHOOL,61.0,DENTON,10.0,Y,N,Meets Requirements, ,Leadership Prep School,A,B,A,A
061805,TRIVIUM ACADEMY,61.0,DENTON,11.0,Y,N,Meets Requirements, ,Trivium Academy,A,C,C,B
061901,DENTON ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Denton ISD,B,B,B,B
061902,LEWISVILLE ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Lewisville ISD,B,B,B,B
061903,PILOT POINT ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Pilot Point ISD,B,B,B,B
061905,KRUM ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Krum ISD,B,C,B,B
061906,PONDER ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Ponder ISD,B,B,B,B
061907,AUBREY ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Aubrey ISD,A,B,B,A
061908,SANGER ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Sanger ISD,B,B,B,B
061910,ARGYLE ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Argyle ISD,A,B,A,A
061911,NORTHWEST ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Northwest ISD,A,B,A,A
061912,LAKE DALLAS ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Lake Dallas ISD,B,B,B,B
061914,LITTLE ELM ISD,61.0,DENTON,11.0,N,N,Meets Requirements, ,Little Elm ISD,B,B,B,B
062901,CUERO ISD,62.0,DEWITT,3.0,N,N,Meets Requirements, ,Cuero ISD,B,B,C,B
062902,NORDHEIM ISD,62.0,DEWITT,3.0,N,N,Meets Requirements, ,Nordheim ISD,D,C,D,D
062903,YOAKUM ISD,62.0,DEWITT,3.0,N,N,Needs Assistance, ,Yoakum ISD,B,B,C,B
062904,YORKTOWN ISD,62.0,DEWITT,3.0,N,N,Meets Requirements, ,Yorktown ISD,C,C,F,D
062905,WESTHOFF ISD,62.0,DEWITT,3.0,N,N,Meets Requirements, ,Westhoff ISD,C,B,C,B
062906,MEYERSVILLE ISD,62.0,DEWITT,3.0,N,N,Meets Requirements, ,Meyersville ISD,B,B,C,B
063903,SPUR ISD,63.0,DICKENS,17.0,N,N,Meets Requirements, ,Spur ISD,B,A,B,B
063906,PATTON SPRINGS ISD,63.0,DICKENS,17.0,N,N,Meets Requirements, ,Patton Springs ISD,B,A,B,B
064903,CARRIZO SPRINGS CISD,64.0,DIMMIT,20.0,N,N,Meets Requirements, ,Carrizo Springs CISD,C,B,C,B
065901,CLARENDON ISD,65.0,DONLEY,16.0,N,N,Meets Requirements, ,Clarendon ISD,B,B,B,B
065902,HEDLEY ISD,65.0,DONLEY,16.0,N,N,Meets Requirements, ,Hedley ISD,B,B,B,Data Integrity Issues
066005,RAMIREZ CSD,66.0,DUVAL,2.0,N,N,Meets Requirements, ,Ramirez CSD,D,D,Not Rated,D
066901,BENAVIDES ISD,66.0,DUVAL,2.0,N,N,Meets Requirements, ,Benavides ISD,B,A,C,B
066902,SAN DIEGO ISD,66.0,DUVAL,2.0,N,N,Meets Requirements, ,San Diego ISD,C,B,C,B
066903,FREER ISD,66.0,DUVAL,2.0,N,N,Meets Requirements, ,Freer ISD,C,B,C,B
067902,CISCO ISD,67.0,EASTLAND,14.0,N,N,Meets Requirements, ,Cisco ISD,A,A,B,A
067903,EASTLAND ISD,67.0,EASTLAND,14.0,N,N,Meets Requirements, ,Eastland ISD,B,A,B,B
067904,GORMAN ISD,67.0,EASTLAND,14.0,N,N,Meets Requirements, ,Gorman ISD,B,B,B,B
067907,RANGER ISD,67.0,EASTLAND,14.0,N,N,Meets Requirements, ,Ranger ISD,C,B,C,C
067908,RISING STAR ISD,67.0,EASTLAND,14.0,N,N,Meets Requirements, ,Rising Star ISD,A,A,B,A
068802,COMPASS ACADEMY CHARTER SCHOOL,68.0,ECTOR,18.0,Y,N,Meets Requirements,ASVAB Test not Offered,Compass Academy Charter School,B,B,B,B
068803,UTPB STEM ACADEMY,68.0,ECTOR,18.0,Y,N,Meets Requirements, ,Utpb Stem Academy,C,C,C,C
068901,ECTOR COUNTY ISD,68.0,ECTOR,18.0,N,N,Needs Intervention, ,Ector County ISD,C,C,C,C
069901,ROCKSPRINGS ISD,69.0,EDWARDS,15.0,N,N,Meets Requirements, ,Rocksprings ISD,C,B,C,C
069902,NUECES CANYON CISD,69.0,EDWARDS,15.0,N,N,Meets Requirements, ,Nueces Canyon CISD,A,A,B,B
070801,WAXAHACHIE FAITH FAMILY ACADEMY,70.0,ELLIS,10.0,Y,Y,Meets Requirements, ,Waxahachie Faith Family Academy,B,B,B,A
070901,AVALON ISD,70.0,ELLIS,10.0,N,N,Meets Requirements, ,Avalon ISD,B,B,C,B
070903,ENNIS ISD,70.0,ELLIS,10.0,N,N,Meets Requirements, ,Ennis ISD,B,A,B,B
070905,FERRIS ISD,70.0,ELLIS,10.0,N,N,Needs Assistance, ,Ferris ISD,B,B,C,B
070907,ITALY ISD,70.0,ELLIS,10.0,N,N,Meets Requirements, ,Italy ISD,B,B,C,B
070908,MIDLOTHIAN ISD,70.0,ELLIS,10.0,N,N,Meets Requirements, ,Midlothian ISD,A,B,B,B
070909,MILFORD ISD,70.0,ELLIS,10.0,N,N,Meets Requirements, ,Milford ISD,D,C,F,F
070910,PALMER ISD,70.0,ELLIS,10.0,N,N,Meets Requirements, ,Palmer ISD,A,A,B,B
070911,RED OAK ISD,70.0,ELLIS,10.0,N,N,Needs Assistance, ,Red Oak ISD,B,B,B,B
070912,WAXAHACHIE ISD,70.0,ELLIS,10.0,N,N,Needs Assistance, ,Waxahachie ISD,B,A,B,B
070915,MAYPEARL ISD,70.0,ELLIS,10.0,N,N,Meets Requirements, ,Maypearl ISD,B,B,C,B
071801,BURNHAM WOOD CHARTER SCHOOL DISTRI,71.0,EL PASO,19.0,Y,N,Meets Requirements, ,Burnham Wood Charter School Distri,A,A,A,A
071803,TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS,71.0,EL PASO,19.0,Y,Y,Meets Requirements, ,Triumph Public High Schools-El Pas,B,A,B,A
071804,EL PASO ACADEMY,71.0,EL PASO,19.0,Y,Y,Needs Assistance, ,El Paso Academy,B,A,F,C
071806,HARMONY SCIENCE ACAD (EL PASO),71.0,EL PASO,19.0,Y,N,Meets Requirements, ,Harmony Science Acad (El Paso),A,A,B,A
071807,LA FE PREPARATORY SCHOOL,71.0,EL PASO,19.0,Y,N,Meets Requirements, ,La Fe Preparatory School,F,F,F,F
071809,VISTA DEL FUTURO CHARTER SCHOOL,71.0,EL PASO,19.0,Y,N,Meets Requirements, ,Vista Del Futuro Charter School,A,A,A,A
071810,EL PASO LEADERSHIP ACADEMY,71.0,EL PASO,19.0,Y,N,Meets Requirements, ,El Paso Leadership Academy,C,B,B,B
071901,CLINT ISD,71.0,EL PASO,19.0,N,N,Meets Requirements, ,Clint ISD,B,A,B,B
071902,EL PASO ISD,71.0,EL PASO,19.0,N,N,Needs Assistance, ,El Paso ISD,B,B,B,B
071903,FABENS ISD,71.0,EL PASO,19.0,N,N,Needs Intervention, ,Fabens ISD,B,A,B,B
071904,SAN ELIZARIO ISD,71.0,EL PASO,19.0,N,N,Needs Assistance, ,San Elizario ISD,B,A,B,B
071905,YSLETA ISD,71.0,EL PASO,19.0,N,N,Meets Requirements, ,Ysleta ISD,B,A,B,B
071906,ANTHONY ISD,71.0,EL PASO,19.0,N,N,Meets Requirements, ,Anthony ISD,B,A,B,B
071907,CANUTILLO ISD,71.0,EL PASO,19.0,N,N,Needs Substantial Intervention, ,Canutillo ISD,B,A,A,A
071908,TORNILLO ISD,71.0,EL PASO,19.0,N,N,Meets Requirements, ,Tornillo ISD,B,B,C,B
071909,SOCORRO ISD,71.0,EL PASO,19.0,N,N,Needs Assistance,ASVAB Alternative Test Offered,Socorro ISD,B,A,B,A
072801,PREMIER HIGH SCHOOLS,72.0,ERATH,11.0,Y,Y,Meets Requirements,ASVAB Alternative Test Offered,Premier High Schools,B,C,D,B
072802,ERATH EXCELS ACADEMY INC,72.0,ERATH,11.0,Y,Y,Meets Requirements, ,Erath Excels Academy Inc,B,C,F,C
072901,THREE WAY ISD,72.0,ERATH,11.0,N,N,Meets Requirements,ASVAB Alternative Test Offered,Three Way ISD,C,C,D,C
072902,DUBLIN ISD,72.0,ERATH,11.0,N,N,Meets Requirements, ,Dublin ISD,A,A,A,A
072903,STEPHENVILLE ISD,72.0,ERATH,11.0,N,N,Meets Requirements, ,Stephenville ISD,A,A,B,A
072904,BLUFF DALE ISD,72.0,ERATH,11.0,N,N,Meets Requirements, ,Bluff Dale ISD,C,D,C,C
072908,HUCKABAY ISD,72.0,ERATH,11.0,N,N,Meets Requirements, ,Huckabay ISD,A,B,B,A
072909,LINGLEVILLE ISD,72.0,ERATH,11.0,N,N,Meets Requirements, ,Lingleville ISD,B,B,B,B
072910,MORGAN MILL ISD,72.0,ERATH,11.0,N,N,Meets Requirements, ,Morgan Mill ISD,C,B,C,B
073901,CHILTON ISD,73.0,FALLS,12.0,N,N,Meets Requirements, ,Chilton ISD,B,A,C,B
073903,MARLIN ISD,73.0,FALLS,12.0,N,N,Meets Requirements, ,Marlin ISD,F,D,F,F
073904,WESTPHALIA ISD,73.0,FALLS,12.0,N,N,Meets Requirements, ,Westphalia ISD,B,C,C,B
073905,ROSEBUD-LOTT ISD,73.0,FALLS,12.0,N,N,Meets Requirements, ,Rosebud-Lott ISD,C,D,F,D
074903,BONHAM ISD,74.0,FANNIN,10.0,N,N,Meets Requirements, ,Bonham ISD,C,C,F,C
074904,DODD CITY ISD,74.0,FANNIN,10.0,N,N,Meets Requirements, ,Dodd City ISD,A,B,B,A
074905,ECTOR ISD,74.0,FANNIN,10.0,N,N,Meets Requirements, ,Ector ISD,B,A,C,B
074907,HONEY GROVE ISD,74.0,FANNIN,8.0,N,N,Meets Requirements, ,Honey Grove ISD,B,B,B,B
074909,LEONARD ISD,74.0,FANNIN,10.0,N,N,Meets Requirements, ,Leonard ISD,B,C,C,C
074911,SAVOY ISD,74.0,FANNIN,10.0,N,N,Meets Requirements, ,Savoy ISD,A,A,A,A
074912,TRENTON ISD,74.0,FANNIN,10.0,N,N,Meets Requirements, ,Trenton ISD,B,C,B,B
074917,SAM RAYBURN ISD,74.0,FANNIN,10.0,N,N,Meets Requirements, ,Sam Rayburn ISD,A,A,B,A
075901,FLATONIA ISD,75.0,FAYETTE,13.0,N,N,Meets Requirements, ,Flatonia ISD,B,A,B,A
075902,LA GRANGE ISD,75.0,FAYETTE,13.0,N,N,Meets Requirements, ,La Grange ISD,B,A,B,B
075903,SCHULENBURG ISD,75.0,FAYETTE,13.0,N,N,Meets Requirements, ,Schulenburg ISD,B,B,C,B
075906,FAYETTEVILLE ISD,75.0,FAYETTE,13.0,N,N,Meets Requirements, ,Fayetteville ISD,B,C,C,B
075908,ROUND TOP-CARMINE ISD,75.0,FAYETTE,13.0,N,N,Meets Requirements, ,Round Top-Carmine ISD,A,A,A,A
076903,ROBY CISD,76.0,FISHER,14.0,N,N,Meets Requirements, ,Roby CISD,A,B,B,B
076904,ROTAN ISD,76.0,FISHER,14.0,N,N,Meets Requirements, ,Rotan ISD,A,A,A,A
077901,FLOYDADA ISD,77.0,FLOYD,17.0,N,N,Meets Requirements, ,Floydada ISD,B,A,B,B
077902,LOCKNEY ISD,77.0,FLOYD,17.0,N,N,Meets Requirements, ,Lockney ISD,B,A,C,B
078901,CROWELL ISD,78.0,FOARD,9.0,N,N,Meets Requirements, ,Crowell ISD,B,B,C,B
079901,LAMAR CISD,79.0,FORT BEND,4.0,N,N,Meets Requirements, ,Lamar CISD,A,A,B,A
079906,NEEDVILLE ISD,79.0,FORT BEND,4.0,N,N,Meets Requirements, ,Needville ISD,A,A,B,A
079907,FORT BEND ISD,79.0,FORT BEND,4.0,N,N,Needs Assistance, ,Fort Bend ISD,B,B,B,B
079910,STAFFORD MSD,79.0,FORT BEND,4.0,N,N,Needs Substantial Intervention, ,Stafford Msd,B,B,B,B
080901,MOUNT VERNON ISD,80.0,FRANKLIN,8.0,N,N,Meets Requirements, ,Mount Vernon ISD,B,A,C,B
081902,FAIRFIELD ISD,81.0,FREESTONE,12.0,N,N,Meets Requirements, ,Fairfield ISD,B,A,C,B
081904,TEAGUE ISD,81.0,FREESTONE,12.0,N,N,Needs Assistance, ,Teague ISD,B,A,B,B
081905,WORTHAM ISD,81.0,FREESTONE,12.0,N,N,Meets Requirements, ,Wortham ISD,B,B,C,B
081906,DEW ISD,81.0,FREESTONE,12.0,N,N,Meets Requirements, ,Dew ISD,D,D,F,D
082902,DILLEY ISD,82.0,FRIO,20.0,N,N,Needs Assistance, ,Dilley ISD,C,B,C,C
082903,PEARSALL ISD,82.0,FRIO,20.0,N,N,Needs Assistance, ,Pearsall ISD,C,C,C,C
083901,SEAGRAVES ISD,83.0,GAINES,17.0,N,N,Meets Requirements, ,Seagraves ISD,C,B,C,C
083902,LOOP ISD,83.0,GAINES,17.0,N,N,Meets Requirements, ,Loop ISD,A,A,B,B
083903,SEMINOLE ISD,83.0,GAINES,17.0,N,N,Meets Requirements, ,Seminole ISD,B,B,C,B
084802,ODYSSEY ACADEMY INC,84.0,GALVESTON,4.0,Y,N,Meets Requirements, ,Odyssey Academy Inc,B,B,C,B
084804,AMBASSADORS PREPARATORY ACADEMY,84.0,GALVESTON,4.0,Y,N,Meets Requirements, ,Ambassadors Preparatory Academy,D,C,F,D
084901,DICKINSON ISD,84.0,GALVESTON,4.0,N,N,Needs Substantial Intervention, ,Dickinson ISD,B,B,C,B
084902,GALVESTON ISD,84.0,GALVESTON,4.0,N,N,Needs Intervention, ,Galveston ISD,B,B,B,B
084903,HIGH ISLAND ISD,84.0,GALVESTON,5.0,N,N,Meets Requirements, ,High Island ISD,A,A,B,A
084906,TEXAS CITY ISD,84.0,GALVESTON,4.0,N,N,Needs Assistance, ,Texas City ISD,C,B,C,C
084908,HITCHCOCK ISD,84.0,GALVESTON,4.0,N,N,Needs Substantial Intervention, ,Hitchcock ISD,D,D,F,D
084909,SANTA FE ISD,84.0,GALVESTON,4.0,N,N,Meets Requirements, ,Santa Fe ISD,C,C,C,C
084910,CLEAR CREEK ISD,84.0,GALVESTON,4.0,N,N,Meets Requirements, ,Clear Creek ISD,A,B,B,B
084911,FRIENDSWOOD ISD,84.0,GALVESTON,4.0,N,N,Meets Requirements, ,Friendswood ISD,A,B,A,A
085902,POST ISD,85.0,GARZA,17.0,N,N,Meets Requirements, ,Post ISD,C,B,C,B
085903,SOUTHLAND ISD,85.0,GARZA,17.0,N,N,Meets Requirements, ,Southland ISD,B,B,C,B
086024,DOSS CONSOLIDATED CSD,86.0,GILLESPIE,13.0,N,N,Meets Requirements, ,Doss Consolidated CSD,Not Rated,Not Rated,Not Rated,Not Rated
086901,FREDERICKSBURG ISD,86.0,GILLESPIE,13.0,N,N,Meets Requirements, ,Fredericksburg ISD,B,B,B,B
086902,HARPER ISD,86.0,GILLESPIE,13.0,N,N,Meets Requirements, ,Harper ISD,A,B,B,B
087901,GLASSCOCK COUNTY ISD,87.0,GLASSCOCK,18.0,N,N,Meets Requirements, ,Glasscock County ISD,A,A,A,A
088902,GOLIAD ISD,88.0,GOLIAD,3.0,N,N,Needs Intervention, ,Goliad ISD,B,B,C,B
089901,GONZALES ISD,89.0,GONZALES,13.0,N,N,Meets Requirements, ,Gonzales ISD,C,B,C,B
089903,NIXON-SMILEY CISD,89.0,GONZALES,13.0,N,N,Meets Requirements, ,Nixon-Smiley CISD,C,B,C,C
089905,WAELDER ISD,89.0,GONZALES,13.0,N,N,Needs Intervention, ,Waelder ISD,C,B,C,C
090902,LEFORS ISD,90.0,GRAY,16.0,N,N,Meets Requirements, ,Lefors ISD,B,C,C,C
090903,MCLEAN ISD,90.0,GRAY,16.0,N,N,Meets Requirements, ,McLean ISD,A,A,B,Data Integrity Issues
090904,PAMPA ISD,90.0,GRAY,16.0,N,N,Needs Assistance, ,Pampa ISD,B,B,B,B
090905,GRANDVIEW-HOPKINS ISD,90.0,GRAY,16.0,N,N,Meets Requirements, ,Grandview-Hopkins ISD,C,D,Not Rated,C
091901,BELLS ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Bells ISD,A,A,B,A
091902,COLLINSVILLE ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements,ASVAB Test not Offered,Collinsville ISD,B,B,C,B
091903,DENISON ISD,91.0,GRAYSON,10.0,N,N,Needs Assistance, ,Denison ISD,B,B,B,B
091905,HOWE ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Howe ISD,B,A,B,B
091906,SHERMAN ISD,91.0,GRAYSON,10.0,N,N,Needs Intervention, ,Sherman ISD,B,B,C,B
091907,TIOGA ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Tioga ISD,A,B,B,A
091908,VAN ALSTYNE ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Van Alstyne ISD,A,B,A,A
091909,WHITESBORO ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Whitesboro ISD,B,B,B,B
091910,WHITEWRIGHT ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Whitewright ISD,B,B,B,B
091913,POTTSBORO ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Pottsboro ISD,B,B,B,B
091914,S AND S CISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,S And S CISD,B,B,C,B
091917,GUNTER ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Gunter ISD,A,B,B,A
091918,TOM BEAN ISD,91.0,GRAYSON,10.0,N,N,Meets Requirements, ,Tom Bean ISD,B,C,B,B
