Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,economic_status,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
3,VICTORIA,196,REFUGIO,2013,econ_status,Economically Disadvantaged,31,26,18,7,83%,58%,22%
3,VICTORIA,196,REFUGIO,2013,econ_status,Not Economically Disadvantaged,39,37,26,13,94%,66%,33%
3,VICTORIA,235,VICTORIA,2013,econ_status,Economically Disadvantaged,619,430,206,51,69%,33%,8%
3,VICTORIA,235,VICTORIA,2013,econ_status,Not Economically Disadvantaged,442,368,295,134,83%,66%,30%
3,VICTORIA,241,WHARTON,2013,econ_status,Economically Disadvantaged,340,283,153,57,83%,45%,16%
3,VICTORIA,241,WHARTON,2013,econ_status,Not Economically Disadvantaged,256,244,200,136,95%,78%,53%
4,HOUSTON,20,BRAZORIA,2013,econ_status,Economically Disadvantaged,2000,1615,894,376,80%,44%,18%
4,HOUSTON,20,BRAZORIA,2013,econ_status,Not Economically Disadvantaged,2681,2383,1887,1106,88%,70%,41%
4,HOUSTON,36,CHAMBERS,2013,econ_status,Economically Disadvantaged,99,83,51,24,83%,51%,24%
4,HOUSTON,36,CHAMBERS,2013,econ_status,Not Economically Disadvantaged,360,328,273,169,91%,75%,46%
4,HOUSTON,79,FORT BEND,2013,econ_status,Economically Disadvantaged,3211,2592,1622,634,80%,50%,19%
4,HOUSTON,79,FORT BEND,2013,econ_status,Not Economically Disadvantaged,4505,4060,3164,1977,90%,70%,43%
4,HOUSTON,84,GALVESTON,2013,econ_status,Economically Disadvantaged,2237,1735,1044,427,77%,46%,19%
4,HOUSTON,84,GALVESTON,2013,econ_status,Not Economically Disadvantaged,3687,3277,2652,1692,88%,71%,45%
4,HOUSTON,101,HARRIS,2013,econ_status,Economically Disadvantaged,37144,29588,16670,6059,79%,44%,16%
4,HOUSTON,101,HARRIS,2013,econ_status,Not Economically Disadvantaged,21878,18813,13280,7449,85%,60%,34%
4,HOUSTON,146,LIBERTY,2013,econ_status,Economically Disadvantaged,649,484,206,78,74%,31%,12%
4,HOUSTON,146,LIBERTY,2013,econ_status,Not Economically Disadvantaged,440,357,235,108,81%,53%,24%
4,HOUSTON,237,WALLER,2013,econ_status,Economically Disadvantaged,442,363,154,51,82%,34%,11%
4,HOUSTON,237,WALLER,2013,econ_status,Not Economically Disadvantaged,221,203,132,69,91%,59%,31%
5,BEAUMONT,36,CHAMBERS,2013,econ_status,Not Economically Disadvantaged,33,27,18,10,81%,54%,30%
5,BEAUMONT,100,HARDIN,2013,econ_status,Economically Disadvantaged,166,114,54,19,68%,32%,11%
5,BEAUMONT,100,HARDIN,2013,econ_status,Not Economically Disadvantaged,544,459,351,207,84%,64%,38%
