CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART
"'003903004","STUBBLEFIELD LRN CTR","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","S","'09 - 12"," "," ","Y","N"
"'003903044","LUFKIN MIDDLE","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","M","'06 - 08"," "," ","N","N"
"'003903120","ANDERSON EL","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'03 - 05"," "," ","N","N"
"'003903121","BRANDON EL","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'03 - 05"," "," ","N","N"
"'003903122","BROOKHOLLOW EL","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'03 - 05"," "," ","N","N"
"'003903123","COSTON EL","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'03 - 05"," "," ","N","N"
"'003903124","DUNBAR PRI","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'KG - 02","'003903121","BRANDON EL","N","N"
"'003903125","GARRETT PRI","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'PK - PK","'003903000","LUFKIN ISD","N","N"
"'003903127","HERTY PRI","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'EE - 02","'003903123","COSTON EL","N","N"
"'003903128","KURTH PRI","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'PK - 02","'003903120","ANDERSON EL","N","N"
"'003903129","SLACK EL","'003903","LUFKIN ISD","'07","REGION 07: KILGORE","'003","ANGELINA","E","'02 - 05"," "," ","N","N"
