CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART
"'057905029","BARBARA M MANNS H S DAEP","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905032","JAMES MADISON H S","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905033","MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905034","BOOKER T WASHINGTON SPVA MAGNET","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905035","IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","B","'06 - 12"," "," ","N","N"
"'057905036","SCHOOL OF HEALTH PROFESSIONS","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905037","ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905038","JUDGE BAREFOOT SANDERS LAW MAGNET","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905039","SCHOOL FOR THE TALENTED AND GIFTED","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905042","JUDGE LOUIS A BEDFORD JR LAW ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905043","T W BROWNE MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905045","E B COMSTOCK MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905046","YOUNG MEN'S LEADERSHIP ACADEMY AT FRED F FLORENCE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905047","BENJAMIN FRANKLIN INTERNATIONAL EXPLORATORY ACAD","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905048","W H GASTON MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905049","W E GREINER EXPLORATORY ARTS ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905050","ROBERT T HILL MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905051","JOHN LEWIS SOCIAL JUSTICE ACADEMY AT O W HOLMES","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'07 - 08"," "," ","N","N"
"'057905052","PIEDMONT GLOBAL ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905053","J L LONG MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905054","THOMAS C MARSH MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905055","THOMAS J RUSK MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905056","EWELL D WALKER MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905058","ALEX W SPENCE TALENTED/GIFTED ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905059","L V STOCKARD MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905060","BOUDE STOREY MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905062","BILLY EARL DADE MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905068","RAUL QUINTANILLA SR MIDDLE STEAM ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'07 - 08"," "," ","N","N"
"'057905069","SEAGOVILLE MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905071","DALLAS ENVIRONMENTAL SCIENCE ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905072","DR FREDERICK DOUGLASS TODD SR MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905073","HENRY W LONGFELLOW CAREER EXPLORATION ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905076","HAROLD WENDELL LANG SR MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905077","HECTOR P GARCIA MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905079","FRANCISCO PANCHO MEDRANO J H","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905083","SAM TASBY MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905085","KATHLYN JOY GILLIAM COLLEGIATE ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905088","TRINIDAD GARZA EARLY COLLEGE AT MT VIEW","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905090","DR WRIGHT L LASSITER JR EARLY COLLEGE H S","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 12"," "," ","N","N"
"'057905096","JUVENILE JUSTICE AEP","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","S","'09 - 11"," "," ","N","N"
"'057905099","HOSPITAL/HOMEBOUND","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","B","'PK - 12"," "," ","N","N"
"'057905100","ZAN WESLEY HOLMES JR MIDDLE","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'06 - 08"," "," ","N","N"
"'057905101","JOHN Q ADAMS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905102","PREK PARTNERSHIP CENTER","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - PK","'057905000","DALLAS ISD","N","N"
"'057905103","GABE P ALLEN NEW TECH ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905104","WILLIAM M ANDERSON EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905105","ARCADIA PARK EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905107","JOSE 'JOE' MAY EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 06"," "," ","N","N"
"'057905108","BAYLES EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905109","W A BLAIR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905110","ANNIE WEBB BLANTON EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905112","JAMES BOWIE EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905114","JOHN NEELY BRYAN EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905115","HARRELL BUDD EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905116","DAVID G BURNET EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 06"," "," ","N","N"
"'057905117","RUFUS C BURLESON EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905119","CHAPEL HILL PREPARATORY-A PERSONALIZED LRNING SCH","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905120","F P CAILLET EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905121","JOHN W CARPENTER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905122","C F CARR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905125","CASA VIEW EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905126","CENTRAL EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905128","DR MARTIN LUTHER KING JR ARTS ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905129","S S CONNER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905130","LEILA P COWART EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905131","IGNACIO ZARAGOZA EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905133","BARBARA JORDAN EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905134","GEORGE B DEALEY MONTESSORI ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905135","EVERETTE LEE DEGOLYER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905136","L O DONALD EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905137","JULIUS DORSEY LEADERSHIP ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905139","PAUL L DUNBAR LEARNING CENTER","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905141","JILL STONE EL AT VICKERY MEADOW","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905142","J N ERVIN EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905145","STEPHEN C FOSTER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 06"," "," ","N","N"
"'057905147","CHARLES A GILL EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905148","TOM C GOOCH EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905149","HALL PERSONALIZED LEARNING ACADEMY AT OAK CLIFF","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905152","MARGARET B HENDERSON EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905153","VICTOR H HEXTER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905154","LARRY G SMITH EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905155","C A TATUM JR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905156","NATHANIEL HAWTHORNE EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905157","HOGG NEW TECH CENTER","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905158","LIDA HOOE EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905159","L L HOTCHKISS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905160","PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905161","SYLVIA MENDEZ CREW LEADERSHIP ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905162","MOCKINGBIRD EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'KG - 05"," "," ","N","N"
"'057905163","CEDAR CREST EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 06"," "," ","N","N"
"'057905164","ANSON JONES EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 06"," "," ","N","N"
"'057905166","EDWIN J KIEST EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905167","KLEBERG EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905168","OBADIAH KNIGHT EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905169","ARTHUR KRAMER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905170","RICHARD LAGOW EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905171","LAKEWOOD EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'KG - 05"," "," ","N","N"
"'057905172","JIMMIE TYLER BRASHEAR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905173","JESUS MOROLES EXPRESSIVE ARTS VANGUARD","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905174","GENEVA HEIGHTS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905175","UMPHREY LEE EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905176","JACK LOWE SR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905177","WILLIAM LIPSCOMB EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905178","H I HOLLAND EL AT LISBON","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905180","B H MACON EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905181","MAPLE LAWN EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905182","MARCUS LEADERSHIP ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905183","THOMAS L MARSALIS EL STEAM ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905184","BEN MILAM EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905185","WILLIAM B MILLER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905186","TRINITY HEIGHTS GIFTED AND TALENTED SCHOOL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'01 - 08"," "," ","N","N"
"'057905187","NANCY MOSELEY EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905188","MOUNT AUBURN STEAM ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905189","CLARA OLIVER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905190","GEORGE PEABODY EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905191","ELISHA M PEASE EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905192","JOHN F PEELER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905193","JOHN J PERSHING EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905194","K B POLK CENTER FOR ACADEMICALLY TALENTED & GIFTED","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905195","PRESTON HOLLOW EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905197","JOHN H REAGAN EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905198","MARTHA TURNER REILLY EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905199","REINHARDT EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905200","JOSEPH J RHOADS LEARNING CENTER","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - PK","'057905000","DALLAS ISD","N","N"
"'057905201","CHARLES RICE LEARNING CENTER","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905202","ORAN M ROBERTS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905203","DAN D ROGERS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905204","ROSEMONT LOWER - CHRIS V SEMOS BUILDING","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 02","'057905359","ROSEMONT UPPER","N","N"
"'057905205","CLINTON P RUSSELL EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905206","ALEX SANGER PREPARATORY SCHOOL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905207","SAN JACINTO EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905208","SEAGOVILLE EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905209","ASCHER SILBERSTEIN EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905210","LESLIE A STEMMONS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905211","STEVENS PARK EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905212","HARRY STONE MONTESSORI ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905213","T G TERRY EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905215","OTTO M FRIDIA EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905216","EDWARD TITCHE EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905217","WILLIAM B TRAVIS VANGUARD ACAD OF ACADEMICALLY TAG","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","M","'04 - 08"," "," ","N","N"
"'057905218","GEORGE W TRUETT EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905219","ADELLE TURNER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905220","MARK TWAIN SCHOOL FOR THE TALENTED AND GIFTED","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'KG - 07"," "," ","N","N"
"'057905222","URBAN PARK STEAM ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905224","WALNUT HILL INTERNATIONAL LEADERSHIP ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905225","DANIEL WEBSTER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905226","MARTIN WEISS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905229","WINNETKA EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905230","HARRY C WITHERS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905232","BUCKNER TERRACE MONTESSORI","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905233","NATHAN ADAMS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905234","HENRY B GONZALEZ PERSONALIZED LEARNING ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905235","BIRDIE ALEXANDER EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905236","NANCY J COCHRAN EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905237","JOHN W RUNYON EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905239","ARTURO SALAZAR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905240","FRANK GUZICK EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905241","ELEMENTARY' DISCIPLINARY ALTERNATIVE EDUCATION PRG","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'01 - 05"," "," ","N","N"
"'057905244","SEAGOVILLE NORTH EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905247","ADELFA BOTELLO CALLEJO EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905250","WHITNEY M YOUNG JR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905260","LORENZO DE ZAVALA EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905263","J P STARKS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905264","RONALD E MCNAIR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'EE - 05"," "," ","N","N"
"'057905265","ELADIO R MARTINEZ LEARNING CENTER","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905266","FREDERICK DOUGLASS EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
"'057905270","EDUARDO MATA MONTESSORI SCHOOL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 08"," "," ","N","N"
"'057905271","JULIAN T SALDIVAR EL","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 06"," "," ","N","N"
"'057905272","MARIA MORENO STEAM ACADEMY","'057905","DALLAS ISD","'10","REGION 10: RICHARDSON","'057","DALLAS","E","'PK - 05"," "," ","N","N"
