2015,,2016,
District Number,District Name,District Number,District Name
057803,UPLIFT EDUCATION - NORTH HILLS PRE,057803,UPLIFT EDUCATION
061802,TEXAS EDUCATION CENTERS,061802,NORTH TEXAS COLLEGIATE ACADEMY
108802,SOUTH TEXAS EDUCATIONAL TECHNOLOGI,108802,HORIZON MONTESSORI PUBLIC SCHOOLS
