CAMPUS,CDALLS,C_RATING,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,COMP23F,CAMPNAME,CD3,CD3G,CD3S,COUNTY,CNTYNAME,DISTRICT,DISTNAME,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,CFLPAIR,CFLPAIRD,CFLPAIRO,PAIRCAMP,PAIRNAME,REGION,REGNNAME,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP
001907001,88.0,B, ,N,N,N,N,N,N,N,N,.,PALESTINE H S,69.0,B,86.0,1,ANDERSON,001907,PALESTINE ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,67.0,D,69.0,,B,89.0,B,89.0,49.0,77.0,91.0,93.0,100.0,100.0,B,88.0,997,100.0,151.0,13.4,1123.0,997,0.0,0.0,765,76.7,152,15.2,0.0,0.0,137,13.7,0.0,0.0
001907041,76.0,C, ,N,N,N,N,N,N,N,N,.,PALESTINE J H,26.0,D,65.0,1,ANDERSON,001907,PALESTINE ISD,08,07,07 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,61.0,C,70.0,,B,80.0,B,80.0,40.0,72.0,,,,,C,72.0,493,100.0,56.0,10.4,536.0,493,0.0,0.0,386,78.3,105,21.3,0.0,0.0,53,10.8,0.0,0.0
001907101,61.0,D, ,N,N,N,N,N,N,N,N,.,NORTHSIDE PRI,,P,,1,ANDERSON,001907,PALESTINE ISD,01,KG,KG - 01,E,,,Y,N,N,001907107,SOUTHSIDE EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,39.0,14.9,262.0,465,0.0,0.0,374,80.4,68,14.6,0.0,0.0,77,16.6,0.0,0.0
001907102,61.0,D, ,N,N,N,N,Y,N,N,N,.,WASHINGTON EARLY CHILDHOOD CENTER,,P,,1,ANDERSON,001907,PALESTINE ISD,PK,PK,PK - PK,E,,,Y,N,N,001907107,SOUTHSIDE EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,,,,221,0.0,0.0,203,91.9,24,10.9,0.0,0.0,24,10.9,0.0,0.0
001907107,61.0,D, ,N,N,N,N,N,N,N,N,1,SOUTHSIDE EL,4.0,F,41.0,1,ANDERSON,001907,PALESTINE ISD,03,02,02 - 03,E,,,N,N,Y, , ,7,REGION 07: KILGORE,,Z,,,D,69.0,D,69.0,37.0,64.0,,,,,D,64.0,225,50.3,75.0,14.4,521.0,447,0.0,0.0,379,84.8,78,17.4,0.0,0.0,81,18.1,0.0,0.0
001907110,61.0,D, ,N,N,N,N,N,N,N,N,1,STORY INT,2.0,F,35.0,1,ANDERSON,001907,PALESTINE ISD,06,04,04 - 06,E,,,N,N,N, , ,7,REGION 07: KILGORE,50.0,F,56.0,,C,72.0,C,72.0,39.0,67.0,,,,,D,67.0,673,100.0,92.0,13.3,691.0,673,0.0,0.0,542,80.5,149,22.1,0.0,0.0,118,17.5,0.0,0.0
001908002,79.0,C, ,N,N,N,N,N,N,N,N,.,WESTWOOD H S,51.0,C,72.0,1,ANDERSON,001908,WESTWOOD ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,76.0,B,82.0,,B,81.0,B,82.0,42.0,71.0,85.0,87.0,98.9,90.0,B,81.0,438,100.0,72.0,16.4,440.0,438,,0.0,303,69.2,43,9.8,0.0,0.0,61,13.9,,0.0
001908041,80.0,B, ,N,N,N,N,N,N,N,N,.,WESTWOOD J H,47.0,C,75.0,1,ANDERSON,001908,WESTWOOD ISD,08,07,07 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,68.0,B,80.0,,B,82.0,B,82.0,42.0,74.0,,,,,C,74.0,205,100.0,28.0,12.4,226.0,205,,0.0,158,77.1,19,9.3,,0.0,34,16.6,,0.0
001908101,52.0,F, ,N,N,N,N,N,N,N,N,1,WESTWOOD EL,0.0,F,30.0,1,ANDERSON,001908,WESTWOOD ISD,06,03,03 - 06,E,,,N,N,Y, , ,7,REGION 07: KILGORE,51.0,F,57.0,,D,62.0,D,62.0,36.0,62.0,,,,,D,62.0,408,100.0,83.0,19.2,432.0,408,,0.0,302,74.0,29,7.1,,0.0,88,21.6,,0.0
001908102,52.0,F, ,N,N,N,N,N,N,N,N,.,WESTWOOD PRI,,P,,1,ANDERSON,001908,WESTWOOD ISD,02,EE,EE - 02,E,,,Y,N,N,001908101,WESTWOOD EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,33.0,16.5,200.0,363,,0.0,290,79.9,15,4.1,,0.0,40,11.0,,0.0
001909001,94.0,A, ,N,N,N,N,N,N,N,N,.,SLOCUM H S,89.0,A,96.0,1,ANDERSON,001909,SLOCUM ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,76.0,B,82.0,,A,90.0,A,90.0,69.0,92.0,89.0,91.0,100.0,100.0,A,93.0,93,100.0,16.0,14.3,112.0,93,0.0,0.0,33,35.5,0,0.0,0.0,0.0,12,12.9,0.0,0.0
001909101,82.0,B, ,N,N,N,N,N,N,N,N,.,SLOCUM PK - 8,56.0,C,78.0,1,ANDERSON,001909,SLOCUM ISD,08,PK,PK - 08,E,,,N,N,N, , ,7,REGION 07: KILGORE,69.0,C,78.0,,B,83.0,B,83.0,54.0,82.0,,,,,B,82.0,159,62.1,36.0,15.8,228.0,256,0.0,0.0,146,57.0,5,2.0,0.0,0.0,45,17.6,0.0,0.0
002901001,90.0,A, ,N,N,N,N,N,N,N,N,.,ANDREWS H S,78.0,A,92.0,2,ANDREWS,002901,ANDREWS ISD,12,09,09 - 12,S,,,N,N,N, , ,18,REGION 18: MIDLAND,67.0,D,69.0,,B,85.0,B,85.0,48.0,76.0,99.0,99.0,99.6,95.0,B,89.0,1161,100.0,122.0,10.0,1223.0,1161,,0.0,459,39.5,103,8.9,0.0,0.0,143,12.3,,0.0
002901002,91.0,A,DROPOUT RECOVERY SCHOOL,Y,Y,N,N,N,N,N,N,.,ANDREWS EDUCATION CENTER,,Z,,2,ANDREWS,002901,ANDREWS ISD,12,09,09 - 12,S,,,N,N,N, , ,18,REGION 18: MIDLAND,,Z,,65.0,A,91.0,A,91.0,29.0,79.0,0.0,30.0,100.0,100.0,D,64.0,50,100.0,70.0,72.2,97.0,50,,0.0,34,68.0,7,14.0,0.0,0.0,6,12.0,,0.0
002901041,80.0,B, ,N,N,N,N,N,N,N,N,.,ANDREWS MIDDLE,51.0,C,77.0,2,ANDREWS,002901,ANDREWS ISD,08,06,06 - 08,M,,,N,N,N, , ,18,REGION 18: MIDLAND,66.0,C,78.0,,B,80.0,B,80.0,50.0,81.0,,,,,B,81.0,920,100.0,89.0,9.0,988.0,920,,0.0,455,49.5,127,13.8,,0.0,124,13.5,,0.0
002901101,71.0,C, ,N,N,N,N,N,N,N,N,.,DEVONIAN EL,29.0,D,68.0,2,ANDREWS,002901,ANDREWS ISD,03,02,02 - 03,E,,,N,N,Y, , ,18,REGION 18: MIDLAND,,Z,,,D,65.0,D,65.0,43.0,72.0,,,,,C,72.0,293,46.1,65.0,9.8,662.0,635,,0.0,334,52.6,121,19.1,,0.0,90,14.2,,0.0
002901104,62.0,D, ,N,N,N,N,N,N,N,N,3,UNDERWOOD EL,10.0,F,56.0,2,ANDREWS,002901,ANDREWS ISD,05,04,04 - 05,E,,,N,N,N, , ,18,REGION 18: MIDLAND,48.0,F,55.0,,F,58.0,F,58.0,38.0,65.0,,,,,D,65.0,648,100.0,51.0,8.0,635.0,648,,0.0,341,52.6,111,17.1,,0.0,106,16.4,,0.0
002901105,71.0,C, ,N,N,N,N,N,N,N,N,.,CLEARFORK EL,,P,,2,ANDREWS,002901,ANDREWS ISD,01,EE,EE - 01,E,,,Y,N,N,002901101,DEVONIAN EL,18,REGION 18: MIDLAND,,P,,,P,,P,,,,,,,,P,,0,0.0,36.0,9.8,366.0,771,,0.0,448,58.1,193,25.0,,0.0,67,8.7,,0.0
003801001,93.0,A, ,N,N,Y,N,N,N,N,N,.,PINEYWOODS COMMUNITY ACADEMY H S,85.0,A,94.0,3,ANGELINA,003801,PINEYWOODS COMMUNITY ACADEMY,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,82.0,B,87.0,,A,90.0,A,90.0,63.0,91.0,90.0,92.0,100.0,100.0,A,93.0,257,100.0,13.0,6.4,204.0,257,114.0,44.4,136,52.9,9,3.5,0.0,0.0,31,12.1,0.0,0.0
003801042,85.0,B, ,N,N,Y,N,N,N,N,N,.,DR TERRY ROBBINS MIDDLE,47.0,C,75.0,3,ANGELINA,003801,PINEYWOODS COMMUNITY ACADEMY,08,06,06 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,60.0,D,69.0,,B,89.0,B,89.0,54.0,85.0,,,,,B,85.0,225,100.0,16.0,6.8,235.0,225,,0.0,135,60.0,17,7.6,,0.0,30,13.3,0.0,0.0
003801103,64.0,D, ,N,N,Y,N,N,N,N,N,1,SARAH STRINDEN EL,6.0,F,46.0,3,ANGELINA,003801,PINEYWOODS COMMUNITY ACADEMY,05,PK,PK - 05,E,,,N,N,N, , ,7,REGION 07: KILGORE,45.0,F,54.0,,C,72.0,C,72.0,43.0,72.0,,,,,C,72.0,248,48.2,13.0,3.3,392.0,514,,0.0,339,66.0,36,7.0,,0.0,64,12.5,,0.0
003902001,89.0,B, ,N,N,N,N,N,N,N,N,.,HUDSON H S,80.0,A,92.0,3,ANGELINA,003902,HUDSON ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,68.0,C,70.0,,B,88.0,B,88.0,63.0,91.0,83.0,85.0,98.3,90.0,B,88.0,797,100.0,105.0,12.0,872.0,797,,0.0,381,47.8,42,5.3,0.0,0.0,78,9.8,,0.0
003902004,,Z,DROPOUT RECOVERY SCHOOL,Y,Y,N,N,N,N,N,N,.,STUBBLEFIELD LRN CTR,,Z,,3,ANGELINA,003902,HUDSON ISD,12,10,10 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,,Z,,,Z,,Z,,,,8.0,51.0,100.0,100.0,Z,,8,100.0,22.0,95.7,23.0,8,,0.0,0,0.0,0,0.0,0.0,0.0,2,25.0,,0.0
003902041,89.0,B, ,N,N,N,N,N,N,N,N,.,HUDSON MIDDLE,67.0,B,87.0,3,ANGELINA,003902,HUDSON ISD,08,06,06 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,73.0,B,84.0,,A,90.0,A,90.0,58.0,88.0,,,,,B,88.0,646,100.0,80.0,11.5,696.0,646,,0.0,354,54.8,54,8.4,,0.0,115,17.8,,0.0
