CAMPUS,CDALLS,C_RATING,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,COMP23F,CAMPNAME,CD3,CD3G,CD3S,COUNTY,CNTYNAME,DISTRICT,DISTNAME,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,CFLPAIR,CFLPAIRD,CFLPAIRO,PAIRCAMP,PAIRNAME,REGION,REGNNAME,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP
015910118,74.0,C, ,N,N,N,N,N,N,N,N,.,CAMELOT EL,43.0,C,73.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,64.0,C,71.0,,C,74.0,C,74.0,39.0,67.0,,,,,D,67.0,220,45.5,164.0,34.6,474.0,483,0.0,0.0,447,92.5,76,15.7,0.0,0.0,90,18.6,0.0,0.0
015910119,64.0,D, ,N,N,N,N,N,N,N,N,.,CLEAR SPRING EL,23.0,D,65.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,58.0,D,63.0,,D,63.0,D,63.0,34.0,59.0,,,,,F,59.0,145,46.0,74.0,26.0,285.0,315,0.0,0.0,282,89.5,21,6.7,0.0,0.0,71,22.5,0.0,0.0
015910120,69.0,D, ,N,N,N,N,N,N,N,N,.,REGENCY PLACE EL,30.0,D,68.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,62.0,D,69.0,,D,65.0,D,69.0,35.0,60.0,,,,,D,60.0,218,48.2,73.0,17.9,408.0,452,0.0,0.0,380,84.1,241,53.3,0.0,0.0,55,12.2,0.0,0.0
015910121,80.0,B, ,N,N,N,N,N,N,N,N,.,EL DORADO EL,58.0,C,79.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,71.0,B,80.0,,C,77.0,B,80.0,42.0,71.0,,,,,C,71.0,256,46.4,49.0,11.0,445.0,552,0.0,0.0,456,82.6,205,37.1,0.0,0.0,96,17.4,0.0,0.0
015910122,77.0,C, ,N,N,N,N,N,N,N,N,.,MONTGOMERY EL,42.0,C,73.0,15,BEXAR,015910,NORTH EAST ISD,05,KG,KG - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,69.0,C,78.0,,C,75.0,C,78.0,40.0,69.0,,,,,D,69.0,137,52.1,80.0,29.1,275.0,263,0.0,0.0,243,92.4,16,6.1,0.0,0.0,58,22.1,0.0,0.0
015910123,90.0,A, ,N,N,N,N,N,N,N,N,.,HIDDEN FOREST EL,73.0,B,89.0,15,BEXAR,015910,NORTH EAST ISD,05,KG,KG - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,77.0,B,87.0,,C,75.0,B,87.0,61.0,90.0,,,,,A,90.0,299,53.6,57.0,11.3,504.0,558,0.0,0.0,132,23.7,20,3.6,0.0,0.0,82,14.7,0.0,0.0
015910124,83.0,B, ,N,N,N,N,N,N,N,N,.,WOODSTONE EL,65.0,B,83.0,15,BEXAR,015910,NORTH EAST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,70.0,C,79.0,,B,83.0,B,83.0,49.0,77.0,,,,,C,77.0,246,44.6,70.0,14.9,470.0,552,0.0,0.0,409,74.1,19,3.4,0.0,0.0,149,27.0,0.0,0.0
015910125,71.0,C, ,N,N,N,N,N,N,N,N,.,STAHL EL,29.0,D,68.0,15,BEXAR,015910,NORTH EAST ISD,05,KG,KG - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,56.0,D,60.0,,C,72.0,C,72.0,41.0,70.0,,,,,C,70.0,300,51.4,110.0,18.7,589.0,584,0.0,0.0,424,72.6,162,27.7,0.0,0.0,109,18.7,0.0,0.0
015910126,75.0,C, ,N,N,N,N,N,N,N,N,.,THOUSAND OAKS EL,33.0,C,70.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,63.0,C,70.0,,C,75.0,C,75.0,49.0,77.0,,,,,C,77.0,287,45.6,90.0,16.8,537.0,629,0.0,0.0,326,51.8,27,4.3,0.0,0.0,137,21.8,0.0,0.0
015910127,57.0,F, ,N,N,N,N,N,N,N,N,3,NORTHERN HILLS EL,10.0,F,56.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,49.0,F,56.0,,F,58.0,F,58.0,32.0,57.0,,,,,F,57.0,253,45.7,82.0,18.1,454.0,554,0.0,0.0,453,81.8,54,9.7,0.0,0.0,97,17.5,0.0,0.0
015910128,90.0,A, ,N,N,N,N,N,N,N,N,.,REDLAND OAKS EL,69.0,B,86.0,15,BEXAR,015910,NORTH EAST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,73.0,B,82.0,,B,87.0,B,87.0,64.0,91.0,,,,,A,91.0,135,37.9,34.0,12.8,266.0,356,0.0,0.0,148,41.6,22,6.2,0.0,0.0,98,27.5,0.0,0.0
015910129,92.0,A, ,N,N,N,N,N,N,N,N,.,ENCINO PARK EL,76.0,A,91.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,77.0,B,87.0,,B,80.0,B,87.0,67.0,92.0,,,,,A,92.0,354,51.2,78.0,13.3,585.0,691,0.0,0.0,135,19.5,95,13.7,0.0,0.0,120,17.4,0.0,0.0
015910130,79.0,C, ,N,N,N,N,N,N,N,N,.,FOX RUN EL,35.0,C,71.0,15,BEXAR,015910,NORTH EAST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,64.0,C,71.0,,B,83.0,B,83.0,50.0,77.0,,,,,C,77.0,318,43.0,98.0,17.5,560.0,740,0.0,0.0,506,68.4,56,7.6,0.0,0.0,123,16.6,0.0,0.0
015910131,90.0,A, ,N,N,N,N,N,N,N,N,.,OAK MEADOW EL,73.0,B,89.0,15,BEXAR,015910,NORTH EAST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,73.0,B,82.0,,B,86.0,B,86.0,65.0,91.0,,,,,A,91.0,164,41.3,46.0,15.6,294.0,397,0.0,0.0,141,35.5,14,3.5,0.0,0.0,107,27.0,0.0,0.0
015910133,92.0,A, ,N,N,N,N,N,N,N,N,.,STONE OAK EL,77.0,A,91.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,75.0,B,85.0,,B,89.0,B,89.0,70.0,93.0,,,,,A,93.0,368,43.8,104.0,14.4,723.0,840,0.0,0.0,262,31.2,316,37.6,0.0,0.0,79,9.4,0.0,0.0
015910134,79.0,C, ,N,N,N,N,N,N,N,N,.,LONGS CREEK EL,53.0,C,77.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,67.0,C,75.0,,B,80.0,B,80.0,51.0,78.0,,,,,C,78.0,285,48.2,61.0,12.3,495.0,591,0.0,0.0,321,54.3,31,5.2,0.0,0.0,99,16.8,0.0,0.0
015910135,91.0,A, ,N,N,N,N,N,N,N,N,.,HUEBNER EL,78.0,A,92.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,80.0,A,90.0,,B,83.0,A,90.0,64.0,91.0,,,,,A,91.0,263,50.6,53.0,11.2,475.0,520,0.0,0.0,164,31.5,30,5.8,0.0,0.0,89,17.1,0.0,0.0
015910136,91.0,A, ,N,N,N,N,N,N,N,N,.,HARDY OAK EL,69.0,B,86.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,74.0,B,83.0,,B,83.0,B,83.0,71.0,93.0,,,,,A,93.0,367,53.9,58.0,10.2,570.0,681,0.0,0.0,115,16.9,81,11.9,0.0,0.0,100,14.7,0.0,0.0
015910137,84.0,B, ,N,N,N,N,N,N,N,N,.,WETMORE EL,68.0,B,86.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,72.0,B,81.0,,B,83.0,B,83.0,53.0,80.0,,,,,B,80.0,258,49.9,58.0,12.8,453.0,517,0.0,0.0,301,58.2,26,5.0,0.0,0.0,95,18.4,0.0,0.0
015910138,75.0,C, ,N,N,N,N,N,N,N,N,.,ROYAL RIDGE EL,49.0,C,76.0,15,BEXAR,015910,NORTH EAST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,66.0,C,74.0,,C,75.0,C,75.0,43.0,72.0,,,,,C,72.0,214,45.7,66.0,16.3,406.0,468,0.0,0.0,346,73.9,44,9.4,0.0,0.0,104,22.2,0.0,0.0
015910139,92.0,A, ,N,N,N,N,N,N,N,N,.,ROAN FOREST EL,83.0,A,93.0,15,BEXAR,015910,NORTH EAST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,77.0,B,87.0,,B,89.0,B,89.0,69.0,92.0,,,,,A,92.0,412,48.0,102.0,14.2,718.0,858,0.0,0.0,291,33.9,304,35.4,0.0,0.0,114,13.3,0.0,0.0
015910140,88.0,B, ,N,N,N,N,N,N,N,N,.,CANYON RIDGE EL,70.0,B,87.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,78.0,B,88.0,,C,75.0,B,88.0,59.0,89.0,,,,,B,89.0,263,54.5,57.0,12.2,469.0,483,0.0,0.0,132,27.3,63,13.0,0.0,0.0,82,17.0,0.0,0.0
015910141,82.0,B, ,N,N,N,N,N,N,N,N,.,STEUBING RANCH EL,56.0,C,78.0,15,BEXAR,015910,NORTH EAST ISD,05,KG,KG - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,68.0,C,76.0,,B,83.0,B,83.0,55.0,83.0,,,,,B,83.0,447,52.2,109.0,13.5,807.0,857,0.0,0.0,461,53.8,216,25.2,0.0,0.0,135,15.8,0.0,0.0
015910142,91.0,A, ,N,N,N,N,N,N,N,N,.,BULVERDE CREEK,78.0,A,92.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,73.0,B,82.0,,B,83.0,B,83.0,60.0,90.0,,,,,A,90.0,517,51.7,110.0,12.4,890.0,1000,0.0,0.0,394,39.4,88,8.8,0.0,0.0,159,15.9,0.0,0.0
015910143,94.0,A, ,N,N,N,N,N,N,N,N,.,WILDERNESS OAK EL,84.0,A,94.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,81.0,A,91.0,,B,89.0,A,91.0,76.0,94.0,,,,,A,94.0,344,51.7,75.0,13.0,578.0,666,0.0,0.0,139,20.9,78,11.7,0.0,0.0,89,13.4,0.0,0.0
015910144,85.0,B, ,N,N,N,N,N,N,N,N,.,TUSCANY HEIGHTS,49.0,C,76.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,70.0,C,79.0,,C,70.0,C,79.0,59.0,89.0,,,,,B,89.0,369,54.1,110.0,16.5,665.0,682,0.0,0.0,147,21.6,69,10.1,0.0,0.0,88,12.9,0.0,0.0
015910145,89.0,B, ,N,N,N,N,N,N,N,N,.,CIBOLO GREEN,68.0,B,86.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,69.0,C,78.0,,C,75.0,C,78.0,60.0,90.0,,,,,A,90.0,440,52.9,93.0,12.8,725.0,832,0.0,0.0,220,26.4,84,10.1,0.0,0.0,137,16.5,0.0,0.0
015910146,80.0,B, ,N,N,N,N,N,N,N,N,.,LAS LOMAS EL,45.0,C,74.0,15,BEXAR,015910,NORTH EAST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,63.0,C,70.0,,C,74.0,C,74.0,54.0,82.0,,,,,B,82.0,252,49.3,53.0,12.3,430.0,511,0.0,0.0,191,37.4,61,11.9,0.0,0.0,75,14.7,0.0,0.0
015910147,88.0,B, ,N,N,N,N,N,N,N,N,.,VINEYARD RANCH EL,58.0,C,79.0,15,BEXAR,015910,NORTH EAST ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,67.0,C,75.0,,B,81.0,B,81.0,66.0,92.0,,,,,A,92.0,394,51.6,81.0,11.9,680.0,763,0.0,0.0,172,22.5,250,32.8,0.0,0.0,107,14.0,0.0,0.0
015910148,78.0,C, ,N,N,N,N,Y,N,N,N,.,PRE-K ACADEMY AT WEST AVENUE,,P,,15,BEXAR,015910,NORTH EAST ISD,PK,EE,EE - PK,E,,,Y,Y,N,015910000,NORTH EAST ISD,20,REGION 20: SAN ANTONIO,,P,,,P,,P,,,,,,,,P,,0,0.0,,,,322,0.0,0.0,267,82.9,119,37.0,0.0,0.0,62,19.3,0.0,0.0
015910160,,X, ,N,N,N,Y,N,N,N,N,.,ALTERNATIVE EL,,X,,15,BEXAR,015910,NORTH EAST ISD,05,02,02 - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,,X,,,X,,X,,,,,,,,X,,6,66.7,97.0,100.0,97.0,9,0.0,0.0,7,77.8,0,0.0,0.0,0.0,4,44.4,0.0,0.0
015910312,78.0,C, ,N,N,N,N,Y,N,N,N,.,NEISD - PK4SA,,P,,15,BEXAR,015910,NORTH EAST ISD,PK,PK,PK - PK,E,,,Y,Y,N,015910000,NORTH EAST ISD,20,REGION 20: SAN ANTONIO,,P,,,P,,P,,,,,,,,P,,0,0.0,,,,96,0.0,0.0,72,75.0,23,24.0,0.0,0.0,0,0.0,0.0,0.0
015911001,57.0,F, ,N,N,N,N,N,N,N,N,3,EAST CENTRAL H S,23.0,F,49.0,15,BEXAR,015911,EAST CENTRAL ISD,12,09,09 - 12,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,61.0,F,59.0,,F,57.0,F,59.0,35.0,60.0,42.0,54.0,95.3,75.0,D,61.0,3252,100.0,541.0,16.0,3382.0,3252,0.0,0.0,1682,51.7,389,12.0,0.0,0.0,367,11.3,0.0,0.0
015911004,,X, ,N,N,N,N,N,Y,N,N,.,BEXAR CO J J A E P,,X,,15,BEXAR,015911,EAST CENTRAL ISD,10,09,09 - 10,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,,X,,,X,,X,,,,,,,,X,,2,100.0,14.0,100.0,14.0,2,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,50.0,0.0,0.0
015911005,,X,RESIDENTIAL FACILITY,N,Y,N,N,N,N,N,Y,.,BEXAR COUNTY LRN CTR,,X,,15,BEXAR,015911,EAST CENTRAL ISD,11,08,08 - 11,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,,X,,,X,,X,,,,,,,,X,,28,100.0,70.0,98.6,71.0,28,0.0,0.0,5,17.9,1,3.6,0.0,0.0,11,39.3,0.0,0.0
015911007,48.0,F, ,N,N,N,N,N,N,N,N,.,EAST CENTRAL CAST LEAD H S,0.0,F,30.0,15,BEXAR,015911,EAST CENTRAL ISD,11,08,08 - 11,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,51.0,F,54.0,,F,52.0,F,54.0,31.0,56.0,,,100.0,100.0,F,56.0,186,100.0,12.0,11.9,101.0,186,0.0,0.0,76,40.9,14,7.5,0.0,0.0,13,7.0,0.0,0.0
015911008,,X, ,N,N,N,Y,N,N,Y,N,.,RESTORATIVE AND TRANSITION CENTER,,X,,15,BEXAR,015911,EAST CENTRAL ISD,11,06,06 - 11,B,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,,X,,,X,,X,,,,,,,,X,,23,100.0,,,,23,0.0,0.0,11,47.8,2,8.7,0.0,0.0,5,21.7,0.0,0.0
015911043,75.0,C, ,N,N,N,N,N,N,N,N,2,EAST CENTRAL HERITAGE MIDDLE,56.0,C,79.0,15,BEXAR,015911,EAST CENTRAL ISD,08,06,06 - 08,M,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,63.0,C,73.0,,F,55.0,C,73.0,36.0,67.0,,,,,D,67.0,1120,100.0,245.0,17.3,1414.0,1120,0.0,0.0,495,44.2,165,14.7,0.0,0.0,167,14.9,0.0,0.0
015911044,64.0,D, ,N,N,N,N,N,N,N,N,1B,LEGACY MIDDLE,24.0,D,64.0,15,BEXAR,015911,EAST CENTRAL ISD,08,06,06 - 08,M,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,57.0,D,64.0,,F,54.0,D,64.0,30.0,58.0,,,,,F,58.0,1137,100.0,192.0,16.2,1182.0,1137,0.0,0.0,660,58.0,179,15.7,0.0,0.0,154,13.5,0.0,0.0
015911102,59.0,F, ,N,N,N,N,N,N,N,N,1B,HARMONY EL,27.0,D,67.0,15,BEXAR,015911,EAST CENTRAL ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,52.0,F,57.0,,F,51.0,F,57.0,25.0,51.0,,,,,F,51.0,321,46.9,120.0,24.0,501.0,684,0.0,0.0,512,74.9,43,6.3,0.0,0.0,108,15.8,0.0,0.0
015911103,54.0,F, ,N,N,N,N,N,N,N,N,.,PECAN VALLEY EL,7.0,F,48.0,15,BEXAR,015911,EAST CENTRAL ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,49.0,F,56.0,,F,47.0,F,56.0,20.0,47.0,,,,,F,47.0,229,47.0,108.0,26.9,401.0,487,0.0,0.0,368,75.6,10,2.1,0.0,0.0,90,18.5,0.0,0.0
015911104,71.0,C, ,N,N,N,N,N,N,N,N,2,SINCLAIR EL,33.0,C,70.0,15,BEXAR,015911,EAST CENTRAL ISD,05,EE,EE - 05,E,,,N,N,Y, , ,20,REGION 20: SAN ANTONIO,64.0,C,71.0,,F,57.0,C,71.0,32.0,57.0,,,,,F,57.0,307,42.6,94.0,17.0,552.0,720,0.0,0.0,510,70.8,22,3.1,0.0,0.0,96,13.3,0.0,0.0
015911106,69.0,D, ,N,N,N,N,N,N,N,N,.,HIGHLAND FOREST EL,29.0,D,68.0,15,BEXAR,015911,EAST CENTRAL ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,65.0,C,73.0,,D,65.0,C,73.0,35.0,60.0,,,,,D,60.0,254,43.1,81.0,18.2,444.0,590,0.0,0.0,493,83.6,22,3.7,0.0,0.0,108,18.3,0.0,0.0
015911108,72.0,C, ,N,N,N,N,N,N,N,N,2,TRADITION EL,34.0,C,70.0,15,BEXAR,015911,EAST CENTRAL ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,65.0,C,73.0,,F,55.0,C,73.0,35.0,60.0,,,,,D,60.0,449,45.2,166.0,22.8,729.0,993,0.0,0.0,503,50.7,43,4.3,0.0,0.0,166,16.7,0.0,0.0
015911109,71.0,C, ,N,N,N,N,Y,N,N,N,.,PRE/K FOR SA - EAST CENTRAL ISD,,P,,15,BEXAR,015911,EAST CENTRAL ISD,PK,PK,PK - PK,E,,,Y,N,N,015911104,SINCLAIR EL,20,REGION 20: SAN ANTONIO,,P,,,P,,P,,,,,,,,P,,0,0.0,,,,24,0.0,0.0,18,75.0,2,8.3,0.0,0.0,0,0.0,0.0,0.0
015911110,83.0,B, ,N,N,N,N,N,N,N,N,.,OAK CREST EL,69.0,B,86.0,15,BEXAR,015911,EAST CENTRAL ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,72.0,B,81.0,,C,75.0,B,81.0,43.0,72.0,,,,,C,72.0,326,48.4,82.0,14.2,578.0,674,0.0,0.0,488,72.4,230,34.1,0.0,0.0,72,10.7,0.0,0.0
015911111,73.0,C, ,N,N,N,N,N,N,N,N,.,SALADO EL,38.0,C,72.0,15,BEXAR,015911,EAST CENTRAL ISD,05,PK,PK - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,65.0,C,73.0,,D,63.0,C,73.0,37.0,64.0,,,,,D,64.0,337,48.4,68.0,12.5,545.0,696,0.0,0.0,508,73.0,327,47.0,0.0,0.0,53,7.6,0.0,0.0
015912001,80.0,B, ,N,N,N,N,N,N,N,N,.,SOUTHWEST H S,64.0,B,82.0,15,BEXAR,015912,SOUTHWEST ISD,12,09,09 - 12,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,68.0,C,70.0,,C,79.0,C,79.0,42.0,71.0,80.0,82.0,98.6,90.0,C,79.0,2145,100.0,378.0,16.5,2295.0,2145,66.0,3.1,1539,71.7,302,14.1,0.0,0.0,336,15.7,0.0,0.0
015912003,,X, ,N,N,N,N,N,Y,Y,N,.,BEXAR CO J J A E P,,X,,15,BEXAR,015912,SOUTHWEST ISD,10,10,10 - 10,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,,X,,,X,,X,,,,,,,,X,,2,100.0,4.0,100.0,4.0,2,0.0,0.0,1,50.0,0,0.0,0.0,0.0,1,50.0,0.0,0.0
015912005,71.0,C, ,N,N,N,N,N,N,N,N,.,SOUTHWEST LEGACY H S,44.0,D,66.0,15,BEXAR,015912,SOUTHWEST ISD,12,09,09 - 12,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,61.0,F,59.0,,C,73.0,C,73.0,37.0,64.0,68.0,73.0,95.6,75.0,C,70.0,2014,100.0,385.0,18.1,2131.0,2014,46.0,2.3,1785,88.6,365,18.1,0.0,0.0,306,15.2,0.0,0.0
015912006,90.0,A, ,N,N,N,N,N,N,N,N,.,CAST STEM H S,63.0,B,81.0,15,BEXAR,015912,SOUTHWEST ISD,12,09,09 - 12,S,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,65.0,D,65.0,,A,94.0,A,94.0,52.0,79.0,99.0,99.0,96.0,80.0,B,87.0,207,100.0,27.0,10.7,252.0,207,0.0,0.0,139,67.1,18,8.7,0.0,0.0,35,16.9,193.0,93.2
015912041,81.0,B, ,N,N,N,N,N,N,N,N,.,RONALD E MCNAIR MIDDLE,51.0,C,77.0,15,BEXAR,015912,SOUTHWEST ISD,08,06,06 - 08,M,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,62.0,C,72.0,,B,83.0,B,83.0,43.0,75.0,,,,,C,75.0,748,100.0,97.0,12.1,803.0,748,0.0,0.0,575,76.9,176,23.5,0.0,0.0,160,21.4,0.0,0.0
015912042,69.0,D, ,N,N,N,N,N,N,N,N,E,SHARON CHRISTA MCAULIFFE MIDDLE,32.0,D,68.0,15,BEXAR,015912,SOUTHWEST ISD,08,06,06 - 08,M,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,58.0,D,65.0,,C,75.0,C,75.0,34.0,64.0,,,,,D,64.0,677,100.0,130.0,16.5,787.0,677,0.0,0.0,621,91.7,210,31.0,0.0,0.0,138,20.4,0.0,0.0
015912044,68.0,D, ,N,N,N,N,N,N,N,N,2,FRANCIS R SCOBEE MIDDLE,22.0,D,63.0,15,BEXAR,015912,SOUTHWEST ISD,08,06,06 - 08,M,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,51.0,F,57.0,,C,70.0,C,70.0,36.0,67.0,,,,,D,67.0,856,100.0,159.0,18.1,880.0,856,0.0,0.0,628,73.4,99,11.6,0.0,0.0,137,16.0,0.0,0.0
015912045,64.0,D, ,N,N,N,N,N,N,N,N,.,JUDITH A RESNIK MIDDLE,11.0,F,51.0,15,BEXAR,015912,SOUTHWEST ISD,08,06,06 - 08,M,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,53.0,F,58.0,,D,69.0,D,69.0,32.0,60.0,,,,,D,60.0,818,100.0,168.0,18.7,898.0,818,0.0,0.0,687,84.0,164,20.0,0.0,0.0,167,20.4,0.0,0.0
015912101,82.0,B, ,N,N,N,N,N,N,N,N,.,SOUTHWEST EL,49.0,C,76.0,15,BEXAR,015912,SOUTHWEST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,65.0,C,73.0,,B,84.0,B,84.0,50.0,77.0,,,,,C,77.0,303,46.5,81.0,15.9,509.0,652,0.0,0.0,474,72.7,123,18.9,0.0,0.0,128,19.6,0.0,0.0
015912102,83.0,B, ,N,N,N,N,N,N,N,N,.,SUN VALLEY EL,74.0,A,90.0,15,BEXAR,015912,SOUTHWEST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,69.0,C,78.0,,B,80.0,B,80.0,45.0,73.0,,,,,C,73.0,284,43.7,64.0,12.9,495.0,650,0.0,0.0,522,80.3,109,16.8,0.0,0.0,119,18.3,0.0,0.0
015912103,58.0,F, ,N,N,N,N,N,N,N,N,.,INDIAN CREEK EL,10.0,F,56.0,15,BEXAR,015912,SOUTHWEST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,54.0,F,58.0,,F,59.0,F,59.0,31.0,56.0,,,,,F,56.0,192,43.4,81.0,21.5,377.0,442,0.0,0.0,418,94.6,126,28.5,0.0,0.0,88,19.9,0.0,0.0
015912104,67.0,D, ,N,N,N,N,N,N,N,N,.,BOB HOPE EL,15.0,D,61.0,15,BEXAR,015912,SOUTHWEST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,62.0,D,69.0,,C,70.0,C,70.0,37.0,64.0,,,,,D,64.0,238,52.4,50.0,13.7,365.0,454,0.0,0.0,394,86.8,168,37.0,0.0,0.0,92,20.3,0.0,0.0
015912105,84.0,B, ,N,N,N,N,N,N,N,N,.,SKY HARBOUR EL,68.0,B,86.0,15,BEXAR,015912,SOUTHWEST ISD,05,EE,EE - 05,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,68.0,C,76.0,,B,83.0,B,83.0,46.0,74.0,,,,,C,74.0,228,48.1,39.0,9.9,393.0,474,0.0,0.0,432,91.1,141,29.7,0.0,0.0,78,16.5,0.0,0.0
015912106,55.0,F, ,N,N,N,N,N,N,N,N,.,HIDDEN COVE STEAM ACADEMY,8.0,F,51.0,15,BEXAR,015912,SOUTHWEST ISD,06,EE,EE - 06,E,,,N,N,N, , ,20,REGION 20: SAN ANTONIO,52.0,F,57.0,,F,57.0,F,57.0,29.0,55.0,,,,,F,55.0,232,44.7,69.0,16.9,409.0,519,0.0,0.0,475,91.5,144,27.7,0.0,0.0,98,18.9,0.0,0.0
