COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,GRDTYPE,CFLALTED,CNTYNAME,CFLCHART,PAIRNAME
003,07,'08 - 11, ,003903201,003903,JUVENILE DETENT CTR,LUFKIN ISD,S,Y,ANGELINA,N, 
003,07,'09 - 12, ,003904001,003904,HUNTINGTON H S,HUNTINGTON ISD,S,N,ANGELINA,N, 
003,07,'11 - 12, ,003904005,003904,PRIDE ALTER SCH,HUNTINGTON ISD,S,Y,ANGELINA,N, 
003,07,'06 - 08, ,003904041,003904,HUNTINGTON MIDDLE,HUNTINGTON ISD,M,N,ANGELINA,N, 
003,07,'EE - 03, ,003904101,003904,HUNTINGTON EL,HUNTINGTON ISD,E,N,ANGELINA,N, 
003,07,'04 - 05, ,003904102,003904,HUNTINGTON INT,HUNTINGTON ISD,E,N,ANGELINA,N, 
003,07,'09 - 12, ,003905001,003905,DIBOLL H S,DIBOLL ISD,S,N,ANGELINA,N, 
003,07,'11 - 12, ,003905004,003905,STUBBLEFIELD LRN CTR,DIBOLL ISD,S,Y,ANGELINA,N, 
003,07,'06 - 08, ,003905041,003905,DIBOLL J H,DIBOLL ISD,M,N,ANGELINA,N, 
003,07,'KG - 02,'003905103,003905101,003905,H G TEMPLE EL,DIBOLL ISD,E,N,ANGELINA,N,H G TEMPLE INT
003,07,'PK - PK,'003905103,003905102,003905,DIBOLL PRI,DIBOLL ISD,E,N,ANGELINA,N,H G TEMPLE INT
003,07,'03 - 05, ,003905103,003905,H G TEMPLE INT,DIBOLL ISD,E,N,ANGELINA,N, 
003,07,'06 - 12, ,003906001,003906,ZAVALLA H S,ZAVALLA ISD,B,N,ANGELINA,N, 
003,07,'EE - 05, ,003906101,003906,ZAVALLA EL,ZAVALLA ISD,E,N,ANGELINA,N, 
003,07,'09 - 12, ,003907001,003907,CENTRAL H S,CENTRAL ISD,S,N,ANGELINA,N, 
003,07,'09 - 12, ,003907004,003907,STUBBLEFIELD LRN CTR,CENTRAL ISD,S,Y,ANGELINA,N, 
003,07,'05 - 08, ,003907041,003907,CENTRAL J H,CENTRAL ISD,M,N,ANGELINA,N, 
003,07,'EE - 04, ,003907102,003907,CENTRAL EL,CENTRAL ISD,E,N,ANGELINA,N, 
