"Region Code","TEA Region","County Code","County Name","Gender","8th Grade (FY 2006)","Enrolled in 9th Grade (FY 2007)","% Enrolled in 9th Grade (FY 2007)","Enrolled in 10th Grade(FY 2008)","% Enrolled in 10th Grade (FY 2008)","Enrolled in <10th Grade (FY 2008)","% Enrolled in <10th Grade (FY 2008)","High School Graduate FY 2009-2011","% High School Graduate FY 2009-2011","Enrolled TX 4-year","% Enrolled TX 4-year","Enrolled TX 2-year","% Enrolled TX 2-year","Enrolled in Higher Education","% Enrolled in Higher Education","No Public HS Grad Record Enrolled in Higher Ed","% No Public HS Grad Record Enrolled in Higher Ed","Higher Ed Degree or Certificate Texas","% Higher Ed Degree or Certificate Texas"
13,Austin,166,MILAM,Male,24,22,91.67%,22,91.67%,1,4.17%,21,87.50%,3,12.50%,9,37.50%,12,50.00%,0,0.00%,4,16.67%
13,Austin,227,TRAVIS,Female,4320,4022,93.10%,3449,79.84%,462,10.69%,3169,73.36%,1083,25.07%,1191,27.57%,2274,52.64%,166,3.84%,940,21.76%
13,Austin,227,TRAVIS,Male,4727,4346,91.94%,3546,75.02%,689,14.58%,3299,69.79%,1011,21.39%,1252,26.49%,2263,47.87%,176,3.72%,765,16.18%
13,Austin,246,WILLIAMSON,Female,2920,2799,95.86%,2547,87.23%,182,6.23%,2442,83.63%,955,32.71%,924,31.64%,1879,64.35%,81,2.77%,961,32.91%
13,Austin,246,WILLIAMSON,Male,3034,2902,95.65%,2592,85.43%,255,8.40%,2489,82.04%,872,28.74%,953,31.41%,1825,60.15%,93,3.07%,791,26.07%
14,Abilene,030,CALLAHAN,Female,114,107,93.86%,102,89.47%,2,1.75%,89,78.07%,38,33.33%,42,36.84%,80,70.18%,5,4.39%,41,35.96%
14,Abilene,030,CALLAHAN,Male,106,98,92.45%,92,86.79%,10,9.43%,82,77.36%,27,25.47%,28,26.42%,55,51.89%,3,2.83%,28,26.42%
14,Abilene,047,COMANCHE,Female,94,88,93.62%,80,85.11%,5,5.32%,71,75.53%,29,30.85%,25,26.60%,54,57.45%,4,4.26%,23,24.47%
14,Abilene,047,COMANCHE,Male,99,95,95.96%,82,82.83%,10,10.10%,75,75.76%,23,23.23%,27,27.27%,50,50.51%,2,2.02%,15,15.15%
14,Abilene,067,EASTLAND,Female,115,112,97.39%,107,93.04%,1,0.87%,92,80.00%,34,29.57%,50,43.48%,84,73.04%,3,2.61%,44,38.26%
14,Abilene,067,EASTLAND,Male,123,120,97.56%,111,90.24%,6,4.88%,101,82.11%,23,18.70%,46,37.40%,69,56.10%,3,2.44%,27,21.95%
14,Abilene,076,FISHER,Female,27,27,100.0%,25,92.59%,0,0.00%,21,77.78%,9,33.33%,8,29.63%,17,62.96%,1,3.70%,8,29.63%
14,Abilene,076,FISHER,Male,31,30,96.77%,29,93.55%,0,0.00%,22,70.97%,4,12.90%,9,29.03%,13,41.94%,0,0.00%,5,16.13%
14,Abilene,104,HASKELL,Female,36,36,100.0%,34,94.44%,1,2.78%,30,83.33%,16,44.44%,9,25.00%,25,69.44%,0,0.00%,9,25.00%
14,Abilene,104,HASKELL,Male,29,25,86.21%,22,75.86%,1,3.45%,25,86.21%,7,24.14%,3,10.34%,10,34.48%,0,0.00%,8,27.59%
14,Abilene,127,JONES,Female,112,107,95.54%,103,91.96%,2,1.79%,93,83.04%,36,32.14%,37,33.04%,73,65.18%,1,0.89%,33,29.46%
14,Abilene,127,JONES,Male,110,105,95.45%,101,91.82%,4,3.64%,92,83.64%,32,29.09%,22,20.00%,54,49.09%,0,0.00%,25,22.73%
14,Abilene,168,MITCHELL,Female,58,54,93.10%,51,87.93%,2,3.45%,40,68.97%,11,18.97%,17,29.31%,28,48.28%,3,5.17%,12,20.69%
14,Abilene,168,MITCHELL,Male,50,48,96.00%,42,84.00%,5,10.00%,41,82.00%,6,12.00%,15,30.00%,21,42.00%,1,2.00%,11,22.00%
14,Abilene,177,NOLAN,Female,114,109,95.61%,93,81.58%,14,12.28%,89,78.07%,29,25.44%,31,27.19%,60,52.63%,1,0.88%,29,25.44%
14,Abilene,177,NOLAN,Male,121,116,95.87%,96,79.34%,19,15.70%,87,71.90%,32,26.45%,29,23.97%,61,50.41%,3,2.48%,32,26.45%
14,Abilene,208,SCURRY,Female,125,123,98.40%,114,91.20%,10,8.00%,102,81.60%,10,8.00%,76,60.80%,86,68.80%,4,3.20%,34,27.20%
14,Abilene,208,SCURRY,Male,129,121,93.80%,101,78.29%,20,15.50%,96,74.42%,8,6.20%,57,44.19%,65,50.39%,0,0.00%,32,24.81%
14,Abilene,209,SHACKELFORD,Female,,,,,,,,,,,,,,,,,,,
14,Abilene,209,SHACKELFORD,Male,,,,,,,,,,,,,,,,,,,
