Campus Number,Campus Name
227806039,Lifehouse
227806040,Austin Oaks
227806041,Unlimited Visions Aftercare
227806042,Houston Behavioral Healthcare
227806043,University High School
227828001,The Excel Center
227901194,Austin ISD Child Development Center
227907109,Shadowglen Elementary School
227910005,Travis County JJAEP
227912002,Travis County JJAEP
231902102,Gossett Elementary School
233901004,Blended Academy
237905003,Royal Early College High School
240903133,Veterans Memorial Elementary School
240904003,JJAEP
246907004,Lott Detention Center
246908005,Williamson County Academy
246913125,Christine Camacho Elementary School
247903003,Wilson Co JJAEP
250906002,Alter School
254901106,Zavala Elementary School
