CAMPUS,CA0GS21R,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CASC4X21R,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD3,CD3G,CD3S,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIR,CFLPAIRD,CFLPAIRO,CFLRTF,CNTYNAME,COMP22F,COUNTY,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_AEABONUS,C_AEABONUS_USED_PCT,C_AEAGRAD_PTS,C_AEASTAAR_PCT,C_AEASTAAR_PTS,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,PAIRCAMP,PAIRNAME,REGION,REGNNAME
2901041,.,1,0,1,1,0,0,1,ANDREWS MIDDLE,.,50,81,.,.,.,.,B,81,75,B,84,50,B,80,B,84,79,B,85,84, ,N,N,N,N,N,N,N,N,N,N,N,ANDREWS,2,2,931,100.0,130,12.3,1055,931,.,0.0,453,48.7,111,11.9,.,0.0,98,10.5,.,0.0,.,.,.,.,.,B,ANDREWS ISD,2901,08,06,06 - 08,M,., , , ,18,REGION 18: MIDLAND
2901101,.,0,0,0, ,0, , ,DEVONIAN EL,.,51,78,.,.,.,.,C,78,.,Not Rated,.,51,C,79,C,79,81,C,78,79, ,N,N,N,N,N,N,N,N,N,Y,N,ANDREWS,.,2,332,53.4,112,15.9,704,622,.,0.0,331,53.2,110,17.7,.,0.0,62,10.0,.,0.0,.,.,.,.,.,C,ANDREWS ISD,2901,03,02,02 - 03,E,., , , ,18,REGION 18: MIDLAND
2901104,.,0,0,0,0,0,0, ,UNDERWOOD EL,.,46,74,.,.,.,.,C,74,72,C,75,46,Not Rated: SB 1365,69,C,75,50,C,71,74, ,N,N,N,N,N,N,N,N,N,N,N,ANDREWS,.,2,605,100.0,103,16.2,637,605,.,0.0,306,50.6,101,16.7,.,0.0,67,11.1,.,0.0,.,.,.,.,.,C,ANDREWS ISD,2901,05,04,04 - 05,E,., , , ,18,REGION 18: MIDLAND
2901105,., , , , , , , ,CLEARFORK EL,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,79, ,N,N,N,N,N,N,N,Y,N,N,N,ANDREWS, ,2,0,0.0,56,17.3,324,762,.,0.0,405,53.1,172,22.6,.,0.0,63,8.3,.,0.0,.,.,.,.,.,C,ANDREWS ISD,2901,01,EE,EE - 01,E,., ,002901101,DEVONIAN EL,18,REGION 18: MIDLAND
3801001,100,1,1,1,1,1,0,0,PINEYWOODS COMMUNITY ACADEMY H S,100,58,88,81,95,100,100,A,93,80,A,90,70,A,90,A,90,95,A,90,92, ,N,N,Y,N,N,N,N,N,N,N,N,ANGELINA,.,3,258,100.0,26,12.6,206,258,123,47.7,123,47.7,9,3.5,0,0.0,27,10.5,0,0.0,.,.,.,.,.,A,PINEYWOODS COMMUNITY ACADEMY,3801,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
3801002,., , , , , , , ,PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,Y,N,N,N,Y,N,N,N,N,ANGELINA,.,3,3,100.0,.,.,.,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,.,.,.,.,.,Not Rated,PINEYWOODS COMMUNITY ACADEMY,3801,11,10,10 - 11,S,., , , ,07,REGION 07: KILGORE
3801042,.,0,0,1,0,0,0,1,DR TERRY ROBBINS MIDDLE,.,52,83,.,.,.,.,B,83,69,C,75,52,B,87,B,87,64,C,79,85, ,N,N,Y,N,N,N,N,N,N,N,N,ANGELINA,.,3,231,100.0,24,9.5,253,231,0,0.0,141,61.0,16,6.9,0,0.0,27,11.7,0,0.0,.,.,.,.,.,B,PINEYWOODS COMMUNITY ACADEMY,3801,08,06,06 - 08,M,., , , ,07,REGION 07: KILGORE
3801103,.,1,1,1,1,1,1, ,SARAH STRINDEN EL,.,58,88,.,.,.,.,B,88,83,A,91,58,B,88,A,91,98,A,96,93, ,N,N,Y,N,N,N,N,N,N,N,N,ANGELINA,.,3,234,46.5,32,7.6,420,503,0,0.0,311,61.8,26,5.2,0,0.0,61,12.1,0,0.0,.,.,.,.,.,A,PINEYWOODS COMMUNITY ACADEMY,3801,05,PK,PK - 05,E,., , , ,07,REGION 07: KILGORE
3902001,88.5,1,1,0,1,1,0,1,HUDSON H S,88.1,62,91,73,93,98.5,95,A,93,77,B,87,68,B,88,B,88,82,B,85,91, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,815,100.0,97,11.5,847,815,.,0.0,346,42.5,35,4.3,0,0.0,79,9.7,.,0.0,.,.,.,.,.,A,HUDSON ISD,3902,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
3902004,0, , , , , , , ,STUBBLEFIELD LRN CTR,0,.,.,38,92,85,80,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,.,DROPOUT RECOVERY SCHOOL,Y,Y,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,9,100.0,32,97,33,9,.,0.0,4,44.4,0,0.0,0,0.0,1,11.1,.,0.0,0,0,0,.,.,Not Rated,HUDSON ISD,3902,12,10,10 - 12,S,., , , ,07,REGION 07: KILGORE
3902041,.,1,1,1,1,1,0,0,HUDSON MIDDLE,.,61,90,.,.,.,.,A,90,75,B,84,61,A,91,A,91,78,B,85,89, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,646,100.0,79,11.1,709,646,.,0.0,335,51.9,47,7.3,.,0.0,86,13.3,.,0.0,.,.,.,.,.,B,HUDSON ISD,3902,08,06,06 - 08,M,., , , ,07,REGION 07: KILGORE
3902101,., , , , , , , ,W F PEAVY PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,89, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,56,12.3,455,677,.,0.0,373,55.1,43,6.4,.,0.0,78,11.5,.,0.0,.,.,.,.,.,B,HUDSON ISD,3902,02,EE,EE - 02,E,., ,003902102,W H BONNER EL,07,REGION 07: KILGORE
3902102,.,1,0,0,0,0,0, ,W H BONNER EL,.,54,82,.,.,.,.,B,82,79,B,86,54,B,82,B,86,98,A,96,89, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,.,3,652,100.0,68,10.2,667,652,.,0.0,345,52.9,67,10.3,.,0.0,90,13.8,.,0.0,.,.,.,.,.,B,HUDSON ISD,3902,05,03,03 - 05,E,., , , ,07,REGION 07: KILGORE
3903001,99.8,1,1,1,0,1,1,1,LUFKIN H S,99.6,46,74,77,94,97.3,90,B,85,65,C,73,62,A,90,A,90,62,C,78,86, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,2163,100.0,430,18.8,2291,2163,477,22.1,1756,81.2,273,12.6,0,0.0,258,11.9,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
3903004,0, , , , , , , ,STUBBLEFIELD LRN CTR,19.2,14,59,10,74,67.4,65,Not Rated: SB 1365,66,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,66,DROPOUT RECOVERY SCHOOL,Y,Y,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,32,100.0,83,80.6,103,32,.,0.0,26,81.3,4,12.5,0,0.0,5,15.6,.,0.0,0,19,0,19,0,Not Rated: SB 1365,LUFKIN ISD,3903,12,09,09 - 12,S,., , , ,07,REGION 07: KILGORE
3903044,.,0,0,1,0,0,0,1,LUFKIN MIDDLE,.,42,74,.,.,.,.,C,74,64,Not Rated: SB 1365,66,42,B,85,B,85,43,C,74,82, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,1596,100.0,220,12.1,1821,1596,.,0.0,1390,87.1,375,23.5,.,0.0,235,14.7,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,08,06,06 - 08,M,., , , ,07,REGION 07: KILGORE
3903120,.,1,1,1,1,0,1, ,ANDERSON EL,.,47,75,.,.,.,.,C,75,85,A,92,47,B,84,A,92,94,B,89,91, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,.,3,232,100.0,72,26.7,270,232,.,0.0,215,92.7,36,15.5,.,0.0,49,21.1,.,0.0,.,.,.,.,.,A,LUFKIN ISD,3903,05,03,03 - 05,E,., , , ,07,REGION 07: KILGORE
3903121,.,0,1,1,0,1,1, ,BRANDON EL,.,54,82,.,.,.,.,B,82,77,B,83,54,B,87,B,87,76,C,77,84, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,.,3,379,100.0,67,15.7,426,379,.,0.0,266,70.2,26,6.9,.,0.0,42,11.1,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,05,03,03 - 05,E,., , , ,07,REGION 07: KILGORE
3903122,.,0,0,0,0,0,0, ,BROOKHOLLOW EL,.,33,58,.,.,.,.,Not Rated: SB 1365,58,69,C,70,33,Not Rated: SB 1365,63,C,70,33,Not Rated: SB 1365,64,68, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,2,3,272,100.0,81,25,324,272,.,0.0,260,95.6,26,9.6,.,0.0,67,24.6,.,0.0,.,.,.,.,.,Not Rated: SB 1365,LUFKIN ISD,3903,05,03,03 - 05,E,., , , ,07,REGION 07: KILGORE
3903123,.,0,0,0,0,0,1, ,COSTON EL,.,40,69,.,.,.,.,Not Rated: SB 1365,69,77,B,83,40,C,76,B,83,59,C,73,80, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,2,3,198,100.0,51,21.3,240,198,.,0.0,189,95.5,51,25.8,.,0.0,42,21.2,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,05,03,03 - 05,E,., , , ,07,REGION 07: KILGORE
3903124,., , , , , , , ,DUNBAR PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,84, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,37,13.4,277,405,.,0.0,307,75.8,26,6.4,.,0.0,22,5.4,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,02,KG,KG - 02,E,., ,003903121,BRANDON EL,07,REGION 07: KILGORE
3903125,., , , , , , , ,GARRETT PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,87, ,N,N,N,N,Y,N,N,Y,Y,N,N,ANGELINA, ,3,0,0.0,.,.,.,254,.,0.0,253,99.6,80,31.5,.,0.0,2,0.8,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,PK,PK,PK - PK,E,., ,003903000,LUFKIN ISD,07,REGION 07: KILGORE
3903126,., , , , , , , ,HACKNEY PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,87, ,N,N,N,N,Y,N,N,Y,Y,N,N,ANGELINA, ,3,0,0.0,.,.,.,130,.,0.0,130,100.0,29,22.3,.,0.0,0,0.0,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,PK,PK,PK - PK,E,., ,003903000,LUFKIN ISD,07,REGION 07: KILGORE
3903127,., , , , , , , ,HERTY PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,80, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,35,18.9,185,254,.,0.0,241,94.9,47,18.5,.,0.0,90,35.4,.,0.0,.,.,.,.,.,B,LUFKIN ISD,3903,02,EE,EE - 02,E,., ,003903123,COSTON EL,07,REGION 07: KILGORE
3903128,., , , , , , , ,KURTH PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,91, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,42,23,183,244,.,0.0,221,90.6,31,12.7,.,0.0,21,8.6,.,0.0,.,.,.,.,.,A,LUFKIN ISD,3903,02,KG,KG - 02,E,., ,003903120,ANDERSON EL,07,REGION 07: KILGORE
