County Code,THECB County Name,thecb-name-short,TEA County Name,FIPS,tea-name-short,
120,JACKSON,jackson,Jackson,239,jackson,
121,JASPER,jasper,Jasper,241,jasper,
122,JEFF DAVIS,jeffdavis,Jeff Davis,243,jeffdavis,
123,JEFFERSON,jefferson,Jefferson,245,jefferson,
124,JIM HOGG,jimhogg,Jim Hogg,247,jimhogg,
125,JIM WELLS,jimwells,Jim Wells,249,jimwells,
126,JOHNSON,johnson,Johnson,251,johnson,
127,JONES,jones,Jones,253,jones,
128,KARNES,karnes,Karnes,255,karnes,
129,KAUFMAN,kaufman,Kaufman,257,kaufman,
130,KENDALL,kendall,Kendall,259,kendall,
,,,Kenedy,261,kenedy,FALSE
132,KENT,kent,Kent,263,kent,
133,KERR,kerr,Kerr,265,kerr,
134,KIMBLE,kimble,Kimble,267,kimble,
135,KING,king,King,269,king,
136,KINNEY,kinney,Kinney,271,kinney,
137,KLEBERG,kleberg,Kleberg,273,kleberg,
138,KNOX,knox,Knox,275,knox,
139,LAMAR,lamar,Lamar,277,lamar,
140,LAMB,lamb,Lamb,279,lamb,
141,LAMPASAS,lampasas,Lampasas,281,lampasas,
142,LA SALLE,lasalle,La Salle,283,lasalle,
143,LAVACA,lavaca,Lavaca,285,lavaca,
144,LEE,lee,Lee,287,lee,
145,LEON,leon,Leon,289,leon,
146,LIBERTY,liberty,Liberty,291,liberty,
147,LIMESTONE,limestone,Limestone,293,limestone,
148,LIPSCOMB,lipscomb,Lipscomb,295,lipscomb,
149,LIVE OAK,liveoak,Live Oak,297,liveoak,
150,LLANO,llano,Llano,299,llano,
,,,Loving,301,loving,FALSE
152,LUBBOCK,lubbock,Lubbock,303,lubbock,
153,LYNN,lynn,Lynn,305,lynn,
154,MADISON,madison,Madison,313,madison,
155,MARION,marion,Marion,315,marion,
156,MARTIN,martin,Martin,317,martin,
157,MASON,mason,Mason,319,mason,
158,MATAGORDA,matagorda,Matagorda,321,matagorda,
159,MAVERICK,maverick,Maverick,323,maverick,
160,MCCULLOCH,mcculloch,McCulloch,307,mcculloch,
161,MCLENNAN,mclennan,McLennan,309,mclennan,
162,MCMULLEN,mcmullen,McMullen,311,mcmullen,
163,MEDINA,medina,Medina,325,medina,
164,MENARD,menard,Menard,327,menard,
165,MIDLAND,midland,Midland,329,midland,
166,MILAM,milam,Milam,331,milam,
167,MILLS,mills,Mills,333,mills,
168,MITCHELL,mitchell,Mitchell,335,mitchell,
169,MONTAGUE,montague,Montague,337,montague,
170,MONTGOMERY,montgomery,Montgomery,339,montgomery,
171,MOORE,moore,Moore,341,moore,
172,MORRIS,morris,Morris,343,morris,
173,MOTLEY,motley,Motley,345,motley,
174,NACOGDOCHES,nacogdoches,Nacogdoches,347,nacogdoches,
175,NAVARRO,navarro,Navarro,349,navarro,
176,NEWTON,newton,Newton,351,newton,
177,NOLAN,nolan,Nolan,353,nolan,
178,NUECES,nueces,Nueces,355,nueces,
179,OCHILTREE,ochiltree,Ochiltree,357,ochiltree,
180,OLDHAM,oldham,Oldham,359,oldham,
181,ORANGE,orange,Orange,361,orange,
182,PALO PINTO,palopinto,Palo Pinto,363,palopinto,
183,PANOLA,panola,Panola,365,panola,
184,PARKER,parker,Parker,367,parker,
185,PARMER,parmer,Parmer,369,parmer,
186,PECOS,pecos,Pecos,371,pecos,
187,POLK,polk,Polk,373,polk,
188,POTTER,potter,Potter,375,potter,
189,PRESIDIO,presidio,Presidio,377,presidio,
190,RAINS,rains,Rains,379,rains,
191,RANDALL,randall,Randall,381,randall,
192,REAGAN,reagan,Reagan,383,reagan,
193,REAL,real,Real,385,real,
194,RED RIVER,redriver,Red River,387,redriver,
195,REEVES,reeves,Reeves,389,reeves,
196,REFUGIO,refugio,Refugio,391,refugio,
197,ROBERTS,roberts,Roberts,393,roberts,
198,ROBERTSON,robertson,Robertson,395,robertson,
199,ROCKWALL,rockwall,Rockwall,397,rockwall,
200,RUNNELS,runnels,Runnels,399,runnels,
201,RUSK,rusk,Rusk,401,rusk,
202,SABINE,sabine,Sabine,403,sabine,
203,SAN AUGUSTINE,sanaugustine,San Augustine,405,sanaugustine,
204,SAN JACINTO,sanjacinto,San Jacinto,407,sanjacinto,
205,SAN PATRICIO,sanpatricio,San Patricio,409,sanpatricio,
206,SAN SABA,sansaba,San Saba,411,sansaba,
207,SCHLEICHER,schleicher,Schleicher,413,schleicher,
208,SCURRY,scurry,Scurry,415,scurry,
209,SHACKELFORD,shackelford,Shackelford,417,shackelford,
210,SHELBY,shelby,Shelby,419,shelby,
211,SHERMAN,sherman,Sherman,421,sherman,
212,SMITH,smith,Smith,423,smith,
213,SOMERVELL,somervell,Somervell,425,somervell,
214,STARR,starr,Starr,427,starr,
215,STEPHENS,stephens,Stephens,429,stephens,
216,STERLING,sterling,Sterling,431,sterling,
217,STONEWALL,stonewall,Stonewall,433,stonewall,
218,SUTTON,sutton,Sutton,435,sutton,
219,SWISHER,swisher,Swisher,437,swisher,
220,TARRANT,tarrant,Tarrant,439,tarrant,
221,TAYLOR,taylor,Taylor,441,taylor,
222,TERRELL,terrell,Terrell,443,terrell,
223,TERRY,terry,Terry,445,terry,
224,THROCKMORTON,throckmorton,Throckmorton,447,throckmorton,
225,TITUS,titus,Titus,449,titus,
226,TOM GREEN,tomgreen,Tom Green,451,tomgreen,
227,TRAVIS,travis,Travis,453,travis,
228,TRINITY,trinity,Trinity,455,trinity,
229,TYLER,tyler,Tyler,457,tyler,
230,UPSHUR,upshur,Upshur,459,upshur,
231,UPTON,upton,Upton,461,upton,
232,UVALDE,uvalde,Uvalde,463,uvalde,
233,VAL VERDE,valverde,Val Verde,465,valverde,
234,VAN ZANDT,vanzandt,Van Zandt,467,vanzandt,
235,VICTORIA,victoria,Victoria,469,victoria,
236,WALKER,walker,Walker,471,walker,
237,WALLER,waller,Waller,473,waller,
238,WARD,ward,Ward,475,ward,
239,WASHINGTON,washington,Washington,477,washington,
240,WEBB,webb,Webb,479,webb,
241,WHARTON,wharton,Wharton,481,wharton,
242,WHEELER,wheeler,Wheeler,483,wheeler,
243,WICHITA,wichita,Wichita,485,wichita,
244,WILBARGER,wilbarger,Wilbarger,487,wilbarger,
245,WILLACY,willacy,Willacy,489,willacy,
246,WILLIAMSON,williamson,Williamson,491,williamson,
247,WILSON,wilson,Wilson,493,wilson,
248,WINKLER,winkler,Winkler,495,winkler,
249,WISE,wise,Wise,497,wise,
250,WOOD,wood,Wood,499,wood,
251,YOAKUM,yoakum,Yoakum,501,yoakum,
252,YOUNG,young,Young,503,young,
253,ZAPATA,zapata,Zapata,505,zapata,
254,ZAVALA,zavala,Zavala,507,zavala,
