REGION,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND17C,RAUND17D,RAUND17R,RPETDISD,RPETDISC,RPETDISP,RPETSIMC,RPETSINC,RPETSPHC,RPETSBHC,RPETSAUC,RPETSNOC,RPETSINP,RPETSPHP,RPETSBHP,RPETSAUP,RPETSNOP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERRA9R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPERSA9R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSRTOPC,RPSRTOFC,RPSBTOPC,RPSBTOFC,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTFTEC,RPSTTENA,RPSTEXPA,RPSAMIFC,RPSTEXPT,RPSTTENT,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPSHEXPA,RPSHTENA,RPSLEXPA,RPSLTENA,RPSHEXPT,RPSHTENT,RPSLEXPT,RPSLTENT,RPSHFTEC,RPSLFTEC,RPFEIERP,RPSAINHP,RA0GR17N,RA0GM17N,RA0GH17N,RA0GE17N,RA0GA17N,RA0GN17N,RB0GR17N,RH0GR17N,RW0GR17N,RI0GR17N,R30GR17N,R40GR17N,R20GR17N,RE0GR17N,RS0GR17N,RL0GR17N,RR0GR17N,RA0GH17P,RA0GN17P,RA0GE17P,RA0GA17P,RA0GR17R,RB0GR17R,RH0GR17R,RW0GR17R,RI0GR17R,R30GR17R,R40GR17R,R20GR17R,RE0GR17R,RS0GR17R,RL0GR17R,RR0GR17R,RA0GM17P
"11",589395,52765,95758,290163,299232,52932,150850,96665,278318,1603,20415,39996,41122,42071,43973,45067,45039,44312,44193,44071,49535,45535,42923,39540,213499,87742,236436,2554,29416,1741,18007,428,283939,0.2,619297,7768,1.3,52765,22433,12016,10836,6881,599,42.5,22.8,20.5,13,1.1,1.9,2.1,1.2,0.7,0.3,0.5,0.3,0.4,0.4,8.7,7.5,4,1.6,0.5,0.3,0.6,0.3,0.5,0.8,14,40.1,14.9,36.2,0.4,5,0.3,3.1,49.2,50.8,47.2,16.2,9,25.6,16.4,9,0.3,3.5,6.8,7,7.1,7.5,7.6,7.6,7.5,7.5,7.5,8.4,7.7,7.3,6.7,39423.9,7521,2220.1,793.1,6931.6,2213423536.3,491923723,179194461.7,85229728.5,2057.5,11537.9,7735,12047.5,6045.9,103661912.3,604670687,421374691.2,693589731.8,390126513.9,118,1401,90,534,306.3,28673.1,10126.2,318.4,114.6,43.9,49958.2,16441,73330.8,25.2,168.6,496.7,476.6,3396.5,4980,29413.6,491.8,9053.1,30370.8,41.4,28291,1735.8,2449.7,948.3,871.2,3442.8,1685,5978.5,39038.5,15.3,42660.6,7.1,11.2,23786.3,478931.9,303238.9,245499,11603,229407,11150,247032,12957,33267,1579,35808.7,1673.3,36008.1,1895.3,34993.8,1855.7,33740,1823.9,33020.6,1778.3,4363.4,162.6,34383.1,1841.5,100994,5540,282683,15636,21.2,20.6,19.1,26.8,18.7,21.1,21.4,19,18.9,18.5,18.6,18.2,18.1,68.1,53.8,10.3,3,1.1,9.5,22.4,32.4,0.8,72.7,25.7,0.8,5.2,29.3,19.6,30.6,15.3,71.8,4.4,6.2,2.4,2.2,8.7,4.3,8.6,74.6,12.6,1.3,0.4,1.2,1.2,23,77,15,50382,52407,54476,57571,64527,56144,65406,80714,107461,6.6,5.6,5.3,4.8,6141,5260,7069,6292,932,1324,64.5,67.3,38758,4525,29512,477,2145,2099,5449,12590,17504,200,1886,112,1017,14205,2660,2008,14201,76.1,5.4,1.2,5.5,100,14.1,32.5,45.2,0.5,4.9,0.3,2.6,36.7,6.9,5.2,36.6,11.7
"12",174198,17607,17704,101664,72534,10886,44388,17181,84351,317,8775,12531,13169,13078,13373,13297,13567,13035,12910,12549,13704,12091,11341,10461,59389,34203,67363,676,3493,1417,7657,210,79180,0.3,185105,3187,1.7,17607,8037,3697,3797,1785,291,45.6,21,21.6,10.1,1.7,1.9,4.4,2.3,1.7,0.9,1.1,0.5,0.7,0.6,7.8,7.5,9.1,4.7,1.6,1.2,1.1,0.7,0.9,1.5,15.4,38.7,19.6,34.1,0.4,2,0.8,4.4,58.4,41.6,48.4,10.2,10.1,25.5,9.9,6.2,0.2,5,7.2,7.6,7.5,7.7,7.6,7.8,7.5,7.4,7.2,7.9,6.9,6.5,6,12138.1,2027.8,823.2,310.6,3086.1,594652837.8,117438017.6,58973379.6,29101928.5,1019.7,3828.8,2210.5,3171.3,1907.8,43368609.8,173126181,105564472.2,163220376.6,109373198.3,46,412,23,129,90.5,9491.7,2502.5,53.4,90.5,22,15299.9,6114.5,24500.4,48.2,51.3,12.9,116.1,1185.5,1251.5,9309.5,211.3,2871.4,9266.7,38,9401.4,623.2,312.5,357.4,145.7,985.7,312.2,2462.7,11997.2,20.5,13208.4,6.4,10.7,7814.9,141300.4,83932.5,67666,3821,64654,3597,69055,4268,10092.7,520.7,11494.2,542.6,10704.1,561.8,10809.1,577.5,10555.8,564.3,10810.4,576.4,1305.7,48.3,10133.5,540.3,31608,1819,78794,5271,17.7,18,16.2,27.1,18.8,19.4,21.2,19.1,18.7,18.7,18.8,17.4,14.9,62.4,49.5,8.3,3.4,1.3,12.6,25,31.9,0.7,78.2,20.6,0.4,8.4,31.5,18.2,26.1,15.7,77.5,5.1,2.6,2.9,1.2,8.1,2.6,9.8,76.7,10.3,0.1,0.4,1,1.7,23.7,76.3,14.4,42531,45216,47756,51468,57330,48991,57913,71635,93681,6.1,5.2,4.8,4.3,2146,1826,2012,1801,354,423,62.5,65.6,10091,1417,7485,79,800,310,1982,3004,4453,41,178,70,363,4307,912,252,3750,74.2,3.1,0.8,7.9,100,19.6,29.8,44.1,0.4,1.8,0.7,3.6,42.7,9,2.5,37.2,14
"13",392165,40065,68129,175392,216773,35186,96402,69673,179851,1405,14115,27332,28615,28761,29810,30540,30597,29783,29403,29452,31583,29197,26594,24978,186117,26599,144736,962,20927,421,12403,370,200198,0.2,405301,5255,1.3,40065,18265,8361,7904,5146,389,45.6,20.9,19.7,12.8,1,1.4,1.9,0.9,0.5,0.2,0.3,0.2,0.2,0.3,6.4,5.1,3.9,1.5,0.6,0.3,0.4,0.5,0.4,0.6,14.1,36.9,6.8,47.5,0.2,5.3,0.1,3.2,44.7,55.3,45.9,17.4,10.2,24.6,17.8,9,0.4,3.6,7,7.3,7.3,7.6,7.8,7.8,7.6,7.5,7.5,8.1,7.4,6.8,6.4,26440,5289.9,1621.4,495.5,5226.3,1345480410.9,327112076,122760003.9,53580625,1796.3,7921.1,5490.6,7365.9,3866.3,82510477.4,377225368.6,271497809.2,385774479.6,228472276.2,122,875,63,373,136.4,19774.7,6358.8,170.2,29.6,3,33846.8,12420.5,51493.6,76.7,87.6,98.3,388.4,1156.1,5561.7,18785.8,362,6191,20249,13.5,18439.1,961.8,1785.2,806.4,413.7,3028.8,1005.1,5028.6,26485.8,19,27951.4,6.5,10.8,20033.5,300814,180357.3,162101,8458,155152,8318,167118,9460,17817.7,886.7,21392.3,1029.5,21747.8,1162.7,20774.2,1127.6,20553.6,1088.9,20495.6,1085.2,2529.6,91.5,18887.2,1025.6,75307,3890,188082,11578,19.2,18.7,17.7,27.6,18.4,20.1,20.8,18.7,18.4,18.9,18.9,19.4,16.2,65.7,51.3,10.3,3.1,1,10.1,24.1,38.9,0.5,74.8,24,0.6,6.8,30,20.8,27.9,14.6,69.7,3.6,6.8,3,1.6,11.5,3.8,4.4,71.1,21,0.4,0.3,1.5,1.4,23.4,76.6,14.8,45935,47623,49448,52373,59094,50888,61837,75714,108142,6.2,5.2,4.8,4,3695,3095,4528,3776,595,953,62.3,65.4,23783,2431,18506,348,1647,851,1847,10261,9852,60,1070,26,667,8215,1858,1058,8407,77.8,3.6,1.5,6.9,100,7.8,43.1,41.4,0.3,4.5,0.1,2.8,34.5,7.8,4.4,35.3,10.2
"14",58633,5837,3416,32908,25725,2603,14060,3413,24773,234,2343,4458,4506,4521,4535,4686,4719,4924,5028,4834,4056,3517,3248,3024,21321,5159,28704,235,1217,60,1937,51,26447,0.2,65859,708,1.1,5837,2860,1382,988,544,63,49,23.7,16.9,9.3,1.1,5.2,4.7,2.3,1.7,1.6,2,2.5,3.8,2.8,7.3,14.7,6.3,4,0.9,1.5,1.1,0.9,1.8,2.4,9.8,49,8.8,36.4,0.4,2.1,0.1,3.3,56.1,43.9,42.3,5.8,10,24,5.8,4.4,0.4,4,7.6,7.7,7.7,7.7,8,8,8.4,8.6,8.2,6.9,6,5.5,5.2,4200.1,571.9,261.3,122.5,1225.3,190497803.8,27745710.4,17587154,10691837.3,298.3,1354.8,686.9,1006.3,853.8,11214229.3,55774148.1,29543627,48211462.4,45754337,31,126,8,19,43.3,3405.7,729.4,21.7,77.5,2,5155.8,2014.8,8395.9,4.7,10.9,1,30,160,428,3531.1,39,915.4,3284.7,16.6,3331,233.8,19,225.5,4.4,305.5,80.8,883.9,4248.5,20.8,4667.6,7.1,11.6,2018.6,54006.7,33327.2,19790,1149,19477,1151,21623,1412,3735.7,193.5,4133.8,214.6,4182.5,236.6,4203.5,233.8,4129.8,231.5,4034.1,229.4,538.7,16.3,4296.7,239.4,8124,509,25090,1798,17.2,16.9,15.3,33.1,17.9,19.3,19.3,17.7,18,17.8,17.6,16,14,61.4,50,6.8,3.1,1.5,14.6,24,24,1,81.1,17.4,0.5,7.1,32.3,16.4,24,20.3,79.3,5.6,0.5,5.4,0.1,7.3,1.9,3.8,84.1,10.2,0,0.3,0.7,0.9,21.8,78.2,14,37598,41169,43007,47909,53591,45356,48512,67319,87252,5.9,4.8,3.8,3.2,1058,855,334,275,178,87,62.5,64.8,3038,288,1440,96,1065,149,184,984,1720,15,51,2,82,1238,261,48,1132,47.4,4.9,3.2,35.1,100,6.1,32.4,56.6,0.5,1.7,0.1,2.7,40.8,8.6,1.6,37.3,9.5
"15",49858,4807,3559,30031,19827,2788,13212,3466,24102,169,1844,3514,3652,3748,3921,4049,3863,3736,3725,3768,3726,3525,3436,3182,28834,1373,18271,122,379,23,856,23,22738,0.1,53308,616,1.2,4807,2249,1130,967,379,82,46.8,23.5,20.1,7.9,1.7,3.1,3.4,1.6,1.4,0.7,0.9,0.4,0.5,2.3,4.7,12.3,8,1.6,1.2,0,0,1,0.2,0.7,7.4,36.6,2.8,57.8,0.2,0.8,0,1.7,60.2,39.8,48.3,7.1,9.6,26.5,7,5.6,0.3,3.7,7,7.3,7.5,7.9,8.1,7.7,7.5,7.5,7.6,7.5,7.1,6.9,6.4,3708.6,505.7,219.8,104.4,957.8,167160431.3,28208807.5,14947535.7,9690485.2,326.5,928.9,639,1042.8,771.6,11826184.5,36208324.2,27401197,50134423.4,41590302.2,23,128,6,21,30.1,3053,620.2,5.4,47.7,15.9,4538.5,1845.4,7341.7,16.7,9,1,10.8,52.7,956,2661.6,17.5,828.4,2880.2,15.5,2932.5,225.4,65.3,139.8,16.7,272.8,56.2,788.3,3713.7,21.2,4281,7.7,12.2,2900.2,52307.6,33121,19089,1090,19182,1096,21144,1342,2805.6,154.1,3397.3,183.2,3499.4,197.7,3488.3,199.1,3318.4,193.1,3144.4,185.4,174.2,4.1,3109.6,188,7836,522,26194,1705,17.5,17.5,15.8,42.7,16.5,18.2,18.5,17.7,17.5,17.2,17,15,15.4,61.8,50.5,6.9,3,1.4,13,25.1,39.5,0.8,82.3,16.7,0.1,8.8,25,17.2,28.1,20.8,79.1,6.1,1.8,3.8,0.4,7.4,1.5,1.4,71.8,25.8,0,0.2,0.3,0.5,22.3,77.7,13.4,36224,38982,42884,48078,53903,45073,55782,68013,92792,5.7,4.4,3.8,3.5,775,605,303,279,137,80,59.8,64,3219,369,2223,61,323,243,59,1757,1313,12,27,5,46,1458,318,69,1097,69.1,7.5,1.9,10,100,1.8,54.6,40.8,0.4,0.8,0.2,1.4,45.3,9.9,2.1,34.1,11.5
"16",84959,8581,11255,50411,34548,4155,23219,11118,41106,211,4340,6121,6298,6262,6608,6563,6619,6226,6388,6314,6352,5978,5590,5089,40024,4533,35594,398,2482,75,1853,45,38709,0.1,90415,1267,1.4,8581,3686,2060,2200,538,97,43,24,25.6,6.3,1.1,3.7,3.5,1.8,1.2,0.4,0.9,0.2,0.4,0.6,4.1,11.4,7.8,2.8,1.5,1.2,1.3,1.1,0.5,2.2,7.1,41.9,5.3,47.1,0.5,2.9,0.1,2.2,59.3,40.7,48.4,13.2,10.1,27.3,13.1,4.9,0.2,5.1,7.2,7.4,7.4,7.8,7.7,7.8,7.3,7.5,7.4,7.5,7,6.6,6,6455.6,845.5,363.5,163.1,1537,323773359.1,50609622.8,27703334.5,15782678.5,461.4,1767,1193.4,1733.1,1300.7,20144303.4,79179545.9,57977329.4,90387278,76084902.4,48,171,22,62,57.9,5321,1068.9,7.7,27.4,0,7827.7,2905.5,12270.2,14.9,24.9,2,27,48.9,797.6,5506.2,49,1409.6,5045.9,11.4,4754,381.7,212.5,289.7,11.8,567.6,238.2,1025.8,6506.7,15.8,6999.3,8.2,11.9,3123,83042.9,57053.3,33671,2023,31445,1837,35552,2273,5251.1,276.3,5864.7,304.3,5800.8,330.2,6144.2,338.6,5193.7,298.2,5508.7,316.3,35.6,2.2,5567.2,312.9,13835,876,40307,2798,16.6,17.1,15.6,16.1,17.8,19,19.3,17.6,18.1,17.4,17.4,15.8,14.4,63.8,52.6,6.9,3,1.3,12.5,23.7,25.5,0.9,82.4,16.6,0.1,7.1,27.4,18.5,26.8,20.1,73.6,5.9,3.3,4.5,0.2,8.8,3.7,0.8,85.3,12.4,0,0.4,0.4,0.8,21.8,78.2,13.2,43660,44811,48581,52153,58497,50154,59855,76212,96749,7.1,6.1,5.4,5.1,1574,1364,969,925,222,180,64.1,66.8,5474,665,3052,62,1368,327,245,2406,2539,28,140,1,115,2423,440,205,2010,55.8,6,1.1,25,100,4.5,44,46.4,0.5,2.6,0,2.1,44.3,8,3.7,36.7,12.1
"17",84020,8156,4881,50514,33506,4768,25033,5046,39087,183,3983,6050,6179,6549,6656,6593,6831,6067,6154,6045,6293,5756,5535,5146,49001,5508,26804,216,1045,41,1405,84,37740,0.2,88731,1665,1.9,8156,4334,1677,1252,770,123,53.1,20.6,15.4,9.4,1.5,4.1,4.5,2.5,1.7,0.6,0.7,0.4,0.2,0.5,3,10.9,9.2,3.1,2,0.7,0.3,0.3,0.1,0.3,6.4,31.9,6.6,58.3,0.3,1.2,0,1.7,60.1,39.9,46.5,5.8,9.7,29.8,6,5.7,0.2,4.7,7.2,7.4,7.8,7.9,7.8,8.1,7.2,7.3,7.2,7.5,6.9,6.6,6.1,6415,969.9,402,191,1722.1,297471997.1,55021962.7,29933891.4,18200450.9,490,1798.1,1139.1,1704.3,1283.5,18844121.8,72866844,49923696.7,83211551.9,72625782.6,41,205,17,69,33.1,5041.8,1305.2,35,65,22.9,7977.9,2192.5,11892.5,2,12.1,4,23,133.3,1040.9,5133,68.8,1508.5,4906.5,15.8,4770.1,397.1,126.2,295.5,23.1,589.2,213.9,1244.5,6396,19.5,7182.3,7.1,11.8,3870,85099.7,51081.3,31404,1833,30608,1856,34585,2203,4420.9,242.5,6259.3,330,5865.8,324.1,5870,337.9,5704.8,323,5617.4,319.5,579.4,16.2,5701.5,313.6,13159,841,41844,2735,17.1,16.5,15.7,35.8,18.2,18.2,19,18.1,17.4,17.7,17.6,15.6,15.3,67.1,53.9,8.2,3.4,1.6,14.5,18.4,32.5,0.5,78.6,20.3,0.5,7.6,28,17.8,26.6,20,74.4,6.2,2,4.6,0.4,9.2,3.3,2.1,80,16.2,0.1,0.2,0.4,1.1,23.5,76.5,13.1,38458,40525,43826,48824,56585,46371,56730,74466,95280,7,5.8,4.4,4,1515,1241,792,723,215,181,61,70.4,5112,559,2047,79,2154,273,331,2806,1811,14,72,5,73,2356,458,106,1795,40,5.3,1.5,42.1,100,6.5,54.9,35.4,0.3,1.4,0.1,1.4,46.1,9,2.1,35.1,10.9
"18",90843,6934,12059,46206,44637,5993,22197,11778,46463,137,3433,7218,7029,7054,7436,7383,7351,6672,6808,6572,7300,6163,5641,4646,62279,3871,22085,249,1098,117,1144,148,38432,0.4,93891,1579,1.7,6934,3284,1885,1046,601,118,47.4,27.2,15.1,8.7,1.7,3.1,3.5,2.2,1.3,0.7,1.6,0.7,1,0.7,12.4,9.6,9.8,4.2,1,0.5,0.5,0.4,0.8,0.2,14.4,24.3,4.3,68.6,0.3,1.2,0.1,1.3,50.9,49.1,51.1,13.3,7.6,24.4,13,6.6,0.2,3.8,7.9,7.7,7.8,8.2,8.1,8.1,7.3,7.5,7.2,8,6.8,6.2,5.1,5878.9,940.5,355.6,153.4,1056,297684604.5,56151965.3,26711715.6,15700146.8,506.2,1834,1020.9,1437,1080.9,21318725,84542086,50469868,77129579.2,64224346.4,20,205,8,60,91.8,4486.7,1265.5,34.9,42.4,3,7328.5,2807.1,11191.6,21.4,19.7,3,65.8,203.2,1847.3,3686.3,53.5,1313.2,4565.7,4.7,4109.8,285.7,493.3,249.8,131.5,457.4,151.5,1149.4,5910.5,19.4,6486.4,7.3,11.2,5483.1,72894,47096.6,34010,2022,31783,1825,34260,2072,4553.8,225.1,6041.8,280.4,6113.6,313.1,5994.2,303.5,5742.7,300.2,5765.8,301.6,89.6,4.2,5758.9,300.5,14361,874,41292,2708,16.8,17.4,16.5,21.4,19.2,20.2,21.5,19.5,19.7,19.1,19.1,16.4,15.2,65.5,52.5,8.4,3.2,1.4,9.4,25.1,49,1.6,76.3,21.5,0.6,8.6,31.2,17.4,24.4,18.4,69.9,4.9,8.4,4.2,2.2,7.8,2.6,3.5,62.7,31.4,0.1,0.3,1.1,0.9,22.3,77.7,15.5,42117,46098,49438,53674,59418,50636,59702,75117,102318,5.7,4.8,4.8,4.2,969,811,879,775,170,185,62.3,64,4763,583,3218,44,613,305,224,3104,1291,20,69,3,52,1635,304,225,2067,67.6,6.4,0.9,12.9,100,4.7,65.2,27.1,0.4,1.4,0.1,1.1,34.3,6.4,4.7,43.4,12.2
"19",177788,18289,47506,131456,46332,14495,54487,49039,94201,446,8384,11552,11983,12173,12606,12985,13176,13070,13100,13361,14909,13993,13380,12670,159996,3913,10396,335,1179,352,1617,127,86380,0.1,186762,2441,1.3,18289,8376,4734,3260,1828,91,45.8,25.9,17.8,10,0.5,0.9,3.2,1.7,1,0.7,0.4,0.3,0.4,0.3,9.4,8.1,7.9,3.4,2,1,0.7,0.4,0.2,0.4,18.6,5.8,2.2,90,0.2,0.7,0.2,0.9,73.9,26.1,53,26.7,10.3,30.6,27.6,8.2,0.3,4.7,6.5,6.7,6.8,7.1,7.3,7.4,7.4,7.4,7.5,8.4,7.9,7.5,7.1,11536.1,2728.3,676.4,193.1,1868.4,607877224.3,166046435.8,52891531.4,18702526.5,613.7,2729,2317.4,4024.9,1851,26797222.1,133382476,117985864.8,217935906,111775755.3,5,448,5,222,152.1,8190.4,3123.3,70.3,0,0,15133.9,7466.6,24468.9,8.5,17.2,7.8,80.2,202.8,9236.9,1919.2,72,3376.3,8159.8,0,8603.8,599,1165.2,52,139.2,748.5,228.3,1142.4,11316.9,10.1,12266.9,9.9,11.9,21355.5,145870.2,121159.6,83793,4424,75888,4030,84501,4716,9166.8,472.5,9575.9,430.2,8570,482.1,7806.4,439.1,7181.2,408.2,6579.5,363.6,292,6,7773.2,445.5,36330,1987,106476,6944,18.9,18.8,17.9,48.7,17.4,19.4,22.3,17.8,17.8,17.6,18.1,18.3,15.3,61.8,47.1,11.2,2.8,0.8,7.6,30.5,87.3,1.3,71,27.1,0.6,5.3,23.7,20.1,34.9,16,74.6,5.2,10.1,0.5,1.2,6.5,2,1.8,16.6,80.1,0.1,0.1,0.7,0.6,29.3,70.7,15.4,43662,48875,50914,54147,60386,52694,60860,78194,96868,5.7,5.2,5.3,5,1429,1287,2256,2124,249,427,63.6,59.8,12134,696,11115,44,165,114,292,10982,682,16,74,14,74,7892,852,1127,5247,91.6,0.9,0.4,1.4,100,2.4,90.5,5.6,0.1,0.6,0.1,0.6,65,7,9.3,43.2,5.7
"20",474392,47983,55817,279266,195126,33593,117897,57435,252881,1401,19937,32062,33422,34210,35795,36652,36902,35127,35456,35704,38599,35549,33243,30333,326434,28282,97752,1051,9709,727,10437,719,209596,0.3,499479,7313,1.5,47983,20174,10568,10713,5891,637,42,22,22.3,12.3,1.3,1.7,3.1,1.9,1.2,0.6,0.7,0.5,0.7,0.7,9,5.5,6.2,2.1,1.1,0.5,0.6,0.7,0.9,1,16.5,20.6,6,68.8,0.2,2,0.2,2.2,58.9,41.1,53.3,11.8,10.1,24.9,12.1,7.1,0.3,4.2,6.8,7,7.2,7.5,7.7,7.8,7.4,7.5,7.5,8.1,7.5,7,6.4,30869.5,6738.8,1742,628.6,6002.1,1683847878.4,417349234.1,135029888.4,63833531.4,2576,8370.9,6150.8,9216,4555.7,127333851.5,427703129.5,328315719,517818053,282677125.4,63,1093,29,414,216,21577.2,8904.8,171.5,67.4,21.1,39978.9,16731.7,62712.7,217.9,72.1,33.7,233.6,1381.1,14082.7,14742.5,323.7,7558.8,23310.7,16.1,21890.1,1343.4,1755,1095.5,469.9,3303.6,1011.9,4674.5,30231.9,15.5,32371.8,7.3,10.9,38410.8,351896.5,235425.7,202257,10551,188633,10063,204541,11515,24363.8,1208,30538.2,1369.3,30152.5,1479.9,28497.7,1476.1,27077,1414.4,26105.6,1372.3,456.2,20.9,25545.8,1367.9,88406,4786,243876,14718,19.2,18.7,17.8,21.9,18.7,20.2,22.3,20.4,19.3,19.1,19,18.5,16.6,63.7,49.2,10.7,2.8,1,9.6,26.7,61.2,0.7,69.9,28.8,0.6,8.3,27.1,19.9,29.9,14.8,70.9,4.4,5.7,3.5,1.5,10.7,3.3,4.5,47.8,45.6,0.1,0.2,0.8,1,24.5,75.5,15.4,49430,51094,53378,56187,62049,54547,61932,77514,101548,5.8,4.9,5,4.4,4246,3569,5176,4530,735,1028,62.9,62.7,30489,2870,22786,210,1977,2646,2012,20114,7114,74,533,66,576,14567,2604,1130,13615,74.7,8.7,0.7,6.5,100,6.6,66,23.3,0.2,1.7,0.2,1.9,47.8,8.5,3.7,44.7,9.4
