DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"010902","BANDERA ISD","010","BANDERA","20","REGION 20: SAN ANTONIO","D","D","C","C","D","D",68,74,66,66,156,1274,2331,437,0,0,0,1764,6.7,18.7,0,0,0,75.7,74,69
"011901","BASTROP ISD","011","BASTROP","13","REGION 13: AUSTIN","D","D","D","D","D","F",64,64,62,53,5754,9137,12923,1785,0,222,65,9601,44.5,13.8,1.7,0.5,0,74.3,64,61
"011902","ELGIN ISD","011","BASTROP","13","REGION 13: AUSTIN","D","D","D","D","D","F",61,61,62,59,2723,4456,5701,762,0,278,38,4247,47.8,13.4,4.9,0.7,0,74.5,62,61
"011904","SMITHVILLE ISD","011","BASTROP","13","REGION 13: AUSTIN","D","C","D","D","D","D",71,66,66,65,197,985,1824,326,0,0,0,1356,10.8,17.9,0,0,0,74.3,66,69
"011905","MCDADE ISD","011","BASTROP","13","REGION 13: AUSTIN","D","D","D","D","D","D",69,61,64,63,85,197,357,68,0,0,0,272,23.8,19,0,0,0,76.2,64,67
"012901","SEYMOUR ISD","012","BAYLOR","09","REGION 09: WICHITA FALLS","A","B","B","C","B","A",88,74,89,92,9,377,632,130,0,0,0,450,1.4,20.6,0,0,0,71.2,89,90
"013801","ST MARY'S ACADEMY CHARTER SCHOOL","013","BEE","02","REGION 02: CORPUS CHRISTI","B","C","B","B","B","B",75,88,83,81,10,256,299,47,0,0,0,167,3.3,15.7,0,0,0,55.9,88,86
"013901","BEEVILLE ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","C","D","C","D","C","C",68,62,74,70,74,2565,3071,503,0,58,0,2317,2.4,16.4,1.9,0,0,75.4,74,73
"013902","PAWNEE ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","C","C","B","D","B","F",74,65,82,55,5,519,577,40,0,0,10,81,0.9,6.9,0,1.7,0,14,82,74
"013903","PETTUS ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","B","B","B","B","B","B",84,80,86,88,5,303,392,61,0,0,0,296,1.3,15.6,0,0,0,75.5,86,87
"013905","SKIDMORE-TYNAN ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","B","B","B","B","B","B",81,80,86,84,23,572,793,91,0,0,35,606,2.9,11.5,0,4.4,0,76.4,86,85
