DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"057905","DALLAS ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","C","B","C","B","C",73,70,80,76,70264,121301,139096,16514,0,2347,6353,97523,50.5,11.9,1.7,4.6,0,70.1,80,79
"057906","DESOTO ISD","057","DALLAS","10","REGION 10: RICHARDSON","D","D","D","D","D","D",64,62,66,66,728,4309,5995,684,1249,283,0,4560,12.1,11.4,4.7,0,20.8,76.1,66,66
"057907","DUNCANVILLE ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","F","C","C",71,59,74,72,2985,9365,11746,1331,523,405,299,9230,25.4,11.3,3.4,2.5,4.5,78.6,74,73
"057909","GARLAND ISD","057","DALLAS","10","REGION 10: RICHARDSON","B","C","B","C","B","B",78,74,81,80,21055,36093,51513,6387,0,1703,1621,38747,40.9,12.4,3.3,3.1,0,75.2,81,81
"057910","GRAND PRAIRIE ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",74,66,77,74,9928,19824,26500,2718,886,616,75,19838,37.5,10.3,2.3,0.3,3.3,74.9,77,76
"057911","HIGHLAND PARK ISD","057","DALLAS","10","REGION 10: RICHARDSON","A","A","B","B","B","A",95,83,85,95,73,25,6402,851,0,0,0,4926,1.1,13.3,0,0,0,76.9,85,95
"057912","IRVING ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","D","C","D","C","C",69,67,73,73,17529,26458,31448,3215,2,339,92,22322,55.7,10.2,1.1,0.3,0,71,73,73
"057913","LANCASTER ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","D","C","D","C","C",69,63,72,70,808,6380,7014,717,0,242,0,5122,11.5,10.2,3.5,0,0,73,72,71
"057914","MESQUITE ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","C","C","B",73,72,79,80,13903,32468,38251,6409,0,0,0,29005,36.3,16.8,0,0,0,75.8,79,79
"057916","RICHARDSON ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","C","C","C",78,74,78,77,11900,20582,36992,5547,0,0,1106,26923,32.2,15,0,3,0,72.8,78,78
"057919","SUNNYVALE ISD","057","DALLAS","10","REGION 10: RICHARDSON","A","A","B","B","B","A",92,81,81,93,247,441,2311,346,0,0,0,1792,10.7,15,0,0,0,77.5,81,92
"057922","COPPELL ISD","057","DALLAS","10","REGION 10: RICHARDSON","A","A","B","B","B","A",93,89,82,92,2732,1332,13394,1433,0,0,0,10660,20.4,10.7,0,0,0,79.6,89,93
"058902","DAWSON ISD","058","DAWSON","17","REGION 17: LUBBOCK","C","B","C","F","C","D",81,51,79,69,15,103,132,11,0,0,0,90,11.4,8.3,0,0,0,68.2,79,77
"058905","KLONDIKE ISD","058","DAWSON","17","REGION 17: LUBBOCK","A","A","B","B","B","A",92,83,88,94,14,78,252,21,0,0,0,178,5.6,8.3,0,0,0,70.6,88,93
"058906","LAMESA ISD","058","DAWSON","17","REGION 17: LUBBOCK","C","C","C","F","C","C",73,57,70,71,87,1231,1510,243,0,0,0,1121,5.8,16.1,0,0,0,74.2,70,72
"058909","SANDS CISD","058","DAWSON","17","REGION 17: LUBBOCK","B","B","B","D","B","C",88,62,88,78,29,144,245,34,0,0,0,185,11.8,13.9,0,0,0,75.5,88,85
"059901","HEREFORD ISD","059","DEAF SMITH","16","REGION 16: AMARILLO","D","D","D","D","D","D",66,64,69,68,1142,3156,3930,509,0,0,0,2821,29.1,13,0,0,0,71.8,69,69
"059902","WALCOTT ISD","059","DEAF SMITH","16","REGION 16: AMARILLO","B","B","B","D","B","C",82,68,81,77,11,70,144,30,0,0,0,71,7.6,20.8,0,0,0,49.3,81,81
"060902","COOPER ISD","060","DELTA","08","REGION 08: MT PLEASANT","C","C","C","D","C","D",77,69,77,67,39,576,873,150,0,0,0,606,4.5,17.2,0,0,0,69.4,77,74
"060914","FANNINDEL ISD","060","DELTA","08","REGION 08: MT PLEASANT","D","D","D","F","D","D",67,57,65,66,19,119,139,29,0,0,0,90,13.7,20.9,0,0,0,64.7,65,67
"061802","NORTH TEXAS COLLEGIATE ACADEMY","061","DENTON","11","REGION 11: FORT WORTH","C","D","C","C","D","C",62,71,68,72,299,709,764,62,0,0,0,395,39.1,8.1,0,0,0,51.7,71,71
"061804","LEADERSHIP PREP SCHOOL","061","DENTON","10","REGION 10: RICHARDSON","B","B","C","C","F","B",83,76,58,87,161,15,1379,142,0,0,0,1081,11.7,10.3,0,0,0,78.4,76,84
"061805","TRIVIUM ACADEMY","061","DENTON","11","REGION 11: FORT WORTH","B","B","B","B","D","A",89,82,66,90,76,24,661,82,0,0,0,474,11.5,12.4,0,0,0,71.7,82,89
"061901","DENTON ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","C","C",76,70,71,77,6136,16598,32779,4768,0,0,0,24188,18.7,14.5,0,0,0,73.8,71,76
"061902","LEWISVILLE ISD","061","DENTON","11","REGION 11: FORT WORTH","B","B","C","C","C","B",81,77,74,80,11279,18196,48356,9170,0,0,0,37351,23.3,19,0,0,0,77.2,77,81
"061903","PILOT POINT ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","C","C",78,72,75,78,483,794,1549,249,0,0,0,1149,31.2,16.1,0,0,0,74.2,75,78
"061905","KRUM ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","D","D","D","C",78,66,69,75,406,1005,2483,459,0,0,0,1863,16.4,18.5,0,0,0,75,69,77
"061906","PONDER ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","D","C",75,76,68,78,274,717,1675,247,0,0,0,1305,16.4,14.7,0,0,0,77.9,76,77
"061907","AUBREY ISD","061","DENTON","11","REGION 11: FORT WORTH","B","B","C","C","D","C",82,74,68,79,457,1229,3995,604,0,0,0,2851,11.4,15.1,0,0,0,71.4,74,81
"061908","SANGER ISD","061","DENTON","11","REGION 11: FORT WORTH","C","B","C","C","C","C",80,74,77,78,336,1315,2803,530,0,0,0,2082,12,18.9,0,0,0,74.3,77,79
"061910","ARGYLE ISD","061","DENTON","11","REGION 11: FORT WORTH","A","A","B","B","C","B",91,85,72,89,422,422,5377,596,0,0,0,4077,7.8,11.1,0,0,0,75.8,85,90
"061911","NORTHWEST ISD","061","DENTON","11","REGION 11: FORT WORTH","B","B","C","C","D","B",81,76,69,81,3396,8410,30629,4736,0,257,0,22928,11.1,15.5,0.8,0,0,74.9,76,81
"061912","LAKE DALLAS ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","D","D",74,74,67,69,544,1632,3802,511,0,0,0,2963,14.3,13.4,0,0,0,77.9,74,73
"061914","LITTLE ELM ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","C","C",75,73,72,73,1838,4032,8146,1065,0,0,0,6164,22.6,13.1,0,0,0,75.7,73,74
"062901","CUERO ISD","062","DEWITT","03","REGION 03: VICTORIA","B","B","B","D","B","C",81,65,81,76,83,1118,1888,347,0,0,0,1485,4.4,18.4,0,0,0,78.7,81,80
"062902","NORDHEIM ISD","062","DEWITT","03","REGION 03: VICTORIA","C","C","C","C","C","C",77,74,77,71,0,77,126,10,0,0,0,97,0,7.9,0,0,0,77,77,75
"062903","YOAKUM ISD","062","DEWITT","03","REGION 03: VICTORIA","B","B","B","C","B","B",81,74,85,81,308,1111,1490,293,0,0,0,1064,20.7,19.7,0,0,0,71.4,85,84
"062904","YORKTOWN ISD","062","DEWITT","03","REGION 03: VICTORIA","C","C","C","C","C","B",78,72,77,81,12,311,540,66,0,0,0,404,2.2,12.2,0,0,0,74.8,77,79
"062905","WESTHOFF ISD","062","DEWITT","03","REGION 03: VICTORIA","A","A","A","B","A","B",93,83,92,86,4,46,88,4,0,0,0,52,4.5,4.5,0,0,0,59.1,92,91
"062906","MEYERSVILLE ISD","062","DEWITT","03","REGION 03: VICTORIA","B","A","A","A","B","B",91,90,81,83,0,48,155,15,0,0,0,81,0,9.7,0,0,0,52.3,90,89
"063903","SPUR ISD","063","DICKENS","17","REGION 17: LUBBOCK","C","C","C","D","C","C",78,64,73,74,2,104,203,37,0,0,0,140,1,18.2,0,0,0,69,73,77
"063906","PATTON SPRINGS ISD","063","DICKENS","17","REGION 17: LUBBOCK","A","B","A","C","A","A",88,79,90,93,0,57,76,12,0,0,0,59,0,15.8,0,0,0,77.6,90,91
"064903","CARRIZO SPRINGS CISD","064","DIMMIT","20","REGION 20: SAN ANTONIO","D","D","C","D","C","D",68,63,73,66,105,1567,1895,216,0,0,0,1448,5.5,11.4,0,0,0,76.4,73,69
"065901","CLARENDON ISD","065","DONLEY","16","REGION 16: AMARILLO","B","B","B","C","B","B",84,78,84,81,3,220,417,74,0,0,0,293,0.7,17.7,0,0,0,70.3,84,83
"065902","HEDLEY ISD","065","DONLEY","16","REGION 16: AMARILLO","B","B","B","C","B","A",85,70,88,92,4,80,101,33,0,0,0,76,4,32.7,0,0,0,75.2,88,89
"066005","RAMIREZ CSD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","A","B","A","B","A","Not Rated",82,85,90,,1,20,22,3,0,0,0,8,4.5,13.6,0,0,0,36.4,90,90
"066901","BENAVIDES ISD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","C","D","C","D","C","C",69,65,70,76,37,326,424,39,0,0,25,184,8.7,9.2,0,5.9,0,43.4,70,72
"066902","SAN DIEGO ISD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","B","C","B","C","B","C",76,77,84,78,14,1324,1511,238,0,454,0,1105,0.9,15.8,30,0,0,73.1,84,82
"066903","FREER ISD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","C","C","C","D","C","C",72,66,77,75,31,608,706,116,0,29,0,495,4.4,16.4,4.1,0,0,70.1,77,76
"067902","CISCO ISD","067","EASTLAND","14","REGION 14: ABILENE","B","B","B","C","B","B",84,77,83,81,23,449,821,131,0,0,0,602,2.8,16,0,0,0,73.3,83,83
"067903","EASTLAND ISD","067","EASTLAND","14","REGION 14: ABILENE","B","B","B","C","B","C",82,74,84,79,76,660,1063,158,0,0,0,758,7.1,14.9,0,0,0,71.3,84,83
"067904","GORMAN ISD","067","EASTLAND","14","REGION 14: ABILENE","C","C","C","D","C","D",71,67,74,65,15,187,247,57,0,0,0,195,6.1,23.1,0,0,0,78.9,74,71
"067907","RANGER ISD","067","EASTLAND","14","REGION 14: ABILENE","F","F","F","F","F","F",57,55,59,44,6,229,294,83,0,0,0,213,2,28.2,0,0,0,72.4,59,55
"067908","RISING STAR ISD","067","EASTLAND","14","REGION 14: ABILENE","D","D","D","F","D","D",68,54,65,60,6,137,193,41,0,0,0,132,3.1,21.2,0,0,0,68.4,65,66
"068802","COMPASS ACADEMY CHARTER SCHOOL","068","ECTOR","18","REGION 18: MIDLAND","C","C","D","D","F","C",75,67,52,70,9,67,1448,144,0,0,0,1088,0.6,9.9,0,0,0,75.1,67,74
"068901","ECTOR COUNTY ISD","068","ECTOR","18","REGION 18: MIDLAND","D","D","C","D","C","D",69,65,73,68,8916,24132,33401,3467,0,460,395,24040,26.7,10.4,1.4,1.2,0,72,73,69
"069901","ROCKSPRINGS ISD","069","EDWARDS","15","REGION 15: SAN ANGELO","C","C","D","D","D","D",72,60,69,65,15,142,209,30,0,0,0,149,7.2,14.4,0,0,0,71.3,69,70
"069902","NUECES CANYON CISD","069","EDWARDS","15","REGION 15: SAN ANGELO","D","C","C","D","C","D",70,63,71,61,3,182,237,36,0,0,0,185,1.3,15.2,0,0,0,78.1,71,68
"070801","FAITH FAMILY ACADEMY","070","ELLIS","10","REGION 10: RICHARDSON","F","D","F","F","F","F",60,54,56,55,1665,2862,2881,317,0,0,0,2042,57.8,11,0,0,0,70.9,56,59
"070901","AVALON ISD","070","ELLIS","10","REGION 10: RICHARDSON","D","D","F","F","F","F",66,58,57,53,22,177,349,72,0,0,0,244,6.3,20.6,0,0,0,69.9,58,62
"070903","ENNIS ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",75,62,78,72,1258,4775,6447,889,0,0,0,4545,19.5,13.8,0,0,0,70.5,78,76
"070905","FERRIS ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","B","C","B","C",75,72,80,78,1069,2313,2873,440,0,0,69,2104,37.2,15.3,0,2.4,0,73.2,80,79
"070907","ITALY ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","C","B","D","B","C",79,69,83,79,69,428,627,138,0,0,0,479,11,22,0,0,0,76.4,83,82
"070908","MIDLOTHIAN ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","B","B","B","C","B",85,80,75,84,621,3580,11062,1619,0,0,0,8600,5.6,14.6,0,0,0,77.7,80,85
"070909","MILFORD ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","B","C","F","C","D",80,54,75,65,58,185,261,38,0,0,0,188,22.2,14.6,0,0,0,72,75,76
"070910","PALMER ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","B","B","C","B","B",85,79,85,84,207,732,1331,298,0,0,0,1003,15.6,22.4,0,0,0,75.4,85,85
"070911","RED OAK ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","C","C","C","C",71,75,73,77,994,4139,6582,1020,0,0,0,5121,15.1,15.5,0,0,0,77.8,75,76
"070912","WAXAHACHIE ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",76,69,73,77,1079,5631,10982,1832,0,356,0,8381,9.8,16.7,3.2,0,0,76.3,73,76
"070915","MAYPEARL ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","D","D","D","D",73,66,63,67,104,486,1220,185,0,0,0,937,8.5,15.2,0,0,0,76.8,66,71
"071801","BURNHAM WOOD CHARTER SCHOOL DISTRICT","071","EL PASO","19","REGION 19: EL PASO","B","B","B","D","B","B",80,67,80,87,976,1104,1659,68,964,0,0,1239,58.8,4.1,0,0,58.1,74.7,80,82
"071803","TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO","071","EL PASO","19","REGION 19: EL PASO","A","A","A","A","A","A",92,94,94,91,95,220,237,21,0,0,0,237,40.1,8.9,0,0,0,100,94,93
"071804","EL PASO ACADEMY","071","EL PASO","19","REGION 19: EL PASO","A","B","A","B","A","B",80,87,95,85,84,193,381,44,0,0,0,381,22,11.5,0,0,0,100,95,92
"071806","HARMONY PUBLIC SCHOOLS - WEST TEXAS","071","EL PASO","19","REGION 19: EL PASO","A","B","A","C","A","A",86,77,90,92,1722,4030,5297,474,0,0,0,3827,32.5,8.9,0,0,0,72.2,90,91
"071807","LA FE PREPARATORY SCHOOL","071","EL PASO","19","REGION 19: EL PASO","F","F","F","F","F","D",56,57,58,61,170,162,193,15,0,0,0,76,88.1,7.8,0,0,0,39.4,58,59
"071809","VISTA DEL FUTURO CHARTER SCHOOL","071","EL PASO","19","REGION 19: EL PASO","C","C","C","C","D","C",74,71,69,77,128,168,338,22,0,0,0,188,37.9,6.5,0,0,0,55.6,71,75
"071810","EL PASO LEADERSHIP ACADEMY","071","EL PASO","19","REGION 19: EL PASO","F","F","D","F","D","F",57,57,63,57,602,739,795,35,0,0,0,795,75.7,4.4,0,0,0,100,63,59
"071901","CLINT ISD","071","EL PASO","19","REGION 19: EL PASO","B","C","B","C","B","B",74,78,81,81,4507,8796,10239,1538,118,229,105,7889,44,15,2.2,1,1.2,77,81,81
"071902","EL PASO ISD","071","EL PASO","19","REGION 19: EL PASO","C","C","C","D","C","C",73,68,78,74,18597,36868,49050,6186,476,762,936,36728,37.9,12.6,1.6,1.9,1,74.9,78,77
"071903","FABENS ISD","071","EL PASO","19","REGION 19: EL PASO","C","D","C","C","C","C",68,73,75,72,1034,1726,1892,297,0,177,43,1436,54.7,15.7,9.4,2.3,0,75.9,75,74
"071904","SAN ELIZARIO ISD","071","EL PASO","19","REGION 19: EL PASO","D","D","D","D","D","D",62,62,69,60,1900,2790,3009,480,0,169,0,2235,63.1,16,5.6,0,0,74.3,69,66
"071905","YSLETA ISD","071","EL PASO","19","REGION 19: EL PASO","B","B","B","C","B","B",80,78,87,84,11637,27236,34875,5687,0,996,61,26624,33.4,16.3,2.9,0.2,0,76.3,87,86
"071906","ANTHONY ISD","071","EL PASO","19","REGION 19: EL PASO","C","C","C","C","C","B",71,73,76,84,235,599,752,117,0,0,0,586,31.3,15.6,0,0,0,77.9,76,78
"071907","CANUTILLO ISD","071","EL PASO","19","REGION 19: EL PASO","B","C","B","C","B","C",78,70,81,77,2018,3862,5883,688,0,364,0,4494,34.3,11.7,6.2,0,0,76.4,81,80
"071908","TORNILLO ISD","071","EL PASO","19","REGION 19: EL PASO","C","D","C","C","C","C",68,74,75,73,495,705,761,93,0,82,0,590,65,12.2,10.8,0,0,77.5,75,74
"071909","SOCORRO ISD","071","EL PASO","19","REGION 19: EL PASO","B","C","B","C","B","C",78,77,84,79,13478,34771,47204,6303,364,3175,198,35647,28.6,13.4,6.7,0.4,0.8,75.5,84,83
"072801","PREMIER HIGH SCHOOLS","072","ERATH","11","REGION 11: FORT WORTH","B","B","B","C","B","B",88,76,85,81,1004,5021,7819,1022,0,0,25,7775,12.8,13.1,0,0.3,0,99.4,85,86
"072802","ERATH EXCELS ACADEMY INC","072","ERATH","11","REGION 11: FORT WORTH","A","B","A","A","Not Rated","Not Rated",88,94,,,4,95,113,15,0,0,0,113,3.5,13.3,0,0,0,100,94,94
"072901","THREE WAY ISD","072","ERATH","11","REGION 11: FORT WORTH","D","D","D","D","F","D",60,68,57,65,28,132,205,21,0,0,0,140,13.7,10.2,0,0,0,68.3,68,67
"072902","DUBLIN ISD","072","ERATH","11","REGION 11: FORT WORTH","B","B","B","C","B","B",84,76,86,89,270,832,1145,120,0,0,0,808,23.6,10.5,0,0,0,70.6,86,87
"072903","STEPHENVILLE ISD","072","ERATH","11","REGION 11: FORT WORTH","B","B","B","C","B","B",85,76,84,82,572,1869,3663,627,0,0,0,2748,15.6,17.1,0,0,0,75,84,84
"072904","BLUFF DALE ISD","072","ERATH","11","REGION 11: FORT WORTH","C","C","D","D","D","C",73,69,60,74,0,60,221,28,0,0,0,163,0,12.7,0,0,0,73.8,69,73
"072908","HUCKABAY ISD","072","ERATH","11","REGION 11: FORT WORTH","B","B","C","C","C","B",88,72,75,89,6,63,328,29,0,0,0,232,1.8,8.8,0,0,0,70.7,75,88
"072909","LINGLEVILLE ISD","072","ERATH","11","REGION 11: FORT WORTH","C","C","C","D","C","B",77,65,71,80,62,134,274,35,0,0,0,202,22.6,12.8,0,0,0,73.7,71,78
"072910","MORGAN MILL ISD","072","ERATH","11","REGION 11: FORT WORTH","D","D","D","D","F","D",65,66,54,66,9,50,122,19,0,0,0,66,7.4,15.6,0,0,0,54.1,66,66
"073901","CHILTON ISD","073","FALLS","12","REGION 12: WACO","B","B","B","C","B","B",89,74,89,88,126,525,572,67,0,0,0,393,22,11.7,0,0,0,68.7,89,89
"073903","MARLIN ISD","073","FALLS","12","REGION 12: WACO","C","C","C","D","C","C",73,60,71,72,160,885,903,112,0,0,0,642,17.7,12.4,0,0,0,71.1,71,73
"073904","WESTPHALIA ISD","073","FALLS","12","REGION 12: WACO","A","A","A","A","C","A",92,93,75,93,3,23,156,19,0,0,0,99,1.9,12.2,0,0,0,63.5,93,93
"073905","ROSEBUD-LOTT ISD","073","FALLS","12","REGION 12: WACO","B","B","B","C","B","B",81,79,86,83,54,483,752,118,0,0,65,548,7.2,15.7,0,8.6,0,72.9,86,85
"074903","BONHAM ISD","074","FANNIN","10","REGION 10: RICHARDSON","C","C","C","C","C","C",76,72,77,77,346,1353,1973,387,0,0,0,1370,17.5,19.6,0,0,0,69.4,77,77
"074904","DODD CITY ISD","074","FANNIN","10","REGION 10: RICHARDSON","B","B","C","C","C","A",80,72,74,92,6,127,320,50,0,0,0,236,1.9,15.6,0,0,0,73.8,74,84
"074905","ECTOR ISD","074","FANNIN","10","REGION 10: RICHARDSON","C","C","D","D","D","D",73,61,66,68,10,142,251,60,0,0,0,184,4,23.9,0,0,0,73.3,66,72
"074907","HONEY GROVE ISD","074","FANNIN","08","REGION 08: MT PLEASANT","C","B","B","C","B","C",81,71,81,70,58,369,618,108,0,0,0,485,9.4,17.5,0,0,0,78.5,81,78
"074909","LEONARD ISD","074","FANNIN","10","REGION 10: RICHARDSON","C","C","C","D","C","C",78,65,79,73,55,502,812,139,0,0,0,642,6.8,17.1,0,0,0,79.1,79,77
"074911","SAVOY ISD","074","FANNIN","10","REGION 10: RICHARDSON","B","B","B","D","B","B",85,68,83,83,16,170,301,51,0,0,0,210,5.3,16.9,0,0,0,69.8,83,84
"074912","TRENTON ISD","074","FANNIN","10","REGION 10: RICHARDSON","B","B","B","B","C","C",80,80,71,79,90,306,698,114,0,0,0,519,12.9,16.3,0,0,0,74.4,80,80
"074917","SAM RAYBURN ISD","074","FANNIN","10","REGION 10: RICHARDSON","A","A","B","C","B","A",90,77,89,90,27,237,482,83,0,0,0,351,5.6,17.2,0,0,0,72.8,89,90
"075901","FLATONIA ISD","075","FAYETTE","13","REGION 13: AUSTIN","A","A","B","B","B","A",92,82,89,92,59,330,658,100,0,0,0,475,9,15.2,0,0,0,72.2,89,92
"075902","LA GRANGE ISD","075","FAYETTE","13","REGION 13: AUSTIN","C","C","C","D","C","D",76,67,77,65,347,1101,1920,353,0,0,0,1464,18.1,18.4,0,0,0,76.3,77,73
"075903","SCHULENBURG ISD","075","FAYETTE","13","REGION 13: AUSTIN","D","D","C","D","C","D",69,62,70,67,101,415,660,123,0,0,0,525,15.3,18.6,0,0,0,79.5,70,69
"075906","FAYETTEVILLE ISD","075","FAYETTE","13","REGION 13: AUSTIN","A","A","A","B","A","A",96,85,91,96,17,86,289,39,0,0,0,220,5.9,13.5,0,0,0,76.1,91,96
"075908","ROUND TOP-CARMINE ISD","075","FAYETTE","13","REGION 13: AUSTIN","B","B","B","B","B","A",88,84,85,91,27,97,239,27,0,0,0,185,11.3,11.3,0,0,0,77.4,85,89
"076903","ROBY CISD","076","FISHER","14","REGION 14: ABILENE","B","B","B","D","B","B",84,69,81,86,6,157,306,53,0,0,0,227,2,17.3,0,0,0,74.2,81,85
"076904","ROTAN ISD","076","FISHER","14","REGION 14: ABILENE","B","B","C","F","C","C",81,56,79,76,9,190,270,41,0,0,66,201,3.3,15.2,0,24.4,0,74.4,79,80
"077901","FLOYDADA COLLEGIATE ISD","077","FLOYD","17","REGION 17: LUBBOCK","B","C","B","C","B","B",79,70,83,83,55,521,681,72,0,0,58,502,8.1,10.6,0,8.5,0,73.7,83,83
"077902","LOCKNEY ISD","077","FLOYD","17","REGION 17: LUBBOCK","D","D","D","F","D","D",68,57,68,64,19,316,404,40,0,0,11,295,4.7,9.9,0,2.7,0,73,68,67
"078901","CROWELL ISD","078","FOARD","09","REGION 09: WICHITA FALLS","B","B","B","C","B","B",87,74,85,81,2,121,196,37,0,0,0,132,1,18.9,0,0,0,67.3,85,85
"079901","LAMAR CISD","079","FORT BEND","04","REGION 04: HOUSTON","B","B","B","B","B","B",84,81,83,87,9635,20897,44395,6341,0,0,0,32849,21.7,14.3,0,0,0,74,83,85
"079906","NEEDVILLE ISD","079","FORT BEND","04","REGION 04: HOUSTON","B","B","B","C","B","B",89,75,87,86,410,1676,3595,520,0,0,0,2762,11.4,14.5,0,0,0,76.8,87,88
"079907","FORT BEND ISD","079","FORT BEND","04","REGION 04: HOUSTON","C","C","C","C","C","C",79,77,78,78,17404,39671,80034,11128,0,310,393,62158,21.7,13.9,0.4,0.5,0,77.7,78,79
"079910","STAFFORD MSD","079","FORT BEND","04","REGION 04: HOUSTON","B","C","B","C","B","B",76,77,81,81,926,2642,3476,313,0,404,0,2648,26.6,9,11.6,0,0,76.2,81,81
"080901","MOUNT VERNON ISD","080","FRANKLIN","08","REGION 08: MT PLEASANT","B","B","B","B","B","B",84,85,88,87,235,997,1558,238,0,0,0,1173,15.1,15.3,0,0,0,75.3,88,88
"081902","FAIRFIELD ISD","081","FREESTONE","12","REGION 12: WACO","B","B","B","C","B","B",80,71,80,80,125,989,1657,200,0,0,0,1287,7.5,12.1,0,0,0,77.7,80,80
"081904","TEAGUE ISD","081","FREESTONE","12","REGION 12: WACO","B","B","B","C","B","B",85,72,86,82,144,817,1250,197,0,0,0,927,11.5,15.8,0,0,0,74.2,86,85
"081905","WORTHAM ISD","081","FREESTONE","12","REGION 12: WACO","C","C","C","D","C","C",73,69,71,71,46,336,536,65,0,0,0,401,8.6,12.1,0,0,0,74.8,71,72
"081906","DEW ISD","081","FREESTONE","12","REGION 12: WACO","C","C","B","D","B","C",78,66,81,73,7,107,181,18,0,0,0,91,3.9,9.9,0,0,0,50.3,81,79
"082902","DILLEY ISD","082","FRIO","20","REGION 20: SAN ANTONIO","D","D","D","F","D","D",63,59,63,67,42,685,867,153,0,130,0,616,4.8,17.6,15,0,0,71,63,64
"082903","PEARSALL ISD","082","FRIO","20","REGION 20: SAN ANTONIO","D","D","D","D","D","D",60,63,62,60,140,1729,2015,299,0,0,0,1489,6.9,14.8,0,0,0,73.9,63,62
"083901","SEAGRAVES ISD","083","GAINES","17","REGION 17: LUBBOCK","C","C","C","F","C","C",78,58,76,70,130,426,510,74,0,0,0,367,25.5,14.5,0,0,0,72,76,76
"083902","LOOP ISD","083","GAINES","17","REGION 17: LUBBOCK","A","A","B","D","B","A",90,60,88,92,14,83,143,12,0,0,0,109,9.8,8.4,0,0,0,76.2,88,91
"083903","SEMINOLE ISD","083","GAINES","17","REGION 17: LUBBOCK","B","B","B","D","B","B",81,69,82,80,591,1784,2975,445,0,0,0,2187,19.9,15,0,0,0,73.5,82,81
"084802","ODYSSEY ACADEMY INC","084","GALVESTON","04","REGION 04: HOUSTON","C","C","C","F","C","D",72,56,70,69,352,1290,1547,194,0,0,0,903,22.8,12.5,0,0,0,58.4,70,71
"084804","AMBASSADORS PREPARATORY ACADEMY","084","GALVESTON","04","REGION 04: HOUSTON","A","C","A","A","B","B",78,91,87,88,0,142,162,7,0,0,0,90,0,4.3,0,0,0,55.6,91,90
"084901","DICKINSON ISD","084","GALVESTON","04","REGION 04: HOUSTON","C","C","C","C","C","C",75,71,78,77,2536,8350,12544,2061,0,0,0,9456,20.2,16.4,0,0,0,75.4,78,78
"084902","GALVESTON ISD","084","GALVESTON","04","REGION 04: HOUSTON","D","D","C","D","C","D",65,64,71,60,1708,5258,6444,829,0,0,0,4678,26.5,12.9,0,0,0,72.6,71,68
"084903","HIGH ISLAND ISD","084","GALVESTON","05","REGION 05: BEAUMONT","C","B","C","F","C","C",81,58,79,75,0,95,159,21,0,9,0,137,0,13.2,5.7,0,0,86.2,79,79
"084906","TEXAS CITY ISD","084","GALVESTON","04","REGION 04: HOUSTON","D","D","C","D","C","D",67,63,72,65,1088,6476,7822,1624,0,90,0,5971,13.9,20.8,1.2,0,0,76.3,72,69
"084908","HITCHCOCK ISD","084","GALVESTON","04","REGION 04: HOUSTON","D","D","D","D","D","C",69,60,69,71,152,1566,1891,290,0,0,0,1271,8,15.3,0,0,0,67.2,69,69
"084909","SANTA FE ISD","084","GALVESTON","04","REGION 04: HOUSTON","B","B","C","C","C","C",81,71,77,77,325,2300,4363,649,0,0,0,3363,7.4,14.9,0,0,0,77.1,77,80
"084910","CLEAR CREEK ISD","084","GALVESTON","04","REGION 04: HOUSTON","B","B","B","B","C","B",84,80,77,84,5568,14941,39960,6083,0,441,0,31002,13.9,15.2,1.1,0,0,77.6,80,84
