DISTRICT,CAMPNAME,COUNTY,CAMPUS,CAMPNAME_CLEAN,GRDTYPE,GRDSPAN,CFLCHART
54903,RECOVERY EDUCATION CAMPUS,54,54903002,Recovery Education Campus,S,10 - 12,N
54903,RALLS MIDDLE,54,54903041,Ralls Middle School,M,06 - 08,N
54903,RALLS EL,54,54903102,Ralls Elementary School,E,PK - 05,N
55901,VAN HORN SCHOOL,55,55901001,Van Horn School,B,PK - 12,N
56901,DALHART H S,56,56901001,Dalhart High School,S,09 - 12,N
56901,DALHART J H,56,56901042,Dalhart Junior High,M,06 - 08,N
56901,DALHART EL,56,56901104,Dalhart Elementary School,E,EE - 02,N
56901,DALHART INT,56,56901105,Dalhart Intermediate School,E,03 - 05,N
56902,TEXLINE SCHOOL,56,56902001,Texline School,B,PK - 12,N
57802,PEGASUS CHARTER H S,57,57802001,Pegasus Charter High School,B,KG - 12,Y
57803,UPLIFT EDUCATION-NORTH HILLS PREP,57,57803002,Uplift Education-North Hills Prep,S,09 - 12,Y
57803,UPLIFT EDUCATION - UPLIFT GRAND PR,57,57803003,Uplift Education - Uplift Grand Primary School,E,PK - 05,Y
57803,UPLIFT WILLIAMS PREPARATORY H S,57,57803004,Uplift Williams Preparatory High School,S,09 - 12,Y
57803,UPLIFT LUNA PREPARATORY H S,57,57803005,Uplift Luna Preparatory High School,S,09 - 12,Y
57803,UPLIFT HEIGHTS PREPARATORY H S,57,57803006,Uplift Heights Preparatory High School,S,09 - 12,Y
57803,UPLIFT HAMPTON PREPARATORY H S,57,57803007,Uplift Hampton Preparatory High School,S,09 - 12,Y
57803,UPLIFT MIGHTY SCHOOL,57,57803008,Uplift Mighty School,E,KG - 05,Y
57803,UPLIFT SUMMIT INTERNATIONAL H S,57,57803009,Uplift Summit International High School,S,09 - 12,Y
57803,UPLIFT PEAK PREPARATORY H S,57,57803010,Uplift Peak Preparatory High School,S,09 - 12,Y
57803,UPLIFT GRAND SECONDARY,57,57803011,Uplift Grand Secondary,M,06 - 08,Y
57803,UPLIFT LUNA SECONDARY SCHOOL,57,57803012,Uplift Luna Secondary School,M,06 - 08,Y
57803,UPLIFT INFINITY H S,57,57803013,Uplift Infinity High School,S,09 - 12,Y
57803,UPLIFT MIGHTY H S,57,57803014,Uplift Mighty High School,S,09 - 12,Y
57803,UPLIFT WISDOM SECONDARY,57,57803015,Uplift Wisdom Secondary,E,KG - 08,Y
57803,UPLIFT GRAND H S,57,57803016,Uplift Grand High School,S,09 - 11,Y
57803,UPLIFT ASCEND,57,57803017,Uplift Ascend,E,KG - 06,Y
57803,UPLIFT EDUCATION-NORTH HILLS PREP,57,57803041,Uplift Education-North Hills Prep,M,06 - 08,Y
57803,UPLIFT EDUCATION - INFINITY PREPAR,57,57803043,Uplift Education - Infinity Prepar,M,06 - 08,Y
57803,UPLIFT HAMPTON PREPARATORY MIDDLE,57,57803044,Uplift Hampton Preparatory Middle School,M,06 - 08,Y
57803,UPLIFT WILLIAMS PREPARATORY MIDDLE,57,57803045,Uplift Williams Preparatory Middle School,M,06 - 08,Y
57803,UPLIFT HEIGHTS PREPARATORY MIDDLE,57,57803046,Uplift Heights Preparatory Middle School,M,06 - 08,Y
57803,UPLIFT SUMMIT INTERNATIONAL MIDDLE,57,57803047,Uplift Summit International Middle School,M,06 - 08,Y
57803,UPLIFT PEAK PREPARATORY MIDDLE,57,57803048,Uplift Peak Preparatory Middle School,M,06 - 08,Y
57803,UPLIFT MIGHTY MIDDLE,57,57803049,Uplift Mighty Middle School,M,06 - 08,Y
57803,UPLIFT EDUCATIION-NORTH HILLS PREP,57,57803101,Uplift Educatiion-North Hills Prep,E,KG - 05,Y
57803,UPLIFT EDUCATION - INFINITY PREPAR,57,57803102,Uplift Education - Infinity Prepar,E,PK - 05,Y
57803,UPLIFT GRADUS PREPARATORY,57,57803103,Uplift Gradus Preparatory,E,PK - 05,Y
57803,UPLIFT HEIGHTS PREPARATORY PRI,57,57803104,Uplift Heights Preparatory Primary School,E,PK - 05,Y
57803,UPLIFT PINNACLE PREPARATORY PRI,57,57803105,Uplift Pinnacle Preparatory Primary School,E,KG - 05,Y
57803,UPLIFT TRIUMPH PREPARATORY SCHOOL,57,57803106,Uplift Triumph Preparatory School,E,PK - 05,Y
57803,UPLIFT LUNA PREPARATORY PRI,57,57803107,Uplift Luna Preparatory Primary School,E,PK - 05,Y
57803,UPLIFT MERIDIAN SCHOOL,57,57803108,Uplift Meridian School,E,PK - 05,Y
57803,UPLIFT SUMMIT INTERNATIONAL PRI,57,57803109,Uplift Summit International Primary School,E,KG - 05,Y
57803,UPLIFT PEAK PREPARATORY PRI,57,57803110,Uplift Peak Preparatory Primary School,E,KG - 05,Y
57803,UPLIFT HAMPTON PREPARATORY PRI,57,57803111,Uplift Hampton Preparatory Primary School,E,KG - 05,Y
57803,UPLIFT WILLIAMS PREPARATORY PRI,57,57803112,Uplift Williams Preparatory Primary School,E,KG - 05,Y
57803,UPLIFT PEAK PRE-K,57,57803113,Uplift Peak Pre-K,E,PK - PK,Y
57803,UPLIFT WHITE ROCK HILLS PREP,57,57803114,Uplift White Rock Hills Prep,E,PK - 03,Y
57804,DALLAS CAN ACADEMY CHARTER,57,57804001,Dallas Can Academy Charter,B,KG - 12,Y
57804,DALLAS CAN ACADEMY CHARTER-OAK CLI,57,57804002,Dallas Can Academy Charter-Oak Cli,S,09 - 12,Y
57804,DALLAS CAN ACADEMY AT CARROLLTON-F,57,57804003,Dallas Can Academy At Carrollton-F,S,09 - 12,Y
57804,DALLAS CAN ACADEMY AT PLEASANT GRO,57,57804004,Dallas Can Academy At Pleasant Gro,S,09 - 12,Y
57804,DALLAS CAN ACADEMY - GRANT EAST,57,57804005,Dallas Can Academy - Grant East,S,09 - 12,Y
57804,AUSTIN CAN ACADEMY,57,57804006,Austin Can Academy,S,09 - 12,Y
57804,FORT WORTH CAN ACADEMY WESTCREEK,57,57804007,Fort Worth Can Academy Westcreek,S,09 - 12,Y
57804,FORT WORTH CAN ACADEMY LANCASTER A,57,57804008,Fort Worth Can Academy Lancaster A,S,09 - 12,Y
57804,HOUSTON CAN ACADEMY - NORTH,57,57804009,Houston Can Academy - North,S,09 - 12,Y
57804,HOUSTON CAN ACADEMY - HOBBY,57,57804010,Houston Can Academy - Hobby,S,09 - 12,Y
57804,SAN ANTONIO CAN ACADEMY,57,57804011,San Antonio Can Academy,S,09 - 12,Y
57804,HOUSTON CAN ACADEMY - SOUTHWEST,57,57804012,Houston Can Academy - Southwest,S,09 - 12,Y
57804,GARLAND CAN ACADEMY,57,57804013,Garland Can Academy,S,09 - 12,Y
57805,LUMIN LINDSLEY PARK COMMUNITY SCHO,57,57805101,Lumin Lindsley Park Community Scho,E,PK - 03,Y
57806,ADVANTAGE ACADEMY,57,57806101,Advantage Academy,B,PK - 12,Y
57807,LIFE SCHOOL OAK CLIFF,57,57807001,Life School Oak Cliff,B,KG - 12,Y
57807,LIFE H S WAXAHACHIE,57,57807002,Life H S Waxahachie,S,09 - 12,Y
57807,LIFE MIDDLE WAXAHACHIE,57,57807041,Life Middle Waxahachie,M,07 - 08,Y
57807,LIFE SCHOOL RED OAK,57,57807101,Life School Red Oak,E,KG - 06,Y
57807,LIFE SCHOOL LANCASTER,57,57807102,Life School Lancaster,E,KG - 06,Y
57807,LIFE SCHOOL CEDAR HILL,57,57807104,Life School Cedar Hill,E,KG - 06,Y
57807,LIFE SCHOOL MOUNTAIN CREEK,57,57807105,Life School Mountain Creek,E,KG - 06,Y
57808,UNIVERSAL ACADEMY,57,57808101,Universal Academy,B,PK - 12,Y
57808,UNIVERSAL ACADEMY - COPPELL,57,57808102,Universal Academy - Coppell,B,KG - 12,Y
57809,NOVA ACADEMY,57,57809101,Nova Academy,E,PK - 04,Y
57810,ACADEMY OF DALLAS,57,57810101,Academy Of Dallas,E,PK - 08,Y
57813,TRINITY BASIN PREPARATORY,57,57813101,Trinity Basin Preparatory,E,PK - 08,Y
57813,TRINITY BASIN PREPARATORY,57,57813104,Trinity Basin Preparatory,E,PK - 08,Y
57814,DALLAS COUNTY JUVENILE JUSTICE,57,57814001,Dallas County Juvenile Justice,B,04 - 12,Y
57814,DRC CAMPUS,57,57814002,Drc Campus,S,07 - 11,Y
57814,MEDLOCK YOUTH VILLAGE,57,57814003,Medlock Youth Village,B,06 - 11,Y
57814,SAU CAMPUS,57,57814004,Sau Campus,S,07 - 12,Y
57814,LETOT CAMPUS,57,57814005,Letot Campus,B,05 - 11,Y
57816,AW BROWN-F L A INT CAMPUS,57,57816101,Aw Brown-F L A Int Campus,E,PK - 08,Y
57816,A W BROWN - F L A EARLY CHILDHOOD,57,57816102,A W Brown - F L A Early Childhood,E,PK - 05,Y
57819,JEAN MASSIEU ACADEMY,57,57819001,Jean Massieu Academy,B,PK - 12,Y
57827,NOVA ACADEMY CEDAR HILL,57,57827101,Nova Academy Cedar Hill,E,PK - 06,Y
57827,NOVA ACADEMY PRICHARD,57,57827102,Nova Academy Prichard,E,PK - 08,Y
57828,WINFREE ACADEMY CHARTER SCHOOL (IR,57,57828001,Winfree Academy Charter School (Ir,S,09 - 12,Y
57828,WINFREE ACADEMY CHARTER SCHOOL (LE,57,57828002,Winfree Academy Charter School (Le,S,09 - 12,Y
57828,WINFREE ACADEMY CHARTER SCHOOL (RI,57,57828003,Winfree Academy Charter School (Ri,S,09 - 12,Y
57828,WINFREE ACADEMY CHARTER SCHOOL - G,57,57828004,Winfree Academy Charter School - G,S,09 - 12,Y
57828,WINFREE ACADEMY NORTH RICHLAND HIL,57,57828005,Winfree Academy North Richland Hil,S,09 - 12,Y
57828,WINFREE ACADEMY CHARTER SCHOOL DAL,57,57828006,Winfree Academy Charter School Dal,S,09 - 12,Y
57829,A+ ACADEMY EL,57,57829001,A+ Academy Elementary School,E,PK - 06,Y
57829,A+ SECONDARY SCHOOL,57,57829002,A+ Secondary School,S,07 - 12,Y
57830,INSPIRED VISION ACADEMY EL,57,57830001,Inspired Vision Academy Elementary School,E,PK - 06,Y
57830,INSPIRED VISION ACADEMY SECONDARY,57,57830002,Inspired Vision Academy Secondary,S,07 - 12,Y
57831,GATEWAY CHARTER ACADEMY,57,57831001,Gateway Charter Academy,E,PK - 05,Y
57831,GATEWAY CHARTER ACADEMY - MIDDLE -,57,57831002,Gateway Charter Academy - Middle -,B,06 - 12,Y
57833,EDUCATION CENTER INTERNATIONAL ACA,57,57833001,Education Center International Aca,E,KG - 08,Y
57833,EDUCATION CENTER INTERNATIONAL ACA,57,57833002,Education Center International Aca,E,PK - 08,Y
57833,EDUCATION CENTER INTERNATIONAL ACA,57,57833003,Education Center International Aca,E,KG - 08,Y
57834,EVOLUTION ACADEMY CHARTER SCHOOL,57,57834001,Evolution Academy Charter School,S,09 - 12,Y
57834,EVOLUTION ACADEMY BEAUMONT,57,57834003,Evolution Academy Beaumont,S,09 - 12,Y
57834,EVOLUTION ACADEMY HOUSTON,57,57834004,Evolution Academy Houston,S,09 - 12,Y
57835,GOLDEN RULE CHARTER SCHOOL,57,57835001,Golden Rule Charter School,B,PK - 09,Y
57835,GOLDEN RULE,57,57835101,Golden Rule,E,PK - 04,Y
57835,GOLDEN RULE DESOTO,57,57835102,Golden Rule Desoto,E,PK - 06,Y
57835,GOLDEN RULE SOUTHWEST,57,57835103,Golden Rule Southwest,E,PK - 05,Y
57835,GOLDEN RULE GRAND PRAIRIE,57,57835104,Golden Rule Grand Prairie,E,PK - 03,Y
57835,GOLDEN RULE SCHOOLS INC - WILMER,57,57835105,Golden Rule Schools Inc - Wilmer,E,PK - PK,Y
57836,ST ANTHONY SCHOOL,57,57836041,St Anthony School,M,06 - 08,Y
57836,ST ANTHONY ACADEMY,57,57836101,St Anthony Academy,E,KG - 05,Y
57839,LA ACADEMIA DE ESTRELLAS,57,57839101,La Academia De Estrellas,E,PK - 08,Y
57840,RICHLAND COLLEGIATE H S OF MATH SC,57,57840001,Richland Collegiate H S Of Math Sc,S,11 - 12,Y
57841,EAST GRAND PREPARATORY ACADEMY,57,57841001,East Grand Preparatory Academy,B,PK - 09,Y
57844,MANARA LEADERSHIP ACADEMY,57,57844001,Manara Leadership Academy,S,07 - 12,Y
57844,MANARA ACADEMY,57,57844101,Manara Academy,E,PK - 06,Y
57844,MANARA STEM ACADEMY - ARLINGTON,57,57844102,Manara Stem Academy - Arlington,E,PK - 08,Y
57845,UME PREPARATORY ACADEMY,57,57845001,Ume Preparatory Academy,B,KG - 12,Y
57845,UME PREPARATORY ACADEMY - DUNCANVI,57,57845002,Ume Preparatory Academy - Duncanvi,E,KG - 06,Y
57846,LEGACY PREP CHARTER ACADEMY MESQUI,57,57846001,Legacy Prep Charter Academy Mesqui,B,KG - 12,Y
57846,LEGACY PREPARATORY CHARTER ACADEMY,57,57846003,Legacy Preparatory Charter Academy,B,KG - 12,Y
57847,VILLAGE TECH SCHOOLS,57,57847001,Village Tech Schools,B,PK - 12,Y
57848,ILTEXAS GARLAND EL,57,57848001,Iltexas Garland Elementary School,E,KG - 05,Y
57848,ILTEXAS GARLAND MIDDLE,57,57848002,Iltexas Garland Middle School,M,06 - 08,Y
57848,ILTEXAS GARLAND H S,57,57848003,Iltexas Garland High School,S,09 - 12,Y
57848,ILTEXAS ARLINGTON EL,57,57848004,Iltexas Arlington Elementary School,E,KG - 05,Y
57848,ILTEXAS ARLINGTON MIDDLE,57,57848005,Iltexas Arlington Middle School,M,06 - 08,Y
57848,ILTEXAS ARLINGTON-GRAND PRAIRIE H,57,57848006,Iltexas Arlington-Grand Prairie H,S,09 - 12,Y
57848,ILTEXAS KELLER EL,57,57848007,Iltexas Keller Elementary School,E,KG - 05,Y
57848,ILTEXAS KELLER MIDDLE,57,57848008,Iltexas Keller Middle School,M,06 - 08,Y
57848,ILTEXAS KELLER SAGINAW H S,57,57848009,Iltexas Keller Saginaw High School,S,08 - 12,Y
57848,ILTEXAS GRAND PRAIRIE EL,57,57848010,Iltexas Grand Prairie Elementary School,E,KG - 05,Y
57848,ILTEXAS GRAND PRAIRIE MIDDLE,57,57848011,Iltexas Grand Prairie Middle School,M,06 - 08,Y
57848,ILTEXAS NORTH RICHLAND HILLS EL,57,57848012,Iltexas North Richland Hills Elementary School,E,KG - 05,Y
57848,ILTEXAS NORTH RICHLAND HILLS MIDDL,57,57848013,Iltexas North Richland Hills Middle School,M,06 - 08,Y
57848,ILTEXAS KATY EL,57,57848014,Iltexas Katy Elementary School,E,KG - 05,Y
57848,ILTEXAS KATY MIDDLE,57,57848015,Iltexas Katy Middle School,M,06 - 08,Y
57848,ILTEXAS WESTPARK EL,57,57848016,Iltexas Westpark Elementary School,E,KG - 05,Y
57848,ILTEXAS WESTPARK MIDDLE,57,57848017,Iltexas Westpark Middle School,M,06 - 08,Y
57848,ILTEXAS LANCASTER EL,57,57848019,Iltexas Lancaster Elementary School,E,KG - 05,Y
57848,ILTEXAS LANCASTER MIDDLE,57,57848020,Iltexas Lancaster Middle School,M,06 - 08,Y
57848,ILTEXAS EAST FORT WORTH EL,57,57848021,Iltexas East Fort Worth Elementary School,E,KG - 05,Y
57848,ILTEXAS EAST FORT WORTH MIDDLE,57,57848022,Iltexas East Fort Worth Middle School,M,06 - 08,Y
57848,ILTEXAS SAGINAW EL,57,57848023,Iltexas Saginaw Elementary School,E,KG - 05,Y
57848,ILTEXAS SAGINAW MIDDLE,57,57848024,Iltexas Saginaw Middle School,M,06 - 08,Y
57848,ILTEXAS HOUSTON WINDMILL LAKES EL,57,57848025,Iltexas Houston Windmill Lakes Elementary School,E,KG - 05,Y
57848,ILTEXAS HOUSTON WINDMILL LAKES MID,57,57848026,Iltexas Houston Windmill Lakes Mid,M,06 - 08,Y
57848,ILTEXAS HOUSTON OREM EL,57,57848027,Iltexas Houston Orem Elementary School,E,KG - 05,Y
57848,ILTEXAS HOUSTON OREM MIDDLE,57,57848028,Iltexas Houston Orem Middle School,M,06 - 08,Y
57848,ILTEXAS EAST FORT WORTH NORTH RICH,57,57848029,Iltexas East Fort Worth North Rich,S,09 - 09,Y
57848,ILTEXAS COLLEGE STATION EL,57,57848030,Iltexas College Station Elementary School,E,KG - 05,Y
57848,ILTEXAS COLLEGE STATION MIDDLE,57,57848031,Iltexas College Station Middle School,M,06 - 08,Y
57848,ILTEXAS LANCASTER DESOTO H S,57,57848032,Iltexas Lancaster Desoto High School,S,09 - 09,Y
57848,ILTEXAS HOUSTON WINDMILL LAKES ORE,57,57848033,Iltexas Houston Windmill Lakes Ore,S,09 - 09,Y
57849,TRINITY ENVIRONMENTAL ACADEMY,57,57849001,Trinity Environmental Academy,E,PK - 04,Y
57849,TRINITY ENVIRONMENTAL ACADEMY,57,57849002,Trinity Environmental Academy,M,06 - 08,Y
57850,PIONEER TECHNOLOGY (PTAA) MESQUITE,57,57850001,Pioneer Technology (Ptaa) Mesquite,B,06 - 10,Y
57850,PIONEER TECHNOLOGY (PTAA) GREENVIL,57,57850002,Pioneer Technology (Ptaa) Greenvil,B,KG - 10,Y
57850,PIONEER TECHNOLOGY (PTAA) FATE,57,57850003,Pioneer Technology (Ptaa) Fate,M,06 - 08,Y
57851,BRIDGEWAY PREPARATORY ACADEMY,57,57851101,Bridgeway Preparatory Academy,E,PK - 02,Y
57903,TURNER H S,57,57903001,Turner High School,S,09 - 12,N
57903,SMITH H S,57,57903002,Smith High School,S,09 - 12,N
57903,GRIMES EDUCATION CENTER,57,57903003,Grimes Education Center,S,10 - 12,N
57903,SALAZAR DISTRICT ALTERNATIVE EDUCA,57,57903005,Salazar District Alternative Educa,B,KG - 12,N
57903,CREEKVIEW H S,57,57903006,Creekview High School,S,09 - 12,N
57903,RANCHVIEW H S,57,57903007,Ranchview High School,S,09 - 12,N
57903,DALLAS COUNTY JJAEP CFB CAMPUS,57,57903009,Dallas County JJAEP Cfb Campus,S,08 - 10,N
57903,EARLY COLLEGE H S,57,57903010,Early College High School,S,09 - 12,N
57903,FIELD MIDDLE,57,57903041,Field Middle School,M,06 - 08,N
57903,PERRY MIDDLE,57,57903042,Perry Middle School,M,06 - 08,N
57903,LONG MIDDLE,57,57903044,Long Middle School,M,06 - 08,N
57903,BLALACK MIDDLE,57,57903045,Blalack Middle School,M,06 - 08,N
57903,POLK MIDDLE,57,57903046,Polk Middle School,M,06 - 08,N
57903,BUSH MIDDLE,57,57903047,Bush Middle School,M,06 - 08,N
57903,CARROLLTON EL,57,57903102,Carrollton Elementary School,E,EE - 05,N
57903,CENTRAL EL,57,57903103,Central Elementary School,E,PK - 05,N
57903,GOOD EL,57,57903105,Good Elementary School,E,EE - 05,N
57903,STARK EL,57,57903106,Stark Elementary School,E,EE - 05,N
57903,FARMERS BRANCH EL,57,57903109,Farmers Branch Elementary School,E,EE - 05,N
57903,BLANTON EL,57,57903110,Blanton Elementary School,E,KG - 05,N
57903,THOMPSON EL,57,57903111,Thompson Elementary School,E,EE - 05,N
57903,COUNTRY PLACE EL,57,57903112,Country Place Elementary School,E,EE - 05,N
57903,DAVIS EL,57,57903113,Davis Elementary School,E,KG - 05,N
57903,MCCOY EL,57,57903114,McCoy Elementary School,E,KG - 05,N
57903,FURNEAUX EL,57,57903116,Furneaux Elementary School,E,PK - 05,N
57903,HUIE SPECIAL EDUC CTR,57,57903117,Huie Special Education Center,S,12 - 12,N
57903,ROSEMEADE EL,57,57903118,Rosemeade Elementary School,E,KG - 05,N
57903,LAS COLINAS EL,57,57903120,Las Colinas Elementary School,E,KG - 05,N
57903,LANDRY EL,57,57903121,Landry Elementary School,E,KG - 05,N
57903,KENT EL,57,57903122,Kent Elementary School,E,EE - 05,N
57903,RIVERCHASE ELE,57,57903123,Riverchase Ele,E,EE - 05,N
57903,MCKAMY EL,57,57903124,McKamy Elementary School,E,EE - 05,N
57903,SHEFFIELD EL,57,57903125,Sheffield Elementary School,E,KG - 05,N
57903,RAINWATER EL,57,57903126,Rainwater Elementary School,E,KG - 05,N
57903,FREEMAN EL,57,57903128,Freeman Elementary School,E,EE - 05,N
57903,MCWHORTER EL,57,57903129,McWhorter Elementary School,E,PK - 05,N
57903,BLAIR EL,57,57903131,Blair Elementary School,E,KG - 05,N
57903,LA VILLITA EL,57,57903132,La Villita Elementary School,E,KG - 05,N
57903,MCLAUGHLIN STRICKLAND EL,57,57903135,McLaughlin Strickland Elementary School,E,KG - 05,N
57904,CEDAR HILL H S,57,57904001,Cedar Hill High School,S,09 - 12,N
57904,CEDAR HILL COLLEGIATE H S,57,57904003,Cedar Hill Collegiate High School,S,09 - 12,N
57904,JJAEP,57,57904007,JJAEP,E,05 - 05,N
57904,W S PERMENTER MIDDLE,57,57904041,W S Permenter Middle School,M,06 - 08,N
57904,BESSIE COLEMAN MIDDLE,57,57904042,Bessie Coleman Middle School,M,06 - 08,N
57904,CEDAR HILL COLLEGIATE ACADEMY,57,57904043,Cedar Hill Collegiate Academy,M,06 - 08,N
57904,BRAY EL,57,57904101,Bray Elementary School,E,PK - 05,N
57904,PLUMMER EL,57,57904102,Plummer Elementary School,E,PK - 05,N
57904,HIGH POINTE EL,57,57904104,High Pointe Elementary School,E,PK - 05,N
57904,HIGHLANDS EL,57,57904105,Highlands Elementary School,E,PK - 05,N
57904,WATERFORD OAKS EL,57,57904107,Waterford Oaks Elementary School,E,EE - 05,N
57904,LAKERIDGE EL,57,57904108,Lakeridge Elementary School,E,EE - 05,N
57904,CEDAR HILL COLLEGIATE PREP,57,57904110,Cedar Hill Collegiate Prep,E,PK - 05,N
57905,BRYAN ADAMS H S,57,57905001,Bryan Adams High School,S,09 - 12,N
57905,W H ADAMSON H S,57,57905002,W H Adamson High School,S,09 - 12,N
57905,NEW TECH H S AT B F DARRELL H S,57,57905003,New Tech H S At B F Darrell High School,S,09 - 12,N
57905,MOISES E MOLINA H S,57,57905005,Moises E Molina High School,S,09 - 12,N
57905,HILLCREST H S,57,57905006,Hillcrest High School,S,09 - 12,N
57905,THOMAS JEFFERSON H S,57,57905007,Thomas Jefferson High School,S,09 - 12,N
57905,JUSTIN F KIMBALL H S,57,57905008,Justin F Kimball High School,S,08 - 12,N
57905,LINCOLN HUMANITIES/COMMUNICATIONS,57,57905009,Lincoln Humanities/Communications,S,09 - 12,N
57905,BARBARA M MANNS MIDDLE DAEP,57,57905011,Barbara M Manns Middle DAEP,M,06 - 08,N
57905,L G PINKSTON H S,57,57905012,L G Pinkston High School,S,07 - 12,N
57905,FRANKLIN D ROOSEVELT H S,57,57905013,Franklin D Roosevelt High School,S,09 - 12,N
57905,W W SAMUELL H S,57,57905014,W W Samuell High School,S,09 - 12,N
57905,SEAGOVILLE H S,57,57905015,Seagoville High School,S,09 - 12,N
57905,SOUTH OAK CLIFF H S,57,57905016,South Oak Cliff High School,S,09 - 12,N
57905,H GRADY SPRUCE H S,57,57905017,H Grady Spruce High School,S,09 - 12,N
57905,SUNSET H S,57,57905018,Sunset High School,S,09 - 12,N
57905,W T WHITE H S,57,57905021,W T White High School,S,09 - 12,N
57905,WOODROW WILSON H S,57,57905022,Woodrow Wilson High School,S,09 - 12,N
57905,DAVID W CARTER H S,57,57905023,David W Carter High School,S,09 - 12,N
57905,NORTH DALLAS H S,57,57905024,North Dallas High School,S,09 - 12,N
57905,SKYLINE H S,57,57905025,Skyline High School,S,09 - 12,N
57905,SCHOOL OF SCIENCE AND ENGINEERING,57,57905026,School Of Science And Engineering,S,09 - 12,N
57905,EMMETT J CONRAD H S,57,57905028,Emmett J Conrad High School,S,09 - 12,N
57905,BARBARA M MANNS H S DAEP,57,57905029,Barbara M Manns H S DAEP,S,09 - 12,N
57905,MAYA ANGELOU H S,57,57905030,Maya Angelou High School,S,07 - 12,N
57905,JAMES MADISON H S,57,57905032,James Madison High School,S,09 - 12,N
57905,SCHOOL OF BUSINESS AND MANAGEMENT,57,57905033,School Of Business And Management,S,09 - 12,N
57905,BOOKER T WASHINGTON SPVA MAGNET,57,57905034,Booker T Washington Spva Magnet,S,09 - 12,N
57905,IRMA RANGEL YOUNG WOMEN'S LEADERSH,57,57905035,Irma Rangel Young Women'S Leadersh,B,06 - 12,N
57905,SCHOOL OF HEALTH PROFESSIONS,57,57905036,School Of Health Professions,S,09 - 12,N
57905,ROSIE SORRELLS EDUCATION AND SOCIA,57,57905037,Rosie Sorrells Education And Socia,S,09 - 12,N
57905,JUDGE BAREFOOT SANDERS LAW MAGNET,57,57905038,Judge Barefoot Sanders Law Magnet,S,09 - 12,N
57905,SCHOOL FOR THE TALENTED AND GIFTED,57,57905039,School For The Talented And Gifted,S,09 - 12,N
57905,WILLIAM HAWLEY ATWELL LAW ACADEMY,57,57905042,William Hawley Atwell Law Academy,M,06 - 08,N
57905,T W BROWNE MIDDLE,57,57905043,T W Browne Middle School,M,06 - 08,N
57905,EDWARD H CARY MIDDLE,57,57905044,Edward H Cary Middle School,M,06 - 08,N
57905,E B COMSTOCK MIDDLE,57,57905045,E B Comstock Middle School,M,06 - 08,N
57905,YOUNG MEN'S LEADERSHIP ACADEMY AT,57,57905046,Young Men'S Leadership Academy At,M,06 - 08,N
57905,BENJAMIN FRANKLIN INTERNATIONAL EX,57,57905047,Benjamin Franklin International Ex,M,06 - 08,N
57905,W H GASTON MIDDLE,57,57905048,W H Gaston Middle School,M,06 - 08,N
57905,W E GREINER EXPLORATORY ARTS ACADE,57,57905049,W E Greiner Exploratory Arts Acade,M,06 - 08,N
57905,ROBERT T HILL MIDDLE,57,57905050,Robert T Hill Middle School,M,06 - 08,N
57905,OLIVER WENDELL HOLMES HUMANITIES/C,57,57905051,Oliver Wendell Holmes Humanities/C,M,06 - 08,N
57905,PIEDMONT GLOBAL ACADEMY,57,57905052,Piedmont Global Academy,M,06 - 08,N
57905,J L LONG MIDDLE,57,57905053,J L Long Middle School,M,06 - 08,N
57905,THOMAS C MARSH MIDDLE,57,57905054,Thomas C Marsh Middle School,M,06 - 08,N
57905,THOMAS J RUSK MIDDLE,57,57905055,Thomas J Rusk Middle School,M,06 - 08,N
57905,EWELL D WALKER MIDDLE,57,57905056,Ewell D Walker Middle School,M,06 - 08,N
57905,ALEX W SPENCE TALENTED/GIFTED ACAD,57,57905058,Alex W Spence Talented/Gifted Acad,M,06 - 08,N
57905,L V STOCKARD MIDDLE,57,57905059,L V Stockard Middle School,M,06 - 08,N
57905,BOUDE STOREY MIDDLE,57,57905060,Boude Storey Middle School,M,06 - 08,N
57905,BILLY EARL DADE MIDDLE,57,57905062,Billy Earl Dade Middle School,M,06 - 08,N
57905,RAUL QUINTANILLA SR MIDDLE,57,57905068,Raul Quintanilla Sr Middle School,M,06 - 08,N
57905,SEAGOVILLE MIDDLE,57,57905069,Seagoville Middle School,M,06 - 08,N
57905,DALLAS ENVIRONMENTAL SCIENCE ACADE,57,57905071,Dallas Environmental Science Acade,M,06 - 08,N
57905,SARAH ZUMWALT MIDDLE,57,57905072,Sarah Zumwalt Middle School,M,06 - 08,N
57905,HENRY W LONGFELLOW CAREER EXPLORAT,57,57905073,Henry W Longfellow Career Explorat,M,06 - 08,N
57905,HAROLD WENDELL LANG SR MIDDLE,57,57905076,Harold Wendell Lang Sr Middle School,M,06 - 08,N
57905,HECTOR P GARCIA MIDDLE,57,57905077,Hector P Garcia Middle School,M,06 - 08,N
57905,FRANCISCO MEDRANO MIDDLE,57,57905079,Francisco Medrano Middle School,M,06 - 08,N
57905,SAM TASBY MIDDLE,57,57905083,Sam Tasby Middle School,M,06 - 08,N
57905,KATHLYN JOY GILLIAM COLLEGIATE ACA,57,57905085,Kathlyn Joy Gilliam Collegiate Aca,S,09 - 12,N
57905,TRINIDAD GARZA EARLY COLLEGE AT MT,57,57905088,Trinidad Garza Early College At Mt,S,09 - 12,N
