REGION,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNR,RPSTTENA,RPSTEXPA,RPSAMIFC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPFEIERP,RPSAINHP,RA0GR14N,RA0GM14N,RA0GH14N,RA0GF14N,RB0GR14N,RH0GR14N,RW0GR14N,RI0GR14N,R30GR14N,R40GR14N,R20GR14N,RS0GR14N,RA0GR14R,RA0GM14P,RA0GF14P,RB0GR14R,RH0GR14R,RW0GR14R,RI0GR14R,R30GR14R,R40GR14R,R20GR14R,RS0GR14R,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAPID15N,RAUND14C,RAUND14R,RPETDISC,RPETDISP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RAPID15R,RA0GH14P
"11",37437.4,6986.8,2082.7,667,6289.3,2730.9,9407.2,8460,11135.5,5703.8,295.9,28058.5,8835.7,247.3,120.8,27.3,47174,15847,69310.3,68.4,194.5,23.9,370.5,3071,4167,29139.9,470.5,8443.9,28993.5,38.4,27001.8,1437,2368.7,1238.6,785.4,3244.4,1361.5,14.8,7.3,11.2,19960,21.7,21,19.6,25.9,19,21.8,21.4,19.3,18.9,19.1,19,19.5,19,68.1,54,10.1,3,1,9.1,22.9,28.8,0.8,74.9,23.6,0.7,7.3,25.1,22.6,29.7,15.2,72.1,3.8,6.3,3.3,2.1,8.7,3.6,8.2,77.8,11.1,0.1,0.5,1,1.3,22.6,77.4,15.2,48002,49354,51397,54480,62804,53291,62038,76349,103439,65.3,67.2,34525,5723,28462,340,4486,10326,16992,207,1689,86,739,2292,100,16.6,1,13,29.9,49.2,0.6,4.9,0.2,2.1,6.6,569487,47654,91400,281062,288425,47181,128978,90817,269006,1263,19416,41387,43966,43943,43465,42768,42760,42375,41934,42849,46884,42184,38879,35414,202649,81621,239482,2868,26049,1499,15319,690,1002,0.4,8439,1.4,2.1,3.4,2.2,1.5,0.9,1.1,0.4,0.6,0.6,8.8,6.7,2.7,1.4,1,0.7,0.5,0.6,1.2,42.1,14.3,35.6,0.5,4.6,0.3,2.7,49.4,50.6,47.2,16,8.4,22.6,15.9,8.3,0.2,3.4,7.3,7.7,7.7,7.6,7.5,7.5,7.4,7.4,7.5,8.2,7.4,6.8,6.2,0.1,82.4
"12",11746.9,1810.6,794.7,294.1,2685.4,1143.9,3372.8,2331.5,2985.1,1913.6,86.5,9393.1,2225.9,41.4,99.5,32.4,14646.4,5634.1,22966,36.7,58.5,11.4,90.9,1023.5,999.1,9381.4,182,2745.8,9001.1,34.3,9175.7,511.5,292.2,326.9,141,1003.6,296,19.7,6.7,10.8,6294.9,17.9,17.9,16.7,28.7,19.2,19.6,20.9,19.5,19.4,19.4,19.5,17.8,15.6,63.8,51.1,7.9,3.5,1.3,11.7,24.5,27.4,0.7,80,18.9,0.4,9.7,28.7,19.8,25.4,16.3,78.1,4.4,2.5,2.8,1.2,8.5,2.5,8.7,79.9,8.5,0.1,0.5,0.8,1.5,23.4,76.6,14.4,39934,42412,44965,49557,55653,46650,55678,68226,90063,62.3,66.5,9386,2040,7301,45,1872,2613,4323,68,161,39,310,990,100,21.7,0.5,19.9,27.8,46.1,0.7,1.7,0.4,3.3,10.5,169637,15869,15709,99941,69696,10585,39138,15231,85193,344,8866,13016,13733,13433,12927,12517,12125,12391,12234,12343,13293,11845,10780,9790,55959,33347,68354,816,3373,1122,6666,77,336,0.5,3212,1.8,2,4.9,3,2.4,1.3,1.4,0.8,0.9,1,9.6,10.6,6,2.9,1.6,1.7,1.2,1.3,1.4,40.3,19.7,33,0.5,2,0.7,3.9,58.9,41.1,50.2,9.3,9.4,23.1,9,6.2,0.2,5.2,7.7,8.1,7.9,7.6,7.4,7.1,7.3,7.2,7.3,7.8,7,6.4,5.8,0,77.8
"13",26748.8,5248.9,1596.8,559.8,4566.2,1965.5,7065.6,6321.7,7259.2,4136.8,219.9,19582.8,6782.3,163.9,44.8,7,34154.3,12523.8,51244.3,41.7,83.6,27.8,343.8,1071.1,4992.3,19958,272.2,6126.8,20622,13.1,19375.4,1036.7,1235.9,883.1,395.5,2584.7,1237.6,17,6.7,11,17798.6,20.5,19.5,18.5,28.1,18.8,20.5,21.2,18.5,18.5,18.8,19,20,17,66.6,52.2,10.2,3.1,1.1,8.9,24.4,34.7,0.8,73.2,25.4,0.6,7.3,26.4,23.6,27.1,15.5,72.4,3.9,4.6,3.3,1.5,9.7,4.6,4,74.6,18.7,0.1,0.3,1.3,1,22.9,77.1,14.8,43134,44566,46511,49919,57291,48341,56593,69188,93056,63.1,65.3,22754,3024,19403,327,1816,8815,10433,91,992,27,580,1756,100,13.3,1.4,8,38.7,45.9,0.4,4.4,0.1,2.5,7.7,394846,36823,63018,186688,208158,34098,95035,63305,176793,1249,13133,29796,31450,30946,30530,30143,30307,29314,29220,29423,31601,28178,25962,23594,185141,27490,152481,1081,17019,425,11209,389,689,0.4,5953,1.5,1.6,2.1,1.3,0.8,0.5,0.7,0.3,0.3,0.4,6.3,5.1,2.1,0.6,0.6,0.9,0.3,0.4,1,38.6,7,46.9,0.3,4.3,0.1,2.8,47.3,52.7,44.8,16,9.3,24.1,16,8.6,0.3,3.3,7.5,8,7.8,7.7,7.6,7.7,7.4,7.4,7.5,8,7.1,6.6,6,0.1,85.3
"14",3994.4,548.6,218.2,94.7,1014.3,268,1157.8,670.8,1008.2,889.6,20.7,3342.6,618.2,12.8,64.8,2,4856,1651.3,7521.5,3.5,9.7,0,29.3,100.9,325.5,3486.4,42.5,901,3093.4,20.4,3092.8,214.2,24.9,250.1,6.6,315,90.9,18.5,7.7,11.6,1470.6,16.8,16.3,15,19.2,18,18.6,19.2,19,19.5,19.8,18.1,15.6,13.3,64.6,53.1,7.3,2.9,1.3,13.5,22,19.6,0.5,83.7,15.5,0.3,6.7,29,16.8,25.2,22.3,77.4,5.4,0.6,6.3,0.2,7.9,2.3,2.5,87.3,8.1,0,0.2,0.7,1.1,22.6,77.4,15,35801,38996,41153,46780,52908,44207,50671,66806,93116,63.8,67.6,2863,552,2297,14,187,837,1725,15,31,0,68,352,100,19.3,0.5,6.5,29.2,60.3,0.5,1.1,0,2.4,12.3,59871,5456,2546,30206,29665,2372,13466,2493,20847,236,2382,4460,4688,4529,4657,4616,4585,4493,4519,4753,4995,4212,3694,3052,20985,4524,31092,268,1131,53,1818,11,51,0.2,863,1.3,6.4,6.4,3.4,2.8,1.6,2.8,1.4,2.4,2.8,21.8,11.8,5.9,4,1.2,0.9,1.3,2.9,2.6,51.9,7.6,35.1,0.4,1.9,0.1,3,50.5,49.5,34.8,4.3,9.1,22.5,4.2,4,0.4,4,7.4,7.8,7.6,7.8,7.7,7.7,7.5,7.5,7.9,8.3,7,6.2,5.1,0,80.2
"15",3624.3,522.4,200.3,99.2,930.1,328.3,786.1,689.9,1006.3,813.6,35,3037.6,545,6.7,40,8.3,4446.2,1850.8,7227,3.7,10,1,10,43.4,814.3,2717.8,27.8,817.4,2806.8,19.1,2871.1,203.9,58.9,145.2,24.7,270.3,50.1,18.1,8.5,12.8,2608.8,16.9,17,15.6,47.1,17.7,18.5,18.2,17.3,17.1,17.4,17.9,17.2,15.7,61.5,50.1,7.2,2.8,1.4,12.9,25.6,36.1,1,83.8,15,0.2,9.1,21.7,19,27.8,22.4,79.2,5.6,1.6,4,0.7,7.5,1.4,1.2,75,22.5,0,0.3,0.3,0.8,22.6,77.4,13.6,34713,37187,40930,46859,52526,43804,52323,67665,87432,60.3,63.8,2939,573,2339,27,69,1539,1265,9,17,4,36,298,100,19.5,0.9,2.3,52.4,43,0.3,0.6,0.1,1.2,10.1,49364,4436,3575,29554,19810,2836,12556,3490,23753,141,1681,3852,4140,3850,3722,3784,3717,3600,3563,3612,3799,3665,3281,2957,28325,1281,18607,127,286,21,717,17,56,0.3,589,1.1,3.6,4.9,2.5,2.4,1.1,1.6,0.5,0.6,0.8,15,12.3,5.8,1.1,0.5,1.8,1,0.8,1.4,37.7,2.6,57.4,0.3,0.6,0,1.5,59.9,40.1,48.1,7.2,9,25.4,7.1,5.7,0.3,3.4,7.8,8.4,7.8,7.5,7.7,7.5,7.3,7.2,7.3,7.7,7.4,6.6,6,0,79.6
"16",6546.1,863.2,365.2,160.3,1464.6,530.8,1626.2,1327.5,1700.9,1360.7,63.8,5475.4,994.9,12,37.3,0,7934.8,2665.2,12064.6,21.5,30,2,29,61.1,699.8,5666.1,58,1394.6,5151.4,8.4,4896.8,365.8,204,281.6,9.2,571.9,216.8,15.8,8.2,12,2703.5,17.3,16.7,15.6,19.9,18.2,19,19.1,17.5,17.4,18.2,17.8,16.1,14.2,65.8,54.3,7.2,3,1.3,12.1,22.1,22.4,1,83.6,15.2,0.2,8.1,24.8,20.3,26,20.8,74.8,5.6,3.1,4.3,0.1,8.7,3.3,0.9,86.6,10.7,0,0.5,0.4,0.9,21.3,78.7,13.1,39898,42703,45789,49747,56704,47842,56219,72156,92186,64.8,68.5,5258,1077,4161,20,243,2144,2652,31,86,3,99,446,100,20.5,0.4,4.6,40.8,50.4,0.6,1.6,0.1,1.9,8.5,85739,7766,11224,50207,35532,3856,22656,11051,40031,191,4463,6738,6738,6755,6405,6550,6367,6292,6089,6222,6351,6019,5557,5002,39670,4313,37149,443,2426,65,1673,34,265,0.7,1231,1.4,3.9,3.3,2.5,2.2,1.3,1.9,0.4,0.8,1.3,17.3,7.2,5.5,1.1,1.7,2.1,0.8,0.5,4.6,43.3,5,46.3,0.5,2.8,0.1,2,58.6,41.4,46.7,13.1,9.1,26.4,12.9,4.5,0.2,5.2,7.9,7.9,7.9,7.5,7.6,7.4,7.3,7.1,7.3,7.4,7,6.5,5.8,0,79.1
"17",6425.5,971.8,378.1,168.8,1681.4,500.4,1717.7,1175.7,1669.3,1362.4,22.2,5119.8,1249.9,33.6,75.4,12.4,7944.2,2251.6,11877.2,5.3,15.1,4.9,25,133.2,937.4,5241.9,68,1470.1,4955.4,21.2,4851.7,359.1,141.2,326.1,20.2,532.8,194.4,18.7,7.8,12.2,3655.9,17.3,16.5,15.2,41.2,17.9,18,18.7,17.6,17.6,18.4,18,17,14.7,66.9,54.1,8.2,3.2,1.4,14.2,19,30.8,0.3,79.7,19.5,0.5,7.8,26.7,18.3,26,21.2,75.5,5.6,2.2,5.1,0.3,8.3,3,2.1,81.6,14.6,0.1,0.2,0.4,1.1,22.9,77.1,13.1,36121,39096,42353,47793,55529,45204,54309,73161,95833,61,70.5,4682,805,3837,40,273,2401,1857,32,55,1,63,458,100,17.2,0.9,5.8,51.3,39.7,0.7,1.2,0,1.3,9.8,83903,7836,4620,50480,33423,4089,21843,4799,38224,199,4225,6811,7015,7082,6282,6234,6176,6136,5914,6029,6151,5640,5212,4797,48243,5784,27327,277,935,53,1284,28,71,0.2,1595,1.8,3.7,4.8,3.7,2.2,1.1,1.7,0.3,0.5,0.7,13.2,8.8,4.8,1.9,0.9,1.2,1.8,0.7,1.7,32.6,6.9,57.5,0.3,1.1,0.1,1.5,60.2,39.8,45.6,5.5,9.3,26,5.7,4.9,0.2,5,8.1,8.4,8.4,7.5,7.4,7.4,7.3,7,7.2,7.3,6.7,6.2,5.7,0,82
"18",5667.9,985.2,332.4,140.6,995.4,575.5,1590.1,1062.5,1463.6,976.2,49.2,4453.8,1145,19.9,29.3,1,7126,2781.1,10902.5,1.8,24.7,2,68.3,176.2,1620.6,3728.8,47.3,1242.2,4425.6,4.5,3997.6,232.5,442.6,260.4,143.5,424.7,166.5,20.7,7.4,11.2,4982.7,15.7,16.1,14.9,16.1,19.7,20.4,20.9,19.3,19,19.7,20,14,14.2,65.4,52,9,3,1.3,9.1,25.5,45.7,0.9,78.6,20.2,0.4,10.2,28.1,18.7,25.8,17.2,70.5,4.1,7.8,4.6,2.5,7.5,2.9,3.1,65.8,28.6,0,0.4,1.2,0.8,21.9,78.1,15.5,42744,45266,48156,52987,59378,49976,58479,74647,101384,62.3,63.8,4368,754,3465,149,177,2658,1413,19,59,4,38,310,100,17.3,3.4,4.1,60.9,32.3,0.4,1.4,0.1,0.9,7.1,87686,6197,11343,41496,46190,5302,17807,11058,48509,131,3088,7412,7586,7456,6917,6802,6753,6573,6509,6523,6508,5968,5146,4314,59354,3830,22229,263,931,80,999,28,157,0.4,1697,1.9,2.4,3.7,2.6,1.8,1,2.5,0.6,2.7,1.8,7,11.3,4.5,1.5,0.7,1.7,1,1.8,4.4,25.4,4.4,67.7,0.3,1.1,0.1,1.1,47.3,52.7,55.3,12.9,7.1,20.3,12.6,6,0.1,3.5,8.5,8.7,8.5,7.9,7.8,7.7,7.5,7.4,7.4,7.4,6.8,5.9,4.9,0,79.3
"19",11356.4,2703.1,657.1,150.1,1618.7,627.2,2567,2878.9,3421.7,1861.7,118.4,8182,3000.2,55.8,0,0,14866.7,7558.6,24043.9,23.1,16,7,83.1,219.9,8761.4,2188.9,80,3290.1,8066.3,1,8343.4,534.2,1221.4,49,181.5,854.1,172.9,8.9,9.9,11.6,20410.5,20.1,19.4,19.1,16,17.9,19,19.6,17.6,18.2,18.2,18.3,18.7,16.9,61.8,47.2,11.2,2.7,0.6,6.7,31.4,84.9,1,72,26.4,0.5,5.5,22.6,25.4,30.1,16.4,73.5,4.7,10.8,0.4,1.6,7.5,1.5,1.9,19.3,77.1,0.1,0.1,0.7,0.7,29,71,15.8,43116,46266,48854,52326,59159,50687,58574,75973,96517,64.6,59.6,11895,836,11036,23,267,10689,767,21,76,13,62,722,100,7,0.2,2.2,89.9,6.4,0.2,0.6,0.1,0.5,6.1,179096,16719,46312,133512,45584,14630,48893,45735,102963,476,7283,12374,13398,13391,13042,12891,13068,12865,12830,13502,15323,13714,12860,12079,160430,4283,11129,369,1177,309,1399,323,228,0.3,3142,1.7,1.1,4.6,2.8,1.9,1.1,1,0.5,0.6,0.5,8.4,11.5,5.1,2.1,1,1,0.2,0.8,0.9,6.2,2.4,89.6,0.2,0.7,0.2,0.8,74.5,25.5,57.5,25.9,9.3,27.3,25.5,8.2,0.3,4.1,6.9,7.5,7.5,7.3,7.2,7.3,7.2,7.2,7.5,8.6,7.7,7.2,6.7,0.2,92.8
"20",28368.5,5692.2,1555.3,469.5,5383.5,2320.9,7522.5,6553.2,7754.8,4217.1,206.8,19829.9,8203.1,128.6,59.2,13.9,36085.4,16350,57818.9,251.2,78.9,30.7,228,1344.2,12604.8,13774.2,307.7,6875.1,21493.4,85.7,20264,1072.9,1636.7,1235.2,575.2,2699,885.5,15.5,7.5,10.8,34999.6,18.7,18.5,17.6,22.8,19.3,20.4,21.9,20.1,19.6,19.6,19.7,18.5,17,62.4,49.1,9.8,2.7,0.8,9.3,28.3,60.5,0.7,69.9,28.9,0.5,8.2,26.5,23.1,27.3,14.9,71.4,3.8,5.8,4.4,2,9.5,3.1,4.7,48.6,44.4,0.1,0.3,0.8,1.1,24.2,75.8,15.5,45113,48422,50802,53925,60937,52066,60115,74329,97294,63.6,62,25821,3896,21225,700,1690,16986,5939,66,511,47,582,2101,100,15.1,2.7,6.5,65.8,23,0.3,2,0.2,2.3,8.1,440411,41940,50155,273285,167126,28996,94263,49937,231424,992,19951,32000,34350,33805,33051,33069,33326,31861,32388,33121,36143,31750,28847,25757,313140,26890,82490,1035,7681,668,8507,18,526,0.3,6644,1.4,2,5.2,3.3,2.7,1.4,2,0.7,0.9,1.3,5.9,8,3.9,2,1.1,0.9,0.9,1.2,1.4,18.7,6.1,71.1,0.2,1.7,0.2,1.9,62.1,37.9,52.5,11.4,9.5,21.4,11.3,6.6,0.2,4.5,7.3,7.8,7.7,7.5,7.5,7.6,7.2,7.4,7.5,8.2,7.2,6.6,5.8,0,82.2
