CAMPUS,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CFLALTED,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"061902119","0"," ","0","0","0","0"," ","ETHRIDGE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902120","0"," ","0","0","0","0"," ","GARDEN RIDGE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - 05","E"," "," ","11"
"061902121","0"," ","0","0","0","0"," ","MORNINGSIDE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902122","0"," ","0","0","0","0"," ","HERITAGE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902123","0"," ","0","0","0","0"," ","OLD SETTLERS EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902124","0"," ","0","0","0","0"," ","PARKWAY EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902125","0"," ","0","0","0","0"," ","POLSER EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - 05","E"," "," ","11"
"061902126","0"," ","0","1","0","0"," ","PRAIRIE TRAIL ELEMENTARY","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902127","0"," ","0","0","0","0"," ","VALLEY RIDGE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902128","1"," ","0","0","1","0"," ","FOREST VISTA EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - 05","E"," "," ","11"
"061902129"," "," ","0","0","1","0"," ","BRIDLEWOOD EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902130","0"," ","0","0","0","0"," ","WELLINGTON EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - 05","E"," "," ","11"
"061902131","0"," ","0","0","0","0"," ","SOUTHRIDGE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902132","0"," ","0","0","0","0"," ","HOMESTEAD EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902133","0"," ","0","0","0","0"," ","BLUEBONNET ELEMENTARY","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902134","0"," ","0","0","0","0"," ","TOM HICKS EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - 05","E"," "," ","11"
"061902135","0"," ","0","1","0","0"," ","LIBERTY EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902136","1"," ","0","1","0","0"," ","CASTLE HILLS EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902138","0"," ","0","0","0","0"," ","MARJORY VICKERY ELEMENTARY","N","N","DENTON","061","M","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061902139","0"," ","0","0","0","0"," ","ROCKBROOK EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","PK - 05","E"," "," ","11"
"061902140","0"," ","0","0","0","0"," ","COYOTE RIDGE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - 05","E"," "," ","11"
"061902141"," "," "," "," "," "," "," ","LILLIE J JACKSON EARLY CHILDHOOD C","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - PK","E","061902000","LEWISVILLE ISD","11"
"061902142","0"," ","1","0","0","1"," ","INDEPENDENCE EL","N","N","DENTON","061","M","LEWISVILLE ISD","061902","EE - 05","E"," "," ","11"
"061902143","0"," ","0","0","0","0"," ","LEWISVILLE EL","N","N","DENTON","061","I","LEWISVILLE ISD","061902","KG - 05","E"," "," ","11"
"061903001","0","0","0","0","0","0","0","PILOT POINT H S","N","N","DENTON","061","M","PILOT POINT ISD","061903","09 - 12","S"," "," ","11"
"061903002"," "," "," "," "," "," "," ","DENTON CO J J A E P","N","N","DENTON","061","X","PILOT POINT ISD","061903","11 - 11","S"," "," ","11"
"061903041","0","1","0","1","0","0","1","PILOT POINT SELZ MIDDLE","N","N","DENTON","061","M","PILOT POINT ISD","061903","07 - 08","M"," "," ","11"
"061903101"," "," "," "," "," "," "," ","PILOT POINT EL","N","N","DENTON","061","M","PILOT POINT ISD","061903","EE - 02","E","061903102","PILOT POINT INT","11"
"061903102","0"," ","0","0","0","0"," ","PILOT POINT INT","N","N","DENTON","061","M","PILOT POINT ISD","061903","03 - 06","E"," "," ","11"
"061905001","0","0","0","0","0","0","0","KRUM H S","N","N","DENTON","061","M","KRUM ISD","061905","09 - 12","S"," "," ","11"
"061905041","0","0","0","0","0","0","0","KRUM MIDDLE","N","N","DENTON","061","M","KRUM ISD","061905","06 - 08","M"," "," ","11"
"061905101","0"," ","0","0","0"," "," ","DYER EL","N","N","DENTON","061","M","KRUM ISD","061905","02 - 03","E"," "," ","11"
"061905102","0"," ","0","0","0","1"," ","BLANCHE DODD INT","N","N","DENTON","061","M","KRUM ISD","061905","04 - 05","E"," "," ","11"
"061905103"," "," "," "," "," "," "," ","KRUM EARLY EDUCATION CENTER","N","N","DENTON","061","M","KRUM ISD","061905","EE - 01","E","061905101","DYER EL","11"
"061906001","0","1","1","0","0","0","0","PONDER H S","N","N","DENTON","061","M","PONDER ISD","061906","09 - 12","S"," "," ","11"
"061906041","0","0","0","0","0","1","1","PONDER J H","N","N","DENTON","061","M","PONDER ISD","061906","06 - 08","M"," "," ","11"
"061906101","1"," ","1","0","0","0"," ","PONDER EL","N","N","DENTON","061","M","PONDER ISD","061906","EE - 05","E"," "," ","11"
"061907001","1","1","0","1","0","0","0","AUBREY H S","N","N","DENTON","061","M","AUBREY ISD","061907","09 - 12","S"," "," ","11"
"061907002"," "," "," "," "," "," "," ","DENTON CO J J A E P","N","N","DENTON","061","X","AUBREY ISD","061907","11 - 11","S"," "," ","11"
"061907041","0","0","0","0","0","1","0","AUBREY MIDDLE","N","N","DENTON","061","M","AUBREY ISD","061907","06 - 08","M"," "," ","11"
"061907101","1"," ","0","0","0","0"," ","HL BROCKETT","N","N","DENTON","061","M","AUBREY ISD","061907","KG - 05","E"," "," ","11"
"061907102","1"," ","1","1","1","1"," ","JAMES A MONACO","N","N","DENTON","061","M","AUBREY ISD","061907","EE - 05","E"," "," ","11"
"061908001","0","0","0","0","0","0","0","SANGER H S","N","N","DENTON","061","M","SANGER ISD","061908","09 - 12","S"," "," ","11"
"061908002"," "," "," "," "," "," "," ","DENTON CO J J A E P","N","N","DENTON","061","X","SANGER ISD","061908","09 - 09","S"," "," ","11"
"061908003"," "," "," "," "," "," "," ","LINDA TUTT H S","Y","N","DENTON","061","A","SANGER ISD","061908","09 - 12","S"," "," ","11"
"061908041","0","0","0","0","0","1","0","SANGER MIDDLE","N","N","DENTON","061","M","SANGER ISD","061908","07 - 08","M"," "," ","11"
"061908101","0"," ","0","0","0","0"," ","CLEAR CREEK INT","N","N","DENTON","061","M","SANGER ISD","061908","03 - 05","E"," "," ","11"
"061908102"," "," "," "," "," "," "," ","CHISHOLM TRAIL EL","N","N","DENTON","061","M","SANGER ISD","061908","KG - 02","E","061908101","CLEAR CREEK INT","11"
"061908104","1"," ","0","0","0","0"," ","BUTTERFIELD EL","N","N","DENTON","061","M","SANGER ISD","061908","EE - 05","E"," "," ","11"
"061908105","0"," ","0","0","0"," "," ","SANGER SIXTH GRADE CENTER","N","N","DENTON","061","M","SANGER ISD","061908","06 - 06","M"," "," ","11"
"061910001","1","1","1","1","1","1","1","ARGYLE H S","N","N","DENTON","061","M","ARGYLE ISD","061910","09 - 12","S"," "," ","11"
"061910041","0","0","0","1","1","1","0","ARGYLE MIDDLE","N","N","DENTON","061","M","ARGYLE ISD","061910","07 - 08","M"," "," ","11"
"061910042","1"," ","0","1","0","0"," ","ARGYLE INT","N","N","DENTON","061","M","ARGYLE ISD","061910","05 - 06","M"," "," ","11"
"061910101","0"," ","0","0","0"," "," ","HILLTOP EL","N","N","DENTON","061","M","ARGYLE ISD","061910","EE - 04","E"," "," ","11"
"061911001","0","0","0","0","0","0","0","NORTHWEST H S","N","N","DENTON","061","M","NORTHWEST ISD","061911","09 - 12","S"," "," ","11"
"061911003"," "," "," "," "," "," "," ","DENTON CREEK","Y","N","DENTON","061","X","NORTHWEST ISD","061911","09 - 10","S"," "," ","11"
"061911005"," "," "," "," "," "," "," ","DENTON CO J J A E P","N","N","DENTON","061","X","NORTHWEST ISD","061911","09 - 09","S"," "," ","11"
"061911007","0","0","0","0","0","0","1","BYRON NELSON H S","N","N","DENTON","061","M","NORTHWEST ISD","061911","09 - 12","S"," "," ","11"
"061911008"," "," "," "," "," "," "," ","TARRANT COUNTY JJAEP","N","N","DENTON","061","X","NORTHWEST ISD","061911","12 - 12","S"," "," ","11"
"061911010","1","0","1","0","1","0","1","JAMES M STEELE ACCELERATED H S","N","N","DENTON","061","M","NORTHWEST ISD","061911","09 - 12","S"," "," ","11"
"061911042","0","0","0","0","0","0","0","MEDLIN MIDDLE","N","N","DENTON","061","M","NORTHWEST ISD","061911","06 - 08","M"," "," ","11"
"061911043","1","0","0","1","0","0","0","GENE PIKE MIDDLE","N","N","DENTON","061","M","NORTHWEST ISD","061911","06 - 08","M"," "," ","11"
"061911044","0","0","0","0","0","0","0","CHISHOLM TRAIL MIDDLE","N","N","DENTON","061","M","NORTHWEST ISD","061911","06 - 08","M"," "," ","11"
"061911045","0","0","0","0","0","0","0","JOHN M TIDWELL MIDDLE","N","N","DENTON","061","M","NORTHWEST ISD","061911","06 - 08","M"," "," ","11"
"061911046","0","0","0","0","0","0","0","TRUETT WILSON MIDDLE","N","N","DENTON","061","M","NORTHWEST ISD","061911","06 - 08","M"," "," ","11"
"061911101","0"," ","0","0","0","0"," ","HASLET EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911102","0"," ","0","0","0","0"," ","JUSTIN EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","PK - 05","E"," "," ","11"
"061911106","0"," ","0","0","0","0"," ","LAKEVIEW EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911107","0"," ","0","0","0","0"," ","ROANOKE EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","EE - 05","E"," "," ","11"
"061911108","0"," ","0","0","0","0"," ","SEVEN HILLS EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","EE - 05","E"," "," ","11"
"061911109","0"," ","0","0","0","1"," ","SAMUEL BECK EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911110","0"," ","0","0","0","0"," ","W R HATFIELD EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911111","0"," ","0","0","0","0"," ","PRAIRIE VIEW EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","PK - 05","E"," "," ","11"
"061911112","0"," ","0","0","0","0"," ","SONNY & ALLEGRA NANCE EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911113","0"," ","0","0","0","0"," ","J LYNDAL HUGHES EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","EE - 05","E"," "," ","11"
"061911114","0"," ","0","0","0","0"," ","KAY GRANGER EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911115","0"," ","0","0","0","0"," ","SENDERA RANCH EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911116","0"," ","0","0","0","0"," ","O A PETERSON","N","N","DENTON","061","M","NORTHWEST ISD","061911","EE - 05","E"," "," ","11"
"061911117","0"," ","0","0","0","0"," ","CLARA LOVE EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","PK - 05","E"," "," ","11"
"061911118","0"," ","0","0","0","0"," ","J C THOMPSON EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","EE - 05","E"," "," ","11"
"061911119","0"," ","0","0","0","0"," ","CARL E SCHLUTER EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061911120","1"," ","0","0","0","0"," ","WAYNE A COX EL","N","N","DENTON","061","M","NORTHWEST ISD","061911","KG - 05","E"," "," ","11"
"061912001","0","0","1","0","0","1","0","LAKE DALLAS H S","N","N","DENTON","061","M","LAKE DALLAS ISD","061912","09 - 12","S"," "," ","11"
"061912041","0","1","0","0","0","0","1","LAKE DALLAS MIDDLE","N","N","DENTON","061","M","LAKE DALLAS ISD","061912","06 - 08","M"," "," ","11"
"061912101","0"," ","1","0","0","0"," ","LAKE DALLAS EL","N","N","DENTON","061","M","LAKE DALLAS ISD","061912","EE - 05","E"," "," ","11"
"061912103","0"," ","0","0","0","0"," ","CORINTH EL","N","N","DENTON","061","M","LAKE DALLAS ISD","061912","KG - 05","E"," "," ","11"
"061912105","1"," ","0","0","1","0"," ","SHADY SHORES EL","N","N","DENTON","061","M","LAKE DALLAS ISD","061912","EE - 05","E"," "," ","11"
"061914001","0","0","0","0","0","0","0","LITTLE ELM H S","N","N","DENTON","061","M","LITTLE ELM ISD","061914","09 - 12","S"," "," ","11"
"061914002"," "," "," "," "," "," "," ","DENTON CO J J A E P","N","N","DENTON","061","X","LITTLE ELM ISD","061914","08 - 08","M"," "," ","11"
"061914041","0","0","0","0","0","0","0","LAKESIDE MIDDLE","N","N","DENTON","061","M","LITTLE ELM ISD","061914","06 - 08","M"," "," ","11"
"061914042","1"," ","0","0","0","0"," ","PRESTWICK K-8 STEM ACADEMY","N","N","DENTON","061","M","LITTLE ELM ISD","061914","KG - 08","E"," "," ","11"
"061914103","0"," ","0","0","0","0"," ","D H BRENT EL","N","N","DENTON","061","M","LITTLE ELM ISD","061914","PK - 05","E"," "," ","11"
"061914104","0"," ","0","0","0","0"," ","CESAR CHAVEZ EL","N","N","DENTON","061","M","LITTLE ELM ISD","061914","EE - 05","E"," "," ","11"
"061914105","0"," ","0","0","0","0"," ","HACKBERRY EL","N","N","DENTON","061","M","LITTLE ELM ISD","061914","PK - 05","E"," "," ","11"
"061914107","0"," ","0","0","0","0"," ","LAKEVIEW EL","N","N","DENTON","061","M","LITTLE ELM ISD","061914","KG - 05","E"," "," ","11"
"061914108","0"," ","1","0","0","0"," ","OAK POINT EL","N","N","DENTON","061","M","LITTLE ELM ISD","061914","EE - 05","E"," "," ","11"
"062901001","0","0","0","0","0","1","0","CUERO H S","N","N","DEWITT","062","M","CUERO ISD","062901","09 - 12","S"," "," ","03"
"062901041","0","0","0","0","1","0","0","CUERO J H","N","N","DEWITT","062","M","CUERO ISD","062901","07 - 08","M"," "," ","03"
"062901042","0"," ","0","0","0","0"," ","CUERO INT","N","N","DEWITT","062","I","CUERO ISD","062901","04 - 06","E"," "," ","03"
"062901102","0"," ","0","1","0"," "," ","HUNT EL","N","N","DEWITT","062","M","CUERO ISD","062901","01 - 03","E"," "," ","03"
"062901104"," "," "," "," "," "," "," ","FRENCH EL","N","N","DEWITT","062","M","CUERO ISD","062901","EE - KG","E","062901102","HUNT EL","03"
"062902001","0","0","0","0","0","0","0","NORDHEIM SCHOOL","N","N","DEWITT","062","M","NORDHEIM ISD","062902","PK - 12","B"," "," ","03"
"062903001","0","0","0","0","0","0","0","YOAKUM H S","N","N","DEWITT","062","M","YOAKUM ISD","062903","09 - 12","S"," "," ","03"
"062903041","0","0","0","0","0","0","0","YOAKUM J H","N","N","DEWITT","062","M","YOAKUM ISD","062903","06 - 08","M"," "," ","03"
"062903102","1"," ","1","0","0","1"," ","YOAKUM INT","N","N","DEWITT","062","M","YOAKUM ISD","062903","03 - 05","E"," "," ","03"
"062903103"," "," "," "," "," "," "," ","YOAKUM PRI","N","N","DEWITT","062","M","YOAKUM ISD","062903","EE - 02","E","062903102","YOAKUM INT","03"
"062904001","0","1","0","0","1","0","1","YORKTOWN H S","N","N","DEWITT","062","M","YORKTOWN ISD","062904","09 - 12","S"," "," ","03"
"062904041","0","0","0","0","0","0","0","YORKTOWN J H","N","N","DEWITT","062","I","YORKTOWN ISD","062904","06 - 08","M"," "," ","03"
"062904102","0"," ","0","0","0","0"," ","YORKTOWN EL","N","N","DEWITT","062","I","YORKTOWN ISD","062904","PK - 05","E"," "," ","03"
"062905101","1"," ","0","0","1"," "," ","WESTHOFF EL","N","N","DEWITT","062","M","WESTHOFF ISD","062905","PK - 08","E"," "," ","03"
"062906101","0","1","0","1","0","0"," ","MEYERSVILLE EL","N","N","DEWITT","062","M","MEYERSVILLE ISD","062906","PK - 08","E"," "," ","03"
"063903001","1","1","0","0","1","1","0","SPUR SCHOOL","N","N","DICKENS","063","M","SPUR ISD","063903","PK - 12","B"," "," ","17"
"063906001","1"," ","1","1","1","1"," ","PATTON SPRINGS SCHOOL","N","N","DICKENS","063","M","PATTON SPRINGS ISD","063906","PK - 12","B"," "," ","17"
"064903001","0","0","0","0","0","0","0","CARRIZO SPRINGS H S","N","N","DIMMIT","064","M","CARRIZO SPRINGS CISD","064903","09 - 12","S"," "," ","20"
"064903041","0","0","0","1","0","0","0","CARRIZO SPRINGS J H","N","N","DIMMIT","064","M","CARRIZO SPRINGS CISD","064903","07 - 08","M"," "," ","20"
"064903101"," "," "," "," "," "," "," ","BIG WELLS EL","N","N","DIMMIT","064","M","CARRIZO SPRINGS CISD","064903","PK - 02","E","064903102","CARRIZO SPRINGS EL","20"
"064903102","0"," ","0","1","0"," "," ","CARRIZO SPRINGS EL","N","N","DIMMIT","064","M","CARRIZO SPRINGS CISD","064903","EE - 03","E"," "," ","20"
"064903103","0"," ","0","0","0","0"," ","CARRIZO SPRINGS INT","N","N","DIMMIT","064","M","CARRIZO SPRINGS CISD","064903","04 - 06","E"," "," ","20"
"064903104"," "," "," "," "," "," "," ","ASHERTON EL","N","N","DIMMIT","064","M","CARRIZO SPRINGS CISD","064903","PK - 02","E","064903102","CARRIZO SPRINGS EL","20"
"065901001","0","0","0","0","1","0","0","CLARENDON H S","N","N","DONLEY","065","M","CLARENDON ISD","065901","09 - 12","S"," "," ","16"
"065901041","0","1","0","0","0","0","0","CLARENDON J H","N","N","DONLEY","065","M","CLARENDON ISD","065901","06 - 08","M"," "," ","16"
"065901101","1"," ","0","0","1","0"," ","CLARENDON EL","N","N","DONLEY","065","M","CLARENDON ISD","065901","PK - 05","E"," "," ","16"
"065902001","1","0","1","0","0","0","0","HEDLEY SCHOOL","N","N","DONLEY","065","M","HEDLEY ISD","065902","PK - 12","B"," "," ","16"
"066005101","0"," ","0","0"," "," "," ","RAMIREZ EL","N","N","DUVAL","066","M","RAMIREZ CSD","066005","PK - 06","E"," "," ","02"
"066901001","0","0","0","0","0","0","0","BENAVIDES SECONDARY","N","N","DUVAL","066","M","BENAVIDES ISD","066901","07 - 12","S"," "," ","02"
"066901041","1"," ","1","0","0","0"," ","BENAVIDES EL","N","N","DUVAL","066","M","BENAVIDES ISD","066901","EE - 06","E"," "," ","02"
"066902001","0","0","0","0","0","0","0","SAN DIEGO H S","N","N","DUVAL","066","M","SAN DIEGO ISD","066902","09 - 12","S"," "," ","02"
"066902041","0","0","0","0","0","0","0","BERNARDA JAIME J H","N","N","DUVAL","066","I","SAN DIEGO ISD","066902","06 - 08","M"," "," ","02"
"066902101","0"," ","0","0","0","0"," ","COLLINS-PARR EL","N","N","DUVAL","066","M","SAN DIEGO ISD","066902","PK - 05","E"," "," ","02"
"066903002","0","0","0","0","0","0","0","FREER H S","N","N","DUVAL","066","M","FREER ISD","066903","09 - 12","S"," "," ","02"
"066903042","0","0","0","0","0","0","0","FREER J H","N","N","DUVAL","066","M","FREER ISD","066903","06 - 08","M"," "," ","02"
"066903102","0"," ","0","0","0","0"," ","NORMAN M THOMAS EL","N","N","DUVAL","066","I","FREER ISD","066903","PK - 05","E"," "," ","02"
"067902001","1","1","1","1","1","1","1","CISCO H S","N","N","EASTLAND","067","M","CISCO ISD","067902","09 - 12","S"," "," ","14"
"067902004"," "," "," "," "," "," "," ","CISCO LEARNING CENTER","N","N","EASTLAND","067","Z","CISCO ISD","067902","10 - 12","S"," "," ","14"
"067902041","1","0","1","1","1","0","1","CISCO J H","N","N","EASTLAND","067","M","CISCO ISD","067902","06 - 08","M"," "," ","14"
"067902101","1"," ","1","0","1","1"," ","CISCO EL","N","N","EASTLAND","067","M","CISCO ISD","067902","EE - 05","E"," "," ","14"
"067903001","1","1","1","0","0","0","1","EASTLAND H S","N","N","EASTLAND","067","M","EASTLAND ISD","067903","09 - 12","S"," "," ","14"
"067903003"," "," "," "," "," "," "," ","EASTLAND CARE CAMPUS","Y","N","EASTLAND","067","Z","EASTLAND ISD","067903","09 - 10","S"," "," ","14"
"067903041","0","0","0","0","0","0","0","EASTLAND MIDDLE","N","N","EASTLAND","067","M","EASTLAND ISD","067903","06 - 08","M"," "," ","14"
"067903101","1"," ","1","1","0","0"," ","SIEBERT EL","N","N","EASTLAND","067","M","EASTLAND ISD","067903","EE - 05","E"," "," ","14"
"067904001","0","0","0","0","0","0","0","GORMAN H S","N","N","EASTLAND","067","M","GORMAN ISD","067904","09 - 12","S"," "," ","14"
"067904042","0","0","0","1","0","0","0","GORMAN MIDDLE","N","N","EASTLAND","067","M","GORMAN ISD","067904","06 - 08","M"," "," ","14"
"067904101","0"," ","0","0","0","0"," ","MAXFIELD EL","N","N","EASTLAND","067","M","GORMAN ISD","067904","PK - 05","E"," "," ","14"
"067907001","0","0","0","0","0","0","0","RANGER H S","N","N","EASTLAND","067","I","RANGER ISD","067907","09 - 12","S"," "," ","14"
"067907041","0","0","0","0","0","0","0","RANGER MIDDLE","N","N","EASTLAND","067","I","RANGER ISD","067907","06 - 08","M"," "," ","14"
"067907101","0"," ","0","0","0","0"," ","RANGER EL","N","N","EASTLAND","067","I","RANGER ISD","067907","PK - 05","E"," "," ","14"
"067908001","1","0","0","1","1","0","1","RISING STAR H S","N","N","EASTLAND","067","M","RISING STAR ISD","067908","07 - 12","S"," "," ","14"
"067908101","1"," ","1","0","0"," "," ","RISING STAR EL","N","N","EASTLAND","067","M","RISING STAR ISD","067908","PK - 06","E"," "," ","14"
"068802001","0"," ","0","1","0","0"," ","COMPASS ACADEMY CHARTER SCHOOL","N","Y","ECTOR","068","M","COMPASS ACADEMY CHARTER SCHOOL","068802","KG - 05","E"," "," ","18"
"068803001"," "," ","0","0","0","0"," ","UTPB STEM ACADEMY","N","Y","ECTOR","068","M","UTPB STEM ACADEMY","068803","KG - 06","E"," "," ","18"
"068901002","0","0","0","0","0","0","0","ODESSA H S","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","09 - 12","S"," "," ","18"
"068901003","0","0","0","0","0","0","0","PERMIAN H S","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","09 - 12","S"," "," ","18"
"068901004"," "," "," "," "," "," "," ","ALTER ED CTR","N","N","ECTOR","068","X","ECTOR COUNTY ISD","068901","07 - 11","S"," "," ","18"
"068901005"," "," "," "," "," "," "," ","ECTOR CO YOUTH CTR","Y","N","ECTOR","068","X","ECTOR COUNTY ISD","068901","05 - 11","B"," "," ","18"
"068901011","0","0","1","0","1","0","1","NEW TECH ODESSA","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","09 - 12","S"," "," ","18"
"068901042","0","0","0","0","0","0","0","BONHAM J H","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","07 - 09","M"," "," ","18"
"068901043","0","0","0","0","0","0","0","BOWIE J H","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","07 - 09","M"," "," ","18"
"068901044","0","0","0","0","0","0","0","CROCKETT J H","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","07 - 09","M"," "," ","18"
"068901045","0","0","0","0","0","0","0","JOHN B HOOD","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","07 - 09","M"," "," ","18"
"068901046","0","0","0","0","0","0","0","NIMITZ J H","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","07 - 09","M"," "," ","18"
"068901047","0","0","0","0","0","0","0","ECTOR J H","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","07 - 09","M"," "," ","18"
"068901101","0"," ","0","0","0","0"," ","GALE POND ALAMO EL","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","PK - 06","E"," "," ","18"
"068901102","0"," ","0","0","0","0"," ","AUSTIN MONTESSORI MAGNET","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","PK - 06","E"," "," ","18"
"068901103","0"," ","0","0","0","0"," ","BURLESON EL","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901104","0"," ","0","0","0","0"," ","BURNET EL","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901105","0"," ","0","0","0","0"," ","CAMERON DUAL LANGUAGE MAGNET","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","PK - 06","E"," "," ","18"
"068901106"," "," "," "," "," "," "," ","CARVER EARLY EE-KG","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","EE - PK","E","068901112","EL MAGNET AT HAYS","18"
"068901107","0"," ","0","0","0","0"," ","DOWLING EL","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901110","0"," ","0","0","0","0"," ","GOLIAD EL","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901111","0"," ","0","0","0","0"," ","GONZALES EL","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901112","0"," ","0","0","0","0"," ","EL MAGNET AT HAYS","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","PK - 06","E"," "," ","18"
"068901113","0"," ","0","0","0","0"," ","SAM HOUSTON EL","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901114","0"," ","0","0","0","0"," ","IRELAND EL","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901115"," "," "," "," "," "," "," ","LAMAR EARLY EE-KG","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","EE - KG","E","068901118","EL MAGNET AT REAGAN EL","18"
"068901116","0"," ","0","0","0","0"," ","EL MAGNET AT MILAM EL","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","PK - 06","E"," "," ","18"
"068901117","0"," ","0","0","0","0"," ","PEASE EL","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901118","1"," ","1","0","1","0"," ","EL MAGNET AT REAGAN EL","N","N","ECTOR","068","M","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901119","0"," ","0","0","0","0"," ","ROSS EL","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901121","0"," ","0","0","0","0"," ","SAN JACINTO EL","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901122","0"," ","0","0","0","0"," ","EL MAGNET AT TRAVIS","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
"068901123","0"," ","0","0","0","0"," ","EL MAGNET AT ZAVALA","N","N","ECTOR","068","I","ECTOR COUNTY ISD","068901","KG - 06","E"," "," ","18"
