CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
003902041,3902.0,HUDSON MIDDLE,3.0,HUDSON ISD,7.0,ANGELINA,M,06 - 08,N,N, , ,Hudson Middle School,A,A,B,B
003902101,3902.0,W F PEAVY PRI,3.0,HUDSON ISD,7.0,ANGELINA,E,EE - 02,N,N,003902102,W H BONNER EL,W F Peavy Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
003902102,3902.0,W H BONNER EL,3.0,HUDSON ISD,7.0,ANGELINA,E,03 - 05,N,N, , ,W H Bonner Elementary School,B,B,C,B
003903001,3903.0,LUFKIN H S,3.0,LUFKIN ISD,7.0,ANGELINA,S,09 - 12,N,N, , ,Lufkin High School,B,A,C,B
003903004,3903.0,STUBBLEFIELD LRN CTR,3.0,LUFKIN ISD,7.0,ANGELINA,S,09 - 12,N,Y, , ,Stubblefield Learning Center,C,Not Rated,Not Rated,C
003903044,3903.0,LUFKIN MIDDLE,3.0,LUFKIN ISD,7.0,ANGELINA,M,06 - 08,N,N, , ,Lufkin Middle School,C,B,C,B
003903120,3903.0,ANDERSON EL,3.0,LUFKIN ISD,7.0,ANGELINA,E,03 - 05,N,N, , ,Anderson Elementary School,C,B,C,B
003903121,3903.0,BRANDON EL,3.0,LUFKIN ISD,7.0,ANGELINA,E,03 - 05,N,N, , ,Brandon Elementary School,C,B,B,B
003903122,3903.0,BROOKHOLLOW EL,3.0,LUFKIN ISD,7.0,ANGELINA,E,03 - 05,N,N, , ,Brookhollow Elementary School,D,C,C,C
003903123,3903.0,COSTON EL,3.0,LUFKIN ISD,7.0,ANGELINA,E,03 - 05,N,N, , ,Coston Elementary School,C,A,C,B
003903124,3903.0,DUNBAR PRI,3.0,LUFKIN ISD,7.0,ANGELINA,E,KG - 02,N,N,003903121,BRANDON EL,Dunbar Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
003903125,3903.0,GARRETT PRI,3.0,LUFKIN ISD,7.0,ANGELINA,E,PK - PK,N,N,003903000,LUFKIN ISD,Garrett Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
