CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
057916102,57916.0,CANYON CREEK EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Canyon Creek Elementary School,A,B,A,A
057916103,57916.0,DOVER EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Dover Elementary School,D,C,F,C
057916104,57916.0,GREENWOOD HILLS EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Greenwood Hills Elementary School,C,C,D,C
057916105,57916.0,HAMILTON PARK PACESETTER MAGNET,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Hamilton Park Pacesetter Magnet,C,C,D,C
057916106,57916.0,O HENRY EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,O Henry Elementary School,C,B,D,C
057916107,57916.0,LAKE HIGHLANDS EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Lake Highlands Elementary School,B,C,C,B
057916108,57916.0,MOHAWK EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Mohawk Elementary School,A,B,B,A
057916109,57916.0,NORTHRICH EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Northrich Elementary School,C,C,F,D
057916110,57916.0,NORTHWOOD HILLS EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Northwood Hills Elementary School,C,C,F,C
057916111,57916.0,RICHARDSON HEIGHTS EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Richardson Heights Elementary School,C,C,D,C
057916112,57916.0,RICHARDSON TERRACE EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Richardson Terrace Elementary School,B,B,C,B
057916113,57916.0,SPRING VALLEY EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Spring Valley Elementary School,C,C,D,C
057916114,57916.0,STULTS ROAD EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Stults Road Elementary School,C,C,F,C
057916115,57916.0,MARK TWAIN EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Mark Twain Elementary School,C,B,C,B
057916116,57916.0,WALLACE EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Wallace Elementary School,C,C,F,D
057916117,57916.0,WHITE ROCK EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,White Rock Elementary School,A,B,C,B
057916118,57916.0,SPRING CREEK EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Spring Creek Elementary School,A,B,A,A
057916119,57916.0,DOBIE PRE-KINDERGARTEN SCHOOL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - PK,N,N,057916000,RICHARDSON ISD,Dobie Pre-Kindergarten School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
057916120,57916.0,FORESTRIDGE EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Forestridge Elementary School,C,C,C,C
057916121,57916.0,NORTHLAKE EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Northlake Elementary School,C,B,C,C
057916122,57916.0,BOWIE EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Bowie Elementary School,A,B,B,B
057916123,57916.0,PRAIRIE CREEK EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Prairie Creek Elementary School,A,A,A,A
057916124,57916.0,SPRINGRIDGE EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Springridge Elementary School,B,B,C,B
057916125,57916.0,PRESTONWOOD EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Prestonwood Elementary School,A,B,B,A
057916126,57916.0,SKYVIEW EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Skyview Elementary School,C,C,D,C
057916127,57916.0,DARTMOUTH EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Dartmouth Elementary School,C,C,D,C
057916128,57916.0,BRENTFIELD EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Brentfield Elementary School,A,B,C,A
057916129,57916.0,JESS HARBEN EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,EE - 06,N,N, , ,Jess Harben Elementary School,C,C,C,C
057916130,57916.0,RICHLAND EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Richland Elementary School,C,C,D,C
057916131,57916.0,YALE EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Yale Elementary School,B,C,C,B
057916132,57916.0,MOSS HAVEN EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Moss Haven Elementary School,A,B,C,B
057916133,57916.0,BIG SPRINGS EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Big Springs Elementary School,B,B,C,B
057916134,57916.0,MERRIMAN PARK EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Merriman Park Elementary School,B,B,C,B
057916135,57916.0,AIKIN EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Aikin Elementary School,D,C,D,C
057916137,57916.0,RISD ACAD,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Risd Acad,D,C,D,C
057916142,57916.0,MATH/SCIENCE/TECH MAGNET,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Math/Science/Tech Magnet,A,A,B,A
057916143,57916.0,FOREST LANE ACADEMY,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Forest Lane Academy,C,B,C,B
057916144,57916.0,AUDELIA CREEK EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Audelia Creek Elementary School,D,D,D,D
057916145,57916.0,CAROLYN G BUKHAIR EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,KG - 06,N,N, , ,Carolyn G Bukhair Elementary School,F,D,F,D
057916146,57916.0,THURGOOD MARSHALL EL,57.0,RICHARDSON ISD,10.0,DALLAS,E,PK - 06,N,N, , ,Thurgood Marshall Elementary School,D,C,C,C
057919001,57919.0,SUNNYVALE H S,57.0,SUNNYVALE ISD,10.0,DALLAS,S,09 - 12,N,N, , ,Sunnyvale High School,A,B,B,A
057919041,57919.0,SUNNYVALE MIDDLE,57.0,SUNNYVALE ISD,10.0,DALLAS,M,06 - 08,N,N, , ,Sunnyvale Middle School,A,B,B,A
057919101,57919.0,SUNNYVALE EL,57.0,SUNNYVALE ISD,10.0,DALLAS,E,EE - 02,N,N, , ,Sunnyvale Elementary School,A,C,C,B
057919201,57919.0,SUNNYVALE INT,57.0,SUNNYVALE ISD,10.0,DALLAS,E,03 - 05,N,N, , ,Sunnyvale Intermediate School,Not Rated,Not Rated,Not Rated,Not Rated
057922001,57922.0,COPPELL H S,57.0,COPPELL ISD,10.0,DALLAS,S,09 - 12,N,N, , ,Coppell High School,A,B,B,A
057922003,57922.0,NEW TECH H S AT COPPELL,57.0,COPPELL ISD,10.0,DALLAS,S,09 - 12,N,N, , ,New Tech H S At Coppell,A,B,B,A
057922007,57922.0,DALLAS COUNTY JJAEP,57.0,COPPELL ISD,10.0,DALLAS,S,11 - 11,N,N, , ,Dallas County JJAEP,Not Rated,Not Rated,Not Rated,Not Rated
057922042,57922.0,COPPELL MIDDLE EAST,57.0,COPPELL ISD,10.0,DALLAS,M,06 - 08,N,N, , ,Coppell Middle East,A,A,A,A
057922043,57922.0,COPPELL MIDDLE WEST,57.0,COPPELL ISD,10.0,DALLAS,M,06 - 08,N,N, , ,Coppell Middle West,A,A,A,A
057922044,57922.0,COPPELL MIDDLE NORTH,57.0,COPPELL ISD,10.0,DALLAS,M,06 - 08,N,N, , ,Coppell Middle North,A,A,A,A
057922101,57922.0,PINKERTON EL,57.0,COPPELL ISD,10.0,DALLAS,E,KG - 05,N,N, , ,Pinkerton Elementary School,A,A,A,A
057922103,57922.0,AUSTIN EL,57.0,COPPELL ISD,10.0,DALLAS,E,EE - 05,N,N, , ,Austin Elementary School,A,B,A,A
057922105,57922.0,MOCKINGBIRD EL,57.0,COPPELL ISD,10.0,DALLAS,E,KG - 05,N,N, , ,Mockingbird Elementary School,A,A,A,A
057922106,57922.0,WILSON EL,57.0,COPPELL ISD,10.0,DALLAS,E,EE - 05,N,N, , ,Wilson Elementary School,B,C,C,B
057922107,57922.0,LAKESIDE EL,57.0,COPPELL ISD,10.0,DALLAS,E,EE - 05,N,N, , ,Lakeside Elementary School,A,A,A,A
057922108,57922.0,TOWN CENTER EL,57.0,COPPELL ISD,10.0,DALLAS,E,KG - 05,N,N, , ,Town Center Elementary School,A,A,A,A
057922109,57922.0,COTTONWOOD CREEK EL,57.0,COPPELL ISD,10.0,DALLAS,E,KG - 05,N,N, , ,Cottonwood Creek Elementary School,A,B,B,A
057922110,57922.0,VALLEY RANCH EL,57.0,COPPELL ISD,10.0,DALLAS,E,KG - 05,N,N, , ,Valley Ranch Elementary School,A,A,A,A
057922111,57922.0,DENTON CREEK EL,57.0,COPPELL ISD,10.0,DALLAS,E,EE - 05,N,N, , ,Denton Creek Elementary School,A,A,A,A
057922112,57922.0,RICHARD J LEE EL,57.0,COPPELL ISD,10.0,DALLAS,E,EE - 05,N,N, , ,Richard J Lee Elementary School,A,A,A,A
057922113,57922.0,CANYON RANCH EL,57.0,COPPELL ISD,10.0,DALLAS,E,KG - 05,N,N, , ,Canyon Ranch Elementary School,Not Rated,Not Rated,Not Rated,Not Rated
058902001,58902.0,DAWSON SCHOOL,58.0,DAWSON ISD,17.0,DAWSON,B,KG - 12,N,N, , ,Dawson School,C,C,C,C
058905001,58905.0,KLONDIKE ISD,58.0,KLONDIKE ISD,17.0,DAWSON,B,PK - 12,N,N, , ,Klondike Isd,A,A,A,A
058906001,58906.0,LAMESA SCHOOLS,58.0,LAMESA ISD,17.0,DAWSON,B,EE - 12,N,N, , ,Lamesa Schools,B,A,C,B
058909001,58909.0,SANDS CISD,58.0,SANDS CISD,17.0,DAWSON,B,PK - 12,N,N, , ,Sands Cisd,A,A,B,A
059901001,59901.0,HEREFORD H S,59.0,HEREFORD ISD,16.0,DEAF SMITH,S,09 - 12,N,N, , ,Hereford High School,B,B,C,B
059901004,59901.0,HEREFORD CENTER FOR ACCELERATED LE,59.0,HEREFORD ISD,16.0,DEAF SMITH,S,09 - 12,N,Y, , ,Hereford Center For Accelerated Le,C,Not Rated,F,F
059901042,59901.0,HEREFORD J H,59.0,HEREFORD ISD,16.0,DEAF SMITH,M,06 - 07,N,N, , ,Hereford Junior High,C,B,D,C
059901043,59901.0,HEREFORD PREPARATORY ACADEMY,59.0,HEREFORD ISD,16.0,DEAF SMITH,M,08 - 08,N,N, , ,Hereford Preparatory Academy,C,B,C,B
059901101,59901.0,AIKMAN EL,59.0,HEREFORD ISD,16.0,DEAF SMITH,E,KG - 05,N,N, , ,Aikman Elementary School,C,B,C,B
059901102,59901.0,BLUEBONNET EL,59.0,HEREFORD ISD,16.0,DEAF SMITH,E,KG - 05,N,N, , ,Bluebonnet Elementary School,D,C,D,D
059901103,59901.0,WEST CENTRAL EL,59.0,HEREFORD ISD,16.0,DEAF SMITH,E,KG - 05,N,N, , ,West Central Elementary School,F,D,F,F
059901104,59901.0,NORTHWEST EL,59.0,HEREFORD ISD,16.0,DEAF SMITH,E,KG - 05,N,N, , ,Northwest Elementary School,C,C,C,C
059901107,59901.0,TIERRA BLANCA EARLY CHILDHOOD CENT,59.0,HEREFORD ISD,16.0,DEAF SMITH,E,EE - PK,N,N,059901000,HEREFORD ISD,Tierra Blanca Early Childhood Cent,Not Rated,Not Rated,Not Rated,Not Rated
059902101,59902.0,WALCOTT EL,59.0,WALCOTT ISD,16.0,DEAF SMITH,E,PK - 06,N,N, , ,Walcott Elementary School,C,C,C,C
060902001,60902.0,COOPER H S,60.0,COOPER ISD,8.0,DELTA,S,09 - 12,N,N, , ,Cooper High School,B,B,B,B
060902041,60902.0,COOPER J H,60.0,COOPER ISD,8.0,DELTA,M,06 - 08,N,N, , ,Cooper Junior High,C,B,C,B
060902101,60902.0,COOPER EL,60.0,COOPER ISD,8.0,DELTA,E,EE - 05,N,N, , ,Cooper Elementary School,C,C,D,C
060914001,60914.0,FANNINDEL H S,60.0,FANNINDEL ISD,8.0,DELTA,B,06 - 12,N,N, , ,Fannindel High School,C,B,C,B
060914102,60914.0,FANNINDEL EL,60.0,FANNINDEL ISD,8.0,DELTA,E,PK - 05,N,N, , ,Fannindel Elementary School,D,C,Not Rated,C
061802003,61802.0,NORTH TEXAS COLLEGIATE ACADEMY-SOU,61.0,NORTH TEXAS COLLEGIATE ACADEMY,11.0,DENTON,E,PK - 08,Y,N, , ,North Texas Collegiate Academy-Sou,D,D,F,D
061802004,61802.0,NORTH TEXAS COLLEGIATE ACADEMY-NOR,61.0,NORTH TEXAS COLLEGIATE ACADEMY,11.0,DENTON,E,PK - 08,Y,N, , ,North Texas Collegiate Academy-Nor,F,D,F,F
061802005,61802.0,NORTH TEXAS COLLEGIATE ACADEMY-EAS,61.0,NORTH TEXAS COLLEGIATE ACADEMY,11.0,DENTON,E,PK - 08,Y,N, , ,North Texas Collegiate Academy-Eas,F,F,F,F
061804001,61804.0,LEADERSHIP PREP SCHOOL,61.0,LEADERSHIP PREP SCHOOL,10.0,DENTON,E,KG - 04,Y,N, , ,Leadership Prep School,Not Rated,Not Rated,Not Rated,Not Rated
061804002,61804.0,LEADERSHIP PREP SCHOOL SECONDARY,61.0,LEADERSHIP PREP SCHOOL,10.0,DENTON,B,05 - 12,Y,N, , ,Leadership Prep School Secondary,A,B,B,A
061805001,61805.0,TRIVIUM ACADEMY,61.0,TRIVIUM ACADEMY,11.0,DENTON,B,KG - 09,Y,N, , ,Trivium Academy,A,C,C,B
061901002,61901.0,RYAN H S,61.0,DENTON ISD,11.0,DENTON,S,09 - 12,N,N, , ,Ryan High School,B,B,B,B
061901003,61901.0,DENTON H S,61.0,DENTON ISD,11.0,DENTON,S,09 - 12,N,N, , ,Denton High School,B,B,C,B
061901005,61901.0,LESTER DAVIS,61.0,DENTON ISD,11.0,DENTON,B,03 - 12,N,N, , ,Lester Davis,Not Rated,Not Rated,Not Rated,Not Rated
061901006,61901.0,DENTON CO J J A E P,61.0,DENTON ISD,11.0,DENTON,S,08 - 10,N,N, , ,Denton Co JJAEP,Not Rated,Not Rated,Not Rated,Not Rated
061901007,61901.0,GUYER H S,61.0,DENTON ISD,11.0,DENTON,S,09 - 12,N,N, , ,Guyer High School,A,B,B,A
061901008,61901.0,RAY BRASWELL H S,61.0,DENTON ISD,11.0,DENTON,S,09 - 12,N,N, , ,Ray Braswell High School,B,B,B,B
061901039,61901.0,FRED MOORE H S,61.0,DENTON ISD,11.0,DENTON,S,09 - 12,N,Y, , ,Fred Moore High School,D,F,Not Rated,D
061901040,61901.0,JOE DALE SPARKS CAMPUS,61.0,DENTON ISD,11.0,DENTON,S,07 - 12,N,Y, , ,Joe Dale Sparks Campus,Not Rated,Not Rated,Not Rated,Not Rated
061901041,61901.0,CROWNOVER MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,Crownover Middle School,A,C,B,B
061901044,61901.0,STRICKLAND MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,Strickland Middle School,C,B,C,C
061901045,61901.0,CALHOUN MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,Calhoun Middle School,C,B,C,B
061901046,61901.0,MCMATH MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,McMath Middle School,B,B,B,B
061901047,61901.0,NAVO MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,Navo Middle School,B,C,C,C
061901048,61901.0,HARPOOL MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,Harpool Middle School,A,B,A,A
061901049,61901.0,BETTYE MYERS MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,Bettye Myers Middle School,C,B,C,C
061901050,61901.0,RODRIGUEZ MIDDLE,61.0,DENTON ISD,11.0,DENTON,M,06 - 08,N,N, , ,Rodriguez Middle School,C,D,C,C
061901102,61901.0,HOUSTON EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Houston Elementary School,B,A,B,B
061901104,61901.0,ALICE MOORE ALEXANDER,61.0,DENTON ISD,11.0,DENTON,E,PK - 05,N,N, , ,Alice Moore Alexander,C,B,C,B
061901105,61901.0,HODGE EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Hodge Elementary School,C,B,C,B
061901106,61901.0,MCNAIR EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,McNair Elementary School,A,B,B,B
061901107,61901.0,NEWTON RAYZOR EL,61.0,DENTON ISD,11.0,DENTON,E,PK - 05,N,N, , ,Newton Rayzor Elementary School,C,B,C,C
061901108,61901.0,RIVERA EL,61.0,DENTON ISD,11.0,DENTON,E,PK - 05,N,N, , ,Rivera Elementary School,C,B,B,B
061901109,61901.0,WILSON EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Wilson Elementary School,B,B,C,B
061901110,61901.0,GINNINGS EL,61.0,DENTON ISD,11.0,DENTON,E,KG - 05,N,N, , ,Ginnings Elementary School,C,B,C,B
061901111,61901.0,BORMAN EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Borman Elementary School,C,C,C,C
061901112,61901.0,EVERS PARK EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Evers Park Elementary School,C,A,B,B
061901113,61901.0,RYAN EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Ryan Elementary School,B,A,A,A
061901114,61901.0,THE ANN WINDLE SCHOOL FOR YOUNG CH,61.0,DENTON ISD,11.0,DENTON,E,EE - PK,N,N,061901105,HODGE EL,The Ann Windle School For Young Ch,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
061901115,61901.0,EP RAYZOR EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Ep Rayzor Elementary School,A,B,B,B
061901116,61901.0,PECAN CREEK EL,61.0,DENTON ISD,11.0,DENTON,E,KG - 05,N,N, , ,Pecan Creek Elementary School,B,B,B,B
061901117,61901.0,PROVIDENCE EL,61.0,DENTON ISD,11.0,DENTON,E,PK - 05,N,N, , ,Providence Elementary School,B,B,A,B
061901118,61901.0,HAWK EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Hawk Elementary School,A,A,A,A
061901119,61901.0,SAVANNAH EL,61.0,DENTON ISD,11.0,DENTON,E,PK - 05,N,N, , ,Savannah Elementary School,B,B,B,B
061901120,61901.0,PALOMA CREEK EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Paloma Creek Elementary School,C,C,C,C
061901121,61901.0,NELSON EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Nelson Elementary School,B,A,A,A
061901122,61901.0,BLANTON EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Blanton Elementary School,A,A,A,A
061901123,61901.0,STEPHENS EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Stephens Elementary School,B,B,A,A
061901124,61901.0,EMILIO & GUADALUPE GONZALEZ PRE-K,61.0,DENTON ISD,11.0,DENTON,E,EE - PK,N,N,061901109,WILSON EL,Emilio & Guadalupe Gonzalez Pre-K,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
061901125,61901.0,CROSS OAKS EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Cross Oaks Elementary School,C,C,B,C
061901126,61901.0,DOROTHY P ADKINS EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Dorothy P Adkins Elementary School,A,C,B,A
061901127,61901.0,CATHERINE BELL EL,61.0,DENTON ISD,11.0,DENTON,E,EE - 05,N,N, , ,Catherine Bell Elementary School,C,C,C,C
061901128,61901.0,UNION PARK EL,61.0,DENTON ISD,11.0,DENTON,E,PK - 05,N,N, , ,Union Park Elementary School,Not Rated,Not Rated,Not Rated,Not Rated
061902001,61902.0,LEWISVILLE H S,61.0,LEWISVILLE ISD,11.0,DENTON,S,09 - 12,N,N, , ,Lewisville High School,B,B,B,B
061902002,61902.0,MARCUS H S,61.0,LEWISVILLE ISD,11.0,DENTON,S,09 - 12,N,N, , ,Marcus High School,A,B,A,A
061902004,61902.0,THE COLONY H S,61.0,LEWISVILLE ISD,11.0,DENTON,S,09 - 12,N,N, , ,The Colony High School,A,B,B,A
061902005,61902.0,LEARNING CTR,61.0,LEWISVILLE ISD,11.0,DENTON,B,01 - 12,N,Y, , ,Learning Center,C,B,F,D
061902007,61902.0,DENTON CO J J A E P,61.0,LEWISVILLE ISD,11.0,DENTON,S,09 - 12,N,N, , ,Denton Co JJAEP,Not Rated,Not Rated,Not Rated,Not Rated
061902008,61902.0,HEBRON H S,61.0,LEWISVILLE ISD,11.0,DENTON,S,09 - 12,N,N, , ,Hebron High School,A,B,B,A
061902010,61902.0,FLOWER MOUND H S,61.0,LEWISVILLE ISD,11.0,DENTON,S,09 - 12,N,N, , ,Flower Mound High School,A,B,B,A
061902042,61902.0,HEDRICK MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Hedrick Middle School,C,B,D,C
061902044,61902.0,GRIFFIN MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Griffin Middle School,B,B,C,C
061902045,61902.0,LAMAR MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Lamar Middle School,A,B,B,A
061902046,61902.0,LAKEVIEW MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Lakeview Middle School,C,D,F,D
061902047,61902.0,ARBOR CREEK MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Arbor Creek Middle School,A,B,B,B
061902048,61902.0,FORESTWOOD MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Forestwood Middle School,A,C,B,A
061902049,61902.0,BRIARHILL MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Briarhill Middle School,A,C,B,B
061902050,61902.0,DELAY MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Delay Middle School,D,C,C,C
061902052,61902.0,HUFFINES MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Huffines Middle School,C,D,F,D
061902053,61902.0,MCKAMY MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,McKamy Middle School,A,A,A,A
061902054,61902.0,CREEK VALLEY MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Creek Valley Middle School,B,C,C,B
061902055,61902.0,CLAYTON DOWNING MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Clayton Downing Middle School,A,B,B,A
061902056,61902.0,MARSHALL DURHAM MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Marshall Durham Middle School,D,C,F,D
061902058,61902.0,SHADOW RIDGE MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Shadow Ridge Middle School,A,B,B,A
061902059,61902.0,KILLIAN MIDDLE,61.0,LEWISVILLE ISD,11.0,DENTON,M,06 - 08,N,N, , ,Killian Middle School,A,B,B,A
061902101,61902.0,CENTRAL EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,PK - 05,N,N, , ,Central Elementary School,F,D,D,D
061902104,61902.0,LAKELAND EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,KG - 05,N,N, , ,Lakeland Elementary School,F,C,C,C
061902106,61902.0,DEGAN EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Degan Elementary School,C,C,C,C
061902107,61902.0,CAMEY EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Camey Elementary School,C,B,C,C
061902108,61902.0,TIMBER CREEK EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Timber Creek Elementary School,A,B,A,A
061902109,61902.0,PETERS COLONY EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,PK - 05,N,N, , ,Peters Colony Elementary School,C,B,C,B
061902110,61902.0,HIGHLAND VILLAGE EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,KG - 05,N,N, , ,Highland Village Elementary School,A,B,A,A
061902111,61902.0,STEWARTS CREEK EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Stewarts Creek Elementary School,D,D,D,D
061902112,61902.0,FLOWER MOUND EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Flower Mound Elementary School,A,C,B,A
061902113,61902.0,INDIAN CREEK EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Indian Creek Elementary School,B,C,C,C
061902114,61902.0,MCAULIFFE EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,McAuliffe Elementary School,A,C,C,B
061902115,61902.0,B B OWEN EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,B B Owen Elementary School,C,C,C,C
061902116,61902.0,CREEKSIDE EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,KG - 05,N,N, , ,Creekside Elementary School,C,B,C,B
061902117,61902.0,DONALD EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Donald Elementary School,A,C,C,B
061902118,61902.0,HEBRON VALLEY EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Hebron Valley Elementary School,A,B,B,B
061902119,61902.0,ETHRIDGE EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,KG - 05,N,N, , ,Ethridge Elementary School,B,B,B,B
061902120,61902.0,GARDEN RIDGE EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,EE - 05,N,N, , ,Garden Ridge Elementary School,A,A,A,A
061902121,61902.0,MORNINGSIDE EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,KG - 05,N,N, , ,Morningside Elementary School,B,B,B,B
061902122,61902.0,HERITAGE EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,PK - 05,N,N, , ,Heritage Elementary School,A,C,B,A
061902123,61902.0,OLD SETTLERS EL,61.0,LEWISVILLE ISD,11.0,DENTON,E,KG - 05,N,N, , ,Old Settlers Elementary School,A,A,A,A
