DISTRICT,CNTYNAME,COUNTY,DA0GS21R,DAD_POST,DASC4X21R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_RATING,REGION,REGNNAME
55901,CULBERSON,55,., ,.,35,60,91,98,100,100,B,83,75,B,85,63,A,90,A,90,56,C,76,86,N,N, ,N,Y,CULBERSON COUNTY-ALLAMOORE ISD,.,.,360,0,0.0,294,81.7,22,6.1,.,.,39,10.8,.,.,.,.,.,.,.,B,18,REGION 18: MIDLAND
56901,DALLAM,56,99.1,0,99.1,42,73,81,95,100,100,B,87,72,B,84,62,A,92,B,89,50,C,76,85,N,N,N,N,N,DALHART ISD,1200,69.9,1717,0,0.0,1152,67.1,507,29.5,0,0,149,8.7,0,0,.,.,.,.,.,B,16,REGION 16: AMARILLO
56902,DALLAM,56,., ,.,57,86,64,91,100,100,A,91,72,B,82,61,B,87,B,87,100,A,100,94,N,N, ,N,Y,TEXLINE ISD,.,.,213,0,0.0,123,57.7,42,19.7,.,.,25,11.7,.,.,.,.,.,.,.,A,16,REGION 16: AMARILLO
57802,DALLAS,57,., ,.,34,59,72,93,100,100,B,81,73,B,83,53,B,85,B,85,67,C,79,83,N,Y, ,N,Y,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,.,.,486,0,0.0,427,87.9,126,25.9,.,.,63,13.0,.,.,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57803,DALLAS,57,98.3,0,98.4,41,71,85,96,98.9,95,B,86,75,B,89,63,A,92,B,89,63,B,80,86,N,Y,N,N,N,UPLIFT EDUCATION,16224,73.1,22183,0,0.0,16175,72.9,7306,32.9,0,0,1760,7.9,577,2.6,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57804,DALLAS,57,54.7, ,69.5,23,73,23,91,52.7,65,C,79,66,B,88,.,Not Rated,.,B,88,3,Not Rated: SB 1365,62,84,Y,Y,N,N,N,TEXANS CAN ACADEMIES,5037,100,5037,0,0.0,4641,92.1,1580,31.4,0,0,487,9.7,0,0,4,70,3,41,1,B,10,REGION 10: RICHARDSON
57805,DALLAS,57,., ,.,48,76,.,.,.,.,C,76,.,Not Rated,.,48,B,81,B,81,.,Not Rated,.,81,N,Y, ,N,Y,LUMIN EDUCATION,.,.,250,.,0.0,175,70.0,106,42.4,.,.,23,9.2,.,.,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57806,DALLAS,57,., ,.,22,49,24,58,100,100,Not Rated: SB 1365,63,64,C,72,23,Not Rated: SB 1365,54,C,72,10,Not Rated: SB 1365,59,68,N,Y, ,N,Y,ADVANTAGE ACADEMY,.,.,1138,0,0.0,967,85.0,262,23.0,.,.,88,7.7,.,.,.,.,.,.,.,Not Rated: SB 1365,10,REGION 10: RICHARDSON
57807,DALLAS,57,93.2,0,93.4,41,71,81,95,100,100,B,86,75,B,89,61,A,91,B,89,71,B,83,87,N,Y,N,N,N,LIFE SCHOOL,4205,75.7,5558,0,0.0,3629,65.3,563,10.1,0,0,672,12.1,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57808,DALLAS,57,100,0,100,62,91,55,83,100,100,A,90,81,A,92,59,C,79,A,92,85,B,88,91,N,Y,N,N,N,UNIVERSAL ACADEMY,1161,56.5,2055,0,0.0,626,30.5,1004,48.9,0,0,69,3.4,0,0,.,.,.,.,.,A,10,REGION 10: RICHARDSON
57809,DALLAS,57,., ,.,32,57,.,.,.,.,Not Rated: SB 1365,57,63,Not Rated: SB 1365,59,32,Not Rated: SB 1365,60,Not Rated: SB 1365,60,.,Not Rated,.,60,N,Y, ,N,Y,NOVA ACADEMY,.,.,124,0,0.0,122,98.4,14,11.3,.,.,1,0.8,.,.,.,.,.,.,.,Not Rated: SB 1365,10,REGION 10: RICHARDSON
57810,DALLAS,57,., ,.,22,49,.,.,.,.,Not Rated: SB 1365,49,71,C,74,22,Not Rated: SB 1365,51,C,74,31,Not Rated: SB 1365,63,71,N,Y, ,N,Y,ACADEMY OF DALLAS,.,.,245,0,0.0,243,99.2,22,9.0,.,.,7,2.9,.,.,.,.,.,.,.,C,10,REGION 10: RICHARDSON
57813,DALLAS,57,.,0,.,41,71,.,.,.,.,C,71,75,B,89,41,B,84,B,89,50,C,76,85,N,Y,N,N,N,TRINITY BASIN PREPARATORY,2309,54.8,4211,0,0.0,3836,91.1,2374,56.4,0,0,436,10.4,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57814,DALLAS,57,., ,.,18,65,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,.,Y,Y,N,Y,N,ACADEMY FOR ACADEMIC EXCELLENCE,297,100,297,0,0.0,297,100.0,51,17.2,0,0,83,27.9,0,0,0,.,0,36,0,Not Rated,10,REGION 10: RICHARDSON
57816,DALLAS,57,., ,.,31,56,.,.,.,.,Not Rated: SB 1365,56,76,A,90,31,Not Rated: SB 1365,65,B,89,21,Not Rated: SB 1365,64,82,N,Y,N,N,N,A W BROWN LEADERSHIP ACADEMY,414,38.8,1067,0,0.0,916,85.8,8,0.7,0,0,58,5.4,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57819,DALLAS,57,., ,.,44,72,38,69,100,100,C,76,82,A,91,41,C,75,A,91,41,C,73,86,N,Y, ,N,Y,JEAN MASSIEU ACADEMY,.,.,202,0,0.0,162,80.2,107,53.0,.,.,12,5.9,.,.,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57827,DALLAS,57,., ,.,39,69,.,.,.,.,Not Rated: SB 1365,69,79,A,91,39,B,82,A,91,56,C,78,87,N,Y,N,N,N,NOVA ACADEMY SOUTHEAST,308,57.6,535,0,0.0,500,93.5,163,30.5,0,0,28,5.2,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57828,DALLAS,57,50, ,63.7,33,84,22,90,77.3,70,B,84,47,Not Rated: SB 1365,68,.,Not Rated,.,Not Rated: SB 1365,68,3,Not Rated: SB 1365,62,81,Y,Y,N,N,N,WINFREE ACADEMY CHARTER SCHOOLS,1068,100,1068,0,0.0,630,59.0,179,16.8,0,0,122,11.4,0,0,4,64,2,48,2,Not Rated: Data Under Review,10,REGION 10: RICHARDSON
57829,DALLAS,57,96.7,0,96.7,31,56,41,71,100,100,C,71,65,Not Rated: SB 1365,69,36,C,71,C,71,29,C,70,71,N,Y,N,N,N,A+ ACADEMY,1120,72.2,1551,0,0.0,1438,92.7,793,51.1,0,0,147,9.5,0,0,.,.,.,.,.,C,10,REGION 10: RICHARDSON
57830,DALLAS,57,88.8,0,88.6,28,54,36,67,98.8,95,Not Rated: SB 1365,67,63,Not Rated: SB 1365,60,32,Not Rated: SB 1365,65,Not Rated: SB 1365,65,10,Not Rated: SB 1365,51,62,N,Y,N,N,N,INSPIRED VISION ACADEMY,940,74,1271,0,0.0,1215,95.6,665,52.3,0,0,125,9.8,0,0,.,.,.,.,.,Not Rated: SB 1365,10,REGION 10: RICHARDSON
57831,DALLAS,57,73.8, ,73.8,35,60,90,98,100,100,B,83,79,A,91,63,A,92,A,92,61,C,79,88,N,Y,N,N,N,GATEWAY CHARTER ACADEMY,333,50.9,654,0,0.0,487,74.5,0,0.0,0,0,31,4.7,0,0,.,.,.,.,.,Not Rated: Data Under Review,10,REGION 10: RICHARDSON
57833,DALLAS,57,.,0,.,36,62,.,.,.,.,Not Rated: SB 1365,62,65,Not Rated: SB 1365,69,36,Not Rated: SB 1365,57,Not Rated: SB 1365,69,31,C,71,70,N,Y,N,N,N,EDUCATION CENTER INTERNATIONAL ACADEMY,236,47.1,501,0,0.0,265,52.9,36,7.2,0,0,53,10.6,0,0,.,.,.,.,.,C,10,REGION 10: RICHARDSON
57834,DALLAS,57,79.6, ,89.4,28,79,71,96,83.4,75,B,85,60,C,79,.,Not Rated,.,C,79,47,A,92,93,Y,Y,N,N,N,EVOLUTION ACADEMY CHARTER SCHOOL,669,100,669,0,0.0,450,67.3,56,8.4,0,0,53,7.9,0,0,6,89,4,48,2,Not Rated: Data Under Review,10,REGION 10: RICHARDSON
57835,DALLAS,57,.,0,.,43,74,.,.,100,100,C,74,67,C,73,43,B,89,B,89,59,C,78,86,N,Y,N,N,N,GOLDEN RULE CHARTER SCHOOL,798,51.3,1557,0,0.0,1557,100.0,903,58.0,0,0,117,7.5,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57836,DALLAS,57,., ,.,43,74,.,.,.,.,C,74,87,A,95,43,B,87,A,95,56,C,78,90,N,Y,N,N,N,ST ANTHONY SCHOOL,216,68.4,316,0,0.0,293,92.7,0,0.0,0,0,0,0.0,0,0,.,.,.,.,.,A,10,REGION 10: RICHARDSON
57839,DALLAS,57,., ,.,41,71,.,.,.,.,C,71,74,B,87,41,B,84,B,87,54,C,77,84,N,Y,N,N,N,LA ACADEMIA DE ESTRELLAS,558,56.6,985,0,0.0,879,89.2,686,69.6,0,0,116,11.8,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57840,DALLAS,57,., ,.,68,92,100,100,100,100,A,97,.,Not Rated,.,84,B,82,B,82,.,Not Rated,.,97,N,Y, ,N,Y,RICHLAND COLLEGIATE HIGH SCHOOL,.,.,336,0,0.0,10,3.0,31,9.2,.,.,0,0.0,.,.,.,.,.,.,.,A,10,REGION 10: RICHARDSON
57841,DALLAS,57,., ,.,24,50,.,.,.,.,Not Rated: SB 1365,50,66,C,70,24,Not Rated: SB 1365,55,C,70,18,Not Rated: SB 1365,62,68,N,Y,N,N,N,CITYSCAPE SCHOOLS,583,46.4,1256,0,0.0,1151,91.6,724,57.6,0,0,117,9.3,0,0,.,.,.,.,.,Not Rated: SB 1365,10,REGION 10: RICHARDSON
57844,DALLAS,57,81,0,84.2,38,67,57,86,90.5,65,C,74,80,A,92,48,B,80,A,92,66,B,81,89,N,Y,N,N,N,MANARA ACADEMY,360,66.5,541,0,0.0,331,61.2,241,44.5,0,0,37,6.8,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57845,DALLAS,57,84.5,0,83.1,57,87,55,83,100,100,B,88,79,A,91,56,B,82,A,91,84,B,88,90,N,Y,N,N,N,UME PREPARATORY ACADEMY,1020,74.7,1365,0,0.0,587,43.0,125,9.2,0,0,84,6.2,0,0,.,.,.,.,.,A,10,REGION 10: RICHARDSON
57846,DALLAS,57,96.9,0,95.4,33,58,46,75,98.5,95,C,72,79,A,91,40,C,75,A,91,46,C,75,86,N,Y,N,N,N,LEGACY PREPARATORY,1186,81,1464,0,0.0,1170,79.9,610,41.7,0,0,119,8.1,586,40,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57847,DALLAS,57,., ,.,37,64,55,86,100,100,B,80,63,C,70,46,C,72,C,72,53,C,76,79,N,Y, ,N,Y,VILLAGE TECH SCHOOLS,.,.,1232,.,0.0,573,46.5,37,3.0,.,.,96,7.8,.,.,.,.,.,.,.,C,10,REGION 10: RICHARDSON
57848,DALLAS,57,91.7,0,92.5,38,67,77,94,99.7,95,B,83,73,B,85,58,A,90,B,89,56,C,78,86,N,Y,N,N,N,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),14945,72.8,20535,0,0.0,12629,61.5,6779,33.0,0,0,1308,6.4,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57850,DALLAS,57,100,0,.,46,78,48,76,100,100,B,82,70,B,80,47,C,78,B,80,61,C,79,81,N,Y,N,N,N,PIONEER TECHNOLOGY & ARTS ACADEMY,1678,75.4,2226,0,0.0,1257,56.5,399,17.9,456,20.5,164,7.4,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57851,DALLAS,57,., ,.,28,54,.,.,.,.,Not Rated: SB 1365,54,77,B,83,28,Not Rated: SB 1365,52,B,83,.,Not Rated,.,83,N,Y, ,N,Y,BRIDGEWAY PREPARATORY ACADEMY,.,.,96,.,0.0,59,61.5,33,34.4,.,.,19,19.8,.,.,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57903,DALLAS,57,79.1,0,81.6,45,76,68,92,97.4,90,B,85,75,B,89,57,A,90,A,90,73,B,84,88,N,N,N,N,N,CARROLLTON-FARMERS BRANCH ISD,17687,71.1,24888,250,1.0,15821,63.6,8725,35.1,0,0,3467,13.9,503,2,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57904,DALLAS,57,90.1,0,90.6,36,62,40,71,97.5,90,C,71,66,C,70,38,Not Rated: SB 1365,69,C,70,26,Not Rated: SB 1365,68,70,N,N,N,N,N,CEDAR HILL ISD,5631,79.2,7112,134,1.9,4671,65.7,579,8.1,0,0,566,8.0,0,0,.,.,.,.,.,C,10,REGION 10: RICHARDSON
57905,DALLAS,57,83.4,0,85.7,42,73,59,89,88.5,65,C,78,73,B,85,51,B,89,B,89,56,C,78,86,N,N,N,N,N,DALLAS ISD,101482,70.8,143430,2097,1.5,122040,85.1,68250,47.6,5947,4.1,14316,10.0,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57906,DALLAS,57,80.3,0,81.4,35,60,47,76,94.3,80,C,70,74,B,87,41,C,75,B,87,38,C,73,83,N,N,N,N,N,DESOTO ISD,5821,79.3,7339,342,4.7,5294,72.1,655,8.9,0,0,711,9.7,1141,15.5,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57907,DALLAS,57,89.1,0,91.4,38,67,44,73,96.8,90,C,74,73,B,85,41,C,76,B,85,45,C,75,82,N,N,N,N,N,DUNCANVILLE ISD,9520,79.7,11944,352,2.9,9302,77.9,2725,22.8,426,3.6,1208,10.1,463,3.9,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57909,DALLAS,57,82.7,0,83.8,45,76,79,95,96.2,90,B,86,75,B,89,62,A,92,B,89,71,B,83,87,N,N,N,N,N,GARLAND ISD,40304,76.1,52960,461,0.9,39220,74.1,19458,36.7,1126,2.1,5428,10.2,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57910,DALLAS,57,89.5, ,91.4,42,73,51,78,94.3,80,C,76,73,B,85,47,B,83,B,85,50,C,76,82,N,N,N,N,N,GRAND PRAIRIE ISD,20643,75.7,27284,655,2.4,20281,74.3,9279,34.0,16,0.1,2620,9.6,1112,4.1,.,.,.,.,.,Not Rated: Data Under Review,10,REGION 10: RICHARDSON
57911,DALLAS,57,95.8,0,97.2,76,94,91,98,100,100,A,97,76,A,90,84,B,88,A,90,100,A,100,98,N,N,N,N,N,HIGHLAND PARK ISD,5246,78.7,6666,0,0.0,13,0.2,73,1.1,0,0,682,10.2,0,0,.,.,.,.,.,A,10,REGION 10: RICHARDSON
57912,DALLAS,57,79.2,0,81.2,36,62,53,80,96,90,C,75,75,B,89,45,B,82,B,89,39,C,73,84,N,N,N,N,N,IRVING ISD,23445,72.5,32339,183,0.6,27894,86.3,15723,48.6,0,0,2699,8.3,813,2.5,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57913,DALLAS,57,96.9,0,97.1,38,67,71,93,100,100,B,84,74,B,87,55,A,91,A,91,64,B,81,88,N,N,N,N,N,LANCASTER ISD,5174,74.1,6978,304,4.4,5807,83.2,698,10.0,0,0,637,9.1,1871,26.8,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57914,DALLAS,57,78.9,0,80.3,43,74,60,90,95.9,85,B,83,73,B,85,52,B,89,B,89,52,C,76,85,N,N,N,N,N,MESQUITE ISD,29405,76.8,38311,0,0.0,30546,79.7,11895,31.0,0,0,4838,12.6,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57916,DALLAS,57,80.1,0,82.4,50,82,55,83,93.1,75,B,81,73,B,85,53,B,85,B,85,68,B,82,84,N,N,N,N,N,RICHARDSON ISD,27146,72.7,37358,0,0.0,20892,55.9,10462,28.0,1069,2.9,4942,13.2,3411,9.1,.,.,.,.,.,B,10,REGION 10: RICHARDSON
57919,DALLAS,57,89,0,88.7,64,91,80,95,100,100,A,94,76,A,90,72,B,85,A,90,91,A,92,93,N,N,N,N,N,SUNNYVALE ISD,1621,77,2104,0,0.0,341,16.2,170,8.1,0,0,286,13.6,0,0,.,.,.,.,.,A,10,REGION 10: RICHARDSON
57922,DALLAS,57,95.5,0,95.5,74,94,80,95,99.6,95,A,95,83,A,93,77,B,83,A,93,100,A,100,97,N,N,N,N,N,COPPELL ISD,10304,78.6,13107,0,0.0,1161,8.9,2063,15.7,0,0,1128,8.6,0,0,.,.,.,.,.,A,10,REGION 10: RICHARDSON
58902,DAWSON,58,., ,.,29,55,.,.,100,100,Not Rated: SB 1365,55,56,Not Rated: SB 1365,60,29,Not Rated: SB 1365,58,Not Rated: SB 1365,60,6,Not Rated: SB 1365,47,56,N,N, ,N,Y,DAWSON ISD,.,.,149,0,0.0,108,72.5,24,16.1,.,.,11,7.4,.,.,.,.,.,.,.,Not Rated: SB 1365,17,REGION 17: LUBBOCK
58905,DAWSON,58,., ,.,74,94,82,96,100,100,A,96,78,B,88,78,B,87,B,88,100,A,100,97,N,N, ,N,Y,KLONDIKE ISD,.,.,259,0,0.0,58,22.4,15,5.8,.,.,20,7.7,.,.,.,.,.,.,.,A,17,REGION 17: LUBBOCK
58906,DAWSON,58,., ,.,30,56,73,93,100,100,B,80,59,Not Rated: SB 1365,65,52,B,84,B,84,46,C,74,81,N,N, ,N,Y,LAMESA ISD,.,.,1602,.,0.0,1345,84.0,77,4.8,.,.,217,13.5,.,.,.,.,.,.,.,B,17,REGION 17: LUBBOCK
58909,DAWSON,58,., ,.,59,89,84,96,100,100,A,94,74,B,84,72,A,92,A,92,100,A,100,96,N,N, ,N,Y,SANDS CISD,.,.,246,0,0.0,155,63.0,31,12.6,.,.,26,10.6,.,.,.,.,.,.,.,A,17,REGION 17: LUBBOCK
59901,DEAF SMITH,59,43.6,0,43.2,39,69,36,67,93.2,75,Not Rated: SB 1365,69,61,Not Rated: SB 1365,59,38,C,73,C,73,37,C,72,73,N,N,N,N,N,HEREFORD ISD,2871,72.6,3953,0,0.0,3087,78.1,946,23.9,0,0,452,11.4,0,0,.,.,.,.,.,C,16,REGION 16: AMARILLO
59902,DEAF SMITH,59,., ,.,58,88,.,.,.,.,B,88,86,A,92,58,B,86,A,92,100,A,100,94,N,N, ,N,Y,WALCOTT ISD,.,.,152,0,0.0,85,55.9,17,11.2,.,.,21,13.8,.,.,.,.,.,.,.,A,16,REGION 16: AMARILLO
60902,DELTA,60,92.2,0,95.2,43,74,73,93,98.3,95,B,86,70,B,80,58,A,91,B,89,56,C,78,86,N,N,N,N,N,COOPER ISD,589,69.5,847,0,0.0,561,66.2,27,3.2,0,0,102,12.0,0,0,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
60914,DELTA,60,92.3,0,91.7,27,53,69,92,100,100,C,78,71,B,82,48,B,86,B,86,44,C,74,82,N,N,N,N,N,FANNINDEL ISD,104,70.3,148,0,0.0,132,89.2,11,7.4,0,0,36,24.3,0,0,.,.,.,.,.,B,8,REGION 08: MT PLEASANT
61802,DENTON,61,.,0,.,38,67,.,.,.,.,Not Rated: SB 1365,67,68,C,76,38,B,80,B,80,40,C,73,78,N,Y,N,N,N,NORTH TEXAS COLLEGIATE ACADEMY,310,44.6,695,0,0.0,674,97.0,295,42.4,0,0,76,10.9,0,0,.,.,.,.,.,C,11,REGION 11: FORT WORTH
61804,DENTON,61,63.8,0,.,52,83,70,93,100,100,A,90,68,C,76,61,Not Rated: SB 1365,59,C,76,62,B,80,87,N,Y,N,N,N,LEADERSHIP PREP SCHOOL,1045,77.8,1344,0,0.0,51,3.8,76,5.7,0,0,112,8.3,0,0,.,.,.,.,.,B,10,REGION 10: RICHARDSON
61805,DENTON,61,., ,.,60,90,.,.,100,100,A,90,73,B,83,60,Not Rated: SB 1365,58,B,83,84,B,85,89,N,Y, ,N,Y,TRIVIUM ACADEMY,.,.,553,0,0.0,21,3.8,56,10.1,.,.,67,12.1,.,.,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61901,DENTON,61,86.3,0,87.5,47,79,62,91,98.6,95,B,87,71,B,82,55,B,84,B,84,74,B,84,86,N,N,N,N,N,DENTON ISD,23664,74.5,31771,0,0.0,15649,49.3,5321,16.7,0,0,4025,12.7,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61902,DENTON,61,84.4,0,85.9,59,89,66,92,97.5,90,B,89,76,A,90,63,B,85,B,89,90,B,89,89,N,N,N,N,N,LEWISVILLE ISD,38151,77.7,49113,0,0.0,16485,33.6,9613,19.6,0,0,8061,16.4,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61903,DENTON,61,92.6,0,92.5,47,79,58,88,100,100,B,87,68,C,76,53,C,79,C,79,78,B,86,87,N,N,N,N,N,PILOT POINT ISD,1074,75.1,1430,0,0.0,638,44.6,427,29.9,0,0,168,11.7,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61905,DENTON,61,94.4,0,95.4,49,81,56,85,99.2,95,B,85,68,C,76,53,C,73,C,76,61,C,79,83,N,N,N,N,N,KRUM ISD,1658,74.8,2217,0,0.0,727,32.8,310,14.0,0,0,347,15.7,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61906,DENTON,61,85.9,0,86.8,52,83,52,79,100,100,B,85,76,A,90,52,C,74,A,90,76,B,85,89,N,N,N,N,N,PONDER ISD,1194,75.9,1574,0,0.0,575,36.5,207,13.2,0,0,172,10.9,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61907,DENTON,61,85.1,0,84.3,53,84,73,93,99.5,95,A,90,69,C,79,63,B,85,B,85,82,B,87,89,N,N,N,N,N,AUBREY ISD,2301,74.2,3101,0,0.0,1002,32.3,198,6.4,0,0,370,11.9,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61908,DENTON,61,84.7,0,86.2,52,83,59,89,96.6,90,B,87,75,B,89,56,B,85,B,89,65,B,81,87,N,N,N,N,N,SANGER ISD,2015,73.4,2746,0,0.0,1344,48.9,262,9.5,0,0,388,14.1,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61910,DENTON,61,91.4,0,92.1,71,93,76,94,100,100,A,95,78,A,91,74,C,78,A,91,100,A,100,97,N,N,N,N,N,ARGYLE ISD,3342,77.5,4314,0,0.0,252,5.8,163,3.8,0,0,435,10.1,0,0,.,.,.,.,.,A,11,REGION 11: FORT WORTH
61911,DENTON,61,92.5,0,92.9,56,87,76,94,97,90,B,89,73,B,85,66,B,82,B,85,88,B,89,89,N,N,N,N,N,NORTHWEST ISD,20926,76.2,27479,236,0.9,6501,23.7,2176,7.9,0,0,3486,12.7,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61912,DENTON,61,98.1,0,97.7,47,79,56,85,98.5,95,B,85,71,B,82,52,C,78,B,82,56,C,78,83,N,N,N,N,N,LAKE DALLAS ISD,3079,77,3999,0,0.0,1763,44.1,470,11.8,0,0,496,12.4,0,0,.,.,.,.,.,B,11,REGION 11: FORT WORTH
61914,DENTON,61,91.6,0,93,45,76,51,78,98.6,95,B,81,67,C,73,48,C,74,C,74,46,C,75,79,N,N,N,N,N,LITTLE ELM ISD,6274,76.1,8245,0,0.0,3751,45.5,1650,20.0,0,0,847,10.3,0,0,.,.,.,.,.,C,11,REGION 11: FORT WORTH
62901,DEWITT,62,76.4, ,78.9,47,79,92,98,100,100,A,91,70,B,80,70,A,93,A,93,67,B,82,90,N,N,N,N,N,CUERO ISD,1496,77.9,1920,0,0.0,1213,63.2,74,3.9,0,0,319,16.6,0,0,.,.,.,.,.,Not Rated: Data Under Review,3,REGION 03: VICTORIA
62902,DEWITT,62,., ,.,48,76,46,78,100,100,B,82,76,B,86,47,C,78,B,86,45,C,74,82,N,N, ,N,Y,NORDHEIM ISD,.,.,148,0,0.0,89,60.1,0,0.0,.,.,15,10.1,.,.,.,.,.,.,.,B,3,REGION 03: VICTORIA
62903,DEWITT,62,93.4,0,94,52,83,51,78,100,100,B,84,72,B,84,52,B,88,B,88,81,B,87,88,N,N,N,N,N,YOAKUM ISD,1086,72.6,1496,0,0.0,1096,73.3,274,18.3,0,0,251,16.8,0,0,.,.,.,.,.,B,3,REGION 03: VICTORIA
62904,DEWITT,62,87.1,0,89.3,38,67,48,76,100,100,C,77,68,C,76,43,C,74,C,76,28,Not Rated: SB 1365,69,75,N,N,N,N,N,YORKTOWN ISD,398,74.4,535,0,0.0,319,59.6,10,1.9,0,0,55,10.3,0,0,.,.,.,.,.,C,3,REGION 03: VICTORIA
62905,DEWITT,62,., ,.,65,91,.,.,.,.,A,91,75,B,80,65,A,91,A,91,.,Not Rated,.,91,N,N, ,N,Y,WESTHOFF ISD,.,.,71,0,0.0,37,52.1,3,4.2,.,.,2,2.8,.,.,.,.,.,.,.,A,3,REGION 03: VICTORIA
62906,DEWITT,62,., ,.,64,91,.,.,.,.,A,91,80,B,88,64,B,85,B,88,100,A,100,94,N,N, ,N,Y,MEYERSVILLE ISD,.,.,144,.,0.0,54,37.5,1,0.7,.,.,10,6.9,.,.,.,.,.,.,.,A,3,REGION 03: VICTORIA
63903,DICKENS,63,., ,.,50,77,90,98,100,100,A,90,66,C,75,70,A,91,A,91,72,B,81,88,N,N, ,N,Y,SPUR ISD,.,.,221,0,0.0,121,54.8,0,0.0,.,.,42,19.0,.,.,.,.,.,.,.,B,17,REGION 17: LUBBOCK
63906,DICKENS,63,., ,.,54,82,93,98,100,100,A,92,86,A,93,74,A,93,A,93,100,A,100,95,N,N, ,N,Y,PATTON SPRINGS ISD,.,.,86,0,0.0,69,80.2,3,3.5,.,.,20,23.3,.,.,.,.,.,.,.,A,17,REGION 17: LUBBOCK
64903,DIMMIT,64,91.2,0,89.3,38,67,62,91,94.6,80,C,79,73,B,85,50,B,87,B,87,56,C,78,84,N,N,N,N,N,CARRIZO SPRINGS CISD,1464,76.3,1920,0,0.0,1487,77.4,104,5.4,0,0,178,9.3,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
65901,DONLEY,65,90.5,0,90.5,56,87,33,64,100,100,B,80,74,B,87,45,C,70,B,87,56,C,78,84,N,N,N,N,N,CLARENDON ISD,327,71.7,456,0,0.0,212,46.5,1,0.2,0,0,69,15.1,0,0,.,.,.,.,.,B,16,REGION 16: AMARILLO
65902,DONLEY,65,., ,.,52,79,92,98,100,100,A,91,68,C,78,72,A,93,A,93,100,A,100,95,N,N, ,N,Y,HEDLEY ISD,.,.,124,0,0.0,105,84.7,2,1.6,.,.,30,24.2,.,.,.,.,.,.,.,A,16,REGION 16: AMARILLO
66005,DUVAL,66,., ,.,34,59,.,.,.,.,Not Rated: SB 1365,59,71,C,74,34,Not Rated: SB 1365,66,C,74,.,Not Rated,.,74,N,N, ,N,Y,RAMIREZ CSD,.,.,26,.,0.0,25,96.2,6,23.1,.,.,3,11.5,.,.,.,.,.,.,.,C,2,REGION 02: CORPUS CHRISTI
66901,DUVAL,66,96,0,80,36,62,32,63,100,100,C,70,69,C,79,34,Not Rated: SB 1365,68,C,79,28,Not Rated: SB 1365,69,76,N,N,N,N,N,BENAVIDES ISD,173,74.2,233,0,0.0,208,89.3,6,2.6,0,0,29,12.4,0,0,.,.,.,.,.,C,2,REGION 02: CORPUS CHRISTI
