DISTRICT,CNTYNAME,COUNTY,DA0GS21R,DAD_POST,DASC4X21R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_RATING,REGION,REGNNAME
15904,BEXAR,15,83.3,0,83.8,37,65,52,79,95.1,85,C,75,74,B,87,45,B,82,B,87,36,C,72,83,N,N,N,N,N,HARLANDALE ISD,9003,74.5,12078,0,0.0,10667,88.3,2119,17.5,0,0,1486,12.3,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
15905,BEXAR,15,0,0,1.2,27,53,43,73,89.2,65,Not Rated: SB 1365,63,66,C,70,35,Not Rated: SB 1365,69,C,70,33,C,71,70,N,N,N,N,N,EDGEWOOD ISD,6014,71.7,8383,0,0.0,7463,89.0,1838,21.9,0,0,998,11.9,0,0,.,.,.,.,.,C,20,REGION 20: SAN ANTONIO
15906,BEXAR,15,95,0,95,65,91,86,97,99.2,95,A,94,76,A,90,76,C,79,A,90,97,A,97,95,N,N,N,N,N,RANDOLPH FIELD ISD,1125,77.2,1458,0,0.0,54,3.7,7,0.5,0,0,160,11.0,0,0,.,.,.,.,.,A,20,REGION 20: SAN ANTONIO
15907,BEXAR,15,86.4,0,89.9,33,58,75,94,90,65,C,74,72,B,84,54,A,90,B,89,44,C,74,85,N,N,N,N,N,SAN ANTONIO ISD,31245,70.1,44568,1032,2.3,39229,88.0,9908,22.2,275,0.6,5974,13.4,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
15908,BEXAR,15,79.9,0,82.7,30,56,48,76,87.9,60,Not Rated: SB 1365,65,66,C,70,39,C,75,C,75,24,Not Rated: SB 1365,66,72,N,N,N,N,N,SOUTH SAN ANTONIO ISD,5869,74.1,7919,376,4.7,7153,90.3,1601,20.2,10,0.1,977,12.3,0,0,.,.,.,.,.,C,20,REGION 20: SAN ANTONIO
15909,BEXAR,15,85.7, ,86.4,49,81,60,90,95.5,85,B,85,76,A,90,55,A,91,A,91,86,B,88,90,N,N,N,N,N,SOMERSET ISD,2957,74.8,3955,140,3.5,3351,84.7,856,21.6,0,0,435,11.0,0,0,.,.,.,.,.,Not Rated: Data Under Review,20,REGION 20: SAN ANTONIO
15910,BEXAR,15,76.4,0,78.1,54,85,60,90,95,85,B,87,76,A,90,57,A,90,A,90,80,B,86,89,N,N,N,N,N,NORTH EAST ISD,46020,77.4,59445,0,0.0,35259,59.3,9789,16.5,0,0,7550,12.7,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
15911,BEXAR,15,78.4,0,78.9,33,58,41,71,94.6,80,Not Rated: SB 1365,68,66,C,70,37,Not Rated: SB 1365,68,C,70,20,Not Rated: SB 1365,63,68,N,N,N,N,N,EAST CENTRAL ISD,7671,76.7,10002,0,0.0,6639,66.4,1326,13.3,0,0,1231,12.3,0,0,.,.,.,.,.,Not Rated: SB 1365,20,REGION 20: SAN ANTONIO
15912,BEXAR,15,82.8,0,84,40,70,59,89,97.7,90,B,82,72,B,84,50,B,88,B,88,65,B,81,86,N,N,N,N,N,SOUTHWEST ISD,10044,76.3,13165,64,0.5,10769,81.8,2449,18.6,0,0,2219,16.9,235,1.8,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
15913,BEXAR,15,68.4,0,75,53,84,47,76,100,100,B,84,71,B,82,50,Not Rated: SB 1365,56,B,82,45,C,75,81,N,N,N,N,N,LACKLAND ISD,622,68.4,910,0,0.0,123,13.5,20,2.2,0,0,100,11.0,0,0,.,.,.,.,.,B,20,REGION 20: SAN ANTONIO
