Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Female,2862,2537,0.89,1879,0.66,605,0.21,2004,0.70,434,0.15,1051,0.37,43,0.02,1528,0.53,123,0.04,508,0.18
01,Edinburg,031,CAMERON,Male,2995,2625,0.88,1771,0.59,812,0.27,1854,0.62,332,0.11,997,0.33,39,0.01,1368,0.46,144,0.05,316,0.11
01,Edinburg,108,HIDALGO,Female,4503,4066,0.90,3115,0.69,829,0.18,3152,0.70,1166,0.26,1117,0.25,53,0.01,2336,0.52,121,0.03,845,0.19
01,Edinburg,108,HIDALGO,Male,4905,4361,0.89,3148,0.64,1183,0.24,3075,0.63,1076,0.22,1030,0.21,87,0.02,2193,0.45,174,0.04,620,0.13
01,Edinburg,124,JIM HOGG,Female,52,50,0.96,51,0.98,0,0.00,45,0.87,22,0.42,10,0.19,0,0.00,32,0.62,0,0.00,14,0.27
01,Edinburg,124,JIM HOGG,Male,54,53,0.98,51,0.94,1,0.02,48,0.89,17,0.32,15,0.28,0,0.00,32,0.59,0,0.00,6,0.11
01,Edinburg,214,STARR,Female,507,439,0.87,319,0.63,116,0.23,320,0.63,87,0.17,169,0.33,1,0.00,257,0.51,28,0.06,115,0.23
01,Edinburg,214,STARR,Male,581,503,0.87,336,0.58,179,0.31,347,0.60,93,0.16,169,0.29,4,0.01,266,0.46,19,0.03,86,0.15
01,Edinburg,240,WEBB,Female,1559,1421,0.91,1187,0.76,212,0.14,1172,0.75,256,0.16,641,0.41,18,0.01,915,0.59,49,0.03,336,0.22
01,Edinburg,240,WEBB,Male,1587,1438,0.91,1083,0.68,336,0.21,1084,0.68,194,0.12,598,0.38,16,0.01,808,0.51,67,0.04,221,0.14
01,Edinburg,245,WILLACY,Female,180,159,0.88,124,0.69,35,0.19,140,0.78,48,0.27,44,0.24,3,0.02,95,0.53,4,0.02,28,0.16
01,Edinburg,245,WILLACY,Male,203,186,0.92,122,0.60,57,0.28,136,0.67,27,0.13,56,0.28,5,0.02,88,0.43,6,0.03,24,0.12
01,Edinburg,253,ZAPATA,Female,108,100,0.93,96,0.89,2,0.02,81,0.75,24,0.22,40,0.37,0,0.00,64,0.59,3,0.03,23,0.21
01,Edinburg,253,ZAPATA,Male,116,111,0.96,98,0.85,8,0.07,87,0.75,22,0.19,36,0.31,1,0.01,59,0.51,4,0.03,21,0.18
02,Corpus Christi,004,ARANSAS,Female,133,114,0.86,104,0.78,12,0.09,87,0.65,22,0.17,49,0.37,3,0.02,74,0.56,4,0.03,24,0.18
02,Corpus Christi,004,ARANSAS,Male,143,121,0.85,109,0.76,20,0.14,90,0.63,24,0.17,19,0.13,5,0.04,48,0.34,2,0.01,10,0.07
02,Corpus Christi,013,BEE,Female,241,223,0.93,190,0.79,25,0.10,167,0.69,24,0.10,116,0.48,3,0.01,143,0.59,10,0.04,67,0.28
02,Corpus Christi,013,BEE,Male,267,232,0.87,175,0.66,59,0.22,166,0.62,26,0.10,87,0.33,7,0.03,120,0.45,12,0.04,40,0.15
02,Corpus Christi,024,BROOKS,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,024,BROOKS,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,066,DUVAL,Female,118,112,0.95,102,0.86,4,0.03,92,0.78,22,0.19,40,0.34,1,0.01,63,0.53,4,0.03,17,0.14
02,Corpus Christi,066,DUVAL,Male,122,113,0.93,98,0.80,15,0.12,92,0.75,31,0.25,28,0.23,0,0.00,59,0.48,4,0.03,13,0.11
02,Corpus Christi,125,JIM WELLS,Female,334,294,0.88,274,0.82,32,0.10,222,0.67,89,0.27,88,0.26,4,0.01,181,0.54,16,0.05,65,0.20
02,Corpus Christi,125,JIM WELLS,Male,375,320,0.85,275,0.73,65,0.17,228,0.61,83,0.22,79,0.21,2,0.01,164,0.44,15,0.04,36,0.10
02,Corpus Christi,137,KLEBERG,Female,238,205,0.86,187,0.79,30,0.13,187,0.79,99,0.42,44,0.19,3,0.01,146,0.61,6,0.03,54,0.23
02,Corpus Christi,137,KLEBERG,Male,254,211,0.83,185,0.73,44,0.17,183,0.72,106,0.42,31,0.12,3,0.01,140,0.55,8,0.03,27,0.11
02,Corpus Christi,149,LIVE OAK,Female,91,83,0.91,78,0.86,4,0.04,65,0.71,19,0.21,38,0.42,1,0.01,58,0.64,5,0.05,29,0.32
02,Corpus Christi,149,LIVE OAK,Male,88,77,0.88,63,0.72,17,0.19,60,0.68,14,0.16,29,0.33,0,0.00,43,0.49,3,0.03,9,0.10
02,Corpus Christi,162,MCMULLEN,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,162,MCMULLEN,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,178,NUECES,Female,2384,1998,0.84,1602,0.67,424,0.18,1599,0.67,509,0.21,813,0.34,35,0.01,1357,0.57,119,0.05,482,0.20
02,Corpus Christi,178,NUECES,Male,2530,2122,0.84,1594,0.63,540,0.21,1544,0.61,432,0.17,695,0.28,40,0.02,1167,0.46,132,0.05,324,0.13
02,Corpus Christi,205,SAN PATRICIO,Female,605,545,0.90,442,0.73,84,0.14,406,0.67,102,0.17,193,0.32,14,0.02,309,0.51,31,0.05,98,0.16
02,Corpus Christi,205,SAN PATRICIO,Male,676,595,0.88,459,0.68,119,0.18,427,0.63,108,0.16,169,0.25,14,0.02,291,0.43,21,0.03,91,0.14
03,Victoria,029,CALHOUN,Female,164,150,0.92,99,0.60,44,0.27,114,0.70,23,0.14,61,0.37,1,0.01,85,0.52,3,0.02,39,0.24
03,Victoria,029,CALHOUN,Male,155,133,0.86,82,0.53,58,0.37,100,0.65,14,0.09,44,0.28,6,0.04,64,0.41,2,0.01,21,0.14
03,Victoria,045,COLORADO,Female,139,136,0.98,121,0.87,13,0.09,110,0.79,32,0.23,51,0.37,2,0.01,85,0.61,3,0.02,41,0.30
03,Victoria,045,COLORADO,Male,137,132,0.96,104,0.76,24,0.18,97,0.71,17,0.12,42,0.31,2,0.01,61,0.45,4,0.03,23,0.17
03,Victoria,062,DE WITT,Female,164,153,0.93,130,0.79,21,0.13,113,0.69,31,0.19,51,0.31,2,0.01,84,0.51,4,0.02,37,0.23
03,Victoria,062,DE WITT,Male,203,190,0.94,168,0.83,22,0.11,143,0.70,31,0.15,53,0.26,3,0.01,87,0.43,4,0.02,26,0.13
03,Victoria,088,GOLIAD,Female,65,64,0.99,59,0.91,3,0.05,51,0.79,11,0.17,24,0.37,0,0.00,35,0.54,2,0.03,17,0.26
03,Victoria,088,GOLIAD,Male,63,61,0.97,55,0.87,4,0.06,50,0.79,15,0.24,18,0.29,0,0.00,33,0.52,2,0.03,13,0.21
03,Victoria,120,JACKSON,Female,153,148,0.97,142,0.93,4,0.03,134,0.88,37,0.24,61,0.40,3,0.02,101,0.66,3,0.02,50,0.33
03,Victoria,120,JACKSON,Male,154,142,0.92,124,0.81,12,0.08,116,0.75,11,0.07,62,0.40,3,0.02,76,0.49,6,0.04,20,0.13
03,Victoria,128,KARNES,Female,115,108,0.94,91,0.79,19,0.17,91,0.79,15,0.13,45,0.39,2,0.02,62,0.54,0,0.00,31,0.27
