Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,African American,17,16,0.94,12,0.71,3,0.18,12,0.71,7,0.41,5,0.29,0,0.00,12,0.71,1,0.06,3,0.18
01,Edinburg,031,CAMERON,Hispanic,5383,4756,0.88,3303,0.61,1362,0.25,3522,0.65,618,0.12,1923,0.36,67,0.01,2608,0.48,237,0.04,723,0.13
01,Edinburg,031,CAMERON,White,430,372,0.87,316,0.74,50,0.12,303,0.71,130,0.30,113,0.26,13,0.03,256,0.60,27,0.06,89,0.21
01,Edinburg,031,CAMERON,Other Ethnicities,27,18,0.67,19,0.70,2,0.07,21,0.78,11,0.41,7,0.26,2,0.07,20,0.74,2,0.07,9,0.33
01,Edinburg,108,HIDALGO,African American,13,11,0.85,8,0.62,4,0.31,5,0.39,4,0.31,2,0.15,0,0.00,6,0.46,1,0.08,2,0.15
01,Edinburg,108,HIDALGO,Hispanic,8846,7922,0.90,5817,0.66,1953,0.22,5795,0.66,1959,0.22,2048,0.23,122,0.01,4129,0.47,269,0.03,1279,0.15
01,Edinburg,108,HIDALGO,White,509,462,0.91,404,0.79,54,0.11,397,0.78,258,0.51,89,0.18,17,0.03,364,0.72,22,0.04,165,0.32
01,Edinburg,108,HIDALGO,Others,40,32,0.80,34,0.85,1,0.03,30,0.75,21,0.53,8,0.20,1,0.03,30,0.75,3,0.08,19,0.48
01,Edinburg,124,JIM HOGG,All Ethnicities,106,103,0.97,102,0.96,1,0.01,93,0.88,39,0.37,25,0.24,0,0.00,64,0.60,0,0.00,20,0.19
01,Edinburg,214,STARR,All Ethnicities,1088,942,0.87,655,0.60,295,0.27,667,0.61,180,0.17,338,0.31,5,0.00,523,0.48,47,0.04,201,0.19
01,Edinburg,240,WEBB,Hispanic,3030,2758,0.91,2189,0.72,530,0.18,2179,0.72,418,0.14,1204,0.40,30,0.01,1652,0.55,108,0.04,535,0.18
01,Edinburg,240,WEBB,White,104,92,0.89,70,0.67,18,0.17,68,0.65,26,0.25,35,0.34,3,0.03,64,0.62,8,0.08,17,0.16
01,Edinburg,240,WEBB,Other Ethnicities,12,9,0.75,11,0.92,0,0.00,9,0.75,6,0.50,0,0.00,1,0.08,7,0.58,0,0.00,5,0.42
01,Edinburg,245,WILLACY,Hispanic,357,322,0.90,226,0.63,91,0.26,257,0.72,63,0.18,97,0.27,5,0.01,165,0.46,9,0.03,46,0.13
01,Edinburg,245,WILLACY,Other Ethnicities,26,23,0.89,20,0.77,1,0.04,19,0.73,12,0.46,3,0.12,3,0.12,18,0.69,1,0.04,6,0.23
01,Edinburg,253,ZAPATA,Hispanic,209,200,0.96,181,0.87,9,0.04,156,0.75,42,0.20,68,0.33,1,0.00,111,0.53,6,0.03,38,0.18
01,Edinburg,253,ZAPATA,White,15,11,0.73,13,0.87,1,0.07,12,0.80,4,0.27,8,0.53,0,0.00,12,0.80,1,0.07,6,0.40
02,Corpus Christi,004,ARANSAS,Hispanic,68,64,0.94,57,0.84,9,0.13,47,0.69,10,0.15,15,0.22,1,0.01,26,0.38,0,0.00,6,0.09
02,Corpus Christi,004,ARANSAS,White,184,151,0.82,136,0.74,21,0.11,113,0.61,33,0.18,42,0.23,7,0.04,82,0.45,6,0.03,25,0.14
02,Corpus Christi,004,ARANSAS,Other Ethnicities,24,20,0.83,20,0.83,2,0.08,17,0.71,3,0.13,11,0.46,0,0.00,14,0.58,0,0.00,3,0.13
02,Corpus Christi,013,BEE,Hispanic,325,289,0.89,217,0.67,69,0.21,188,0.58,13,0.04,125,0.39,4,0.01,142,0.44,17,0.05,45,0.14
02,Corpus Christi,013,BEE,White,170,155,0.91,138,0.81,13,0.08,134,0.79,34,0.20,73,0.43,5,0.03,112,0.66,5,0.03,59,0.35
02,Corpus Christi,013,BEE,Other Ethnicities,13,11,0.85,10,0.77,2,0.15,11,0.85,3,0.23,5,0.39,1,0.08,9,0.69,0,0.00,3,0.23
02,Corpus Christi,024,BROOKS,Hispanic,139,126,0.91,97,0.70,22,0.16,100,0.72,35,0.25,19,0.14,1,0.01,55,0.40,1,0.01,13,0.09
02,Corpus Christi,024,BROOKS,Other Ethnicities,10,8,0.80,6,0.60,1,0.10,6,0.60,3,0.30,2,0.20,0,0.00,5,0.50,1,0.10,1,0.10
02,Corpus Christi,066,DUVAL,Hispanic,221,209,0.95,187,0.85,18,0.08,173,0.78,47,0.21,62,0.28,1,0.00,110,0.50,5,0.02,29,0.13
02,Corpus Christi,066,DUVAL,White,19,16,0.84,13,0.68,1,0.05,11,0.58,6,0.32,6,0.32,0,0.00,12,0.63,3,0.16,1,0.05
02,Corpus Christi,125,JIM WELLS,Hispanic,588,505,0.86,449,0.76,83,0.14,361,0.61,132,0.22,136,0.23,4,0.01,272,0.46,28,0.05,71,0.12
02,Corpus Christi,125,JIM WELLS,Other Ethnicities,121,109,0.90,100,0.83,14,0.12,89,0.74,40,0.33,31,0.26,2,0.02,73,0.60,3,0.02,30,0.25
02,Corpus Christi,137,KLEBERG,Hispanic,360,301,0.84,265,0.74,64,0.18,266,0.74,141,0.39,61,0.17,2,0.01,204,0.57,12,0.03,46,0.13
02,Corpus Christi,137,KLEBERG,White,114,99,0.87,92,0.81,8,0.07,89,0.78,59,0.52,12,0.11,2,0.02,73,0.64,2,0.02,32,0.28
02,Corpus Christi,137,KLEBERG,Other Ethnicities,18,16,0.89,15,0.83,2,0.11,15,0.83,5,0.28,2,0.11,2,0.11,9,0.50,0,0.00,3,0.17
02,Corpus Christi,149,LIVE OAK,White,104,97,0.93,89,0.86,8,0.08,75,0.72,23,0.22,38,0.37,1,0.01,62,0.60,5,0.05,29,0.28
02,Corpus Christi,149,LIVE OAK,Other Ethnicities,75,63,0.84,52,0.69,13,0.17,50,0.67,10,0.13,29,0.39,0,0.00,39,0.52,3,0.04,9,0.12
