District Number,District Name
015837,CARPE DIEM SCHOOLS
057849,TRINITY ENVIRONMENTAL ACADEMY
101870,BETA ACADEMY
105803,KI CHARTER ACADEMY
220819,HIGH POINT ACADEMY
227828,THE EXCEL CENTER
