Campus Number,TEA Campus Name,Campus Name
72801144,PREMIER H S OF PFLUGERVILLE,Premier High School Of Pflugerville
72801145,TEXAS VIRTUAL ACADEMY,Texas Virtual Academy
72801146,PREMIER HIGH SCHOOLS CAREER & TECH,Premier High Schools Career & Tech
73903041,MARLIN JUNIOR ACADEMY,Marlin Junior Academy
73903103,MARLIN PRI ACADEMY,Marlin Pri Academy
79901139,JOHN ARREDONDO EL,John Arredondo Elementary
79906008,FORT BEND CO ALTER,Fort Bend County Alternative School
79907151,CAROLYN AND VERNON MADDEN EL,Carolyn And Vernon Madden Elementary
84802002,ODYSSEY ACADEMY - BAY AREA,Odyssey Academy - Bay Area
84906010,TEXAS CITY J J A E P,Texas City J J A E P
89901104,GONZALES PRI ACADEMY,Gonzales Primary Academy
91902200,COLLINSVILLE EL,Collinsville Elementary
93904107,BRULE EL,Brule Elementary
94902115,CIBOLO VALLEY EL,Cibolo Valley Elementary
95904003,PETERSBURG DAEP,Petersburg DAEP
100904002,HARDIN CO ALTER ED,Hardin Co Alter Ed
101804004,GEORGE I SANCHEZ NORTH,George I Sanchez North
101811008,EXCEL ACADEMY,Excel Academy
101813049,KIPP ACADEMY WEST MIDDLE,Kipp Academy West Middle
101813115,KIPP UNITY PRI,Kipp Unity Pri
101845011,YES PREP - SOUTHSIDE,Yes Prep - Southside
101856103,DRAW ACADEMY UPPER EL,Draw Academy Upper El
101858007,HARMONY SCHOOL OF ACHIEVEMENT - HO,Harmony School Of Achievement - Ho
101861103,THE RHODES SCHOOL - SOUTHEAST,The Rhodes School - Southeast
101870001,BETA ACADEMY,Beta Academy
101902136,CYPRESSWOOD EL,Cypresswood El
101907157,WOODARD EL,Woodard El
101912478,ARABIC IMMERSION MAGNET SCHOOL,Arabic Immersion Magnet School
101913198,JJAEP CAMPUS,Jjaep Campus
101914034,FORT BEND CO ALTER,Fort Bend Co Alter
101915131,FRENCH EL,French El
101917039,COMMUNITY SCHOOL,Community School
101917145,MARSHALL KENDRICK MIDDLE,Marshall Kendrick Middle
101917147,FRED ROBERTS MIDDLE,Fred Roberts Middle
101919009,SCHOOL FOR ACCELERATED LRN,School For Accelerated Lrn
101919022,RICHEY ACADEMY,Richey Academy
101919129,CLARK PRI,Clark Pri
101920018,THE SCHOOL FOR HIGHLY GIFTED STUDE,The School For Highly Gifted Stude
101921114,WILDWOOD EL,Wildwood El
101921115,CREEKVIEW EL,Creekview El
101921116,OAKCREST INT,Oakcrest Int
105803001,KI CHARTER ACADEMY,Ki Charter Academy
105902109,BONHAM PRE-K SCHOOL,Bonham Pre-K School
108807014,IDEA RIVERVIEW COLLEGE PREPARATORY,Idea Riverview College Preparatory
108807015,IDEA NORTH MISSION COLLEGE PREPARA,Idea North Mission College Prepara
108807024,IDEA EASTSIDE COLLEGE PREPARATORY,Idea Eastside College Preparatory
108807036,IDEA RUNDBERG COLLEGE PREPARATORY,Idea Rundberg College Preparatory
108807114,IDEA RIVERVIEW ACADEMY,Idea Riverview Academy
108807115,IDEA NORTH MISSION ACADEMY,Idea North Mission Academy
108807124,IDEA EASTSIDE ACADEMY,Idea Eastside Academy
108807136,IDEA RUNDBERG ACADEMY,Idea Rundberg Academy
108910105,EAST EL,East El
108913118,21ST CENTURY EARLY LEARNING FOUNDA,21St Century Early Learning Founda
109905010,HILL CO J J A E P,Hill Co J J A E P
109913041,BLUM MIDDLE,Blum Middle
123908111,WEST GROVES EARLY LEARNING CENTER,West Groves Early Learning Center
123914002,JEFFERSON CO J J A E P,Jefferson Co J J A E P
126902043,STEAM MIDDLE,Steam Middle
126905042,JOHNSON COUNTY J J A E P,Johnson County J J A E P
128902002,KARNES COUNTY ACADEMY,Karnes County Academy
128902004,KENEDY DAEP,Kenedy Daep
128903003,FLORESVILLE ALTERNATIVE CENTER CHO,Floresville Alternative Center Cho
140901002,P E P,P E P
143901002,G O A L S PROGRAM,G O A L S Program
161807013,HARMONY SCIENCE ACADEMY - CARROLLT,Harmony Science Academy - Carrollt
161912005,MARLIN ALTERNATIVE EDUCATION PROGR,Marlin Alternative Education Progr
161921106,CONNALLY EARLY CHILDHOOD CENTER,Connally Early Childhood Center
163901004,DEVINE DAEP SCHOOL,Devine Daep School
165901020,BARBARA CULVER JUVENILE DETENTION,Barbara Culver Juvenile Detention
165901132,BARBARA YARBROUGH EL,Barbara Yarbrough El
165901133,BARBARA FASKEN EL,Barbara Fasken El
165901134,RALPH BUNCHE EL,Ralph Bunche El
167902005,CEDAR MOUNTAIN H S,Cedar Mountain H S
167902055,PARKVIEW SCHOOL - LUBBOCK,Parkview School - Lubbock
167902056,PARKVIEW SCHOOL - LEVELLAND,Parkview School - Levelland
167902057,HOPE ACADEMY - LUBBOCK,Hope Academy - Lubbock
170908114,TAVOLA EL,Tavola El
174904111,EMELINE CARPENTER EL,Emeline Carpenter El
