Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,African American,15,11,0.73,9,0.60,4,0.27,7,0.47,5,0.33,3,0.20,1,0.07,9,0.60,2,0.13,4,0.27
01,Edinburg,031,CAMERON,Hispanic,5450,4884,0.90,3588,0.66,1211,0.22,3699,0.68,596,0.11,2138,0.39,48,0.01,2782,0.51,217,0.04,839,0.15
01,Edinburg,031,CAMERON,White,426,370,0.87,325,0.76,39,0.09,309,0.73,149,0.35,130,0.31,14,0.03,293,0.69,42,0.10,123,0.29
01,Edinburg,031,CAMERON,Others,32,29,0.91,24,0.75,2,0.06,25,0.78,16,0.50,7,0.22,1,0.03,24,0.75,4,0.13,14,0.44
01,Edinburg,108,HIDALGO,African American,16,14,0.88,10,0.63, -  ,0.00,9,0.56,6,0.38,1,0.06,1,0.06,8,0.50,2,0.13,3,0.19
01,Edinburg,108,HIDALGO,Hispanic,8863,7985,0.90,6100,0.69,1682,0.19,6071,0.69,2154,0.24,2051,0.23,118,0.01,4323,0.49,304,0.03,1372,0.16
01,Edinburg,108,HIDALGO,White,476,436,0.92,367,0.77,43,0.09,364,0.77,219,0.46,85,0.18,25,0.05,329,0.69,26,0.05,149,0.31
01,Edinburg,108,HIDALGO,Others,48,42,0.88,40,0.83, -  ,0.00,35,0.73,27,0.56,5,0.10,1,0.02,33,0.69,3,0.06,19,0.40
01,Edinburg,124,JIM HOGG,All Ethnicities,96,90,0.94,86,0.90,2,0.02,75,0.78,29,0.30,22,0.23,1,0.01,52,0.54,3,0.03,19,0.20
01,Edinburg,214,STARR,All Ethnicities,1049,946,0.90,700,0.67,232,0.22,656,0.63,171,0.16,319,0.30,6,0.01,496,0.47,50,0.05,176,0.17
01,Edinburg,240,WEBB,Hispanic,3105,2821,0.91,2327,0.75,443,0.14,2264,0.73,440,0.14,1319,0.43,23,0.01,1782,0.57,115,0.04,565,0.18
01,Edinburg,240,WEBB,White,108,91,0.84,78,0.72,9,0.08,79,0.73,31,0.29,30,0.28,1,0.01,62,0.57,2,0.02,30,0.28
01,Edinburg,240,WEBB,Other Ethnicities,19,19,1.00,16,0.84, -  ,0.00,15,0.79,8,0.42,4,0.21,2,0.11,14,0.74,2,0.11,9,0.47
01,Edinburg,245,WILLACY,Hispanic,327,303,0.93,249,0.76,45,0.14,239,0.73,76,0.23,67,0.21,1,0.00,144,0.44,5,0.02,45,0.14
01,Edinburg,245,WILLACY,Other Ethnicities,12,12,1.00,10,0.83,1,0.08,12,1.00,5,0.42,2,0.17,1,0.08,8,0.67, -  ,0.00,5,0.42
01,Edinburg,253,ZAPATA,Hispanic,222,209,0.94,200,0.90,4,0.02,165,0.74,44,0.20,69,0.31,1,0.00,114,0.51,6,0.03,38,0.17
01,Edinburg,253,ZAPATA,White,12,12,1.00,12,1.00, -  ,0.00,11,0.92,4,0.33,2,0.17, -  ,0.00,6,0.50, -  ,0.00,1,0.08
02,Corpus Christi,004,ARANSAS,Hispanic,81,57,0.70,45,0.56,13,0.16,44,0.54,7,0.09,21,0.26,1,0.01,29,0.36,6,0.07,4,0.05
02,Corpus Christi,004,ARANSAS,White,197,133,0.68,123,0.62,12,0.06,105,0.53,45,0.23,42,0.21,8,0.04,95,0.48,22,0.11,35,0.18
02,Corpus Christi,004,ARANSAS,Other Ethnicities,32,25,0.78,22,0.69,2,0.06,19,0.59,6,0.19,9,0.28,3,0.09,18,0.56,3,0.09,4,0.13
02,Corpus Christi,013,BEE,Hispanic,276,253,0.92,190,0.69,61,0.22,180,0.65,13,0.05,110,0.40,3,0.01,126,0.46,10,0.04,23,0.08
02,Corpus Christi,013,BEE,White,140,129,0.92,115,0.82,14,0.10,103,0.74,29,0.21,62,0.44,4,0.03,95,0.68,10,0.07,38,0.27
02,Corpus Christi,013,BEE,Other Ethnicities,16,13,0.81,10,0.63,2,0.13,9,0.56,3,0.19,6,0.38, -  ,0.00,9,0.56,1,0.06,4,0.25
02,Corpus Christi,024,BROOKS,Hispanic,116,106,0.91,93,0.80,11,0.09,92,0.79,33,0.28,27,0.23, -  ,0.00,60,0.52,4,0.03,18,0.16
02,Corpus Christi,024,BROOKS,Other Ethnicities,11,9,0.82,8,0.73, -  ,0.00,8,0.73,2,0.18,4,0.36, -  ,0.00,6,0.55, -  ,0.00,3,0.27
02,Corpus Christi,066,DUVAL,Hispanic,192,174,0.91,159,0.83,11,0.06,141,0.73,38,0.20,47,0.25, -  ,0.00,85,0.44,4,0.02,23,0.12
02,Corpus Christi,066,DUVAL,Other Ethnicities,20,17,0.85,15,0.75,2,0.10,16,0.80,10,0.50,2,0.10, -  ,0.00,12,0.60, -  ,0.00,4,0.20
02,Corpus Christi,125,JIM WELLS,Hispanic,608,560,0.92,463,0.76,67,0.11,387,0.64,131,0.22,172,0.28,4,0.01,307,0.51,40,0.07,85,0.14
