DISTRICT,DD3G,DD3S,COUNTY,CNTYNAME,DDALLS,D_RATING,DFLALTED,DFLCHART,DFLNEWDIST,DISTNAME,REGION,REGNNAME,DD2G,DD2S,DD2AG,DD2AS,DD2BG,DD2BS,DD1G,DD1S,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP
058909,A,94.0,58,DAWSON,95.0,A,N,N,N,SANDS CISD,17,REGION 17: LUBBOCK,A,95.0,D,69.0,A,95.0,A,93.0,182,76.2,239,0,0.0,142,29,12.1,0,0.0,30,12.6,0,0.0
059901,C,72.0,59,DEAF SMITH,72.0,C,N,N,N,HEREFORD ISD,16,REGION 16: AMARILLO,C,72.0,D,64.0,C,72.0,D,67.0,2822,71.5,3945,0,0.0,3338,1043,26.4,0,0.0,486,12.3,0,0.0
059902,C,76.0,59,DEAF SMITH,86.0,B,N,N,N,WALCOTT ISD,16,REGION 16: AMARILLO,A,90.0,D,68.0,A,90.0,A,90.0,71,48.0,148,0,0.0,85,14,9.5,0,0.0,24,16.2,0,0.0
060902,B,82.0,60,DELTA,82.0,B,N,N,N,COOPER ISD,8,REGION 08: MT PLEASANT,B,82.0,B,82.0,C,78.0,C,76.0,610,68.9,885,0,0.0,588,37,4.2,0,0.0,124,14.0,0,0.0
060914,F,59.0,60,DELTA,64.0,D,N,N,N,FANNINDEL ISD,8,REGION 08: MT PLEASANT,D,64.0,F,58.0,D,64.0,D,66.0,98,66.7,147,0,0.0,133,14,9.5,0,0.0,34,23.1,0,0.0
061802,C,70.0,61,DENTON,71.0,C,N,Y,N,NORTH TEXAS COLLEGIATE ACADEMY,11,REGION 11: FORT WORTH,C,71.0,C,71.0,C,71.0,D,65.0,356,46.8,761,0,0.0,732,286,37.6,0,0.0,74,9.7,0,0.0
061804,C,78.0,61,DENTON,82.0,B,N,Y,N,LEADERSHIP PREP SCHOOL,10,REGION 10: RICHARDSON,B,84.0,B,84.0,F,57.0,C,78.0,1051,77.8,1351,0,0.0,37,102,7.5,0,0.0,119,8.8,0,0.0
061805,A,92.0,61,DENTON,92.0,A,N,Y,N,TRIVIUM ACADEMY,11,REGION 11: FORT WORTH,B,84.0,B,84.0,D,67.0,A,92.0,433,69.7,621,0,0.0,23,64,10.3,0,0.0,68,11.0,0,0.0
061901,C,79.0,61,DENTON,78.0,C,N,N,N,DENTON ISD,11,REGION 11: FORT WORTH,C,77.0,C,77.0,C,73.0,C,78.0,24018,74.0,32440,0,0.0,15823,5729,17.7,0,0.0,4414,13.6,0,0.0
061902,C,79.0,61,DENTON,80.0,B,N,N,N,LEWISVILLE ISD,11,REGION 11: FORT WORTH,C,75.0,C,72.0,C,75.0,B,81.0,37890,77.4,48966,0,0.0,18291,10360,21.2,0,0.0,8687,17.7,0,0.0
061903,C,73.0,61,DENTON,76.0,C,N,N,N,PILOT POINT ISD,11,REGION 11: FORT WORTH,C,72.0,D,69.0,C,72.0,C,77.0,1109,74.9,1480,0,0.0,765,457,30.9,0,0.0,206,13.9,0,0.0
061905,C,76.0,61,DENTON,78.0,C,N,N,N,KRUM ISD,11,REGION 11: FORT WORTH,C,76.0,C,76.0,C,70.0,C,79.0,1715,74.8,2294,0,0.0,891,361,15.7,0,0.0,379,16.5,0,0.0
061906,D,65.0,61,DENTON,73.0,C,N,N,N,PONDER ISD,11,REGION 11: FORT WORTH,C,72.0,C,72.0,D,69.0,C,77.0,1262,77.0,1638,0,0.0,668,239,14.6,0,0.0,219,13.4,0,0.0
061907,B,81.0,61,DENTON,83.0,B,N,N,N,AUBREY ISD,11,REGION 11: FORT WORTH,C,77.0,C,77.0,C,72.0,B,84.0,2553,72.3,3531,0,0.0,1212,298,8.4,0,0.0,477,13.5,0,0.0
061908,B,82.0,61,DENTON,82.0,B,N,N,N,SANGER ISD,11,REGION 11: FORT WORTH,B,82.0,B,82.0,B,80.0,B,82.0,2068,73.9,2798,0,0.0,1293,293,10.5,0,0.0,443,15.8,0,0.0
061910,A,90.0,61,DENTON,91.0,A,N,N,N,ARGYLE ISD,11,REGION 11: FORT WORTH,B,82.0,B,82.0,C,74.0,A,91.0,3797,76.9,4935,0,0.0,362,290,5.9,0,0.0,480,9.7,0,0.0
061911,B,80.0,61,DENTON,82.0,B,N,N,N,NORTHWEST ISD,11,REGION 11: FORT WORTH,C,78.0,C,78.0,D,69.0,B,83.0,22069,75.7,29147,226,0.8,7820,2765,9.5,0,0.0,4033,13.8,0,0.0
061912,D,69.0,61,DENTON,73.0,C,N,N,N,LAKE DALLAS ISD,11,REGION 11: FORT WORTH,C,72.0,C,72.0,D,67.0,C,74.0,3027,77.8,3893,0,0.0,1673,498,12.8,0,0.0,497,12.8,0,0.0
061914,D,68.0,61,DENTON,71.0,C,N,N,N,LITTLE ELM ISD,11,REGION 11: FORT WORTH,D,69.0,D,69.0,D,67.0,C,72.0,6311,76.1,8298,0,0.0,4024,1766,21.3,0,0.0,907,10.9,0,0.0
062901,B,80.0,62,DEWITT,82.0,B,N,N,N,CUERO ISD,3,REGION 03: VICTORIA,B,83.0,D,69.0,B,83.0,B,81.0,1516,78.8,1925,0,0.0,1242,73,3.8,0,0.0,345,17.9,0,0.0
062902,C,75.0,62,DEWITT,76.0,C,N,N,N,NORDHEIM ISD,3,REGION 03: VICTORIA,C,77.0,C,77.0,C,74.0,C,77.0,99,76.2,130,0,0.0,69,0,0.0,0,0.0,12,9.2,0,0.0
062903,C,79.0,62,DEWITT,83.0,B,N,N,N,YOAKUM ISD,3,REGION 03: VICTORIA,B,84.0,C,75.0,B,84.0,C,79.0,1110,72.1,1540,0,0.0,1169,297,19.3,0,0.0,276,17.9,0,0.0
062904,B,80.0,62,DEWITT,84.0,B,N,N,N,YORKTOWN ISD,3,REGION 03: VICTORIA,B,86.0,B,86.0,C,75.0,C,76.0,388,72.4,536,0,0.0,311,7,1.3,0,0.0,72,13.4,0,0.0
062905,A,92.0,62,DEWITT,93.0,A,N,N,N,WESTHOFF ISD,3,REGION 03: VICTORIA,A,92.0,A,92.0,A,91.0,A,93.0,44,54.3,81,0,0.0,35,0,0.0,0,0.0,6,7.4,0,0.0
062906,C,78.0,62,DEWITT,87.0,B,N,N,N,MEYERSVILLE ISD,3,REGION 03: VICTORIA,B,85.0,C,79.0,B,85.0,A,91.0,76,51.0,149,0,0.0,54,1,0.7,0,0.0,10,6.7,0,0.0
063903,C,78.0,63,DICKENS,82.0,B,N,N,N,SPUR ISD,17,REGION 17: LUBBOCK,B,80.0,F,58.0,B,80.0,B,84.0,169,75.4,224,0,0.0,130,3,1.3,0,0.0,46,20.5,0,0.0
063906,A,91.0,63,DICKENS,90.0,A,N,N,N,PATTON SPRINGS ISD,17,REGION 17: LUBBOCK,B,89.0,D,67.0,B,89.0,B,88.0,55,71.4,77,0,0.0,58,3,3.9,0,0.0,13,16.9,0,0.0
064903,D,66.0,64,DIMMIT,69.0,D,N,N,N,CARRIZO SPRINGS CISD,20,REGION 20: SAN ANTONIO,C,73.0,D,66.0,C,73.0,D,69.0,1454,76.6,1898,0,0.0,1463,102,5.4,0,0.0,194,10.2,0,0.0
065901,B,84.0,65,DONLEY,84.0,B,N,N,N,CLARENDON ISD,16,REGION 16: AMARILLO,B,84.0,B,84.0,B,82.0,B,82.0,307,70.9,433,0,0.0,223,1,0.2,0,0.0,67,15.5,0,0.0
065902,A,92.0,65,DONLEY,92.0,A,N,N,N,HEDLEY ISD,16,REGION 16: AMARILLO,A,92.0,D,67.0,A,92.0,B,89.0,80,68.4,117,0,0.0,100,3,2.6,0,0.0,36,30.8,0,0.0
066005,X,,66,DUVAL,75.0,C,N,N,N,RAMIREZ CSD,2,REGION 02: CORPUS CHRISTI,C,75.0,X,,C,75.0,D,69.0,8,38.1,21,0,0.0,19,2,9.5,0,0.0,2,9.5,0,0.0
066901,D,61.0,66,DUVAL,63.0,D,N,N,N,BENAVIDES ISD,2,REGION 02: CORPUS CHRISTI,D,63.0,D,60.0,D,63.0,D,64.0,143,41.8,342,0,0.0,250,63,18.4,12,3.5,26,7.6,0,0.0
066902,B,82.0,66,DUVAL,81.0,B,N,N,N,SAN DIEGO ISD,2,REGION 02: CORPUS CHRISTI,B,81.0,C,74.0,B,81.0,C,75.0,1083,72.4,1495,402,26.9,1349,14,0.9,0,0.0,210,14.0,0,0.0
066903,C,75.0,66,DUVAL,77.0,C,N,N,N,FREER ISD,2,REGION 02: CORPUS CHRISTI,C,78.0,D,67.0,C,78.0,C,72.0,508,69.3,733,42,5.7,593,24,3.3,0,0.0,105,14.3,0,0.0
067902,B,84.0,67,EASTLAND,88.0,B,N,N,N,CISCO ISD,14,REGION 14: ABILENE,B,89.0,C,79.0,B,89.0,B,89.0,587,70.9,828,0,0.0,451,15,1.8,0,0.0,130,15.7,0,0.0
067903,B,81.0,67,EASTLAND,83.0,B,N,N,N,EASTLAND ISD,14,REGION 14: ABILENE,B,84.0,B,82.0,B,84.0,B,83.0,768,72.9,1053,0,0.0,644,78,7.4,0,0.0,133,12.6,0,0.0
067904,C,76.0,67,EASTLAND,75.0,C,N,N,N,GORMAN ISD,14,REGION 14: ABILENE,C,75.0,D,69.0,C,75.0,C,73.0,200,79.1,253,0,0.0,183,19,7.5,0,0.0,42,16.6,0,0.0
067907,F,58.0,67,EASTLAND,66.0,D,N,N,N,RANGER ISD,14,REGION 14: ABILENE,C,70.0,C,70.0,D,66.0,D,63.0,227,71.2,319,0,0.0,250,10,3.1,0,0.0,64,20.1,0,0.0
067908,C,75.0,67,EASTLAND,74.0,C,N,N,N,RISING STAR ISD,14,REGION 14: ABILENE,C,74.0,C,74.0,C,71.0,C,73.0,124,67.8,183,0,0.0,123,7,3.8,0,0.0,36,19.7,0,0.0
068802,C,71.0,68,ECTOR,74.0,C,N,Y,N,COMPASS ACADEMY CHARTER SCHOOL,18,REGION 18: MIDLAND,F,59.0,F,59.0,F,53.0,C,75.0,1040,74.4,1398,0,0.0,92,3,0.2,0,0.0,142,10.2,0,0.0
068901,C,74.0,68,ECTOR,73.0,C,N,N,N,ECTOR COUNTY ISD,18,REGION 18: MIDLAND,C,73.0,C,73.0,C,70.0,D,69.0,24038,72.3,33268,429,1.3,22093,7914,23.8,358,1.1,3444,10.4,0,0.0
069901,C,76.0,69,EDWARDS,77.0,C,N,N,N,ROCKSPRINGS ISD,15,REGION 15: SAN ANGELO,C,74.0,C,70.0,C,74.0,C,77.0,170,71.7,237,0,0.0,161,19,8.0,0,0.0,29,12.2,0,0.0
069902,B,81.0,69,EDWARDS,78.0,C,N,N,N,NUECES CANYON CISD,15,REGION 15: SAN ANGELO,C,73.0,D,68.0,C,73.0,C,76.0,187,75.4,248,0,0.0,153,4,1.6,0,0.0,38,15.3,0,0.0
070801,F,52.0,70,ELLIS,56.0,F,N,Y,N,WAXAHACHIE FAITH FAMILY ACADEMY,10,REGION 10: RICHARDSON,F,57.0,F,57.0,F,53.0,F,51.0,2070,74.9,2763,0,0.0,2079,1596,57.8,0,0.0,276,10.0,0,0.0
070901,F,55.0,70,ELLIS,66.0,D,N,N,N,AVALON ISD,10,REGION 10: RICHARDSON,D,63.0,F,59.0,D,63.0,C,70.0,237,70.5,336,0,0.0,179,15,4.5,0,0.0,63,18.8,0,0.0
070903,C,78.0,70,ELLIS,79.0,C,N,N,N,ENNIS ISD,10,REGION 10: RICHARDSON,B,80.0,C,70.0,B,80.0,C,76.0,4380,71.0,6172,0,0.0,4430,1093,17.7,0,0.0,795,12.9,0,0.0
070905,D,64.0,70,ELLIS,72.0,C,N,N,N,FERRIS ISD,10,REGION 10: RICHARDSON,C,76.0,D,69.0,C,76.0,C,72.0,1966,72.4,2715,0,0.0,2193,984,36.2,39,1.4,396,14.6,0,0.0
070907,C,74.0,70,ELLIS,71.0,C,N,N,N,ITALY ISD,10,REGION 10: RICHARDSON,C,70.0,C,70.0,D,66.0,D,67.0,479,75.6,634,0,0.0,417,65,10.3,0,0.0,115,18.1,0,0.0
070908,B,82.0,70,ELLIS,82.0,B,N,N,N,MIDLOTHIAN ISD,10,REGION 10: RICHARDSON,B,82.0,B,82.0,C,71.0,B,82.0,8493,77.5,10957,0,0.0,3267,526,4.8,0,0.0,1548,14.1,0,0.0
070909,C,78.0,70,ELLIS,79.0,C,N,N,N,MILFORD ISD,10,REGION 10: RICHARDSON,C,77.0,F,56.0,C,77.0,B,80.0,183,74.1,247,0,0.0,187,49,19.8,0,0.0,37,15.0,0,0.0
070910,B,86.0,70,ELLIS,85.0,B,N,N,N,PALMER ISD,10,REGION 10: RICHARDSON,B,85.0,B,82.0,B,85.0,B,85.0,991,76.1,1302,0,0.0,690,204,15.7,0,0.0,270,20.7,0,0.0
070911,F,58.0,70,ELLIS,69.0,D,N,N,N,RED OAK ISD,10,REGION 10: RICHARDSON,C,73.0,D,65.0,C,73.0,C,73.0,5043,77.8,6485,0,0.0,3947,911,14.0,0,0.0,892,13.8,0,0.0
070912,C,79.0,70,ELLIS,78.0,C,N,N,N,WAXAHACHIE ISD,10,REGION 10: RICHARDSON,C,75.0,C,74.0,C,75.0,C,78.0,8144,75.6,10778,398,3.7,5367,1028,9.5,0,0.0,1772,16.4,0,0.0
070915,D,67.0,70,ELLIS,73.0,C,N,N,N,MAYPEARL ISD,10,REGION 10: RICHARDSON,D,68.0,D,66.0,D,68.0,C,76.0,940,77.8,1209,0,0.0,501,91,7.5,0,0.0,161,13.3,0,0.0
071801,B,87.0,71,EL PASO,84.0,B,N,Y,N,BURNHAM WOOD CHARTER SCHOOL DISTRICT,19,REGION 19: EL PASO,B,83.0,C,72.0,B,83.0,B,83.0,969,71.4,1358,0,0.0,902,691,50.9,0,0.0,48,3.5,714,52.6
071803,D,66.0,71,EL PASO,84.0,B,Y,Y,N,TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,19,REGION 19: EL PASO,A,92.0,C,77.0,A,92.0,B,85.0,187,100.0,187,0,0.0,164,65,34.8,0,0.0,15,8.0,0,0.0
071804,B,89.0,71,EL PASO,92.0,A,Y,Y,N,EL PASO ACADEMY,19,REGION 19: EL PASO,A,93.0,A,92.0,A,93.0,B,82.0,384,100.0,384,0,0.0,248,72,18.8,0,0.0,32,8.3,0,0.0
071806,A,92.0,71,EL PASO,91.0,A,N,Y,N,HARMONY PUBLIC SCHOOLS - WEST TEXAS,19,REGION 19: EL PASO,A,90.0,B,82.0,A,90.0,B,86.0,3475,70.0,4967,0,0.0,3695,1473,29.7,0,0.0,441,8.9,1731,34.9
071807,C,74.0,71,EL PASO,79.0,C,N,Y,N,LA FE PREPARATORY SCHOOL,19,REGION 19: EL PASO,B,81.0,B,80.0,B,81.0,C,72.0,72,39.1,184,0,0.0,184,164,89.1,0,0.0,13,7.1,0,0.0
071809,C,76.0,71,EL PASO,80.0,B,N,Y,N,VISTA DEL FUTURO CHARTER SCHOOL,19,REGION 19: EL PASO,B,81.0,C,70.0,B,81.0,C,78.0,184,55.4,332,0,0.0,195,127,38.3,0,0.0,21,6.3,0,0.0
071810,F,56.0,71,EL PASO,59.0,F,N,Y,N,EL PASO LEADERSHIP ACADEMY,19,REGION 19: EL PASO,D,64.0,F,59.0,D,64.0,F,57.0,594,100.0,594,0,0.0,540,280,47.1,0,0.0,48,8.1,0,0.0
071901,D,69.0,71,EL PASO,75.0,C,N,N,N,CLINT ISD,19,REGION 19: EL PASO,C,77.0,C,71.0,C,77.0,C,71.0,7979,77.2,10341,328,3.2,8783,4357,42.1,106,1.0,1335,12.9,187,1.8
071902,C,77.0,71,EL PASO,78.0,C,N,N,N,EL PASO ISD,19,REGION 19: EL PASO,C,79.0,C,72.0,C,79.0,C,75.0,37710,75.5,49949,747,1.5,37906,18123,36.3,595,1.2,5876,11.8,6,0.0
071903,C,78.0,71,EL PASO,77.0,C,N,N,N,FABENS ISD,19,REGION 19: EL PASO,C,76.0,C,72.0,C,76.0,D,68.0,1434,74.5,1926,189,9.8,1779,1020,53.0,34,1.8,290,15.1,164,8.5
071904,D,61.0,71,EL PASO,69.0,D,N,N,N,SAN ELIZARIO ISD,19,REGION 19: EL PASO,C,73.0,D,69.0,C,73.0,D,65.0,2323,73.2,3173,116,3.7,2895,1959,61.7,0,0.0,463,14.6,0,0.0
071905,B,85.0,71,EL PASO,86.0,B,N,N,N,YSLETA ISD,19,REGION 19: EL PASO,B,87.0,C,79.0,B,87.0,B,80.0,27590,76.4,36121,1157,3.2,28292,11700,32.4,30,0.1,5461,15.1,1294,3.6
071906,D,69.0,71,EL PASO,73.0,C,N,N,N,ANTHONY ISD,19,REGION 19: EL PASO,C,74.0,D,64.0,C,74.0,C,70.0,607,77.8,780,0,0.0,614,237,30.4,0,0.0,105,13.5,0,0.0
071907,B,80.0,71,EL PASO,81.0,B,N,N,N,CANUTILLO ISD,19,REGION 19: EL PASO,B,82.0,C,76.0,B,82.0,C,77.0,4640,76.6,6054,357,5.9,4025,2026,33.5,0,0.0,633,10.5,662,10.9
071908,C,70.0,71,EL PASO,74.0,C,N,N,N,TORNILLO ISD,19,REGION 19: EL PASO,C,75.0,C,72.0,C,75.0,D,69.0,640,77.2,829,64,7.7,777,528,63.7,0,0.0,88,10.6,0,0.0
071909,B,81.0,71,EL PASO,83.0,B,N,N,N,SOCORRO ISD,19,REGION 19: EL PASO,B,84.0,C,77.0,B,84.0,C,78.0,35980,75.4,47741,3215,6.7,35518,13864,29.0,47,0.1,6028,12.6,519,1.1
072801,B,85.0,72,ERATH,88.0,B,Y,Y,N,PREMIER HIGH SCHOOLS,11,REGION 11: FORT WORTH,B,86.0,B,83.0,B,86.0,B,89.0,7066,99.4,7111,0,0.0,4028,776,10.9,0,0.0,924,13.0,0,0.0
072802,X,,72,ERATH,75.0,C,Y,Y,N,ERATH EXCELS ACADEMY INC,11,REGION 11: FORT WORTH,X,,X,,X,,C,75.0,103,100.0,103,0,0.0,94,3,2.9,0,0.0,6,5.8,0,0.0
072901,F,53.0,72,ERATH,60.0,D,N,N,N,THREE WAY ISD,11,REGION 11: FORT WORTH,D,60.0,D,60.0,F,57.0,D,63.0,155,66.5,233,0,0.0,169,30,12.9,0,0.0,18,7.7,0,0.0
072902,B,87.0,72,ERATH,87.0,B,N,N,N,DUBLIN ISD,11,REGION 11: FORT WORTH,B,87.0,C,75.0,B,87.0,B,85.0,809,70.7,1145,0,0.0,877,251,21.9,0,0.0,100,8.7,0,0.0
072903,B,85.0,72,ERATH,85.0,B,N,N,N,STEPHENVILLE ISD,11,REGION 11: FORT WORTH,B,84.0,C,78.0,B,84.0,B,85.0,2793,75.1,3717,0,0.0,1873,541,14.6,0,0.0,580,15.6,0,0.0
072904,C,71.0,72,ERATH,72.0,C,N,N,N,BLUFF DALE ISD,11,REGION 11: FORT WORTH,D,61.0,F,58.0,D,61.0,C,72.0,172,71.4,241,0,0.0,81,0,0.0,0,0.0,29,12.0,0,0.0
072908,B,84.0,72,ERATH,85.0,B,N,N,N,HUCKABAY ISD,11,REGION 11: FORT WORTH,C,77.0,C,77.0,D,66.0,B,86.0,218,70.1,311,0,0.0,39,3,1.0,0,0.0,23,7.4,0,0.0
072909,A,90.0,72,ERATH,86.0,B,N,N,N,LINGLEVILLE ISD,11,REGION 11: FORT WORTH,B,80.0,D,67.0,B,80.0,B,84.0,205,72.7,282,0,0.0,149,56,19.9,0,0.0,31,11.0,0,0.0
072910,C,71.0,72,ERATH,75.0,C,N,N,N,MORGAN MILL ISD,11,REGION 11: FORT WORTH,C,72.0,D,68.0,C,72.0,C,76.0,67,57.8,116,0,0.0,58,0,0.0,0,0.0,7,6.0,0,0.0
073901,B,84.0,73,FALLS,86.0,B,N,N,N,CHILTON ISD,12,REGION 12: WACO,B,87.0,F,57.0,B,87.0,B,87.0,386,69.8,553,0,0.0,506,119,21.5,0,0.0,49,8.9,0,0.0
073903,D,67.0,73,FALLS,66.0,D,N,N,N,MARLIN ISD,12,REGION 12: WACO,D,66.0,F,58.0,D,66.0,D,65.0,655,70.7,926,0,0.0,919,160,17.3,0,0.0,101,10.9,0,0.0
073904,A,93.0,73,FALLS,92.0,A,N,N,N,WESTPHALIA ISD,12,REGION 12: WACO,B,85.0,B,85.0,C,76.0,A,91.0,95,61.7,154,0,0.0,27,4,2.6,0,0.0,21,13.6,0,0.0
073905,B,82.0,73,FALLS,83.0,B,N,N,N,ROSEBUD-LOTT ISD,12,REGION 12: WACO,B,83.0,B,83.0,B,83.0,C,79.0,530,70.5,752,0,0.0,480,49,6.5,34,4.5,99,13.2,0,0.0
074903,C,71.0,74,FANNIN,72.0,C,N,N,N,BONHAM ISD,10,REGION 10: RICHARDSON,C,73.0,D,65.0,C,73.0,C,72.0,1334,70.2,1899,0,0.0,1302,326,17.2,0,0.0,360,19.0,0,0.0
074904,A,92.0,74,FANNIN,86.0,B,N,N,N,DODD CITY ISD,10,REGION 10: RICHARDSON,C,77.0,C,74.0,C,77.0,B,83.0,240,72.7,330,0,0.0,128,7,2.1,0,0.0,46,13.9,0,0.0
074905,D,63.0,74,FANNIN,67.0,D,N,N,N,ECTOR ISD,10,REGION 10: RICHARDSON,D,66.0,D,66.0,D,62.0,D,69.0,175,76.1,230,0,0.0,121,7,3.0,0,0.0,55,23.9,0,0.0
074907,B,84.0,74,FANNIN,88.0,B,N,N,N,HONEY GROVE ISD,8,REGION 08: MT PLEASANT,B,89.0,C,75.0,B,89.0,B,88.0,479,77.8,616,0,0.0,365,57,9.3,0,0.0,103,16.7,0,0.0
074909,C,73.0,74,FANNIN,77.0,C,N,N,N,LEONARD ISD,10,REGION 10: RICHARDSON,C,79.0,C,70.0,C,79.0,C,79.0,624,76.7,814,0,0.0,483,50,6.1,0,0.0,104,12.8,0,0.0
074911,B,89.0,74,FANNIN,86.0,B,N,N,N,SAVOY ISD,10,REGION 10: RICHARDSON,B,83.0,D,69.0,B,83.0,B,84.0,231,72.4,319,0,0.0,181,9,2.8,0,0.0,54,16.9,0,0.0
074912,C,75.0,74,FANNIN,78.0,C,N,N,N,TRENTON ISD,10,REGION 10: RICHARDSON,C,76.0,C,76.0,D,69.0,C,79.0,512,73.2,699,0,0.0,282,87,12.4,0,0.0,95,13.6,0,0.0
074917,B,84.0,74,FANNIN,84.0,B,N,N,N,SAM RAYBURN ISD,10,REGION 10: RICHARDSON,B,81.0,C,76.0,B,81.0,B,84.0,379,74.9,506,0,0.0,232,25,4.9,0,0.0,81,16.0,0,0.0
075901,A,94.0,75,FAYETTE,94.0,A,N,N,N,FLATONIA ISD,13,REGION 13: AUSTIN,A,91.0,B,85.0,A,91.0,A,94.0,473,71.9,658,0,0.0,340,56,8.5,0,0.0,94,14.3,0,0.0
075902,C,79.0,75,FAYETTE,80.0,B,N,N,N,LA GRANGE ISD,13,REGION 13: AUSTIN,B,80.0,B,80.0,C,78.0,C,77.0,1425,75.8,1879,0,0.0,1084,332,17.7,0,0.0,309,16.4,0,0.0
075903,F,55.0,75,FAYETTE,64.0,D,N,N,N,SCHULENBURG ISD,13,REGION 13: AUSTIN,D,67.0,D,61.0,D,67.0,D,68.0,548,80.4,682,0,0.0,448,93,13.6,0,0.0,112,16.4,0,0.0
075906,A,97.0,75,FAYETTE,96.0,A,N,N,N,FAYETTEVILLE ISD,13,REGION 13: AUSTIN,A,90.0,B,85.0,A,90.0,A,96.0,213,70.5,302,0,0.0,69,19,6.3,0,0.0,32,10.6,0,0.0
075908,A,91.0,75,FAYETTE,90.0,A,N,N,N,ROUND TOP-CARMINE ISD,13,REGION 13: AUSTIN,B,84.0,B,83.0,B,84.0,B,89.0,192,75.9,253,0,0.0,89,26,10.3,0,0.0,26,10.3,0,0.0
076903,C,77.0,76,FISHER,80.0,B,N,N,N,ROBY CISD,14,REGION 14: ABILENE,B,81.0,B,81.0,C,75.0,C,79.0,234,73.4,319,0,0.0,174,11,3.4,0,0.0,40,12.5,0,0.0
076904,B,87.0,76,FISHER,87.0,B,N,N,N,ROTAN ISD,14,REGION 14: ABILENE,B,87.0,F,56.0,B,87.0,B,86.0,197,75.2,262,0,0.0,182,9,3.4,75,28.6,38,14.5,0,0.0
077901,B,85.0,77,FLOYD,86.0,B,N,N,N,FLOYDADA COLLEGIATE ISD,17,REGION 17: LUBBOCK,B,86.0,C,75.0,B,86.0,B,83.0,489,71.6,683,0,0.0,528,50,7.3,35,5.1,66,9.7,0,0.0
077902,D,66.0,77,FLOYD,69.0,D,N,N,N,LOCKNEY ISD,17,REGION 17: LUBBOCK,C,71.0,D,68.0,C,71.0,D,68.0,304,75.1,405,0,0.0,321,20,4.9,15,3.7,46,11.4,0,0.0
078901,B,89.0,78,FOARD,83.0,B,N,N,N,CROWELL ISD,9,REGION 09: WICHITA FALLS,C,79.0,D,60.0,C,79.0,B,81.0,135,68.5,197,0,0.0,128,2,1.0,0,0.0,37,18.8,0,0.0
079901,B,84.0,79,FORT BEND,83.0,B,N,N,N,LAMAR CISD,4,REGION 04: HOUSTON,B,82.0,C,77.0,B,82.0,B,83.0,31234,73.7,42364,0,0.0,20273,8393,19.8,0,0.0,5746,13.6,0,0.0
079906,B,86.0,79,FORT BEND,88.0,B,N,N,N,NEEDVILLE ISD,4,REGION 04: HOUSTON,B,86.0,C,76.0,B,86.0,B,89.0,2685,75.8,3544,0,0.0,1580,385,10.9,0,0.0,520,14.7,0,0.0
079907,C,78.0,79,FORT BEND,79.0,C,N,N,N,FORT BEND ISD,4,REGION 04: HOUSTON,C,79.0,C,76.0,C,79.0,B,80.0,61617,77.5,79482,301,0.4,39999,16392,20.6,378,0.5,9687,12.2,0,0.0
079910,C,71.0,79,FORT BEND,72.0,C,N,N,N,STAFFORD MSD,4,REGION 04: HOUSTON,C,73.0,C,71.0,C,73.0,D,69.0,2716,74.6,3640,0,0.0,2805,891,24.5,0,0.0,317,8.7,0,0.0
080901,C,79.0,80,FRANKLIN,86.0,B,N,N,N,MOUNT VERNON ISD,8,REGION 08: MT PLEASANT,B,89.0,C,73.0,B,89.0,B,84.0,1169,74.6,1568,0,0.0,1069,227,14.5,0,0.0,218,13.9,0,0.0
081902,B,82.0,81,FREESTONE,83.0,B,N,N,N,FAIRFIELD ISD,12,REGION 12: WACO,B,83.0,B,81.0,B,83.0,B,81.0,1264,76.5,1653,0,0.0,1018,109,6.6,0,0.0,182,11.0,0,0.0
081904,B,81.0,81,FREESTONE,86.0,B,N,N,N,TEAGUE ISD,12,REGION 12: WACO,B,88.0,C,77.0,B,88.0,B,86.0,914,75.4,1213,0,0.0,765,131,10.8,0,0.0,191,15.7,0,0.0
081905,D,66.0,81,FREESTONE,75.0,C,N,N,N,WORTHAM ISD,12,REGION 12: WACO,C,79.0,C,79.0,D,66.0,C,70.0,422,76.6,551,0,0.0,318,49,8.9,0,0.0,56,10.2,0,0.0
081906,D,68.0,81,FREESTONE,79.0,C,N,N,N,DEW ISD,12,REGION 12: WACO,B,84.0,F,58.0,B,84.0,B,80.0,67,48.9,137,0,0.0,87,6,4.4,0,0.0,14,10.2,0,0.0
082902,D,63.0,82,FRIO,63.0,D,N,N,N,DILLEY ISD,20,REGION 20: SAN ANTONIO,D,63.0,F,53.0,D,63.0,D,63.0,629,70.1,897,130,14.5,731,45,5.0,0,0.0,163,18.2,0,0.0
082903,D,67.0,82,FRIO,65.0,D,N,N,N,PEARSALL ISD,20,REGION 20: SAN ANTONIO,D,67.0,D,64.0,D,67.0,D,67.0,1500,74.3,2018,0,0.0,1707,130,6.4,0,0.0,281,13.9,0,0.0
083901,B,86.0,83,GAINES,84.0,B,N,N,N,SEAGRAVES ISD,17,REGION 17: LUBBOCK,B,82.0,F,59.0,B,82.0,B,83.0,358,70.9,505,0,0.0,396,124,24.6,0,0.0,45,8.9,0,0.0
