DISTRICT,DD3G,DD3S,COUNTY,CNTYNAME,DDALLS,D_RATING,DFLALTED,DFLCHART,DFLNEWDIST,DISTNAME,REGION,REGNNAME,DD2G,DD2S,DD2AG,DD2AS,DD2BG,DD2BS,DD1G,DD1S,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP
019909,C,79.0,19,BOWIE,82.0,B,N,N,N,SIMMS ISD,8,REGION 08: MT PLEASANT,B,80.0,C,74.0,B,80.0,B,83.0,369,76.2,484,0,0.0,238,8,1.7,0,0.0,49,10.1,0,0.0
019910,C,75.0,19,BOWIE,80.0,B,N,N,N,MALTA ISD,8,REGION 08: MT PLEASANT,B,80.0,C,78.0,B,80.0,B,82.0,92,41.8,220,0,0.0,103,0,0.0,0,0.0,28,12.7,0,0.0
019911,C,79.0,19,BOWIE,88.0,B,N,N,N,RED LICK ISD,8,REGION 08: MT PLEASANT,B,81.0,B,81.0,C,74.0,A,92.0,342,65.1,525,0,0.0,52,4,0.8,0,0.0,33,6.3,0,0.0
019912,B,89.0,19,BOWIE,91.0,A,N,N,N,PLEASANT GROVE ISD,8,REGION 08: MT PLEASANT,B,87.0,C,76.0,B,87.0,A,92.0,1780,77.3,2302,0,0.0,856,89,3.9,0,0.0,244,10.6,0,0.0
019913,D,65.0,19,BOWIE,73.0,C,N,N,N,HUBBARD ISD,8,REGION 08: MT PLEASANT,C,76.0,F,59.0,C,76.0,C,74.0,35,45.5,77,0,0.0,49,11,14.3,0,0.0,11,14.3,0,0.0
019914,C,71.0,19,BOWIE,73.0,C,N,N,N,LEARY ISD,8,REGION 08: MT PLEASANT,C,74.0,F,57.0,C,74.0,D,65.0,36,38.7,93,0,0.0,91,0,0.0,0,0.0,10,10.8,0,0.0
020901,B,85.0,20,BRAZORIA,82.0,B,N,N,N,ALVIN ISD,4,REGION 04: HOUSTON,B,81.0,C,79.0,B,81.0,B,81.0,22088,75.9,29100,0,0.0,15636,5163,17.7,0,0.0,3895,13.4,0,0.0
020902,C,75.0,20,BRAZORIA,82.0,B,N,N,N,ANGLETON ISD,4,REGION 04: HOUSTON,B,85.0,D,65.0,B,85.0,B,82.0,5193,75.4,6885,0,0.0,4788,1096,15.9,0,0.0,1002,14.6,124,1.8
020904,C,76.0,20,BRAZORIA,80.0,B,N,N,N,DANBURY ISD,4,REGION 04: HOUSTON,C,76.0,C,74.0,C,76.0,B,81.0,568,77.5,733,0,0.0,280,51,7.0,0,0.0,98,13.4,0,0.0
020905,C,78.0,20,BRAZORIA,80.0,B,N,N,N,BRAZOSPORT ISD,4,REGION 04: HOUSTON,B,81.0,C,74.0,B,81.0,C,76.0,8611,74.3,11583,0,0.0,7917,1598,13.8,0,0.0,1788,15.4,0,0.0
020906,F,57.0,20,BRAZORIA,68.0,D,N,N,N,SWEENY ISD,4,REGION 04: HOUSTON,C,71.0,D,61.0,C,71.0,C,73.0,1456,76.7,1898,0,0.0,1132,79,4.2,0,0.0,185,9.7,0,0.0
020907,D,67.0,20,BRAZORIA,75.0,C,N,N,N,COLUMBIA-BRAZORIA ISD,4,REGION 04: HOUSTON,C,79.0,C,73.0,C,79.0,C,76.0,2225,76.3,2917,0,0.0,1919,261,8.9,0,0.0,472,16.2,0,0.0
020908,B,88.0,20,BRAZORIA,89.0,B,N,N,N,PEARLAND ISD,4,REGION 04: HOUSTON,B,86.0,B,82.0,B,86.0,B,89.0,16715,79.0,21167,0,0.0,7859,2685,12.7,0,0.0,2392,11.3,0,0.0
020910,C,72.0,20,BRAZORIA,72.0,C,N,N,N,DAMON ISD,4,REGION 04: HOUSTON,C,72.0,D,65.0,C,72.0,D,67.0,51,54.8,93,0,0.0,77,17,18.3,0,0.0,20,21.5,0,0.0
021803,B,80.0,21,BRAZOS,84.0,B,N,Y,N,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,6,REGION 06: HUNTSVILLE,B,86.0,B,86.0,C,73.0,D,65.0,106,34.4,308,0,0.0,295,123,39.9,0,0.0,28,9.1,0,0.0
021805,D,69.0,21,BRAZOS,68.0,D,N,Y,N,ARROW ACADEMY,6,REGION 06: HUNTSVILLE,D,68.0,D,68.0,D,68.0,D,67.0,393,58.2,675,0,0.0,508,89,13.2,0,0.0,82,12.1,0,0.0
021901,C,77.0,21,BRAZOS,81.0,B,N,N,N,COLLEGE STATION ISD,6,REGION 06: HUNTSVILLE,B,80.0,C,76.0,B,80.0,B,83.0,10746,74.6,14406,0,0.0,5895,1497,10.4,0,0.0,2077,14.4,0,0.0
021902,C,71.0,21,BRAZOS,77.0,C,N,N,N,BRYAN ISD,6,REGION 06: HUNTSVILLE,C,79.0,C,70.0,C,79.0,C,73.0,11658,72.8,16011,466,2.9,12375,4730,29.5,0,0.0,2541,15.9,0,0.0
022004,D,69.0,22,BREWSTER,69.0,D,N,N,N,TERLINGUA CSD,18,REGION 18: MIDLAND,D,65.0,F,55.0,D,65.0,D,69.0,93,76.2,122,0,0.0,95,59,48.4,0,0.0,17,13.9,0,0.0
022901,B,80.0,22,BREWSTER,79.0,C,N,N,N,ALPINE ISD,18,REGION 18: MIDLAND,C,79.0,D,64.0,C,79.0,C,78.0,689,72.4,952,0,0.0,498,69,7.2,0,0.0,130,13.7,0,0.0
022902,A,90.0,22,BREWSTER,89.0,B,N,N,N,MARATHON ISD,18,REGION 18: MIDLAND,B,89.0,B,87.0,B,89.0,B,82.0,42,71.2,59,16,27.1,36,0,0.0,0,0.0,4,6.8,0,0.0
022903,X,,22,BREWSTER,93.0,A,N,N,N,SAN VICENTE ISD,18,REGION 18: MIDLAND,C,77.0,X,,C,77.0,A,93.0,7,87.5,8,0,0.0,0,1,12.5,0,0.0,1,12.5,0,0.0
023902,A,92.0,23,BRISCOE,92.0,A,N,N,N,SILVERTON ISD,16,REGION 16: AMARILLO,A,91.0,D,69.0,A,91.0,A,92.0,153,71.8,213,0,0.0,105,12,5.6,0,0.0,22,10.3,0,0.0
024901,C,74.0,24,BROOKS,73.0,C,N,N,N,BROOKS COUNTY ISD,1,REGION 01: EDINBURG,C,72.0,D,66.0,C,72.0,D,68.0,938,73.1,1284,0,0.0,1198,30,2.3,54,4.2,191,14.9,0,0.0
025901,C,74.0,25,BROWN,80.0,B,N,N,N,BANGS ISD,15,REGION 15: SAN ANGELO,B,83.0,D,64.0,B,83.0,B,80.0,636,74.1,858,0,0.0,568,15,1.7,0,0.0,93,10.8,0,0.0
025902,C,77.0,25,BROWN,79.0,C,N,N,N,BROWNWOOD ISD,15,REGION 15: SAN ANGELO,B,80.0,C,77.0,B,80.0,C,77.0,2438,70.9,3439,0,0.0,2323,118,3.4,0,0.0,521,15.1,0,0.0
025904,D,64.0,25,BROWN,66.0,D,N,N,N,BLANKET ISD,15,REGION 15: SAN ANGELO,D,64.0,D,64.0,D,61.0,D,67.0,108,76.1,142,0,0.0,89,4,2.8,0,0.0,19,13.4,0,0.0
025905,C,76.0,25,BROWN,80.0,B,N,N,N,MAY ISD,15,REGION 15: SAN ANGELO,B,81.0,C,71.0,B,81.0,B,81.0,198,78.0,254,0,0.0,159,15,5.9,0,0.0,43,16.9,0,0.0
025906,B,89.0,25,BROWN,83.0,B,N,N,N,ZEPHYR ISD,15,REGION 15: SAN ANGELO,B,81.0,C,77.0,B,81.0,B,81.0,165,73.0,226,0,0.0,139,2,0.9,0,0.0,30,13.3,0,0.0
025908,D,69.0,25,BROWN,75.0,C,N,N,N,BROOKESMITH ISD,15,REGION 15: SAN ANGELO,C,70.0,F,53.0,C,70.0,C,77.0,153,81.4,188,0,0.0,110,1,0.5,0,0.0,47,25.0,0,0.0
025909,B,85.0,25,BROWN,86.0,B,N,N,N,EARLY ISD,15,REGION 15: SAN ANGELO,B,85.0,C,72.0,B,85.0,B,86.0,893,77.8,1148,0,0.0,537,30,2.6,0,0.0,117,10.2,0,0.0
026901,C,79.0,26,BURLESON,83.0,B,N,N,N,CALDWELL ISD,6,REGION 06: HUNTSVILLE,B,84.0,C,76.0,B,84.0,B,81.0,1433,75.4,1900,0,0.0,1180,280,14.7,0,0.0,218,11.5,0,0.0
026902,D,62.0,26,BURLESON,67.0,D,N,N,N,SOMERVILLE ISD,6,REGION 06: HUNTSVILLE,D,68.0,D,62.0,D,68.0,D,69.0,394,74.5,529,0,0.0,393,55,10.4,0,0.0,66,12.5,0,0.0
026903,B,82.0,26,BURLESON,81.0,B,N,N,N,SNOOK ISD,6,REGION 06: HUNTSVILLE,B,80.0,D,63.0,B,80.0,B,80.0,432,73.3,589,0,0.0,404,93,15.8,0,0.0,70,11.9,0,0.0
027903,D,68.0,27,BURNET,72.0,C,N,N,N,BURNET CISD,13,REGION 13: AUSTIN,C,74.0,C,74.0,C,70.0,C,72.0,2495,75.7,3296,0,0.0,2008,358,10.9,0,0.0,541,16.4,0,0.0
027904,C,72.0,27,BURNET,76.0,C,N,N,N,MARBLE FALLS ISD,13,REGION 13: AUSTIN,C,77.0,C,73.0,C,77.0,C,75.0,2988,73.8,4051,0,0.0,2730,928,22.9,0,0.0,679,16.8,0,0.0
028902,F,58.0,28,CALDWELL,66.0,D,N,N,N,LOCKHART ISD,13,REGION 13: AUSTIN,D,69.0,D,68.0,D,69.0,D,67.0,4821,75.0,6430,0,0.0,4696,2265,35.2,0,0.0,828,12.9,0,0.0
028903,D,64.0,28,CALDWELL,69.0,D,N,N,N,LULING ISD,13,REGION 13: AUSTIN,C,74.0,D,62.0,C,74.0,D,69.0,1022,72.5,1410,0,0.0,1115,196,13.9,0,0.0,183,13.0,0,0.0
028906,F,54.0,28,CALDWELL,67.0,D,N,N,N,PRAIRIE LEA ISD,13,REGION 13: AUSTIN,D,67.0,F,55.0,D,67.0,C,73.0,160,69.9,229,0,0.0,183,29,12.7,0,0.0,25,10.9,0,0.0
029901,C,79.0,29,CALHOUN,80.0,B,N,N,N,CALHOUN COUNTY ISD,3,REGION 03: VICTORIA,B,80.0,C,74.0,B,80.0,C,78.0,2562,72.8,3518,0,0.0,2257,486,13.8,0,0.0,436,12.4,0,0.0
