CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETSTEC,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPETSTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"031916004","SOUTH TEXAS ISD HEALTH PROFESSIONS","031916","SOUTH TEXAS ISD","031","CAMERON","01","REGION 01: EDINBURG","A","A","B","B","B","A",797,797,"S","09 - 12",66.1,"N","N","N","N","N"," ","N","N",64,91,82,84,100,100,83,88,88,,86,95,90,88,92,0,0,0,75,805,9.3,527,31,"09","12",146,18.3,3.9,0,0,0,100,"N","N","N","N"," "," ",,
"031916005","SOUTH TEXAS ISD SCIENCE ACADEMY","031916","SOUTH TEXAS ISD","031","CAMERON","01","REGION 01: EDINBURG","A","A","A","B","A","A",846,846,"S","09 - 12",50.5,"N","N","N","N","N"," ","N","N",69,92,96,97,100,100,76,82,95,,95,98,96,95,97,0,0,34,59,832,7.1,427,56,"09","12",74,8.7,6.6,0,4,0,100,"N","N","N","N"," "," ",,
"031916009","SOUTH TEXAS ISD VIRTUAL ACADEMY","031916","SOUTH TEXAS ISD","031","CAMERON","01","REGION 01: EDINBURG","A","A","A","B","A","A",181,181,"B","06 - 11",56.9,"N","N","N","N","N"," ","N","N",64,91,,,100,100,81,86,92,,84,94,91,92,93,0,0,0,35,234,15,103,22,"06","11",25,13.8,12.2,0,0,0,100,"N","N","N","N"," "," ",,
"031916041","SOUTH TEXAS ISD PREPARATORY ACADEMY","031916","SOUTH TEXAS ISD","031","CAMERON","01","REGION 01: EDINBURG","A","A","A","A","A","A",732,732,"M","06 - 08",47.7,"N","N","N","N","N"," ","N","N",78,95,,,,,81,91,95,,87,96,95,95,95,0,0,0,29,667,4.3,349,35,"06","08",162,22.1,4.8,0,0,0,100,"N","N","N","N"," "," ",,
"031916042","SOUTH TEXAS ISD RISING SCHOLARS ACADEMY","031916","SOUTH TEXAS ISD","031","CAMERON","01","REGION 01: EDINBURG","A","A","A","A","A","A",682,682,"M","06 - 08",58.7,"N","N","N","N","N"," ","N","N",74,94,,,,,81,91,94,,86,95,94,94,94,0,0,0,24,623,3.9,400,34,"06","08",156,22.9,5,0,0,0,100,"N","N","N","N"," "," ",,
"032902002","PITTSBURG H S","032902","PITTSBURG ISD","032","CAMP","08","REGION 08: MT PLEASANT","A","A","B","F","B","A",674,674,"S","09 - 12",74.3,"N","N","N","N","N"," ","N","N",54,82,98,98,99.4,95,59,58,89,,78,92,91,89,91,0,0,0,76,763,10,501,87,"09","12",99,14.7,12.9,0,0,0,100,"N","N","N","N"," "," ",,
"032902041","PITTSBURG J H","032902","PITTSBURG ISD","032","CAMP","08","REGION 08: MT PLEASANT","A","B","A","B","A","B",341,341,"M","07 - 08",77.1,"N","N","N","N","N"," ","N","N",55,85,,,,,69,81,91,,70,89,85,91,90,0,,,34,365,9.3,263,47,"07","08",70,20.5,13.8,0,0,0,100,"N","N","N","N"," "," ",,
"032902103","PITTSBURG EL","032902","PITTSBURG ISD","032","CAMP","08","REGION 08: MT PLEASANT","B","C","B","B","B","B",502,356,"E","02 - 04",78.7,"N","N","N","N","N"," ","Y","N",46,74,,,,,75,85,81,,66,84,74,85,85,,,,44,570,7.7,395,82,"02","04",140,27.9,16.3,0,0,0,70.9,"N","N","N","N"," "," ",,
"032902104","PITTSBURG PRI","032902","PITTSBURG ISD","032","CAMP","08","REGION 08: MT PLEASANT","B","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",445,0,"E","EE - 01",81.6,"N","N","N","N","N","032902103","N","Y",,,,,,,,,,,,,,,85,,,,15,175,8.6,363,63,"EE","01",112,25.2,14.2,0,0,0,0,"N","N","N","N","PITTSBURG EL"," ",,
"032902105","PITTSBURG INT","032902","PITTSBURG ISD","032","CAMP","08","REGION 08: MT PLEASANT","A","B","A","A","A","A",318,318,"M","05 - 06",75.2,"N","N","N","N","N"," ","N","N",59,89,,,,,85,93,92,,83,94,89,93,93,0,,,36,317,11.4,239,60,"05","06",109,34.3,18.9,0,0,0,100,"N","N","N","N"," "," ",,
"033901001","GROOM SCHOOL","033901","GROOM ISD","033","CARSON","16","REGION 16: AMARILLO","C","B","C","C","C","D",135,103,"B","PK - 12",31.1,"N","N","N","N","N"," ","N","N",55,83,62,68,100,100,68,70,72,,46,68,80,72,76,0,0,0,21,144,14.6,42,24,"PK","12",1,0.7,17.8,0,0,0,76.3,"N","N","N","N"," "," ",,
"033902001","PANHANDLE H S","033902","PANHANDLE ISD","033","CARSON","16","REGION 16: AMARILLO","A","A","B","C","B","A",199,199,"S","09 - 12",24.1,"N","N","N","N","N"," ","N","N",61,90,87,89,100,100,72,77,82,,80,92,92,82,92,0,0,0,22,203,10.8,48,27,"09","12",4,2,13.6,0,0,0,100,"N","N","N","N"," "," ",,
"033902041","PANHANDLE J H","033902","PANHANDLE ISD","033","CARSON","16","REGION 16: AMARILLO","B","A","B","B","C","B",133,133,"M","06 - 08",23.3,"N","N","N","N","N"," ","N","N",60,90,,,,,68,80,75,,59,81,90,80,87,0,,,15,158,9.5,31,24,"06","08",5,3.8,18,0,0,0,100,"N","N","N","N"," "," ",,
"033902101","PANHANDLE EL","033902","PANHANDLE ISD","033","CARSON","16","REGION 16: AMARILLO","A","A","B","B","B","A",293,136,"E","EE - 05",26.6,"N","N","N","N","N"," ","N","N",63,91,,,,,76,86,80,,77,91,91,86,91,,,,23,249,9.2,78,55,"EE","05",5,1.7,18.8,0,0,0,46.4,"N","N","N","N"," "," ",,
"033904001","WHITE DEER H S","033904","WHITE DEER ISD","033","CARSON","16","REGION 16: AMARILLO","C","C","C","D","C","B",156,156,"B","06 - 12",51.9,"N","N","N","N","N"," ","N","N",51,78,56,64,100,100,65,65,73,,64,82,77,73,79,0,0,23,28,166,16.9,81,31,"06","12",1,0.6,19.9,0,14.7,0,100,"N","N","N","N"," "," ",,
"033904102","WHITE DEER EL","033904","WHITE DEER ISD","033","CARSON","16","REGION 16: AMARILLO","C","C","C","C","C","B",153,76,"E","PK - 05",53.6,"N","N","N","N","N"," ","N","N",49,77,,,,,69,78,76,,63,82,77,78,79,,,,22,158,13.9,82,20,"PK","05",5,3.3,13.1,0,0,0,49.7,"N","N","N","N"," "," ",,
"034901001","ATLANTA H S","034901","ATLANTA ISD","034","CASS","08","REGION 08: MT PLEASANT","B","A","B","B","B","B",503,503,"S","09 - 12",57.5,"N","N","N","N","N"," ","N","N",50,77,96,97,100,100,74,80,89,,69,86,90,89,89,0,0,0,60,512,11.7,289,56,"09","12",6,1.2,11.1,0,0,0,100,"N","N","N","N"," "," ",,
"034901042","ATLANTA MIDDLE","034901","ATLANTA ISD","034","CASS","08","REGION 08: MT PLEASANT","B","C","B","C","B","C",412,412,"M","06 - 08",60.4,"N","N","N","N","N"," ","N","N",47,78,,,,,61,70,82,,43,74,78,82,80,0,0,0,56,408,13.7,249,55,"06","08",6,1.5,13.3,0,0,0,100,"N","N","N","N"," "," ",,
"034901106","ATLANTA EL","034901","ATLANTA ISD","034","CASS","08","REGION 08: MT PLEASANT","A","B","B","B","B","A",435,435,"E","03 - 05",64.8,"N","N","N","N","N"," ","Y","N",56,85,,,,,79,89,87,,79,92,85,89,90,0,0,0,51,479,10.6,282,87,"03","05",22,5.1,20,0,0,0,100,"N","N","N","N"," "," ",,
"034901107","ATLANTA PRI","034901","ATLANTA ISD","034","CASS","08","REGION 08: MT PLEASANT","A","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",575,0,"E","EE - 02",72,"N","N","N","N","N","034901106","N","Y",,,,,,,,,,,,,,,90,0,0,0,36,336,10.7,414,96,"EE","02",31,5.4,16.7,0,0,0,0,"N","N","N","N","ATLANTA EL"," ",,
"034902001","AVINGER SCHOOL","034902","AVINGER ISD","034","CASS","08","REGION 08: MT PLEASANT","B","B","B","C","B","A",117,92,"B","KG - 12",76.1,"N","N","N","N","N"," ","N","N",52,79,79,81,100,100,71,75,87,,78,92,84,87,89,0,0,0,26,131,19.8,89,20,"KG","12",1,0.9,17.1,0,0,0,78.6,"N","N","N","N"," "," ",,
"034903001","HUGHES SPRINGS H S","034903","HUGHES SPRINGS ISD","034","CASS","08","REGION 08: MT PLEASANT","A","A","A","C","A","A",331,331,"S","09 - 12",52.6,"N","N","N","N","N"," ","N","N",62,91,88,90,100,100,68,70,90,,74,90,92,90,91,0,0,0,37,358,10.3,174,27,"09","12",14,4.2,8.2,0,0,0,100,"N","N","N","N"," "," ",,
"034903041","HUGHES SPRINGS J H","034903","HUGHES SPRINGS ISD","034","CASS","08","REGION 08: MT PLEASANT","B","B","A","B","A","B",261,261,"M","06 - 08",50.2,"N","N","N","N","N"," ","N","N",59,89,,,,,72,83,90,,58,80,89,90,87,0,0,0,46,305,15.1,131,33,"06","08",12,4.6,12.6,0,0,0,100,"N","N","N","N"," "," ",,
"034903101","HUGHES SPRINGS EL","034903","HUGHES SPRINGS ISD","034","CASS","08","REGION 08: MT PLEASANT","C","C","C","C","C","C",525,227,"E","EE - 05",61.9,"N","N","N","N","N"," ","N","N",48,76,,,,,67,75,79,,53,77,76,79,78,0,0,0,63,425,14.8,325,100,"EE","05",35,6.7,19,0,0,0,43.2,"N","N","N","N"," "," ",,
"034905002","LINDEN-KILDARE H S","034905","LINDEN-KILDARE CISD","034","CASS","08","REGION 08: MT PLEASANT","B","B","A","C","A","B",180,180,"S","09 - 12",55.6,"N","N","N","N","N"," ","N","N",59,89,92,93,95,75,68,70,91,,68,85,88,91,89,0,0,0,28,200,14,100,21,"09","12",13,7.2,11.7,0,0,0,100,"N","N","N","N"," "," ",,
"034905041","MAE LUSTER STEPHENS J H","034905","LINDEN-KILDARE CISD","034","CASS","08","REGION 08: MT PLEASANT","F","D","F","F","F","F",132,132,"M","06 - 08",66.7,"N","N","N","N","N"," ","N","N",33,62,,,,,47,55,59,,12,53,62,59,59,0,,,30,148,20.3,88,26,"06","08",9,6.8,19.7,0,0,0,100,"N","N","N","N"," "," ",,
"034905102","LINDEN EL","034905","LINDEN-KILDARE CISD","034","CASS","08","REGION 08: MT PLEASANT","D","D","D","D","D","C",342,140,"E","PK - 05",74.9,"N","N","N","N","N"," ","N","N",38,65,,,,,62,69,67,,43,73,65,69,69,,,,39,268,14.6,256,61,"PK","05",21,6.1,17.8,0,0,0,40.9,"N","N","N","N"," "," ",,
"034906001","MCLEOD SCHOOL","034906","MCLEOD ISD","034","CASS","08","REGION 08: MT PLEASANT","C","C","C","C","C","B",428,328,"B","PK - 12",54.4,"N","N","N","N","N"," ","N","N",48,76,62,68,100,100,68,70,75,,65,82,78,75,79,0,0,0,10,116,8.6,233,68,"PK","12",0,0,15.9,0,0,0,76.6,"N","N","N","N"," "," ",,
"034907001","QUEEN CITY H S","034907","QUEEN CITY ISD","034","CASS","08","REGION 08: MT PLEASANT","A","A","B","F","B","B",292,292,"S","09 - 12",54.5,"N","N","N","N","N"," ","N","N",53,80,97,98,100,100,61,59,89,,70,87,91,89,90,0,0,0,39,318,12.3,159,45,"09","12",1,0.3,15.4,0,0,0,100,"N","N","N","N"," "," ",,
"034907041","MORRIS UPCHURCH MIDDLE","034907","QUEEN CITY ISD","034","CASS","08","REGION 08: MT PLEASANT","C","C","C","D","C","C",265,265,"M","05 - 08",61.5,"N","N","N","N","N"," ","N","N",44,75,,,,,58,65,79,,40,72,75,79,77,0,,,29,291,10,163,46,"05","08",0,0,17.4,0,0,0,100,"N","N","N","N"," "," ",,
"034907101","J K HILEMAN EL","034907","QUEEN CITY ISD","034","CASS","08","REGION 08: MT PLEASANT","B","B","B","B","B","C",369,140,"E","EE - 04",72.9,"N","N","N","N","N"," ","N","N",53,80,,,,,75,85,86,,56,78,80,86,84,,,,34,281,12.1,269,84,"EE","04",0,0,22.8,0,0,0,37.9,"N","N","N","N"," "," ",,
"034909001","BLOOMBURG SCHOOL","034909","BLOOMBURG ISD","034","CASS","08","REGION 08: MT PLEASANT","B","B","B","F","B","C",243,176,"B","PK - 12",75.3,"N","N","N","N","N"," ","N","N",44,72,90,92,100,100,59,58,85,,50,71,86,85,82,0,0,0,25,235,10.6,183,37,"PK","12",5,2.1,15.2,0,0,0,72.4,"N","N","N","N"," "," ",,
"035901001","DIMMITT H S","035901","DIMMITT ISD","035","CASTRO","16","REGION 16: AMARILLO","B","B","B","C","B","B",313,313,"S","09 - 12",83.7,"N","N","N","N","N"," ","N","N",46,74,88,90,97.8,85,72,77,86,,69,86,83,86,86,0,0,0,29,319,9.1,262,29,"09","12",77,24.6,9.3,0,0,0,100,"N","N","N","N"," "," ",,
"035901041","DIMMITT MIDDLE","035901","DIMMITT ISD","035","CASTRO","16","REGION 16: AMARILLO","B","D","C","C","C","B",247,247,"M","06 - 08",87.4,"N","N","N","N","N"," ","N","N",37,69,,,,,67,79,79,,70,89,69,79,82,0,,,14,279,5,216,25,"06","08",80,32.4,10.1,0,0,0,100,"N","N","N","N"," "," ",,
"035901102","RICHARDSON EL","035901","DIMMITT ISD","035","CASTRO","16","REGION 16: AMARILLO","C","F","C","C","D","C",528,251,"E","PK - 05",83.9,"N","N","N","N","N"," ","N","N",34,59,,,,,68,76,62,,55,78,59,76,77,,,,37,417,8.9,443,61,"PK","05",136,25.8,11.6,0,0,0,47.5,"N","N","N","N"," "," ",,
"035902001","HART ISD","035902","HART ISD","035","CASTRO","16","REGION 16: AMARILLO","C","C","C","C","C","C",212,152,"B","PK - 12",83.5,"N","N","N","N","N"," ","N","N",47,75,40,53,100,100,69,72,70,,58,77,71,72,74,0,0,0,42,203,20.7,177,26,"PK","12",75,35.4,12.3,0,0,0,71.7,"N","N","N","N"," "," ",,
"035903001","NAZARETH SCHOOL","035903","NAZARETH ISD","035","CASTRO","16","REGION 16: AMARILLO","A","A","A","C","A","A",247,181,"B","PK - 12",20.6,"N","N","N","N","N"," ","N","N",70,93,100,100,100,100,73,79,94,,100,100,97,94,98,0,0,0,2,217,0.9,51,29,"PK","12",1,0.4,11.7,0,0,0,73.3,"N","N","N","N"," "," ",,
"036901001","ANAHUAC H S","036901","ANAHUAC ISD","036","CHAMBERS","04","REGION 04: HOUSTON","B","B","B","F","B","B",475,475,"S","09 - 12",57.5,"N","N","N","N","N"," ","N","N",47,75,94,95,100,100,61,59,86,,62,80,88,86,86,,,0,43,474,9.1,273,51,"09","12",24,5.1,10.7,0,0,0,100,"N","N","N","N"," "," ",,
"036901041","ANAHUAC MIDDLE","036901","ANAHUAC ISD","036","CHAMBERS","04","REGION 04: HOUSTON","D","C","D","F","D","D",342,342,"M","06 - 08",59.9,"N","N","N","N","N"," ","N","N",39,71,,,,,54,59,69,,25,65,71,69,69,,,,37,350,10.6,205,49,"06","08",18,5.3,14.3,0,0,0,100,"N","N","N","N"," "," ",,
"036901101","ANAHUAC EL","036901","ANAHUAC ISD","036","CHAMBERS","04","REGION 04: HOUSTON","C","D","C","C","F","C",724,335,"E","EE - 05",63.5,"N","N","N","N","N"," ","N","N",35,60,,,,,68,76,57,,37,71,60,76,75,,,,77,600,12.8,460,146,"EE","05",81,11.2,20.2,0,0,0,46.3,"N","N","N","N"," "," ",,
"036902001","BARBERS HILL H S","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","A","B","B","B","A",2080,2080,"S","09 - 12",24.8,"N","N","N","N","N"," ","N","N",66,92,88,90,99.7,95,74,80,86,,82,93,92,86,92,,,0,210,2077,10.1,515,218,"09","12",77,3.7,10.5,0,0,0,100,"N","N","N","N"," "," ",,
"036902005","ALTERNATIVE SCHOOL","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",13,13,"S","07 - 12",53.8,"Y","N","N","N","N"," ","N","N",,,,,,,,,,,,,,,,,,0,137,137,100,7,5,"07","12",1,7.7,38.5,0,0,0,100,"N","N","N","N"," "," ",,
"036902042","BARBERS HILL MIDDLE NORTH","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","A","B","B","B","B",579,579,"M","07 - 08",26.1,"N","N","N","N","N"," ","N","N",63,91,,,,,73,84,82,,67,87,91,84,90,,,,51,563,9.1,151,68,"07","08",25,4.3,11.7,0,0,0,100,"N","N","N","N"," "," ",,
"036902043","BARBERS HILL MIDDLE SOUTH","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","A","B","B","B","A",619,619,"M","07 - 08",31.5,"N","N","N","N","N"," ","N","N",63,91,,,,,77,87,85,,81,93,91,87,92,,,,70,668,10.5,195,60,"07","08",43,6.9,9.7,0,0,0,100,"N","N","N","N"," "," ",,
"036902044","BARBERS HILL INT NORTH","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","A","A","A","B","A",861,861,"E","04 - 06",27.6,"N","N","N","N","N"," ","N","N",71,93,,,,,80,90,88,,75,90,93,90,92,,,,67,809,8.3,238,124,"04","06",16,1.9,14.4,0,0,0,100,"N","N","N","N"," "," ",,
"036902045","BARBERS HILL INT SOUTH","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","A","B","B","B","B",935,935,"E","04 - 06",33.7,"N","N","N","N","N"," ","N","N",63,91,,,,,73,82,83,,73,89,91,83,90,,,,73,917,8,315,146,"04","06",87,9.3,15.6,0,0,0,100,"N","N","N","N"," "," ",,
"036902104","BARBERS HILL EL NORTH","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","A","A","Not Rated","A","A",865,302,"E","01 - 03",30.5,"N","N","N","N","N"," ","N","N",73,93,,,,,,,90,,92,97,93,90,94,,,,75,906,8.3,264,111,"01","03",18,2.1,12.8,0,0,0,34.9,"N","N","N","N"," "," ",,
"036902105","BARBERS HILL EL SOUTH","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","A","B","Not Rated","B","A",917,322,"E","01 - 03",41,"N","N","N","N","N"," ","Y","N",62,91,,,,,,,85,,84,94,91,85,92,,,,94,934,10.1,376,99,"01","03",91,9.9,10.8,0,0,0,35.1,"N","N","N","N"," "," ",,
"036902302","EARLY CHILDHOOD CENTER","036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","A","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",823,0,"E","EE - KG",39.9,"N","N","N","N","N","036902105","N","Y",,,,,,,,,,,,,,,92,,,,,,,328,115,"EE","KG",82,10,14,0,0,0,0,"N","Y","N","N","BARBERS HILL EL SOUTH"," ",,
"036903001","EAST CHAMBERS H S","036903","EAST CHAMBERS ISD","036","CHAMBERS","05","REGION 05: BEAUMONT","A","A","A","C","A","A",466,466,"S","09 - 12",50.2,"N","N","N","N","N"," ","N","N",54,82,97,98,100,100,73,79,91,,74,90,92,91,91,0,0,0,49,478,10.3,234,45,"09","12",85,18.2,9.7,0,0,0,100,"N","N","N","N"," "," ",,
"036903041","EAST CHAMBERS J H","036903","EAST CHAMBERS ISD","036","CHAMBERS","05","REGION 05: BEAUMONT","C","C","C","C","C","C",356,356,"M","06 - 08",55.3,"N","N","N","N","N"," ","N","N",44,75,,,,,64,75,75,,39,72,75,75,74,0,0,0,27,370,7.3,197,41,"06","08",128,36,11.5,0,0,0,100,"N","N","N","N"," "," ",,
"036903101","EAST CHAMBERS EL","036903","EAST CHAMBERS ISD","036","CHAMBERS","05","REGION 05: BEAUMONT","C","C","B","B","C","C",308,308,"E","03 - 05",56.5,"N","N","N","N","N"," ","Y","N",49,77,,,,,71,80,78,,56,78,77,80,79,,,,36,358,10.1,174,57,"03","05",96,31.2,18.5,0,0,0,100,"N","N","N","N"," "," ",,
"036903103","EAST CHAMBERS PRI","036903","EAST CHAMBERS ISD","036","CHAMBERS","05","REGION 05: BEAUMONT","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",433,0,"E","EE - 02",63.7,"N","N","N","N","N","036903101","N","Y",,,,,,,,,,,,,,,79,0,0,0,17,221,7.7,276,52,"EE","02",127,29.3,12,0,0,0,0,"N","N","N","N","EAST CHAMBERS EL"," ",,
"037901001","ALTO H S","037901","ALTO ISD","037","CHEROKEE","07","REGION 07: KILGORE","A","A","A","D","A","B",147,147,"S","09 - 12",72.8,"N","N","N","N","N"," ","N","N",54,82,100,100,100,100,63,62,95,,72,88,93,95,93,0,0,0,17,169,10.1,107,27,"09","12",26,17.7,18.4,0,0,0,100,"N","N","N","N"," "," ",,
"037901041","ALTO MIDDLE","037901","ALTO ISD","037","CHEROKEE","07","REGION 07: KILGORE","B","C","B","C","B","C",155,155,"M","05 - 08",80.6,"N","N","N","N","N"," ","N","N",43,75,,,,,66,78,84,,52,77,75,84,82,0,,,11,174,6.3,125,36,"05","08",42,27.1,23.2,0,0,0,100,"N","N","N","N"," "," ",,
"037901101","ALTO EL","037901","ALTO ISD","037","CHEROKEE","07","REGION 07: KILGORE","D","D","C","C","F","D",199,75,"E","PK - 04",69.3,"N","N","N","N","N"," ","N","N",35,60,,,,,63,70,59,,31,69,60,70,69,0,0,0,23,166,13.9,138,33,"PK","04",39,19.6,16.6,0,0,0,37.7,"N","N","N","N"," "," ",,
"037904002","JACKSONVILLE H S","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","C","C","C","D","C","B",1361,1361,"S","09 - 12",77.1,"N","N","N","N","N"," ","N","N",44,72,66,71,95.5,75,67,69,77,,65,82,72,77,79,,,0,211,1424,14.8,1050,177,"09","12",357,26.2,13,0,0,0,100,"N","N","N","N"," "," ",,
"037904004","COMPASS CENTER","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",34,34,"B","04 - 12",85.3,"Y","N","N","N","N"," ","N","N",,,,,,,,,,,,,,,,,,0,114,114,100,29,5,"04","12",5,14.7,14.7,0,0,0,100,"N","N","N","N"," "," ",,
"037904042","JACKSONVILLE MIDDLE","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","D","F","D","F","D","D",645,645,"M","07 - 08",84.8,"N","N","N","N","N"," ","N","N",30,58,,,,,54,59,63,,24,64,58,63,63,,,,105,745,14.1,547,102,"07","08",278,43.1,15.8,0,0,0,100,"N","N","N","N"," "," ",,
"037904043","NICHOLS INT","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","F","F","F","F","F","F",659,659,"M","05 - 06",83.5,"N","N","N","N","N"," ","N","N",24,52,,,,,38,50,55,,4,38,52,55,50,,,,60,704,8.5,550,145,"05","06",261,39.6,22,0,0,0,100,"N","N","N","N"," "," ",,
"037904102","EAST SIDE EL","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","C","C","C","C","C","C",607,215,"E","EE - 04",77.3,"N","N","N","N","N"," ","N","N",44,72,,,,,67,75,79,,44,74,72,79,78,,,,50,460,10.9,469,137,"EE","04",143,23.6,22.6,0,0,0,35.4,"N","N","N","N"," "," ",,
"037904103","FRED DOUGLASS","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","C","C","B","D","B","C",596,203,"E","EE - 04",90.3,"N","N","N","N","N"," ","N","N",44,72,,,,,60,66,81,,48,75,72,81,79,,,,25,429,5.8,538,83,"EE","04",314,52.7,13.9,0,0,0,34.1,"N","N","N","N"," "," ",,
"037904104","WEST SIDE EL","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","D","F","C","C","D","D",400,134,"E","PK - 04",93.3,"N","N","N","N","N"," ","N","N",34,59,,,,,63,70,65,,13,60,59,70,67,,,,39,287,13.6,373,48,"PK","04",149,37.3,12,0,0,0,33.5,"N","N","N","N"," "," ",,
"037904105","JOE WRIGHT EL","037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","C","C","B","D","B","C",525,184,"E","EE - 04",90.1,"N","N","N","N","N"," ","N","N",45,73,,,,,58,63,82,,39,72,73,82,79,,,,58,407,14.3,473,114,"EE","04",240,45.7,21.7,0,0,0,35,"N","N","N","N"," "," ",,
"037907002","RUSK H S","037907","RUSK ISD","037","CHEROKEE","07","REGION 07: KILGORE","B","B","B","F","B","C",603,603,"S","09 - 12",63.5,"N","N","N","N","N"," ","N","N",47,75,85,87,98.2,90,57,57,83,,54,74,83,83,80,,,0,77,644,12,383,62,"09","12",47,7.8,10.3,0,0,0,100,"N","N","N","N"," "," ",,
"037907041","RUSK J H","037907","RUSK ISD","037","CHEROKEE","07","REGION 07: KILGORE","B","B","B","C","B","C",493,493,"M","06 - 08",63.7,"N","N","N","N","N"," ","N","N",49,80,,,,,67,79,86,,42,73,80,86,82,,,,53,515,10.3,314,81,"06","08",40,8.1,16.4,0,0,0,100,"N","N","N","N"," "," ",,
"037907100","RUSK INT","037907","RUSK ISD","037","CHEROKEE","07","REGION 07: KILGORE","B","C","B","C","B","C",268,268,"E","04 - 05",72.4,"N","N","N","N","N"," ","N","N",48,76,,,,,68,76,82,,59,79,76,82,81,,,,38,323,11.8,194,48,"04","05",31,11.6,17.9,0,0,0,100,"N","N","N","N"," "," ",,
"037907102","RUSK EL","037907","RUSK ISD","037","CHEROKEE","07","REGION 07: KILGORE","C","C","B","Not Rated","B","C",329,157,"E","02 - 03",73.6,"N","N","N","N","N"," ","Y","N",46,74,,,,,,,80,,52,77,74,80,79,,,,36,309,11.7,242,51,"02","03",25,7.6,15.5,0,0,0,47.7,"N","N","N","N"," "," ",,
"037907103","GW BRADFORD PRI","037907","RUSK ISD","037","CHEROKEE","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",363,0,"E","EE - 01",77.1,"N","N","N","N","N","037907102","N","Y",,,,,,,,,,,,,,,79,,,,22,181,12.2,280,44,"EE","01",21,5.8,12.1,0,0,0,0,"N","N","N","N","RUSK EL"," ",,
"037908001","NEW SUMMERFIELD SCHOOL","037908","NEW SUMMERFIELD ISD","037","CHEROKEE","07","REGION 07: KILGORE","C","C","D","D","D","C",511,379,"B","PK - 12",84.5,"N","N","N","N","N"," ","N","N",46,74,38,52,100,100,64,64,69,,51,72,70,69,71,0,0,0,34,484,7,432,58,"PK","12",256,50.1,11.4,0,0,0,74.2,"N","N","N","N"," "," ",,
"037909001","WELLS SCHOOL","037909","WELLS ISD","037","CHEROKEE","07","REGION 07: KILGORE","B","B","B","D","B","B",242,168,"B","PK - 12",68.6,"N","N","N","N","N"," ","N","N",40,69,100,100,100,100,64,64,87,,71,87,88,87,88,,,0,36,233,15.5,166,45,"PK","12",10,4.1,18.6,0,0,0,69.4,"N","N","N","N"," "," ",,
"038901001","CHILDRESS H S","038901","CHILDRESS ISD","038","CHILDRESS","16","REGION 16: AMARILLO","B","B","B","B","B","A",318,318,"S","09 - 12",47.8,"N","N","N","N","N"," ","N","N",62,91,79,81,97,85,81,86,87,,82,93,86,87,89,0,0,0,41,320,12.8,152,49,"09","12",11,3.5,15.4,0,0,0,100,"N","N","N","N"," "," ",,
