CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETSTEC,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPETSTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"001907101","NORTHSIDE PRI","001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",440,0,"E","KG - 01",82,"N","N","N","N","N","001907107","N","Y",,,,,,,,,,,,,,,78,0,0,0,48,279,17.2,361,71,"KG","01",57,13,16.1,0,0,0,0,"N","N","N","N","SOUTHSIDE EL"," ",,
"001907102","WASHINGTON EARLY CHILDHOOD CENTER","001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",215,0,"E","EE - PK",87.4,"N","N","N","N","N","001907107","N","Y",,,,,,,,,,,,,,,78,0,0,0,,,,188,23,"EE","PK",29,13.5,10.7,0,0,0,0,"N","Y","N","N","SOUTHSIDE EL"," ",,
"001907107","SOUTHSIDE EL","001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","C","C","C","Not Rated","C","C",460,216,"E","02 - 03",84.8,"N","N","N","N","N"," ","Y","N",43,72,,,,,,,79,,54,77,72,79,78,0,0,0,64,487,13.1,390,87,"02","03",74,16.1,18.9,0,0,0,47,"N","N","N","N"," "," ",,
"001907110","STORY INT","001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","C","D","C","C","C","C",673,673,"E","04 - 06",83.7,"N","N","N","N","N"," ","N","N",39,67,,,,,65,73,72,,53,77,67,73,74,0,0,0,93,724,12.8,563,135,"04","06",140,20.8,20.1,0,0,0,100,"N","N","N","N"," "," ",,
"001908002","WESTWOOD H S","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","F","B","B",404,404,"S","09 - 12",75.2,"N","N","N","N","N"," ","N","N",42,71,90,92,99,95,60,59,84,,67,84,84,84,84,,,0,70,467,15,304,67,"09","12",30,7.4,16.6,0,0,0,100,"N","N","N","N"," "," ",,
"001908041","WESTWOOD J H","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","F","F","F","F","F","F",202,202,"M","07 - 08",82.2,"N","N","N","N","N"," ","N","N",25,53,,,,,47,55,56,,8,45,53,56,53,,,,27,226,11.9,166,32,"07","08",16,7.9,15.8,0,0,0,100,"N","N","N","N"," "," ",,
"001908101","WESTWOOD EL","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","D","D","D","D","D","C",375,375,"E","03 - 06",79.7,"N","N","N","N","N"," ","Y","N",35,60,,,,,58,63,62,,46,75,60,63,67,,,,74,442,16.7,299,79,"03","06",29,7.7,21.1,0,0,0,100,"N","N","N","N"," "," ",,
"001908102","WESTWOOD PRI","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","D","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",384,0,"E","EE - 02",83.3,"N","N","N","N","N","001908101","N","Y",,,,,,,,,,,,,,,67,,,,35,198,17.7,320,51,"EE","02",21,5.5,13.3,0,0,0,0,"N","N","N","N","WESTWOOD EL"," ",,
"001909001","SLOCUM H S","001909","SLOCUM ISD","001","ANDERSON","07","REGION 07: KILGORE","A","A","A","B","A","A",82,82,"S","09 - 12",28,"N","N","N","N","N"," ","N","N",74,94,89,91,100,100,74,80,90,,83,93,94,90,94,0,0,0,8,96,8.3,23,12,"09","12",0,0,14.6,0,0,0,100,"N","N","N","N"," "," ",,
"001909101","SLOCUM PK - 8","001909","SLOCUM ISD","001","ANDERSON","07","REGION 07: KILGORE","B","C","B","B","D","C",250,154,"E","EE - 08",42,"N","N","N","N","N"," ","N","N",49,77,,,,,73,82,69,,56,78,77,82,81,0,,,47,234,20.1,105,44,"EE","08",8,3.2,17.6,0,0,0,61.6,"N","N","N","N"," "," ",,
"002901001","ANDREWS H S","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","A","B","B","F","B","A",1196,1196,"S","09 - 12",38.5,"N","N","N","N","N"," ","N","N",47,75,99,99,99.6,95,57,57,84,,76,91,89,84,90,,,0,128,1237,10.3,461,166,"09","12",140,11.7,13.9,0,0,0,100,"N","N","N","N"," "," ",,
"002901002","ANDREWS EDUCATION CENTER","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","A","C","A","Not Rated","A","Not Rated",47,47,"S","09 - 12",72.3,"N","N","N","Y","N"," ","N","N",42,90,5,43,100,100,,,93,72,,,73,93,93,,,0,60,92,65.2,34,3,"09","12",8,17,6.4,0,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"002901041","ANDREWS MIDDLE","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","B","B","B","B","B","A",941,941,"M","06 - 08",50.1,"N","N","N","N","N"," ","N","N",49,80,,,,,69,81,80,,71,90,80,81,84,,,,104,987,10.5,471,130,"06","08",145,15.4,13.8,0,0,0,100,"N","N","N","N"," "," ",,
"002901101","DEVONIAN EL","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","C","C","D","Not Rated","D","C",687,350,"E","02 - 03",53,"N","N","N","N","N"," ","Y","N",44,72,,,,,,,67,,46,75,72,67,73,,,,69,678,10.2,364,98,"02","03",151,22,14.3,0,0,0,50.9,"N","N","N","N"," "," ",,
"002901104","UNDERWOOD EL","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","C","D","C","C","F","C",649,649,"E","04 - 05",53.6,"N","N","N","N","N"," ","N","N",38,65,,,,,64,71,58,,44,74,65,71,72,,,,54,682,7.9,348,106,"04","05",122,18.8,16.3,0,0,0,100,"N","N","N","N"," "," ",,
"002901105","CLEARFORK EL","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",736,0,"E","EE - 01",58.6,"N","N","N","N","N","002901101","N","Y",,,,,,,,,,,,,,,73,,,,32,357,9,431,78,"EE","01",198,26.9,10.6,0,0,0,0,"N","N","N","N","DEVONIAN EL"," ",,
"003801001","PINEYWOODS COMMUNITY ACADEMY H S","003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","A","B","A","A","B","B",262,262,"S","09 - 12",53.4,"N","N","N","N","N"," ","N","N",68,92,64,70,100,100,88,92,83,,73,89,85,92,91,0,124,11,21,212,9.9,140,32,"09","12",14,5.3,12.2,47.3,4.2,0,100,"Y","N","N","N"," "," ",,
"003801042","DR TERRY ROBBINS MIDDLE","003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","C","B","C",255,255,"M","06 - 08",58.4,"N","N","N","N","N"," ","N","N",47,78,,,,,61,70,81,,45,74,78,81,79,0,0,0,26,242,10.7,149,46,"06","08",17,6.7,18,0,0,0,100,"Y","N","N","N"," "," ",,
"003801103","SARAH STRINDEN EL","003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","B","C","B","B","C","B",505,236,"E","PK - 05",63,"N","N","N","N","N"," ","N","N",47,75,,,,,78,88,77,,70,87,75,88,88,,,,25,419,6,318,57,"PK","05",45,8.9,11.3,0,0,0,46.7,"Y","N","N","N"," "," ",,
"003902001","HUDSON H S","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","D","B","A",787,787,"S","09 - 12",51,"N","N","N","N","N"," ","N","N",61,90,72,76,98.3,90,63,62,84,,75,90,84,84,86,,,0,77,838,9.2,401,101,"09","12",51,6.5,12.8,0,0,0,100,"N","N","N","N"," "," ",,
"003902004","STUBBLEFIELD LRN CTR","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","Not Rated","Not Rated","Not Rated","Not Rated",15,15,"S","10 - 12",66.7,"N","N","N","Y","N"," ","N","N",52,92,27,77,100,100,,,,,,,88,,88,,,0,16,18,88.9,10,3,"10","12",1,6.7,20,0,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"003902041","HUDSON MIDDLE","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","A","B","A","B","A","A",646,646,"M","06 - 08",51.4,"N","N","N","N","N"," ","N","N",59,89,,,,,77,87,90,,78,92,89,90,91,,,,71,696,10.2,332,108,"06","08",63,9.8,16.7,0,0,0,100,"N","N","N","N"," "," ",,
"003902101","W F PEAVY PRI","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",687,0,"E","EE - 02",58.2,"N","N","N","N","N","003902102","N","Y",,,,,,,,,,,,,,,79,,,,45,429,10.5,400,109,"EE","02",53,7.7,15.9,0,0,0,0,"N","N","N","N","W H BONNER EL"," ",,
"003902102","W H BONNER EL","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","C","B","C",605,605,"E","03 - 05",56.9,"N","N","N","N","N"," ","Y","N",51,78,,,,,69,78,80,,55,78,78,80,79,,,,67,662,10.1,344,98,"03","05",58,9.6,16.2,0,0,0,100,"N","N","N","N"," "," ",,
"003903001","LUFKIN H S","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","D","B","B",2100,2100,"S","09 - 12",83.9,"N","N","N","N","N"," ","N","N",47,75,87,89,96.4,80,67,69,86,,62,80,82,86,84,,484,0,341,2320,14.7,1761,250,"09","12",384,18.3,11.9,23,0,0,100,"N","N","N","N"," "," ",,
"003903004","STUBBLEFIELD LRN CTR","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","D","C","Not Rated","C","Not Rated",45,45,"S","09 - 12",93.3,"N","N","N","Y","N"," ","N","N",21,71,21,72,72.9,60,,,77,41,,,69,77,77,,,0,57,69,82.6,42,7,"09","12",6,13.3,15.6,0,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"003903044","LUFKIN MIDDLE","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","F","B","F",1474,1474,"M","06 - 08",87.2,"N","N","N","N","N"," ","N","N",38,70,,,,,54,59,80,,15,59,70,80,74,,,,225,1625,13.8,1285,228,"06","08",387,26.3,15.5,0,0,0,100,"N","N","N","N"," "," ",,
"003903120","ANDERSON EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","C","C","C","C",262,262,"E","03 - 05",91.6,"N","N","N","N","N"," ","Y","N",42,71,,,,,67,75,79,,39,72,71,79,77,,,,57,278,20.5,240,75,"03","05",39,14.9,28.6,0,0,0,100,"N","N","N","N"," "," ",,
"003903121","BRANDON EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","C","B","C",377,377,"E","03 - 05",72.9,"N","N","N","N","N"," ","Y","N",48,76,,,,,65,73,82,,35,71,76,82,79,,,,54,420,12.9,275,56,"03","05",29,7.7,14.9,0,0,0,100,"N","N","N","N"," "," ",,
"003903122","BROOKHOLLOW EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","D","F","D","D","F","D",244,244,"E","03 - 05",94.7,"N","N","N","N","N"," ","Y","N",31,56,,,,,57,62,59,,29,68,56,62,64,,,,69,292,23.6,231,58,"03","05",25,10.2,23.8,0,0,0,100,"N","N","N","N"," "," ",,
"003903123","COSTON EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","D","F","C","C","D","D",192,192,"E","03 - 05",96.9,"N","N","N","N","N"," ","Y","N",33,58,,,,,65,73,63,,26,66,58,73,69,,,,43,230,18.7,186,57,"03","05",51,26.6,29.7,0,0,0,100,"N","N","N","N"," "," ",,
"003903124","DUNBAR PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",327,0,"E","KG - 02",80.7,"N","N","N","N","N","003903121","N","Y",,,,,,,,,,,,,,,79,,,,42,290,14.5,264,20,"KG","02",19,5.8,6.1,0,0,0,0,"N","N","N","N","BRANDON EL"," ",,
"003903125","GARRETT PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",370,0,"E","PK - PK",99.2,"N","N","Y","N","N","003903000","N","Y",,,,,,,,,,,,,,,77,,,,,,,367,10,"PK","PK",112,30.3,2.7,0,0,0,0,"N","Y","N","N","LUFKIN ISD"," ",,
"003903127","HERTY PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","D","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",280,0,"E","EE - 02",93.6,"N","N","N","N","N","003903123","N","Y",,,,,,,,,,,,,,,69,,,,44,202,21.8,262,102,"EE","02",41,14.6,36.4,0,0,0,0,"N","N","N","N","COSTON EL"," ",,
"003903128","KURTH PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",253,0,"E","PK - 02",83,"N","N","N","N","N","003903120","N","Y",,,,,,,,,,,,,,,77,,,,49,181,27.1,210,24,"PK","02",17,6.7,9.5,0,0,0,0,"N","N","N","N","ANDERSON EL"," ",,
"003903129","SLACK EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","D","C","D","C","C",481,424,"E","02 - 05",85.2,"N","N","N","N","N"," ","Y","N",39,67,,,,,62,69,72,,39,72,67,72,72,,,,31,537,5.8,410,38,"02","05",250,52,7.9,0,0,0,88.1,"N","N","N","N"," "," ",,
"003903130","TROUT PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","D","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",251,0,"E","EE - 02",93.2,"N","N","N","N","N","003903122","N","Y",,,,,,,,,,,,,,,64,,,,47,217,21.7,234,31,"EE","02",24,9.6,12.4,0,0,0,0,"N","N","N","N","BROOKHOLLOW EL"," ",,
"003903131","BURLEY PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",371,0,"E","KG - 02",86.8,"N","N","N","N","N","003903129","N","Y",,,,,,,,,,,,,,,72,,,,36,246,14.6,322,24,"KG","02",195,52.6,6.5,0,0,0,0,"N","N","N","N","SLACK EL"," ",,
