CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART,CAMPNAME_CLEAN
003903004,STUBBLEFIELD LRN CTR,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,Y,N,Stubblefield Learning Center
003903044,LUFKIN MIDDLE,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,M,06 - 08, , ,N,N,Lufkin Middle School
003903120,ANDERSON EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Anderson Elementary School
003903121,BRANDON EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Brandon Elementary School
003903122,BROOKHOLLOW EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Brookhollow Elementary School
003903123,COSTON EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Coston Elementary School
003903124,DUNBAR PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,KG - 02,'003903121,BRANDON EL,N,N,Dunbar Primary School
003903125,GARRETT PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,PK - PK,'003903000,LUFKIN ISD,N,N,Garrett Primary School
003903127,HERTY PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,EE - 02,'003903123,COSTON EL,N,N,Herty Primary School
003903128,KURTH PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,PK - 02,'003903120,ANDERSON EL,N,N,Kurth Primary School
003903129,SLACK EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,02 - 05, , ,N,N,Slack Elementary School
003903130,TROUT PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,EE - 02,'003903122,BROOKHOLLOW EL,N,N,Trout Primary School
003903131,BURLEY PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,KG - 02,'003903129,SLACK EL,N,N,Burley Primary School
003903201,JUVENILE DETENT CTR,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,S,07 - 11, , ,N,N,Juvenile Detention Center
003904001,HUNTINGTON H S,3904,HUNTINGTON ISD,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,N,N,Huntington High School
003904005,PRIDE ALTER SCH,3904,HUNTINGTON ISD,7,REGION 07: KILGORE,3,ANGELINA,S,11 - 12, , ,Y,N,Pride Alter Sch
003904041,HUNTINGTON MIDDLE,3904,HUNTINGTON ISD,7,REGION 07: KILGORE,3,ANGELINA,M,06 - 08, , ,N,N,Huntington Middle School
003904101,HUNTINGTON EL,3904,HUNTINGTON ISD,7,REGION 07: KILGORE,3,ANGELINA,E,EE - 03, , ,N,N,Huntington Elementary School
003904102,HUNTINGTON INT,3904,HUNTINGTON ISD,7,REGION 07: KILGORE,3,ANGELINA,E,04 - 05, , ,N,N,Huntington Intermediate School
003905001,DIBOLL H S,3905,DIBOLL ISD,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,N,N,Diboll High School
003905004,STUBBLEFIELD LRN CTR,3905,DIBOLL ISD,7,REGION 07: KILGORE,3,ANGELINA,S,10 - 12, , ,Y,N,Stubblefield Learning Center
003905041,DIBOLL J H,3905,DIBOLL ISD,7,REGION 07: KILGORE,3,ANGELINA,M,06 - 08, , ,N,N,Diboll Junior High
003905101,H G TEMPLE EL,3905,DIBOLL ISD,7,REGION 07: KILGORE,3,ANGELINA,E,PK - 02,'003905103,H G TEMPLE INT,N,N,H G Temple Elementary School
003905103,H G TEMPLE INT,3905,DIBOLL ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,H G Temple Intermediate School
003906001,ZAVALLA H S,3906,ZAVALLA ISD,7,REGION 07: KILGORE,3,ANGELINA,B,06 - 12, , ,N,N,Zavalla High School
003906101,ZAVALLA EL,3906,ZAVALLA ISD,7,REGION 07: KILGORE,3,ANGELINA,E,EE - 05, , ,N,N,Zavalla Elementary School
003907001,CENTRAL H S,3907,CENTRAL ISD,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,N,N,Central High School
003907004,STUBBLEFIELD LRN CTR,3907,CENTRAL ISD,7,REGION 07: KILGORE,3,ANGELINA,S,10 - 12, , ,Y,N,Stubblefield Learning Center
003907041,CENTRAL J H,3907,CENTRAL ISD,7,REGION 07: KILGORE,3,ANGELINA,M,05 - 08, , ,N,N,Central Junior High
003907102,CENTRAL EL,3907,CENTRAL ISD,7,REGION 07: KILGORE,3,ANGELINA,E,EE - 04, , ,N,N,Central Elementary School
004901001,ROCKPORT-FULTON H S,4901,ROCKPORT-FULTON ISD,2,REGION 02: CORPUS CHRISTI,4,ARANSAS,S,09 - 12, , ,N,N,Rockport-Fulton High School
004901041,ROCKPORT-FULTON MIDDLE,4901,ROCKPORT-FULTON ISD,2,REGION 02: CORPUS CHRISTI,4,ARANSAS,M,06 - 08, , ,N,N,Rockport-Fulton Middle School
004901101,FULTON LEARNING CENTER,4901,ROCKPORT-FULTON ISD,2,REGION 02: CORPUS CHRISTI,4,ARANSAS,E,03 - 05, , ,N,N,Fulton Learning Center
004901103,LIVE OAK LEARNING CENTER,4901,ROCKPORT-FULTON ISD,2,REGION 02: CORPUS CHRISTI,4,ARANSAS,E,EE - 02,'004901101,FULTON LEARNING CENTER,N,N,Live Oak Learning Center
005901001,ARCHER CITY H S,5901,ARCHER CITY ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,S,07 - 12, , ,N,N,Archer City High School
005901101,ARCHER CITY EL,5901,ARCHER CITY ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,E,PK - 06, , ,N,N,Archer City Elementary School
005902001,HOLLIDAY H S,5902,HOLLIDAY ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,S,09 - 12, , ,N,N,Holliday High School
005902041,HOLLIDAY MIDDLE,5902,HOLLIDAY ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,M,06 - 08, , ,N,N,Holliday Middle School
005902101,HOLLIDAY EL,5902,HOLLIDAY ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,E,PK - 05, , ,N,N,Holliday Elementary School
005904001,WINDTHORST H S,5904,WINDTHORST ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,S,09 - 12, , ,N,N,Windthorst High School
005904041,WINDTHORST JH,5904,WINDTHORST ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,M,06 - 08, , ,N,N,Windthorst Jh
005904101,WINDTHORST EL,5904,WINDTHORST ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,E,EE - 05, , ,N,N,Windthorst Elementary School
006902001,CLAUDE SCHOOLS,6902,CLAUDE ISD,16,REGION 16: AMARILLO,6,ARMSTRONG,B,EE - 12, , ,N,N,Claude Schools
007901001,CHARLOTTE H S,7901,CHARLOTTE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,09 - 12, , ,N,N,Charlotte High School
007901003,DISTRICT REASSIGNMENT & OPPORTUNITY CENTER,7901,CHARLOTTE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,07 - 07, , ,N,N,District Reassignment & Opportunity Center
007901041,CHARLOTTE MIDDLE,7901,CHARLOTTE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,06 - 08, , ,N,N,Charlotte Middle School
007901101,CHARLOTTE EL,7901,CHARLOTTE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,PK - 05, , ,N,N,Charlotte Elementary School
007902001,JOURDANTON H S,7902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,09 - 12, , ,N,N,Jourdanton High School
007902004,THE LARRY BROWN SCHOOL,7902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,07 - 08, , ,N,N,The Larry Brown School
007902005,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,7902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,08 - 11, , ,Y,N,Atascosa County Juvenile Justice Center
007902006,JOURDANTON DAEP,7902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,B,06 - 11, , ,N,N,Jourdanton DAEP
007902041,JOURDANTON J H,7902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,06 - 08, , ,N,N,Jourdanton Junior High
007902101,JOURDANTON EL,7902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,02 - 05, , ,N,N,Jourdanton Elementary School
007902102,JOURDANTON ECC,7902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,EE - 01,'007902101,JOURDANTON EL,N,N,Jourdanton Ecc
007904001,LYTLE H S,7904,LYTLE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,09 - 12, , ,N,N,Lytle High School
007904002,LYTLE DAEP,7904,LYTLE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,07 - 12, , ,N,N,Lytle DAEP
007904041,LYTLE J H,7904,LYTLE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,06 - 08, , ,N,N,Lytle Junior High
007904101,LYTLE EL,7904,LYTLE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,02 - 05, , ,N,N,Lytle Elementary School
007904103,LYTLE PRIMARY SCHOOL,7904,LYTLE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,EE - 01,'007904101,LYTLE EL,N,N,Lytle Primary School
007905001,PLEASANTON H S,7905,PLEASANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,09 - 12, , ,N,N,Pleasanton High School
007905004,ATASCOSA CO ALTER,7905,PLEASANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,07 - 10, , ,N,N,Atascosa Co Alter
007905005,PLEASANTON ISD SCHOOL OF CHOICE,7905,PLEASANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,09 - 12, , ,Y,N,Pleasanton Isd School Of Choice
007905041,PLEASANTON J H,7905,PLEASANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,06 - 08, , ,N,N,Pleasanton Junior High
007905103,PLEASANTON EL,7905,PLEASANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,02 - 05, , ,N,N,Pleasanton Elementary School
007905105,PLEASANTON PRI,7905,PLEASANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,EE - 01,'007905103,PLEASANTON EL,N,N,Pleasanton Primary School
007906001,POTEET H S,7906,POTEET ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,S,09 - 12, , ,N,N,Poteet High School
007906003,ATASCOSA CO JUVENILE UNIT,7906,POTEET ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,08 - 09, , ,N,N,Atascosa Co Juvenile Unit
007906041,POTEET J H,7906,POTEET ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,M,06 - 08, , ,N,N,Poteet Junior High
007906101,POTEET EL,7906,POTEET ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,EE - 02,'007906102,POTEET INT,N,N,Poteet Elementary School
007906102,POTEET INT,7906,POTEET ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,E,03 - 05, , ,N,N,Poteet Intermediate School
008901001,BELLVILLE H S,8901,BELLVILLE ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,S,09 - 12, , ,N,N,Bellville High School
008901041,BELLVILLE J H,8901,BELLVILLE ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,M,06 - 08, , ,N,N,Bellville Junior High
008901101,O'BRYANT PRI,8901,BELLVILLE ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,E,EE - 03, , ,N,N,O'Bryant Primary School
008901102,O'BRYANT INT,8901,BELLVILLE ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,E,04 - 05, , ,N,N,O'Bryant Intermediate School
008901105,WEST END EL,8901,BELLVILLE ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,E,KG - 05, , ,N,N,West End Elementary School
008902001,SEALY H S,8902,SEALY ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,S,09 - 12, , ,N,N,Sealy High School
008902041,SEALY J H,8902,SEALY ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,M,06 - 08, , ,N,N,Sealy Junior High
008902102,SELMAN EL,8902,SEALY ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,E,EE - 05, , ,N,N,Selman Elementary School
008902104,SEALY EL,8902,SEALY ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,E,PK - 05, , ,N,N,Sealy Elementary School
008903001,BRAZOS H S,8903,BRAZOS ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,S,09 - 12, , ,N,N,Brazos High School
008903041,BRAZOS MIDDLE,8903,BRAZOS ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,M,06 - 08, , ,N,N,Brazos Middle School
008903102,BRAZOS EL,8903,BRAZOS ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,E,EE - 05, , ,N,N,Brazos Elementary School
009901001,MULESHOE H S,9901,MULESHOE ISD,17,REGION 17: LUBBOCK,9,BAILEY,S,09 - 12, , ,N,N,Muleshoe High School
009901041,WATSON J H,9901,MULESHOE ISD,17,REGION 17: LUBBOCK,9,BAILEY,M,06 - 08, , ,N,N,Watson Junior High
009901101,MARY DESHAZO EL,9901,MULESHOE ISD,17,REGION 17: LUBBOCK,9,BAILEY,E,03 - 05, , ,N,N,Mary Deshazo Elementary School
009901103,DILLMAN EL,9901,MULESHOE ISD,17,REGION 17: LUBBOCK,9,BAILEY,E,EE - 02,'009901101,MARY DESHAZO EL,N,N,Dillman Elementary School
010901001,MEDINA SCHOOL,10901,MEDINA ISD,20,REGION 20: SAN ANTONIO,10,BANDERA,B,PK - 12, , ,N,N,Medina School
010902001,BANDERA H S,10902,BANDERA ISD,20,REGION 20: SAN ANTONIO,10,BANDERA,S,09 - 12, , ,N,N,Bandera High School
010902041,BANDERA MIDDLE,10902,BANDERA ISD,20,REGION 20: SAN ANTONIO,10,BANDERA,M,06 - 08, , ,N,N,Bandera Middle School
010902101,ALKEK EL,10902,BANDERA ISD,20,REGION 20: SAN ANTONIO,10,BANDERA,E,EE - 05, , ,N,N,Alkek Elementary School
010902102,HILL COUNTRY EL,10902,BANDERA ISD,20,REGION 20: SAN ANTONIO,10,BANDERA,E,EE - 05, , ,N,N,Hill Country Elementary School
011901001,BASTROP H S,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,S,09 - 12, , ,N,N,Bastrop High School
011901002,CEDAR CREEK H S,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,S,09 - 12, , ,N,N,Cedar Creek High School
011901005,COLORADO RIVER COLLEGIATE ACADEMY,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,S,09 - 12, , ,N,N,Colorado River Collegiate Academy
011901022,GENESIS H S,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,S,09 - 12, , ,Y,N,Genesis High School
011901041,BASTROP MIDDLE,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,M,07 - 08, , ,N,N,Bastrop Middle School
011901101,EMILE EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,PK - 05, , ,N,N,Emile Elementary School
011901102,MINA EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,EE - 05, , ,N,N,Mina Elementary School
011901103,CEDAR CREEK EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,PK - 05, , ,N,N,Cedar Creek Elementary School
011901104,BASTROP INT,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,M,06 - 06, , ,N,N,Bastrop Intermediate School
011901106,CEDAR CREEK MIDDLE,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,M,07 - 08, , ,N,N,Cedar Creek Middle School
011901107,RED ROCK EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,EE - 05, , ,N,N,Red Rock Elementary School
011901108,CEDAR CREEK INT,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,M,06 - 06, , ,N,N,Cedar Creek Intermediate School
011901109,BLUEBONNET EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,PK - 05, , ,N,N,Bluebonnet Elementary School
011901110,LOST PINES EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,EE - 05, , ,N,N,Lost Pines Elementary School
011901111,COLONY OAKS EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,PK - 05, , ,N,N,Colony Oaks Elementary School
011901112,CAMINO REAL EL,11901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,E,PK - 05, , ,N,N,Camino Real Elementary School
011902001,ELGIN H S,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,S,09 - 12, , ,N,N,Elgin High School
011902003,BASTROP COUNTY JUVENILE BOOT CAMP,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,S,10 - 10, , ,N,N,Bastrop County Juvenile Boot Camp
011902004,PHOENIX H S,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,S,10 - 12, , ,Y,N,Phoenix High School
011902041,ELGIN MIDDLE,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,M,07 - 08, , ,N,N,Elgin Middle School
011902042,ELGIN INT,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,M,05 - 06, , ,N,N,Elgin Intermediate School
011902101,BOOKER T WASHINGTON EL,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,E,KG - 04, , ,N,N,Booker T Washington Elementary School
011902102,ELGIN EL,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,E,EE - 04, , ,N,N,Elgin Elementary School
011902103,NEIDIG EL,11902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,E,KG - 04, , ,N,N,Neidig Elementary School
011904002,SMITHVILLE H S,11904,SMITHVILLE ISD,13,REGION 13: AUSTIN,11,BASTROP,S,09 - 12, , ,N,N,Smithville High School
011904041,SMITHVILLE J H,11904,SMITHVILLE ISD,13,REGION 13: AUSTIN,11,BASTROP,M,06 - 08, , ,N,N,Smithville Junior High
011904101,SMITHVILLE EL,11904,SMITHVILLE ISD,13,REGION 13: AUSTIN,11,BASTROP,E,01 - 05, , ,N,N,Smithville Elementary School
011904102,BROWN PRI,11904,SMITHVILLE ISD,13,REGION 13: AUSTIN,11,BASTROP,E,EE - KG,'011904101,SMITHVILLE EL,N,N,Brown Primary School
011905001,MCDADE H S,11905,MCDADE ISD,13,REGION 13: AUSTIN,11,BASTROP,S,07 - 12, , ,N,N,McDade High School
011905101,MCDADE EL,11905,MCDADE ISD,13,REGION 13: AUSTIN,11,BASTROP,E,PK - 06, , ,N,N,McDade Elementary School
012901001,SEYMOUR H S,12901,SEYMOUR ISD,9,REGION 09: WICHITA FALLS,12,BAYLOR,S,09 - 12, , ,N,N,Seymour High School
012901042,SEYMOUR MIDDLE,12901,SEYMOUR ISD,9,REGION 09: WICHITA FALLS,12,BAYLOR,M,05 - 08, , ,N,N,Seymour Middle School
012901101,SEYMOUR EL,12901,SEYMOUR ISD,9,REGION 09: WICHITA FALLS,12,BAYLOR,E,EE - 04, , ,N,N,Seymour Elementary School
013801101,ST MARY'S ACADEMY CHARTER SCHOOL,13801,ST MARY'S ACADEMY CHARTER SCHOOL,2,REGION 02: CORPUS CHRISTI,13,BEE,E,KG - 06, , ,N,Y,St Mary's Academy Charter School
013901001,A C JONES H S,13901,BEEVILLE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,S,09 - 12, , ,N,N,A C Jones High School
013901041,MORENO J H,13901,BEEVILLE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,M,06 - 08, , ,N,N,Moreno Junior High
013901101,R A HALL EL,13901,BEEVILLE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,E,01 - 05, , ,N,N,R A Hall Elementary School
013901102,FADDEN-MCKEOWN-CHAMBLISS EL,13901,BEEVILLE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,E,01 - 05, , ,N,N,Fadden-McKeown-Chambliss Elementary School
013901105,HAMPTON-MORENO-DUGAT EARLY CHILDHOOD CENTER,13901,BEEVILLE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,E,EE - KG,'013901101,R A HALL EL,N,N,Hampton-Moreno-Dugat Early Childhood Center
013902101,PAWNEE EL / J H/HS,13902,PAWNEE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,B,PK - 10, , ,N,N,Pawnee El / J H/Hs
013903001,PETTUS SECONDARY,13903,PETTUS ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,B,06 - 12, , ,N,N,Pettus Secondary
