CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART,CAMPNAME_CLEAN
057848010,ILTEXAS GRAND PRAIRIE EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas Grand Prairie Elementary School
057848011,ILTEXAS GRAND PRAIRIE MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Grand Prairie Middle School
057848012,ILTEXAS NORTH RICHLAND HILLS EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas North Richland Hills Elementary School
057848013,ILTEXAS NORTH RICHLAND HILLS MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas North Richland Hills Middle School
057848014,ILTEXAS KATY EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas Katy Elementary School
057848015,ILTEXAS KATY MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Katy Middle School
057848016,ILTEXAS WESTPARK EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas Westpark Elementary School
057848017,ILTEXAS WESTPARK MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Westpark Middle School
057848018,ILTEXAS KATY WESTPARK H S,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,Y,Iltexas Katy Westpark High School
057848019,ILTEXAS LANCASTER EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,Y,Iltexas Lancaster Elementary School
057848020,ILTEXAS LANCASTER MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Lancaster Middle School
057848021,ILTEXAS WOODHAVEN EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,Y,Iltexas Woodhaven Elementary School
057848022,ILTEXAS WOODHAVEN MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Woodhaven Middle School
057848023,ILTEXAS SAGINAW EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas Saginaw Elementary School
057848024,ILTEXAS SAGINAW MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Saginaw Middle School
057848025,ILTEXAS HOUSTON WINDMILL LAKES EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,Y,Iltexas Houston Windmill Lakes Elementary School
057848026,ILTEXAS HOUSTON WINDMILL LAKES MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Houston Windmill Lakes Middle School
057848027,ILTEXAS HOUSTON OREM EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas Houston Orem Elementary School
057848028,ILTEXAS HOUSTON OREM MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Houston Orem Middle School
057848030,ILTEXAS COLLEGE STATION EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas College Station Elementary School
057848031,ILTEXAS COLLEGE STATION MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas College Station Middle School
057848032,ILTEXAS LANCASTER DESOTO H S,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,Y,Iltexas Lancaster Desoto High School
057848033,ILTEXAS HOUSTON WINDMILL LAKES OREM H S,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,Y,Iltexas Houston Windmill Lakes Orem High School
057848034,ILTEXAS AGGIELAND H S,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,Y,Iltexas Aggieland High School
057848041,ILTEXAS BG RAMIREZ MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Bg Ramirez Middle School
057848042,ILTEXAS BG RAMIREZ EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas Bg Ramirez Elementary School
057848043,ILTEXAS MSG RAMIREZ EL,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,Y,Iltexas Msg Ramirez Elementary School
057848044,ILTEXAS MSG RAMIREZ MIDDLE,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,Y,Iltexas Msg Ramirez Middle School
057848045,ILTEXAS LIBERTY H S,57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 09, , ,N,Y,Iltexas Liberty High School
057850001,PIONEER TECHNOLOGY (PTAA) MESQUITE,57850,PIONEER TECHNOLOGY & ARTS ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,B,05 - 12, , ,N,Y,Pioneer Technology (Ptaa) Mesquite
057850002,PIONEER TECHNOLOGY (PTAA) GREENVILLE,57850,PIONEER TECHNOLOGY & ARTS ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,B,KG - 12, , ,N,Y,Pioneer Technology (Ptaa) Greenville
057850003,PIONEER TECHNOLOGY (PTAA) FATE,57850,PIONEER TECHNOLOGY & ARTS ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,B,05 - 12, , ,N,Y,Pioneer Technology (Ptaa) Fate
057850004,PIONEER TECHNOLOGY (PTAA) MESQUITE EL,57850,PIONEER TECHNOLOGY & ARTS ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 04, , ,N,Y,Pioneer Technology (Ptaa) Mesquite Elementary School
057850005,PIONEER TECHNOLOGY (PTAA) ROYSE CITY EL,57850,PIONEER TECHNOLOGY & ARTS ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 04, , ,N,Y,Pioneer Technology (Ptaa) Royse City Elementary School
057850006,PIONEER TECHNOLOGY AND ARTS ACADEMY NORTH DALLAS,57850,PIONEER TECHNOLOGY & ARTS ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,B,KG - 12, , ,N,Y,Pioneer Technology And Arts Academy North Dallas
057851101,BRIDGEWAY PREPARATORY ACADEMY,57851,BRIDGEWAY PREPARATORY ACADEMY,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 06, , ,N,Y,Bridgeway Preparatory Academy
057903001,TURNER H S,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Turner High School
057903002,SMITH H S,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Smith High School
057903003,GRIMES EDUCATION CENTER,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,Y,N,Grimes Education Center
057903005,SALAZAR DISTRICT ALTERNATIVE EDUCATION PROGRAM,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,B,06 - 12, , ,N,N,Salazar District Alternative Education Program
057903006,CREEKVIEW H S,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Creekview High School
057903007,RANCHVIEW H S,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Ranchview High School
057903008,DENTON COUNTY JJAEP CFB CAMPUS,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,10 - 11, , ,N,N,Denton County JJAEP Cfb Campus
057903009,DALLAS COUNTY JJAEP CFB CAMPUS,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,07 - 11, , ,N,N,Dallas County JJAEP Cfb Campus
057903010,EARLY COLLEGE H S,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Early College High School
057903041,FIELD MIDDLE,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Field Middle School
057903042,PERRY MIDDLE,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Perry Middle School
057903044,LONG MIDDLE,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Long Middle School
057903045,BLALACK MIDDLE,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Blalack Middle School
057903046,POLK MIDDLE,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Polk Middle School
057903047,BUSH MIDDLE,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Bush Middle School
057903102,CARROLLTON EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Carrollton Elementary School
057903103,CENTRAL EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Central Elementary School
057903105,GOOD EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Good Elementary School
057903106,STARK EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Stark Elementary School
057903109,FARMERS BRANCH EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Farmers Branch Elementary School
057903110,BLANTON EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Blanton Elementary School
057903111,THOMPSON EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Thompson Elementary School
057903112,COUNTRY PLACE EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,N,Country Place Elementary School
057903113,DAVIS EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,N,Davis Elementary School
057903114,MCCOY EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,N,McCoy Elementary School
057903116,FURNEAUX EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Furneaux Elementary School
057903117,HUIE SPECIAL EDUC CTR,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,12 - 12, , ,N,N,Huie Special Education Center
057903118,ROSEMEADE EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Rosemeade Elementary School
057903120,LAS COLINAS EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Las Colinas Elementary School
057903121,LANDRY EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Landry Elementary School
057903122,KENT EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Kent Elementary School
057903123,RIVERCHASE ELE,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Riverchase Ele
057903124,MCKAMY EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,McKamy Elementary School
057903125,SHEFFIELD EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,N,Sheffield Elementary School
057903126,RAINWATER EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Rainwater Elementary School
057903128,FREEMAN EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Freeman Elementary School
057903129,MCWHORTER EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,McWhorter Elementary School
057903131,BLAIR EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Blair Elementary School
057903132,LA VILLITA EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,KG - 05, , ,N,N,La Villita Elementary School
057903135,MCLAUGHLIN STRICKLAND EL,57903,CARROLLTON-FARMERS BRANCH ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,McLaughlin Strickland Elementary School
057904001,CEDAR HILL H S,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Cedar Hill High School
057904003,CEDAR HILL COLLEGIATE H S,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Cedar Hill Collegiate High School
057904007,JJAEP,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,10 - 10, , ,N,N,JJAEP
057904041,W S PERMENTER MIDDLE,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,W S Permenter Middle School
057904042,BESSIE COLEMAN MIDDLE,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Bessie Coleman Middle School
057904043,CEDAR HILL COLLEGIATE ACADEMY,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Cedar Hill Collegiate Academy
057904102,PLUMMER EL,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Plummer Elementary School
057904104,HIGH POINTE EL,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,High Pointe Elementary School
057904105,HIGHLANDS EL,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Highlands Elementary School
057904107,WATERFORD OAKS EL,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Waterford Oaks Elementary School
057904108,LAKERIDGE EL,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,EE - 05, , ,N,N,Lakeridge Elementary School
057904110,CEDAR HILL COLLEGIATE PREP,57904,CEDAR HILL ISD,10,REGION 10: RICHARDSON,57,DALLAS,E,PK - 05, , ,N,N,Cedar Hill Collegiate Prep
057905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Bryan Adams H S Leadership Academy
057905002,W H ADAMSON H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,W H Adamson High School
057905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,New Tech H S At B F Darrell High School
057905005,MOISES E MOLINA H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Moises E Molina High School
057905006,HILLCREST H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Hillcrest High School
057905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Thomas Jefferson High School
057905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Justin F Kimball High School
057905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Lincoln Humanities/Communications Magnet High Sch
057905011,BARBARA M MANNS MIDDLE DAEP,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Barbara M Manns Middle DAEP
057905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Dr L G Pinkston Sr High School
057905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Franklin D Roosevelt H S Of Innovation
057905014,W W SAMUELL H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,W W Samuell High School
057905015,SEAGOVILLE H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Seagoville High School
057905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,South Oak Cliff High School
057905017,H GRADY SPRUCE H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,H Grady Spruce High School
057905018,SUNSET H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Sunset High School
057905021,W T WHITE H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,W T White High School
057905022,WOODROW WILSON H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Woodrow Wilson High School
057905023,DAVID W CARTER H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,David W Carter High School
057905024,NORTH DALLAS H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,North Dallas High School
057905025,SKYLINE H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Skyline High School
057905026,SCHOOL OF SCIENCE AND ENGINEERING,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,School Of Science And Engineering
057905028,EMMETT J CONRAD H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Emmett J Conrad High School
057905029,BARBARA M MANNS H S DAEP,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Barbara M Manns H S DAEP
057905032,JAMES MADISON H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,James Madison High School
057905033,MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Marvin E Robinson School Of Business And Mgmt
057905034,BOOKER T WASHINGTON SPVA MAGNET,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Booker T Washington Spva Magnet
057905035,IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,B,06 - 12, , ,N,N,Irma Rangel Young Women's Leadership School
057905036,SCHOOL OF HEALTH PROFESSIONS,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,School Of Health Professions
057905037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Rosie Sorrells Education And Social Services High School
057905038,JUDGE BAREFOOT SANDERS LAW MAGNET,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,Judge Barefoot Sanders Law Magnet
057905039,SCHOOL FOR THE TALENTED AND GIFTED,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,S,09 - 12, , ,N,N,School For The Talented And Gifted
057905042,JUDGE LOUIS A BEDFORD JR LAW ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Judge Louis A Bedford Jr Law Academy
057905043,T W BROWNE MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,T W Browne Middle School
057905045,E B COMSTOCK MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,E B Comstock Middle School
057905046,YOUNG MEN'S LEADERSHIP ACADEMY AT FRED F FLORENCE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Young Men's Leadership Academy At Fred F Florence
057905047,BENJAMIN FRANKLIN INTERNATIONAL EXPLORATORY ACAD,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Benjamin Franklin International Exploratory Acad
057905048,W H GASTON MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,W H Gaston Middle School
057905049,W E GREINER EXPLORATORY ARTS ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,W E Greiner Exploratory Arts Academy
057905050,ROBERT T HILL MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Robert T Hill Middle School
057905051,JOHN LEWIS SOCIAL JUSTICE ACADEMY AT O W HOLMES,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,07 - 08, , ,N,N,John Lewis Social Justice Academy At O W Holmes
057905052,PIEDMONT GLOBAL ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Piedmont Global Academy
057905053,J L LONG MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,J L Long Middle School
057905054,THOMAS C MARSH MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Thomas C Marsh Middle School
057905055,THOMAS J RUSK MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Thomas J Rusk Middle School
057905056,EWELL D WALKER MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Ewell D Walker Middle School
057905058,ALEX W SPENCE TALENTED/GIFTED ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Alex W Spence Talented/Gifted Academy
057905059,L V STOCKARD MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,L V Stockard Middle School
057905060,BOUDE STOREY MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Boude Storey Middle School
057905062,BILLY EARL DADE MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Billy Earl Dade Middle School
057905068,RAUL QUINTANILLA SR MIDDLE STEAM ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,07 - 08, , ,N,N,Raul Quintanilla Sr Middle Steam Academy
057905069,SEAGOVILLE MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Seagoville Middle School
057905071,DALLAS ENVIRONMENTAL SCIENCE ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Dallas Environmental Science Academy
057905072,DR FREDERICK DOUGLASS TODD SR MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Dr Frederick Douglass Todd Sr Middle School
057905073,HENRY W LONGFELLOW CAREER EXPLORATION ACADEMY,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Henry W Longfellow Career Exploration Academy
057905076,HAROLD WENDELL LANG SR MIDDLE,57905,DALLAS ISD,10,REGION 10: RICHARDSON,57,DALLAS,M,06 - 08, , ,N,N,Harold Wendell Lang Sr Middle School
