DISTRICT,DISTNAME,District Number,District Name
201904,LEVERETTS CHAPEL ISD,201904,Leveretts Chapel ISD
201907,MOUNT ENTERPRISE ISD,201907,Mount Enterprise ISD
201908,OVERTON ISD,201908,Overton ISD
201910,TATUM ISD,201910,Tatum ISD
201913,CARLISLE ISD,201913,Carlisle ISD
201914,WEST RUSK COUNTY CONSOLIDATED ISD,201914,West Rusk ISD
202903,HEMPHILL ISD,202903,Hemphill ISD
202905,WEST SABINE ISD,202905,West Sabine ISD
203901,SAN AUGUSTINE ISD,203901,San Augustine ISD
203902,BROADDUS ISD,203902,Broaddus ISD
204901,COLDSPRING-OAKHURST CISD,204901,Coldspring-Oakhurst CISD
204904,SHEPHERD ISD,204904,Shepherd ISD
205901,ARANSAS PASS ISD,205901,Aransas Pass ISD
205902,GREGORY-PORTLAND ISD,205902,Gregory-Portland ISD
205903,INGLESIDE ISD,205903,Ingleside ISD
205904,MATHIS ISD,205904,Mathis ISD
205905,ODEM-EDROY ISD,205905,Odem-Edroy ISD
205906,SINTON ISD,205906,Sinton ISD
205907,TAFT ISD,205907,Taft ISD
206901,SAN SABA ISD,206901,San Saba ISD
206902,RICHLAND SPRINGS ISD,206902,Richland Springs ISD
206903,CHEROKEE ISD,206903,Cherokee ISD
207901,SCHLEICHER ISD,207901,Schleicher ISD
208901,HERMLEIGH ISD,208901,Hermleigh ISD
208902,SNYDER ISD,208902,Snyder ISD
208903,IRA ISD,208903,Ira ISD
209901,ALBANY ISD,209901,Albany ISD
209902,MORAN ISD,209902,Moran ISD
210901,CENTER ISD,210901,Center ISD
210902,JOAQUIN ISD,210902,Joaquin ISD
210903,SHELBYVILLE ISD,210903,Shelbyville ISD
210904,TENAHA ISD,210904,Tenaha ISD
210905,TIMPSON ISD,210905,Timpson ISD
210906,EXCELSIOR ISD,210906,Excelsior ISD
211901,TEXHOMA ISD,211901,Texhoma ISD
211902,STRATFORD ISD,211902,Stratford ISD
212801,CUMBERLAND ACADEMY,212801,Cumberland Academy (C)
212803,AZLEWAY CHARTER SCHOOL,212803,Azleway Charter School (C)
212804,UT TYLER INNOVATION ACADEMY,212804,Ut Tyler Innovation Academy
212901,ARP ISD,212901,Arp ISD
212902,BULLARD ISD,212902,Bullard ISD
212903,LINDALE ISD,212903,Lindale ISD
212904,TROUP ISD,212904,Troup ISD
212905,TYLER ISD,212905,Tyler ISD
212906,WHITEHOUSE ISD,212906,Whitehouse ISD
212909,CHAPEL HILL ISD,212909,Chapel Hill ISD
212910,WINONA ISD,212910,Winona ISD
213801,BRAZOS RIVER CHARTER SCHOOL,213801,Brazos River Charter School (C)
213901,GLEN ROSE ISD,213901,Glen Rose ISD
214901,RIO GRANDE CITY CISD,214901,Rio Grande City CISD
214902,SAN ISIDRO ISD,214902,San Isidro ISD
214903,ROMA ISD,214903,Roma ISD
215901,BRECKENRIDGE ISD,215901,Breckenridge ISD
216901,STERLING CITY ISD,216901,Sterling City ISD
217901,ASPERMONT ISD,217901,Aspermont ISD
218901,SONORA ISD,218901,Sonora ISD
219901,HAPPY ISD,219901,Happy ISD
219903,TULIA ISD,219903,Tulia ISD
219905,KRESS ISD,219905,Kress ISD
220801,TREETOPS SCHOOL INTERNATIONAL,220801,Treetops School International (C)
220802,ARLINGTON CLASSICS ACADEMY,220802,Arlington Classics Academy (C)
220809,FORT WORTH ACADEMY OF FINE ARTS,220809,Fort Worth Academy Of Fine Arts (C)
220810,WESTLAKE ACADEMY CHARTER SCHOOL,220810,Westlake Academy Charter School (C)
220811,EAST FORT WORTH MONTESSORI ACADEMY,220811,East Fort Worth Montessori Academy (C)
220812,RICHARD MILBURN ACADEMY (FORT WORT,220812,Richard Milburn Academy (Fort Worth) (C)
220813,HARMONY SCIENCE ACAD (FORT WORTH),220813,Harmony Science Academy (Fort Worth) (C)
220814,TEXAS SCHOOL OF THE ARTS,220814,Texas Elementary School Of The Arts (C)
220815,CHAPEL HILL ACADEMY,220815,Chapel Hill Academy (C)
220816,UPLIFT EDUCATION-SUMMIT INTERNATIO,220816,Summit International Preparatory (C)
220817,NEWMAN INTERNATIONAL ACADEMY OF AR,220817,Newman International Academy Of Arlington
220818,PRIME PREP ACADEMY,220818,Prime Prep Academy
220901,ARLINGTON ISD,220901,Arlington ISD
220902,BIRDVILLE ISD,220902,Birdville ISD
220904,EVERMAN ISD,220904,Everman ISD
220905,FORT WORTH ISD,220905,Fort Worth ISD
220906,GRAPEVINE-COLLEYVILLE ISD,220906,Grapevine-Colleyville ISD
220907,KELLER ISD,220907,Keller ISD
220908,MANSFIELD ISD,220908,Mansfield ISD
220910,LAKE WORTH ISD,220910,Lake Worth ISD
220912,CROWLEY ISD,220912,Crowley ISD
220914,KENNEDALE ISD,220914,Kennedale ISD
220915,AZLE ISD,220915,Azle ISD
220916,HURST-EULESS-BEDFORD ISD,220916,Hurst-Euless-Bedford ISD
220917,CASTLEBERRY ISD,220917,Castleberry ISD
220918,EAGLE MT-SAGINAW ISD,220918,Eagle Mt-Saginaw ISD
220919,CARROLL ISD,220919,Carroll ISD
220920,WHITE SETTLEMENT ISD,220920,White Settlement ISD
221801,TEXAS COLLEGE PREPARATORY ACADEMIE,221801,Responsive Education Solutions (C)
221901,ABILENE ISD,221901,Abilene ISD
221904,MERKEL ISD,221904,Merkel ISD
221905,TRENT ISD,221905,Trent ISD
221911,JIM NED CISD,221911,Jim Ned CISD
221912,WYLIE ISD,221912,Wylie ISD
222901,TERRELL COUNTY ISD,222901,Terrell County ISD
223901,BROWNFIELD ISD,223901,Brownfield ISD
223902,MEADOW ISD,223902,Meadow ISD
223904,WELLMAN-UNION CISD,223904,Wellman-Union CISD
224901,THROCKMORTON ISD,224901,Throckmorton ISD
224902,WOODSON ISD,224902,Woodson ISD
225902,MOUNT PLEASANT ISD,225902,Mount Pleasant ISD
225905,WINFIELD ISD,225905,Winfield ISD
225906,CHAPEL HILL ISD,225906,Chapel Hill ISD
225907,HARTS BLUFF ISD,225907,Harts Bluff ISD
226801,TEXAS LEADERSHIP,226801,Texas Leadership Charter Academy (C)
226901,CHRISTOVAL ISD,226901,Christoval ISD
226903,SAN ANGELO ISD,226903,San Angelo ISD
226905,WATER VALLEY ISD,226905,Water Valley ISD
226906,WALL ISD,226906,Wall ISD
226907,GRAPE CREEK ISD,226907,Grape Creek ISD
226908,VERIBEST ISD,226908,Veribest ISD
227801,AMERICAN YOUTHWORKS CHARTER SCHOOL,227801,American Youthworks Charter School (C)
227803,WAYSIDE SCHOOLS,227803,Eden Park Academy (C)
227804,NYOS CHARTER SCHOOL,227804,Nyos Charter School (C)
227805,TEXAS EMPOWERMENT ACADEMY,227805,Texas Empowerment Academy (C)
227806,UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,University Of Texas University Charter School (C)
227814,CHAPARRAL STAR ACADEMY,227814,Star Charter School (C)
227816,HARMONY SCIENCE ACADEMY (AUSTIN),227816,Harmony Science Academy (Austin) (C)
227817,CEDARS INTERNATIONAL ACADEMY,227817,Cedars International Academy (C)
227819,UNIVERSITY OF TEXAS ELEMENTARY CHA,227819,University Of Texas Elementary Charter School (C)
227820,KIPP AUSTIN PUBLIC SCHOOLS INC,227820,KIPP Austin Public Schools Inc (C)
227821,AUSTIN DISCOVERY SCHOOL,227821,Austin Discovery School (C)
227824,THE EAST AUSTIN COLLEGE PREP ACADE,227824,The East Austin College Prep Academy (C)
227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,Austin Achieve Public Schools
227901,AUSTIN ISD,227901,Austin ISD
227904,PFLUGERVILLE ISD,227904,Pflugerville ISD
227907,MANOR ISD,227907,Manor ISD
227909,EANES ISD,227909,Eanes ISD
227910,DEL VALLE ISD,227910,Del Valle ISD
227912,LAGO VISTA ISD,227912,Lago Vista ISD
227913,LAKE TRAVIS ISD,227913,Lake Travis ISD
228901,GROVETON ISD,228901,Groveton ISD
228903,TRINITY ISD,228903,Trinity ISD
228904,CENTERVILLE ISD,228904,Centerville ISD
228905,APPLE SPRINGS ISD,228905,Apple Springs ISD
229901,COLMESNEIL ISD,229901,Colmesneil ISD
229903,WOODVILLE ISD,229903,Woodville ISD
229904,WARREN ISD,229904,Warren ISD
229905,SPURGER ISD,229905,Spurger ISD
229906,CHESTER ISD,229906,Chester ISD
230901,BIG SANDY ISD,230901,Big Sandy ISD
230902,GILMER ISD,230902,Gilmer ISD
230903,ORE CITY ISD,230903,Ore City ISD
230904,UNION HILL ISD,230904,Union Hill ISD
230905,HARMONY ISD,230905,Harmony ISD
230906,NEW DIANA ISD,230906,New Diana ISD
230908,UNION GROVE ISD,230908,Union Grove ISD
231901,MCCAMEY ISD,231901,McCamey ISD
231902,RANKIN ISD,231902,Rankin ISD
232901,KNIPPA ISD,232901,Knippa ISD
232902,SABINAL ISD,232902,Sabinal ISD
232903,UVALDE CISD,232903,Uvalde CISD
232904,UTOPIA ISD,232904,Utopia ISD
233901,SAN FELIPE-DEL RIO CISD,233901,San Felipe-Del Rio CISD
233903,COMSTOCK ISD,233903,Comstock ISD
234801,RANCH ACADEMY,234801,Ranch Academy (C)
234902,CANTON ISD,234902,Canton ISD
234903,EDGEWOOD ISD,234903,Edgewood ISD
234904,GRAND SALINE ISD,234904,Grand Saline ISD
234905,MARTINS MILL ISD,234905,Martins Mill ISD
234906,VAN ISD,234906,Van ISD
234907,WILLS POINT ISD,234907,Wills Point ISD
234909,FRUITVALE ISD,234909,Fruitvale ISD
235901,BLOOMINGTON ISD,235901,Bloomington ISD
235902,VICTORIA ISD,235902,Victoria ISD
235904,NURSERY ISD,235904,Nursery ISD
236801,RAVEN SCHOOL,236801,Raven School (C)
236901,NEW WAVERLY ISD,236901,New Waverly ISD
236902,HUNTSVILLE ISD,236902,Huntsville ISD
237902,HEMPSTEAD ISD,237902,Hempstead ISD
237904,WALLER ISD,237904,Waller ISD
237905,ROYAL ISD,237905,Royal ISD
238902,MONAHANS-WICKETT-PYOTE ISD,238902,Monahans-Wickett-Pyote ISD
238904,GRANDFALLS-ROYALTY ISD,238904,Grandfalls-Royalty ISD
239901,BRENHAM ISD,239901,Brenham ISD
239903,BURTON ISD,239903,Burton ISD
240801,GATEWAY ACADEMY CHARTER DISTRICT,240801,Gateway (Student Alternative Program Inc) (C)
240901,LAREDO ISD,240901,Laredo ISD
240903,UNITED ISD,240903,United ISD
240904,WEBB CISD,240904,Webb CISD
241901,BOLING ISD,241901,Boling ISD
241902,EAST BERNARD ISD,241902,East Bernard ISD
241903,EL CAMPO ISD,241903,El Campo ISD
241904,WHARTON ISD,241904,Wharton ISD
241906,LOUISE ISD,241906,Louise ISD
242902,SHAMROCK ISD,242902,Shamrock ISD
242903,WHEELER ISD,242903,Wheeler ISD
242905,KELTON ISD,242905,Kelton ISD
242906,FORT ELLIOTT CISD,242906,Fort Elliott CISD
243801,BRIGHT IDEAS CHARTER,243801,Bright Ideas Charter (C)
243901,BURKBURNETT ISD,243901,Burkburnett ISD
243902,ELECTRA ISD,243902,Electra ISD
243903,IOWA PARK CISD,243903,Iowa Park CISD
243905,WICHITA FALLS ISD,243905,Wichita Falls ISD
243906,CITY VIEW ISD,243906,City View ISD
244901,HARROLD ISD,244901,Harrold ISD
244903,VERNON ISD,244903,Vernon ISD
244905,NORTHSIDE ISD,244905,Northside ISD
245901,LASARA ISD,245901,Lasara ISD
245902,LYFORD CISD,245902,Lyford CISD
245903,RAYMONDVILLE ISD,245903,Raymondville ISD
245904,SAN PERLITA ISD,245904,San Perlita ISD
246801,MERIDIAN WORLD SCHOOL LLC,246801,Meridian School
246902,FLORENCE ISD,246902,Florence ISD
246904,GEORGETOWN ISD,246904,Georgetown ISD
246905,GRANGER ISD,246905,Granger ISD
246906,HUTTO ISD,246906,Hutto ISD
246907,JARRELL ISD,246907,Jarrell ISD
246908,LIBERTY HILL ISD,246908,Liberty Hill ISD
246909,ROUND ROCK ISD,246909,Round Rock ISD
246911,TAYLOR ISD,246911,Taylor ISD
246912,THRALL ISD,246912,Thrall ISD
246913,LEANDER ISD,246913,Leander ISD
246914,COUPLAND ISD,246914,Coupland ISD
247901,FLORESVILLE ISD,247901,Floresville ISD
247903,LA VERNIA ISD,247903,La Vernia ISD
247904,POTH ISD,247904,Poth ISD
247906,STOCKDALE ISD,247906,Stockdale ISD
248901,KERMIT ISD,248901,Kermit ISD
248902,WINK-LOVING ISD,248902,Wink-Loving ISD
249901,ALVORD ISD,249901,Alvord ISD
249902,BOYD ISD,249902,Boyd ISD
249903,BRIDGEPORT ISD,249903,Bridgeport ISD
249904,CHICO ISD,249904,Chico ISD
249905,DECATUR ISD,249905,Decatur ISD
249906,PARADISE ISD,249906,Paradise ISD
249908,SLIDELL ISD,249908,Slidell ISD
250902,HAWKINS ISD,250902,Hawkins ISD
250903,MINEOLA ISD,250903,Mineola ISD
250904,QUITMAN ISD,250904,Quitman ISD
250905,YANTIS ISD,250905,Yantis ISD
250906,ALBA-GOLDEN ISD,250906,Alba-Golden ISD
250907,WINNSBORO ISD,250907,Winnsboro ISD
251901,DENVER CITY ISD,251901,Denver City ISD
251902,PLAINS ISD,251902,Plains ISD
252901,GRAHAM ISD,252901,Graham ISD
252902,NEWCASTLE ISD,252902,Newcastle ISD
252903,OLNEY ISD,252903,Olney ISD
253901,ZAPATA COUNTY ISD,253901,Zapata County ISD
254901,CRYSTAL CITY ISD,254901,Crystal City ISD
254902,LA PRYOR ISD,254902,La Pryor ISD
