id,name,Campus Number,Campus Name
7906041,POTEET J H,7906041,Poteet Junior High School
7906101,POTEET EL,7906101,Poteet Elementary School
7906102,POTEET INT,7906102,Poteet Intermediate School
8901001,BELLVILLE H S,8901001,Bellville High School
8901041,BELLVILLE J H,8901041,Bellville Junior High School
8901101,O'BRYANT PRI,8901101,O'Bryant Primary School
8901102,O'BRYANT INT,8901102,O'Bryant Intermediate School
8901105,WEST END EL,8901105,West End Elementary School
8902001,SEALY H S,8902001,Sealy High School
8902041,SEALY J H,8902041,Sealy Junior High School
8902102,SELMAN EL,8902102,Selman Elementary School
8902103,SELMAN INT,8902103,Selman Intermediate School
8903001,BRAZOS H S,8903001,Brazos High School
8903041,BRAZOS MIDDLE,8903041,Brazos Middle School
8903102,BRAZOS EL,8903102,Brazos Elementary School
9901001,MULESHOE H S,9901001,Muleshoe High School
9901002,P E P,9901002,PEP
9901041,WATSON J H,9901041,Watson Junior High School
9901101,MARY DESHAZO EL,9901101,Mary Deshazo Elementary School
9901103,DILLMAN EL,9901103,Dillman Elementary School
10901001,MEDINA H S,10901001,Medina High School
10901101,MEDINA EL,10901101,Medina Elementary School
10902001,BANDERA H S,10902001,Bandera High School
10902041,BANDERA MIDDLE,10902041,Bandera Middle School
10902101,ALKEK EL,10902101,Alkek Elementary School
10902102,HILL COUNTRY EL,10902102,Hill Country Elementary School
11901001,BASTROP H S,11901001,Bastrop High School
11901002,CEDAR CREEK H S,11901002,Cedar Creek High School
11901022,GENESIS H S,11901022,Genesis High School
11901033,GATEWAY SCH,11901033,Gateway School
11901041,BASTROP MIDDLE,11901041,Bastrop Middle School
11901101,EMILE EL,11901101,Emile Elementary School
11901102,MINA EL,11901102,Mina Elementary School
11901103,CEDAR CREEK EL,11901103,Cedar Creek Elementary School
11901104,BASTROP INT,11901104,Bastrop Intermediate School
11901106,CEDAR CREEK MIDDLE,11901106,Cedar Creek Middle School
11901107,RED ROCK EL,11901107,Red Rock Elementary School
11901108,CEDAR CREEK INT,11901108,Cedar Creek Intermediate School
11901109,BLUEBONNET EL,11901109,Bluebonnet Elementary School
11901110,LOST PINES EL,11901110,Lost Pines Elementary School
11902001,ELGIN H S,11902001,Elgin High School
11902004,PHOENIX H S,11902004,Phoenix High School
11902041,ELGIN MIDDLE,11902041,Elgin Middle School
11902101,BOOKER T WASHINGTON EL,11902101,Booker T Washington Elementary School
11902102,ELGIN EL,11902102,Elgin Elementary School North
11902103,NEIDIG EL,11902103,Neidig Elementary School
11904002,SMITHVILLE H S,11904002,Smithville High School
11904041,SMITHVILLE J H,11904041,Smithville Junior High School
11904101,SMITHVILLE EL,11904101,Smithville Elementary School
11904102,BROWN PRI,11904102,Brown Primary School
11905101,MCDADE EL,11905101,McDade ISD
12901001,SEYMOUR H S,12901001,Seymour High School
12901042,SEYMOUR MIDDLE,12901042,Seymour Middle School
12901101,SEYMOUR EL,12901101,Seymour Elementary School
13801101,ST MARY'S ACADEMY CHARTER SCHOOL,13801101,St Mary's Academy Charter School (C)
13901001,A C JONES H S,13901001,AC Jones High School
13901041,MORENO MIDDLE,13901041,Moreno Middle School
13901101,R A HALL ELEMENTARY,13901101,RA Hall Elementary
13901102,FADDEN-MCKEOWN-CHAMBLISS EL,13901102,Fadden-McKeown-Chambliss Elementary
13901104,THOMAS JEFFERSON EL,13901104,Thomas Jefferson Elementary School
13901105,HAMPTON-MORENO-DUGAT EARLY CHILDHO,13901105,Hampton-Moreno-Dugat Early Childhoood Center
13902101,PAWNEE EL / J H,13902101,Pawnee Elementary School/Junior High School
13903001,PETTUS H S,13903001,Pettus High School
13903101,PETTUS EL,13903101,Pettus Elementary School
13905001,SKIDMORE-TYNAN H S,13905001,Skidmore-Tynan High School
13905041,SKIDMORE-TYNAN J H,13905041,Skidmore-Tynan Junior High School
13905101,SKIDMORE-TYNAN EL,13905101,Skidmore-Tynan Elementary School
14801001,RICHARD MILBURN ALTER H S (KILLEEN,14801001,Richard Milburn Alternative High School - Killeen (C)
14802001,TRANSFORMATIVE CHARTER ACADEMY,14802001,Transformative Charter Academy (C)
14803002,PRIORITY CHARTER SCHOOLS-HERITAGE,14803002,Priority Charter Schools-Heritage
14803101,PRIORITY CHARTER SCHOOLS-TEMPLE,14803101,Temple Education Center (C)
14804002,NEW HORIZONS,14804002,New Horizons (C)
14804003,WILLIAMS HOUSE,14804003,Williams House (C)
14804004,CANYON LAKES,14804004,Canyon Lakes (C)
14804005,GATEWAY H S,14804005,Gateway High School (C)
14804006,GATEWAY COLLEGE PREPARATORY SCHOOL,14804006,Gateway College Preparatory School (C)
14901001,ACADEMY H S,14901001,Academy High School
14901041,ACADEMY J H,14901041,Academy Junior High School
14901101,ACADEMY EL,14901101,Academy Elementary School
14902001,BARTLETT SCHOOLS,14902001,Bartlett Schools
14903001,BELTON H S,14903001,Belton High School
14903005,BELTON NEW TECH H S AT WASKOW,14903005,Henry T Waskow High School
14903042,BELTON MIDDLE,14903042,Belton Middle School
