Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
20,San Antonio,064,DIMMIT,Hispanic,166,158,0.95,143,0.86,12,0.07,122,0.74,17,0.10,67,0.40,2,0.01,86,0.52,8,0.05,33,0.20
20,San Antonio,064,DIMMIT,White,15,15,1.00,14,0.93,0,0.00,13,0.87,3,0.20,7,0.47,0,0.00,10,0.67,0,0.00,3,0.20
20,San Antonio,064,DIMMIT,Other Ethnicities,9,8,0.89,8,0.89,1,0.11,9,1.00,2,0.22,7,0.78,0,0.00,9,1.00,0,0.00,4,0.44
20,San Antonio,082,FRIO,Hispanic,207,189,0.91,177,0.86,7,0.03,147,0.71,21,0.10,49,0.24,0,0.00,70,0.34,3,0.01,23,0.11
20,San Antonio,082,FRIO,Other Ethnicities,34,32,0.94,30,0.88,1,0.03,28,0.82,11,0.32,9,0.27,0,0.00,20,0.59,0,0.00,13,0.38
20,San Antonio,130,KENDALL,Hispanic,67,66,0.99,59,0.88,7,0.10,52,0.78,12,0.18,15,0.22,2,0.03,29,0.43,2,0.03,9,0.13
20,San Antonio,130,KENDALL,White,333,314,0.94,291,0.87,12,0.04,274,0.82,166,0.50,82,0.25,16,0.05,264,0.79,21,0.06,149,0.45
20,San Antonio,130,KENDALL,Other Ethnicities,5,5,1.00,5,1.00,0,0.00,5,1.00,4,0.80,0,0.00,1,0.20,5,1.00,0,0.00,3,0.60
20,San Antonio,133,KERR,Hispanic,172,164,0.95,109,0.63,43,0.25,94,0.55,31,0.18,24,0.14,0,0.00,55,0.32,5,0.03,20,0.12
20,San Antonio,133,KERR,White,390,358,0.92,302,0.77,50,0.13,272,0.70,137,0.35,59,0.15,8,0.02,204,0.52,18,0.05,97,0.25
20,San Antonio,133,KERR,Other Ethnicities,24,17,0.71,11,0.46,5,0.21,11,0.46,5,0.21,1,0.04,0,0.00,6,0.25,0,0.00,1,0.04
20,San Antonio,136,KINNEY,Hispanic,20,18,0.90,17,0.85,1,0.05,14,0.70,2,0.10,6,0.30,1,0.05,9,0.45,0,0.00,3,0.15
20,San Antonio,136,KINNEY,White,24,21,0.88,20,0.83,1,0.04,21,0.88,12,0.50,7,0.29,0,0.00,19,0.79,1,0.04,11,0.46
20,San Antonio,142,LA SALLE,Hispanic,83,66,0.80,59,0.71,7,0.08,55,0.66,10,0.12,18,0.22,3,0.04,31,0.37,3,0.04,9,0.11
20,San Antonio,142,LA SALLE,Other Ethnicities,26,24,0.92,21,0.81,2,0.08,20,0.77,10,0.39,3,0.12,0,0.00,13,0.50,1,0.04,8,0.31
20,San Antonio,159,MAVERICK,Hispanic,882,796,0.90,656,0.74,134,0.15,593,0.67,122,0.14,343,0.39,4,0.00,469,0.53,33,0.04,172,0.20
20,San Antonio,159,MAVERICK,White,12,10,0.83,10,0.83,0,0.00,7,0.58,4,0.33,4,0.33,0,0.00,8,0.67,2,0.17,3,0.25
20,San Antonio,159,MAVERICK,Others,15,13,0.87,4,0.27,5,0.33,5,0.33,2,0.13,3,0.20,0,0.00,5,0.33,3,0.20,2,0.13
20,San Antonio,163,MEDINA,Hispanic,325,301,0.93,248,0.76,46,0.14,242,0.75,37,0.11,98,0.30,2,0.01,137,0.42,10,0.03,38,0.12
20,San Antonio,163,MEDINA,White,311,287,0.92,267,0.86,19,0.06,255,0.82,98,0.32,98,0.32,4,0.01,200,0.64,13,0.04,106,0.34
20,San Antonio,163,MEDINA,Other Ethnicities,13,12,0.92,11,0.85,1,0.08,9,0.69,4,0.31,1,0.08,0,0.00,5,0.39,1,0.08,4,0.31
20,San Antonio,193,REAL,All Ethnicities,20,19,0.95,20,1.00,0,0.00,19,0.95,5,0.25,6,0.30,0,0.00,11,0.55,0,0.00,3,0.15
20,San Antonio,232,UVALDE,Hispanic,361,325,0.90,214,0.59,108,0.30,230,0.64,26,0.07,152,0.42,2,0.01,180,0.50,23,0.06,50,0.14
20,San Antonio,232,UVALDE,Other Ethnicities,125,121,0.97,106,0.85,14,0.11,100,0.80,44,0.35,38,0.30,2,0.02,84,0.67,7,0.06,49,0.39
20,San Antonio,247,WILSON,White,321,308,0.96,286,0.89,16,0.05,270,0.84,74,0.23,130,0.41,4,0.01,208,0.65,9,0.03,91,0.28
20,San Antonio,247,WILSON,Other Ethnicities,212,202,0.95,174,0.82,24,0.11,151,0.71,23,0.11,61,0.29,3,0.01,87,0.41,7,0.03,21,0.10
20,San Antonio,254,ZAVALA,All Ethnicities,184,169,0.92,126,0.69,23,0.13,114,0.62,5,0.03,90,0.49,3,0.02,98,0.53,12,0.07,28,0.15
