Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Female,2905,2640,0.91,2070,0.71,512,0.18,2049,0.71,379,0.13,1198,0.41,35,0.01,1612,0.56,127,0.04,556,0.19
01,Edinburg,031,CAMERON,Male,2974,2701,0.91,1942,0.65,709,0.24,1939,0.65,332,0.11,1111,0.37,40,0.01,1483,0.50,151,0.05,417,0.14
01,Edinburg,108,HIDALGO,Female,4744,4346,0.92,3460,0.73,792,0.17,3552,0.75,1330,0.28,1167,0.25,69,0.01,2566,0.54,131,0.03,1043,0.22
01,Edinburg,108,HIDALGO,Male,5034,4593,0.91,3370,0.67,1125,0.22,3421,0.68,1178,0.23,1277,0.25,65,0.01,2520,0.50,179,0.04,664,0.13
01,Edinburg,124,JIM HOGG,Female,40,39,0.98,37,0.93,1,0.03,33,0.83,12,0.30,16,0.40,0,0.00,28,0.70,2,0.05,8,0.20
01,Edinburg,124,JIM HOGG,Male,55,54,0.98,52,0.95,0,0.00,46,0.84,24,0.44,8,0.15,0,0.00,32,0.58,2,0.04,9,0.16
01,Edinburg,214,STARR,Female,523,492,0.94,377,0.72,96,0.18,353,0.68,76,0.15,188,0.36,6,0.01,270,0.52,14,0.03,122,0.23
01,Edinburg,214,STARR,Male,567,533,0.94,389,0.69,130,0.23,353,0.62,74,0.13,175,0.31,2,0.00,251,0.44,13,0.02,84,0.15
01,Edinburg,240,WEBB,Female,1631,1499,0.92,1314,0.81,150,0.09,1259,0.77,272,0.17,720,0.44,9,0.01,1001,0.61,49,0.03,382,0.23
01,Edinburg,240,WEBB,Male,1823,1647,0.90,1379,0.76,258,0.14,1300,0.71,242,0.13,754,0.41,10,0.01,1006,0.55,50,0.03,241,0.13
01,Edinburg,245,WILLACY,Female,188,175,0.93,148,0.79,16,0.09,146,0.78,47,0.25,60,0.32,0,0.00,107,0.57,4,0.02,38,0.20
01,Edinburg,245,WILLACY,Male,184,171,0.93,135,0.73,34,0.19,131,0.71,36,0.20,54,0.29,1,0.01,91,0.50,6,0.03,16,0.09
01,Edinburg,253,ZAPATA,Female,100,96,0.96,90,0.90,3,0.03,80,0.80,16,0.16,34,0.34,0,0.00,50,0.50,2,0.02,21,0.21
01,Edinburg,253,ZAPATA,Male,97,95,0.98,82,0.85,9,0.09,75,0.77,16,0.17,25,0.26,1,0.01,42,0.43,0,0.00,12,0.12
02,Corpus Christi,004,ARANSAS,Female,128,116,0.91,103,0.81,10,0.08,98,0.77,32,0.25,33,0.26,0,0.00,65,0.51,2,0.02,31,0.24
02,Corpus Christi,004,ARANSAS,Male,138,121,0.88,110,0.80,15,0.11,103,0.75,28,0.20,35,0.25,5,0.04,68,0.49,7,0.05,12,0.09
02,Corpus Christi,013,BEE,Female,207,191,0.92,170,0.82,21,0.10,158,0.76,28,0.14,97,0.47,0,0.00,125,0.60,6,0.03,48,0.23
02,Corpus Christi,013,BEE,Male,228,207,0.91,165,0.72,40,0.18,161,0.71,22,0.10,85,0.37,4,0.02,111,0.49,3,0.01,37,0.16
02,Corpus Christi,024,BROOKS,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,024,BROOKS,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,066,DUVAL,Female,154,142,0.92,135,0.88,6,0.04,118,0.77,38,0.25,56,0.36,1,0.01,95,0.62,6,0.04,30,0.20
02,Corpus Christi,066,DUVAL,Male,115,105,0.91,94,0.82,6,0.05,83,0.72,18,0.16,32,0.28,0,0.00,50,0.44,4,0.03,7,0.06
02,Corpus Christi,125,JIM WELLS,Female,328,315,0.96,262,0.80,48,0.15,238,0.73,94,0.29,103,0.31,2,0.01,199,0.61,18,0.05,53,0.16
02,Corpus Christi,125,JIM WELLS,Male,375,357,0.95,280,0.75,70,0.19,256,0.68,86,0.23,86,0.23,6,0.02,178,0.48,7,0.02,56,0.15
02,Corpus Christi,137,KLEBERG,Female,245,223,0.91,199,0.81,20,0.08,189,0.77,117,0.48,40,0.16,4,0.02,161,0.66,7,0.03,64,0.26
02,Corpus Christi,137,KLEBERG,Male,223,197,0.88,175,0.79,30,0.14,164,0.74,78,0.35,47,0.21,2,0.01,127,0.57,5,0.02,37,0.17
02,Corpus Christi,149,LIVE OAK,Female,79,72,0.91,65,0.82,6,0.08,55,0.70,17,0.22,29,0.37,0,0.00,46,0.58,1,0.01,23,0.29
