CAMPUS,CAMPNAME,DISTRICT,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_READ,CAD_MATH
"003903124","DUNBAR PRI","003903","003","LUFKIN ISD","07","ANGELINA","E","KG - 02","N","N","003903121","BRANDON EL","M"," "," "," "
"003903125","GARRETT PRI","003903","003","LUFKIN ISD","07","ANGELINA","E","PK - KG","N","N","003903121","BRANDON EL","M"," "," "," "
"003903126","HACKNEY PRI","003903","003","LUFKIN ISD","07","ANGELINA","E","PK - PK","N","N","003903000","LUFKIN ISD","M"," "," "," "
"003903127","HERTY PRI","003903","003","LUFKIN ISD","07","ANGELINA","E","EE - 02","N","N","003903123","COSTON EL","M"," "," "," "
"003903128","KURTH PRI","003903","003","LUFKIN ISD","07","ANGELINA","E","PK - 02","N","N","003903120","ANDERSON EL","M"," "," "," "
"003903129","SLACK EL","003903","003","LUFKIN ISD","07","ANGELINA","E","03 - 05","N","N"," "," ","M","0","0","0"
"003903130","TROUT PRI","003903","003","LUFKIN ISD","07","ANGELINA","E","EE - 02","N","N","003903122","BROOKHOLLOW EL","M"," "," "," "
"003903131","BURLEY PRI","003903","003","LUFKIN ISD","07","ANGELINA","E","KG - 02","N","N","003903129","SLACK EL","M"," "," "," "
"003903140","STATE SCHOOL","003903","003","LUFKIN ISD","07","ANGELINA","S","07 - 12","N","N"," "," ","X"," "," "," "
"003903201","JUVENILE DETENT CTR","003903","003","LUFKIN ISD","07","ANGELINA","B","06 - 11","N","N"," "," ","Z"," "," "," "
"003904001","HUNTINGTON H S","003904","003","HUNTINGTON ISD","07","ANGELINA","S","09 - 12","N","N"," "," ","M","0","1","1"
"003904005","PRIDE ALTER SCH","003904","003","HUNTINGTON ISD","07","ANGELINA","S","09 - 12","Y","N"," "," ","A"," "," "," "
"003904041","HUNTINGTON MIDDLE","003904","003","HUNTINGTON ISD","07","ANGELINA","M","06 - 08","N","N"," "," ","M","0","0","0"
"003904101","HUNTINGTON EL","003904","003","HUNTINGTON ISD","07","ANGELINA","E","EE - 03","N","N"," "," ","M"," ","0","0"
"003904102","HUNTINGTON INT","003904","003","HUNTINGTON ISD","07","ANGELINA","E","04 - 05","N","N"," "," ","M","0","0","0"
"003905001","DIBOLL H S","003905","003","DIBOLL ISD","07","ANGELINA","S","09 - 12","N","N"," "," ","M","0","1","1"
"003905004","STUBBLEFIELD LRN CTR","003905","003","DIBOLL ISD","07","ANGELINA","S","10 - 12","Y","N"," "," ","Z"," "," "," "
"003905041","DIBOLL J H","003905","003","DIBOLL ISD","07","ANGELINA","M","07 - 08","N","N"," "," ","M","1","0","0"
"003905101","H G TEMPLE EL","003905","003","DIBOLL ISD","07","ANGELINA","E","PK - 03","N","N"," "," ","M"," ","0","0"
"003905102","DIBOLL PRI","003905","003","DIBOLL ISD","07","ANGELINA","E","PK - PK","N","N","003905101","H G TEMPLE EL","M"," "," "," "
"003905103","H G TEMPLE INT","003905","003","DIBOLL ISD","07","ANGELINA","B","02 - 10","N","N"," "," ","M","0","0","1"
"003906001","ZAVALLA H S","003906","003","ZAVALLA ISD","07","ANGELINA","B","06 - 12","N","N"," "," ","M","0","1","0"
"003906101","ZAVALLA EL","003906","003","ZAVALLA ISD","07","ANGELINA","E","PK - 05","N","N"," "," ","M","1","0","0"
"003907001","CENTRAL H S","003907","003","CENTRAL ISD","07","ANGELINA","S","09 - 12","N","N"," "," ","M","0","0","0"
"003907004","STUBBLEFIELD LRN CTR","003907","003","CENTRAL ISD","07","ANGELINA","S","11 - 12","Y","N"," "," ","Z"," "," "," "
"003907041","CENTRAL J H","003907","003","CENTRAL ISD","07","ANGELINA","M","06 - 08","N","N"," "," ","M","0","0","0"
"003907102","CENTRAL EL","003907","003","CENTRAL ISD","07","ANGELINA","E","EE - 05","N","N"," "," ","M","0","0","0"
"004901001","ROCKPORT-FULTON H S","004901","004","ARANSAS COUNTY ISD","02","ARANSAS","S","09 - 12","N","N"," "," ","M","0","0","0"
"004901041","ROCKPORT-FULTON MIDDLE","004901","004","ARANSAS COUNTY ISD","02","ARANSAS","M","06 - 08","N","N"," "," ","M","0","0","0"
"004901101","FULTON 4-5 LEARNING CENTER","004901","004","ARANSAS COUNTY ISD","02","ARANSAS","E","04 - 05","N","N"," "," ","M","1","0","1"
"004901102","LITTLE BAY PRI","004901","004","ARANSAS COUNTY ISD","02","ARANSAS","E","EE - KG","N","N","004901103","LIVE OAK 1-3 LEARNING CENTER","M"," "," "," "
"004901103","LIVE OAK 1-3 LEARNING CENTER","004901","004","ARANSAS COUNTY ISD","02","ARANSAS","E","01 - 03","N","N"," "," ","M"," ","0","0"
"005901001","ARCHER CITY H S","005901","005","ARCHER CITY ISD","09","ARCHER","S","07 - 12","N","N"," "," ","I","0","0","0"
"005901101","ARCHER CITY EL","005901","005","ARCHER CITY ISD","09","ARCHER","E","EE - 06","N","N"," "," ","M","0","0","0"
"005902001","HOLLIDAY H S","005902","005","HOLLIDAY ISD","09","ARCHER","S","09 - 12","N","N"," "," ","M","0","0","0"
"005902041","HOLLIDAY MIDDLE","005902","005","HOLLIDAY ISD","09","ARCHER","M","06 - 08","N","N"," "," ","M","0","1","1"
"005902101","HOLLIDAY EL","005902","005","HOLLIDAY ISD","09","ARCHER","E","EE - 05","N","N"," "," ","M","1","1","1"
"005904001","WINDTHORST H S","005904","005","WINDTHORST ISD","09","ARCHER","S","09 - 12","N","N"," "," ","M","0","1","1"
"005904041","WINDTHORST JH","005904","005","WINDTHORST ISD","09","ARCHER","M","06 - 08","N","N"," "," ","M","1","1","1"
"005904101","WINDTHORST EL","005904","005","WINDTHORST ISD","09","ARCHER","E","PK - 05","N","N"," "," ","M","0","0","0"
"006902001","CLAUDE H S","006902","006","CLAUDE ISD","16","ARMSTRONG","B","06 - 12","N","N"," "," ","M","0","0","0"
"006902101","CLAUDE EL","006902","006","CLAUDE ISD","16","ARMSTRONG","E","PK - 05","N","N"," "," ","M","0","0","0"
"007901001","CHARLOTTE H S","007901","007","CHARLOTTE ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","I","0","0","0"
"007901041","CHARLOTTE MIDDLE","007901","007","CHARLOTTE ISD","20","ATASCOSA","M","05 - 08","N","N"," "," ","I","0","0","0"
"007901101","CHARLOTTE EL","007901","007","CHARLOTTE ISD","20","ATASCOSA","E","PK - 04","N","N"," "," ","I","0","0","0"
"007902001","JOURDANTON H S","007902","007","JOURDANTON ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0"
"007902005","ATASCOSA COUNTY JUVENILE JUSTICE","007902","007","JOURDANTON ISD","20","ATASCOSA","S","08 - 11","N","N"," "," ","Z"," "," "," "
"007902006","REASSIGNMENT AND OPPORTUNITY CENTE","007902","007","JOURDANTON ISD","20","ATASCOSA","M","06 - 08","N","N"," "," ","X"," "," "," "
"007902041","JOURDANTON J H","007902","007","JOURDANTON ISD","20","ATASCOSA","M","06 - 08","N","N"," "," ","M","1","1","1"
"007902101","JOURDANTON EL","007902","007","JOURDANTON ISD","20","ATASCOSA","E","PK - 05","N","N"," "," ","M","0","1","0"
"007904001","LYTLE H S","007904","007","LYTLE ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0"
"007904002","LYTLE DAEP","007904","007","LYTLE ISD","20","ATASCOSA","B","06 - 11","N","N"," "," ","X"," "," "," "
"007904041","LYTLE JUNIOR HIGH SCHOOL","007904","007","LYTLE ISD","20","ATASCOSA","M","06 - 08","N","N"," "," ","I","0","0","0"
"007904101","LYTLE EL","007904","007","LYTLE ISD","20","ATASCOSA","E","02 - 05","N","N"," "," ","M","1","0","0"
"007904103","LYTLE PRIMARY SCHOOL","007904","007","LYTLE ISD","20","ATASCOSA","E","PK - 01","N","N","007904101","LYTLE EL","M"," "," "," "
"007905001","PLEASANTON H S","007905","007","PLEASANTON ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","0","0","0"
"007905005","PLEASANTON ISD SCHOOL OF CHOICE","007905","007","PLEASANTON ISD","20","ATASCOSA","S","10 - 12","Y","N"," "," ","Z"," "," "," "
"007905007","PLEASANTON ISD REASSIGNMENT AND OP","007905","007","PLEASANTON ISD","20","ATASCOSA","S","07 - 11","N","N"," "," ","X"," "," "," "
"007905041","PLEASANTON J H","007905","007","PLEASANTON ISD","20","ATASCOSA","M","07 - 08","N","N"," "," ","M","0","0","0"
"007905103","PLEASANTON EL","007905","007","PLEASANTON ISD","20","ATASCOSA","E","02 - 04","N","N"," "," ","M","0","0","1"
"007905104","PLEASANTON INT","007905","007","PLEASANTON ISD","20","ATASCOSA","M","05 - 06","N","N"," "," ","M","0","0","1"
"007905105","PLEASANTON PRI","007905","007","PLEASANTON ISD","20","ATASCOSA","E","EE - 01","N","N","007905103","PLEASANTON EL","M"," "," "," "
"007906001","POTEET H S","007906","007","POTEET ISD","20","ATASCOSA","S","09 - 12","N","N"," "," ","M","1","0","0"
"007906003","ATASCOSA CO JUVENILE UNIT","007906","007","POTEET ISD","20","ATASCOSA","S","09 - 09","N","N"," "," ","X"," "," "," "
"007906041","POTEET J H","007906","007","POTEET ISD","20","ATASCOSA","M","06 - 08","N","N"," "," ","M","0","0","0"
"007906101","POTEET EL","007906","007","POTEET ISD","20","ATASCOSA","E","PK - 03","N","N"," "," ","M"," ","1","0"
"007906102","POTEET INT","007906","007","POTEET ISD","20","ATASCOSA","E","04 - 05","N","N"," "," ","M","0","0","0"
"008901001","BELLVILLE H S","008901","008","BELLVILLE ISD","06","AUSTIN","S","09 - 12","N","N"," "," ","M","0","1","1"
"008901041","BELLVILLE J H","008901","008","BELLVILLE ISD","06","AUSTIN","M","06 - 08","N","N"," "," ","M","0","0","0"
"008901101","O'BRYANT PRI","008901","008","BELLVILLE ISD","06","AUSTIN","E","EE - 03","N","N"," "," ","M"," ","0","0"
"008901102","O'BRYANT INT","008901","008","BELLVILLE ISD","06","AUSTIN","E","04 - 05","N","N"," "," ","M","0","0","0"
"008901105","WEST END EL","008901","008","BELLVILLE ISD","06","AUSTIN","E","KG - 05","N","N"," "," ","M","1","0","0"
"008902001","SEALY H S","008902","008","SEALY ISD","06","AUSTIN","S","09 - 12","N","N"," "," ","M","1","1","1"
"008902041","SEALY J H","008902","008","SEALY ISD","06","AUSTIN","M","06 - 08","N","N"," "," ","M","0","1","0"
"008902102","SELMAN EL","008902","008","SEALY ISD","06","AUSTIN","E","EE - 03","N","N"," "," ","M"," ","0","0"
"008902103","SELMAN INT","008902","008","SEALY ISD","06","AUSTIN","E","04 - 05","N","N"," "," ","M","0","0","1"
"008903001","BRAZOS H S","008903","008","BRAZOS ISD","06","AUSTIN","S","09 - 12","N","N"," "," ","M","0","1","1"
"008903041","BRAZOS MIDDLE","008903","008","BRAZOS ISD","06","AUSTIN","M","06 - 08","N","N"," "," ","M","0","0","0"
"008903102","BRAZOS EL","008903","008","BRAZOS ISD","06","AUSTIN","E","PK - 05","N","N"," "," ","M","0","0","0"
"009901001","MULESHOE H S","009901","009","MULESHOE ISD","17","BAILEY","S","09 - 12","N","N"," "," ","M","0","0","1"
"009901002","P E P","009901","009","MULESHOE ISD","17","BAILEY","S","09 - 12","Y","N"," "," ","A"," "," "," "
"009901041","WATSON J H","009901","009","MULESHOE ISD","17","BAILEY","M","06 - 08","N","N"," "," ","M","0","0","0"
"009901101","MARY DESHAZO EL","009901","009","MULESHOE ISD","17","BAILEY","E","03 - 05","N","N"," "," ","M","0","0","0"
"009901103","DILLMAN EL","009901","009","MULESHOE ISD","17","BAILEY","E","EE - 02","N","N","009901101","MARY DESHAZO EL","M"," "," "," "
"010901001","MEDINA H S","010901","010","MEDINA ISD","20","BANDERA","S","07 - 12","N","N"," "," ","M","0","1","1"
"010901101","MEDINA EL","010901","010","MEDINA ISD","20","BANDERA","E","EE - 06","N","N"," "," ","M","0","0","0"
"010902001","BANDERA H S","010902","010","BANDERA ISD","20","BANDERA","S","09 - 12","N","N"," "," ","M","1","0","0"
"010902041","BANDERA MIDDLE","010902","010","BANDERA ISD","20","BANDERA","M","06 - 08","N","N"," "," ","M","0","0","0"
"010902101","ALKEK EL","010902","010","BANDERA ISD","20","BANDERA","E","PK - 05","N","N"," "," ","M","1","0","0"
"010902102","HILL COUNTRY EL","010902","010","BANDERA ISD","20","BANDERA","E","EE - 05","N","N"," "," ","M","0","0","0"
"011901001","BASTROP H S","011901","011","BASTROP ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","1","1","1"
"011901002","CEDAR CREEK H S","011901","011","BASTROP ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","1","1","1"
"011901022","GENESIS H S","011901","011","BASTROP ISD","13","BASTROP","S","10 - 12","Y","N"," "," ","A"," "," "," "
"011901033","GATEWAY SCH","011901","011","BASTROP ISD","13","BASTROP","S","07 - 12","N","N"," "," ","X"," "," "," "
"011901041","BASTROP MIDDLE","011901","011","BASTROP ISD","13","BASTROP","M","07 - 08","N","N"," "," ","M","0","0","0"
"011901101","EMILE EL","011901","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","0","0"
"011901102","MINA EL","011901","011","BASTROP ISD","13","BASTROP","E","KG - 04","N","N"," "," ","M","0","0","0"
"011901103","CEDAR CREEK EL","011901","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","0","0"
"011901104","BASTROP INT","011901","011","BASTROP ISD","13","BASTROP","M","05 - 06","N","N"," "," ","M","0","0","1"
"011901106","CEDAR CREEK MIDDLE","011901","011","BASTROP ISD","13","BASTROP","M","07 - 08","N","N"," "," ","M","0","1","0"
"011901107","RED ROCK EL","011901","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","1","0"
"011901108","CEDAR CREEK INT","011901","011","BASTROP ISD","13","BASTROP","M","05 - 06","N","N"," "," ","M","1","1","1"
"011901109","BLUEBONNET EL","011901","011","BASTROP ISD","13","BASTROP","E","PK - 04","N","N"," "," ","M","0","1","0"
"011901110","LOST PINES EL","011901","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","0","0"
"011902001","ELGIN H S","011902","011","ELGIN ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","0","0","0"
"011902004","PHOENIX H S","011902","011","ELGIN ISD","13","BASTROP","S","10 - 12","Y","N"," "," ","A"," "," "," "
"011902041","ELGIN MIDDLE","011902","011","ELGIN ISD","13","BASTROP","M","06 - 08","N","N"," "," ","M","0","0","0"
"011902101","BOOKER T WASHINGTON EL","011902","011","ELGIN ISD","13","BASTROP","E","KG - 05","N","N"," "," ","M","0","0","0"
"011902102","ELGIN EL","011902","011","ELGIN ISD","13","BASTROP","E","EE - 05","N","N"," "," ","M","0","0","0"
"011902103","NEIDIG EL","011902","011","ELGIN ISD","13","BASTROP","E","KG - 05","N","N"," "," ","M","1","0","0"
"011904002","SMITHVILLE H S","011904","011","SMITHVILLE ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","0","0","0"
"011904041","SMITHVILLE J H","011904","011","SMITHVILLE ISD","13","BASTROP","M","06 - 08","N","N"," "," ","M","0","0","0"
"011904101","SMITHVILLE EL","011904","011","SMITHVILLE ISD","13","BASTROP","E","03 - 05","N","N"," "," ","M","0","0","1"
"011904102","BROWN PRI","011904","011","SMITHVILLE ISD","13","BASTROP","E","EE - 02","N","N","011904101","SMITHVILLE EL","M"," "," "," "
"011905101","MCDADE EL","011905","011","MCDADE ISD","13","BASTROP","E","PK - 08","N","N"," "," ","M","0","0","0"
"012901001","SEYMOUR H S","012901","012","SEYMOUR ISD","09","BAYLOR","S","09 - 12","N","N"," "," ","M","0","0","1"
"012901042","SEYMOUR MIDDLE","012901","012","SEYMOUR ISD","09","BAYLOR","M","05 - 08","N","N"," "," ","M","1","1","1"
"012901101","SEYMOUR EL","012901","012","SEYMOUR ISD","09","BAYLOR","E","EE - 04","N","N"," "," ","M","0","1","0"
"013801101","ST MARY'S ACADEMY CHARTER SCHOOL","013801","013","ST MARY'S ACADEMY CHARTER SCHOOL","02","BEE","E","KG - 06","N","Y"," "," ","M","1","1","1"
"013901001","A C JONES H S","013901","013","BEEVILLE ISD","02","BEE","S","09 - 12","N","N"," "," ","M","0","0","0"
"013901041","MORENO MIDDLE","013901","013","BEEVILLE ISD","02","BEE","M","06 - 08","N","N"," "," ","M","0","0","0"
"013901101","R A HALL ELEMENTARY","013901","013","BEEVILLE ISD","02","BEE","E","01 - 05","N","N"," "," ","M","0","1","0"
"013901102","FADDEN-MCKEOWN-CHAMBLISS EL","013901","013","BEEVILLE ISD","02","BEE","E","01 - 05","N","N"," "," ","M","0","0","0"
"013901104","THOMAS JEFFERSON EL","013901","013","BEEVILLE ISD","02","BEE","E","01 - 05","N","N"," "," ","I","0","0","0"
"013901105","HAMPTON-MORENO-DUGAT EARLY CHILDHO","013901","013","BEEVILLE ISD","02","BEE","E","EE - KG","N","N","013901000","BEEVILLE ISD","M"," "," "," "
"013902101","PAWNEE EL / J H","013902","013","PAWNEE ISD","02","BEE","E","PK - 08","N","N"," "," ","M","0","0","0"
"013903001","PETTUS H S","013903","013","PETTUS ISD","02","BEE","B","06 - 12","N","N"," "," ","I","0","0","0"
"013903101","PETTUS EL","013903","013","PETTUS ISD","02","BEE","E","PK - 05","N","N"," "," ","I","0","0","0"
"013905001","SKIDMORE-TYNAN H S","013905","013","SKIDMORE-TYNAN ISD","02","BEE","S","09 - 12","N","N"," "," ","M","0","0","0"
"013905041","SKIDMORE-TYNAN J H","013905","013","SKIDMORE-TYNAN ISD","02","BEE","M","06 - 08","N","N"," "," ","M","0","1","0"
"013905101","SKIDMORE-TYNAN EL","013905","013","SKIDMORE-TYNAN ISD","02","BEE","E","PK - 05","N","N"," "," ","M","1","1","1"
"014801001","RICHARD MILBURN ALTER H S (KILLEEN","014801","014","RICHARD MILBURN ALTER HIGH SCHOOL","12","BELL","S","09 - 12","Y","Y"," "," ","A"," "," "," "
"014802001","TRANSFORMATIVE CHARTER ACADEMY","014802","014","TRANSFORMATIVE CHARTER ACADEMY","12","BELL","S","09 - 12","Y","Y"," "," ","A"," "," "," "
"014803002","PRIORITY CHARTER SCHOOLS-HERITAGE","014803","014","PRIORITY CHARTER SCHOOLS","12","BELL","B","PK - 12","N","Y"," "," ","M","0","0","0"
"014803101","PRIORITY CHARTER SCHOOLS-TEMPLE","014803","014","PRIORITY CHARTER SCHOOLS","12","BELL","B","PK - 12","N","Y"," "," ","M","1","0","0"
"014804002","NEW HORIZONS","014804","014","ORENDA CHARTER SCHOOL","12","BELL","B","01 - 11","Y","Y"," "," ","X"," "," "," "
"014804003","WILLIAMS HOUSE","014804","014","ORENDA CHARTER SCHOOL","12","BELL","B","04 - 12","Y","Y"," "," ","X"," "," "," "
"014804004","CANYON LAKES","014804","014","ORENDA CHARTER SCHOOL","12","BELL","B","KG - 09","N","Y"," "," ","X"," "," "," "
"014804005","GATEWAY H S","014804","014","ORENDA CHARTER SCHOOL","12","BELL","S","08 - 12","Y","Y"," "," ","A"," "," "," "
"014804006","GATEWAY COLLEGE PREPARATORY SCHOOL","014804","014","ORENDA CHARTER SCHOOL","12","BELL","B","KG - 12","N","Y"," "," ","M","0","0","0"
"014901001","ACADEMY H S","014901","014","ACADEMY ISD","12","BELL","S","09 - 12","N","N"," "," ","M","0","1","1"
"014901041","ACADEMY J H","014901","014","ACADEMY ISD","12","BELL","M","05 - 08","N","N"," "," ","M","0","0","1"
"014901101","ACADEMY EL","014901","014","ACADEMY ISD","12","BELL","E","EE - 04","N","N"," "," ","I","0","0","0"
"014902001","BARTLETT SCHOOLS","014902","014","BARTLETT ISD","13","BELL","B","PK - 12","N","N"," "," ","M","0","0","0"
"014903001","BELTON H S","014903","014","BELTON ISD","12","BELL","S","09 - 12","N","N"," "," ","M","0","0","0"
"014903005","BELTON NEW TECH H S AT WASKOW","014903","014","BELTON ISD","12","BELL","S","09 - 10","N","N"," "," ","M","0","0","0"
"014903042","BELTON MIDDLE","014903","014","BELTON ISD","12","BELL","M","06 - 08","N","N"," "," ","M","1","0","1"
"014903043","LAKE BELTON MIDDLE","014903","014","BELTON ISD","12","BELL","M","06 - 08","N","N"," "," ","M","0","0","0"
"014903044","SOUTH BELTON MIDDLE","014903","014","BELTON ISD","12","BELL","M","06 - 08","N","N"," "," ","M","0","0","0"
"014903102","LEON HEIGHTS EL","014903","014","BELTON ISD","12","BELL","E","EE - 05","N","N"," "," ","M","0","1","0"
"014903103","MILLER HEIGHTS EL","014903","014","BELTON ISD","12","BELL","E","PK - 05","N","N"," "," ","M","1","1","1"
"014903104","SOUTHWEST EL","014903","014","BELTON ISD","12","BELL","E","PK - 05","N","N"," "," ","M","0","1","0"
"014903108","LAKEWOOD EL","014903","014","BELTON ISD","12","BELL","E","KG - 05","N","N"," "," ","M","1","0","1"
"014903109","SPARTA EL","014903","014","BELTON ISD","12","BELL","E","PK - 05","N","N"," "," ","M","1","1","1"
"014903111","JOE M PIRTLE EL","014903","014","BELTON ISD","12","BELL","E","KG - 05","N","N"," "," ","M","0","0","1"
"014903114","TYLER EL","014903","014","BELTON ISD","12","BELL","E","EE - 05","N","N"," "," ","M","1","0","0"
