CAMPUS,CAMPNAME,DISTRICT,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_READ,CAD_MATH
"015907132","HERFF EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","I","0","0","0"
"015907134","HIGHLAND HILLS EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","0","1"
"015907135","HIGHLAND PARK EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907136","HILLCREST EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015907137","HIRSCH EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","I","0","0","0"
"015907139","HUPPERTZ EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907140","RODRIGUEZ EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","1","0","0"
"015907141","ELOISE JAPHET EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","0","0"
"015907142","M L KING ACADEMY","015907","015","SAN ANTONIO ISD","20","BEXAR","E","KG - 08","N","N"," "," ","M","0","0","0"
"015907143","GEORGE E KELLY EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","1","1"
"015907144","SARAH S KING EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015907146","LAMAR EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","1","1"
"015907147","BOWDEN EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","0","1"
"015907148","MADISON EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907149","MARGIL EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","0","1"
"015907150","MAVERICK EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","1","0"
"015907153","DORIE MILLER EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907155","NEAL EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907156","NELSON EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","0","0"
"015907157","OGDEN EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907158","PERSHING EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","1","0"
"015907160","RIVERSIDE PARK EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","1","0"
"015907161","ROGERS EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907162","DAVID BARKLEY/FRANCISCO RUIZ EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","1"
"015907164","SCHENCK EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","1","0"
"015907165","SMITH EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","I","0","0","0"
"015907167","STEELE EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907168","P F STEWART EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","KG - 05","N","N"," "," ","I","0","0","0"
"015907169","STORM EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","I","0","0","0"
"015907172","WASHINGTON EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","KG - 05","N","N"," "," ","I","0","0","0"
"015907173","W W WHITE EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","I","0","0","0"
"015907174","WILSON EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","1","1"
"015907175","WOODLAWN EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015907176","WOODLAWN HILLS EL","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015907179","HAWTHORNE PK-8 ACADEMY","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - 08","N","N"," "," ","M","0","1","0"
"015907182","HEALY-MURPHY","015907","015","SAN ANTONIO ISD","20","BEXAR","S","09 - 12","Y","N"," "," ","A"," "," "," "
"015907184","CHRISTUS SANTA ROSA","015907","015","SAN ANTONIO ISD","20","BEXAR","B","06 - 11","Y","N"," "," ","X"," "," "," "
"015907186","SEIDEL LEARNING CENTER","015907","015","SAN ANTONIO ISD","20","BEXAR","B","06 - 12","Y","N"," "," ","X"," "," "," "
"015907194","ROY MAAS YOUTH ALTERNATIVES/THE BR","015907","015","SAN ANTONIO ISD","20","BEXAR","B","04 - 11","Y","N"," "," ","X"," "," "," "
"015907195","JUVENILE DETENT CTR","015907","015","SAN ANTONIO ISD","20","BEXAR","B","06 - 12","Y","N"," "," ","X"," "," "," "
"015907201","CHILDREN'S SHELTER OF SA","015907","015","SAN ANTONIO ISD","20","BEXAR","E","KG - 05","N","N"," "," ","X"," "," "," "
"015907202","HEALY MURPHY PK","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - PK","N","N","015907179","HAWTHORNE PK-8 ACADEMY","M"," "," "," "
"015907210","MISSION ACADEMY","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - 08","N","N"," "," ","M","0","0","0"
"015907240","CARROLL EARLY CHILDHOOD CAMPUS","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - PK","N","N","015907103","CHARLES C BALL EL","M"," "," "," "
"015907241","CARVAJAL EARLY CHILDHOOD CAMPUS","015907","015","SAN ANTONIO ISD","20","BEXAR","E","EE - PK","N","N","015907149","MARGIL EL","M"," "," "," "
"015907242","KNOX EARLY CHILDHOOD CAMPUS","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - PK","N","N","015907112","BRISCOE EL","M"," "," "," "
"015907244","TYNAN EARLY CHILDHOOD CAMPUS","015907","015","SAN ANTONIO ISD","20","BEXAR","E","PK - PK","N","N","015907102","AUSTIN ACADEMY","M"," "," "," "
"015908001","SOUTH SAN ANTONIO H S","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015908037","BEXAR CO J J A E P","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","S","09 - 11","N","N"," "," ","X"," "," "," "
"015908039","ALTERNATIVE SCHOOL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","B","06 - 11","N","N"," "," ","X"," "," "," "
"015908041","DWIGHT MIDDLE","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","M","06 - 08","N","N"," "," ","I","0","0","0"
"015908042","ALAN B SHEPARD MIDDLE","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015908043","ABRAHAM KAZEN MIDDLE","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015908044","ROBERT C ZAMORA MIDDLE","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","1","0"
"015908101","ATHENS EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","0","0"
"015908104","HUTCHINS EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","1","0"
"015908105","KINDRED EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","1","0"
"015908106","PALO ALTO EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","1","0"
"015908107","PRICE EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","1","1"
"015908108","FRANK MADLA EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","0","1"
"015908109","FIVE PALMS EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015908110","NEIL ARMSTRONG EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015908112","MIGUEL CARRILLO JR EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","0","0"
"015908113","ROY BENAVIDEZ EL","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","0","1"
"015908114","HERNANDEZ LEARNING CENTER","015908","015","SOUTH SAN ANTONIO ISD","20","BEXAR","E","PK - PK","N","N","015908107","PRICE EL","M"," "," "," "
"015909001","SOMERSET H S","015909","015","SOMERSET ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015909002","ATASCOSA CO ALTER","015909","015","SOMERSET ISD","20","BEXAR","S","12 - 12","N","N"," "," ","X"," "," "," "
"015909041","SOMERSET J H","015909","015","SOMERSET ISD","20","BEXAR","M","07 - 08","N","N"," "," ","M","1","0","0"
"015909101","SOMERSET EL","015909","015","SOMERSET ISD","20","BEXAR","E","01 - 04","N","N"," "," ","I","0","0","0"
"015909103","SOMERSET EARLY CHILDHOOD EL","015909","015","SOMERSET ISD","20","BEXAR","E","PK - KG","N","N","015909101","SOMERSET EL","I"," "," "," "
"015909104","S/SGT MICHAEL P BARRERA VETERANS E","015909","015","SOMERSET ISD","20","BEXAR","E","PK - 04","N","N"," "," ","I","0","0","0"
"015909105","SAVANNAH HEIGHTS INT","015909","015","SOMERSET ISD","20","BEXAR","M","05 - 06","N","N"," "," ","M","0","0","1"
"015910001","LEE H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","1","1","0"
"015910002","MACARTHUR H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015910003","CHURCHILL H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","1","0"
"015910004","ROOSEVELT H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","1","0"
"015910005","MADISON H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015910006","CENTER SCH","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 09","N","N"," "," ","Z"," "," "," "
"015910007","REAGAN H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","1","0","0"
"015910008","ACADEMY OF CREATIVE ED","015910","015","NORTH EAST ISD","20","BEXAR","S","10 - 12","Y","N"," "," ","Z"," "," "," "
"015910009","INTERNATIONAL SCHOOL OF AMERICA","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","1","1"
"015910012","ALTER H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","X"," "," "," "
"015910014","JOHNSON H S","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015910022","NORTH EAST J J A E P","015910","015","NORTH EAST ISD","20","BEXAR","M","07 - 09","N","N"," "," ","X"," "," "," "
"015910041","EISENHOWER MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015910042","GARNER MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","1","1","1"
"015910043","KRUEGER MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","1","0"
"015910044","NIMITZ MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","1","0","1"
"015910045","JACKSON MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","1","1","1"
"015910046","WHITE MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","I","0","0","0"
"015910047","WOOD MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","1","0","1"
"015910048","BRADLEY MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","1","1"
"015910049","DRISCOLL MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015910050","BUSH MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015910053","ALTER MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","X"," "," "," "
"015910054","HOMEBASED COMP ED","015910","015","NORTH EAST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","Z"," "," "," "
"015910056","FRANK TEJEDA MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015910057","JOSE M LOPEZ MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","1","0"
"015910058","BERNARD HARRIS MIDDLE","015910","015","NORTH EAST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015910070","HOMEBOUND","015910","015","NORTH EAST ISD","20","BEXAR","B","KG - 12","N","N"," "," ","Z"," "," "," "
"015910101","CASTLE HILLS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","1","0","0"
"015910102","COKER EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910103","COLONIAL HILLS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910104","DELLVIEW EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015910105","EAST TERRELL HILLS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015910106","HARMONY HILLS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015910107","JACKSON-KELLER EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910108","LARKSPUR EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","1","0"
"015910109","NORTHWOOD EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910110","OAK GROVE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015910111","OLMOS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015910112","RIDGEVIEW EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015910113","SERNA EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015910114","WALZEM EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","0","0"
"015910115","WEST AVENUE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","I","0","0","0"
"015910116","WILSHIRE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","0","1"
"015910117","WINDCREST EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910118","CAMELOT EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910119","CLEAR SPRING EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","1","0","0"
"015910120","REGENCY PLACE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910121","EL DORADO EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","1","0","0"
"015910122","MONTGOMERY EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015910123","HIDDEN FOREST EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","1","1"
"015910124","WOODSTONE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910125","STAHL EL","015910","015","NORTH EAST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015910126","THOUSAND OAKS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","1"
"015910127","NORTHERN HILLS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910128","REDLAND OAKS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","1","1"
"015910129","ENCINO PARK EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","1","1"
"015910130","FOX RUN EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","0","1"
"015910131","OAK MEADOW EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","1","0"
"015910133","STONE OAK EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","1"
"015910134","LONGS CREEK EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","1"
"015910135","HUEBNER EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","1","0","0"
"015910136","HARDY OAK EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","1","1"
"015910137","WETMORE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910138","ROYAL RIDGE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910139","ROAN FOREST EL","015910","015","NORTH EAST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","1","1"
"015910140","CANYON RIDGE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015910141","STEUBING RANCH EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910142","BULVERDE CREEK","015910","015","NORTH EAST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","1","1","1"
"015910143","WILDERNESS OAK EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","1","1","0"
"015910144","TUSCANY HEIGHTS","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","0"
"015910145","CIBOLO GREEN","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","1","1","1"
"015910146","LAS LOMAS EL","015910","015","NORTH EAST ISD","20","BEXAR","E","KG - 05","N","N"," "," ","M","0","0","1"
"015910147","VINEYARD RANCH EL","015910","015","NORTH EAST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015910160","ALTERNATIVE EL","015910","015","NORTH EAST ISD","20","BEXAR","E","01 - 05","N","N"," "," ","X"," "," "," "
"015911001","EAST CENTRAL H S","015911","015","EAST CENTRAL ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015911003","EAST CENTRAL CHOICE PROGAM","015911","015","EAST CENTRAL ISD","20","BEXAR","B","06 - 12","N","N"," "," ","X"," "," "," "
"015911004","BEXAR CO J J A E P","015911","015","EAST CENTRAL ISD","20","BEXAR","S","09 - 11","N","N"," "," ","X"," "," "," "
"015911005","BEXAR COUNTY LRN CTR","015911","015","EAST CENTRAL ISD","20","BEXAR","S","07 - 11","Y","N"," "," ","X"," "," "," "
"015911006","WILSON COUNTY BOOT CAMP","015911","015","EAST CENTRAL ISD","20","BEXAR","S","07 - 10","N","N"," "," ","X"," "," "," "
"015911041","OAK CREST INT","015911","015","EAST CENTRAL ISD","20","BEXAR","E","04 - 05","N","N"," "," ","M","0","0","0"
"015911042","SALADO INT","015911","015","EAST CENTRAL ISD","20","BEXAR","E","04 - 05","N","N"," "," ","M","0","0","0"
"015911043","EAST CENTRAL HERITAGE MIDDLE","015911","015","EAST CENTRAL ISD","20","BEXAR","M","06 - 09","N","N"," "," ","M","0","0","0"
"015911044","LEGACY MIDDLE","015911","015","EAST CENTRAL ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015911101","JOHN GLENN EL","015911","015","EAST CENTRAL ISD","20","BEXAR","E","KG - 03","N","N"," "," ","M"," ","0","0"
"015911102","HARMONY EL","015911","015","EAST CENTRAL ISD","20","BEXAR","E","KG - 03","N","N"," "," ","M"," ","0","0"
"015911103","PECAN VALLEY EL","015911","015","EAST CENTRAL ISD","20","BEXAR","E","EE - 03","N","N"," "," ","M"," ","0","0"
"015911104","SINCLAIR EL","015911","015","EAST CENTRAL ISD","20","BEXAR","E","KG - 03","N","N"," "," ","M"," ","0","0"
"015911105","EAST CENTRAL DEV CTR","015911","015","EAST CENTRAL ISD","20","BEXAR","E","EE - PK","N","N","015911106","HIGHLAND FOREST ELEMENTARY","M"," "," "," "
"015911106","HIGHLAND FOREST EL","015911","015","EAST CENTRAL ISD","20","BEXAR","E","KG - 03","N","N"," "," ","M"," ","0","0"
"015912001","SOUTHWEST H S","015912","015","SOUTHWEST ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015912003","BEXAR CO J J A E P","015912","015","SOUTHWEST ISD","20","BEXAR","M","06 - 09","N","N"," "," ","X"," "," "," "
"015912011","SOUTHWEST ACADEMY","015912","015","SOUTHWEST ISD","20","BEXAR","S","08 - 12","Y","N"," "," ","I"," "," "," "
"015912041","RONALD E MCNAIR MIDDLE","015912","015","SOUTHWEST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015912042","SHARON CHRISTA MCAULIFFE MIDDLE","015912","015","SOUTHWEST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","I","0","0","0"
"015912044","FRANCIS R SCOBEE MIDDLE SCHOOL","015912","015","SOUTHWEST ISD","20","BEXAR","M","06 - 08","N","N"," "," ","M","0","0","0"
"015912101","SOUTHWEST EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","I","0","0","0"
"015912102","SUN VALLEY EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","0","1"
"015912103","INDIAN CREEK EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015912104","BOB HOPE EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015912105","SKY HARBOUR EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015912106","HIDDEN COVE EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","I","0","0","0"
"015912107","BIG COUNTRY EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","1","0"
"015912108","ELM CREEK EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","0","0","0"
"015912109","KRIEWALD RD EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015912110","SPICEWOOD PARK EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","EE - 05","N","N"," "," ","I","0","0","0"
"015912111","MEDIO CREEK EL","015912","015","SOUTHWEST ISD","20","BEXAR","E","PK - 05","N","N"," "," ","M","1","1","0"
"015913001","VIRGINIA ALLRED STACEY JR/SR H S","015913","015","LACKLAND ISD","20","BEXAR","S","07 - 12","N","N"," "," ","M","1","1","1"
"015913101","LACKLAND EL","015913","015","LACKLAND ISD","20","BEXAR","E","EE - 06","N","N"," "," ","M","1","1","1"
"015914001","ROBERT G COLE MIDDLE/HIGH SCHOOL","015914","015","FT SAM HOUSTON ISD","20","BEXAR","B","06 - 12","N","N"," "," ","M","0","0","0"
"015914101","FT SAM HOUSTON ELEMENTARY","015914","015","FT SAM HOUSTON ISD","20","BEXAR","E","EE - 05","N","N"," "," ","M","0","0","0"
"015915001","HOLMES H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","08 - 12","N","N"," "," ","M","0","0","1"
"015915002","JAY H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","1"
"015915003","MARSHALL H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","1","0","0"
"015915004","HOLMGREEN CENTER","015915","015","NORTHSIDE ISD","20","BEXAR","B","01 - 12","N","N"," "," ","Z"," "," "," "
"015915005","CLARK H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","1","1","1"
"015915006","HEALTH CAREERS H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","1","1","1"
"015915007","TAFT H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015915008","ALTERNATIVE H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","X"," "," "," "
"015915011","EXCEL ACADEMY","015915","015","NORTHSIDE ISD","20","BEXAR","S","11 - 12","Y","N"," "," ","Z"," "," "," "
"015915013","REDDIX CENTER","015915","015","NORTHSIDE ISD","20","BEXAR","B","EE - 12","Y","N"," "," ","Z"," "," "," "
"015915016","O'CONNOR H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015915019","WARREN H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015915022","STEVENS H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","0","0","0"
"015915023","BRANDEIS H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","08 - 12","N","N"," "," ","M","1","0","0"
"015915024","BRENNAN H S","015915","015","NORTHSIDE ISD","20","BEXAR","S","09 - 12","N","N"," "," ","M","1","0","1"
"015915035","DAEP AT HOLMGREEN","015915","015","NORTHSIDE ISD","20","BEXAR","B","02 - 11","N","N"," "," ","X"," "," "," "
"015915039","NISD BEXAR COUNTY JJA","015915","015","NORTHSIDE ISD","20","BEXAR","S","07 - 12","N","N"," "," ","X"," "," "," "
