CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST
"003903004","003903","STUBBLEFIELD LRN CTR","003","LUFKIN ISD","07","ANGELINA","S","09 - 12","Y","N"," "," ","A"," "," "," "," "," "," "," "
"003903044","003903","LUFKIN MIDDLE","003","LUFKIN ISD","07","ANGELINA","M","06 - 08","N","N"," "," ","M","1","0","0","0","0","0","0"
"003903120","003903","ANDERSON EL","003","LUFKIN ISD","07","ANGELINA","E","03 - 05","N","N"," "," ","M","0","1","0","0","1"," ","1"
"003903121","003903","BRANDON EL","003","LUFKIN ISD","07","ANGELINA","E","03 - 05","N","N"," "," ","M","0","0","1","1","1"," ","1"
"003903122","003903","BROOKHOLLOW EL","003","LUFKIN ISD","07","ANGELINA","E","03 - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"003903123","003903","COSTON EL","003","LUFKIN ISD","07","ANGELINA","E","03 - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"003903124","003903","DUNBAR PRI","003","LUFKIN ISD","07","ANGELINA","E","KG - 02","N","N","003903121","BRANDON EL","M"," "," "," "," "," "," "," "
"003903125","003903","GARRETT PRI","003","LUFKIN ISD","07","ANGELINA","E","PK - KG","N","N","003903121","BRANDON EL","M"," "," "," "," "," "," "," "
"003903126","003903","HACKNEY PRI","003","LUFKIN ISD","07","ANGELINA","E","PK - PK","N","N","003903000","LUFKIN ISD","M"," "," "," "," "," "," "," "
"003903127","003903","HERTY PRI","003","LUFKIN ISD","07","ANGELINA","E","EE - 02","N","N","003903123","COSTON EL","M"," "," "," "," "," "," "," "
"003903128","003903","KURTH PRI","003","LUFKIN ISD","07","ANGELINA","E","PK - 02","N","N","003903120","ANDERSON EL","M"," "," "," "," "," "," "," "
"003903129","003903","SLACK EL","003","LUFKIN ISD","07","ANGELINA","E","03 - 05","N","N"," "," ","M","1","0","0","0","0"," ","0"
"003903130","003903","TROUT PRI","003","LUFKIN ISD","07","ANGELINA","E","PK - 02","N","N","003903122","BROOKHOLLOW EL","M"," "," "," "," "," "," "," "
"003903131","003903","BURLEY PRI","003","LUFKIN ISD","07","ANGELINA","E","KG - 02","N","N","003903129","SLACK EL","M"," "," "," "," "," "," "," "
"003903141","003903","SPECIAL SERVICES","003","LUFKIN ISD","07","ANGELINA","E","EE - 08","N","N"," "," ","Z"," "," "," "," "," "," "," "
"003903201","003903","JUVENILE DETENT CTR","003","LUFKIN ISD","07","ANGELINA","S","09 - 12","N","N"," "," ","Z"," "," "," "," "," "," "," "
"003904001","003904","HUNTINGTON H S","003","HUNTINGTON ISD","07","ANGELINA","S","09 - 12","N","N"," "," ","M","1","0","1","1","0","1","0"
"003904005","003904","PRIDE ALTER SCH","003","HUNTINGTON ISD","07","ANGELINA","S","09 - 12","Y","N"," "," ","A"," "," "," "," "," "," "," "
"003904041","003904","HUNTINGTON MIDDLE","003","HUNTINGTON ISD","07","ANGELINA","M","06 - 08","N","N"," "," ","M","1","0","0","1","0","0","0"
"003904101","003904","HUNTINGTON EL","003","HUNTINGTON ISD","07","ANGELINA","E","EE - 03","N","N"," "," ","M"," ","0","0","0"," "," ","0"
"003904102","003904","HUNTINGTON INT","003","HUNTINGTON ISD","07","ANGELINA","E","04 - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"003905001","003905","DIBOLL H S","003","DIBOLL ISD","07","ANGELINA","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"003905004","003905","STUBBLEFIELD LRN CTR","003","DIBOLL ISD","07","ANGELINA","S","10 - 12","Y","N"," "," ","Z"," "," "," "," "," "," "," "
"003905041","003905","DIBOLL J H","003","DIBOLL ISD","07","ANGELINA","M","07 - 08","N","N"," "," ","M","1","1","0","1","0","1","1"
"003905101","003905","H G TEMPLE EL","003","DIBOLL ISD","07","ANGELINA","E","KG - 03","N","N"," "," ","M","0","0","0","0"," "," ","0"
"003905102","003905","DIBOLL PRI","003","DIBOLL ISD","07","ANGELINA","E","PK - PK","N","N","003905101","H G TEMPLE EL","M"," "," "," "," "," "," "," "
"003905103","003905","H G TEMPLE INT","003","DIBOLL ISD","07","ANGELINA","E","04 - 06","N","N"," "," ","M","0","0","0","0","0"," ","0"
"003906001","003906","ZAVALLA H S","003","ZAVALLA ISD","07","ANGELINA","B","06 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"003906004","003906","STUBBLEFIELD LRN CTR","003","ZAVALLA ISD","07","ANGELINA","S","11 - 11","N","N"," "," ","Z"," "," "," "," "," "," "," "
"003906101","003906","ZAVALLA EL","003","ZAVALLA ISD","07","ANGELINA","E","PK - 05","N","N"," "," ","M","0","0","1","0","0"," ","0"
"003907001","003907","CENTRAL H S","003","CENTRAL ISD","07","ANGELINA","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"003907004","003907","STUBBLEFIELD LRN CTR","003","CENTRAL ISD","07","ANGELINA","S","11 - 12","Y","N"," "," ","Z"," "," "," "," "," "," "," "
"003907041","003907","CENTRAL J H","003","CENTRAL ISD","07","ANGELINA","M","05 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"003907102","003907","CENTRAL EL","003","CENTRAL ISD","07","ANGELINA","E","EE - 04","N","N"," "," ","M","0","0","0","0"," "," ","0"
"004901001","004901","ROCKPORT-FULTON H S","004","ARANSAS COUNTY ISD","02","ARANSAS","S","09 - 12","N","N"," "," ","M","0","0","0","1","0","1","0"
"004901041","004901","ROCKPORT-FULTON MIDDLE","004","ARANSAS COUNTY ISD","02","ARANSAS","M","06 - 08","N","N"," "," ","M","0","0","0","0","1","0","0"
