DISTRICT,DA0GH13N,DA0GR13N,DA0GM13N,DB0GR13N,DH0GR13N,DW0GR13N,DI0GR13N,D30GR13N,D40GR13N,D20GR13N,DS0GR13N,DA0GR13R,DA0GH13R,DA0GM13R,DB0GR13R,DH0GR13R,DW0GR13R,DI0GR13R,D30GR13R,D40GR13R,D20GR13R,DS0GR13R,DPETGEEC,DPETGPKC,DPETGKNC,DPETG01C,DPETG02C,DPETG03C,DPETG04C,DPETG05C,DPETG06C,DPETG07C,DPETG08C,DPETG09C,DPETG10C,DPETG11C,DPETG12C,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DAPID14D,DAPID14N,DAPID14R,DPETDISD,DPETDISC,DPETDISP,DPERRAKR,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERSAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DAUND13C,DAUND13D,DAUND13R,DPEMALLC,DPEMALLT,DPEMALLP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETGEEP,DPETGPKP,DPETGKNP,DPETG01P,DPETG02P,DPETG03P,DPETG04P,DPETG05P,DPETG06P,DPETG07P,DPETG08P,DPETG09P,DPETG10P,DPETG11P,DPETG12P,DPSTTOFC,DPSUTOFC,DPSSTOFC,DPSCTOFC,DPSETOFC,DPSTTOST,DPSUTOST,DPSSTOST,DPSCTOST,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPST00ST,DPST01ST,DPST06ST,DPST11ST,DPST20ST,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPSPCOFC,DPSECOFC,DPSPTOFC,DPSXTOFC,DPSATOFC,DPSOTOFC,DPSTINFC,DPSTPIFC,DPSTASFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTTWFC,DPSTMAFC,DPSTFEFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTURNN,DPSTURND,DPSTURNR,DPSTTENA,DPSTEXPA,DPSAMIFC,DPCTSOCS,DPCTSOCC,DPCTSCIS,DPCTSCIC,DPCTMATS,DPCTMATC,DPCTG06S,DPCTG06C,DPCTG05S,DPCTG05C,DPCTG04S,DPCTG04C,DPCTG03S,DPCTG03C,DPCTG02S,DPCTG02C,DPCTG01S,DPCTG01C,DPCTGMES,DPCTGMEC,DPCTGKGS,DPCTGKGC,DPCTFLAS,DPCTFLAC,DPCTENGS,DPCTENGC,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGMEA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTPIFP,DPSTINFP,DPSTASFP,DPSTTWFP,DPSTMAFP,DPSTFEFP,DPSTKIDR,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPFEIERP,DPSAINHP
"022004",6,7,1,0,4,3,0,0,0,0,1,100,85.7,14.3,0,57.1,42.9,0,0,0,0,14.3,0,0,3,4,7,6,7,7,8,5,12,15,11,5,9,99,10,41,6,5,41,73,26,63,2,0,0,0,0,76,21,108,0,0,105,1,1,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,.,0,54,0,11,99,11.1,21.2,0,76.8,2,0,0,0,73.7,26.3,63.6,41.4,10.1,6.1,41.4,5.1,0,0,3,4,7.1,6.1,7.1,7.1,8.1,5.1,12.1,15.2,11.1,5.1,9.1,13.9975,0.5032,1,2,4,646712.5981,30005.0438,100918,221223,0,3.0005,0,9.2828,1.7142,0,106455.7397,0,449053.1582,91203.7002,0,9.7143,4.2832,0,0,0,17.5007,5.25,26.7507,0,0,0,0,0,1.0002,12.9973,0,2.4999,11.4976,0,13.3827,0.1163,0,0,0,0.4985,0,0,13.4331,0,11.476190476,13.619047619,7.0002,58,12,55,8,54,7,5.8104,0.7263,5.3774,0.7682,4.9994,0.7142,2.7864,0.4644,3.5672,0.5096,1.2912,0.3228,0,0,1.4517,0.4839,24,2,67,9,4.8,6.9,7.7,.,3,8,7,7,6,7,4,12,7.4,65.421465607,52.325733532,1.881072271,3.7382199344,7.4764398689,14.952879738,19.625654656,26.168287185,0,69.400250045,30.599749955,0,0,21.435970709,0,66.317556707,12.246472584,95.607787105,0.830862654,0,0,0,3.5613502411,0,0,92.854438293,7.1455617074,0,0,0,0,17.859617789,82.140382211,7.0726915521,.,35479.333344,.,48374.753113,53204.818691,46202.007366,59628.465421,100918,110611.5,56.5,68.1
"022901",66,70,4,1,50,18,0,1,0,0,9,100,94.3,5.7,1.4,71.4,25.7,0,1.4,0,0,12.9,0,48,69,87,99,70,88,79,65,73,92,67,77,61,72,1047,86,75,241,79,78,533,514,729,1,11,0,10,7,675,343,1165,1,0.1,1175,4,0.3,1.3,8.3,7.8,4.3,4.3,7.6,2.9,0,3.1,33.3,0,0,0,0,0,0,16.7,0,5,495,1,123,1026,12,32.8,0.7,64.5,0.1,1.1,0,1,50.9,49.1,69.6,7.4,8.2,23,7.2,7.5,0,4.6,6.6,8.3,9.5,6.7,8.4,7.5,6.2,7,8.8,6.4,7.4,5.8,6.9,91.652,14.3459,3.2858,2,15.1037,3985160.6118,817567.2344,240948.8026,207000,2.9998,19.9998,18.9224,33.3688,16.3612,103580.164,709680.6442,768959.2319,1596189.5005,806751.0712,0,63.482,27.17,1,7,2,111.2837,42.0565,168.4439,1,0,0,0.9999,1.9999,27.4898,59.6725,1.4899,23.0844,68.5676,0,66.9972,6.0816,0.2619,3.574,1.5605,12.569,0.6078,10.9983,93.7546,11.730944402,8.524681026,12.729771803,75.9337,415,30,384,36,450,32,57.3921,5.0841,72.3195,4.3142,74.7469,3.6251,66.56,3.56,114.665,5.6822,76.9291,3.7686,20,1,78.9933,3.9996,179,16,533,44,13.8,10.7,14.1,20,19.8,11.3,16.8,20.6,18.7,20.2,20.4,11.2,12.1,66.065734645,54.410993809,8.5167227783,1.9506791282,1.1873389301,8.9666054989,24.967659856,45.079519056,0,69.264173177,29.644743159,1.0910836643,3.2730327762,21.821455069,20.645921529,36.408152577,17.851438048,73.099550474,6.6355344128,0.2857548117,3.8995330162,1.7026360581,13.713830577,0.6631606512,2.1820582202,65.107689958,29.993671715,0,0,1.0909745559,1.6256055514,25.18701174,74.81298826,11.423645965,34529.023268,35484.387054,40637.51067,47834.7888,49308.795883,43481.436431,56989.609185,73330.331304,103500,59.5,63.9
"022902",3,3,0,0,3,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,6,3,6,1,5,1,2,2,3,3,3,2,3,1,41,2,0,14,1,0,37,4,11,0,0,0,1,0,34,6,47,0,0,51,0,0,0,0,0,0,0,0,0,0,0,100,.,0,.,.,.,.,.,.,0,23,0,10,42,23.8,14.6,0,82.9,0,0,0,2.4,90.2,9.8,26.8,0,4.9,34.1,0,2.4,0,14.6,7.3,14.6,2.4,12.2,2.4,4.9,4.9,7.3,7.3,7.3,4.9,7.3,2.4,10.4995,0,0,1,1,441492.375,0,0,74500,1.9998,0,0.9999,5.5,1.9998,55553.4441,0,36036.396,240641.6889,109260.846,0,6.4997,3.9998,0,0,0,11.4995,2,14.4995,0,0,0,0,0,2.4999,7.9996,0,3,7.4995,0,8.9994,1.0001,0,0.5,0,0,0,1,3,33.333333333,7.4761904762,14.095238095,5.4999,15,5,15,4,15,6,1.7786,0.8893,1.0453,0.6893,1.8665,0.5333,1,0.2,0.3333,0.3333,1.9998,0.3333,0,0,1.5999,0.5333,5,2,13,7,3,3.8,2.5,.,3,2,1.5,3.5,5,1,6,2.5,1.9,79.309631367,72.412841822,0,0,6.8967895445,6.8967895445,13.793579089,37.931652816,0,61.904852612,38.095147388,0,19.046621268,0,9.5233106338,52.383446831,19.046621268,85.712652983,9.5252154865,0,4.7621315301,0,0,0,0,76.190294776,23.809705224,0,0,0,0,28.57278918,71.42721082,3.9049478547,27779.5,.,36040,43753.034345,54635.886589,42048.895185,.,.,74500,58,70.7
"022903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,3,2,5,4,3,3,4,0,0,0,0,0,0,24,1,0,0,2,0,10,14,8,0,0,0,2,0,9,13,25,0,0,25,0,0,0,0,0,0,25,0,.,.,0,.,.,.,.,.,0,.,.,.,0,4,0,2,21,9.5,54.2,0,37.5,0,0,0,8.3,41.7,58.3,33.3,0,4.2,0,0,8.3,0,0,12.5,8.3,20.8,16.7,12.5,12.5,16.7,0,0,0,0,0,0,3.9991,0,0,2,1,190743.6901,0,0,158486,0,0,1.9992,0.9998,1.0001,0,0,82932.8404,46429.7122,61381.1375,0,2.999,1.0001,0,0,0,5.9991,1.5,8.4991,0,0,0,0.9998,0,0,2.9993,0,0.9994,2.9997,0,3.9991,0,0,0,0,0,0,0.9998,4,24.995,7.5,14.25,1.5,0,0,0,0,0,0,1.2592,0.3148,0.9444,0.3148,0.9444,0.3148,1.2592,0.3148,2.8025,0.5605,0.4612,0.2306,0,0,1.2216,0.4072,0,0,0,0,.,.,.,.,3,4,3,3,4,5,2,.,.,70.585120777,47.053217399,0,0,23.531903378,11.765951689,17.648927534,17.648927534,0,74.991873171,25.008126829,0,0,0,49.991248031,25.000625141,25.008126829,100,0,0,0,0,0,0,0,74.999374859,0,0,0,25.000625141,0,24.99062289,75.00937711,6.0013503038,.,.,41483.013405,46439,61375,47696.654272,.,.,79243,51,62.4
"023902",13,14,1,0,4,10,0,0,0,0,1,100,92.9,7.1,0,28.6,71.4,0,0,0,0,7.1,0,13,16,14,20,12,10,14,13,16,14,14,12,9,10,187,17,16,59,7,16,102,85,61,0,0,0,4,4,77,102,207,0,0,220,0,0,7.7,0,18.2,0,0,0,0,0,6.7,.,0,0,0,0,0,0,0,0,0,85,0,31,192,16.1,54.5,2.1,41.2,0,0,0,2.1,54.5,45.5,32.6,8.6,9.1,31.6,8.6,3.7,0,7,8.6,7.5,10.7,6.4,5.3,7.5,7,8.6,7.5,7.5,6.4,4.8,5.3,19.35,0.3529,1,1,3.9572,748955.6246,29647,58000,77500,0,8.8504,1.0002,4.9996,4.4998,0,275044.8811,37577.514,228877.5336,207455.6959,0,16.3507,2.9993,0,0,0,21.7029,6.3347,31.9948,0,0,0,0,0,0,19.35,0,3.9997,15.3503,0,14.9187,2.6668,0,0.8302,0,0.9343,0,4.9999,20.5007,24.388923305,8.7440814871,13.03342067,3.9679,75,7,77,12,82,10,9.1,0.7,10.908,0.8504,10.002,1.0002,11.5023,1.0002,21.3665,1.1819,12.1884,0.8706,0,0,16,1,16,5,114,12,10.7,6.4,8.2,.,16,13,12.8,10,11.5,18.1,14,3.2,9.5,67.832585295,60.478577769,1.1029917362,3.125507895,3.125507895,12.368259842,19.799154863,12.401702777,0,84.499741602,15.500258398,0,0,45.738501292,5.1689922481,25.837726098,23.254780362,77.099224806,13.781912145,0,4.2904392765,0,4.8284237726,0,0,100,0,0,0,0,0,20.670284238,79.329715762,9.6640826873,.,31077.113023,37570,45779.169054,46103.314792,38705.717034,84009.634457,58000,77500,59.8,67.5
"024901",66,89,23,0,87,2,0,0,0,0,17,100,74.2,25.8,0,97.8,2.2,0,0,0,0,19.1,0,78,125,137,133,102,119,95,102,126,117,114,109,99,76,1532,129,46,361,75,49,1310,222,1009,2,2,0,0,0,1509,19,1691,0,0,1660,24,1.4,1.7,9,7.8,10.8,6.2,4.4,2.7,1.9,1,0,0,16.7,7.7,0,0,0,10,0,2,689,0.3,157,1420,11.1,1.2,0,98.5,0.1,0.1,0,0,85.5,14.5,65.9,3.2,8.4,23.6,3,4.9,0,5.1,8.2,8.9,8.7,6.7,7.8,6.2,6.7,8.2,7.6,7.4,7.1,6.5,5,111.2301,17.4181,8.5238,4,27.7118,5089959.9251,932638.6847,573344.3402,341636,12.9292,15.9663,16.0002,33.8159,32.5185,434804.3983,547180.2547,669988.4836,1642795.4099,1795191.3786,0.9997,86.8302,22.4004,0.9998,0,0,141.172,61.7384,230.6222,0.83,0,0,0,0,96.8252,13.405,0.9999,25.2769,85.9532,1,76.933,3.2627,7.0001,6.7011,7.8974,9.4358,0,22.9996,115.9361,19.838169474,9.2252778177,14.309478068,209.6935,608,32,575,31,654,40,78.6887,4.7294,76,4,97.88,5,84,5,111,5,117.9998,6,0,0,103.9937,4.9997,253,15,818,56,19,18.5,16.4,.,20.8,16.6,19,19.6,16.8,22.2,19.7,16.9,14.6,61.213534517,48.230439221,7.5526553818,3.6960015124,1.7344384019,12.016102526,26.770362957,90.925114755,0.8987675099,78.06358171,20.138793366,0.8988574136,11.623832038,14.354297982,14.384775344,30.401752763,29.235341872,69.165630526,2.9332887411,6.293350451,6.0245383219,7.1000565494,8.4831354103,0,0,12.051593948,87.049458735,0,0,0,0.8989473173,22.724873933,77.275126067,13.773250226,33629.644394,34270.949105,41873.756803,48580.561508,55205.233286,45760.634263,53544.226104,67263.936296,85409,57.9,61
"025901",72,81,9,4,22,53,2,0,0,0,5,100,88.9,11.1,4.9,27.2,65.4,2.5,0,0,0,6.2,4,34,70,86,75,67,71,67,87,84,84,84,83,78,81,1055,111,16,316,78,16,491,564,401,2,4,1,26,32,261,729,1172,0,0,1123,12,1.1,8.2,4.6,0,0,1.7,0,0,0,1.3,20,0,20,0,0,0,0,0,0,0,508,0,149,983,15.2,69.1,3,24.7,0.2,0.4,0.1,2.5,46.5,53.5,38,1.5,10.5,30,1.5,7.4,0.4,3.2,6.6,8.2,7.1,6.4,6.7,6.4,8.2,8,8,8,7.9,7.4,7.7,81.7086,5.1427,4.3237,1.49,20.8182,3428958.4441,231075.9656,298241.1174,137516,3.9309,9.0007,19.6859,22.0008,27.0903,114249.7341,282768.0898,735366.7692,978725.4695,1317848.3815,0,77.7085,4.0001,0,0,0,92.665,37.4523,150.9355,0,0,0,0,0,5.0007,76.7079,0,15.6776,66.031,0,66.3619,5.1477,0.6186,4.8994,1.307,3.374,0,7.6603,80.6604,9.4969774511,8.1929078838,15.468248148,12.9692,511,34,456,27,508,42,61.6824,3.9411,59.8971,4.0007,65.6383,4.2682,66.9495,4.0844,73.121,5.0354,83.4471,5.0195,0,0,70,5,182,15,725,49,15,16.9,12.1,.,14,15.7,15,15.4,16.4,14.5,16.6,12.1,14.8,61.393774162,54.134779426,3.40721699,2.8646011044,0.9871766417,13.792779035,24.813446803,8.5925444975,0,95.104432092,4.8955679084,0,4.8108767009,11.015609128,24.092812752,26.925929462,33.154771958,81.217766551,6.3000712287,0.75708065,5.9961864479,1.5995868244,4.129308298,0,0,93.879836394,6.1201636058,0,0,0,0,19.18720918,80.81279082,12.911737565,29064.523163,31416.23316,37354.998715,44485.903672,48646.503785,41965.698153,44932.810703,68978.217129,92292.61745,60.4,65.6
"025902",144,199,55,7,67,114,0,0,0,11,13,100,72.4,27.6,3.5,33.7,57.3,0,0,0,5.5,6.5,8,162,300,315,255,284,269,266,255,254,242,278,223,204,189,3504,319,102,1137,225,109,2240,1264,1631,16,23,2,95,190,1353,1825,3850,0,0,3925,74,1.9,5.7,4,3,2.1,0.9,3.7,0.4,0.9,1.9,17.2,11.1,13,0,0,0,0,0,0,1,1549,0.1,749,3440,21.8,52.1,5.4,38.6,0.5,0.7,0.1,2.7,63.9,36.1,46.5,3.1,9.1,32.4,2.9,6.4,0.2,4.6,8.6,9,7.3,8.1,7.7,7.6,7.3,7.2,6.9,7.9,6.4,5.8,5.4,245.1722,32.6737,13,5,82.7128,10831428.391,1623123,941444,531602,10.8346,45.834,54.5018,81.0013,53.0005,383163.8856,1646230.237,2119685.4352,3803120.6107,2879228.2226,1.0001,203.1686,41.0035,0,0,0,295.8459,109.7345,488.2932,0,1,0,0,5,10.5014,226.6707,2.0001,58.6673,186.5049,0,190.5091,14.9717,0.9173,10.8715,0.9999,17.9996,8.9031,36.0016,246.5024,14.604969363,7.9603051233,12.886759577,99.1424,1414,94,1268,75,1439,81,200.6548,9.7807,217.3132,10.0416,255.7831,13.0001,274.9856,16.6433,241.4462,15.1261,298.1293,16.0611,0,0,243.9794,13.2074,395,23,1763,104,15,16.9,17.8,.,18.5,20.5,21.6,19.7,16.5,16,18.6,17.2,17,60.587757519,50.21003774,6.6914099971,2.6623348431,1.0239749396,16.939166878,22.473075603,20.303866611,0.407917374,82.867715018,16.724367608,0,4.4191796623,18.694615458,22.230008133,33.038533733,21.617663014,77.704201374,6.1066058876,0.3741451926,4.4342303083,0.4078357987,7.3416154034,3.6313660358,2.0393829317,92.453671338,4.2832751837,0,0.4078765863,0,0.8157939603,23.929018053,76.070981947,14.291995585,35364.83909,35917.228193,38892.02623,46951.352765,54324.548308,44178.860373,49676.743069,72418.769231,106320.4,64,67.6
"025904",10,17,7,0,7,8,1,0,1,0,2,100,58.8,41.2,0,41.2,47.1,5.9,0,5.9,0,11.8,0,11,14,8,14,20,19,18,18,21,18,19,12,14,9,215,27,2,51,10,3,117,98,90,4,1,0,2,3,53,152,239,0,0,273,0,0,0,0,0,0,0,6.7,0,0,0,.,33.3,0,0,.,0,0,0,0,0,115,0,50,243,20.6,70.7,1.4,24.7,1.9,0.5,0,0.9,54.4,45.6,41.9,1.4,12.6,23.7,0.9,4.7,0,5.1,6.5,3.7,6.5,9.3,8.8,8.4,8.4,9.8,8.4,8.8,5.6,6.5,4.2,22.0017,1,1,1,3,889638.8693,55377,64842,97971,2.0001,3.9997,4.0002,6.0008,6.0009,64233.0126,129069.1762,147197.476,264615.01,284524.1945,0,16.0011,5.0004,1.0002,0,0,25.0017,9.8129,37.8146,0,0,0,0,0,1,21.0017,0,5.9999,16.0018,0,16.689,2.1666,0,2.0003,0,1.1458,0,2,21.0024,9.5227212128,5.5454545455,13.5,1.9465,84,8,82,9,96,13,17.632,1.3878,17.5752,0.9764,16.2654,0.9764,19.1946,0.9764,12.0036,0.8574,6.8592,0.8574,0,0,13,1,21,4,123,13,10.5,9.1,7.4,.,13,12.7,18,16.7,19.7,14,8,5.3,9.5,66.116526421,58.183082725,2.6444812321,2.6444812321,2.6444812321,7.9334436964,25.950029883,5.1474827183,0,72.72665294,22.727334706,4.5460123536,9.0906611762,18.179049801,18.181322352,27.27425608,27.274710591,75.853229523,9.8474208811,0,9.0915701968,0,5.2077793989,0,0,95.454896667,4.5451033329,0,0,0,0,27.270165487,72.729834513,9.7719721658,32114.900555,32269.714279,36797.529124,44096.622117,47413.587045,40435.0059,55377,64842,97971,59.9,67.2
"025905",11,11,0,0,0,11,0,0,0,0,1,100,100,0,0,0,100,0,0,0,0,9.1,0,4,22,13,17,11,22,17,12,29,23,23,26,16,24,259,28,9,85,25,9,139,120,82,1,0,0,2,1,56,199,278,0,0,289,0,0,38.5,12.5,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,36,251,14.3,76.8,0.4,21.6,0.4,0,0,0.8,53.7,46.3,31.7,3.5,10.8,32.8,3.5,9.7,0,1.5,8.5,5,6.6,4.2,8.5,6.6,4.6,11.2,8.9,8.9,10,6.2,9.3,23.9658,1.2354,1.4643,0.49,6.2075,973531.4522,43134.0356,86305.682,65000,1,4.0003,5.0005,9.0004,4.9646,31560,123512.7134,180989.1978,389822.5335,247647.0075,0,22.0014,1.9644,0,0,0,27.1555,8.925,42.288,0,0,0,0,0,0,23.9658,0,4.9642,19.0016,0,18.0602,1.2146,0.1428,1.8573,0.1429,2.548,0,1.9996,23.9665,8.3433125404,9.5135135135,12.594594595,1,150,11,141,11,161,15,6.4296,0.5358,14.6213,0.9049,19.2887,0.9049,8.1438,0.7858,13.3586,0.7858,11.1449,0.8573,0,0,17.2865,1.5715,52,5,225,16,13.6,12.8,10.7,.,11,12,16.2,21.3,10.4,17,13,10.4,14.1,64.215616723,56.672814983,2.9213961407,3.4626844495,1.1587211502,14.679105184,21.105278093,2.3647370412,0,91.803319731,8.1966802694,0,4.1726126397,16.691702343,20.865149505,37.555182802,20.715352711,75.358218795,5.0680553122,0.5958490849,7.7497934557,0.5962663462,10.631817006,0,0,100,0,0,0,0,0,20.713683666,79.286316334,10.807066737,31560,30875.86266,36194.220138,43311.689869,49882.570096,40621.696426,34915.036102,58939.890733,132653.06122,58.3,65.9
"025906",19,19,0,0,1,18,0,0,0,0,0,100,100,0,0,5.3,94.7,0,0,0,0,0,0,0,15,13,11,15,12,17,12,26,24,20,19,12,15,211,14,0,66,6,0,146,65,78,0,0,0,9,1,21,180,236,0,0,237,0,0,0,0,0,0,0,0,0,0,0,50,0,0,.,0,0,0,0,0,0,120,0,33,219,15.1,85.3,0.5,10,0,0,0,4.3,69.2,30.8,37,0,6.6,31.3,0,2.8,0,0,7.1,6.2,5.2,7.1,5.7,8.1,5.7,12.3,11.4,9.5,9,5.7,7.1,19.4702,0.4286,1.1051,1.49,2.49,742173.1426,19475.584,45459.96,114500,7.3441,3.0006,1.1235,3.0008,5.0012,276467.1496,87307.458,47977.2,128664.323,201757.012,0,19.4702,0,0,0,0,22.4939,8.2366,33.2205,0,0,0,0,0,0.3429,19.1273,0,5.9157,13.5545,0,14.9888,1.8642,0,1.6172,0,1,0,7.343,19.8027,37.080802113,4.7619047619,9.6666666667,3,109,8,115,7,116,10,10.2888,1.0003,14.1695,0.8335,10.002,0.8335,10.7175,0.7145,9.1685,0.8335,10.8355,0.8335,0,0,12.5025,0.8335,30,3,166,11,13.6,16.4,11.6,.,15,10.3,17,12,15,11,13,10,15.1,67.710901401,58.608991436,1.290167216,3.326560407,4.4851823422,7.4953718337,24.793726765,9.0305684743,0,100,0,0,37.719694713,15.41124385,5.7703567503,15.41227106,25.686433627,76.98328728,9.5746320017,0,8.3060266458,0,5.1360540724,0,0,98.238847059,1.7611529414,0,0,0,0,30.383355076,69.616644924,10.837074093,37644.796449,29096.666667,42703.337784,42876.673887,40341.720387,38118.413915,45440,41136.512533,76845.637584,54.1,63.2
"025908",6,8,2,0,2,6,0,0,0,0,1,100,75,25,0,25,75,0,0,0,0,12.5,0,10,9,13,14,9,13,13,19,13,13,18,14,10,9,177,23,3,50,8,3,122,55,58,0,0,0,3,0,37,137,204,0,0,238,1,0.4,0,13.3,10,0,0,5.6,0,7.7,11.8,0,0,0,0,0,0,0,0,0,0,104,0,57,216,26.4,77.4,0,20.9,0,0,0,1.7,68.9,31.1,32.8,1.7,13,28.2,1.7,4.5,0,5.6,5.1,7.3,7.9,5.1,7.3,7.3,10.7,7.3,7.3,10.2,7.9,5.6,5.1,17.9173,0.6286,0.8762,1,4,674859.3602,31430,49636.73,84460,0,6.3719,4.1245,2,5.4209,0,180062.756,152200.399,82950,259646.2052,0,15.4972,2.4201,0,0,0,20.4221,8.0376,32.4597,0,0,0,0,0,0,17.9173,0,3.1243,14.793,0,13.773,1.3927,0,1.6564,0,1.0952,0,1.0002,18.2169,5.4905060685,7.6652935118,12.098867147,2,66,7,68,6,97,9,18.0036,1.0002,12.3358,1.0002,13.0026,1.0002,9.0009,1.0001,14,1,12.8,1,0,0,4.5,0.5,14,3,115,10,9.4,11.3,10.8,.,9,18,12.3,13,9,14,12.8,4.7,11.5,62.915245674,55.19860011,1.9365551746,2.6993471905,3.0807431985,12.322972794,24.761781532,6.161486397,0,86.492942575,13.507057425,0,0,35.562835918,23.019651398,11.16239612,30.255116563,76.86984088,7.7729345381,0,9.2446964665,0,6.1125281153,0,0,100,0,0,0,0,0,17.437337099,82.562662901,9.8787205662,.,28258.879769,36901.539338,41475,47897.250493,37665.237519,50000,56650,84460,55.8,63.6
"025909",65,78,13,1,12,63,1,1,0,0,6,100,83.3,16.7,1.3,15.4,80.8,1.3,1.3,0,0,7.7,5,20,70,84,66,93,83,83,108,100,114,98,91,79,74,1168,121,27,296,113,20,534,634,450,2,17,1,20,19,262,847,1263,0,0,1296,15,1.2,5.3,4.8,1.2,4,0,5.7,1.2,0,1.3,0,62.5,0,7.7,0,0,0,0,0,0,575,0,164,1175,14,72.5,1.6,22.4,0.2,1.5,0.1,1.7,45.7,54.3,38.5,1.7,10.4,25.3,2.3,9.7,0.4,1.7,6,7.2,5.7,8,7.1,7.1,9.2,8.6,9.8,8.4,7.8,6.8,6.3,99.486,12.8404,6,3.219,37.929,4210355.8411,649630.9791,406951,259093.004,16.317,9.8413,15.8895,37.6659,19.7723,641556.1632,297228.8588,624858.5347,1649343.5397,997368.7447,0,89.546,9.94,0,10.5871,1.9465,121.5454,36.9882,196.4626,0,0,0,0,0,9.5586,89.9274,0,22.3075,77.1785,2,74.0341,6.0844,1,1.25,1.0647,11.3768,4.676,22.314,104.3959,21.374402635,8.3168100523,12.773130662,20.9119,549,58,529,35,557,48,66.401,3.7641,57.2881,3.0013,70.3467,4.3085,80.9767,4.6585,41.0269,2.0023,94.3086,4.7793,0,0,69.5194,3.9733,159,24,724,57,9.5,15.1,11.6,.,17.5,17.6,19.1,16.3,17.4,20.5,19.7,6.6,12.7,61.866940578,50.638645727,6.5357986711,3.0540163879,1.6384797921,19.305964596,18.827094826,10.644214217,0,90.008644432,9.9913555676,0,16.401302696,9.8921456285,15.971593993,37.860502985,19.874454697,74.416601331,6.1158353939,1.0051665561,1.2564581951,1.0702008323,11.435578875,4.7001588163,0,90.392014957,9.6079850431,0,0,0,0,22.42275295,77.57724705,11.740345375,39318.267034,30202.19471,39325.248416,43788.772861,50442.72769,42321.088807,50592.736916,67825.166667,80488.662317,59.9,75.2
