DISTRICT,COUNTY,REGION,DD1A,DD1B,DD1C,DD2B,DGRPRATE21,DELPRATE21,DCCPRATE21,DSTPRATE21,DAAPRATE21,DISTNAME,CNTYNAME,REGNNAME,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETECOP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DFLCHART,DFLALTED,DFLRTF,DFLNEWDIST,DFLSCD,DDA00A00T019R,DDA00A00T021R,D_RATING
061804,061,10,54,68,97,61,.,100,100,83,74,LEADERSHIP PREP SCHOOL,DENTON,REGION 10: RICHARDSON,72,17,1347,109,0,0,0,1047,5.3,1.3,8.1,0.0,0,0,77.7,Y,N,N,N,N,99,100,Not Rated: Declared State of Disaster
061805,061,11,57,.,100,57,.,.,.,.,.,TRIVIUM ACADEMY,DENTON,REGION 11: FORT WORTH,50,11,598,60,.,0,.,.,8.4,1.8,10.0,0.0,.,.,.,Y,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
061901,061,11,43,63,98.4,53,100,100,83,7,21,DENTON ISD,DENTON,REGION 11: FORT WORTH,4830,14442,30189,3729,0,0,0,22797,16.0,47.8,12.4,0.0,0,0,75.5,N,N,N,N,N,100,94,Not Rated: Declared State of Disaster
061902,061,11,53,68,97.4,61,89,100,100,57,67,LEWISVILLE ISD,DENTON,REGION 11: FORT WORTH,9120,15464,49253,7470,0,0,0,38677,18.5,31.4,15.2,0.0,0,0,78.5,N,N,N,N,N,100,87,Not Rated: Declared State of Disaster
061903,061,11,44,48,100,46,100,100,60,20,50,PILOT POINT ISD,DENTON,REGION 11: FORT WORTH,374,655,1358,148,0,0,0,1047,27.5,48.2,10.9,0.0,0,0,77.1,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
061905,061,11,47,52,100,50,100,100,40,33,41,KRUM ISD,DENTON,REGION 11: FORT WORTH,269,671,2095,291,0,0,0,1627,12.8,32.0,13.9,0.0,0,0,77.7,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
061906,061,11,49,60,100,55,100,100,80,36,50,PONDER ISD,DENTON,REGION 11: FORT WORTH,195,635,1582,170,0,0,0,1196,12.3,40.1,10.7,0.0,0,0,75.6,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
061907,061,11,52,56,98.8,54,100,100,67,73,73,AUBREY ISD,DENTON,REGION 11: FORT WORTH,119,785,2640,275,0,0,0,2002,4.5,29.7,10.4,0.0,0,0,75.8,N,N,N,N,N,100,97,Not Rated: Declared State of Disaster
061908,061,11,46,48,96.6,47,50,0,50,17,36,SANGER ISD,DENTON,REGION 11: FORT WORTH,234,1061,2568,355,0,0,0,1944,9.1,41.3,13.8,0.0,0,0,75.7,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
061910,061,11,66,78,100,72,100,100,100,92,100,ARGYLE ISD,DENTON,REGION 11: FORT WORTH,119,253,3751,389,0,0,0,2907,3.2,6.7,10.4,0.0,0,0,77.5,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
061911,061,11,53,69,96.8,61,44,100,100,71,65,NORTHWEST ISD,DENTON,REGION 11: FORT WORTH,1742,5446,25264,2966,0,0,0,19465,6.9,21.6,11.7,0.0,0,0,77,N,N,N,N,N,100,95,Not Rated: Declared State of Disaster
061912,061,11,41,51,98.6,46,100,100,78,0,4,LAKE DALLAS ISD,DENTON,REGION 11: FORT WORTH,396,1783,3862,480,0,0,0,2993,10.3,46.2,12.4,0.0,0,0,77.5,N,N,N,N,N,100,94,Not Rated: Declared State of Disaster
061914,061,11,42,41,98.2,42,57,100,33,8,24,LITTLE ELM ISD,DENTON,REGION 11: FORT WORTH,1497,3926,8090,805,0,0,0,6093,18.5,48.5,10.0,0.0,0,0,75.3,N,N,N,N,N,98,96,Not Rated: Declared State of Disaster
062901,062,03,43,91,100,67,100,100,100,0,33,CUERO ISD,DEWITT,REGION 03: VICTORIA,71,1130,1904,278,0,0,0,1468,3.7,59.3,14.6,0.0,0,0,77.1,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
062902,062,03,44,50,100,47,.,.,.,.,.,NORDHEIM ISD,DEWITT,REGION 03: VICTORIA,0,72,144,9,.,0,.,.,0.0,50.0,6.3,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
062903,062,03,47,40,100,44,100,100,17,60,78,YOAKUM ISD,DEWITT,REGION 03: VICTORIA,256,1121,1487,222,0,0,0,1122,17.2,75.4,14.9,0.0,0,0,75.5,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
062904,062,03,35,70,100,53,50,.,100,0,0,YORKTOWN ISD,DEWITT,REGION 03: VICTORIA,8,280,521,55,0,0,0,386,1.5,53.7,10.6,0.0,0,0,74.1,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
062905,062,03,47,.,.,47,.,.,.,.,.,WESTHOFF ISD,DEWITT,REGION 03: VICTORIA,3,35,66,1,.,.,.,.,4.5,53.0,1.5,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
062906,062,03,52,.,.,52,.,.,.,.,.,MEYERSVILLE ISD,DEWITT,REGION 03: VICTORIA,0,77,166,12,.,.,.,.,0.0,46.4,7.2,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
063903,063,17,48,100,100,74,.,.,.,.,.,SPUR ISD,DICKENS,REGION 17: LUBBOCK,1,122,239,50,.,0,.,.,0.4,51.0,20.9,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
063906,063,17,44,97,100,71,.,.,.,.,.,PATTON SPRINGS ISD,DICKENS,REGION 17: LUBBOCK,4,68,90,16,.,0,.,.,4.4,75.6,17.8,0.0,.,.,.,N,N,N, ,Y,100,99,Not Rated: Declared State of Disaster
064903,064,20,26,38,93.2,32,100,0,0,0,0,CARRIZO SPRINGS CISD,DIMMIT,REGION 20: SAN ANTONIO,126,1702,2064,193,0,0,0,1542,6.1,82.5,9.4,0.0,0,0,74.7,N,N,N,N,N,99,91,Not Rated: Declared State of Disaster
065901,065,16,51,45,100,48,100,.,0,56,87,CLARENDON ISD,DONLEY,REGION 16: AMARILLO,0,217,441,64,0,0,0,326,0.0,49.2,14.5,0.0,0,0,73.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
065902,065,16,49,78,100,64,.,.,.,.,.,HEDLEY ISD,DONLEY,REGION 16: AMARILLO,3,82,113,19,.,0,.,.,2.7,72.6,16.8,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
066005,066,02,17,.,.,17,.,.,.,.,.,RAMIREZ CSD,DUVAL,REGION 02: CORPUS CHRISTI,7,43,44,7,.,.,.,.,15.9,97.7,15.9,0.0,.,.,.,N,N,N, ,Y,100,94,Not Rated: Declared State of Disaster
066901,066,02,28,39,100,34,100,.,0,0,13,BENAVIDES ISD,DUVAL,REGION 02: CORPUS CHRISTI,7,225,255,37,0,0,0,207,2.7,88.2,14.5,0.0,0,0,81.2,N,N,N,N,N,99,88,Not Rated: Declared State of Disaster
066902,066,02,33,93,97.6,63,100,.,100,0,0,SAN DIEGO ISD,DUVAL,REGION 02: CORPUS CHRISTI,23,1298,1484,207,0,360,0,1109,1.5,87.5,13.9,24.3,0,0,74.7,N,N,N,N,N,100,95,Not Rated: Declared State of Disaster
066903,066,02,36,74,98.3,55,0,.,100,13,17,FREER ISD,DUVAL,REGION 02: CORPUS CHRISTI,29,590,781,105,0,61,0,558,3.7,75.5,13.4,7.8,0,0,71.4,N,N,N,N,N,100,97,Not Rated: Declared State of Disaster
067902,067,14,58,70,100,64,100,.,100,86,79,CISCO ISD,EASTLAND,REGION 14: ABILENE,12,447,837,127,0,0,0,596,1.4,53.4,15.2,0.0,0,0,71.2,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
067903,067,14,45,74,97.8,60,100,0,100,25,50,EASTLAND ISD,EASTLAND,REGION 14: ABILENE,74,597,1066,130,0,0,0,816,6.9,56.0,12.2,0.0,0,0,76.5,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
067904,067,14,39,76,100,58,100,.,100,11,8,GORMAN ISD,EASTLAND,REGION 14: ABILENE,21,199,276,39,0,0,0,200,7.6,72.1,14.1,0.0,0,0,72.5,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
067907,067,14,29,93,96.6,61,100,.,100,11,14,RANGER ISD,EASTLAND,REGION 14: ABILENE,12,259,349,69,0,0,0,262,3.4,74.2,19.8,0.0,0,0,75.1,N,N,N,N,N,100,95,Not Rated: Declared State of Disaster
067908,067,14,39,83,100,61,0,.,100,0,40,RISING STAR ISD,EASTLAND,REGION 14: ABILENE,6,127,186,20,0,0,0,130,3.2,68.3,10.8,0.0,0,0,69.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
068802,068,18,52,.,100,52,.,.,.,.,.,COMPASS ACADEMY CHARTER SCHOOL,ECTOR,REGION 18: MIDLAND,1,137,1322,118,.,0,.,.,0.1,10.4,8.9,0.0,.,.,.,Y,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
068803,068,18,47,.,94,47,.,.,.,.,.,UTPB STEM ACADEMY,ECTOR,REGION 18: MIDLAND,24,158,792,45,.,0,.,.,3.0,19.9,5.7,0.0,.,.,.,Y,N,N, ,Y,100,98,Not Rated: Declared State of Disaster
068901,068,18,29,63,88.4,46,71,100,90,0,0,ECTOR COUNTY ISD,ECTOR,REGION 18: MIDLAND,6755,17593,31775,3058,0,707,0,23073,21.3,55.4,9.6,2.2,0,0,72.6,N,N,N,N,N,98,96,Not Rated: Declared State of Disaster
069901,069,15,27,29,100,28,.,.,.,.,.,ROCKSPRINGS ISD,EDWARDS,REGION 15: SAN ANGELO,14,188,270,42,.,0,.,.,5.2,69.6,15.6,0.0,.,.,.,N,N,N, ,Y,100,98,Not Rated: Declared State of Disaster
069902,069,15,48,89,100,69,100,.,100,71,42,NUECES CANYON CISD,EDWARDS,REGION 15: SAN ANGELO,4,194,258,30,0,0,0,191,1.6,75.2,11.6,0.0,0,0,74,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
070801,070,10,20,24,97.1,22,100,0,0,0,0,WAXAHACHIE FAITH FAMILY ACADEMY,ELLIS,REGION 10: RICHARDSON,1426,2658,2681,248,0,0,0,1978,53.2,99.1,9.3,0.0,0,0,73.8,Y,N,N,N,N,100,96,Not Rated: Declared State of Disaster
070901,070,10,39,74,100,57,.,.,.,.,.,AVALON ISD,ELLIS,REGION 10: RICHARDSON,15,167,332,41,.,0,.,.,4.5,50.3,12.3,0.0,.,.,.,N,N,N, ,Y,99,95,Not Rated: Declared State of Disaster
070903,070,10,43,76,98.2,60,100,100,100,8,18,ENNIS ISD,ELLIS,REGION 10: RICHARDSON,833,3694,5816,649,0,0,0,4242,14.3,63.5,11.2,0.0,0,0,72.9,N,N,N,N,N,99,97,Not Rated: Declared State of Disaster
070905,070,10,35,81,97.9,58,20,100,100,0,0,FERRIS ISD,ELLIS,REGION 10: RICHARDSON,835,2101,2583,357,0,0,0,1902,32.3,81.3,13.8,0.0,0,0,73.6,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
070907,070,10,39,51,97.4,45,100,100,100,0,6,ITALY ISD,ELLIS,REGION 10: RICHARDSON,62,372,621,102,0,0,0,460,10.0,59.9,16.4,0.0,0,0,74.1,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
070908,070,10,53,61,95.6,57,57,100,90,69,67,MIDLOTHIAN ISD,ELLIS,REGION 10: RICHARDSON,373,2472,9810,1255,0,0,0,7701,3.8,25.2,12.8,0.0,0,0,78.5,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
070909,070,10,32,87,100,60,.,.,.,.,.,MILFORD ISD,ELLIS,REGION 10: RICHARDSON,37,174,245,35,.,0,.,.,15.1,71.0,14.3,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
070910,070,10,51,68,100,60,50,0,100,73,75,PALMER ISD,ELLIS,REGION 10: RICHARDSON,160,678,1243,227,0,0,0,944,12.9,54.5,18.3,0.0,0,0,75.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
070911,070,10,42,56,97.4,49,100,100,100,15,17,RED OAK ISD,ELLIS,REGION 10: RICHARDSON,745,2867,5987,751,0,0,0,4736,12.4,47.9,12.5,0.0,0,0,79.1,N,N,N,N,N,100,94,Not Rated: Declared State of Disaster
070912,070,10,47,61,93.8,54,100,100,100,57,58,WAXAHACHIE ISD,ELLIS,REGION 10: RICHARDSON,813,4437,9668,1483,0,407,0,7389,8.4,45.9,15.3,4.2,0,0,76.4,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
070915,070,10,45,59,98.8,52,100,100,75,27,13,MAYPEARL ISD,ELLIS,REGION 10: RICHARDSON,69,457,1160,90,0,0,0,892,5.9,39.4,7.8,0.0,0,0,76.9,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
071801,071,19,36,69,100,53,100,100,100,13,21,BURNHAM WOOD CHARTER SCHOOL DISTRI,EL PASO,REGION 19: EL PASO,512,439,1252,54,673,0,0,937,40.9,35.1,4.3,0.0,0,53.8,74.8,Y,N,N,N,N,99,98,Not Rated: Declared State of Disaster
071803,071,19,39,22,100,.,100,100,0,20,33,TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS,EL PASO,REGION 19: EL PASO,47,153,174,15,0,0,0,174,27.0,87.9,8.6,0.0,0,0,100,Y,Y,N,N,N,96,93,Not Rated: Declared State of Disaster
071804,071,19,39,26,86.1,.,0,.,0,17,33,EL PASO ACADEMY,EL PASO,REGION 19: EL PASO,30,239,322,33,0,0,0,322,9.3,74.2,10.2,0.0,0,0,100,Y,Y,N,N,N,100,98,Not Rated: Declared State of Disaster
071806,071,19,36,92,100,64,100,100,100,8,0,HARMONY SCIENCE ACAD (EL PASO),EL PASO,REGION 19: EL PASO,1114,3007,4141,380,1648,0,0,2986,26.9,72.6,9.2,0.0,0,39.8,72.1,Y,N,N,N,N,100,70,Not Rated: Declared State of Disaster
071807,071,19,23,.,.,23,.,.,.,.,.,LA FE PREPARATORY SCHOOL,EL PASO,REGION 19: EL PASO,146,177,180,9,.,0,.,.,81.1,98.3,5.0,0.0,.,.,.,Y,N,N, ,Y,99,100,Not Rated: Declared State of Disaster
071809,071,19,48,.,.,48,.,.,.,.,.,VISTA DEL FUTURO CHARTER SCHOOL,EL PASO,REGION 19: EL PASO,90,134,249,15,.,.,.,.,36.1,53.8,6.0,0.0,.,.,.,Y,N,N, ,Y,100,78,Not Rated: Declared State of Disaster
071810,071,19,23,.,.,23,.,.,.,.,.,EL PASO LEADERSHIP ACADEMY,EL PASO,REGION 19: EL PASO,135,187,210,15,.,0,.,.,64.3,89.0,7.1,0.0,.,.,.,Y,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
071901,071,19,26,79,96.3,53,17,100,100,0,0,CLINT ISD,EL PASO,REGION 19: EL PASO,4152,9129,10625,1175,198,347,20,8275,39.1,85.9,11.1,3.3,0.2,1.9,77.9,N,N,N,N,N,100,68,Not Rated: Declared State of Disaster
071902,071,19,37,73,90.5,55,78,100,100,7,19,EL PASO ISD,EL PASO,REGION 19: EL PASO,16645,37663,50540,5860,1791,848,0,39272,32.9,74.5,11.6,1.7,0,3.5,77.7,N,N,N,N,N,99,63,Not Rated: Declared State of Disaster
071903,071,19,23,78,93.8,51,0,0,100,0,0,FABENS ISD,EL PASO,REGION 19: EL PASO,948,1868,2045,274,168,242,18,1584,46.4,91.3,13.4,11.8,0.9,8.2,77.5,N,N,N,N,N,100,90,Not Rated: Declared State of Disaster
071904,071,19,27,64,89,46,25,100,100,0,0,SAN ELIZARIO ISD,EL PASO,REGION 19: EL PASO,1823,2899,3189,448,0,0,0,2404,57.2,90.9,14.0,0.0,0,0,75.4,N,N,N,N,N,100,64,Not Rated: Declared State of Disaster
071905,071,19,37,79,94.1,58,29,100,100,14,19,YSLETA ISD,EL PASO,REGION 19: EL PASO,11458,29697,38354,5423,1893,1181,53,29909,29.9,77.4,14.1,3.1,0.1,4.9,78,N,N,N,N,N,100,81,Not Rated: Declared State of Disaster
071906,071,19,28,83,100,56,0,100,100,0,0,ANTHONY ISD,EL PASO,REGION 19: EL PASO,209,507,786,92,0,0,0,591,26.6,64.5,11.7,0.0,0,0,75.2,N,N,N,N,N,99,98,Not Rated: Declared State of Disaster
071907,071,19,39,58,96.2,49,20,100,100,8,30,CANUTILLO ISD,EL PASO,REGION 19: EL PASO,1916,3799,6023,593,1068,388,0,4583,31.8,63.1,9.8,6.4,0,17.7,76.1,N,N,N,N,N,100,82,Not Rated: Declared State of Disaster
071908,071,19,22,52,98.4,37,100,100,100,0,0,TORNILLO ISD,EL PASO,REGION 19: EL PASO,514,862,913,72,0,28,0,734,56.3,94.4,7.9,3.1,0,0,80.4,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
071909,071,19,38,61,95.5,50,71,100,90,7,12,SOCORRO ISD,EL PASO,REGION 19: EL PASO,12005,32728,46932,5413,440,2613,0,36032,25.6,69.7,11.5,5.6,0,0.9,76.8,N,N,N,N,N,100,54,Not Rated: Declared State of Disaster
072801,072,11,37,45,89,.,0,0,50,9,15,PREMIER HIGH SCHOOLS,ERATH,REGION 11: FORT WORTH,698,3824,6327,844,0,0,0,6298,11.0,60.4,13.3,0.0,0,0,99.5,Y,Y,N,N,N,91,79,Not Rated: Declared State of Disaster
072802,072,11,38,14,91.2,.,0,.,0,25,0,ERATH EXCELS ACADEMY INC,ERATH,REGION 11: FORT WORTH,5,123,123,12,0,0,0,123,4.1,100.0,9.8,0.0,0,0,100,Y,Y,N,N,N,97,92,Not Rated: Declared State of Disaster
072901,072,11,36,.,100,36,.,.,.,.,.,THREE WAY ISD,ERATH,REGION 11: FORT WORTH,35,160,215,6,.,0,.,.,16.3,74.4,2.8,0.0,.,.,.,N,N,N, ,Y,100,99,Not Rated: Declared State of Disaster
072902,072,11,54,58,100,56,100,100,80,88,94,DUBLIN ISD,ERATH,REGION 11: FORT WORTH,210,771,1090,86,0,0,0,797,19.3,70.7,7.9,0.0,0,0,73.1,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
072903,072,11,51,71,99.6,61,100,100,100,67,78,STEPHENVILLE ISD,ERATH,REGION 11: FORT WORTH,469,1770,3645,415,0,0,0,2673,12.9,48.6,11.4,0.0,0,0,73.3,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
072904,072,11,54,40,100,47,.,.,.,.,.,BLUFF DALE ISD,ERATH,REGION 11: FORT WORTH,1,67,220,17,.,0,.,.,0.5,30.5,7.7,0.0,.,.,.,N,N,N, ,Y,100,98,Not Rated: Declared State of Disaster
072908,072,11,52,75,100,64,.,.,.,.,.,HUCKABAY ISD,ERATH,REGION 11: FORT WORTH,6,65,282,22,.,0,.,.,2.1,23.0,7.8,0.0,.,.,.,N,N,N, ,Y,100,99,Not Rated: Declared State of Disaster
072909,072,11,43,94,100,69,.,.,.,.,.,LINGLEVILLE ISD,ERATH,REGION 11: FORT WORTH,65,146,278,34,.,0,.,.,23.4,52.5,12.2,0.0,.,.,.,N,N,N, ,Y,100,98,Not Rated: Declared State of Disaster
072910,072,11,43,.,.,43,.,.,.,.,.,MORGAN MILL ISD,ERATH,REGION 11: FORT WORTH,0,37,129,9,.,0,.,.,0.0,28.7,7.0,0.0,.,.,.,N,N,N, ,Y,99,100,Not Rated: Declared State of Disaster
073901,073,12,38,91,100,65,.,.,.,.,.,CHILTON ISD,FALLS,REGION 12: WACO,99,479,529,57,.,0,.,.,18.7,90.5,10.8,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
073903,073,12,25,44,93.6,35,100,0,50,9,13,MARLIN ISD,FALLS,REGION 12: WACO,134,834,877,88,0,0,0,624,15.3,95.1,10.0,0.0,0,0,71.2,N,N,N,N,N,100,97,Not Rated: Declared State of Disaster
073904,073,12,64,.,.,64,.,.,.,.,.,WESTPHALIA ISD,FALLS,REGION 12: WACO,2,24,159,20,.,.,.,.,1.3,15.1,12.6,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
073905,073,12,37,54,96.2,46,100,100,75,9,11,ROSEBUD-LOTT ISD,FALLS,REGION 12: WACO,39,448,685,95,0,0,0,494,5.7,65.4,13.9,0.0,0,0,72.1,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
074903,074,10,40,53,98.3,47,100,100,80,9,10,BONHAM ISD,FANNIN,REGION 10: RICHARDSON,278,1239,1792,269,0,0,0,1250,15.5,69.1,15.0,0.0,0,0,69.8,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
074904,074,10,55,75,100,65,.,.,.,.,.,DODD CITY ISD,FANNIN,REGION 10: RICHARDSON,7,119,336,35,.,0,.,.,2.1,35.4,10.4,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
074905,074,10,34,71,100,53,100,.,100,0,0,ECTOR ISD,FANNIN,REGION 10: RICHARDSON,0,141,256,42,0,0,0,197,0.0,55.1,16.4,0.0,0,0,77,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
074907,074,08,48,51,100,50,100,100,75,50,83,HONEY GROVE ISD,FANNIN,REGION 08: MT PLEASANT,53,327,622,86,0,0,0,489,8.5,52.6,13.8,0.0,0,0,78.6,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
074909,074,10,42,41,100,42,100,0,0,10,22,LEONARD ISD,FANNIN,REGION 10: RICHARDSON,49,406,830,97,0,0,0,644,5.9,48.9,11.7,0.0,0,0,77.6,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
074911,074,10,51,71,100,61,100,.,100,86,55,SAVOY ISD,FANNIN,REGION 10: RICHARDSON,6,130,303,33,0,0,0,221,2.0,42.9,10.9,0.0,0,0,72.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
074912,074,10,43,76,100,60,0,100,100,0,25,TRENTON ISD,FANNIN,REGION 10: RICHARDSON,70,268,723,76,0,0,0,514,9.7,37.1,10.5,0.0,0,0,71.1,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
074917,074,10,47,83,100,65,100,.,100,44,36,SAM RAYBURN ISD,FANNIN,REGION 10: RICHARDSON,19,237,522,63,0,0,0,386,3.6,45.4,12.1,0.0,0,0,73.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
075901,075,13,64,66,100,65,100,100,100,89,88,FLATONIA ISD,FAYETTE,REGION 13: AUSTIN,40,291,600,76,0,0,0,446,6.7,48.5,12.7,0.0,0,0,74.3,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
075902,075,13,46,63,96.8,55,75,0,100,18,15,LA GRANGE ISD,FAYETTE,REGION 13: AUSTIN,282,988,1870,224,0,0,0,1449,15.1,52.8,12.0,0.0,0,0,77.5,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
075903,075,13,45,77,100,61,100,0,100,18,44,SCHULENBURG ISD,FAYETTE,REGION 13: AUSTIN,85,436,692,106,0,0,0,540,12.3,63.0,15.3,0.0,0,0,78,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
075906,075,13,51,100,100,76,.,.,.,.,.,FAYETTEVILLE ISD,FAYETTE,REGION 13: AUSTIN,14,107,274,21,.,0,.,.,5.1,39.1,7.7,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
075908,075,13,61,55,100,58,100,.,100,100,100,ROUND TOP-CARMINE ISD,FAYETTE,REGION 13: AUSTIN,27,94,235,20,0,0,0,183,11.5,40.0,8.5,0.0,0,0,77.9,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
076903,076,14,36,67,100,52,.,.,.,.,.,ROBY CISD,FISHER,REGION 14: ABILENE,10,152,313,39,.,0,.,.,3.2,48.6,12.5,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
076904,076,14,48,50,100,49,.,.,.,.,.,ROTAN ISD,FISHER,REGION 14: ABILENE,8,156,238,29,.,0,.,.,3.4,65.5,12.2,0.0,.,.,.,N,N,N, ,Y,99,100,Not Rated: Declared State of Disaster
077901,077,17,42,94,100,68,100,0,100,44,50,FLOYDADA ISD,FLOYD,REGION 17: LUBBOCK,66,530,704,65,0,0,0,526,9.4,75.3,9.2,0.0,0,0,74.7,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
077902,077,17,33,52,96,43,100,.,100,0,8,LOCKNEY ISD,FLOYD,REGION 17: LUBBOCK,22,369,454,39,0,0,0,346,4.8,81.3,8.6,0.0,0,0,76.2,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
078901,078,09,34,48,100,41,.,.,.,.,.,CROWELL ISD,FOARD,REGION 09: WICHITA FALLS,3,152,202,39,.,0,.,.,1.5,75.2,19.3,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
079901,079,04,52,61,96.6,57,100,100,100,93,89,LAMAR CISD,FORT BEND,REGION 04: HOUSTON,5677,18394,36419,4871,0,0,0,27198,15.6,50.5,13.4,0.0,0,0,74.7,N,N,N,N,N,100,92,Not Rated: Declared State of Disaster
079906,079,04,55,53,99.2,54,100,100,67,100,85,NEEDVILLE ISD,FORT BEND,REGION 04: HOUSTON,284,1285,3301,446,0,0,0,2511,8.6,38.9,13.5,0.0,0,0,76.1,N,N,N,N,N,100,97,Not Rated: Declared State of Disaster
079907,079,04,51,66,96.8,59,22,100,100,71,61,FORT BEND ISD,FORT BEND,REGION 04: HOUSTON,12931,32330,76469,8256,0,198,330,60307,16.9,42.3,10.8,0.3,0.4,0,78.9,N,N,N,N,N,100,76,Not Rated: Declared State of Disaster
079910,079,04,34,58,96.4,46,100,0,100,0,14,STAFFORD MSD,FORT BEND,REGION 04: HOUSTON,740,2326,3316,277,0,0,0,2560,22.3,70.1,8.4,0.0,0,0,77.2,N,N,N,N,N,99,86,Not Rated: Declared State of Disaster
080901,080,08,45,68,99.2,57,100,100,100,18,55,MOUNT VERNON ISD,FRANKLIN,REGION 08: MT PLEASANT,186,870,1475,162,0,0,0,1141,12.6,59.0,11.0,0.0,0,0,77.4,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
081902,081,12,42,94,98.3,68,100,100,100,8,30,FAIRFIELD ISD,FREESTONE,REGION 12: WACO,104,1081,1700,159,0,0,0,1291,6.1,63.6,9.4,0.0,0,0,75.9,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
081904,081,12,45,93,100,69,100,0,100,36,61,TEAGUE ISD,FREESTONE,REGION 12: WACO,103,706,1160,169,0,0,0,881,8.9,60.9,14.6,0.0,0,0,75.9,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
081905,081,12,40,42,100,41,100,.,0,11,7,WORTHAM ISD,FREESTONE,REGION 12: WACO,27,314,495,54,0,0,0,380,5.5,63.4,10.9,0.0,0,0,76.8,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
081906,081,12,49,.,.,49,.,.,.,.,.,DEW ISD,FREESTONE,REGION 12: WACO,9,97,164,15,.,0,.,.,5.5,59.1,9.1,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
082902,082,20,25,42,98.7,34,0,0,0,0,0,DILLEY ISD,FRIO,REGION 20: SAN ANTONIO,42,732,894,172,0,116,0,648,4.7,81.9,19.2,13.0,0,0,72.5,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
