DISTRICT,COUNTY,REGION,DD1A,DD1B,DD1C,DD2B,DGRPRATE21,DELPRATE21,DCCPRATE21,DSTPRATE21,DAAPRATE21,DISTNAME,CNTYNAME,REGNNAME,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETECOP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DFLCHART,DFLALTED,DFLRTF,DFLNEWDIST,DFLSCD,DDA00A00T019R,DDA00A00T021R,D_RATING
007904,007,20,32,88,93.8,60,100,100,100,0,0,LYTLE ISD,ATASCOSA,REGION 20: SAN ANTONIO,246,1176,1756,186,0,0,23,1279,14.0,67.0,10.6,0.0,1.3,0,72.8,N,N,N,N,N,99,99,Not Rated: Declared State of Disaster
007905,007,20,40,67,97.2,54,100,0,100,27,22,PLEASANTON ISD,ATASCOSA,REGION 20: SAN ANTONIO,154,2177,3431,455,0,0,0,2544,4.5,63.5,13.3,0.0,0,0,74.1,N,N,N,N,N,99,96,Not Rated: Declared State of Disaster
007906,007,20,33,24,97.2,29,100,100,0,0,19,POTEET ISD,ATASCOSA,REGION 20: SAN ANTONIO,119,974,1601,187,0,0,0,1202,7.4,60.8,11.7,0.0,0,0,75.1,N,N,N,N,N,99,93,Not Rated: Declared State of Disaster
008901,008,06,43,51,98.9,47,75,100,60,0,11,BELLVILLE ISD,AUSTIN,REGION 06: HUNTSVILLE,205,997,2184,281,0,0,0,1704,9.4,45.7,12.9,0.0,0,0,78,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
008902,008,06,43,52,96.9,48,100,100,100,8,9,SEALY ISD,AUSTIN,REGION 06: HUNTSVILLE,458,1667,2803,352,0,0,0,2122,16.3,59.5,12.6,0.0,0,0,75.7,N,N,N,N,N,100,98,Not Rated: Declared State of Disaster
008903,008,06,51,61,100,56,100,0,100,100,81,BRAZOS ISD,AUSTIN,REGION 06: HUNTSVILLE,118,496,794,92,0,0,0,604,14.9,62.5,11.6,0.0,0,0,76.1,N,N,N,N,N,100,99,Not Rated: Declared State of Disaster
009901,009,17,37,97,100,67,100,100,100,13,13,MULESHOE ISD,BAILEY,REGION 17: LUBBOCK,379,1146,1336,184,0,0,0,992,28.4,85.8,13.8,0.0,0,0,74.3,N,N,N,N,N,100,100,Not Rated: Declared State of Disaster
010901,010,20,45,35,100,40,.,.,.,.,.,MEDINA ISD,BANDERA,REGION 20: SAN ANTONIO,4,185,273,43,.,0,.,.,1.5,67.8,15.8,0.0,.,.,.,N,N,N, ,Y,100,100,Not Rated: Declared State of Disaster
010902,010,20,40,45,92.6,43,25,0,17,0,5,BANDERA ISD,BANDERA,REGION 20: SAN ANTONIO,107,1097,2216,337,0,0,0,1662,4.8,49.5,15.2,0.0,0,0,75,N,N,N,N,N,100,94,Not Rated: Declared State of Disaster
011901,011,13,31,50,98.1,41,63,100,73,0,0,BASTROP ISD,BASTROP,REGION 13: AUSTIN,3835,8274,11346,1316,0,155,0,8697,33.8,72.9,11.6,1.4,0,0,76.7,N,N,N,N,N,99,92,Not Rated: Declared State of Disaster
