DISTRICT,CNTYNAME,COUNTY,DA0GS18R,DAD_POST,DALL_UPDATE,DASC4X18R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_APPEAL_DECISION,D_RATING,D_YRS_IR,REGION,REGNNAME
54902,CROSBY,54,81.8,0, ,81.8,36,62,95,99,100,100,B,84,64,D,65,66,A,93,A,93,38,C,73,87,N,N,N,N,N,LORENZO ISD,197,73,270,0,0,213,78.9,18,6.7,0,0,39,14.4,0,0,.,.,.,.,., ,B,.,17,REGION 17: LUBBOCK
54903,CROSBY,54,93.1,0, ,90.3,32,57,84,96,97.1,90,C,79,53,F,55,58,B,89,B,89,52,C,76,85,N,N,N,N,N,RALLS ISD,372,71.7,519,0,0,427,82.3,10,1.9,0,0,63,12.1,0,0,.,.,.,.,., ,B,.,17,REGION 17: LUBBOCK
55901,CULBERSON,55,., , ,.,32,57,68,92,100,100,B,80,72,B,82,50,B,82,B,82,44,C,74,80,N,N, ,N,Y,CULBERSON COUNTY-ALLAMOORE ISD,.,.,378,0,0,294,77.8,31,8.2,.,.,32,8.5,.,.,.,.,.,.,., ,B,.,18,REGION 18: MIDLAND
56901,DALLAM,56,89.7,0, ,88.2,41,71,64,91,99.1,95,B,84,69,C,79,53,B,85,B,85,52,C,76,82,N,N,N,N,N,DALHART ISD,1269,73.6,1725,0,0,984,57,307,17.8,0,0,137,7.9,0,0,.,.,.,.,., ,B,.,16,REGION 16: AMARILLO
56902,DALLAM,56,., , ,.,42,71,85,96,100,100,B,87,64,C,72,64,A,90,A,90,52,C,75,86,N,N, ,N,Y,TEXLINE ISD,.,.,179,0,0,116,64.8,34,19,.,.,16,8.9,.,.,.,.,.,.,., ,B,.,16,REGION 16: AMARILLO
57802,DALLAS,57,., , ,.,30,80,47,93,100,100,B,89,61,C,79,.,Not Rated,.,C,79,40,A,91,94,Y,Y, ,N,Y,PEGASUS SCHOOL OF LIBERAL ARTS AND,.,.,676,0,0,571,84.5,142,21,.,.,61,9,.,.,4,88,4,38,0, ,A,.,10,REGION 10: RICHARDSON
57803,DALLAS,57,99.2,0, ,99.5,47,79,83,96,99.4,95,B,89,70,B,80,65,A,93,B,89,70,B,83,87,N,Y,N,N,N,UPLIFT EDUCATION,13643,72.9,18709,0,0,15139,80.9,6011,32.1,0,0,1351,7.2,534,2.9,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57804,DALLAS,57,32.6, , ,14.6,25,75,6,65,73.2,70,C,70,55,C,75,.,Not Rated,.,C,75,0,F,30,63,Y,Y,N,N,N,TEXANS CAN ACADEMIES,5066,99.9,5071,0,0,4250,83.8,854,16.8,0,0,443,8.7,0,0,1,15,0,43,1, ,D,.,10,REGION 10: RICHARDSON
57805,DALLAS,57,., , ,.,38,65,.,.,.,.,D,65,.,Not Rated,.,38,D,60,D,60,0,F,30,55,N,Y, ,N,Y,LUMIN EDUCATION,.,.,296,.,0,191,64.5,112,37.8,.,.,34,11.5,.,.,.,.,.,.,., ,F,2,10,REGION 10: RICHARDSON
57806,DALLAS,57,., , ,.,32,57,48,80,100,100,C,75,61,D,68,40,C,74,C,74,36,C,72,74,N,Y, ,N,Y,ADVANTAGE ACADEMY,.,.,1689,0,0,1301,77,417,24.7,.,.,102,6,.,.,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57807,DALLAS,57,94.8,0, ,95.1,40,70,60,90,100,100,B,84,68,C,76,50,B,83,B,83,47,C,75,81,N,Y,N,N,N,LIFE SCHOOL,4285,75.1,5703,0,0,3598,63.1,511,9,0,0,537,9.4,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57808,DALLAS,57,92.3,1, ,100,64,91,62,91,100,100,A,93,78,A,91,63,B,84,A,91,85,B,88,92,N,Y,N,N,N,UNIVERSAL ACADEMY,1146,55.7,2058,0,0,648,31.5,657,31.9,0,0,51,2.5,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
57809,DALLAS,57,., , ,.,33,58,.,.,.,.,F,58,63,F,59,33,D,62,D,62,.,Not Rated,.,62,N,Y, ,N,Y,NOVA ACADEMY,.,.,135,0,0,124,91.9,29,21.5,.,.,4,3,.,.,.,.,.,.,., ,D,.,10,REGION 10: RICHARDSON
57810,DALLAS,57,., , ,.,37,64,.,.,.,.,D,64,62,F,59,37,C,72,C,72,40,D,66,70,N,Y, ,N,Y,ACADEMY OF DALLAS,.,.,487,.,0,487,100,59,12.1,.,.,44,9,.,.,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57813,DALLAS,57,., , ,.,47,79,.,.,.,.,C,79,73,B,85,47,A,90,A,90,67,B,82,88,N,Y,N,N,N,TRINITY BASIN PREPARATORY,1886,53.9,3496,0,0,3150,90.1,2118,60.6,0,0,276,7.9,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57814,DALLAS,57,., , ,.,8,45,.,.,.,.,Not Rated,.,43,Not Rated,62,.,Not Rated,.,Not Rated,62,.,Not Rated,.,.,Y,Y,N,Y,N,ACADEMY FOR ACADEMIC EXCELLENCE,505,100,505,0,0,505,100,102,20.2,0,0,101,20,0,0,0,.,0,14,0, ,Not Rated,.,10,REGION 10: RICHARDSON
57816,DALLAS,57,., , ,.,37,65,.,.,.,.,D,65,68,C,76,37,D,66,C,76,16,D,61,72,N,Y,N,N,N,A W BROWN LEADERSHIP ACADEMY,798,38.3,2084,0,0,1318,63.2,10,0.5,0,0,99,4.8,0,0,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57819,DALLAS,57,., , ,.,41,70,.,.,100,100,C,70,73,B,83,41,C,79,B,83,55,C,76,81,N,Y, ,N,Y,JEAN MASSIEU ACADEMY,.,.,195,0,0,187,95.9,128,65.6,.,.,15,7.7,.,.,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57827,DALLAS,57,., , ,.,41,71,.,.,.,.,C,71,67,C,73,41,B,84,B,84,49,C,76,82,N,Y,N,N,N,NOVA ACADEMY SOUTHEAST,401,65.1,616,0,0,547,88.8,208,33.8,0,0,22,3.6,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57828,DALLAS,57,25.1, , ,38.7,28,79,26,91,73.7,70,B,82,46,D,66,.,Not Rated,.,D,66,3,D,62,76,Y,Y,N,N,N,WINFREE ACADEMY CHARTER SCHOOLS,1314,100,1314,0,0,712,54.2,167,12.7,0,0,146,11.1,0,0,0,39,0,33,0, ,C,.,10,REGION 10: RICHARDSON
57829,DALLAS,57,95.7,0, ,97.1,37,65,48,76,100,100,C,76,70,B,80,43,B,80,B,80,46,C,75,79,N,Y,N,N,N,A+ ACADEMY,1038,73.7,1409,0,0,1270,90.1,702,49.8,0,0,132,9.4,0,0,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57830,DALLAS,57,100,0, ,100,36,62,43,73,97,90,C,72,62,F,59,40,C,76,C,76,29,C,70,74,N,Y,N,N,N,INSPIRED VISION ACADEMY,976,72.1,1353,0,0,1271,93.9,578,42.7,0,0,121,8.9,0,0,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57831,DALLAS,57,100,0, ,100,38,67,21,52,100,100,D,68,67,C,73,30,D,62,C,73,27,D,68,72,N,Y,N,N,N,GATEWAY CHARTER ACADEMY,366,48.3,758,0,0,688,90.8,1,0.1,0,0,32,4.2,0,0,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57833,DALLAS,57,.,0, ,.,45,76,.,.,.,.,C,76,66,C,70,45,C,75,C,75,53,C,77,76,N,Y,N,N,N,EDUCATION CENTER INTERNATIONAL ACA,357,60,595,0,0,328,55.1,49,8.2,0,0,59,9.9,0,0,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57834,DALLAS,57,47.9, , ,54.4,21,70,37,92,60.4,65,C,78,59,C,78,.,Not Rated,.,C,78,10,C,70,77,Y,Y,N,N,N,EVOLUTION ACADEMY CHARTER SCHOOL,827,100,827,0,0,633,76.5,69,8.3,0,0,75,9.1,0,0,1,54,1,32,0, ,C,.,10,REGION 10: RICHARDSON
57835,DALLAS,57,.,1, ,.,51,82,.,.,.,.,B,82,72,B,84,51,A,91,A,91,90,A,91,91,N,Y,N,N,N,GOLDEN RULE CHARTER SCHOOL,660,43.1,1532,0,0,1528,99.7,905,59.1,0,0,75,4.9,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
57836,DALLAS,57,., , ,.,48,80,.,.,.,.,B,80,66,C,70,48,B,89,B,89,71,B,83,87,N,Y,N,N,N,ST ANTHONY SCHOOL,205,66.6,308,0,0,224,72.7,0,0,0,0,21,6.8,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57839,DALLAS,57,., , ,.,41,70,.,.,.,.,C,70,70,C,72,41,C,76,C,76,51,C,71,75,N,Y, ,N,Y,LA ACADEMIA DE ESTRELLAS,.,.,1096,.,0,945,86.2,688,62.8,.,.,102,9.3,.,.,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57840,DALLAS,57,., , ,.,78,95,100,100,100,100,A,98,.,Not Rated,.,89,A,94,A,94,.,Not Rated,.,98,N,Y, ,N,Y,RICHLAND COLLEGIATE HIGH SCHOOL,.,.,592,0,0,131,22.1,14,2.4,.,.,3,0.5,.,.,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
57841,DALLAS,57,., , ,.,37,64,.,.,.,.,D,64,64,C,72,37,C,73,C,73,34,C,71,72,N,Y, ,N,Y,CITYSCAPE SCHOOLS,.,.,878,.,0,805,91.7,484,55.1,.,.,55,6.3,.,.,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57844,DALLAS,57,.,0, ,.,41,71,.,.,100,100,C,71,66,C,70,41,D,60,C,70,19,D,63,69,N,Y,N,N,N,MANARA ACADEMY,562,63.1,891,0,0,419,47,297,33.3,0,0,56,6.3,0,0,.,.,.,.,., ,D,.,10,REGION 10: RICHARDSON
57845,DALLAS,57,90.9,0, ,.,57,87,70,93,100,100,A,92,67,C,73,64,B,88,B,88,90,B,89,91,N,Y,N,N,N,UME PREPARATORY ACADEMY,623,73.8,844,0,0,298,35.3,54,6.4,0,0,38,4.5,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
57846,DALLAS,57,36.8,0, ,.,36,62,68,92,94,80,C,78,70,B,80,52,B,89,B,89,37,C,72,84,N,Y,N,N,N,LEGACY PREPARATORY,1046,75.3,1390,0,0,1069,76.9,494,35.5,0,0,121,8.7,679,48.8,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57847,DALLAS,57,., , ,.,43,72,73,93,100,100,B,86,65,C,73,58,B,81,B,81,59,C,77,83,N,Y, ,N,Y,VILLAGE TECH SCHOOLS,.,.,1114,.,0,452,40.6,47,4.2,.,.,65,5.8,.,.,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57848,DALLAS,57,93.3,0, ,93.6,43,74,69,92,96.7,90,B,84,65,D,69,56,A,90,B,89,55,C,77,85,N,Y,N,N,N,INTERNATIONAL LEADERSHIP OF TEXAS,12490,68.4,18261,0,0,11548,63.2,4813,26.4,0,0,978,5.4,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57849,DALLAS,57,., , ,.,30,56,.,.,.,.,F,56,61,F,59,30,D,66,D,66,15,D,60,64,N,Y,N,N,N,TRINITY ENVIRONMENTAL ACADEMY,159,53.4,298,0,0,289,97,22,7.4,0,0,27,9.1,0,0,.,.,.,.,., ,D,.,10,REGION 10: RICHARDSON
57850,DALLAS,57,.,1, ,.,60,90,.,.,100,100,A,90,78,A,91,60,A,91,A,91,87,B,89,90,N,Y,N,N,N,PIONEER TECHNOLOGY & ARTS ACADEMY,563,91.1,618,0,0,370,59.9,126,20.4,79,12.8,31,5,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
57851,DALLAS,57,., , ,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,.,N,Y, ,N,Y,BRIDGEWAY PREPARATORY ACADEMY,.,.,23,0,0,7,30.4,5,21.7,.,.,7,30.4,.,.,.,.,.,.,., ,Not Rated,.,10,REGION 10: RICHARDSON
57903,DALLAS,57,88,0, ,89.5,48,80,67,92,97.4,90,B,87,69,C,79,58,A,91,B,89,89,B,89,89,N,N,N,N,N,CARROLLTON-FARMERS BRANCH ISD,18574,72.8,25525,337,1.3,16681,65.4,7745,30.3,0,0,3073,12,479,1.9,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57904,DALLAS,57,88.6,0, ,89.3,44,75,53,80,95.2,85,C,79,68,C,76,49,B,83,B,83,54,C,77,81,N,N,N,N,N,CEDAR HILL ISD,6149,79,7779,371,4.8,5237,67.3,585,7.5,0,0,638,8.2,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57905,DALLAS,57,83.7,0, ,85.2,46,78,57,86,91.8,65,C,79,70,B,80,52,A,90,B,89,57,C,78,86,N,N,N,N,N,DALLAS ISD,108606,70.1,155030,1730,1.1,133678,86.2,69224,44.7,4528,2.9,13709,8.8,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57906,DALLAS,57,83.4,0, ,89.7,37,65,53,80,90.9,65,C,71,66,C,70,45,B,80,B,80,50,C,76,79,N,N,N,N,N,DESOTO ISD,7312,77.9,9390,388,4.1,7031,74.9,665,7.1,0,0,869,9.3,1819,19.4,.,.,.,.,., ,C,.,10,REGION 10: RICHARDSON
57907,DALLAS,57,86.2,0, ,89.4,40,70,60,90,93.8,75,C,79,67,C,73,50,B,87,B,87,57,C,78,84,N,N,N,N,N,DUNCANVILLE ISD,10192,80.4,12674,0,0,9929,78.3,2410,19,25,0.2,1134,8.9,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57909,DALLAS,57,82.6,0, ,85.2,50,82,59,89,94.7,80,B,84,71,B,82,55,A,90,B,89,80,B,86,88,N,N,N,N,N,GARLAND ISD,42592,76.3,55848,0,0,36245,64.9,17524,31.4,0,0,4848,8.7,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57910,DALLAS,57,85.8,0, ,89.1,47,79,49,77,93.4,75,C,77,69,C,79,48,B,85,B,85,67,B,82,84,N,N,N,N,N,GRAND PRAIRIE ISD,21835,74.9,29137,596,2,22282,76.5,8931,30.7,0,0,2593,8.9,1119,3.8,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57911,DALLAS,57,96.2,1, ,97.6,77,94,94,99,99.6,95,A,96,78,A,91,86,A,90,A,91,98,A,98,97,N,N,N,N,N,HIGHLAND PARK ISD,5423,79.7,6801,0,0,0,0,86,1.3,0,0,599,8.8,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
57912,DALLAS,57,86,0, ,86.9,44,75,60,90,96.8,90,B,84,71,B,82,52,B,89,B,89,67,B,82,87,N,N,N,N,N,IRVING ISD,25045,75,33392,0,0,24942,74.7,13699,41,0,0,2693,8.1,548,1.6,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57913,DALLAS,57,95.2,1, ,96.4,47,79,41,71,99.8,95,C,79,71,B,82,44,B,81,B,82,57,C,78,81,N,N,N,N,N,LANCASTER ISD,5197,70.8,7344,0,0,6470,88.1,556,7.6,100,1.4,609,8.3,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57914,DALLAS,57,85.8,0, ,88.6,45,76,59,89,93,75,B,81,67,C,73,52,B,89,B,89,68,B,82,87,N,N,N,N,N,MESQUITE ISD,31082,77.2,40278,0,0,31436,78,10720,26.6,0,0,4250,10.6,0,0,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57916,DALLAS,57,80.8,0, ,83,54,85,67,92,93.8,75,B,86,70,B,80,61,A,91,B,89,75,B,85,88,N,N,N,N,N,RICHARDSON ISD,28345,72.7,38985,0,0,21697,55.7,10417,26.7,945,2.4,4562,11.7,3888,10,.,.,.,.,., ,B,.,10,REGION 10: RICHARDSON
57919,DALLAS,57,96.8,0, ,97.6,68,92,88,97,100,100,A,96,74,B,87,78,A,90,A,90,100,A,100,97,N,N,N,N,N,SUNNYVALE ISD,1459,77.6,1880,0,0,285,15.2,92,4.9,0,0,185,9.8,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
57922,DALLAS,57,97.6,1, ,97.9,76,94,88,97,99.8,95,A,95,82,A,93,82,A,90,A,93,93,A,94,95,N,N,N,N,N,COPPELL ISD,10016,77.9,12857,0,0,1282,10,1550,12.1,0,0,847,6.6,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
58902,DAWSON,58,., , ,.,30,56,61,90,100,100,C,78,60,D,66,46,C,78,C,78,50,C,75,77,N,N, ,N,Y,DAWSON ISD,.,.,108,0,0,69,63.9,10,9.3,.,.,7,6.5,.,.,.,.,.,.,., ,C,.,17,REGION 17: LUBBOCK
58905,DAWSON,58,., , ,.,78,95,100,100,100,100,A,98,86,A,93,89,A,95,A,95,100,A,100,99,N,N, ,N,Y,KLONDIKE ISD,.,.,260,0,0,84,32.3,16,6.2,.,.,10,3.8,.,.,.,.,.,.,., ,A,.,17,REGION 17: LUBBOCK
58906,DAWSON,58,84.1,0, ,80.1,34,59,77,94,100,100,B,81,59,F,58,56,B,89,B,89,33,C,71,84,N,N,N,N,N,LAMESA ISD,1372,73,1879,0,0,1420,75.6,105,5.6,0,0,215,11.4,0,0,.,.,.,.,., ,B,.,17,REGION 17: LUBBOCK
58909,DAWSON,58,., , ,.,59,89,100,100,100,100,A,96,73,B,83,80,A,94,A,94,89,B,87,93,N,N, ,N,Y,SANDS CISD,.,.,252,0,0,138,54.8,35,13.9,.,.,17,6.7,.,.,.,.,.,.,., ,A,.,17,REGION 17: LUBBOCK
59901,DEAF SMITH,59,55.7,0, ,55.7,41,71,53,80,95,85,C,77,59,F,58,47,B,84,B,84,50,C,76,82,N,N,N,N,N,HEREFORD ISD,2938,71.9,4086,0,0,3325,81.4,750,18.4,0,0,384,9.4,0,0,.,.,.,.,., ,B,.,16,REGION 16: AMARILLO
59902,DEAF SMITH,59,., , ,.,47,75,.,.,.,.,C,75,64,D,60,47,C,77,C,77,53,C,71,75,N,N, ,N,Y,WALCOTT ISD,.,.,146,.,0,89,61,16,11,.,.,16,11,.,.,.,.,.,.,., ,C,.,16,REGION 16: AMARILLO
60902,DELTA,60,81.3,0, ,82.3,47,79,78,95,98.1,95,B,89,67,C,73,63,A,92,A,92,68,B,82,89,N,N,N,N,N,COOPER ISD,588,72.7,809,0,0,548,67.7,18,2.2,0,0,85,10.5,0,0,.,.,.,.,., ,B,.,8,REGION 08: MT PLEASANT
60914,DELTA,60,66.7,0, ,66.7,36,62,81,95,93.8,75,C,78,62,F,59,59,B,89,B,89,49,C,76,85,N,N,N,N,N,FANNINDEL ISD,105,62.5,168,0,0,148,88.1,6,3.6,0,0,27,16.1,0,0,.,.,.,.,., ,B,.,8,REGION 08: MT PLEASANT
61802,DENTON,61,.,0, ,.,34,59,.,.,.,.,F,59,63,D,60,34,C,70,C,70,17,D,61,67,N,Y,N,N,N,NORTH TEXAS COLLEGIATE ACADEMY,247,44.4,556,0,0,475,85.4,197,35.4,0,0,55,9.9,0,0,.,.,.,.,., ,D,.,11,REGION 11: FORT WORTH
61804,DENTON,61,., , ,.,64,91,.,.,95,85,A,91,74,B,87,64,D,60,B,87,95,A,95,92,N,Y,N,N,N,LEADERSHIP PREP SCHOOL,942,75.8,1242,0,0,42,3.4,74,6,0,0,94,7.6,0,0,.,.,.,.,., ,A,.,10,REGION 10: RICHARDSON
61805,DENTON,61,., , ,.,60,90,.,.,.,.,A,90,73,C,77,60,F,57,C,77,80,C,78,86,N,Y, ,N,Y,TRIVIUM ACADEMY,.,.,593,0,0,17,2.9,21,3.5,.,.,44,7.4,.,.,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61901,DENTON,61,89.7,0, ,90.9,54,85,66,92,97.5,90,B,89,70,B,80,60,B,88,B,88,88,B,89,89,N,N,N,N,N,DENTON ISD,22522,75.2,29952,0,0,13621,45.5,4418,14.8,0,0,3301,11,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61902,DENTON,61,82.9,0, ,84.3,58,88,72,93,97.4,90,B,89,71,B,82,65,B,88,B,88,90,B,89,89,N,N,N,N,N,LEWISVILLE ISD,40178,77.1,52104,0,0,18148,34.8,9129,17.5,0,0,6092,11.7,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61903,DENTON,61,89.2,0, ,90.4,47,79,71,93,100,100,B,89,68,C,76,59,A,90,B,89,68,B,82,87,N,N,N,N,N,PILOT POINT ISD,1035,74.4,1392,0,0,793,57,372,26.7,0,0,119,8.5,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61905,DENTON,61,94.5,0, ,96.5,49,81,63,91,100,100,B,89,66,C,70,56,C,79,C,79,82,B,87,88,N,N,N,N,N,KRUM ISD,1593,77.9,2045,0,0,773,37.8,212,10.4,0,0,248,12.1,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61906,DENTON,61,85.1,0, ,88.8,50,82,65,91,98.8,95,B,88,71,B,82,58,B,83,B,83,67,B,82,86,N,N,N,N,N,PONDER ISD,1174,75.9,1547,0,0,605,39.1,173,11.2,0,0,134,8.7,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61907,DENTON,61,83.6,0, ,83.1,57,87,74,94,99.2,95,A,91,69,C,79,66,B,86,B,86,95,B,89,90,N,N,N,N,N,AUBREY ISD,1842,75.5,2440,0,0,722,29.6,82,3.4,0,0,203,8.3,0,0,.,.,.,.,., ,A,.,11,REGION 11: FORT WORTH
61908,DENTON,61,88.7,0, ,94.4,50,82,56,85,99.5,95,B,86,70,B,80,53,C,79,B,80,70,B,83,85,N,N,N,N,N,SANGER ISD,2104,76.5,2752,0,0,1178,42.8,240,8.7,0,0,325,11.8,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61910,DENTON,61,92.3,0, ,95.2,68,92,84,96,99.5,95,A,94,71,B,82,76,B,83,B,83,98,A,98,95,N,N,N,N,N,ARGYLE ISD,2365,77.8,3039,0,0,292,9.6,85,2.8,0,0,288,9.5,0,0,.,.,.,.,., ,A,.,11,REGION 11: FORT WORTH
61911,DENTON,61,87.1,0, ,88.7,61,90,70,93,95.8,85,A,90,73,B,85,66,B,80,B,85,97,A,97,92,N,N,N,N,N,NORTHWEST ISD,18193,75.6,24052,0,0,5023,20.9,1285,5.3,0,0,2371,9.9,0,0,.,.,.,.,., ,A,.,11,REGION 11: FORT WORTH
61912,DENTON,61,95.8,0, ,95.8,52,83,73,93,99.3,95,B,89,68,C,76,63,A,90,B,89,80,B,86,88,N,N,N,N,N,LAKE DALLAS ISD,3147,78.4,4016,0,0,1797,44.7,380,9.5,0,0,458,11.4,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
61914,DENTON,61,77.6,0, ,79,49,81,58,88,97.8,90,B,86,70,B,80,54,B,80,B,80,70,B,83,85,N,N,N,N,N,LITTLE ELM ISD,5776,74.5,7758,0,0,3494,45,1417,18.3,0,0,621,8,0,0,.,.,.,.,., ,B,.,11,REGION 11: FORT WORTH
62901,DEWITT,62,50.3,0, ,51.6,46,78,54,82,97.5,90,B,82,66,C,70,50,B,82,B,82,61,C,79,81,N,N,N,N,N,CUERO ISD,1527,77.2,1978,0,0,1190,60.2,75,3.8,0,0,225,11.4,0,0,.,.,.,.,., ,B,.,3,REGION 03: VICTORIA
62902,DEWITT,62,., , ,.,41,70,18,51,100,100,D,68,63,C,70,30,F,58,C,70,22,D,66,69,N,N, ,N,Y,NORDHEIM ISD,.,.,149,0,0,92,61.7,0,0,.,.,9,6,.,.,.,.,.,.,., ,D,.,3,REGION 03: VICTORIA
62903,DEWITT,62,90.6,0, ,91.3,43,74,54,82,100,100,B,82,65,D,69,49,B,84,B,84,55,C,77,82,N,N,N,N,N,YOAKUM ISD,1231,76.4,1611,0,0,1125,69.8,271,16.8,0,0,244,15.1,0,0,.,.,.,.,., ,B,.,3,REGION 03: VICTORIA
62904,DEWITT,62,77.8,0, ,79.5,37,65,43,73,97.7,90,C,73,61,F,59,40,C,70,C,70,4,F,38,63,N,N,N,N,N,YORKTOWN ISD,397,72.8,545,0,0,336,61.7,6,1.1,0,0,60,11,0,0,.,.,.,.,., ,D,.,3,REGION 03: VICTORIA
62905,DEWITT,62,., , ,.,52,79,.,.,.,.,C,79,72,C,75,52,B,85,B,85,68,C,75,82,N,N, ,N,Y,WESTHOFF ISD,.,.,87,.,0,60,69,7,8,.,.,4,4.6,.,.,.,.,.,.,., ,B,.,3,REGION 03: VICTORIA
62906,DEWITT,62,., , ,.,56,85,.,.,.,.,B,85,65,D,62,56,B,84,B,84,65,C,74,82,N,N, ,N,Y,MEYERSVILLE ISD,.,.,132,.,0,70,53,0,0,.,.,9,6.8,.,.,.,.,.,.,., ,B,.,3,REGION 03: VICTORIA
63903,DICKENS,63,., , ,.,45,73,100,100,100,100,B,89,65,C,73,73,A,93,A,93,70,B,80,89,N,N, ,N,Y,SPUR ISD,.,.,245,0,0,151,61.6,2,0.8,.,.,33,13.5,.,.,.,.,.,.,., ,B,.,17,REGION 17: LUBBOCK
63906,DICKENS,63,., , ,.,48,76,70,93,100,100,B,88,80,A,90,59,B,88,A,90,79,B,84,88,N,N, ,N,Y,PATTON SPRINGS ISD,.,.,97,0,0,80,82.5,0,0,.,.,13,13.4,.,.,.,.,.,.,., ,B,.,17,REGION 17: LUBBOCK
64903,DIMMIT,64,87.3,0, ,89.7,40,70,55,83,91.9,65,C,74,63,D,60,48,B,85,B,85,52,C,76,82,N,N,N,N,N,CARRIZO SPRINGS CISD,1613,73.1,2206,0,0,1712,77.6,127,5.8,0,0,202,9.2,0,0,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
65901,DONLEY,65,90.3,0, ,87.5,53,84,60,90,96.9,90,B,88,69,C,79,57,B,89,B,89,83,B,87,88,N,N,N,N,N,CLARENDON ISD,340,74.1,459,0,0,250,54.5,0,0,0,0,45,9.8,0,0,.,.,.,.,., ,B,.,16,REGION 16: AMARILLO
65902,DONLEY,65,., ,2,.,60,90,50,82,100,100,B,89,71,B,81,55,B,85,B,85,89,B,87,88,N,N, ,N,Y,HEDLEY ISD,.,.,111,0,0,84,75.7,4,3.6,.,.,11,9.9,.,.,.,.,.,.,., ,Data Integrity Issues,.,16,REGION 16: AMARILLO
66005,DUVAL,66,., , ,.,35,60,.,.,.,.,D,60,35,F,46,35,D,67,D,67,.,Not Rated,.,67,N,N, ,N,Y,RAMIREZ CSD,.,.,27,.,0,25,92.6,12,44.4,.,.,3,11.1,.,.,.,.,.,.,., ,D,.,2,REGION 02: CORPUS CHRISTI
