DISTRICT,CNTYNAME,COUNTY,DA0GS18R,DAD_POST,DALL_UPDATE,DASC4X18R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_APPEAL_DECISION,D_RATING,D_YRS_IR,REGION,REGNNAME
5904,ARCHER,5,92.3,0, ,94.7,62,91,71,93,100,100,A,94,73,B,85,67,A,91,A,91,96,A,96,95,N,N,N,N,N,WINDTHORST ISD,309,76.7,403,0,0,161,40,27,6.7,0,0,34,8.4,0,0,.,.,.,.,., ,A,.,9,REGION 09: WICHITA FALLS
6902,ARMSTRONG,6,79.2,0, ,79.2,56,87,79,95,100,100,A,93,79,A,91,68,A,91,A,91,83,B,87,91,N,N,N,N,N,CLAUDE ISD,251,70.1,358,0,0,146,40.8,4,1.1,0,0,38,10.6,0,0,.,.,.,.,., ,A,.,16,REGION 16: AMARILLO
7901,ATASCOSA,7,82.1,0, ,81.1,43,74,62,91,100,100,B,86,61,F,59,53,B,89,B,89,68,B,82,87,N,N,N,N,N,CHARLOTTE ISD,341,72.7,469,0,0,347,74,25,5.3,0,0,62,13.2,0,0,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
7902,ATASCOSA,7,50,0, ,54.1,48,80,69,92,96.4,90,B,87,70,B,80,59,A,90,B,89,62,B,80,86,N,N,N,N,N,JOURDANTON ISD,1146,71.4,1606,0,0,867,54,38,2.4,0,0,162,10.1,0,0,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
7904,ATASCOSA,7,94.3,0, ,91.5,36,62,56,85,94.2,80,C,75,64,D,65,46,B,81,B,81,30,C,70,78,N,N,N,N,N,LYTLE ISD,1240,71.9,1724,0,0,1278,74.1,209,12.1,0,0,136,7.9,0,0,.,.,.,.,., ,C,.,20,REGION 20: SAN ANTONIO
7905,ATASCOSA,7,94.1,0, ,96,40,70,70,93,99.2,95,B,84,62,F,59,55,B,89,B,89,46,C,75,85,N,N,N,N,N,PLEASANTON ISD,2637,74.2,3555,0,0,2206,62.1,129,3.6,0,0,355,10,0,0,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
7906,ATASCOSA,7,79.3,0, ,80,39,69,66,92,95.5,85,B,81,64,D,65,53,A,90,A,90,53,C,77,86,N,N,N,N,N,POTEET ISD,1255,74,1695,32,1.9,1346,79.4,96,5.7,0,0,148,8.7,0,0,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
8901,AUSTIN,8,88.8,0, ,89.9,50,82,58,88,99.4,95,B,87,70,B,80,54,B,83,B,83,66,B,81,85,N,N,N,N,N,BELLVILLE ISD,1748,78.7,2221,0,0,1100,49.5,187,8.4,0,0,216,9.7,0,0,.,.,.,.,., ,B,.,6,REGION 06: HUNTSVILLE
8902,AUSTIN,8,75.2,0, ,75.3,46,78,52,79,98.1,95,B,82,69,C,79,49,B,81,B,81,29,C,70,78,N,N,N,N,N,SEALY ISD,2063,75,2751,0,0,1636,59.5,406,14.8,0,0,268,9.7,0,0,.,.,.,.,., ,C,.,6,REGION 06: HUNTSVILLE
8903,AUSTIN,8,92.7,0, ,92.9,51,82,65,91,100,100,B,89,72,B,84,58,A,91,B,89,89,B,89,89,N,N,N,N,N,BRAZOS ISD,663,80.4,825,0,0,529,64.1,128,15.5,0,0,92,11.2,0,0,.,.,.,.,., ,B,.,6,REGION 06: HUNTSVILLE
9901,BAILEY,9,86.4,0, ,82.6,37,65,93,98,100,100,B,85,64,D,65,65,A,93,B,89,40,C,73,84,N,N,N,N,N,MULESHOE ISD,1022,72.3,1414,0,0,1217,86.1,330,23.3,0,0,191,13.5,0,0,.,.,.,.,., ,B,.,17,REGION 17: LUBBOCK
10901,BANDERA,10,., , ,.,46,74,50,82,100,100,B,82,66,C,75,48,B,80,B,80,68,C,79,81,N,N, ,N,Y,MEDINA ISD,.,.,306,0,0,189,61.8,5,1.6,.,.,37,12.1,.,.,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
