District Number,TEA District Name,District Name
15837,CARPE DIEM SCHOOLS,Carpe Diem Schools
57849,TRINITY ENVIRONMENTAL ACADEMY,Trinity Environmental Academy
101870,BETA ACADEMY,Beta Academy
105803,KI CHARTER ACADEMY,Ki Charter Academy
220819,HIGH POINT ACADEMY,High Point Academy
227828,THE EXCEL CENTER,The Excel Center
