Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Hispanic,6021,5580,0.93,4226,0.70,1330,0.22,3799,0.63,762,0.13,2316,0.39,0,0.00,3078,0.51,337,0.06,977,0.16
01,Edinburg,031,CAMERON,White,368,348,0.95,303,0.82,38,0.10,284,0.77,137,0.37,126,0.34,0,0.00,263,0.72,26,0.07,111,0.30
01,Edinburg,031,CAMERON,Others,31,29,0.94,29,0.94,0,0.00,27,0.87,18,0.58,7,0.23,0,0.00,25,0.81,0,0.00,17,0.55
01,Edinburg,031,CAMERON,Other Ethnicities,17,17,1.00,12,0.71,5,0.29,7,0.41,4,0.24,5,0.29,0,0.00,9,0.53,3,0.18,2,0.12
01,Edinburg,108,HIDALGO,African American,22,21,0.96,19,0.86,1,0.05,16,0.73,11,0.50,2,0.09,0,0.00,13,0.59,2,0.09,6,0.27
01,Edinburg,108,HIDALGO,Hispanic,10584,9929,0.94,7758,0.73,1968,0.19,6688,0.63,2351,0.22,2922,0.28,0,0.00,5273,0.50,563,0.05,1864,0.18
01,Edinburg,108,HIDALGO,White,397,371,0.94,326,0.82,34,0.09,301,0.76,175,0.44,95,0.24,0,0.00,270,0.68,18,0.05,143,0.36
01,Edinburg,108,HIDALGO,Others,56,53,0.95,50,0.89,1,0.02,49,0.88,31,0.55,8,0.14,0,0.00,39,0.70,1,0.02,25,0.45
01,Edinburg,124,JIM HOGG,All Ethnicities,91,90,0.99,87,0.96,4,0.04,75,0.82,28,0.31,22,0.24,0,0.00,50,0.55,1,0.01,20,0.22
01,Edinburg,214,STARR,All Ethnicities,1082,1029,0.95,816,0.75,191,0.18,658,0.61,171,0.16,331,0.31,0,0.00,502,0.46,37,0.03,241,0.22
01,Edinburg,240,WEBB,Hispanic,3728,3493,0.94,2916,0.78,511,0.14,2645,0.71,647,0.17,1554,0.42,0,0.00,2201,0.59,172,0.05,746,0.20
01,Edinburg,240,WEBB,White,82,69,0.84,64,0.78,3,0.04,56,0.68,22,0.27,35,0.43,0,0.00,57,0.70,7,0.09,18,0.22
01,Edinburg,240,WEBB,Other Ethnicities,20,18,0.90,17,0.85,1,0.05,13,0.65,13,0.65,3,0.15,0,0.00,16,0.80,6,0.30,9,0.45
01,Edinburg,245,WILLACY,Hispanic,315,292,0.93,241,0.77,34,0.11,213,0.68,54,0.17,90,0.29,0,0.00,144,0.46,11,0.03,34,0.11
01,Edinburg,245,WILLACY,White,13,11,0.85,12,0.92,0,0.00,10,0.77,8,0.62,1,0.08,0,0.00,9,0.69,1,0.08,7,0.54
01,Edinburg,253,ZAPATA,All Ethnicities,224,210,0.94,208,0.93,3,0.01,161,0.72,42,0.19,57,0.25,0,0.00,99,0.44,9,0.04,36,0.16
02,Corpus Christi,004,ARANSAS,Hispanic,88,83,0.94,71,0.81,8,0.09,62,0.71,11,0.13,22,0.25,0,0.00,33,0.38,5,0.06,8,0.09
02,Corpus Christi,004,ARANSAS,White,140,123,0.88,110,0.79,8,0.06,96,0.69,34,0.24,29,0.21,0,0.00,63,0.45,4,0.03,28,0.20
02,Corpus Christi,004,ARANSAS,Other Ethnicities,17,15,0.88,15,0.88,1,0.06,15,0.88,8,0.47,1,0.06,0,0.00,9,0.53,0,0.00,6,0.35
02,Corpus Christi,013,BEE,Hispanic,272,252,0.93,209,0.77,45,0.17,167,0.61,10,0.04,103,0.38,0,0.00,113,0.42,11,0.04,36,0.13
02,Corpus Christi,013,BEE,White,127,121,0.95,112,0.88,9,0.07,110,0.87,35,0.28,52,0.41,0,0.00,87,0.69,4,0.03,44,0.35
02,Corpus Christi,013,BEE,Other Ethnicities,13,13,1.00,11,0.85,2,0.15,11,0.85,2,0.15,5,0.39,0,0.00,7,0.54,1,0.08,3,0.23
02,Corpus Christi,024,BROOKS,All Ethnicities,143,138,0.97,122,0.85,14,0.10,102,0.71,28,0.20,37,0.26,0,0.00,65,0.46,3,0.02,27,0.19
02,Corpus Christi,066,DUVAL,Hispanic,225,214,0.95,180,0.80,31,0.14,141,0.63,26,0.12,67,0.30,0,0.00,93,0.41,7,0.03,35,0.16
02,Corpus Christi,066,DUVAL,White,13,13,1.00,12,0.92,0,0.00,11,0.85,5,0.39,3,0.23,0,0.00,8,0.62,0,0.00,5,0.39
02,Corpus Christi,125,JIM WELLS,Hispanic,612,590,0.96,465,0.76,108,0.18,351,0.57,117,0.19,166,0.27,0,0.00,283,0.46,46,0.08,70,0.11
02,Corpus Christi,125,JIM WELLS,White,114,112,0.98,98,0.86,8,0.07,90,0.79,36,0.32,36,0.32,0,0.00,72,0.63,7,0.06,28,0.25
02,Corpus Christi,125,JIM WELLS,Other Ethnicities,6,5,0.83,5,0.83,0,0.00,5,0.83,2,0.33,3,0.50,0,0.00,5,0.83,1,0.17,1,0.17
02,Corpus Christi,137,KLEBERG,Hispanic,337,307,0.91,207,0.61,97,0.29,207,0.61,99,0.29,72,0.21,0,0.00,171,0.51,29,0.09,55,0.16
02,Corpus Christi,137,KLEBERG,White,92,86,0.94,78,0.85,9,0.10,67,0.73,49,0.53,12,0.13,0,0.00,61,0.66,5,0.05,32,0.35
02,Corpus Christi,137,KLEBERG,Other Ethnicities,20,19,0.95,15,0.75,3,0.15,12,0.60,5,0.25,6,0.30,0,0.00,11,0.55,2,0.10,6,0.30
02,Corpus Christi,149,LIVE OAK,Hispanic,67,64,0.96,54,0.81,11,0.16,52,0.78,13,0.19,22,0.33,0,0.00,35,0.52,2,0.03,17,0.25
02,Corpus Christi,149,LIVE OAK,White,92,92,1.00,89,0.97,2,0.02,82,0.89,24,0.26,41,0.45,0,0.00,65,0.71,2,0.02,36,0.39
