Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
01,Edinburg,031,CAMERON,Female,3127,2926,0.94,2361,0.76,528,0.17,2070,0.66,467,0.15,1257,0.40,0,0.00,1724,0.55,183,0.06,646,0.21
01,Edinburg,031,CAMERON,Male,3310,3048,0.92,2209,0.67,845,0.26,2047,0.62,454,0.14,1197,0.36,0,0.00,1651,0.50,183,0.06,461,0.14
01,Edinburg,108,HIDALGO,Female,5424,5109,0.94,4144,0.76,811,0.15,3522,0.65,1363,0.25,1539,0.28,0,0.00,2902,0.54,298,0.05,1218,0.23
01,Edinburg,108,HIDALGO,Male,5635,5265,0.93,4009,0.71,1193,0.21,3532,0.63,1205,0.21,1488,0.26,0,0.00,2693,0.48,286,0.05,820,0.15
01,Edinburg,124,JIM HOGG,Female,46,46,1.00,46,1.00,0,0.00,40,0.87,18,0.39,14,0.30,0,0.00,32,0.70,1,0.02,13,0.28
01,Edinburg,124,JIM HOGG,Male,45,44,0.98,41,0.91,4,0.09,35,0.78,10,0.22,8,0.18,0,0.00,18,0.40,0,0.00,7,0.16
01,Edinburg,214,STARR,Female,530,504,0.95,417,0.79,69,0.13,337,0.64,91,0.17,177,0.33,0,0.00,268,0.51,19,0.04,131,0.25
01,Edinburg,214,STARR,Male,552,525,0.95,399,0.72,122,0.22,321,0.58,80,0.15,154,0.28,0,0.00,234,0.42,18,0.03,110,0.20
01,Edinburg,240,WEBB,Female,1874,1765,0.94,1526,0.81,198,0.11,1348,0.72,368,0.20,792,0.42,0,0.00,1160,0.62,92,0.05,435,0.23
01,Edinburg,240,WEBB,Male,1956,1815,0.93,1471,0.75,317,0.16,1366,0.70,314,0.16,800,0.41,0,0.00,1114,0.57,93,0.05,338,0.17
01,Edinburg,245,WILLACY,Female,161,143,0.89,120,0.75,17,0.11,107,0.67,36,0.22,50,0.31,0,0.00,86,0.53,8,0.05,26,0.16
01,Edinburg,245,WILLACY,Male,167,160,0.96,133,0.80,17,0.10,116,0.70,26,0.16,41,0.25,0,0.00,67,0.40,4,0.02,15,0.09
01,Edinburg,253,ZAPATA,Female,118,111,0.94,109,0.92,1,0.01,85,0.72,24,0.20,32,0.27,0,0.00,56,0.48,6,0.05,23,0.20
01,Edinburg,253,ZAPATA,Male,106,99,0.93,99,0.93,2,0.02,76,0.72,18,0.17,25,0.24,0,0.00,43,0.41,3,0.03,13,0.12
02,Corpus Christi,004,ARANSAS,Female,122,113,0.93,99,0.81,5,0.04,85,0.70,30,0.25,20,0.16,0,0.00,50,0.41,4,0.03,22,0.18
02,Corpus Christi,004,ARANSAS,Male,123,108,0.88,97,0.79,12,0.10,88,0.72,23,0.19,32,0.26,0,0.00,55,0.45,5,0.04,20,0.16
02,Corpus Christi,013,BEE,Female,191,177,0.93,153,0.80,24,0.13,133,0.70,27,0.14,73,0.38,0,0.00,100,0.52,8,0.04,50,0.26
02,Corpus Christi,013,BEE,Male,221,209,0.95,179,0.81,32,0.15,155,0.70,20,0.09,87,0.39,0,0.00,107,0.48,8,0.04,33,0.15
02,Corpus Christi,024,BROOKS,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,024,BROOKS,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,066,DUVAL,Female,105,102,0.97,89,0.85,9,0.09,69,0.66,15,0.14,34,0.32,0,0.00,49,0.47,5,0.05,19,0.18
02,Corpus Christi,066,DUVAL,Male,133,125,0.94,103,0.77,22,0.17,83,0.62,16,0.12,36,0.27,0,0.00,52,0.39,2,0.02,21,0.16
02,Corpus Christi,125,JIM WELLS,Female,353,341,0.97,291,0.82,42,0.12,227,0.64,87,0.25,112,0.32,0,0.00,199,0.56,30,0.09,69,0.20
02,Corpus Christi,125,JIM WELLS,Male,379,366,0.97,277,0.73,74,0.20,219,0.58,68,0.18,93,0.25,0,0.00,161,0.43,24,0.06,30,0.08
02,Corpus Christi,137,KLEBERG,Female,228,211,0.93,158,0.69,52,0.23,151,0.66,88,0.39,53,0.23,0,0.00,141,0.62,21,0.09,59,0.26
02,Corpus Christi,137,KLEBERG,Male,221,201,0.91,142,0.64,57,0.26,135,0.61,65,0.29,37,0.17,0,0.00,102,0.46,15,0.07,34,0.15
02,Corpus Christi,149,LIVE OAK,Female,74,73,0.99,68,0.92,4,0.05,61,0.82,18,0.24,34,0.46,0,0.00,52,0.70,3,0.04,29,0.39
02,Corpus Christi,149,LIVE OAK,Male,85,83,0.98,75,0.88,9,0.11,73,0.86,19,0.22,29,0.34,0,0.00,48,0.57,1,0.01,24,0.28
02,Corpus Christi,162,MCMULLEN,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
02,Corpus Christi,162,MCMULLEN,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
