DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPE0312P,DD2S,DDALLS
"057807","LIFE SCHOOL","057","DALLAS","10","REGION 10: RICHARDSON","B","C","B","C","B","B",79,75,80,86,728,3850,5735,1012,0,0,4457,12.7,17.6,0,0,77.7,80,82
"057808","UNIVERSAL ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","A","A","B","B","B","A",92,82,85,90,1093,636,2036,83,0,0,1124,53.7,4.1,0,0,55.2,85,91
"057809","NOVA ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","D","F","F","Not Rated","F","D",56,,58,66,1,68,77,4,0,0,20,1.3,5.2,0,0,26,58,60
"057810","ACADEMY OF DALLAS","057","DALLAS","10","REGION 10: RICHARDSON","F","F","F","F","F","C",43,55,44,70,20,194,220,21,0,0,124,9.1,9.5,0,0,56.4,55,59
"057813","TRINITY BASIN PREPARATORY","057","DALLAS","10","REGION 10: RICHARDSON","C","D","C","C","C","C",69,73,71,76,3014,5253,7007,972,0,0,4182,43,13.9,0,0,59.7,73,74
"057814","ACADEMY FOR ACADEMIC EXCELLENCE","057","DALLAS","10","REGION 10: RICHARDSON","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",,,,,40,280,280,81,0,0,280,14.3,28.9,0,0,100,,
"057819","JEAN MASSIEU ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","F","F","F","F","F","F",59,57,51,42,117,130,184,19,0,0,125,63.6,10.3,0,0,67.9,57,54
"057827","NOVA ACADEMY SOUTHEAST","057","DALLAS","10","REGION 10: RICHARDSON","B","C","B","C","B","B",72,76,80,88,78,223,235,27,0,0,170,33.2,11.5,0,0,72.3,80,82
"057828","WINFREE ACADEMY CHARTER SCHOOLS","057","DALLAS","10","REGION 10: RICHARDSON","B","B","B","C","B","B",86,71,81,80,319,630,1093,166,0,0,1093,29.2,15.2,0,0,100,81,84
"057829","A+ ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",76,63,79,76,943,1590,1678,244,0,0,1228,56.2,14.5,0,0,73.2,79,78
"057830","INSPIRED VISION ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",71,60,72,71,653,1131,1135,142,0,0,893,57.5,12.5,0,0,78.7,72,72
"057831","GATEWAY CHARTER ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","D","D","F","F","F","D",61,55,59,60,0,486,511,36,0,0,297,0,7,0,0,58.1,59,61
"057833","EDUCATION CENTER INTERNATIONAL ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","D","D","D","D","F","C",66,61,58,70,17,121,221,23,0,0,109,7.7,10.4,0,0,49.3,61,67
"057834","EVOLUTION ACADEMY CHARTER SCHOOL","057","DALLAS","10","REGION 10: RICHARDSON","A","A","B","C","B","A",91,74,84,90,114,441,629,65,34,39,629,18.1,10.3,5.4,6.2,100,84,91
"057835","GOLDEN RULE CHARTER SCHOOL","057","DALLAS","10","REGION 10: RICHARDSON","C","D","C","D","C","C",69,67,76,73,729,1215,1298,108,0,0,678,56.2,8.3,0,0,52.2,76,75
"057836","ST ANTHONY SCHOOL","057","DALLAS","10","REGION 10: RICHARDSON","D","D","C","F","C","D",69,59,79,68,0,287,318,42,0,0,217,0,13.2,0,0,68.2,79,69
"057839","LA ACADEMIA DE ESTRELLAS","057","DALLAS","10","REGION 10: RICHARDSON","B","C","B","C","B","C",72,73,81,77,739,905,1024,149,0,0,572,72.2,14.6,0,0,55.9,81,80
"057840","RICHLAND COLLEGIATE HIGH SCHOOL","057","DALLAS","10","REGION 10: RICHARDSON","A","A","A","Not Rated","A","Not Rated",96,,96,,13,60,132,1,0,0,132,9.8,0.8,0,0,100,96,96
"057841","CITYSCAPE SCHOOLS","057","DALLAS","10","REGION 10: RICHARDSON","C","D","C","C","C","D",69,73,75,67,737,1222,1259,137,0,0,609,58.5,10.9,0,0,48.4,75,73
"057844","MANARA ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","D","F","C","C","F","D",59,75,55,64,437,393,671,53,0,0,366,65.1,7.9,0,0,54.5,75,69
"057845","UME PREPARATORY ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","A","B","B","B","B","A",89,83,83,91,205,715,1703,165,0,0,1287,12,9.7,0,0,75.6,83,90
"057846","LEGACY PREPARATORY","057","DALLAS","10","REGION 10: RICHARDSON","D","D","D","D","D","D",66,64,65,63,574,905,1138,130,0,91,885,50.4,11.4,0,8,77.8,65,65
"057847","VILLAGE TECH SCHOOLS","057","DALLAS","10","REGION 10: RICHARDSON","B","B","C","F","C","B",81,55,79,82,93,733,1335,146,0,0,981,7,10.9,0,0,73.5,79,81
"057848","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",70,69,72,77,10585,18799,25496,2774,0,0,18311,41.5,10.9,0,0,71.8,72,74
"057850","PIONEER TECHNOLOGY & ARTS ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","B","C","C","D","C","B",79,65,71,82,345,975,2328,298,0,302,1839,14.8,12.8,0,13,79,71,80
"057851","BRIDGEWAY PREPARATORY ACADEMY","057","DALLAS","10","REGION 10: RICHARDSON","F","F","F","F","F","C",50,57,47,72,27,52,108,28,0,0,57,25,25.9,0,0,52.8,57,59
"057903","CARROLLTON-FARMERS BRANCH ISD","057","DALLAS","10","REGION 10: RICHARDSON","B","C","B","C","B","B",79,72,82,82,10527,15425,24120,4294,363,90,17445,43.6,17.8,1.5,0.4,72.3,82,82
"057904","CEDAR HILL ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",73,68,74,75,532,4019,6249,597,331,0,4796,8.5,9.6,5.3,0,76.7,74,74
"057905","DALLAS ISD","057","DALLAS","10","REGION 10: RICHARDSON","B","C","B","C","B","B",76,75,83,82,70412,124782,139776,16862,2449,6657,98094,50.4,12.1,1.8,4.8,70.2,83,83
"057906","DESOTO ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","D","C","D","C","C",69,66,71,72,700,3688,5708,677,340,18,4320,12.3,11.9,6,0.3,75.7,71,71
"057907","DUNCANVILLE ISD","057","DALLAS","10","REGION 10: RICHARDSON","C","D","C","D","C","C",69,61,72,72,3031,9023,11551,1383,441,146,8945,26.2,12,3.8,1.3,77.4,72,72
