DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPE0312P,DD2S,DDALLS
"059902","WALCOTT ISD","059","DEAF SMITH","16","REGION 16: AMARILLO","A","B","A","A","B","A",86,91,85,91,11,79,146,38,0,0,74,7.5,26,0,0,50.7,91,91
"060902","COOPER ISD","060","DELTA","08","REGION 08: MT PLEASANT","B","B","B","B","B","B",81,81,84,82,44,617,902,176,0,0,627,4.9,19.5,0,0,69.5,84,83
"060914","FANNINDEL ISD","060","DELTA","08","REGION 08: MT PLEASANT","D","D","D","F","D","D",64,54,62,63,15,113,141,35,0,0,89,10.6,24.8,0,0,63.1,62,64
"061802","NORTH TEXAS COLLEGIATE ACADEMY","061","DENTON","11","REGION 11: FORT WORTH","B","C","B","B","C","B",71,81,76,82,343,642,809,66,0,0,399,42.4,8.2,0,0,49.3,81,81
"061804","LEADERSHIP PREP SCHOOL","061","DENTON","10","REGION 10: RICHARDSON","C","C","C","C","F","D",79,73,55,67,179,34,1390,157,0,0,1090,12.9,11.3,0,0,78.4,73,75
"061805","TRIVIUM ACADEMY","061","DENTON","11","REGION 11: FORT WORTH","B","B","B","B","D","A",86,85,62,92,64,22,629,74,0,0,452,10.2,11.8,0,0,71.9,85,88
"061806","TEXAS WORKS","061","DENTON","11","REGION 11: FORT WORTH","D","C","C","Not Rated","C","F",74,,73,30,22,163,446,4,0,0,446,4.9,0.9,0,0,100,73,61
"061901","DENTON ISD","061","DENTON","11","REGION 11: FORT WORTH","B","C","C","C","C","B",78,74,73,83,6474,16034,33228,5499,0,0,24536,19.5,16.5,0,0,73.8,74,80
"061902","LEWISVILLE ISD","061","DENTON","11","REGION 11: FORT WORTH","B","B","C","C","C","B",81,76,74,80,11320,17350,47776,9479,0,0,37099,23.7,19.8,0,0,77.7,76,81
"061903","PILOT POINT ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","D","C","C",78,69,70,73,518,719,1616,283,0,0,1199,32.1,17.5,0,0,74.2,70,77
"061905","KRUM ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","D","C",78,72,68,71,427,996,2540,499,0,0,1903,16.8,19.6,0,0,74.9,72,76
"061906","PONDER ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","D","C","C",78,69,73,78,306,727,1718,306,0,0,1325,17.8,17.8,0,0,77.1,73,78
"061907","AUBREY ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","D","B",78,74,65,82,613,1462,4477,765,0,0,3148,13.7,17.1,0,0,70.3,74,79
"061908","SANGER ISD","061","DENTON","11","REGION 11: FORT WORTH","B","B","B","B","C","B",80,80,77,87,418,1261,2874,594,0,0,2170,14.5,20.7,0,0,75.5,80,82
"061910","ARGYLE ISD","061","DENTON","11","REGION 11: FORT WORTH","A","A","B","B","C","A",92,84,71,91,577,390,6114,736,0,0,4554,9.4,12,0,0,74.5,84,92
"061911","NORTHWEST ISD","061","DENTON","11","REGION 11: FORT WORTH","B","B","C","C","D","B",82,77,69,80,4050,8949,31996,5692,309,0,23842,12.7,17.8,1,0,74.5,77,81
"061912","LAKE DALLAS ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","C","C",79,76,70,79,554,1500,3711,621,0,0,2910,14.9,16.7,0,0,78.4,76,79
"061914","LITTLE ELM ISD","061","DENTON","11","REGION 11: FORT WORTH","C","C","C","C","C","B",77,74,73,82,1893,3602,7989,1223,0,0,6059,23.7,15.3,0,0,75.8,74,79
"062901","CUERO ISD","062","DEWITT","03","REGION 03: VICTORIA","C","C","C","D","C","C",79,62,73,79,93,966,1871,359,0,0,1454,5,19.2,0,0,77.7,73,79
"062902","NORDHEIM ISD","062","DEWITT","03","REGION 03: VICTORIA","B","B","B","D","B","B",83,67,83,86,0,73,113,11,0,0,93,0,9.7,0,0,82.3,83,84
"062903","YOAKUM ISD","062","DEWITT","03","REGION 03: VICTORIA","C","C","C","C","C","B",73,71,76,83,312,960,1446,310,0,0,1041,21.6,21.4,0,0,72,76,78
"062904","YORKTOWN ISD","062","DEWITT","03","REGION 03: VICTORIA","B","B","C","D","C","C",84,66,78,77,10,294,573,89,0,0,415,1.7,15.5,0,0,72.4,78,82
"062905","WESTHOFF ISD","062","DEWITT","03","REGION 03: VICTORIA","B","A","A","B","A","C",90,82,90,78,7,50,85,5,0,0,57,8.2,5.9,0,0,67.1,90,86
"062906","MEYERSVILLE ISD","062","DEWITT","03","REGION 03: VICTORIA","A","A","B","B","B","A",91,86,83,90,0,61,174,23,0,0,90,0,13.2,0,0,51.7,86,91
"063903","SPUR ISD","063","DICKENS","17","REGION 17: LUBBOCK","B","B","B","C","B","A",88,74,85,91,0,96,192,39,0,0,136,0,20.3,0,0,70.8,85,89
"063906","PATTON SPRINGS ISD","063","DICKENS","17","REGION 17: LUBBOCK","A","B","A","D","A","A",89,62,90,90,0,74,88,13,0,0,62,0,14.8,0,0,70.5,90,90
"064903","CARRIZO SPRINGS CISD","064","DIMMIT","20","REGION 20: SAN ANTONIO","D","D","C","D","C","D",68,66,72,69,89,1410,1842,246,0,0,1416,4.8,13.4,0,0,76.9,72,69
"065901","CLARENDON ISD","065","DONLEY","16","REGION 16: AMARILLO","B","B","B","D","B","C",85,68,83,75,4,201,401,80,0,0,282,1,20,0,0,70.3,83,82
"065902","HEDLEY ISD","065","DONLEY","16","REGION 16: AMARILLO","B","B","B","C","B","B",85,79,87,89,1,70,93,32,0,0,66,1.1,34.4,0,0,71,87,88
"066005","RAMIREZ CSD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","B","C","B","B","B","C",76,81,84,72,2,31,36,7,0,0,17,5.6,19.4,0,0,47.2,84,80
"066901","BENAVIDES ISD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","B","D","B","B","C","B",69,83,70,81,4,132,148,32,0,58,120,2.7,21.6,0,39.2,81.1,83,82
"066902","SAN DIEGO ISD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","B","C","B","C","B","B",77,74,86,89,11,1267,1451,247,442,0,1096,0.8,17,30.5,0,75.5,86,87
"066903","FREER ISD","066","DUVAL","02","REGION 02: CORPUS CHRISTI","C","C","C","D","C","C",73,69,77,70,31,626,709,137,28,49,494,4.4,19.3,3.9,6.9,69.7,77,75
"067902","CISCO ISD","067","EASTLAND","14","REGION 14: ABILENE","B","B","B","B","B","B",84,80,82,86,26,421,833,151,0,0,599,3.1,18.1,0,0,71.9,82,85
"067903","EASTLAND ISD","067","EASTLAND","14","REGION 14: ABILENE","B","B","B","C","B","C",82,71,82,78,61,538,966,186,0,0,694,6.3,19.3,0,0,71.8,82,81
"067904","GORMAN ISD","067","EASTLAND","14","REGION 14: ABILENE","C","C","C","D","C","D",73,67,73,69,14,172,242,62,0,0,182,5.8,25.6,0,0,75.2,73,72
"067907","RANGER ISD","067","EASTLAND","14","REGION 14: ABILENE","D","D","D","D","D","D",62,64,64,68,5,213,288,83,0,0,196,1.7,28.8,0,0,68.1,64,65
"067908","RISING STAR ISD","067","EASTLAND","14","REGION 14: ABILENE","D","D","D","D","D","C",69,61,64,72,11,112,179,39,0,0,128,6.1,21.8,0,0,71.5,64,69
"068802","COMPASS ACADEMY CHARTER SCHOOL","068","ECTOR","18","REGION 18: MIDLAND","D","D","D","D","F","D",69,69,50,68,16,41,1558,171,0,0,1134,1,11,0,0,72.8,69,69
"068901","ECTOR COUNTY ISD","068","ECTOR","18","REGION 18: MIDLAND","D","D","C","D","C","D",69,65,74,67,9588,25383,33630,3916,678,418,24282,28.5,11.6,2,1.2,72.2,74,69
"069901","ROCKSPRINGS ISD","069","EDWARDS","15","REGION 15: SAN ANGELO","C","C","C","C","D","C",72,79,68,71,15,123,199,33,0,0,140,7.5,16.6,0,0,70.4,79,77
"069902","NUECES CANYON CISD","069","EDWARDS","15","REGION 15: SAN ANGELO","B","C","B","B","C","C",72,83,72,74,5,184,237,46,0,0,184,2.1,19.4,0,0,77.6,83,80
"070801","FAITH FAMILY ACADEMY","070","ELLIS","10","REGION 10: RICHARDSON","F","F","F","F","F","D",58,56,58,62,1681,3020,3036,392,0,0,2159,55.4,12.9,0,0,71.1,58,59
"070901","AVALON ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","B","B","D","B","B",85,64,83,86,24,233,347,74,0,0,236,6.9,21.3,0,0,68,83,85
"070903","ENNIS ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",77,62,76,73,1299,4313,6626,1009,0,0,4708,19.6,15.2,0,0,71.1,76,76
"070905","FERRIS ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","C","C","D","C","B",75,68,79,81,1125,2337,3003,520,0,0,2270,37.5,17.3,0,0,75.6,79,80
"070907","ITALY ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","B","C","D","C","C",81,68,75,77,64,296,594,151,0,0,453,10.8,25.4,0,0,76.3,75,80
"070908","MIDLOTHIAN ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","B","B","B","C","B",85,81,72,85,666,3208,11324,1813,0,0,8893,5.9,16,0,0,78.5,81,85
"070909","MILFORD ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","C","F","C","C",78,57,73,76,51,167,258,40,0,0,189,19.8,15.5,0,0,73.3,73,77
"070910","PALMER ISD","070","ELLIS","10","REGION 10: RICHARDSON","B","B","B","B","B","A",87,81,87,90,211,699,1348,324,0,0,1017,15.7,24,0,0,75.4,87,88
"070911","RED OAK ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","C","C","C","B",73,72,75,80,1033,4126,6675,1124,0,0,5216,15.5,16.8,0,0,78.1,75,77
"070912","WAXAHACHIE ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","C","D","C","C",77,69,73,75,1159,5433,11129,1970,367,0,8517,10.4,17.7,3.3,0,76.5,73,76
"070915","MAYPEARL ISD","070","ELLIS","10","REGION 10: RICHARDSON","C","C","D","D","F","D",72,66,58,64,114,378,1203,216,0,0,896,9.5,18,0,0,74.5,66,70
"071801","BURNHAM WOOD CHARTER SCHOOL DISTRICT","071","EL PASO","19","REGION 19: EL PASO","C","C","C","C","C","C",76,71,75,78,1130,1239,1744,58,83,0,1382,64.8,3.3,4.8,0,79.2,75,77
"071803","TRIUMPH PUBLIC HIGH SCHOOLS-WEST TEXAS","071","EL PASO","19","REGION 19: EL PASO","C","B","B","C","B","F",82,78,82,55,78,273,311,42,0,0,311,25.1,13.5,0,0,100,82,74
"071804","EL PASO ACADEMY","071","EL PASO","19","REGION 19: EL PASO","B","B","A","B","A","C",83,86,92,79,103,247,319,45,0,0,319,32.3,14.1,0,0,100,92,88
"071806","HARMONY PUBLIC SCHOOLS - WEST TEXAS","071","EL PASO","19","REGION 19: EL PASO","B","B","A","B","A","B",87,81,90,89,1867,4224,5687,512,0,0,4089,32.8,9,0,0,71.9,90,89
"071807","LA FE PREPARATORY SCHOOL","071","EL PASO","19","REGION 19: EL PASO","B","D","A","A","C","C",64,93,72,76,175,195,195,17,0,0,90,89.7,8.7,0,0,46.2,93,88
"071809","VISTA DEL FUTURO CHARTER SCHOOL","071","EL PASO","19","REGION 19: EL PASO","B","C","B","B","C","A",76,88,70,92,148,173,366,18,0,0,203,40.4,4.9,0,0,55.5,88,89
"071810","EL PASO LEADERSHIP ACADEMY","071","EL PASO","19","REGION 19: EL PASO","D","F","D","D","D","F",57,63,61,59,596,644,775,30,0,0,775,76.9,3.9,0,0,100,63,62
"071901","CLINT ISD","071","EL PASO","19","REGION 19: EL PASO","B","C","B","C","B","B",77,77,84,85,4299,8634,10053,1800,290,105,7712,42.8,17.9,2.9,1,76.7,84,84
"071902","EL PASO ISD","071","EL PASO","19","REGION 19: EL PASO","B","C","B","C","B","B",76,74,80,80,17322,34208,47994,6473,775,1896,36013,36.1,13.5,1.6,4,75,80,80
"071903","FABENS ISD","071","EL PASO","19","REGION 19: EL PASO","C","C","C","C","C","D",71,71,79,69,989,1688,1864,313,177,45,1443,53.1,16.8,9.5,2.4,77.4,79,76
"071904","SAN ELIZARIO ISD","071","EL PASO","19","REGION 19: EL PASO","D","D","C","D","C","D",66,68,73,69,1778,2654,2922,478,226,0,2199,60.8,16.4,7.7,0,75.3,73,69
"071905","YSLETA ISD","071","EL PASO","19","REGION 19: EL PASO","B","B","B","B","B","B",82,81,89,89,10566,26882,34005,5874,1207,62,26057,31.1,17.3,3.5,0.2,76.6,89,89
"071906","ANTHONY ISD","071","EL PASO","19","REGION 19: EL PASO","B","C","C","C","C","B",75,79,79,81,203,562,725,120,0,0,558,28,16.6,0,0,77,79,80
"071907","CANUTILLO ISD","071","EL PASO","19","REGION 19: EL PASO","C","C","C","C","C","C",77,73,79,75,1899,3629,5727,678,372,44,4361,33.2,11.8,6.5,0.8,76.1,79,78
"071908","TORNILLO ISD","071","EL PASO","19","REGION 19: EL PASO","B","C","B","B","B","B",74,81,82,81,482,670,726,105,81,0,556,66.4,14.5,11.2,0,76.6,82,82
"071909","SOCORRO ISD","071","EL PASO","19","REGION 19: EL PASO","B","B","B","C","B","B",80,77,86,83,13346,33142,46589,6862,3216,432,35331,28.6,14.7,6.9,0.9,75.8,86,85
"072801","PREMIER HIGH SCHOOLS","072","ERATH","11","REGION 11: FORT WORTH","B","B","B","C","B","C",87,77,82,77,1225,5118,7911,1084,0,410,7863,15.5,13.7,0,5.2,99.4,82,84
"072802","ERATH EXCELS ACADEMY INC","072","ERATH","11","REGION 11: FORT WORTH","C","C","Not Rated","Not Rated","Not Rated","Not Rated",74,,,,5,96,107,19,0,0,107,4.7,17.8,0,0,100,,74
"072901","THREE WAY ISD","072","ERATH","11","REGION 11: FORT WORTH","C","C","C","D","C","C",76,65,76,78,40,148,212,22,0,0,146,18.9,10.4,0,0,68.9,76,77
"072902","DUBLIN ISD","072","ERATH","11","REGION 11: FORT WORTH","B","B","B","C","B","A",83,77,87,90,235,869,1122,141,0,0,810,20.9,12.6,0,0,72.2,87,88
"072903","STEPHENVILLE ISD","072","ERATH","11","REGION 11: FORT WORTH","B","B","B","C","B","B",88,76,87,86,541,1724,3568,655,0,0,2670,15.2,18.4,0,0,74.8,87,87
"072904","BLUFF DALE ISD","072","ERATH","11","REGION 11: FORT WORTH","C","C","B","B","D","D",74,85,62,65,3,60,219,31,0,0,162,1.4,14.2,0,0,74,85,79
"072908","HUCKABAY ISD","072","ERATH","11","REGION 11: FORT WORTH","A","A","B","C","B","A",96,70,82,90,2,33,325,30,0,0,231,0.6,9.2,0,0,71.1,82,94
"072909","LINGLEVILLE ISD","072","ERATH","11","REGION 11: FORT WORTH","B","B","B","B","C","A",86,85,79,92,40,109,270,37,0,0,200,14.8,13.7,0,0,74.1,85,88
"072910","MORGAN MILL ISD","072","ERATH","11","REGION 11: FORT WORTH","C","D","B","B","F","C",65,80,56,73,8,57,127,22,0,0,67,6.3,17.3,0,0,52.8,80,78
"073901","CHILTON ISD","073","FALLS","12","REGION 12: WACO","B","B","B","D","B","B",88,62,87,80,138,519,565,99,0,0,383,24.4,17.5,0,0,67.8,87,86
"073903","MARLIN ISD","073","FALLS","12","REGION 12: WACO","C","C","C","D","C","C",72,63,72,75,166,831,843,104,0,0,602,19.7,12.3,0,0,71.4,72,73
"073904","WESTPHALIA ISD","073","FALLS","12","REGION 12: WACO","A","A","B","B","C","B",91,88,78,88,3,31,159,19,0,0,104,1.9,11.9,0,0,65.4,88,90
"073905","ROSEBUD-LOTT ISD","073","FALLS","12","REGION 12: WACO","B","B","B","C","B","B",84,76,86,85,58,479,788,155,0,79,577,7.4,19.7,0,10,73.2,86,86
"074903","BONHAM ISD","074","FANNIN","10","REGION 10: RICHARDSON","C","C","C","D","C","D",76,64,74,66,348,1308,2028,443,0,0,1440,17.2,21.8,0,0,71,74,73
"074904","DODD CITY ISD","074","FANNIN","10","REGION 10: RICHARDSON","B","A","B","C","B","B",90,70,85,85,4,113,308,61,0,0,225,1.3,19.8,0,0,73.1,85,89
"074905","ECTOR ISD","074","FANNIN","10","REGION 10: RICHARDSON","D","C","D","F","D","F",72,58,64,57,9,123,234,48,0,0,171,3.8,20.5,0,0,73.1,64,68
"074907","HONEY GROVE ISD","074","FANNIN","08","REGION 08: MT PLEASANT","B","B","A","C","A","B",89,76,90,87,50,371,651,124,0,0,498,7.7,19,0,0,76.5,90,89
"074909","LEONARD ISD","074","FANNIN","10","REGION 10: RICHARDSON","B","B","B","C","B","B",85,73,85,84,59,445,811,123,0,0,627,7.3,15.2,0,0,77.3,85,85
"074911","SAVOY ISD","074","FANNIN","10","REGION 10: RICHARDSON","C","B","B","F","B","C",80,57,80,74,17,185,304,53,0,0,216,5.6,17.4,0,0,71.1,80,78
"074912","TRENTON ISD","074","FANNIN","10","REGION 10: RICHARDSON","C","C","C","D","C","C",79,67,74,74,101,363,710,136,0,0,538,14.2,19.2,0,0,75.8,74,78
"074917","SAM RAYBURN ISD","074","FANNIN","10","REGION 10: RICHARDSON","A","B","A","B","A","A",89,83,90,91,21,225,467,86,0,0,333,4.5,18.4,0,0,71.3,90,90
"075901","FLATONIA ISD","075","FAYETTE","13","REGION 13: AUSTIN","A","A","A","B","A","A",95,83,94,95,69,299,676,112,0,0,480,10.2,16.6,0,0,71,94,95
"075902","LA GRANGE ISD","075","FAYETTE","13","REGION 13: AUSTIN","C","C","C","C","C","C",78,72,79,74,337,1054,1868,382,0,0,1453,18,20.4,0,0,77.8,79,78
"075903","SCHULENBURG ISD","075","FAYETTE","13","REGION 13: AUSTIN","C","C","C","F","C","D",74,58,74,69,110,494,681,154,0,0,532,16.2,22.6,0,0,78.1,74,73
"075906","FAYETTEVILLE ISD","075","FAYETTE","13","REGION 13: AUSTIN","A","A","B","B","B","A",96,85,88,97,19,59,289,40,0,0,221,6.6,13.8,0,0,76.5,88,96
"075908","ROUND TOP-CARMINE ISD","075","FAYETTE","13","REGION 13: AUSTIN","B","B","B","B","B","A",88,86,83,92,28,82,235,37,0,0,183,11.9,15.7,0,0,77.9,86,89
"076903","ROBY CISD","076","FISHER","14","REGION 14: ABILENE","B","B","C","C","C","A",85,77,79,90,8,110,296,61,0,0,210,2.7,20.6,0,0,70.9,79,87
"076904","ROTAN ISD","076","FISHER","14","REGION 14: ABILENE","C","C","C","F","C","C",76,54,72,76,12,158,272,49,0,69,198,4.4,18,0,25.4,72.8,72,76
"077901","FLOYDADA COLLEGIATE ISD","077","FLOYD","17","REGION 17: LUBBOCK","B","B","B","C","B","B",83,75,85,84,59,472,671,89,0,182,492,8.8,13.3,0,27.1,73.3,85,85
"077902","LOCKNEY ISD","077","FLOYD","17","REGION 17: LUBBOCK","C","C","C","C","C","C",74,75,76,76,16,302,391,42,0,11,292,4.1,10.7,0,2.8,74.7,76,76
"078901","CROWELL ISD","078","FOARD","09","REGION 09: WICHITA FALLS","A","A","A","C","A","A",91,74,91,92,4,110,189,37,0,0,131,2.1,19.6,0,0,69.3,91,91
"079901","LAMAR CISD","079","FORT BEND","04","REGION 04: HOUSTON","B","B","B","B","B","B",87,80,85,89,10115,20111,46676,7103,0,0,34820,21.7,15.2,0,0,74.6,85,88
"079906","NEEDVILLE ISD","079","FORT BEND","04","REGION 04: HOUSTON","A","A","B","B","B","A",90,81,87,90,405,1547,3648,598,0,0,2794,11.1,16.4,0,0,76.6,87,90
"079907","FORT BEND ISD","079","FORT BEND","04","REGION 04: HOUSTON","B","C","C","C","C","B",79,76,78,82,16116,37807,79513,12273,324,383,62166,20.3,15.4,0.4,0.5,78.2,78,80
"079910","STAFFORD MSD","079","FORT BEND","04","REGION 04: HOUSTON","C","C","B","C","B","C",76,72,80,73,841,2582,3488,327,432,0,2668,24.1,9.4,12.4,0,76.5,80,78
"080901","MOUNT VERNON ISD","080","FRANKLIN","08","REGION 08: MT PLEASANT","B","B","B","C","B","B",86,76,88,88,241,921,1606,256,0,0,1213,15,15.9,0,0,75.5,88,88
"081902","FAIRFIELD ISD","081","FREESTONE","12","REGION 12: WACO","C","C","C","D","C","C",79,69,76,73,131,858,1593,199,0,0,1249,8.2,12.5,0,0,78.4,76,77
"081904","TEAGUE ISD","081","FREESTONE","12","REGION 12: WACO","B","B","B","C","B","B",85,76,82,80,145,673,1210,196,0,0,895,12,16.2,0,0,74,82,84
"081905","WORTHAM ISD","081","FREESTONE","12","REGION 12: WACO","C","C","C","C","C","C",73,72,70,70,47,316,535,64,0,0,413,8.8,12,0,0,77.2,72,72
"081906","DEW ISD","081","FREESTONE","12","REGION 12: WACO","C","C","C","C","C","C",76,73,72,76,9,83,171,19,0,0,89,5.3,11.1,0,0,52,73,76
"082902","DILLEY ISD","082","FRIO","20","REGION 20: SAN ANTONIO","D","D","D","D","D","C",65,66,67,71,48,668,841,160,131,0,607,5.7,19,15.6,0,72.2,67,68
"082903","PEARSALL ISD","082","FRIO","20","REGION 20: SAN ANTONIO","D","D","D","D","D","D",60,61,63,61,148,1624,1946,341,0,0,1443,7.6,17.5,0,0,74.2,63,62
"083901","SEAGRAVES ISD","083","GAINES","17","REGION 17: LUBBOCK","C","B","B","F","B","C",82,57,80,73,124,421,525,92,0,0,375,23.6,17.5,0,0,71.4,80,79
"083902","LOOP ISD","083","GAINES","17","REGION 17: LUBBOCK","B","B","B","C","B","B",86,79,84,87,14,73,150,14,0,0,118,9.3,9.3,0,0,78.7,84,86
"083903","SEMINOLE ISD","083","GAINES","17","REGION 17: LUBBOCK","B","B","B","C","B","B",80,72,82,82,643,1854,3078,488,0,0,2287,20.9,15.9,0,0,74.3,82,82
"084802","ODYSSEY ACADEMY INC","084","GALVESTON","04","REGION 04: HOUSTON","C","C","C","D","C","C",71,61,71,76,363,1281,1681,248,0,0,948,21.6,14.8,0,0,56.4,71,73
"084804","AMBASSADORS PREPARATORY ACADEMY","084","GALVESTON","04","REGION 04: HOUSTON","A","B","A","A","A","A",86,94,90,92,5,140,165,12,0,0,93,3,7.3,0,0,56.4,94,93
"084901","DICKINSON ISD","084","GALVESTON","04","REGION 04: HOUSTON","B","B","B","B","B","B",80,82,84,89,2497,7812,12522,2215,0,0,9460,19.9,17.7,0,0,75.5,84,86
"084902","GALVESTON ISD","084","GALVESTON","04","REGION 04: HOUSTON","C","C","C","D","C","C",72,69,77,75,1690,4953,6381,934,0,0,4630,26.5,14.6,0,0,72.6,77,76
"084903","HIGH ISLAND ISD","084","GALVESTON","05","REGION 05: BEAUMONT","B","B","B","B","B","C",83,83,83,78,1,75,132,20,23,0,112,0.8,15.2,17.4,0,84.8,83,82
"084906","TEXAS CITY ISD","084","GALVESTON","04","REGION 04: HOUSTON","C","D","C","D","C","C",68,69,73,73,1207,6100,7703,1807,270,0,5913,15.7,23.5,3.5,0,76.8,73,73
"084908","HITCHCOCK ISD","084","GALVESTON","04","REGION 04: HOUSTON","C","C","C","D","C","C",71,66,72,79,156,1551,2006,340,0,0,1343,7.8,16.9,0,0,66.9,72,74
"084909","SANTA FE ISD","084","GALVESTON","04","REGION 04: HOUSTON","B","B","B","C","B","C",83,71,81,77,331,2192,4285,783,0,0,3327,7.7,18.3,0,0,77.6,81,81
"084910","CLEAR CREEK ISD","084","GALVESTON","04","REGION 04: HOUSTON","B","B","B","B","C","B",85,81,78,87,5194,14135,39532,6580,459,0,30865,13.1,16.6,1.2,0,78.1,81,86
"084911","FRIENDSWOOD ISD","084","GALVESTON","04","REGION 04: HOUSTON","A","A","B","B","C","A",92,80,73,92,216,455,6162,946,0,0,5014,3.5,15.4,0,0,81.4,80,92
"085902","POST ISD","085","GARZA","17","REGION 17: LUBBOCK","D","D","D","D","D","D",65,61,65,62,79,487,686,118,0,112,517,11.5,17.2,0,16.3,75.4,65,64
"085903","SOUTHLAND ISD","085","GARZA","17","REGION 17: LUBBOCK","D","C","C","C","D","F",72,77,69,40,1,94,132,23,0,0,103,0.8,17.4,0,0,78,77,66
"086024","DOSS CONSOLIDATED CSD","086","GILLESPIE","13","REGION 13: AUSTIN","B","B","F","Not Rated","F","Not Rated",89,,57,,0,0,20,5,0,0,11,0,25,0,0,55,57,89
"086901","FREDERICKSBURG ISD","086","GILLESPIE","13","REGION 13: AUSTIN","B","B","B","C","B","C",83,73,85,76,691,1867,3018,640,23,0,2289,22.9,21.2,0.8,0,75.8,85,82
"086902","HARPER ISD","086","GILLESPIE","15","REGION 15: SAN ANGELO","B","B","C","C","C","B",85,76,78,81,24,239,590,89,0,0,449,4.1,15.1,0,0,76.1,78,84
"087901","GLASSCOCK COUNTY ISD","087","GLASSCOCK","18","REGION 18: MIDLAND","A","A","B","B","B","A",94,84,80,92,19,18,293,38,0,0,216,6.5,13,0,0,73.7,84,93
"088902","GOLIAD ISD","088","GOLIAD","03","REGION 03: VICTORIA","C","B","C","C","C","C",80,72,73,77,30,552,1238,258,0,0,975,2.4,20.8,0,0,78.8,73,79
"089901","GONZALES ISD","089","GONZALES","13","REGION 13: AUSTIN","C","C","C","D","C","C",74,65,77,74,654,1853,2555,504,0,0,1898,25.6,19.7,0,0,74.3,77,76
"089903","NIXON-SMILEY CISD","089","GONZALES","13","REGION 13: AUSTIN","B","C","B","D","B","C",77,67,82,77,222,799,1016,212,0,0,729,21.9,20.9,0,0,71.8,82,81
"089905","WAELDER ISD","089","GONZALES","13","REGION 13: AUSTIN","B","B","C","C","C","B",80,70,78,81,104,270,297,51,0,0,200,35,17.2,0,0,67.3,78,80
"090902","LEFORS ISD","090","GRAY","16","REGION 16: AMARILLO","D","D","C","C","D","D",69,74,64,62,5,115,173,43,0,0,127,2.9,24.9,0,0,73.4,74,69
"090903","MCLEAN ISD","090","GRAY","16","REGION 16: AMARILLO","B","B","C","D","C","B",81,64,79,82,5,125,182,46,0,0,140,2.7,25.3,0,0,76.9,79,81
"090904","PAMPA ISD","090","GRAY","16","REGION 16: AMARILLO","C","C","C","C","C","C",72,75,73,75,626,1954,3125,662,0,0,2374,20,21.2,0,0,76,75,75
"090905","GRANDVIEW-HOPKINS ISD","090","GRAY","16","REGION 16: AMARILLO","C","C","C","C","F","C",79,70,58,79,0,10,49,9,0,0,23,0,18.4,0,0,46.9,70,79
"091901","BELLS ISD","091","GRAYSON","10","REGION 10: RICHARDSON","B","B","B","C","B","B",89,74,85,89,18,396,1000,175,0,0,778,1.8,17.5,0,0,77.8,85,89
"091902","COLLINSVILLE ISD","091","GRAYSON","10","REGION 10: RICHARDSON","B","B","C","D","C","C",83,68,77,78,38,268,600,116,0,0,439,6.3,19.3,0,0,73.2,77,82
"091903","DENISON ISD","091","GRAYSON","10","REGION 10: RICHARDSON","C","C","C","C","C","C",78,71,77,79,560,3044,4967,939,0,0,3621,11.3,18.9,0,0,72.9,77,78
"091905","HOWE ISD","091","GRAYSON","10","REGION 10: RICHARDSON","B","B","C","C","C","C",81,75,78,79,176,619,1264,285,0,0,942,13.9,22.5,0,0,74.5,78,80
"091906","SHERMAN ISD","091","GRAYSON","10","REGION 10: RICHARDSON","C","C","C","D","C","C",71,69,74,70,2273,5637,7757,1788,0,0,5745,29.3,23.1,0,0,74.1,74,73
"091907","TIOGA ISD","091","GRAYSON","10","REGION 10: RICHARDSON","B","B","C","C","C","A",85,72,77,91,51,206,662,120,0,0,531,7.7,18.1,0,0,80.2,77,87
"091908","VAN ALSTYNE ISD","091","GRAYSON","10","REGION 10: RICHARDSON","B","A","B","B","C","B",90,82,75,87,148,526,2605,549,0,0,1994,5.7,21.1,0,0,76.5,82,89
