Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
9,Wichita Falls,12,BAYLOR,Male,27,25,0.93,24,0.89, -   ,0.00,19,0.70,4,0.15,7,0.26,11,0.41, -   ,0.00,5,0.19
9,Wichita Falls,39,CLAY,Female,70,67,0.96,65,0.93, -   ,0.00,59,0.84,20,0.29,24,0.34,44,0.63,2,0.03,20,0.29
9,Wichita Falls,39,CLAY,Male,95,91,0.96,88,0.93,5,0.05,83,0.87,17,0.18,24,0.25,41,0.43, -   ,0.00,13,0.14
9,Wichita Falls,78,FOARD,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
9,Wichita Falls,78,FOARD,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
9,Wichita Falls,99,HARDEMAN,Female,27,26,0.96,26,0.96,1,0.04,24,0.89,5,0.19,11,0.41,16,0.59, -   ,0.00,5,0.19
9,Wichita Falls,99,HARDEMAN,Male,34,32,0.94,32,0.94,1,0.03,31,0.91,7,0.21,17,0.50,24,0.71, -   ,0.00,7,0.21
9,Wichita Falls,119,JACK,Female,56,48,0.86,44,0.79,2,0.04,36,0.64,15,0.27,13,0.23,28,0.50,3,0.05,14,0.25
9,Wichita Falls,119,JACK,Male,60,55,0.92,55,0.92,2,0.03,52,0.87,19,0.32,15,0.25,34,0.57,2,0.03,13,0.22
9,Wichita Falls,138,KNOX,Female,19,18,0.95,18,0.95,1,0.05,16,0.84,6,0.32,6,0.32,12,0.63, -   ,0.00,5,0.26
9,Wichita Falls,138,KNOX,Male,23,23,1.00,23,1.00, -   ,0.00,22,0.96,5,0.22,10,0.43,15,0.65, -   ,0.00,8,0.35
9,Wichita Falls,169,MONTAGUE,Female,115,107,0.93,100,0.87,4,0.03,95,0.83,25,0.22,40,0.35,65,0.57,4,0.03,25,0.22
9,Wichita Falls,169,MONTAGUE,Male,120,107,0.89,99,0.83,9,0.08,97,0.81,25,0.21,26,0.22,51,0.43,2,0.02,24,0.20
9,Wichita Falls,224,THROCKMORTON,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
9,Wichita Falls,224,THROCKMORTON,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
9,Wichita Falls,243,WICHITA,Female,720,673,0.93,609,0.85,47,0.07,590,0.82,177,0.25,207,0.29,384,0.53,18,0.03,175,0.24
9,Wichita Falls,243,WICHITA,Male,763,690,0.90,636,0.83,56,0.07,596,0.78,194,0.25,156,0.20,350,0.46,13,0.02,138,0.18
9,Wichita Falls,244,WILBARGER,Female,90,83,0.92,77,0.86,8,0.09,73,0.81,15,0.17,41,0.46,56,0.62, -   ,0.00,31,0.34
9,Wichita Falls,244,WILBARGER,Male,87,82,0.94,74,0.85,4,0.05,62,0.71,10,0.11,20,0.23,30,0.34, -   ,0.00,13,0.15
9,Wichita Falls,252,YOUNG,Female,103,97,0.94,91,0.88,4,0.04,88,0.85,31,0.30,24,0.23,55,0.53,1,0.01,30,0.29
9,Wichita Falls,252,YOUNG,Male,129,126,0.98,117,0.91,5,0.04,101,0.78,25,0.19,29,0.22,54,0.42,1,0.01,27,0.21
10,Richardson,43,COLLIN,Female,5010,4740,0.95,4480,0.89,178,0.04,4279,0.85,1358,0.27,1782,0.36,3140,0.63,171,0.03,1703,0.34
10,Richardson,43,COLLIN,Male,5542,5200,0.94,4788,0.86,371,0.07,4655,0.84,1304,0.24,1956,0.35,3260,0.59,150,0.03,1461,0.26
10,Richardson,57,DALLAS,Female,15029,14043,0.93,12627,0.84,1270,0.08,12044,0.80,3315,0.22,4829,0.32,8144,0.54,424,0.03,3408,0.23
10,Richardson,57,DALLAS,Male,15808,14604,0.92,12235,0.77,2312,0.15,11525,0.73,2480,0.16,4560,0.29,7040,0.45,395,0.03,2327,0.15
10,Richardson,70,ELLIS,Female,1134,1059,0.93,985,0.87,66,0.06,954,0.84,242,0.21,494,0.44,736,0.65,38,0.03,365,0.32
10,Richardson,70,ELLIS,Male,1157,1075,0.93,970,0.84,108,0.09,945,0.82,241,0.21,407,0.35,648,0.56,23,0.02,284,0.25
10,Richardson,74,FANNIN,Female,188,186,0.99,181,0.96,3,0.02,164,0.87,31,0.16,87,0.46,118,0.63,1,0.01,60,0.32
10,Richardson,74,FANNIN,Male,211,203,0.96,191,0.91,5,0.02,171,0.81,25,0.12,70,0.33,95,0.45,5,0.02,40,0.19
10,Richardson,91,GRAYSON,Female,708,662,0.94,609,0.86,31,0.04,570,0.81,126,0.18,333,0.47,459,0.65,32,0.05,207,0.29
10,Richardson,91,GRAYSON,Male,797,750,0.94,675,0.85,63,0.08,644,0.81,117,0.15,309,0.39,426,0.53,23,0.03,129,0.16
10,Richardson,116,HUNT,Female,516,483,0.94,452,0.88,30,0.06,419,0.81,121,0.23,175,0.34,296,0.57,12,0.02,136,0.26
10,Richardson,116,HUNT,Male,515,485,0.94,419,0.81,47,0.09,401,0.78,82,0.16,154,0.30,236,0.46,10,0.02,100,0.19
10,Richardson,129,KAUFMAN,Female,839,806,0.96,749,0.89,48,0.06,717,0.85,162,0.19,342,0.41,504,0.60,24,0.03,239,0.28
10,Richardson,129,KAUFMAN,Male,909,850,0.94,753,0.83,87,0.10,723,0.80,137,0.15,284,0.31,421,0.46,14,0.02,143,0.16
10,Richardson,199,ROCKWALL,Female,665,640,0.96,594,0.89,32,0.05,565,0.85,188,0.28,241,0.36,429,0.65,22,0.03,231,0.35
10,Richardson,199,ROCKWALL,Male,702,665,0.95,598,0.85,61,0.09,584,0.83,157,0.22,261,0.37,418,0.60,18,0.03,166,0.24
10,Richardson,234,VAN ZANDT,Female,149,146,0.98,137,0.92,5,0.03,128,0.86,27,0.18,65,0.44,92,0.62,5,0.03,49,0.33
10,Richardson,234,VAN ZANDT,Male,163,158,0.97,141,0.87,16,0.10,141,0.87,25,0.15,43,0.26,68,0.42,1,0.01,35,0.21
11,Fort Worth,49,COOKE,Female,199,188,0.94,174,0.87,13,0.07,158,0.79,37,0.19,73,0.37,110,0.55,3,0.02,63,0.32
11,Fort Worth,49,COOKE,Male,215,197,0.92,174,0.81,19,0.09,165,0.77,22,0.10,62,0.29,84,0.39,3,0.01,28,0.13
11,Fort Worth,61,DENTON,Female,3592,3403,0.95,3122,0.87,225,0.06,3026,0.84,999,0.28,1254,0.35,2253,0.63,102,0.03,1184,0.33
11,Fort Worth,61,DENTON,Male,3933,3679,0.94,3240,0.82,427,0.11,3183,0.81,784,0.20,1320,0.34,2104,0.54,97,0.02,817,0.21
11,Fort Worth,72,ERATH,Female,204,190,0.93,182,0.89,15,0.07,167,0.82,76,0.37,58,0.28,134,0.66,9,0.04,69,0.34
11,Fort Worth,72,ERATH,Male,210,190,0.90,173,0.82,20,0.10,163,0.78,62,0.30,46,0.22,108,0.51,3,0.01,46,0.22
11,Fort Worth,111,HOOD,Female,302,289,0.96,268,0.89,10,0.03,251,0.83,93,0.31,85,0.28,178,0.59,9,0.03,90,0.30
11,Fort Worth,111,HOOD,Male,334,320,0.96,291,0.87,19,0.06,276,0.83,78,0.23,87,0.26,165,0.49,9,0.03,76,0.23
11,Fort Worth,126,JOHNSON,Female,1013,958,0.95,879,0.87,63,0.06,808,0.80,220,0.22,368,0.36,588,0.58,42,0.04,266,0.26
11,Fort Worth,126,JOHNSON,Male,1099,1038,0.94,928,0.84,96,0.09,869,0.79,183,0.17,376,0.34,559,0.51,36,0.03,214,0.19
11,Fort Worth,182,PALO PINTO,Female,181,168,0.93,149,0.82,7,0.04,134,0.74,35,0.19,54,0.30,89,0.49,7,0.04,44,0.24
11,Fort Worth,182,PALO PINTO,Male,190,173,0.91,153,0.81,17,0.09,143,0.75,22,0.12,42,0.22,64,0.34,2,0.01,31,0.16
11,Fort Worth,184,PARKER,Female,677,648,0.96,607,0.90,23,0.03,573,0.85,167,0.25,292,0.43,459,0.68,32,0.05,231,0.34
11,Fort Worth,184,PARKER,Male,777,751,0.97,683,0.88,44,0.06,646,0.83,148,0.19,285,0.37,433,0.56,18,0.02,187,0.24
11,Fort Worth,213,SOMERVELL,Female,69,65,0.94,64,0.93,2,0.03,58,0.84,23,0.33,22,0.32,45,0.65,4,0.06,23,0.33
11,Fort Worth,213,SOMERVELL,Male,65,62,0.95,58,0.89,7,0.11,63,0.97,17,0.26,18,0.28,35,0.54, -   ,0.00,13,0.20
11,Fort Worth,220,TARRANT,Female,11273,10579,0.94,9448,0.84,893,0.08,8914,0.79,2702,0.24,3946,0.35,6648,0.59,430,0.04,3143,0.28
11,Fort Worth,220,TARRANT,Male,11601,10841,0.93,9200,0.79,1461,0.13,8673,0.75,2075,0.18,3706,0.32,5781,0.50,404,0.03,2138,0.18
11,Fort Worth,249,WISE,Female,330,315,0.95,295,0.89,16,0.05,274,0.83,75,0.23,117,0.35,192,0.58,6,0.02,103,0.31
11,Fort Worth,249,WISE,Male,335,320,0.96,293,0.87,24,0.07,274,0.82,53,0.16,109,0.33,162,0.48,7,0.02,63,0.19
12,Waco,14,BELL,Female,2049,1823,0.89,1556,0.76,197,0.10,1481,0.72,443,0.22,695,0.34,1138,0.56,77,0.04,480,0.23
12,Waco,14,BELL,Male,2108,1847,0.88,1468,0.70,298,0.14,1484,0.70,302,0.14,651,0.31,953,0.45,73,0.03,318,0.15
12,Waco,18,BOSQUE,Female,116,113,0.97,110,0.95,1,0.01,101,0.87,27,0.23,54,0.47,81,0.70,5,0.04,38,0.33
12,Waco,18,BOSQUE,Male,126,119,0.94,115,0.91,6,0.05,108,0.86,23,0.18,45,0.36,68,0.54,3,0.02,27,0.21
12,Waco,50,CORYELL,Female,398,357,0.90,315,0.79,27,0.07,292,0.73,77,0.19,143,0.36,220,0.55,18,0.05,91,0.23
12,Waco,50,CORYELL,Male,381,347,0.91,293,0.77,37,0.10,286,0.75,59,0.15,117,0.31,176,0.46,13,0.03,65,0.17
12,Waco,73,FALLS,Female,90,82,0.91,74,0.82,9,0.10,70,0.78,13,0.14,44,0.49,57,0.63,3,0.03,22,0.24
12,Waco,73,FALLS,Male,110,102,0.93,93,0.85,9,0.08,83,0.75,16,0.15,42,0.38,58,0.53,5,0.05,18,0.16
12,Waco,81,FREESTONE,Female,126,120,0.95,108,0.86,5,0.04,101,0.80,23,0.18,56,0.44,79,0.63,8,0.06,41,0.33
12,Waco,81,FREESTONE,Male,130,124,0.95,108,0.83,16,0.12,105,0.81,14,0.11,47,0.36,61,0.47,1,0.01,23,0.18
12,Waco,97,HAMILTON,Female,57,50,0.88,50,0.88,1,0.02,41,0.72,16,0.28,14,0.25,30,0.53,2,0.04,18,0.32
12,Waco,97,HAMILTON,Male,60,58,0.97,52,0.87,3,0.05,46,0.77,14,0.23,16,0.27,30,0.50, -   ,0.00,11,0.18
12,Waco,109,HILL,Female,189,179,0.95,164,0.87,14,0.07,156,0.83,32,0.17,89,0.47,121,0.64,8,0.04,50,0.26
12,Waco,109,HILL,Male,239,224,0.94,207,0.87,18,0.08,199,0.83,27,0.11,96,0.40,123,0.51,6,0.03,49,0.21
12,Waco,141,LAMPASAS,Female,148,138,0.93,128,0.86,6,0.04,115,0.78,27,0.18,57,0.39,84,0.57,11,0.07,34,0.23
12,Waco,141,LAMPASAS,Male,153,142,0.93,132,0.86,7,0.05,121,0.79,20,0.13,45,0.29,65,0.42,1,0.01,19,0.12
12,Waco,147,LIMESTONE,Female,137,128,0.93,115,0.84,14,0.10,101,0.74,22,0.16,61,0.45,83,0.61,7,0.05,32,0.23
12,Waco,147,LIMESTONE,Male,146,131,0.90,120,0.82,11,0.08,111,0.76,13,0.09,57,0.39,70,0.48,4,0.03,19,0.13
12,Waco,161,MCLENNAN,Female,1454,1383,0.95,1254,0.86,110,0.08,1173,0.81,235,0.16,729,0.50,964,0.66,62,0.04,459,0.32
12,Waco,161,MCLENNAN,Male,1507,1409,0.94,1217,0.81,163,0.11,1159,0.77,218,0.14,646,0.43,864,0.57,54,0.04,334,0.22
12,Waco,167,MILLS,Female,36,35,0.97,33,0.92,1,0.03,26,0.72,13,0.36,4,0.11,17,0.47,1,0.03,8,0.22
12,Waco,167,MILLS,Male,40,39,0.98,37,0.93,3,0.08,30,0.75,8,0.20,10,0.25,18,0.45,1,0.03,8,0.20
12,Waco,175,NAVARRO,Female,309,292,0.95,271,0.88,9,0.03,236,0.76,43,0.14,160,0.52,203,0.66,18,0.06,91,0.29
12,Waco,175,NAVARRO,Male,333,315,0.95,267,0.80,36,0.11,250,0.75,32,0.10,147,0.44,179,0.54,14,0.04,64,0.19
13,Austin,11,BASTROP,Female,508,487,0.96,438,0.86,40,0.08,422,0.83,113,0.22,155,0.31,268,0.53,16,0.03,117,0.23
13,Austin,11,BASTROP,Male,477,456,0.96,396,0.83,58,0.12,397,0.83,101,0.21,118,0.25,219,0.46,6,0.01,75,0.16
13,Austin,14,BELL,Female,10,9,0.90,8,0.80, -   ,0.00,8,0.80,2,0.20,3,0.30,5,0.50, -   ,0.00,4,0.40
13,Austin,14,BELL,Male,14,11,0.79,11,0.79,1,0.07,8,0.57,2,0.14,3,0.21,5,0.36,1,0.07,3,0.21
13,Austin,16,BLANCO,Female,68,65,0.96,61,0.90,1,0.01,55,0.81,34,0.50,13,0.19,47,0.69,2,0.03,24,0.35
13,Austin,16,BLANCO,Male,73,69,0.95,65,0.89,4,0.05,53,0.73,17,0.23,16,0.22,33,0.45,1,0.01,14,0.19
13,Austin,27,BURNET,Female,266,256,0.96,230,0.86,14,0.05,208,0.78,70,0.26,53,0.20,123,0.46,6,0.02,62,0.23
13,Austin,27,BURNET,Male,264,245,0.93,224,0.85,25,0.09,213,0.81,46,0.17,57,0.22,103,0.39,4,0.02,46,0.17
13,Austin,28,CALDWELL,Female,243,233,0.96,218,0.90,10,0.04,212,0.87,68,0.28,59,0.24,127,0.52,2,0.01,53,0.22
13,Austin,28,CALDWELL,Male,234,228,0.97,201,0.86,24,0.10,194,0.83,37,0.16,45,0.19,82,0.35, -   ,0.00,30,0.13
13,Austin,46,COMAL,Female,806,762,0.95,687,0.85,53,0.07,648,0.80,249,0.31,208,0.26,457,0.57,25,0.03,272,0.34
13,Austin,46,COMAL,Male,900,833,0.93,714,0.79,96,0.11,702,0.78,231,0.26,200,0.22,431,0.48,22,0.02,187,0.21
13,Austin,75,FAYETTE,Female,122,119,0.98,109,0.89,9,0.07,109,0.89,26,0.21,51,0.42,77,0.63,3,0.02,53,0.43
13,Austin,75,FAYETTE,Male,122,118,0.97,102,0.84,18,0.15,100,0.82,23,0.19,44,0.36,67,0.55, -   ,0.00,41,0.34
13,Austin,86,GILLESPIE,Female,104,103,0.99,97,0.93,1,0.01,90,0.87,47,0.45,19,0.18,66,0.63,1,0.01,44,0.42
13,Austin,86,GILLESPIE,Male,121,118,0.98,108,0.89,7,0.06,103,0.85,29,0.24,19,0.16,48,0.40, -   ,0.00,21,0.17
13,Austin,89,GONZALES,Female,129,122,0.95,97,0.75,17,0.13,100,0.78,28,0.22,34,0.26,62,0.48,4,0.03,28,0.22
13,Austin,89,GONZALES,Male,127,117,0.92,98,0.77,22,0.17,95,0.75,10,0.08,20,0.16,30,0.24, -   ,0.00,15,0.12
13,Austin,94,GUADALUPE,Female,778,750,0.96,668,0.86,56,0.07,669,0.86,237,0.30,184,0.24,421,0.54,13,0.02,238,0.31
13,Austin,94,GUADALUPE,Male,818,778,0.95,660,0.81,103,0.13,681,0.83,190,0.23,182,0.22,372,0.45,2,0.00,149,0.18
13,Austin,105,HAYS,Female,1010,971,0.96,875,0.87,84,0.08,850,0.84,311,0.31,275,0.27,586,0.58,28,0.03,282,0.28
13,Austin,105,HAYS,Male,948,912,0.96,781,0.82,120,0.13,764,0.81,232,0.24,250,0.26,482,0.51,27,0.03,177,0.19
13,Austin,130,KENDALL,Female,58,54,0.93,52,0.90,2,0.03,49,0.84,21,0.36,7,0.12,28,0.48, -   ,0.00,21,0.36
13,Austin,130,KENDALL,Male,49,47,0.96,38,0.78,9,0.18,37,0.76,9,0.18,5,0.10,14,0.29,3,0.06,3,0.06
13,Austin,144,LEE,Female,96,90,0.94,83,0.86,6,0.06,36,0.38,15,0.16,38,0.40,53,0.55,31,0.32,22,0.23
13,Austin,144,LEE,Male,125,120,0.96,101,0.81,11,0.09,40,0.32,15,0.12,41,0.33,56,0.45,30,0.24,23,0.18
13,Austin,150,LLANO,Female,66,59,0.89,48,0.73,8,0.12,46,0.70,23,0.35,12,0.18,35,0.53,2,0.03,14,0.21
13,Austin,150,LLANO,Male,69,65,0.94,55,0.80,10,0.14,55,0.80,20,0.29,21,0.30,41,0.59,2,0.03,15,0.22
13,Austin,166,MILAM,Female,15,14,0.93,13,0.87,1,0.07,12,0.80,3,0.20,5,0.33,8,0.53, -   ,0.00,3,0.20
13,Austin,166,MILAM,Male,31,31,1.00,27,0.87,2,0.06,29,0.94,4,0.13,12,0.39,16,0.52,1,0.03,7,0.23
13,Austin,227,TRAVIS,Female,4488,4233,0.94,3726,0.83,425,0.09,3553,0.79,1192,0.27,1183,0.26,2375,0.53,152,0.03,1092,0.24
13,Austin,227,TRAVIS,Male,4821,4525,0.94,3805,0.79,588,0.12,3521,0.73,968,0.20,1180,0.24,2148,0.45,141,0.03,779,0.16
13,Austin,246,WILLIAMSON,Female,3116,2980,0.96,2816,0.90,102,0.03,2675,0.86,1081,0.35,936,0.30,2017,0.65,88,0.03,1101,0.35
13,Austin,246,WILLIAMSON,Male,3267,3123,0.96,2879,0.88,190,0.06,2754,0.84,947,0.29,996,0.30,1943,0.59,87,0.03,893,0.27
14,Abilene,30,CALLAHAN,Female,101,98,0.97,93,0.92,3,0.03,84,0.83,27,0.27,41,0.41,68,0.67,3,0.03,33,0.33
14,Abilene,30,CALLAHAN,Male,100,93,0.93,87,0.87,2,0.02,77,0.77,23,0.23,27,0.27,50,0.50,2,0.02,21,0.21
14,Abilene,47,COMANCHE,Female,81,76,0.94,73,0.90,3,0.04,68,0.84,23,0.28,24,0.30,47,0.58,2,0.02,27,0.33
14,Abilene,47,COMANCHE,Male,92,87,0.95,81,0.88,6,0.07,76,0.83,21,0.23,30,0.33,51,0.55,3,0.03,18,0.20
14,Abilene,67,EASTLAND,Female,103,98,0.95,94,0.91,3,0.03,85,0.83,25,0.24,39,0.38,64,0.62,4,0.04,31,0.30
14,Abilene,67,EASTLAND,Male,119,114,0.96,108,0.91,7,0.06,99,0.83,23,0.19,34,0.29,57,0.48,1,0.01,23,0.19
14,Abilene,76,FISHER,Female,24,24,1.00,24,1.00, -   ,0.00,21,0.88,7,0.29,9,0.38,16,0.67, -   ,0.00,9,0.38
14,Abilene,76,FISHER,Male,39,39,1.00,37,0.95,1,0.03,32,0.82,12,0.31,9,0.23,21,0.54,1,0.03,11,0.28
14,Abilene,104,HASKELL,Female,28,28,1.00,28,1.00, -   ,0.00,26,0.93,11,0.39,9,0.32,20,0.71, -   ,0.00,9,0.32
14,Abilene,104,HASKELL,Male,28,27,0.96,27,0.96,1,0.04,22,0.79,4,0.14,8,0.29,12,0.43,1,0.04,4,0.14
14,Abilene,127,JONES,Female,95,93,0.98,86,0.91,3,0.03,82,0.86,22,0.23,32,0.34,54,0.57,1,0.01,27,0.28
14,Abilene,127,JONES,Male,102,97,0.95,91,0.89,4,0.04,84,0.82,28,0.27,28,0.27,56,0.55,2,0.02,24,0.24
14,Abilene,168,MITCHELL,Female,50,49,0.98,48,0.96, -   ,0.00,41,0.82,11,0.22,21,0.42,32,0.64,1,0.02,20,0.40
14,Abilene,168,MITCHELL,Male,52,48,0.92,46,0.88,1,0.02,47,0.90,8,0.15,23,0.44,31,0.60, -   ,0.00,13,0.25
14,Abilene,177,NOLAN,Female,107,104,0.97,97,0.91,8,0.07,84,0.79,31,0.29,32,0.30,63,0.59,4,0.04,30,0.28
14,Abilene,177,NOLAN,Male,103,96,0.93,75,0.73,21,0.20,74,0.72,17,0.17,27,0.26,44,0.43,2,0.02,28,0.27
14,Abilene,208,SCURRY,Female,90,81,0.90,72,0.80,7,0.08,73,0.81,5,0.06,47,0.52,52,0.58,3,0.03,20,0.22
14,Abilene,208,SCURRY,Male,105,102,0.97,92,0.88,10,0.10,92,0.88,6,0.06,46,0.44,52,0.50, -   ,0.00,30,0.29
14,Abilene,209,SHACKELFORD,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
14,Abilene,209,SHACKELFORD,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
14,Abilene,215,STEPHENS,Female,51,49,0.96,43,0.84,7,0.14,40,0.78,17,0.33,16,0.31,33,0.65,1,0.02,21,0.41
14,Abilene,215,STEPHENS,Male,62,58,0.94,46,0.74,10,0.16,46,0.74,11,0.18,21,0.34,32,0.52,2,0.03,16,0.26
14,Abilene,217,STONEWALL,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
14,Abilene,217,STONEWALL,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
14,Abilene,221,TAYLOR,Female,878,805,0.92,711,0.81,86,0.10,672,0.77,231,0.26,264,0.30,495,0.56,34,0.04,239,0.27
14,Abilene,221,TAYLOR,Male,835,764,0.92,654,0.78,92,0.11,616,0.74,190,0.23,203,0.24,393,0.47,24,0.03,172,0.21
15,San Angelo,25,BROWN,Female,247,232,0.94,213,0.86,18,0.07,208,0.84,88,0.36,65,0.26,153,0.62,11,0.04,85,0.34
15,San Angelo,25,BROWN,Male,247,233,0.94,194,0.79,35,0.14,197,0.80,72,0.29,50,0.20,122,0.49,3,0.01,57,0.23
15,San Angelo,41,COKE,Female,29,28,0.97,27,0.93, -   ,0.00,27,0.93,10,0.34,9,0.31,19,0.66,1,0.03,13,0.45
15,San Angelo,41,COKE,Male,21,20,0.95,19,0.90,1,0.05,20,0.95,5,0.24,10,0.48,15,0.71, -   ,0.00,6,0.29
15,San Angelo,42,COLEMAN,Female,46,44,0.96,41,0.89,4,0.09,37,0.80,17,0.37,10,0.22,27,0.59,1,0.02,17,0.37
15,San Angelo,42,COLEMAN,Male,55,50,0.91,44,0.80,5,0.09,37,0.67,18,0.33,8,0.15,26,0.47, -   ,0.00,10,0.18
15,San Angelo,48,CONCHO,Female,18,17,0.94,17,0.94,1,0.06,16,0.89,4,0.22,6,0.33,10,0.56, -   ,0.00,4,0.22
15,San Angelo,48,CONCHO,Male,16,16,1.00,16,1.00, -   ,0.00,15,0.94,3,0.19,2,0.13,5,0.31, -   ,0.00,2,0.13
15,San Angelo,53,CROCKETT,Female,25,24,0.96,23,0.92,1,0.04,19,0.76,8,0.32,5,0.20,13,0.52,1,0.04,6,0.24
15,San Angelo,53,CROCKETT,Male,25,25,1.00,23,0.92,1,0.04,20,0.80,7,0.28,6,0.24,13,0.52, -   ,0.00,2,0.08
15,San Angelo,69,EDWARDS,Female,22,22,1.00,20,0.91,2,0.09,18,0.82,5,0.23,8,0.36,13,0.59,1,0.05,2,0.09
15,San Angelo,69,EDWARDS,Male,25,23,0.92,22,0.88,1,0.04,21,0.84,6,0.24,6,0.24,12,0.48, -   ,0.00,3,0.12
15,San Angelo,118,IRION,Female,15,15,1.00,13,0.87, -   ,0.00,13,0.87,5,0.33,5,0.33,10,0.67,1,0.07,3,0.20
15,San Angelo,118,IRION,Male,17,17,1.00,15,0.88, -   ,0.00,13,0.76,9,0.53,2,0.12,11,0.65, -   ,0.00,5,0.29
15,San Angelo,134,KIMBLE,Female,23,22,0.96,21,0.91, -   ,0.00,20,0.87,9,0.39,4,0.17,13,0.57, -   ,0.00,6,0.26
15,San Angelo,134,KIMBLE,Male,32,30,0.94,25,0.78,5,0.16,29,0.91,9,0.28,7,0.22,16,0.50, -   ,0.00,7,0.22
15,San Angelo,157,MASON,Female,17,17,1.00,17,1.00, -   ,0.00,14,0.82,10,0.59,3,0.18,13,0.76,1,0.06,8,0.47
15,San Angelo,157,MASON,Male,23,22,0.96,22,0.96,1,0.04,21,0.91,14,0.61,1,0.04,15,0.65, -   ,0.00,9,0.39
15,San Angelo,160,MCCULLOCH,Female,66,63,0.95,58,0.88,6,0.09,54,0.82,19,0.29,18,0.27,37,0.56,1,0.02,16,0.24
15,San Angelo,160,MCCULLOCH,Male,59,57,0.97,54,0.92,2,0.03,46,0.78,9,0.15,11,0.19,20,0.34,1,0.02,5,0.08
15,San Angelo,164,MENARD,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
15,San Angelo,164,MENARD,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
15,San Angelo,200,RUNNELS,Female,71,71,1.00,67,0.94,2,0.03,61,0.86,26,0.37,19,0.27,45,0.63,1,0.01,28,0.39
15,San Angelo,200,RUNNELS,Male,74,73,0.99,69,0.93,4,0.05,61,0.82,28,0.38,15,0.20,43,0.58, -   ,0.00,21,0.28
15,San Angelo,206,SAN SABA,Female,35,34,0.97,29,0.83,3,0.09,23,0.66,9,0.26,8,0.23,17,0.49,1,0.03,10,0.29
15,San Angelo,206,SAN SABA,Male,46,42,0.91,42,0.91,1,0.02,36,0.78,14,0.30,7,0.15,21,0.46,2,0.04,14,0.30
15,San Angelo,207,SCHLEICHER,Female,22,22,1.00,22,1.00, -   ,0.00,22,1.00,9,0.41,7,0.32,16,0.73, -   ,0.00,11,0.50
15,San Angelo,207,SCHLEICHER,Male,18,17,0.94,17,0.94,1,0.06,16,0.89,2,0.11,5,0.28,7,0.39, -   ,0.00,4,0.22
15,San Angelo,216,STERLING,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
15,San Angelo,216,STERLING,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
15,San Angelo,218,SUTTON,Female,22,22,1.00,22,1.00, -   ,0.00,21,0.95,6,0.27,7,0.32,13,0.59, -   ,0.00,7,0.32
15,San Angelo,218,SUTTON,Male,40,37,0.93,36,0.90,2,0.05,35,0.88,13,0.33,8,0.20,21,0.53, -   ,0.00,8,0.20
15,San Angelo,226,TOM GREEN,Female,624,599,0.96,569,0.91,21,0.03,524,0.84,207,0.33,155,0.25,362,0.58,14,0.02,165,0.26
15,San Angelo,226,TOM GREEN,Male,645,612,0.95,578,0.90,31,0.05,522,0.81,203,0.31,105,0.16,308,0.48,8,0.01,120,0.19
15,San Angelo,233,VAL VERDE,Female,373,350,0.94,315,0.84,34,0.09,304,0.82,86,0.23,128,0.34,214,0.57,7,0.02,109,0.29
15,San Angelo,233,VAL VERDE,Male,362,332,0.92,273,0.75,63,0.17,277,0.77,40,0.11,125,0.35,165,0.46,12,0.03,61,0.17
16,Amarillo,6,ARMSTRONG,Female,22,22,1.00,21,0.95, -   ,0.00,20,0.91,7,0.32,12,0.55,19,0.86,1,0.05,12,0.55
16,Amarillo,6,ARMSTRONG,Male,17,14,0.82,15,0.88, -   ,0.00,14,0.82,4,0.24,5,0.29,9,0.53,1,0.06,4,0.24
16,Amarillo,23,BRISCOE,Female, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
16,Amarillo,23,BRISCOE,Male, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
16,Amarillo,33,CARSON,Female,43,40,0.93,40,0.93,1,0.02,40,0.93,15,0.35,17,0.40,32,0.74, -   ,0.00,20,0.47
