REGION,RA0GR16N,RA0GM16N,RA0GH16N,RA0GE16N,RA0GA16N,RA0GN16N,RB0GR16N,RH0GR16N,RW0GR16N,RI0GR16N,R30GR16N,R40GR16N,R20GR16N,RE0GR16N,RS0GR16N,RL0GR16N,RR0GR16N,RA0GH16P,RA0GN16P,RA0GE16P,RA0GA16P,RA0GR16R,RB0GR16R,RH0GR16R,RW0GR16R,RI0GR16R,R30GR16R,R40GR16R,R20GR16R,RE0GR16R,RS0GR16R,RL0GR16R,RR0GR16R,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND16C,RAUND16D,RAUND16R,RPETDISD,RPETDISC,RPETDISP,RPETSIMC,RPETSINC,RPETSINP,RPETSPHC,RPETSPHP,RPETSBHC,RPETSBHP,RPETSAUC,RPETSAUP,RPETSNOC,RPETSNOP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RA0GM16P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTFTEC,RPSTTENA,RPSTEXPA,RPSHFTEC,RPSHTENA,RPSHEXPA,RPSLFTEC,RPSLTENA,RPSLEXPA,RPSAMIFC,RPSTEXPT,RPSTTENT,RPSHEXPT,RPSHTENT,RPSLEXPT,RPSLTENT,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPFEIERP,RPSAINHP
"11",37481,5158,29768,186,1036,1333,5101,11856,17415,203,1871,89,946,13593,2476,1849,14962,79.4,3.6,0.5,2.8,100,13.6,31.6,46.5,0.5,5,0.2,2.5,36.3,6.6,4.9,39.9,585940,50719,96068,290754,295186,50659,143599,96848,275695,1416,20317,40012,41900,43558,44500,44579,44278,43598,43515,43449,49113,45381,42182,38142,211588,85913,238234,2615,28241,1685,17664,533,277736,0.2,610654,7830,1.3,50719,22297,44,11506,22.7,10183,20.1,6230,12.3,503,1,1.9,2.7,1.8,0.9,0.5,0.4,0.2,0.4,0.3,6.9,5.2,2.5,0.7,0.6,0.8,0.4,0.7,0.8,40.7,14.7,36.1,0.4,4.8,0.3,3,49.6,50.4,47.1,16.4,8.7,24.5,16.5,8.6,0.2,3.5,6.8,7.2,7.4,7.6,7.6,7.6,7.4,7.4,7.4,8.4,7.7,7.2,6.5,13.8,39031.3,7578.7,2185.3,770.2,6694.9,2154288910.5,479231595.4,173117922.2,81544087.1,2501.7,10657.6,8223.8,11726.2,5922,123873385.5,547678411.1,439857604.2,663372665.5,379506844.1,175.7,28725.8,9827.1,302.7,116.4,32.9,49565.4,16550.2,72810.6,32.9,172.2,726,440.7,3259.9,4728.3,29214.5,489.7,9006.9,30024.3,49.6,28113.5,1640,2428.4,916.3,871.2,3369.5,1692.3,5598.1,38151.6,14.7,42328.1,7.1,11.1,926.2,11.8,19.3,1278.8,9.3,15.4,23330.8,470642.8,301869.7,17839.4,10918.4,19722.6,11936.6,240939,11284,227046,10902,242744,12612,33217.8,1572.2,35717.1,1661.2,35752.8,1890.8,35513.5,1889.9,35646.7,1914.7,32308.6,1724.6,5283.8,188.3,34482.6,1831.1,100829,5338,283461,15442,21.4,20.8,19.2,28.1,18.8,21.1,21.5,18.9,18.8,18.6,18.7,18.9,18.4,68.1,53.6,10.4,3,1.1,9.2,22.7,32,0.5,73.6,25.2,0.8,6.4,27.3,21.1,30,15.2,72,4.2,6.2,2.3,2.2,8.6,4.3,8.4,74.8,12.1,1.9,0.4,1.1,1.3,23.1,76.9,15,49516,51389,53486,56572,64084,55194,63234,79220,105868,65.6,67.7
"12",10009,1699,7501,42,498,269,1946,2981,4450,67,179,44,342,4476,857,251,4087,74.9,2.7,0.4,5,100,19.4,29.8,44.5,0.7,1.8,0.4,3.4,44.7,8.6,2.5,40.8,172711,16552,17571,99531,73180,11144,42043,17103,81814,362,8769,12481,13339,13462,13423,13391,12910,12828,12505,12703,13445,12212,10950,9931,58689,34184,66873,713,3633,1257,7362,301,78200,0.4,183272,3142,1.7,16552,7843,47.4,3351,20.2,3494,21.1,1627,9.8,237,1.4,2,4.5,2.7,2.3,1.2,0.6,0.5,0.8,0.6,7.3,7.9,3.5,1.6,1,1.2,0.7,1.3,1.3,38.7,19.8,34,0.4,2.1,0.7,4.3,57.6,42.4,47.4,10.2,9.6,24.3,9.9,6.5,0.2,5.1,7.2,7.7,7.8,7.8,7.8,7.5,7.4,7.2,7.4,7.8,7.1,6.3,5.8,17,11995.5,2068.2,799.9,309.7,2958.3,582519283.7,118268130.7,56536399.2,28696637.3,1069.1,3647.7,2311.6,3083.3,1883.8,45676164.4,162211057.4,109368026,157900867.2,107363168.8,105.8,9459.4,2375.3,55,83.5,26.9,15173.3,6197,24328.6,35,54.7,13,110.8,1124.1,1145.1,9350.5,197.2,2809.9,9185.6,61.4,9391.1,572.1,270.5,363.9,139.3,940.3,318.3,2469.3,11934.8,20.7,13136.5,6.5,10.6,356,11,19.4,423.1,9.2,15.3,7539,139451.9,84780.7,6921.2,3912.9,6457.2,3884.7,66621,3830,64271,3585,72120,4371,10239.8,519.5,11614.1,522.9,11129.3,560.4,11010.7,575.2,11034.9,567.7,11363.1,586.2,1051.3,45.1,9952.2,521.5,32640,1836,84356,5504,17.4,17.9,16.5,23.3,19.1,19.7,22.2,19.9,19.1,19.4,19.4,17.8,15.3,62.4,49.3,8.5,3.3,1.3,12.2,25.5,31,0.9,78.9,19.8,0.5,8.9,30.4,19.3,25.7,15.7,78.3,4.8,2.3,3,1.2,7.8,2.7,9.4,78,9.5,0.1,0.5,0.9,1.6,23.4,76.6,14.4,42724,44470,47313,51212,56991,48562,57183,70680,92664,62.5,65.4
"13",24924,2812,20314,121,901,776,1903,10379,10837,90,1062,28,625,8471,1693,963,8764,81.5,3.1,0.5,3.6,100,7.6,41.6,43.5,0.4,4.3,0.1,2.5,34,6.8,3.9,35.2,386698,37915,67043,176033,210665,33770,95530,68242,175893,1281,13599,27563,28460,29416,30174,30136,29670,29003,29166,28753,31130,28449,25936,23962,184218,26720,143236,948,19420,425,11731,362,195327,0.2,400242,5325,1.3,37915,17629,46.5,7741,20.4,7531,19.9,4680,12.3,334,0.9,1.6,2.2,1.2,0.6,0.4,0.3,0.3,0.2,0.2,6.6,4.1,2,0.8,0.4,0.7,0.3,0.5,0.5,37,6.9,47.6,0.2,5,0.1,3,45.5,54.5,45.5,17.3,9.8,24.7,17.6,8.7,0.3,3.5,7.1,7.4,7.6,7.8,7.8,7.7,7.5,7.5,7.4,8.1,7.4,6.7,6.2,11.3,26543.4,5413.8,1664.5,496.6,4806.7,1327896970.4,319188178,118969347.2,50377586.5,1881.7,7596.1,5933.5,7293.3,3838.8,84310249.9,353975632.5,288052682.1,376358655,225199750.9,214.8,19834.6,6330.7,163.3,41.1,3,34118.4,12050.2,50975.3,85.9,83.9,126,367.6,1117.8,5328.4,19200.4,319.2,6161.9,20381.5,12.9,18286.4,1039.7,1848.1,902.8,504.1,2863.3,1099.1,4318,25402,17,28292.3,6.5,10.7,596.2,9.9,18.7,934.3,7.9,14.3,19165.2,303615.9,184058.3,11128.1,5905.7,13376.9,7346.2,160723,8365,155635,8251,170052,9418,19726.6,974.7,23442.9,1121.5,23308.2,1257.2,23345.2,1252.2,22995.4,1211.3,22575.3,1199.6,3603.6,132.8,21388.3,1135.1,77624,3958,190720,11630,19.2,18.9,18.1,27.1,18.8,20.2,20.9,18.5,18.6,19,18.8,19.6,16.4,66.9,52.1,10.6,3.3,1,9.4,23.6,37.6,0.8,74.7,23.9,0.6,7.1,28.6,22.4,27.5,14.5,68.9,3.9,7,3.4,1.9,10.8,4.1,4.2,72.3,20.1,0.5,0.3,1.4,1.2,23.2,76.8,14.6,44804,46600,48546,51604,58665,50027,58958,71472,101446,63.3,65.9
"14",2901,332,1897,92,514,66,181,948,1635,12,44,2,79,1102,237,62,1125,65.4,2.3,3.2,17.7,100,6.2,32.7,56.4,0.4,1.5,0.1,2.7,38,8.2,2.1,38.8,59908,5619,3476,33545,26363,2560,13526,3518,24175,157,2419,4481,4705,4637,4971,4963,4956,5052,4966,4917,3911,3498,3309,2966,21728,5395,29413,232,1184,54,1902,53,25916,0.2,64776,695,1.1,5619,2737,48.7,1350,24,934,16.6,538,9.6,60,1.1,6.5,5.5,2.7,2.5,1.7,1.3,2.3,2.1,2.4,20.2,11.2,3.2,1.9,1.6,2,3,3.4,3.2,49.1,9,36.3,0.4,2,0.1,3.2,56,44,40.4,5.8,9.4,22.6,5.9,4.3,0.3,4,7.5,7.9,7.7,8.3,8.3,8.3,8.4,8.3,8.2,6.5,5.8,5.5,5,11.4,4244,652.4,259.7,117.9,1140.3,189948931.3,28860064.2,16820037.1,10106799.6,352,1335.8,672.9,1027.7,855.7,13223661,54058109.1,28409765.8,48535481,45721914.4,55.2,3439.2,733.1,16.6,75.7,2,5274.1,1919.6,8334.1,3.4,11,2,27.5,159,410.2,3597.1,37.3,947.7,3296.3,17.7,3369.3,222.2,30.6,229.3,4.5,305,83.2,837.5,4177,20,4761.2,7.1,11.2,168,9.2,16.9,90,7.5,14.1,1948.5,53501.8,33704,2831.2,1551.3,1267.5,670.5,18855,1156,19110,1145,20802,1379,3670,199.6,4243.9,224.4,4336.4,240.6,4441.8,243.2,4337.7,242.1,4425.4,246.6,132.8,5.5,4327.8,243.5,8401,527,25072,1879,16.3,16.7,15.1,23.9,17.8,18.4,18.9,18,18.3,17.9,17.9,15.9,13.3,63.3,50.9,7.8,3.1,1.4,13.7,23,23.4,1.3,81,17.3,0.4,8.3,31.5,15.9,24.2,20.2,79.4,5.2,0.7,5.4,0.1,7.2,2,3.7,84.8,9.7,0,0.3,0.6,0.9,22.3,77.7,14.1,37570,40468,42220,47229,53434,44757,44234,64759,85741,63,65.2
"15",3097,425,2310,18,176,168,81,1699,1257,8,23,3,26,1385,241,73,1006,74.6,5.4,0.6,5.7,100,2.6,54.9,40.6,0.3,0.7,0.1,0.8,44.7,7.8,2.4,32.5,49746,4678,3572,30315,19431,2865,13058,3457,23673,141,1785,3577,3780,3908,4033,3814,3740,3752,3703,3659,3637,3652,3353,3212,28624,1405,18427,112,364,18,796,19,22620,0.1,53384,565,1.1,4678,2253,48.2,1067,22.8,922,19.7,377,8.1,59,1.3,3.4,4.5,2.5,1.4,0.9,0.8,0.9,0.7,2,10.2,8.1,4,1.8,0.5,1.2,0.2,0.2,1.9,37,2.8,57.5,0.2,0.7,0,1.6,60.9,39.1,47.6,7.2,9.4,26.2,6.9,5.8,0.3,3.6,7.2,7.6,7.9,8.1,7.7,7.5,7.5,7.4,7.4,7.3,7.3,6.7,6.5,13.7,3711.5,520.3,207.6,102.7,933,166258852.6,28353249.5,14385858.3,9199950.3,313.2,917.5,670.4,1009.2,801.3,11440075.4,35310241.7,28423060.5,48279997.2,42805477.7,23.8,3086.6,594.6,6.6,44.3,17.8,4542.2,1894.9,7370.1,3,9,1,10.2,52.5,887.1,2733.5,18.3,835.1,2876.4,16.1,2931,225.9,74,136.6,25.3,260.4,58.4,640.2,3701.7,17.3,4196.9,8.1,12.4,142.4,8.8,17.2,71.6,11.2,16.6,2810.1,51997,33851.8,2449.2,1250.4,1192,798.4,18117,1057,19288,1108,21046,1359,2951.8,157.5,3206.3,173.6,3371.5,199.1,3517.2,202.3,3353.4,193.3,3205.6,187.4,106.7,3.1,3124.8,185.8,7888,469,25748,1675,17.1,17.4,15.5,34.6,16.8,18.7,18.5,16.9,17.4,17.3,17.1,16.8,15.4,61.6,50.4,7.1,2.8,1.4,12.7,25.7,38.1,0.6,83.2,16,0.2,8.4,24.7,18.1,27.2,21.6,79,6.1,2,3.7,0.7,7,1.6,1.4,73.6,23.9,0,0.2,0.3,0.5,22.5,77.5,13.4,36528,38485,42395,47842,53423,44795,54496,69286,89576,60.1,63.8
"16",5326,907,3359,57,862,141,245,2292,2565,30,91,4,99,2298,386,140,2052,63.1,2.6,1.1,16.2,100,4.6,43,48.2,0.6,1.7,0.1,1.9,43.1,7.2,2.6,38.5,85725,8346,11440,51181,34544,4158,22951,11293,38421,213,4298,6208,6396,6652,6655,6646,6331,6452,6358,6247,6484,5961,5518,5306,40289,4394,36238,391,2526,68,1819,63,38668,0.2,90777,1207,1.3,8346,3650,43.7,1985,23.8,2129,25.5,486,5.8,96,1.2,3,3.5,2.2,1.2,0.8,0.7,0.2,0.6,0.3,15.4,8.7,4.1,1.3,1.3,0.9,0.9,0.4,1.7,42.3,5.1,47,0.5,2.9,0.1,2.1,59.7,40.3,44.8,13.3,9.7,26.8,13.2,4.9,0.2,5,7.2,7.5,7.8,7.8,7.8,7.4,7.5,7.4,7.3,7.6,7,6.4,6.2,17,6506.4,924.9,372.9,152.2,1500.7,320976297.1,52458069.4,26894416.7,14320949.9,450.5,1741.9,1276.9,1706.9,1330.2,18902295.7,76888491,60662110.9,87683567.4,76839832.1,58.5,5385.9,1051.5,10.5,25.3,0,7956.4,2811.3,12268.4,13.9,25,2,34,53.1,788,5550.7,53.7,1427.5,5078.9,10.3,4821.3,380.4,219.8,298.7,9.2,539.6,237.3,954.3,6532.8,14.6,7055.2,8.2,11.9,219.5,12.6,20.3,177,11.8,15.7,3028.9,83640.7,57661.9,4460.3,2773.3,2784.6,2093.9,34046,2035,31829,1875,35452,2275,5397.1,274.2,5718.8,302.5,5847.4,333.8,6157.7,346.8,5401.9,304.6,5568.5,314.8,0,0,5381.6,305.2,13706,892,40376,2813,16.7,17,15.6,.,17.6,19.7,18.9,17.5,17.8,17.7,17.7,15.4,14.4,64.9,53,7.5,3,1.2,12.2,22.9,24.7,0.9,82.8,16.2,0.2,6.9,26.8,19.6,26.2,20.4,74.1,5.8,3.4,4.6,0.1,8.3,3.6,0.8,85.3,12.1,0,0.4,0.5,0.8,21.9,78.1,13.2,41962,44140,47506,51369,57768,49332,56718,72123,94108,64.5,67.2
"17",4928,731,2911,10,1147,129,321,2682,1771,14,71,1,68,2286,462,97,1772,59.1,2.6,0.2,23.3,100,6.5,54.4,35.9,0.3,1.4,0,1.4,46.4,9.4,2,36,84341,7968,4869,51860,32481,4600,23686,5045,37456,207,3887,6117,6697,6767,6673,6895,6116,6198,6112,6149,6144,5954,5397,5028,49116,5572,26983,241,995,42,1392,51,37407,0.1,89272,1562,1.7,7968,4294,53.9,1594,20,1194,15,746,9.4,140,1.8,4.6,4.9,3,1.4,1.1,0.4,0.2,0.4,0.4,11.3,10.7,5.9,1.1,1,2,0.1,0.3,0.5,32,6.6,58.2,0.3,1.2,0,1.7,61.5,38.5,44.4,5.8,9.4,28.1,6,5.5,0.2,4.6,7.3,7.9,8,7.9,8.2,7.3,7.3,7.2,7.3,7.3,7.1,6.4,6,14.8,6396,985.3,390.9,179.1,1664.1,295232617.4,55022958.9,29045301.3,17157675.3,516.4,1731.4,1149.7,1713,1285.5,19901452.1,70096701.8,49907628.8,83096504,72230330.8,25.6,5043.4,1296.5,30.5,76.1,27.8,7951.2,2266,11881.4,2.5,13.4,6,20,128.5,1004.8,5158.4,64.9,1489.3,4906.7,19.3,4837.6,367.7,104.6,321.1,21.8,538.9,204.3,1222.8,6396.5,19.1,7071.7,7.3,11.9,212.3,11.8,20,167.5,10.5,15.8,3817.5,83928,51622.2,4254.4,2505.7,2653.8,1756.7,31736,1826,30722,1891,34257,2163,4406.9,240.2,5724.7,313.6,6426.3,344.8,6086.4,346.8,6178.3,343.4,6121.9,341.5,716.4,20.3,5742,329.4,13979,824,41950,2783,17.4,16.2,15.8,35.3,17.4,18.3,18.3,18.6,17.6,18,17.9,17,15.1,66.9,53.8,8.3,3.3,1.5,14,19.1,32.1,0.4,78.9,20.3,0.5,8.1,27.1,18,26.8,20.1,75.6,5.7,1.6,5,0.3,8.4,3.2,2,80.7,15.7,0.1,0.2,0.3,1,23.3,76.7,13.2,38536,40485,43410,48509,56190,46159,55844,74307,95825,60.8,70.2
"18",4629,598,3339,32,414,246,195,2984,1317,22,50,2,59,1418,293,210,2403,72.1,5.3,0.7,8.9,100,4.2,64.5,28.5,0.5,1.1,0,1.3,30.6,6.3,4.5,51.9,88181,6409,11535,47172,41009,5553,21075,11308,44668,128,3398,6666,6973,7303,7231,7123,6634,6690,6569,6442,6975,6165,5210,4674,60346,3724,21665,251,1060,98,1037,86,37997,0.2,93805,1678,1.8,6409,3126,48.8,1725,26.9,937,14.6,532,8.3,89,1.4,2.4,2.9,2.3,1.3,0.9,0.7,1,1.4,0.6,7,5.5,4.9,2,0.9,0.9,1.1,1,1.2,24.6,4.2,68.4,0.3,1.2,0.1,1.2,53.5,46.5,50.7,13.1,7.3,23.9,12.8,6.3,0.1,3.9,7.6,7.9,8.3,8.2,8.1,7.5,7.6,7.4,7.3,7.9,7,5.9,5.3,12.9,5910.5,1004.5,350,144.3,1067.1,296688246.5,60190733.7,26079126.3,14994341.8,630.6,1766.3,1045.6,1416.2,1051.7,26848390.2,80923765.9,51175233.3,75616234.7,62124622.3,108,4577.9,1194.6,29.9,36.3,0,7409.4,2967,11443.4,11.4,21.2,2,68.5,195.3,1844.3,3726.5,52.7,1328.6,4581.9,5.5,4111.6,269.1,532.8,232.1,142.3,461.8,160.8,1113.3,5858.5,19,6531.2,7.1,11,161.5,11.2,19.9,189.2,9.3,15.5,5590.9,71675.1,46404.8,3211.8,1803.4,2940.3,1751.5,32390,2017,30508,1869,33882,2124,4601.5,231.7,5347.7,262.6,5942.2,311.4,5989.6,311.3,6120.5,318.9,5740,302.8,24.3,1,5414.5,294.7,14530,883,41276,2729,16.1,16.3,16,24.5,18.4,19.9,20.4,19.1,19.2,19.2,19,16.5,15.1,64.7,51.6,8.8,3.1,1.3,9.3,25.9,48.9,1.8,77.5,20.2,0.5,10.7,29.9,17.7,24,17.8,69.6,4.6,9,3.9,2.4,7.8,2.7,3.3,63,31.2,0,0.4,1.2,0.9,22.5,77.5,14.9,42577,45814,48942,53393,59070,50197,59922,74503,103885,62.2,63.5
"19",12116,730,11095,8,177,106,264,11019,662,19,80,8,64,7898,783,1018,5920,91.6,0.9,0.1,1.5,100,2.2,90.9,5.5,0.2,0.7,0.1,0.5,65.2,6.5,8.4,48.9,178598,17870,47930,132643,45955,14544,52809,48501,95619,485,8310,11536,12398,12737,13034,13181,13003,12920,13238,12976,15068,14151,13092,12469,161100,4066,10056,337,1165,337,1537,166,86096,0.2,187467,2408,1.3,17870,8292,46.4,4686,26.2,3134,17.5,1694,9.5,64,0.4,0.8,3.5,1.7,1.2,0.6,0.3,0.2,0.4,0.2,8.8,7.6,4,1.8,0.9,0.3,0.4,0.3,0.4,5.6,2.3,90.2,0.2,0.7,0.2,0.9,74.3,25.7,53.5,26.8,10,29.6,27.2,8.1,0.3,4.7,6.5,6.9,7.1,7.3,7.4,7.3,7.2,7.4,7.3,8.4,7.9,7.3,7,6,11316.9,2803.1,683,180.1,1664.8,586284151.6,166951294.4,52558669,16935333.5,626.9,2541.6,2572,3758.9,1817.6,28284892.3,121461833.8,128139261.1,199607589.4,108790575,137.3,8069.9,3043.9,65.9,0.8,0,14983,7573.1,24221,9.6,15.1,7,80.2,213.4,8996.1,1939.7,65.4,3309.2,8007.8,0,8421.2,556.4,1137.4,54,186.8,759.8,201.4,1236.1,11114.5,11.1,12040.6,9.9,11.8,248.8,15.1,21.4,421.5,12.5,17,21041.2,142055.3,119178,5333.9,3763.5,7173.5,5250.7,82846,4129,74543,3770,83062,4462,9395.5,496.2,8802.3,444,8524.8,487.9,8540.1,477.9,7948.8,454.3,7025.8,396,204,6,4561.2,264.1,35548,2012,105054,6576,20.1,19.8,18.6,34.3,17.3,18.9,19.8,17.5,17.9,17.5,17.7,17.7,16,61.9,46.7,11.6,2.8,0.7,6.9,31.3,86.9,1.2,71.3,26.9,0.6,5.5,22.5,22.7,33.2,16.1,74.4,4.9,10.1,0.5,1.7,6.7,1.8,1.9,17.1,79.5,0.1,0.1,0.7,0.6,29.2,70.8,15.8,45122,47789,49821,53103,59853,51806,59560,76956,94053,64.2,59.5
"20",28370,3952,21531,44,1112,1731,1865,19056,6223,71,576,45,534,14005,2357,936,13930,75.9,6.1,0.2,3.9,100,6.6,67.2,21.9,0.3,2,0.2,1.9,49.4,8.3,3.3,49.1,475709,46601,55603,284067,191642,32356,114511,56398,247637,1280,19419,32308,34556,35669,36528,36490,35796,35297,35548,34888,39206,35899,33174,29651,329871,28367,96683,1055,9160,752,9821,791,206955,0.4,498902,7442,1.5,46601,20023,43,10369,22.3,10137,21.8,5554,11.9,518,1.1,1.6,3.8,2.3,1.5,0.7,0.5,0.5,0.9,0.7,5.3,5.9,3,0.8,0.7,0.7,0.6,1.1,1.2,20.3,6,69.3,0.2,1.9,0.2,2.1,59.7,40.3,52.1,11.7,9.8,24.1,11.9,6.8,0.3,4.1,6.8,7.3,7.5,7.7,7.7,7.5,7.4,7.5,7.3,8.2,7.5,7,6.2,13.9,30495.5,6724.6,1742,571.7,5710.6,1644251376.9,412372675.7,131465879.3,56848973,2290.8,8098.9,6710.1,8820.3,4575.3,110415531.8,406626099.6,354015794.7,490604975.4,282588975.4,166.4,21376.9,8802.8,149.4,70.7,9.4,39533.8,17219.3,62463.7,140.9,85.3,36,235.2,1352.1,13607.5,14864.1,315.2,7408.9,23086.6,16.7,22153.5,1275.5,1765.1,1122.9,526.1,2637.6,1014.7,4621.1,30183,15.3,32045,7.3,10.9,722.4,12,19,982.3,9.8,15.1,37808.2,350120.6,233840.6,13697.8,8667.9,14857.6,9645,201376,10504,188438,9988,205587,11365,24292.1,1203.3,30078.7,1306.9,29662.3,1486.9,29379.3,1508.1,28288.1,1455.1,27426.1,1433.9,452.2,31.1,26045.8,1380.5,85471,4656,245280,14480,19.2,18.9,18.1,14.5,18.9,20.2,23,19.9,19.5,19.4,19.1,18.4,16.9,63.3,48.8,10.8,2.8,0.9,9.1,27.6,60.5,0.5,70.1,28.9,0.5,7.5,26.6,22,28.9,15,72.6,4.2,5.8,3.7,1.7,8.6,3.3,4.4,48.7,44.6,0.1,0.3,0.8,1,24.3,75.7,15.6,48199,50207,52759,55622,61763,53918,61323,75467,99447,63.6,62.4
