DISTRICT,D20GP14R,D20GV14R,D2CRB13R,D2CRB14R,D2CRM13R,D2CRM14R,D2CRR13R,D2CRR14R,D30GP14R,D30GV14R,D3CRB13R,D3CRB14R,D3CRM13R,D3CRM14R,D3CRR13R,D3CRR14R,D40GP14R,D40GV14R,D4CRB13R,D4CRB14R,D4CRM13R,D4CRM14R,D4CRR13R,D4CRR14R,DA0GP14R,DA0GV14R,DACRB13R,DACRB14R,DACRM13R,DACRM14R,DACRR13R,DACRR14R,DB0GP14R,DB0GV14R,DBCRB13R,DBCRB14R,DBCRM13R,DBCRM14R,DBCRR13R,DBCRR14R,DE0GP14R,DE0GV14R,DECRB13R,DECRB14R,DECRM13R,DECRM14R,DECRR13R,DECRR14R,DF0GP14R,DF0GV14R,DFCRB13R,DFCRB14R,DFCRM13R,DFCRM14R,DFCRR13R,DFCRR14R,DH0GP14R,DH0GV14R,DHCRB13R,DHCRB14R,DHCRM13R,DHCRM14R,DHCRR13R,DHCRR14R,DI0GP14R,DI0GV14R,DICRB13R,DICRB14R,DICRM13R,DICRM14R,DICRR13R,DICRR14R,DL0GP14R,DL0GV14R,DLCRB13R,DLCRB14R,DLCRM13R,DLCRM14R,DLCRR13R,DLCRR14R,DM0GP14R,DM0GV14R,DMCRB13R,DMCRB14R,DMCRM13R,DMCRM14R,DMCRR13R,DMCRR14R,DR0GP14R,DR0GV14R,DRCRB13R,DRCRB14R,DRCRM13R,DRCRM14R,DRCRR13R,DRCRR14R,DS0GP14R,DS0GV14R,DSCRB13R,DSCRB14R,DSCRM13R,DSCRM14R,DSCRR13R,DSCRR14R,DW0GP14R,DW0GV14R,DWCRB13R,DWCRB14R,DWCRM13R,DWCRM14R,DWCRR13R,DWCRR14R
"003903",62.5,0.8,71,40,100,80,63,60,84.6,0.8,100,69,100,85,100,69,-1,-1,.,-1,.,-1,.,-1,72.1,47.2,58,47,78,63,65,62,53.6,8.8,45,33,64,51,57,53,65.8,24.1,48,32,71,53,57,51,68.3,18.9,62,48,79,62,71,65,74.9,19.5,52,40,75,55,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.1,28.3,53,46,77,65,57,60,61.4,21,27,26,51,44,40,47,48.2,8,9,10,32,29,23,24,83.6,17.2,67,65,86,79,72,70
"003904",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,49.3,55,38,75,56,56,50,-1,-1,-1,-1,-1,-1,-1,-1,66.1,21.9,36,22,61,49,40,38,76.4,23.3,59,47,82,61,61,63,33.3,1.4,.,20,.,33,-1,40,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,75.7,26,52,29,69,52,52,36,52.5,18.5,21,3,45,27,28,19,33.3,2.1,0,0,0,0,0,0,80.3,47.3,57,39,78,58,58,51
"003905",.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,57.4,27.9,48,39,67,52,59,55,35.7,1.6,41,21,53,29,59,29,50,20.5,46,29,63,42,57,49,51.9,11.5,56,30,67,40,71,53,61.2,16.4,45,40,60,52,58,60,.,.,.,.,.,.,.,.,30,2.5,-1,0,-1,17,-1,0,61.8,16.4,42,47,68,63,49,57,37,12.3,32,11,53,20,48,31,45.5,2.5,15,17,29,17,15,11,58.5,9.8,51,43,76,61,59,58
"003906",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,84,32,39,43,52,72,48,.,.,.,.,.,.,.,.,90.9,40,25,30,38,50,75,40,93.3,48,50,46,57,62,93,54,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,36,14,30,29,40,53,40,90.9,36,0,0,0,10,69,10,-1,-1,-1,-1,-1,-1,-1,-1,95.8,80,35,41,43,55,75,45
"003907",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.3,69.9,44,54,77,77,48,60,-1,-1,-1,-1,-1,-1,-1,-1,82.8,16.5,43,46,63,71,50,54,86,26.2,39,58,73,81,49,67,76.9,2.9,45,67,73,75,45,75,.,.,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1,90,43.7,47,51,80,75,47,56,86.5,28.2,20,37,53,44,31,50,100,9.7,-1,-1,-1,-1,40,-1,90.8,65,44,54,79,78,49,59
"004901",-1,-1,-1,-1,-1,-1,-1,-1,100,1,83,88,100,88,83,100,.,.,.,.,.,.,.,.,74.4,48.2,49,51,68,59,59,66,-1,-1,-1,-1,-1,-1,-1,-1,70.5,20.1,44,42,58,53,54,58,78.5,24.1,57,55,67,61,70,75,73.8,23.6,31,44,54,53,50,60,.,.,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1,70.8,24.1,43,47,69,58,51,58,52.5,12.1,21,20,37,28,36,31,37.5,3,0,0,8,0,0,14,72.2,22.1,57,53,74,63,63,68
"005901",.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93.8,68.8,62,59,82,74,65,82,.,.,.,.,.,.,.,.,100,18.8,55,17,73,50,64,50,100,25,75,50,85,50,75,100,100,12.5,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,90.9,43.8,43,65,79,88,50,72,100,43.8,-1,25,-1,42,-1,77,-1,-1,-1,.,-1,.,-1,-1,92.6,56.3,59,61,79,74,62,88
"005902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89.4,39.4,77,75,82,84,85,81,.,.,-1,.,-1,.,-1,.,85.7,10.6,75,43,81,71,81,64,91.7,15.2,73,77,77,86,87,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,86.7,24.2,81,71,88,83,84,75,78.6,10.6,40,36,60,50,40,55,-1,-1,-1,-1,-1,-1,-1,-1,88.5,37.9,76,72,81,83,84,79
"005904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.5,85,62,59,90,82,63,69,.,.,.,.,.,.,.,.,90.9,25,57,40,93,60,53,60,88.9,35,77,67,85,83,85,83,100,20,-1,50,-1,63,60,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,50,50,52,94,81,47,57,100,20,13,33,63,44,22,67,-1,-1,-1,.,-1,.,-1,.,90.6,65,64,61,96,87,64,68
"006902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,43.3,68,59,73,70,82,75,.,.,-1,.,-1,.,-1,.,77.8,13.3,80,50,80,63,80,50,78.6,20,88,46,88,54,100,71,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.3,23.3,57,71,64,86,71,79,80,23.3,-1,25,-1,50,-1,63,-1,-1,-1,.,-1,.,-1,-1,81.5,40,70,63,75,75,85,76
