DISTRICT,D20GP14R,D20GV14R,D2CRB13R,D2CRB14R,D2CRM13R,D2CRM14R,D2CRR13R,D2CRR14R,D30GP14R,D30GV14R,D3CRB13R,D3CRB14R,D3CRM13R,D3CRM14R,D3CRR13R,D3CRR14R,D40GP14R,D40GV14R,D4CRB13R,D4CRB14R,D4CRM13R,D4CRM14R,D4CRR13R,D4CRR14R,DA0GP14R,DA0GV14R,DACRB13R,DACRB14R,DACRM13R,DACRM14R,DACRR13R,DACRR14R,DB0GP14R,DB0GV14R,DBCRB13R,DBCRB14R,DBCRM13R,DBCRM14R,DBCRR13R,DBCRR14R,DE0GP14R,DE0GV14R,DECRB13R,DECRB14R,DECRM13R,DECRM14R,DECRR13R,DECRR14R,DF0GP14R,DF0GV14R,DFCRB13R,DFCRB14R,DFCRM13R,DFCRM14R,DFCRR13R,DFCRR14R,DH0GP14R,DH0GV14R,DHCRB13R,DHCRB14R,DHCRM13R,DHCRM14R,DHCRR13R,DHCRR14R,DI0GP14R,DI0GV14R,DICRB13R,DICRB14R,DICRM13R,DICRM14R,DICRR13R,DICRR14R,DL0GP14R,DL0GV14R,DLCRB13R,DLCRB14R,DLCRM13R,DLCRM14R,DLCRR13R,DLCRR14R,DM0GP14R,DM0GV14R,DMCRB13R,DMCRB14R,DMCRM13R,DMCRM14R,DMCRR13R,DMCRR14R,DR0GP14R,DR0GV14R,DRCRB13R,DRCRB14R,DRCRM13R,DRCRM14R,DRCRR13R,DRCRR14R,DS0GP14R,DS0GV14R,DSCRB13R,DSCRB14R,DSCRM13R,DSCRM14R,DSCRR13R,DSCRR14R,DW0GP14R,DW0GV14R,DWCRB13R,DWCRB14R,DWCRM13R,DWCRM14R,DWCRR13R,DWCRR14R
"057843",-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,95.7,51.1,36,51,56,67,44,76,97.4,38.3,31,49,48,62,41,76,93.5,29.8,43,59,57,69,52,79,92,25.5,43,50,52,63,57,79,85.7,8.5,57,50,86,83,57,67,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,100,25.5,23,52,62,71,23,71,91.7,10.6,13,20,13,50,13,60,-1,-1,0,-1,0,-1,0,-1,.,.,.,.,.,.,.,.
"057844",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057845",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057846",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057847",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057848",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057903",71.4,0.5,65,50,74,75,78,65,91.4,3.4,71,74,87,86,75,78,.,.,-1,.,-1,.,-1,.,81.1,37.4,57,56,77,71,65,68,72,5.1,42,47,62,59,58,64,77.6,19.9,50,49,75,66,58,62,84.4,19.4,62,59,75,70,72,74,79.1,21.5,50,49,75,67,58,63,83.3,0.1,88,50,88,83,88,67,44.9,0.7,2,0,40,32,4,8,77.7,18,52,53,79,73,58,61,68.9,19.4,33,33,58,53,46,52,46.2,2.1,17,6,32,21,17,16,86.5,6.9,73,68,87,82,78,78
"057904",80,0.9,56,50,81,53,69,64,100,0.7,40,89,80,89,40,89,-1,-1,.,-1,.,-1,.,-1,77.6,44,49,48,69,58,60,64,74.8,30.1,45,46,65,56,58,63,75.8,26.8,43,39,63,52,56,56,80.2,21.3,52,50,69,58,66,69,82.5,8.7,55,44,75,60,65,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,40,-1,0,-1,74.8,22.7,44,45,69,59,54,57,70.6,28.3,33,31,55,42,50,52,45.7,3.7,0,5,4,5,3,8,91.2,3.3,62,66,81,82,65,75
"057905",90,0.1,52,66,64,69,60,76,85.6,0.5,66,55,75,77,69,62,85.7,0.1,50,71,67,76,50,95,76.2,38.8,46,46,69,62,56,62,69.9,9.3,38,37,62,53,50,54,75.8,31.6,44,44,68,61,54,59,79.3,20.7,49,48,68,61,61,66,77.2,27.6,46,46,70,64,56,62,81,0.2,66,48,89,65,73,60,52.4,3.5,10,11,47,39,16,20,72.7,18,43,44,71,63,51,56,59.2,14.5,22,20,50,41,35,39,36.8,2.4,5,4,18,18,11,11,89.3,1.1,71,75,84,81,78,85
"057906",-1,-1,50,-1,100,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,79.9,70,49,36,74,54,58,53,83.9,59.2,47,34,70,52,58,52,82.9,38.5,46,36,71,54,58,53,86.7,36.8,50,42,73,57,61,60,68.5,7.6,54,48,90,63,57,62,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,73.1,33.2,48,30,74,50,54,45,80.3,26.3,30,24,59,44,43,41,67.9,5.2,0,4,7,7,4,11,48.9,2.3,60,46,82,65,65,54
"057907",37.5,0.1,-1,33,-1,50,-1,67,94.7,1.1,71,50,71,67,95,72,.,.,.,.,.,.,.,.,65.1,38.9,49,40,61,48,68,68,59.6,15.7,41,32,55,39,63,67,63.3,24.2,41,36,55,45,61,66,64.2,20.5,49,38,58,44,70,72,68.8,19.9,49,43,60,53,68,68,-1,-1,40,-1,60,-1,40,-1,46.2,0.5,0,0,0,20,0,0,66.3,18.3,50,42,64,54,66,64,56.9,26.7,24,24,36,34,54,59,42.9,4.3,0,0,8,10,8,9,71.9,2.1,82,67,86,71,87,81
"057909",76.7,0.8,59,63,77,73,63,71,86,3.8,74,73,91,85,76,78,-1,-1,-1,-1,-1,-1,-1,-1,71.6,36.2,52,52,73,65,61,66,56.9,4.5,42,39,62,54,54,55,67.3,18.8,43,43,68,57,52,58,76.2,20.5,55,55,73,65,66,72,69.6,19.4,42,43,68,57,52,60,70.4,0.2,54,58,88,67,52,79,31.3,0.4,9,3,40,25,8,6,66.9,15.7,49,50,74,65,56,61,53.1,16.1,32,23,58,38,46,46,24.8,1.3,8,6,20,17,14,15,79.4,7.5,66,67,83,77,74,78
"057910",73.5,0.7,50,58,74,64,61,88,80.6,1.6,87,72,93,86,92,80,-1,-1,-1,-1,-1,-1,-1,-1,63.5,30.1,56,53,71,66,67,70,60.6,3.9,53,50,68,60,64,69,62.8,18.7,49,51,65,65,62,69,68.1,15.7,59,55,69,65,72,75,61.7,20.7,52,49,68,63,64,67,50,0.1,83,40,83,60,83,60,45.2,3.6,17,31,45,54,32,47,59,14.4,53,50,73,67,62,65,45.5,11.2,34,33,52,48,52,58,15.4,0.5,9,7,20,17,16,21,69.1,3.1,70,68,82,81,76,79
"057911",100,0,100,100,100,100,100,100,90,0,92,100,100,100,92,100,.,.,.,.,.,.,.,.,95.4,4.2,94,94,98,96,95,95,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,96.7,1.6,95,96,98,97,96,97,89.3,0.2,91,81,95,93,91,85,.,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,94.2,2.6,94,91,98,95,94,94,81.8,0.8,83,71,97,78,83,79,57.1,0.6,75,62,75,67,76,62,96.1,4,95,94,98,96,95,96
"057912",75.9,0.7,65,54,76,61,75,71,87.9,2.8,66,66,80,82,72,72,-1,-1,-1,-1,-1,-1,-1,-1,67.7,41.7,53,49,68,61,66,67,56.4,3.6,44,38,59,48,60,60,66.7,29.4,49,45,65,59,63,63,70.2,21,56,49,66,57,73,70,66.4,28.9,50,48,66,60,65,67,85.7,0.3,44,60,56,60,78,80,33.1,1.4,20,14,50,33,30,27,65.2,20.8,50,48,70,64,60,64,55.4,20.4,36,32,54,45,54,55,15.9,0.6,3,6,14,11,15,15,75,5.4,67,54,81,66,76,76
"057913",-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,51,10.1,35,30,69,49,44,47,51.3,7.4,31,31,66,48,42,47,49.4,7.4,37,30,69,49,47,45,58.5,6.6,35,32,68,50,45,52,48.2,2.5,58,25,92,45,61,48,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.8,3.6,35,28,70,46,44,41,41.5,4.4,29,21,66,41,38,42,2.6,0,8,0,8,5,8,0,50,0.3,-1,60,-1,80,-1,60
"057914",74.1,0.4,68,63,79,81,76,75,89.6,0.8,73,67,81,81,76,75,-1,-1,80,-1,80,-1,80,-1,61.8,19.3,51,50,72,64,60,66,51,3.7,43,42,62,55,55,62,60,11.5,46,47,69,61,55,63,66.5,11.1,55,53,71,63,66,72,63.6,10.2,47,49,72,64,56,66,69.6,0.2,73,62,93,76,81,67,34.8,0.6,6,10,51,36,6,15,57.2,8.2,47,47,72,66,54,60,42.7,8.7,28,27,51,42,42,50,17,1.5,5,1,13,8,16,15,66.3,3.9,65,58,80,73,71,70
"057916",98,1.8,72,78,92,94,74,82,96,6.8,71,67,93,84,72,71,100,0.3,-1,50,-1,67,-1,67,95.8,79.3,65,63,86,79,69,70,92.7,17.6,42,41,73,61,48,52,94.3,33.5,48,47,79,69,54,56,96.8,38.9,68,67,85,79,73,75,93.5,27.1,50,47,80,72,58,57,100,0.2,67,78,100,78,67,78,55.6,1.1,5,3,32,35,5,3,94.7,40.3,62,59,87,80,65,65,92.6,25.5,36,31,68,55,43,42,91.4,6,17,15,39,28,20,22,99.2,25.5,85,84,96,92,87,88
"057919",-1,-1,.,-1,.,-1,.,-1,100,31.4,82,89,80,89,91,100,.,.,-1,.,-1,.,-1,.,97.7,93,89,76,89,79,93,92,-1,-1,100,-1,100,-1,100,-1,100,11.6,73,60,67,80,82,70,100,43,89,77,87,77,97,97,100,9.3,82,63,82,75,91,88,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,95.7,50,89,76,91,80,89,87,.,.,-1,.,40,.,-1,.,60,3.5,-1,-1,-1,-1,-1,-1,97.8,46.5,96,77,100,80,93,89
"057922",78.6,0.1,91,73,100,82,91,75,93.5,2.9,91,89,96,93,93,92,-1,-1,.,-1,.,-1,.,-1,91.2,18.7,81,83,89,88,85,88,75,0.7,44,47,62,53,58,68,68.8,0.7,60,57,76,69,69,69,92.4,9.1,83,85,89,89,89,91,85,1.9,72,78,81,83,79,84,66.7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,89.9,9.7,79,81,89,88,81,85,68.4,3.1,47,52,64,62,62,64,31.8,0.2,28,18,50,29,26,33,94,13.1,81,85,91,91,85,90
"058902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.4,94.4,13,44,75,61,38,72,.,.,.,.,.,.,.,.,100,50,17,33,67,56,50,78,100,61.1,-1,45,-1,45,-1,91,92.9,72.2,17,43,67,57,50,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.7,33.3,-1,43,-1,86,-1,43,100,38.9,-1,43,-1,57,-1,86,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1
"058905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.7,85.7,67,46,94,92,63,46,.,.,.,.,.,.,.,.,66.7,28.6,60,60,100,80,50,60,100,35.7,63,80,100,100,56,80,-1,-1,40,-1,80,-1,33,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77.8,50,70,25,90,88,70,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,-1,-1,90.9,71.4,77,45,100,91,77,45
"058906",-1,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,82.6,78.9,36,35,46,44,54,57,100,6.4,0,29,20,29,60,43,74.5,35.8,39,21,49,30,59,53,88.3,46.8,52,40,59,51,79,62,78.1,49.5,37,28,46,35,51,56,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,75.5,32.1,26,28,37,35,38,51,81.3,53.2,24,19,30,29,42,45,-1,-1,0,-1,0,-1,0,-1,89.3,22,44,56,56,70,67,67
"058909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,40,25,40,75,50,33,60,.,.,-1,.,-1,.,-1,.,50,20,10,17,70,17,20,50,40,10,17,20,50,20,33,60,40,10,0,20,63,20,13,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,30,33,60,100,80,33,60,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,100,30,-1,60,-1,80,-1,60
"059901",-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,78.1,69.9,40,25,55,32,55,50,-1,-1,-1,-1,-1,-1,-1,-1,78,45.2,32,19,46,26,46,42,76.5,35.6,46,27,58,30,64,55,78,59.8,35,20,51,27,49,45,.,.,-1,.,-1,.,-1,.,44.4,1.8,-1,0,-1,0,-1,0,79.8,34.2,33,23,51,35,45,44,70.7,32,12,5,23,10,27,29,61.9,5.9,0,0,0,0,0,13,82.4,9.6,66,52,72,58,79,73
"059902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"060902",.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,100,100,58,38,73,54,67,58,100,12.3,10,-1,27,-1,30,33,100,55.4,35,35,63,48,48,44,100,36.9,56,38,64,50,67,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,100,63.1,63,38,88,56,69,54,100,64.6,41,15,67,30,47,47,100,20,-1,17,-1,17,-1,50,100,80,74,38,93,55,74,60
"060914",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,42,44,67,67,42,40,-1,-1,-1,-1,-1,-1,-1,-1,100,66.7,29,60,57,80,29,50,-1,-1,40,-1,60,-1,40,-1,.,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,100,66.7,43,60,71,80,43,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,41.7,63,-1,75,-1,63,-1
"061802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,70.8,58.3,41,33,57,60,52,40,80,12.5,.,-1,.,-1,.,-1,57.1,16.7,60,-1,100,-1,60,-1,77.8,20.8,40,-1,64,-1,36,-1,-1,-1,57,-1,71,-1,57,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,66.7,37.5,42,27,50,55,67,36,80,58.3,25,36,44,55,38,45,-1,-1,-1,.,-1,.,-1,.,62.5,37.5,36,20,50,50,53,30
"061804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"061901",78.3,1.4,67,58,89,73,72,67,97.7,1.4,67,73,85,88,67,81,.,.,-1,.,-1,.,-1,.,79.4,42.6,55,56,73,67,63,71,63.2,4,36,36,51,48,49,58,70.8,15.4,41,43,63,56,51,60,83,21.6,57,58,71,67,69,78,74.2,12.9,44,44,67,58,54,62,94.4,0.7,60,75,80,94,60,76,58.8,1.9,14,15,38,31,22,31,75.6,21,52,53,76,68,57,63,60.3,13.8,28,28,48,41,42,49,41.5,2.2,0,6,2,11,9,16,84.7,22.2,63,65,81,74,71,78
"061902",88.9,0.8,72,68,84,78,79,82,91,2.7,80,81,94,90,81,85,-1,-1,-1,-1,-1,-1,-1,-1,79.9,25.8,72,68,86,79,77,77,60.1,1.8,57,44,74,58,64,62,68.5,5.7,48,48,71,62,57,60,80.9,10.4,74,70,84,78,81,81,71.4,6.4,55,54,74,68,64,67,88.9,0,82,89,100,100,82,89,56.1,1.1,20,11,55,43,20,15,79,15.4,70,66,88,80,73,73,56.5,5.8,35,29,57,45,49,47,55,2.6,20,15,52,40,30,27,84.1,14.1,78,74,90,84,82,81
"061903",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,93.1,69,58,80,59,77,77,100,5.7,-1,-1,-1,-1,-1,60,100,42.5,60,42,73,47,61,68,100,42.5,67,65,80,65,76,82,100,35.6,46,53,67,52,44,73,.,.,.,.,.,.,.,.,-1,-1,0,-1,43,-1,0,-1,100,50.6,71,51,80,55,78,72,100,34.5,32,31,55,33,39,59,100,10.3,-1,-1,-1,-1,-1,-1,100,49.4,77,61,85,66,88,80
"061905",.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,77.8,38.4,61,53,75,63,74,72,-1,-1,-1,-1,-1,-1,-1,-1,66.7,10.1,53,41,63,55,72,69,76.6,16.2,56,49,66,51,78,76,66.7,6.1,55,50,76,58,65,73,.,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,78.8,22.2,67,57,83,73,72,69,52.4,9.1,22,15,37,20,44,45,-1,-1,20,-1,20,-1,20,-1,81.4,31.3,61,53,74,64,75,71
"061906",-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,95,93.8,60,59,80,69,66,74,.,.,.,.,.,.,.,.,95.8,28.8,33,50,67,60,50,60,97.3,45,60,54,81,57,71,77,100,17.5,38,25,69,25,46,58,.,.,-1,.,-1,.,-1,.,-1,-1,.,.,.,.,.,.,93,48.8,60,64,80,79,63,72,87,25,20,5,36,15,30,40,66.7,5,20,.,20,.,50,.,93.8,73.8,66,67,83,78,72,77
"061907",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82.3,46.8,55,66,78,80,59,75,.,.,-1,.,-1,.,-1,.,88.9,9.9,41,62,66,73,52,82,87.5,21.3,63,64,73,77,71,79,68.4,5.7,40,62,65,57,45,64,-1,-1,-1,.,-1,.,-1,-1,.,.,.,.,.,.,.,.,77.9,25.5,46,68,83,83,45,71,70.7,12.8,27,52,44,63,25,66,100,4.3,-1,-1,-1,-1,-1,-1,84.6,38.3,57,66,81,82,61,76
"061908",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79.4,55,50,49,78,61,54,66,-1,-1,-1,-1,-1,-1,-1,-1,76,19.4,50,30,78,45,52,52,81.8,25,63,51,81,55,67,70,77.4,11.3,50,29,79,46,48,52,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,77.1,30,39,46,75,67,43,61,61.8,12.5,29,9,44,25,33,26,66.7,5,0,0,25,14,0,14,80.3,41.3,50,55,78,66,56,70
"061910",-1,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,81.3,4.5,74,72,87,84,83,77,.,.,.,.,.,.,.,.,33.3,0,60,20,80,20,60,17,93.8,2.8,69,85,76,89,86,93,69.2,0,57,54,100,62,57,54,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.5,1.7,78,60,95,79,81,63,41.2,0.6,26,19,48,38,68,31,28.6,0,-1,20,-1,80,40,20,82.5,4.5,75,73,86,85,84,79
"061911",89.5,1.3,87,65,93,71,93,88,100,2.2,74,79,88,88,78,88,-1,-1,.,-1,-1,-1,.,-1,87.2,57.2,69,56,82,69,76,71,82.3,3.3,46,38,62,50,59,63,78.9,7.3,53,43,69,55,65,60,86.9,28.2,71,54,80,64,79,76,85.4,10.6,63,48,79,62,70,66,100,0.6,80,57,100,57,80,71,-1,-1,-1,-1,-1,-1,-1,-1,87.5,29.1,66,58,84,75,72,66,76.7,14.5,35,34,54,48,51,54,57.3,4.6,21,2,40,27,34,19,87.4,39,72,59,84,73,78,72
"061912",88.2,3.6,62,76,71,88,69,88,100,2.9,83,57,83,71,100,86,-1,-1,.,-1,.,-1,.,-1,95.3,82.5,71,61,81,71,81,78,92,8,71,46,86,50,79,75,92.2,27.7,51,47,67,61,65,67,95.4,39.4,76,58,82,66,86,78,94,21.5,58,51,64,66,79,69,100,1.8,-1,-1,-1,-1,-1,-1,85.7,2.2,-1,-1,33,-1,-1,-1,95.1,43.1,66,63,81,75,77,78,91.2,27.4,21,33,46,41,36,68,88.9,5.8,-1,-1,0,-1,-1,-1,96.7,44.5,75,66,86,74,82,81
"061914",75,0.3,38,83,88,71,38,83,80,0.3,63,67,88,89,63,78,.,.,.,.,.,.,.,.,74.5,24.1,47,57,73,71,56,73,75.4,5.8,39,43,60,61,49,64,69.2,11,47,49,67,65,60,66,79.7,12.3,52,61,73,67,63,79,66.7,6.3,40,51,71,63,55,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.1,11.8,42,54,73,75,49,65,59.1,11,27,25,56,39,42,56,25,0.5,17,20,38,30,15,27,80.8,11.5,56,67,79,81,61,78
"062901",-1,-1,60,-1,80,-1,80,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,69.2,32.5,49,57,67,67,62,73,50,0.8,-1,40,-1,40,-1,80,47.1,5,36,37,63,43,40,64,71.6,20.8,50,58,59,65,65,80,52.9,8.3,42,32,58,38,65,64,.,.,.,.,.,.,.,.,-1,-1,.,-1,.,-1,.,-1,66,11.7,49,54,74,70,60,63,47.2,13.3,29,30,43,36,52,64,28.6,1.7,-1,-1,-1,-1,-1,-1,77.3,23.3,54,65,71,80,62,74
"062902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87.5,75,-1,29,-1,43,-1,43,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,100,62.5,-1,40,-1,60,-1,40,100,50,-1,20,-1,40,-1,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1
"062903",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63.7,20.2,65,60,77,67,72,78,18.2,0,14,13,43,50,29,50,53.8,6.5,44,47,59,56,55,73,62.1,5.6,61,62,71,65,72,86,64.4,5.6,59,61,73,63,69,77,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,65.5,14.5,69,59,84,69,73,69,36,4.8,36,33,61,38,45,67,15.4,1.6,-1,-1,-1,-1,-1,-1,72.7,14.5,77,69,85,74,81,81
"062904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84.8,75.8,47,45,59,48,75,77,.,.,-1,.,-1,.,-1,.,66.7,18.2,40,11,50,11,70,67,86.7,39.4,56,53,63,53,81,93,85.7,33.3,17,36,50,36,50,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83.3,36.4,38,38,56,44,69,63,66.7,24.2,9,9,18,18,64,55,-1,-1,-1,-1,-1,-1,-1,-1,84.2,42.4,52,53,60,59,80,76
"062905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"062906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"063903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.7,94.7,70,56,73,75,73,69,.,.,.,.,.,.,.,.,91.7,57.9,-1,44,-1,67,-1,56,100,26.3,-1,60,-1,80,-1,80,100,47.4,100,56,83,78,83,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.9,68.4,71,55,75,73,63,64,100,42.1,-1,17,-1,50,-1,50,-1,-1,.,-1,-1,-1,-1,-1,90,47.4,40,57,60,71,60,71
"063906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1
