CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"001907102","WASHINGTON EARLY CHILDHOOD CENTER","001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",214,0,"E","EE - PK",87.9,"N","N","N","N","N","001907107","N","Y",,,,,,,,,,,,,,,76,0,0,,,,188,23,"EE","PK",43,20.1,10.7,0,0,0,"N","Y","N","N","SOUTHSIDE EL"," ",,
"001907107","SOUTHSIDE EL","001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","C","C","C","Not Rated","C","C",440,233,"E","02 - 03",82,"N","N","N","N","N"," ","Y","N",42,71,,,,,,,77,,39,72,71,77,76,0,0,59,492,12,361,86,"02","03",80,18.2,19.5,0,0,53,"N","N","N","N"," "," ",,
"001907110","STORY INT","001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","D","D","C","D","C","F",670,670,"E","04 - 06",81,"N","N","N","N","N"," ","N","N",40,69,,,,,59,65,73,,4,41,69,73,63,0,0,65,712,9.1,543,129,"04","06",117,17.5,19.3,0,0,100,"N","N","N","N"," "," ",,
"001908002","WESTWOOD H S","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","C","B","B","F","B","D",405,405,"S","09 - 12",76,"N","N","N","N","N"," ","N","N",37,64,91,93,100,100,61,59,81,,39,62,83,81,77,0,0,70,445,15.7,308,68,"09","12",32,7.9,16.8,0,0,100,"N","N","N","N"," "," ",,
"001908041","WESTWOOD J H","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","F","F","F","F","F","D",200,200,"M","07 - 08",80,"N","N","N","N","N"," ","N","N",22,51,,,,,43,53,52,,18,61,51,53,55,0,0,35,225,15.6,160,40,"07","08",11,5.5,20,0,0,100,"N","N","N","N"," "," ",,
"001908101","WESTWOOD EL","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","D","F","D","D","D","D",404,404,"E","03 - 06",80.7,"N","N","N","N","N"," ","Y","N",34,59,,,,,58,63,60,,12,60,59,63,62,0,0,51,409,12.5,326,114,"03","06",22,5.4,28.2,0,0,100,"N","N","N","N"," "," ",,
"001908102","WESTWOOD PRI","001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","D","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",378,0,"E","EE - 02",84.1,"N","N","N","N","N","001908101","N","Y",,,,,,,,,,,,,,,62,0,0,29,223,13,318,45,"EE","02",23,6.1,11.9,0,0,0,"N","N","N","N","WESTWOOD EL"," ",,
"001909001","SLOCUM H S","001909","SLOCUM ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","D","B","D",86,86,"S","09 - 12",40.7,"N","N","N","N","N"," ","N","N",59,89,67,72,100,100,67,69,80,,47,69,84,80,80,0,0,7,82,8.5,35,16,"09","12",0,0,18.6,0,0,100,"N","N","N","N"," "," ",,
"001909101","SLOCUM PK - 8","001909","SLOCUM ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","B",237,139,"E","EE - 08",48.9,"N","N","N","N","N"," ","N","N",53,80,,,,,75,85,80,,73,89,80,85,86,0,0,20,215,9.3,116,50,"EE","08",7,3,21.1,0,0,58.6,"N","N","N","N"," "," ",,
"002901001","ANDREWS H S","002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","B","A","B","F","B","B",1193,1193,"S","09 - 12",43.3,"N","N","N","N","N"," ","N","N",47,75,99,99,100,100,51,54,86,,67,84,90,86,88,0,0,126,1267,9.9,517,171,"09","12",144,12.1,14.3,0,0,100,"N","N","N","N"," "," ",,
