Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
3,Victoria,45,COLORADO,Male,133,123,0.93,106,0.8,16,0.12,99,0.74,10,0.08,54,0.41,0,0,64,0.48,5,0.04,19,0.14
3,Victoria,62,DE WITT,Female,170,162,0.95,150,0.88,17,0.1,121,0.71,39,0.23,52,0.31,0,0,91,0.54,4,0.02,55,0.32
3,Victoria,62,DE WITT,Male,181,173,0.96,137,0.76,31,0.17,122,0.67,35,0.19,49,0.27,0,0,84,0.46,5,0.03,30,0.17
3,Victoria,88,GOLIAD,Female,51,51,1,41,0.8,8,0.16,41,0.8,9,0.18,26,0.51,0,0,35,0.69,2,0.04,11,0.22
3,Victoria,88,GOLIAD,Male,65,62,0.95,44,0.68,16,0.25,53,0.82,10,0.15,24,0.37,0,0,34,0.52,4,0.06,10,0.15
3,Victoria,120,JACKSON,Female,120,119,0.99,113,0.94,3,0.03,101,0.84,22,0.18,61,0.51,0,0,83,0.69,2,0.02,37,0.31
3,Victoria,120,JACKSON,Male,111,105,0.95,98,0.88,4,0.04,83,0.75,18,0.16,32,0.29,0,0,50,0.45,1,0.01,23,0.21
3,Victoria,128,KARNES,Female,101,101,1,93,0.92,1,0.01,83,0.82,14,0.14,42,0.42,0,0,56,0.55,2,0.02,26,0.26
3,Victoria,128,KARNES,Male,94,91,0.97,81,0.86,8,0.09,81,0.86,22,0.23,24,0.26,0,0,46,0.49,0,0,16,0.17
3,Victoria,143,LAVACA,Female,89,89,1,84,0.94,0,0,75,0.84,23,0.26,30,0.34,0,0,53,0.6,2,0.02,35,0.39
3,Victoria,143,LAVACA,Male,91,85,0.93,80,0.88,6,0.07,75,0.82,17,0.19,44,0.48,0,0,61,0.67,2,0.02,32,0.35
3,Victoria,158,MATAGORDA,Female,300,289,0.96,240,0.8,33,0.11,208,0.69,45,0.15,110,0.37,0,0,155,0.52,12,0.04,63,0.21
3,Victoria,158,MATAGORDA,Male,318,299,0.94,249,0.78,45,0.14,232,0.73,41,0.13,126,0.4,0,0,167,0.53,11,0.03,72,0.23
3,Victoria,196,REFUGIO,Female,45,44,0.98,38,0.84,6,0.13,38,0.84,12,0.27,15,0.33,0,0,27,0.6,1,0.02,12,0.27
3,Victoria,196,REFUGIO,Male,81,75,0.93,58,0.72,14,0.17,63,0.78,12,0.15,32,0.4,0,0,44,0.54,1,0.01,14,0.17
3,Victoria,235,VICTORIA,Female,571,526,0.92,387,0.68,125,0.22,319,0.56,81,0.14,213,0.37,0,0,294,0.52,56,0.1,114,0.2
3,Victoria,235,VICTORIA,Male,610,561,0.92,420,0.69,133,0.22,354,0.58,68,0.11,197,0.32,0,0,265,0.43,46,0.08,84,0.14
3,Victoria,241,WHARTON,Female,317,306,0.97,289,0.91,17,0.05,242,0.76,42,0.13,146,0.46,0,0,188,0.59,16,0.05,95,0.3
3,Victoria,241,WHARTON,Male,366,351,0.96,309,0.84,33,0.09,263,0.72,30,0.08,161,0.44,0,0,191,0.52,16,0.04,83,0.23
4,Houston,20,BRAZORIA,Female,1963,1890,0.96,1699,0.87,140,0.07,1526,0.78,396,0.2,892,0.45,0,0,1288,0.66,119,0.06,593,0.3
4,Houston,20,BRAZORIA,Male,2050,1952,0.95,1657,0.81,254,0.12,1461,0.71,325,0.16,776,0.38,0,0,1101,0.54,99,0.05,413,0.2
4,Houston,36,CHAMBERS,Female,217,205,0.95,188,0.87,9,0.04,164,0.76,39,0.18,99,0.46,0,0,138,0.64,11,0.05,63,0.29
4,Houston,36,CHAMBERS,Male,199,193,0.97,164,0.82,25,0.13,140,0.7,35,0.18,80,0.4,0,0,115,0.58,11,0.06,37,0.19
4,Houston,79,FORT BEND,Female,3286,3122,0.95,2814,0.86,268,0.08,2572,0.78,1147,0.35,1041,0.32,0,0,2188,0.67,186,0.06,1147,0.35
4,Houston,79,FORT BEND,Male,3528,3294,0.93,2828,0.8,456,0.13,2554,0.72,1015,0.29,1145,0.33,0,0,2160,0.61,257,0.07,891,0.25
4,Houston,84,GALVESTON,Female,2727,2575,0.94,2211,0.81,287,0.11,1924,0.71,650,0.24,1170,0.43,0,0,1820,0.67,267,0.1,905,0.33
4,Houston,84,GALVESTON,Male,2792,2606,0.93,2102,0.75,448,0.16,1906,0.68,605,0.22,1022,0.37,0,0,1627,0.58,212,0.08,669,0.24
4,Houston,101,HARRIS,Female,25276,23860,0.94,19977,0.79,3297,0.13,17515,0.69,5609,0.22,8601,0.34,0,0,14210,0.56,1789,0.07,6013,0.24
4,Houston,101,HARRIS,Male,26048,24182,0.93,18769,0.72,4903,0.19,16616,0.64,4469,0.17,7866,0.3,0,0,12335,0.47,1551,0.06,3960,0.15
4,Houston,146,LIBERTY,Female,568,526,0.93,444,0.78,61,0.11,391,0.69,85,0.15,216,0.38,0,0,301,0.53,36,0.06,109,0.19
4,Houston,146,LIBERTY,Male,574,514,0.9,395,0.69,119,0.21,347,0.61,70,0.12,152,0.27,0,0,222,0.39,27,0.05,57,0.1
4,Houston,237,WALLER,Female,312,298,0.96,256,0.82,30,0.1,214,0.69,65,0.21,105,0.34,0,0,170,0.55,21,0.07,59,0.19
4,Houston,237,WALLER,Male,307,294,0.96,225,0.73,63,0.21,209,0.68,38,0.12,93,0.3,0,0,131,0.43,11,0.04,29,0.09
5,Beaumont,84,GALVESTON,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,84,GALVESTON,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,100,HARDIN,Female,395,377,0.95,341,0.86,26,0.07,311,0.79,130,0.33,89,0.23,0,0,219,0.55,11,0.03,103,0.26
5,Beaumont,100,HARDIN,Male,446,411,0.92,358,0.8,54,0.12,326,0.73,115,0.26,103,0.23,0,0,218,0.49,21,0.05,82,0.18
5,Beaumont,121,JASPER,Female,231,222,0.96,190,0.82,19,0.08,154,0.67,51,0.22,64,0.28,0,0,115,0.5,17,0.07,47,0.2
5,Beaumont,121,JASPER,Male,278,263,0.95,234,0.84,18,0.06,207,0.75,52,0.19,74,0.27,0,0,126,0.45,10,0.04,39,0.14
5,Beaumont,123,JEFFERSON,Female,1604,1536,0.96,1315,0.82,157,0.1,1095,0.68,488,0.3,469,0.29,0,0,957,0.6,132,0.08,403,0.25
5,Beaumont,123,JEFFERSON,Male,1663,1566,0.94,1287,0.77,224,0.14,1068,0.64,363,0.22,427,0.26,0,0,790,0.48,92,0.06,242,0.15
5,Beaumont,176,NEWTON,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,176,NEWTON,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,181,ORANGE,Female,598,571,0.96,494,0.83,43,0.07,417,0.7,102,0.17,228,0.38,0,0,330,0.55,39,0.07,128,0.21
5,Beaumont,181,ORANGE,Male,653,609,0.93,511,0.78,74,0.11,451,0.69,113,0.17,196,0.3,0,0,309,0.47,23,0.04,117,0.18
5,Beaumont,229,TYLER,Female,125,108,0.86,99,0.79,9,0.07,81,0.65,23,0.18,34,0.27,0,0,57,0.46,3,0.02,21,0.17
5,Beaumont,229,TYLER,Male,145,141,0.97,133,0.92,5,0.03,116,0.8,26,0.18,34,0.23,0,0,60,0.41,1,0.01,24,0.17
6,Huntsville,8,AUSTIN,Female,213,200,0.94,189,0.89,11,0.05,178,0.84,65,0.31,71,0.33,0,0,136,0.64,8,0.04,69,0.32
6,Huntsville,8,AUSTIN,Male,219,207,0.95,191,0.87,11,0.05,170,0.78,51,0.23,70,0.32,0,0,121,0.55,8,0.04,57,0.26
6,Huntsville,21,BRAZOS,Female,810,755,0.93,664,0.82,77,0.1,553,0.68,155,0.19,278,0.34,0,0,433,0.54,28,0.03,193,0.24
6,Huntsville,21,BRAZOS,Male,848,792,0.93,670,0.79,106,0.13,591,0.7,149,0.18,287,0.34,0,0,436,0.51,35,0.04,149,0.18
6,Huntsville,26,BURLESON,Female,102,100,0.98,85,0.83,10,0.1,76,0.75,7,0.07,48,0.47,0,0,55,0.54,3,0.03,23,0.23
