Region Code,TEA Region,County Number,County Name,ethnicity,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,31,CAMERON,African American,14,14,1.00,10,0.71,3,0.21,12,0.86,2,0.14,4,0.29,0,0.00,6,0.43,0,0.00,1,0.07
1,Edinburg,31,CAMERON,Hispanic,6302,5856,0.93,4214,0.67,1590,0.25,4164,0.66,897,0.14,2325,0.37,0,0.00,3222,0.51,303,0.05,1000,0.16
1,Edinburg,31,CAMERON,White,376,348,0.93,289,0.77,52,0.14,283,0.75,124,0.33,134,0.36,0,0.00,258,0.69,23,0.06,119,0.32
1,Edinburg,31,CAMERON,Others,29,29,1.00,25,0.86,2,0.07,24,0.83,13,0.45,3,0.10,0,0.00,16,0.55,0,0.00,13,0.45
1,Edinburg,108,HIDALGO,African American,32,31,0.97,25,0.78,3,0.09,24,0.75,13,0.41,8,0.25,0,0.00,21,0.66,2,0.06,6,0.19
1,Edinburg,108,HIDALGO,Hispanic,11190,10429,0.93,8205,0.73,2038,0.18,7425,0.66,2515,0.23,3101,0.28,0,0.00,5616,0.50,455,0.04,2088,0.19
1,Edinburg,108,HIDALGO,White,392,367,0.94,311,0.79,37,0.09,298,0.76,173,0.44,97,0.25,0,0.00,270,0.69,22,0.06,103,0.26
1,Edinburg,108,HIDALGO,Others,57,55,0.97,49,0.86,2,0.04,46,0.81,30,0.53,10,0.18,0,0.00,40,0.70,3,0.05,27,0.47
1,Edinburg,124,JIM HOGG,All Ethnicities,79,78,0.99,75,0.95,1,0.01,64,0.81,25,0.32,26,0.33,0,0.00,51,0.65,2,0.03,15,0.19
1,Edinburg,214,STARR,All Ethnicities,1156,1091,0.94,852,0.74,203,0.18,794,0.69,216,0.19,399,0.35,0,0.00,615,0.53,40,0.03,258,0.22
1,Edinburg,240,WEBB,African American,12,11,0.92,10,0.83,1,0.08,9,0.75,1,0.08,5,0.42,0,0.00,6,0.50,0,0.00,1,0.08
1,Edinburg,240,WEBB,Hispanic,3809,3575,0.94,2959,0.78,549,0.14,2795,0.73,664,0.17,1634,0.43,0,0.00,2298,0.60,158,0.04,860,0.23
1,Edinburg,240,WEBB,White,61,55,0.90,49,0.80,2,0.03,42,0.69,19,0.31,23,0.38,0,0.00,42,0.69,3,0.05,15,0.25
1,Edinburg,240,WEBB,Others,9,8,0.89,8,0.89,0,0.00,8,0.89,4,0.44,1,0.11,0,0.00,5,0.56,0,0.00,5,0.56
1,Edinburg,245,WILLACY,Hispanic,322,296,0.92,233,0.72,61,0.19,212,0.66,52,0.16,89,0.28,0,0.00,141,0.44,10,0.03,39,0.12
1,Edinburg,245,WILLACY,Other Ethnicities,23,23,1.00,18,0.78,4,0.17,19,0.83,11,0.48,5,0.22,0,0.00,16,0.70,1,0.04,6,0.26
1,Edinburg,253,ZAPATA,Hispanic,206,196,0.95,181,0.88,10,0.05,145,0.70,45,0.22,65,0.32,0,0.00,110,0.53,4,0.02,40,0.19
1,Edinburg,253,ZAPATA,Other Ethnicities,9,8,0.89,7,0.78,0,0.00,7,0.78,3,0.33,3,0.33,0,0.00,6,0.67,0,0.00,3,0.33
2,Corpus Christi,4,ARANSAS,Hispanic,79,74,0.94,67,0.85,7,0.09,51,0.65,10,0.13,18,0.23,0,0.00,28,0.35,5,0.06,12,0.15
2,Corpus Christi,4,ARANSAS,White,148,138,0.93,122,0.82,11,0.07,104,0.70,26,0.18,45,0.30,0,0.00,71,0.48,5,0.03,30,0.20
2,Corpus Christi,4,ARANSAS,Other Ethnicities,20,19,0.95,16,0.80,2,0.10,15,0.75,5,0.25,5,0.25,0,0.00,10,0.50,0,0.00,3,0.15
2,Corpus Christi,13,BEE,Hispanic,283,268,0.95,231,0.82,39,0.14,178,0.63,19,0.07,123,0.44,0,0.00,142,0.50,23,0.08,50,0.18
2,Corpus Christi,13,BEE,White,113,108,0.96,97,0.86,7,0.06,85,0.75,27,0.24,53,0.47,0,0.00,80,0.71,8,0.07,44,0.39
2,Corpus Christi,13,BEE,Other Ethnicities,11,10,0.91,9,0.82,0,0.00,9,0.82,0,0.00,6,0.55,0,0.00,6,0.55,1,0.09,1,0.09
2,Corpus Christi,24,BROOKS,Hispanic,160,155,0.97,119,0.74,28,0.18,106,0.66,28,0.18,38,0.24,0,0.00,66,0.41,4,0.03,22,0.14
2,Corpus Christi,24,BROOKS,Other Ethnicities,6,6,1.00,6,1.00,0,0.00,6,1.00,3,0.50,2,0.33,0,0.00,5,0.83,0,0.00,2,0.33
2,Corpus Christi,66,DUVAL,Hispanic,202,192,0.95,170,0.84,20,0.10,139,0.69,24,0.12,68,0.34,0,0.00,92,0.46,3,0.01,33,0.16
2,Corpus Christi,66,DUVAL,Other Ethnicities,15,15,1.00,12,0.80,2,0.13,11,0.73,2,0.13,7,0.47,0,0.00,9,0.60,3,0.20,2,0.13
2,Corpus Christi,125,JIM WELLS,Hispanic,582,553,0.95,441,0.76,115,0.20,341,0.59,121,0.21,154,0.27,0,0.00,275,0.47,26,0.04,90,0.16
2,Corpus Christi,125,JIM WELLS,Other Ethnicities,118,112,0.95,105,0.89,6,0.05,88,0.75,40,0.34,45,0.38,0,0.00,85,0.72,10,0.08,40,0.34
2,Corpus Christi,137,KLEBERG,Hispanic,317,284,0.90,203,0.64,83,0.26,185,0.58,94,0.30,73,0.23,0,0.00,167,0.53,28,0.09,46,0.15
2,Corpus Christi,137,KLEBERG,White,87,81,0.93,72,0.83,6,0.07,69,0.79,38,0.44,17,0.20,0,0.00,55,0.63,3,0.03,37,0.43
2,Corpus Christi,137,KLEBERG,Other Ethnicities,23,19,0.83,11,0.48,6,0.26,9,0.39,7,0.30,4,0.17,0,0.00,11,0.48,4,0.17,5,0.22
2,Corpus Christi,149,LIVE OAK,White,68,65,0.96,60,0.88,3,0.04,39,0.57,18,0.27,23,0.34,0,0.00,41,0.60,16,0.24,20,0.29
2,Corpus Christi,149,LIVE OAK,Other Ethnicities,63,58,0.92,50,0.79,10,0.16,20,0.32,8,0.13,27,0.43,0,0.00,35,0.56,20,0.32,9,0.14
2,Corpus Christi,162,MCMULLEN,All Ethnicities,13,13,1.00,13,1.00,0,0.00,11,0.85,5,0.39,4,0.31,0,0.00,9,0.69,1,0.08,6,0.46
2,Corpus Christi,178,NUECES,African American,199,185,0.93,148,0.74,27,0.14,114,0.57,33,0.17,65,0.33,0,0.00,98,0.49,11,0.06,18,0.09
2,Corpus Christi,178,NUECES,Hispanic,3046,2785,0.91,2269,0.75,533,0.18,1969,0.65,435,0.14,1084,0.36,0,0.00,1519,0.50,175,0.06,410,0.14
2,Corpus Christi,178,NUECES,White,1328,1226,0.92,1064,0.80,137,0.10,986,0.74,436,0.33,414,0.31,0,0.00,850,0.64,70,0.05,372,0.28
2,Corpus Christi,178,NUECES,Others,62,57,0.92,51,0.82,3,0.05,49,0.79,21,0.34,12,0.19,0,0.00,33,0.53,2,0.03,14,0.23
2,Corpus Christi,205,SAN PATRICIO,African American,34,30,0.88,25,0.74,3,0.09,18,0.53,4,0.12,11,0.32,0,0.00,15,0.44,3,0.09,2,0.06
